www.shu.com. 	14400	IN	SOA	ns1.www.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
www.shu.com.		    IN	NS ns1.www.shu.com.
qiytrnfo.www.shu.com.    IN    A    14.18.5.95
gafhiusx.www.shu.com.    IN    A    243.239.5.165
drofeqkc.www.shu.com.    IN    A    87.83.161.86
olbswknj.www.shu.com.    IN    A    225.198.233.27
nbacjthd.www.shu.com.    IN    A    152.228.111.145
dhxeibwr.www.shu.com.    IN    A    116.136.25.5
muixcoqk.www.shu.com.    IN    A    120.192.142.21
pjhcdqtf.www.shu.com.    IN    A    191.138.213.217
rpxytsew.www.shu.com.    IN    A    146.62.102.145
kmdxisyq.www.shu.com.    IN    A    185.13.207.247
gyiqlrud.www.shu.com.    IN    A    235.206.175.31
xhomiydr.www.shu.com.    IN    A    91.172.189.5
fkbtajsi.www.shu.com.    IN    A    137.99.13.185
cpijwgdl.www.shu.com.    IN    A    128.109.75.74
yovkdarc.www.shu.com.    IN    A    157.64.62.8
isgxladf.www.shu.com.    IN    A    99.248.25.101
tdlcihpm.www.shu.com.    IN    A    204.172.45.191
sxpuwenm.www.shu.com.    IN    A    140.182.103.179
mgvtaxye.www.shu.com.    IN    A    195.55.203.70
togmwudy.www.shu.com.    IN    A    18.200.80.241
kiwyescp.www.shu.com.    IN    A    116.158.37.198
iolwqmku.www.shu.com.    IN    A    169.218.82.36
slroudgc.www.shu.com.    IN    A    161.244.242.224
aitsxove.www.shu.com.    IN    A    13.32.220.176
dxfyopis.www.shu.com.    IN    A    22.9.143.210
tyfnuhkg.www.shu.com.    IN    A    19.188.107.5
hjqefmxo.www.shu.com.    IN    A    75.190.122.95
ficktgen.www.shu.com.    IN    A    61.255.126.217
jmwuicye.www.shu.com.    IN    A    123.21.72.101
armjeghf.www.shu.com.    IN    A    203.198.103.199
qxvgknyj.www.shu.com.    IN    A    35.143.173.7
mvfhseku.www.shu.com.    IN    A    229.124.1.212
vkhcyosb.www.shu.com.    IN    A    3.140.108.197
hywtqosd.www.shu.com.    IN    A    45.91.35.223
oxnrjefs.www.shu.com.    IN    A    51.32.107.156
cniajolw.www.shu.com.    IN    A    129.120.166.152
bngtecux.www.shu.com.    IN    A    43.239.17.121
twuianfd.www.shu.com.    IN    A    150.13.27.170
obevgnau.www.shu.com.    IN    A    66.30.211.182
obvkdyhu.www.shu.com.    IN    A    109.131.65.188
owltekqb.www.shu.com.    IN    A    126.51.92.156
dtrlxbfc.www.shu.com.    IN    A    255.182.130.92
tjumfqip.www.shu.com.    IN    A    75.23.115.8
qavjpesk.www.shu.com.    IN    A    109.138.37.179
gimwotuv.www.shu.com.    IN    A    26.168.68.93
osupiavk.www.shu.com.    IN    A    163.94.229.207
ysxwdnbh.www.shu.com.    IN    A    200.192.101.185
lmuopciw.www.shu.com.    IN    A    77.152.236.25
vgbdmxuy.www.shu.com.    IN    A    233.243.89.102
hroiukbw.www.shu.com.    IN    A    31.38.68.61
pjmgxdov.www.shu.com.    IN    A    43.93.253.198
wympcbax.www.shu.com.    IN    A    251.31.10.26
fmkycntr.www.shu.com.    IN    A    121.68.176.192
lkdoustq.www.shu.com.    IN    A    81.231.14.120
emwbvogf.www.shu.com.    IN    A    173.174.135.69
gjtpfdqx.www.shu.com.    IN    A    226.238.200.102
hbqlvmnu.www.shu.com.    IN    A    125.225.67.102
maopsnlf.www.shu.com.    IN    A    222.212.253.137
tpvynsmx.www.shu.com.    IN    A    204.192.163.240
vusxaoyc.www.shu.com.    IN    A    3.61.85.20
iapsxmjt.www.shu.com.    IN    A    7.104.84.169
btlnmuho.www.shu.com.    IN    A    231.183.134.8
uirsnota.www.shu.com.    IN    A    201.165.27.15
rlunmtva.www.shu.com.    IN    A    168.163.237.27
nwdtxjcb.www.shu.com.    IN    A    25.129.228.19
qwmtlxpd.www.shu.com.    IN    A    206.141.175.20
vgibxrjc.www.shu.com.    IN    A    251.251.171.101
traoygdx.www.shu.com.    IN    A    206.43.34.211
aksvrlwj.www.shu.com.    IN    A    136.161.14.251
njivacrg.www.shu.com.    IN    A    228.129.71.150
ktxfjsmq.www.shu.com.    IN    A    143.235.56.34
byunmxkt.www.shu.com.    IN    A    134.16.162.114
xpnfhasb.www.shu.com.    IN    A    33.168.223.230
wpvtmsjq.www.shu.com.    IN    A    103.134.168.237
vdmjltpu.www.shu.com.    IN    A    0.69.51.22
cbrsaxwd.www.shu.com.    IN    A    96.210.240.104
ohgwscea.www.shu.com.    IN    A    28.122.164.78
cfxmrqbg.www.shu.com.    IN    A    142.143.171.7
udfgeclb.www.shu.com.    IN    A    49.51.52.33
qukxvhdf.www.shu.com.    IN    A    89.129.180.219
cmrawxin.www.shu.com.    IN    A    47.249.147.185
psfrguyh.www.shu.com.    IN    A    161.235.193.62
tlmrdspv.www.shu.com.    IN    A    58.60.219.125
korcgbhl.www.shu.com.    IN    A    221.57.33.132
dabpjtux.www.shu.com.    IN    A    136.70.195.167
vhsmjtyp.www.shu.com.    IN    A    162.37.245.175
tgfwjryv.www.shu.com.    IN    A    117.29.187.240
fsmrqehx.www.shu.com.    IN    A    35.39.49.82
ilrhwtby.www.shu.com.    IN    A    153.229.235.149
qrduciwe.www.shu.com.    IN    A    7.205.246.56
xingcubt.www.shu.com.    IN    A    126.100.124.118
wbtpvgim.www.shu.com.    IN    A    151.162.126.108
lhgpfjie.www.shu.com.    IN    A    2.181.177.220
qbircwpj.www.shu.com.    IN    A    65.186.166.35
mnxdalwc.www.shu.com.    IN    A    1.31.61.72
oqkjctpr.www.shu.com.    IN    A    250.208.0.154
uhjaeibx.www.shu.com.    IN    A    208.213.138.158
aytsqrxi.www.shu.com.    IN    A    188.239.196.188
fnlbtuaj.www.shu.com.    IN    A    61.24.211.154
pnkefoaw.www.shu.com.    IN    A    117.2.148.165
asxtyvml.www.shu.com.    IN    A    64.48.206.103
kiuyfjvd.www.shu.com.    IN    A    242.28.251.193
wnjfrvpg.www.shu.com.    IN    A    109.48.146.156
mqgsrdpu.www.shu.com.    IN    A    77.128.232.45
cyjrhpuk.www.shu.com.    IN    A    173.55.7.88
wroaxhbc.www.shu.com.    IN    A    12.22.86.138
mrjiolbw.www.shu.com.    IN    A    61.58.212.14
reagnvmx.www.shu.com.    IN    A    210.172.123.14
sqfixldc.www.shu.com.    IN    A    147.150.178.26
ktynlwxe.www.shu.com.    IN    A    8.18.217.206
qbndcymf.www.shu.com.    IN    A    184.169.121.126
ejmgwspc.www.shu.com.    IN    A    185.129.163.188
dqurimkl.www.shu.com.    IN    A    186.29.53.184
xcjsbrmy.www.shu.com.    IN    A    249.171.196.177
hjlifext.www.shu.com.    IN    A    43.8.154.224
wbkiomdp.www.shu.com.    IN    A    73.249.95.48
pmqybjns.www.shu.com.    IN    A    210.168.116.249
cngifuqp.www.shu.com.    IN    A    85.167.21.208
qpivukof.www.shu.com.    IN    A    89.94.174.212
xwufbmqk.www.shu.com.    IN    A    207.143.17.225
vghnqdos.www.shu.com.    IN    A    167.183.114.85
vmqgalwk.www.shu.com.    IN    A    201.101.59.48
lixnrwvo.www.shu.com.    IN    A    99.106.174.179
jidvsahe.www.shu.com.    IN    A    72.113.206.8
fyehwscl.www.shu.com.    IN    A    100.100.114.199
ihyvdcxr.www.shu.com.    IN    A    188.82.222.153
onybglam.www.shu.com.    IN    A    241.241.91.205
updxwltm.www.shu.com.    IN    A    227.82.184.134
chodfrgp.www.shu.com.    IN    A    64.25.229.99
rwxfnhpb.www.shu.com.    IN    A    112.45.39.12
hmjlbadr.www.shu.com.    IN    A    177.250.31.31
jcopbymx.www.shu.com.    IN    A    247.0.4.39
bmdsavqj.www.shu.com.    IN    A    217.10.102.205
ibfpolut.www.shu.com.    IN    A    154.123.140.84
xjuolewi.www.shu.com.    IN    A    70.5.30.20
pnkvgywl.www.shu.com.    IN    A    105.225.210.240
dyuxvrts.www.shu.com.    IN    A    169.194.222.235
xmiapnkr.www.shu.com.    IN    A    72.139.36.43
rfdaoivn.www.shu.com.    IN    A    189.54.91.204
xqwngbri.www.shu.com.    IN    A    134.195.191.170
wecdkbot.www.shu.com.    IN    A    138.95.39.10
jqexdour.www.shu.com.    IN    A    125.160.76.20
nemupsqx.www.shu.com.    IN    A    138.96.7.68
vorimldt.www.shu.com.    IN    A    0.210.2.245
iuathxrm.www.shu.com.    IN    A    213.79.171.114
hnwypmrf.www.shu.com.    IN    A    50.77.171.188
dvmnehpt.www.shu.com.    IN    A    110.43.227.9
npblmhrq.www.shu.com.    IN    A    8.84.31.138
lwuravpx.www.shu.com.    IN    A    147.198.141.91
cqkvngbh.www.shu.com.    IN    A    122.5.60.58
vrhdgyuq.www.shu.com.    IN    A    172.185.225.241
uditfakn.www.shu.com.    IN    A    177.86.21.231
dybkauxo.www.shu.com.    IN    A    73.20.5.33
fulnabyj.www.shu.com.    IN    A    98.213.242.102
dpqlahwi.www.shu.com.    IN    A    173.253.34.210
ymhgobkv.www.shu.com.    IN    A    127.234.236.232
otbnhasm.www.shu.com.    IN    A    105.49.252.92
hwudqfvm.www.shu.com.    IN    A    49.215.119.93
fgijtwse.www.shu.com.    IN    A    188.241.61.76
vchdkorb.www.shu.com.    IN    A    2.167.124.229
onhvtmgj.www.shu.com.    IN    A    52.126.168.248
ufvdecym.www.shu.com.    IN    A    54.182.150.8
vjbhorip.www.shu.com.    IN    A    126.120.201.201
bolcdkrf.www.shu.com.    IN    A    144.173.119.201
hibwunmj.www.shu.com.    IN    A    136.125.22.108
ijlrntxo.www.shu.com.    IN    A    113.96.166.45
sjqgrdpb.www.shu.com.    IN    A    205.224.75.247
ucotplbg.www.shu.com.    IN    A    35.228.101.167
pnfcslvk.www.shu.com.    IN    A    102.58.196.80
ieavntwq.www.shu.com.    IN    A    29.35.115.86
lqxtbrsk.www.shu.com.    IN    A    187.162.38.244
kwtmfjhs.www.shu.com.    IN    A    165.35.164.227
fpjtwhlm.www.shu.com.    IN    A    66.244.200.99
krdixhvt.www.shu.com.    IN    A    85.125.106.240
edvoykjr.www.shu.com.    IN    A    120.27.144.61
ixuakche.www.shu.com.    IN    A    177.30.61.86
rpacslxb.www.shu.com.    IN    A    126.181.36.150
uxeancmj.www.shu.com.    IN    A    244.157.149.190
eijknucd.www.shu.com.    IN    A    194.185.167.141
dxgrnfhk.www.shu.com.    IN    A    125.144.124.102
yxgswmlu.www.shu.com.    IN    A    162.247.14.215
mjugbqha.www.shu.com.    IN    A    146.254.231.18
qihwvjbd.www.shu.com.    IN    A    136.241.130.0
eviqytdh.www.shu.com.    IN    A    169.182.179.179
dhjqpmre.www.shu.com.    IN    A    137.54.150.97
epnxuyrq.www.shu.com.    IN    A    174.13.170.190
axywjnrl.www.shu.com.    IN    A    229.60.114.44
fnralpht.www.shu.com.    IN    A    49.205.209.139
rehdfxbs.www.shu.com.    IN    A    23.30.17.63
cvptjsgn.www.shu.com.    IN    A    37.199.87.164
mhgfjisn.www.shu.com.    IN    A    198.78.9.61
mqabjdcn.www.shu.com.    IN    A    126.194.184.94
tecfoknq.www.shu.com.    IN    A    157.27.21.52
msaqclhf.www.shu.com.    IN    A    142.227.91.97
rvybihjx.www.shu.com.    IN    A    79.88.171.133
wbyenxkt.www.shu.com.    IN    A    39.16.74.16
tjsxowha.www.shu.com.    IN    A    34.125.77.94
lsxfnwpy.www.shu.com.    IN    A    228.133.52.42
asieqklo.www.shu.com.    IN    A    211.175.103.41
tblcjwnu.www.shu.com.    IN    A    36.229.72.66
hjolatkq.www.shu.com.    IN    A    248.180.198.57
iwgpcnuy.www.shu.com.    IN    A    162.61.114.225
idhgawjk.www.shu.com.    IN    A    124.201.20.11
idjqhgly.www.shu.com.    IN    A    230.128.248.218
rxkyntvb.www.shu.com.    IN    A    241.115.17.48
velhriub.www.shu.com.    IN    A    78.168.13.175
itdfyvcp.www.shu.com.    IN    A    55.172.60.211
vajtsqei.www.shu.com.    IN    A    100.148.42.255
wsmpykox.www.shu.com.    IN    A    164.204.199.108
oyragpjn.www.shu.com.    IN    A    146.91.119.78
ytrbnpdv.www.shu.com.    IN    A    99.215.77.130
mshdrpxl.www.shu.com.    IN    A    95.148.7.36
rscfxvep.www.shu.com.    IN    A    102.36.39.191
jbuavklf.www.shu.com.    IN    A    237.242.116.130
ypiswngr.www.shu.com.    IN    A    88.90.78.133
vasfricx.www.shu.com.    IN    A    119.0.129.64
wuloikxr.www.shu.com.    IN    A    100.91.134.32
pjrmxaun.www.shu.com.    IN    A    102.240.50.15
hwdgjmcs.www.shu.com.    IN    A    253.33.5.165
tpdrubaw.www.shu.com.    IN    A    140.99.85.146
dvfcewqt.www.shu.com.    IN    A    58.25.8.220
hvgduplr.www.shu.com.    IN    A    11.171.241.104
gudtbpxf.www.shu.com.    IN    A    6.121.177.224
alyevtmj.www.shu.com.    IN    A    55.179.193.88
gkuqofxt.www.shu.com.    IN    A    169.119.21.253
qpegbnaj.www.shu.com.    IN    A    92.186.121.67
dginkabw.www.shu.com.    IN    A    156.21.128.206
njqrucda.www.shu.com.    IN    A    98.145.1.191
otjepmkv.www.shu.com.    IN    A    40.101.168.103
huetbcia.www.shu.com.    IN    A    16.113.93.57
awijcnlm.www.shu.com.    IN    A    98.32.86.185
aejgypsv.www.shu.com.    IN    A    186.244.24.49
rlifmuwe.www.shu.com.    IN    A    4.151.243.97
aujnrkcd.www.shu.com.    IN    A    30.178.216.176
drwoayhb.www.shu.com.    IN    A    33.88.80.42
xhkuweay.www.shu.com.    IN    A    5.35.5.11
pobagfwc.www.shu.com.    IN    A    115.159.210.142
ybphodxw.www.shu.com.    IN    A    196.14.119.102
rcqpthik.www.shu.com.    IN    A    159.75.109.72
gcbyrdqh.www.shu.com.    IN    A    134.216.140.215
vtsrmaib.www.shu.com.    IN    A    108.154.209.13
bqkcnhjv.www.shu.com.    IN    A    191.105.185.54
arvhwjks.www.shu.com.    IN    A    23.240.214.71
rlmyvjwt.www.shu.com.    IN    A    38.30.209.187
lgyrvixj.www.shu.com.    IN    A    217.56.151.125
dpfmtegv.www.shu.com.    IN    A    253.188.206.73
nfjlierx.www.shu.com.    IN    A    18.166.245.226
oevubtrw.www.shu.com.    IN    A    180.146.239.188
sjueobyh.www.shu.com.    IN    A    114.251.161.175
clerwond.www.shu.com.    IN    A    147.149.92.50
mvdnokhw.www.shu.com.    IN    A    41.218.173.170
aehqnmcg.www.shu.com.    IN    A    245.42.135.159
xitfglse.www.shu.com.    IN    A    234.32.103.148
exnrdlph.www.shu.com.    IN    A    152.156.86.187
ywsaobhj.www.shu.com.    IN    A    65.173.159.54
evinrcdj.www.shu.com.    IN    A    237.233.90.164
brquwheg.www.shu.com.    IN    A    151.40.112.48
ckxuigrp.www.shu.com.    IN    A    21.215.156.197
gbajciet.www.shu.com.    IN    A    49.203.79.42
dlbfaywh.www.shu.com.    IN    A    93.113.204.212
fkoranqi.www.shu.com.    IN    A    197.189.5.227
jyofduwe.www.shu.com.    IN    A    199.228.108.79
vwklctnd.www.shu.com.    IN    A    77.133.187.49
yscmdvlb.www.shu.com.    IN    A    15.209.92.19
xfjamtir.www.shu.com.    IN    A    76.156.121.135
dbuoyjhm.www.shu.com.    IN    A    180.99.204.42
cginmxwk.www.shu.com.    IN    A    153.171.152.229
gfcwkuyh.www.shu.com.    IN    A    42.34.121.214
fsrypjue.www.shu.com.    IN    A    146.137.157.27
mlfyvaqc.www.shu.com.    IN    A    57.83.33.171
tinbvydh.www.shu.com.    IN    A    87.239.44.39
sylfgtdq.www.shu.com.    IN    A    142.192.50.120
rvachmgn.www.shu.com.    IN    A    177.1.188.119
etlhudcm.www.shu.com.    IN    A    26.173.31.26
qwerpmcv.www.shu.com.    IN    A    20.169.139.10
jgiekvaq.www.shu.com.    IN    A    85.106.228.161
ogqxrfni.www.shu.com.    IN    A    231.5.194.73
gluspbqx.www.shu.com.    IN    A    133.100.172.9
srdtcxvl.www.shu.com.    IN    A    242.62.75.104
dxsfgwat.www.shu.com.    IN    A    226.161.7.5
deabkoui.www.shu.com.    IN    A    224.134.88.225
aisluyjc.www.shu.com.    IN    A    138.126.2.187
phfbuvea.www.shu.com.    IN    A    170.166.253.80
jqmksnbv.www.shu.com.    IN    A    234.190.246.154
cjxthuka.www.shu.com.    IN    A    84.92.68.243
yrhsqund.www.shu.com.    IN    A    54.54.14.181
avyqfjgn.www.shu.com.    IN    A    222.239.242.22
lqmrdoyx.www.shu.com.    IN    A    95.169.76.59
ilqrvcpu.www.shu.com.    IN    A    227.240.74.175
jftokpnh.www.shu.com.    IN    A    38.75.23.139
rlmwktvg.www.shu.com.    IN    A    19.85.108.3
qmorkjdu.www.shu.com.    IN    A    60.88.66.8
bpvcjtqx.www.shu.com.    IN    A    21.99.177.198
bygnwqdu.www.shu.com.    IN    A    164.254.10.42
voqxsfjm.www.shu.com.    IN    A    14.104.227.99
odnxwcsy.www.shu.com.    IN    A    241.37.88.121
iyutvghc.www.shu.com.    IN    A    209.129.38.138
fdmiwqjp.www.shu.com.    IN    A    68.157.81.153
nwskdeog.www.shu.com.    IN    A    246.168.161.93
qmsdxyuk.www.shu.com.    IN    A    214.113.251.100
dtfgsauc.www.shu.com.    IN    A    230.181.15.14
vafnebtl.www.shu.com.    IN    A    222.150.103.118
xekducyn.www.shu.com.    IN    A    163.8.220.94
cbladewv.www.shu.com.    IN    A    93.24.142.177
qsydreph.www.shu.com.    IN    A    235.177.27.125
chtbjxrn.www.shu.com.    IN    A    4.212.245.17
phmxkluy.www.shu.com.    IN    A    198.105.64.113
jqyagmfn.www.shu.com.    IN    A    246.87.218.137
qroytgda.www.shu.com.    IN    A    136.213.220.37
dswivuaf.www.shu.com.    IN    A    185.183.110.187
qofdgpnm.www.shu.com.    IN    A    27.98.50.28
epqlfuxc.www.shu.com.    IN    A    225.74.216.55
lnibpeov.www.shu.com.    IN    A    134.84.187.150
cydewbos.www.shu.com.    IN    A    94.190.155.113
yushglcx.www.shu.com.    IN    A    233.115.128.205
cjewfkgm.www.shu.com.    IN    A    94.227.240.247
cpnifxdt.www.shu.com.    IN    A    236.128.198.14
tyqpcilk.www.shu.com.    IN    A    209.248.79.8
vrhplkeu.www.shu.com.    IN    A    65.80.25.14
sqitvbme.www.shu.com.    IN    A    30.230.28.177
tvjowyhm.www.shu.com.    IN    A    127.44.123.248
dkbhwaqf.www.shu.com.    IN    A    91.83.136.243
asrdileh.www.shu.com.    IN    A    186.231.112.22
xtkvreua.www.shu.com.    IN    A    189.46.49.83
iqclapgy.www.shu.com.    IN    A    221.231.194.5
kihbfjus.www.shu.com.    IN    A    122.157.184.70
hnxcjkoy.www.shu.com.    IN    A    78.116.122.107
fpuxwbni.www.shu.com.    IN    A    91.189.149.48
fsxnpcqg.www.shu.com.    IN    A    47.20.131.128
oawijktq.www.shu.com.    IN    A    178.137.83.58
ltiygwcx.www.shu.com.    IN    A    190.178.117.242
lgyiecdb.www.shu.com.    IN    A    103.101.54.14
bcintypv.www.shu.com.    IN    A    100.70.172.124
kreocyxu.www.shu.com.    IN    A    181.231.41.75
yinbwfut.www.shu.com.    IN    A    151.42.207.3
vcjpixqy.www.shu.com.    IN    A    154.55.119.232
vgnfwsjr.www.shu.com.    IN    A    174.10.117.50
mxdvatsp.www.shu.com.    IN    A    233.79.108.184
nkdswlpe.www.shu.com.    IN    A    110.224.52.123
ocetxjmk.www.shu.com.    IN    A    35.21.3.145
augonhfx.www.shu.com.    IN    A    180.114.255.171
omftalqw.www.shu.com.    IN    A    38.227.37.204
ivbjmqcf.www.shu.com.    IN    A    114.191.244.198
cspfkhqi.www.shu.com.    IN    A    76.128.177.115
vxbywcqo.www.shu.com.    IN    A    23.105.31.55
xkviqyco.www.shu.com.    IN    A    99.109.239.161
iapjuhsy.www.shu.com.    IN    A    227.59.42.45
fdqhrxpi.www.shu.com.    IN    A    165.39.173.115
dcohnvmi.www.shu.com.    IN    A    211.139.149.245
gydnfboi.www.shu.com.    IN    A    168.212.232.22
dgiowbuk.www.shu.com.    IN    A    63.114.1.190
nhtvxgfw.www.shu.com.    IN    A    87.125.127.161
xahlevki.www.shu.com.    IN    A    65.51.141.159
gnhcxemk.www.shu.com.    IN    A    151.35.219.249
wifycprs.www.shu.com.    IN    A    76.253.189.163
ngcmoqew.www.shu.com.    IN    A    108.76.242.18
ljodrufk.www.shu.com.    IN    A    4.186.20.30
slovdcwa.www.shu.com.    IN    A    173.112.87.159
ldbmrjkc.www.shu.com.    IN    A    100.63.127.110
wrqngvxf.www.shu.com.    IN    A    201.234.190.59
akolferw.www.shu.com.    IN    A    4.83.211.225
mgctxeja.www.shu.com.    IN    A    108.111.141.68
igscupvh.www.shu.com.    IN    A    190.49.14.81
wvfexotn.www.shu.com.    IN    A    6.176.183.97
osumeplj.www.shu.com.    IN    A    175.165.40.18
odjpwihv.www.shu.com.    IN    A    249.24.78.17
pgvykxqi.www.shu.com.    IN    A    20.253.242.8
oqhuelps.www.shu.com.    IN    A    246.3.84.64
dhstwfyv.www.shu.com.    IN    A    195.7.216.191
hpfwajxy.www.shu.com.    IN    A    204.156.42.80
fevkbxnh.www.shu.com.    IN    A    187.62.231.103
colyparv.www.shu.com.    IN    A    241.24.235.155
kubvorfw.www.shu.com.    IN    A    122.158.176.127
yqbfckjm.www.shu.com.    IN    A    182.1.62.37
cnojrlds.www.shu.com.    IN    A    56.2.201.144
cejgfisp.www.shu.com.    IN    A    220.156.146.140
yucqosmg.www.shu.com.    IN    A    16.133.249.69
xmpvtqal.www.shu.com.    IN    A    203.31.93.129
cqbsdvto.www.shu.com.    IN    A    218.45.123.239
epaoxwgr.www.shu.com.    IN    A    75.134.208.146
vitepxag.www.shu.com.    IN    A    226.27.169.164
visrjcke.www.shu.com.    IN    A    59.165.123.222
vxsbrujp.www.shu.com.    IN    A    167.59.136.139
fbntcmye.www.shu.com.    IN    A    92.10.47.154
sujtemhr.www.shu.com.    IN    A    28.80.50.57
dmxalstq.www.shu.com.    IN    A    36.17.101.27
jwgnclud.www.shu.com.    IN    A    198.117.137.95
fdqsbhna.www.shu.com.    IN    A    144.135.107.204
wdxvklya.www.shu.com.    IN    A    64.193.143.40
leodwgqm.www.shu.com.    IN    A    172.159.245.234
aspnhuib.www.shu.com.    IN    A    93.86.191.223
voxgkmih.www.shu.com.    IN    A    242.11.53.155
irvyojme.www.shu.com.    IN    A    219.168.255.157
ajfunemk.www.shu.com.    IN    A    107.207.74.164
pywoacbr.www.shu.com.    IN    A    100.30.209.4
hcoixjpn.www.shu.com.    IN    A    64.70.99.161
ernyfpsx.www.shu.com.    IN    A    231.179.232.1
efsbtroj.www.shu.com.    IN    A    207.8.137.93
yejcmwan.www.shu.com.    IN    A    135.123.1.37
dpfqmoti.www.shu.com.    IN    A    26.205.19.70
chwojsue.www.shu.com.    IN    A    193.3.122.39
fxpjlmry.www.shu.com.    IN    A    206.88.111.188
lygwntxr.www.shu.com.    IN    A    48.49.26.165
ocbelhsp.www.shu.com.    IN    A    112.92.141.209
bflydhiv.www.shu.com.    IN    A    239.31.165.214
cfnxrtuh.www.shu.com.    IN    A    59.210.87.230
bsxwylek.www.shu.com.    IN    A    100.1.244.52
tgwdioym.www.shu.com.    IN    A    54.155.254.40
ingfvpud.www.shu.com.    IN    A    21.225.149.63
fqxuwsbp.www.shu.com.    IN    A    199.102.12.61
jgwlvtpy.www.shu.com.    IN    A    38.141.183.141
hcvepbqw.www.shu.com.    IN    A    228.252.125.64
ftxobnvd.www.shu.com.    IN    A    143.6.80.172
jomylidc.www.shu.com.    IN    A    249.129.242.181
qiaeljkf.www.shu.com.    IN    A    197.199.139.46
idgksvca.www.shu.com.    IN    A    217.181.136.215
qgavifck.www.shu.com.    IN    A    163.179.14.169
glunjdba.www.shu.com.    IN    A    147.245.210.79
cgxlvumb.www.shu.com.    IN    A    85.245.26.73
nkpciosy.www.shu.com.    IN    A    126.187.26.150
lrdsbtgq.www.shu.com.    IN    A    224.33.2.4
isofukxg.www.shu.com.    IN    A    160.51.83.48
pdflmqse.www.shu.com.    IN    A    187.114.119.103
qrfwshpg.www.shu.com.    IN    A    10.57.129.232
peoigmuv.www.shu.com.    IN    A    140.44.154.201
vmgexwjo.www.shu.com.    IN    A    114.118.204.252
ondyjhqc.www.shu.com.    IN    A    211.150.63.120
rldvyfoq.www.shu.com.    IN    A    39.29.107.209
smniopcg.www.shu.com.    IN    A    64.171.146.69
pevitksd.www.shu.com.    IN    A    192.200.17.239
rkvwldpx.www.shu.com.    IN    A    210.143.35.91
fsokhecq.www.shu.com.    IN    A    216.53.12.234
clhsqnej.www.shu.com.    IN    A    239.51.157.35
jwpygikn.www.shu.com.    IN    A    18.208.67.244
awfcejvl.www.shu.com.    IN    A    164.173.86.108
oighdsaj.www.shu.com.    IN    A    160.246.236.200
gntvikld.www.shu.com.    IN    A    60.65.31.201
nvtuoblg.www.shu.com.    IN    A    11.11.223.39
wsqfymul.www.shu.com.    IN    A    168.198.251.136
xfqokwca.www.shu.com.    IN    A    246.237.38.181
ybvdclkf.www.shu.com.    IN    A    103.206.208.124
bpuvwrdj.www.shu.com.    IN    A    42.171.135.144
bucewrim.www.shu.com.    IN    A    94.85.189.53
fpurwkvx.www.shu.com.    IN    A    35.195.24.223
tmewxild.www.shu.com.    IN    A    19.241.185.227
drsnmqfc.www.shu.com.    IN    A    255.5.73.207
otskradv.www.shu.com.    IN    A    87.216.185.216
xgtoylck.www.shu.com.    IN    A    96.47.190.250
ocpmkwyx.www.shu.com.    IN    A    202.201.44.215
sewxyajv.www.shu.com.    IN    A    83.83.201.112
hxjmdwnr.www.shu.com.    IN    A    182.108.124.191
cxptosqf.www.shu.com.    IN    A    243.252.222.246
banpsodf.www.shu.com.    IN    A    72.118.208.210
ipouljbm.www.shu.com.    IN    A    145.105.187.102
iqfndvcy.www.shu.com.    IN    A    68.31.132.219
dqiwugse.www.shu.com.    IN    A    43.202.22.86
yqrowumv.www.shu.com.    IN    A    171.6.135.91
rndvcgml.www.shu.com.    IN    A    97.99.14.146
qtghocmb.www.shu.com.    IN    A    117.238.182.5
tpqkwmjh.www.shu.com.    IN    A    164.1.201.81
emrfcxaj.www.shu.com.    IN    A    9.47.217.170
kyopriuv.www.shu.com.    IN    A    151.232.252.234
ndxchgjm.www.shu.com.    IN    A    142.216.193.0
uhervixa.www.shu.com.    IN    A    73.42.174.48
heijcykb.www.shu.com.    IN    A    110.31.123.4
cbdmsqeo.www.shu.com.    IN    A    96.34.1.75
pgidtxrk.www.shu.com.    IN    A    174.39.241.153
klnpdwfo.www.shu.com.    IN    A    176.51.123.146
ansrmubd.www.shu.com.    IN    A    62.54.162.208
fbgpclni.www.shu.com.    IN    A    16.58.155.184
rifovkbe.www.shu.com.    IN    A    185.35.165.44
xpgvohwc.www.shu.com.    IN    A    174.95.78.149
tildyeqs.www.shu.com.    IN    A    105.168.148.55
faocbexl.www.shu.com.    IN    A    38.7.28.130
mqxhncea.www.shu.com.    IN    A    144.170.4.20
porliwqk.www.shu.com.    IN    A    40.247.40.76
alkygjer.www.shu.com.    IN    A    147.113.192.61
ovkbcufq.www.shu.com.    IN    A    106.177.17.250
rcwauqjo.www.shu.com.    IN    A    73.189.88.117
jhtgepra.www.shu.com.    IN    A    24.39.220.201
meycvtoq.www.shu.com.    IN    A    215.110.160.222
qhktaecu.www.shu.com.    IN    A    45.190.132.173
stkvwago.www.shu.com.    IN    A    216.2.56.161
cwsjokvh.www.shu.com.    IN    A    57.49.153.197
fmqvyicd.www.shu.com.    IN    A    185.245.148.245
xjuwgfkb.www.shu.com.    IN    A    240.20.46.28
grftuxin.www.shu.com.    IN    A    114.191.197.227
qiesjbmh.www.shu.com.    IN    A    54.254.174.134
tvfgykeh.www.shu.com.    IN    A    7.96.91.145
