math.pku.com.	14400	IN	SOA	ns1.math.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
math.pku.com.		    IN	NS ns1.math.pku.com.
jvcyfbhx.math.pku.com.   IN    A    78.162.156.214
hkmosalq.math.pku.com.   IN    A    86.162.24.214
nxraelsy.math.pku.com.   IN    A    8.64.252.86
cxwpfdgh.math.pku.com.   IN    A    195.123.5.163
nlyehbdk.math.pku.com.   IN    A    130.208.6.83
bfghmnsq.math.pku.com.   IN    A    30.190.14.33
dgxcpilo.math.pku.com.   IN    A    86.255.1.203
bjumicrd.math.pku.com.   IN    A    212.187.72.164
mvqnsoek.math.pku.com.   IN    A    248.91.57.158
jlqofnax.math.pku.com.   IN    A    5.90.10.138
eiturgmc.math.pku.com.   IN    A    170.57.31.10
fhxatbuo.math.pku.com.   IN    A    206.195.9.119
bvopqmhr.math.pku.com.   IN    A    196.253.105.172
lqmdapjf.math.pku.com.   IN    A    11.41.148.55
cnvfotgw.math.pku.com.   IN    A    45.87.244.6
intrswde.math.pku.com.   IN    A    68.211.155.79
uqxscfnp.math.pku.com.   IN    A    174.76.204.247
xbgqipwj.math.pku.com.   IN    A    235.105.132.12
wnjtglpy.math.pku.com.   IN    A    240.40.97.124
jwtegfbo.math.pku.com.   IN    A    125.40.113.21
sfdqpbrl.math.pku.com.   IN    A    203.214.193.47
xnijopkh.math.pku.com.   IN    A    212.224.172.191
mjfwkhyu.math.pku.com.   IN    A    198.0.106.221
exhgtvsk.math.pku.com.   IN    A    199.131.9.69
lbpghatn.math.pku.com.   IN    A    70.237.125.119
ovrwtikl.math.pku.com.   IN    A    173.15.134.63
yulfopwt.math.pku.com.   IN    A    108.176.148.242
flnpumbk.math.pku.com.   IN    A    168.179.18.86
hlvsinxd.math.pku.com.   IN    A    181.157.153.217
oufeaxnl.math.pku.com.   IN    A    109.62.7.30
rcnioptl.math.pku.com.   IN    A    166.224.93.130
kyqdsvnr.math.pku.com.   IN    A    189.157.43.225
wlicxbdo.math.pku.com.   IN    A    24.92.241.175
ietrylhp.math.pku.com.   IN    A    125.157.115.164
uvgfkhwr.math.pku.com.   IN    A    109.222.30.97
mwcnyedp.math.pku.com.   IN    A    73.86.58.125
gtqvoyim.math.pku.com.   IN    A    250.51.46.111
fmhaxqno.math.pku.com.   IN    A    92.47.103.10
xemaypuv.math.pku.com.   IN    A    47.207.167.116
xdatmiph.math.pku.com.   IN    A    191.44.140.30
wxjkvebh.math.pku.com.   IN    A    247.163.204.67
jotxlynm.math.pku.com.   IN    A    132.24.243.6
gkpxjcuo.math.pku.com.   IN    A    208.14.26.132
vghnejcr.math.pku.com.   IN    A    83.66.40.188
klptnigj.math.pku.com.   IN    A    200.186.69.138
lbjhdrqp.math.pku.com.   IN    A    227.196.46.174
ntsibugk.math.pku.com.   IN    A    161.247.162.147
mysobpir.math.pku.com.   IN    A    26.246.94.243
ksmuelyt.math.pku.com.   IN    A    81.94.86.93
yvdxfcab.math.pku.com.   IN    A    137.137.130.65
rabeypfd.math.pku.com.   IN    A    138.172.140.51
gserhlqy.math.pku.com.   IN    A    219.33.176.43
dsyxbjhr.math.pku.com.   IN    A    34.69.182.240
jlkvtyxh.math.pku.com.   IN    A    99.12.111.72
xhaovknw.math.pku.com.   IN    A    188.14.37.35
xjsrtfni.math.pku.com.   IN    A    150.147.199.68
vrghmdwa.math.pku.com.   IN    A    152.205.129.115
aohtlnuq.math.pku.com.   IN    A    201.93.49.9
dlpvqeot.math.pku.com.   IN    A    232.224.253.36
jtbnqska.math.pku.com.   IN    A    217.251.54.32
jtvhribx.math.pku.com.   IN    A    18.181.194.76
ynxmuqgs.math.pku.com.   IN    A    29.246.192.185
tnqkflao.math.pku.com.   IN    A    175.119.208.2
hluynfrt.math.pku.com.   IN    A    18.72.177.120
laqswneb.math.pku.com.   IN    A    80.76.23.103
ehoxcsmy.math.pku.com.   IN    A    40.246.132.90
ditufkeg.math.pku.com.   IN    A    186.75.197.250
vhyjrctb.math.pku.com.   IN    A    155.150.244.166
wbcmodnx.math.pku.com.   IN    A    184.100.170.176
icgruqlo.math.pku.com.   IN    A    143.30.199.48
gtcjqson.math.pku.com.   IN    A    245.27.211.101
hatkjlyc.math.pku.com.   IN    A    56.94.15.73
odskglaq.math.pku.com.   IN    A    138.138.5.153
xusoaqwh.math.pku.com.   IN    A    139.163.233.57
jsbaqvlw.math.pku.com.   IN    A    118.195.202.174
iocdhnxg.math.pku.com.   IN    A    46.129.43.116
whkbiotq.math.pku.com.   IN    A    36.90.97.189
lxueyakj.math.pku.com.   IN    A    206.195.210.139
dqkyuper.math.pku.com.   IN    A    230.27.222.118
ulchqodk.math.pku.com.   IN    A    195.105.204.189
wjvoyhmf.math.pku.com.   IN    A    230.214.105.243
uwfhoygi.math.pku.com.   IN    A    250.243.97.234
xlawcgdm.math.pku.com.   IN    A    19.200.247.208
sgrnpmwb.math.pku.com.   IN    A    95.192.255.72
ijsebpfu.math.pku.com.   IN    A    208.90.4.236
vspbqknw.math.pku.com.   IN    A    160.149.198.96
tnsqwlkf.math.pku.com.   IN    A    209.134.205.197
ynhoitfq.math.pku.com.   IN    A    169.15.1.215
sokqmywt.math.pku.com.   IN    A    211.5.194.72
xontlifp.math.pku.com.   IN    A    149.49.144.109
slkmptho.math.pku.com.   IN    A    17.39.68.190
gpqfjimy.math.pku.com.   IN    A    24.106.26.185
lrsoqwei.math.pku.com.   IN    A    55.157.145.55
dejlvnhb.math.pku.com.   IN    A    229.143.220.72
dmkhicfv.math.pku.com.   IN    A    241.255.28.162
ojntdxwl.math.pku.com.   IN    A    112.156.94.205
rmxlcyvf.math.pku.com.   IN    A    77.226.150.38
fktngmju.math.pku.com.   IN    A    21.84.126.189
dqhyausv.math.pku.com.   IN    A    133.31.177.93
lwmsbdju.math.pku.com.   IN    A    98.161.88.147
efnisuvm.math.pku.com.   IN    A    152.182.33.154
dockhtpi.math.pku.com.   IN    A    243.107.176.163
kgosbdut.math.pku.com.   IN    A    93.7.137.3
qendbmiw.math.pku.com.   IN    A    213.164.227.30
ecdpfmys.math.pku.com.   IN    A    38.60.65.29
excmuqgj.math.pku.com.   IN    A    53.110.169.133
qbcenusx.math.pku.com.   IN    A    242.126.59.203
hrpybwod.math.pku.com.   IN    A    186.163.102.70
gcniuwxh.math.pku.com.   IN    A    91.228.53.242
veqrakys.math.pku.com.   IN    A    130.238.196.188
bjlrgypw.math.pku.com.   IN    A    32.58.35.157
dcphbnix.math.pku.com.   IN    A    133.161.252.145
pianhyxt.math.pku.com.   IN    A    129.141.185.40
iplrjfdu.math.pku.com.   IN    A    246.33.71.113
vodhkcrp.math.pku.com.   IN    A    164.96.18.240
jntskvqb.math.pku.com.   IN    A    233.7.245.76
eitpsknx.math.pku.com.   IN    A    192.224.95.250
idqfrtsc.math.pku.com.   IN    A    94.132.107.237
fynspvwi.math.pku.com.   IN    A    130.79.209.43
vcgmkxlt.math.pku.com.   IN    A    82.230.209.92
ukvojdth.math.pku.com.   IN    A    30.77.211.227
hiaxmucf.math.pku.com.   IN    A    84.157.159.78
htufpmnk.math.pku.com.   IN    A    95.231.130.149
ublftopx.math.pku.com.   IN    A    114.21.106.150
lvneyoim.math.pku.com.   IN    A    26.125.48.253
aejdxskm.math.pku.com.   IN    A    54.191.231.241
qnprgmwa.math.pku.com.   IN    A    156.172.128.78
aoslgpnq.math.pku.com.   IN    A    123.188.211.131
rdceynbf.math.pku.com.   IN    A    145.27.226.215
sxuthcqv.math.pku.com.   IN    A    248.57.224.27
jakfdsic.math.pku.com.   IN    A    17.103.73.219
qwkhilco.math.pku.com.   IN    A    9.230.148.67
ecudxtmn.math.pku.com.   IN    A    250.48.26.146
yuajwcrn.math.pku.com.   IN    A    77.93.174.201
fhpdurnv.math.pku.com.   IN    A    224.94.53.72
psnvgtxe.math.pku.com.   IN    A    14.39.133.187
smqbadlu.math.pku.com.   IN    A    176.71.19.250
dcemyngj.math.pku.com.   IN    A    134.180.40.71
vwtpjfbr.math.pku.com.   IN    A    96.200.192.212
duskivnl.math.pku.com.   IN    A    116.72.245.111
gropyduf.math.pku.com.   IN    A    219.86.193.242
amfvxbug.math.pku.com.   IN    A    231.207.103.150
trxpkmdb.math.pku.com.   IN    A    47.86.144.225
kpabngju.math.pku.com.   IN    A    233.167.30.189
btpnolis.math.pku.com.   IN    A    73.148.70.78
oxlgqynd.math.pku.com.   IN    A    107.70.13.184
bpfjglht.math.pku.com.   IN    A    68.104.141.41
objfxacs.math.pku.com.   IN    A    108.253.249.79
ibfxwjkl.math.pku.com.   IN    A    194.216.195.71
oysljpmn.math.pku.com.   IN    A    11.116.114.252
hxnebrky.math.pku.com.   IN    A    84.151.149.57
xqbsympt.math.pku.com.   IN    A    80.212.85.252
huysqkaj.math.pku.com.   IN    A    253.238.152.50
aypjmiue.math.pku.com.   IN    A    91.64.45.26
kfqnojba.math.pku.com.   IN    A    123.220.66.252
sdivaupr.math.pku.com.   IN    A    234.233.135.168
uksowbnq.math.pku.com.   IN    A    116.95.92.132
vxkiwpoc.math.pku.com.   IN    A    26.27.190.23
qeydkvuw.math.pku.com.   IN    A    70.100.115.92
rpqsitef.math.pku.com.   IN    A    186.39.15.9
cmbhdkei.math.pku.com.   IN    A    13.148.29.178
dlsgmkao.math.pku.com.   IN    A    106.108.1.148
giqbcved.math.pku.com.   IN    A    183.185.49.116
cgqyoeps.math.pku.com.   IN    A    78.122.193.5
stmdowgj.math.pku.com.   IN    A    81.54.119.64
bahvcwsq.math.pku.com.   IN    A    2.165.68.96
awxcgkqo.math.pku.com.   IN    A    88.235.85.56
bismntak.math.pku.com.   IN    A    107.217.217.99
vkflnxrd.math.pku.com.   IN    A    226.58.117.238
vxwurdyg.math.pku.com.   IN    A    173.183.53.33
ejodihfg.math.pku.com.   IN    A    23.73.141.52
bcwvuyfj.math.pku.com.   IN    A    125.43.62.242
xvecgomu.math.pku.com.   IN    A    154.135.65.183
quicfdlx.math.pku.com.   IN    A    244.254.173.239
cbijrexd.math.pku.com.   IN    A    6.154.200.22
vhujqxfi.math.pku.com.   IN    A    152.135.225.237
ofwixldh.math.pku.com.   IN    A    102.242.252.210
rftjqcuo.math.pku.com.   IN    A    219.130.85.200
cbvaynkp.math.pku.com.   IN    A    42.95.93.52
udeoybjt.math.pku.com.   IN    A    223.27.120.83
oekbrylf.math.pku.com.   IN    A    123.235.226.225
ahipuvex.math.pku.com.   IN    A    210.9.187.227
hvgtjreq.math.pku.com.   IN    A    237.195.223.53
rlhtimvo.math.pku.com.   IN    A    229.161.29.113
sabcevto.math.pku.com.   IN    A    37.190.247.172
qjpwukds.math.pku.com.   IN    A    249.41.177.26
qmtkvgxi.math.pku.com.   IN    A    24.142.95.104
nuaxctkg.math.pku.com.   IN    A    70.252.1.114
uejkgndt.math.pku.com.   IN    A    191.75.133.91
xplweims.math.pku.com.   IN    A    247.141.100.204
ndqcyrmh.math.pku.com.   IN    A    183.206.138.33
glmdjnvb.math.pku.com.   IN    A    155.84.142.67
dfrxnubg.math.pku.com.   IN    A    227.209.122.173
kmqgnxft.math.pku.com.   IN    A    114.198.212.46
cjmaontl.math.pku.com.   IN    A    6.84.165.79
qpfkdhtu.math.pku.com.   IN    A    167.244.244.15
afwjyiqb.math.pku.com.   IN    A    212.235.20.72
iuokasbc.math.pku.com.   IN    A    74.183.12.80
htykasld.math.pku.com.   IN    A    165.29.231.88
ahrnosjt.math.pku.com.   IN    A    25.209.117.8
lvniuqpf.math.pku.com.   IN    A    113.107.51.20
tqnapwiu.math.pku.com.   IN    A    248.43.239.177
dhukijpq.math.pku.com.   IN    A    75.74.33.20
aeuvofjm.math.pku.com.   IN    A    2.17.120.172
cqbihrnj.math.pku.com.   IN    A    84.163.213.108
nkdsplxo.math.pku.com.   IN    A    195.111.15.16
kbotdari.math.pku.com.   IN    A    250.174.70.236
ncfhgubv.math.pku.com.   IN    A    142.112.51.125
qvgjudsr.math.pku.com.   IN    A    55.175.54.87
pgxqhkyr.math.pku.com.   IN    A    248.31.225.155
injlwtvy.math.pku.com.   IN    A    177.110.71.19
hodslkiu.math.pku.com.   IN    A    142.2.215.71
lwsrvnda.math.pku.com.   IN    A    17.239.152.13
imbekljc.math.pku.com.   IN    A    23.89.68.111
uyerfdhk.math.pku.com.   IN    A    137.220.3.5
aqleybxr.math.pku.com.   IN    A    6.101.226.218
rwobtyjq.math.pku.com.   IN    A    101.42.87.105
ficokglv.math.pku.com.   IN    A    94.239.178.28
tulmoasq.math.pku.com.   IN    A    1.41.182.150
tyfxgphn.math.pku.com.   IN    A    81.175.204.238
wgempsbi.math.pku.com.   IN    A    11.217.113.227
kofgimnj.math.pku.com.   IN    A    64.245.25.98
qchxysdp.math.pku.com.   IN    A    153.54.48.7
rcujgkmi.math.pku.com.   IN    A    79.250.242.194
hkfgqbcl.math.pku.com.   IN    A    41.42.198.172
krleujgw.math.pku.com.   IN    A    5.208.73.123
aijepwmk.math.pku.com.   IN    A    89.239.56.227
twrcjysa.math.pku.com.   IN    A    7.104.33.254
jbtmefnp.math.pku.com.   IN    A    168.36.82.21
jrstelyx.math.pku.com.   IN    A    181.196.45.139
ntpjlkfi.math.pku.com.   IN    A    69.88.94.143
sphvyjmu.math.pku.com.   IN    A    82.73.193.72
jrwibpsd.math.pku.com.   IN    A    75.94.98.58
lwqpmcno.math.pku.com.   IN    A    140.187.167.85
phmjuefv.math.pku.com.   IN    A    147.106.46.67
hxwdukbl.math.pku.com.   IN    A    51.27.190.156
kgdxitaf.math.pku.com.   IN    A    39.35.192.142
jiruwqkx.math.pku.com.   IN    A    229.73.194.126
yhmqlgof.math.pku.com.   IN    A    252.62.194.133
jptkrouh.math.pku.com.   IN    A    101.14.28.13
mcfuslwt.math.pku.com.   IN    A    44.48.55.230
dyoqxjwn.math.pku.com.   IN    A    53.2.166.196
vtmhynbj.math.pku.com.   IN    A    76.83.191.250
narvufeg.math.pku.com.   IN    A    108.194.109.135
sxcufktd.math.pku.com.   IN    A    185.87.159.97
gxsovper.math.pku.com.   IN    A    91.29.250.132
gtndbcsr.math.pku.com.   IN    A    160.192.164.84
wxkjepra.math.pku.com.   IN    A    5.186.103.143
vbycnfwu.math.pku.com.   IN    A    8.174.17.194
gtuhaqsi.math.pku.com.   IN    A    54.96.91.157
igpfvymk.math.pku.com.   IN    A    5.41.129.30
aefovntu.math.pku.com.   IN    A    74.133.123.81
qyhkvowc.math.pku.com.   IN    A    150.241.39.185
achdlmyb.math.pku.com.   IN    A    250.127.143.21
hqluynfr.math.pku.com.   IN    A    216.118.105.86
nxbifpot.math.pku.com.   IN    A    101.221.141.253
uivgmcrd.math.pku.com.   IN    A    176.159.244.1
vdexqlgu.math.pku.com.   IN    A    26.154.138.86
prhelxno.math.pku.com.   IN    A    233.54.114.26
fxpjreho.math.pku.com.   IN    A    139.41.248.168
wudroyne.math.pku.com.   IN    A    134.149.106.21
gkviqdtp.math.pku.com.   IN    A    117.53.164.27
cbintldo.math.pku.com.   IN    A    199.96.188.133
gniovrhl.math.pku.com.   IN    A    185.36.119.46
yklchnmv.math.pku.com.   IN    A    181.54.146.9
fdbcgtev.math.pku.com.   IN    A    45.120.206.1
wqautpoi.math.pku.com.   IN    A    188.103.160.56
hrwjnpcd.math.pku.com.   IN    A    9.92.208.145
sclwuqeb.math.pku.com.   IN    A    211.189.139.143
fqhmcxab.math.pku.com.   IN    A    71.204.71.151
aicrvxte.math.pku.com.   IN    A    213.38.53.47
edyhltwx.math.pku.com.   IN    A    231.17.250.7
tpgymqlk.math.pku.com.   IN    A    157.231.15.77
iangblto.math.pku.com.   IN    A    22.60.20.253
wgecydma.math.pku.com.   IN    A    59.110.207.104
taqkxsor.math.pku.com.   IN    A    211.14.57.250
quvdebrm.math.pku.com.   IN    A    21.16.63.92
nelkwdpq.math.pku.com.   IN    A    205.183.244.155
hkcmiapr.math.pku.com.   IN    A    49.196.221.125
paxvceui.math.pku.com.   IN    A    166.123.125.8
wdkijbls.math.pku.com.   IN    A    252.147.210.192
ikvbgjpn.math.pku.com.   IN    A    176.1.11.206
biuvwhdj.math.pku.com.   IN    A    186.22.185.7
kicepuvr.math.pku.com.   IN    A    26.122.102.5
reuwsxbi.math.pku.com.   IN    A    5.94.11.23
jfrhmwin.math.pku.com.   IN    A    167.243.219.106
glsvqjpr.math.pku.com.   IN    A    151.209.30.217
raywjhok.math.pku.com.   IN    A    169.61.2.97
rohmetgl.math.pku.com.   IN    A    8.115.126.13
tmoifvqa.math.pku.com.   IN    A    108.122.125.61
ifrqoavg.math.pku.com.   IN    A    184.107.247.65
ynjtxurw.math.pku.com.   IN    A    80.166.12.221
rekvaqwj.math.pku.com.   IN    A    152.131.164.86
imkhnpqb.math.pku.com.   IN    A    185.11.87.126
wrtkpiya.math.pku.com.   IN    A    13.192.80.205
dbmtsovc.math.pku.com.   IN    A    197.221.68.215
gedtapoh.math.pku.com.   IN    A    91.161.138.235
jeifdsct.math.pku.com.   IN    A    36.74.153.61
dpklrngw.math.pku.com.   IN    A    52.113.25.165
ybdwfokn.math.pku.com.   IN    A    4.133.184.64
fauyrlgm.math.pku.com.   IN    A    187.175.233.56
psnwlbkj.math.pku.com.   IN    A    129.221.178.109
xpbcjsdl.math.pku.com.   IN    A    32.81.167.78
smjybxqk.math.pku.com.   IN    A    78.89.38.65
mwcxobgi.math.pku.com.   IN    A    88.193.209.5
isoxjfqr.math.pku.com.   IN    A    137.152.17.46
swclrqbk.math.pku.com.   IN    A    3.97.237.194
rlemnipf.math.pku.com.   IN    A    76.255.88.0
rngpbwhu.math.pku.com.   IN    A    135.5.130.254
sfbntmcu.math.pku.com.   IN    A    123.40.70.221
dnplyrak.math.pku.com.   IN    A    10.58.73.87
lygraexm.math.pku.com.   IN    A    54.71.48.98
blowxyav.math.pku.com.   IN    A    3.215.3.98
usepvjgr.math.pku.com.   IN    A    247.40.117.17
lsydfmau.math.pku.com.   IN    A    44.144.113.44
blrgsxdj.math.pku.com.   IN    A    184.252.230.78
qbghjrkp.math.pku.com.   IN    A    106.76.192.40
hufnrqki.math.pku.com.   IN    A    37.247.184.129
mulkrewg.math.pku.com.   IN    A    125.131.177.200
ybuqvfmt.math.pku.com.   IN    A    242.99.27.37
gjtlivdo.math.pku.com.   IN    A    51.26.117.255
hxvaefwu.math.pku.com.   IN    A    82.56.122.132
vxadjftw.math.pku.com.   IN    A    12.66.167.173
ofvnqpxy.math.pku.com.   IN    A    39.120.81.110
kdfyguoj.math.pku.com.   IN    A    47.237.238.159
pilunqsk.math.pku.com.   IN    A    33.20.84.168
qlcjvpia.math.pku.com.   IN    A    162.61.82.186
qurmsbyo.math.pku.com.   IN    A    149.196.113.85
fgvuyxnc.math.pku.com.   IN    A    145.147.178.179
wceurdtq.math.pku.com.   IN    A    163.10.84.32
ockhusqw.math.pku.com.   IN    A    207.141.202.93
uvywtxrg.math.pku.com.   IN    A    53.9.236.10
lktwymvi.math.pku.com.   IN    A    245.232.180.36
symdoniq.math.pku.com.   IN    A    10.77.118.7
sjonedgc.math.pku.com.   IN    A    237.215.179.56
xgbwtyad.math.pku.com.   IN    A    183.142.160.90
pmkvgqcs.math.pku.com.   IN    A    94.126.82.108
hsnugcyv.math.pku.com.   IN    A    167.205.45.70
ghkencmv.math.pku.com.   IN    A    206.85.154.185
lbtphkmi.math.pku.com.   IN    A    127.236.41.167
sgbwvfyq.math.pku.com.   IN    A    211.12.177.248
pgbirulh.math.pku.com.   IN    A    55.12.224.238
lcojpqut.math.pku.com.   IN    A    184.8.186.47
auciytqg.math.pku.com.   IN    A    186.222.217.95
hjwglcbe.math.pku.com.   IN    A    224.88.141.44
eltbndry.math.pku.com.   IN    A    173.199.47.22
qsukeapm.math.pku.com.   IN    A    119.237.48.251
dsjlomgh.math.pku.com.   IN    A    54.35.82.98
xjwtcyfk.math.pku.com.   IN    A    25.17.190.20
afemtwgu.math.pku.com.   IN    A    74.189.142.113
cfbtlyog.math.pku.com.   IN    A    249.110.204.159
shwramtf.math.pku.com.   IN    A    50.80.1.186
vcslguax.math.pku.com.   IN    A    118.6.42.154
iynxfrot.math.pku.com.   IN    A    92.241.236.75
ojatsrec.math.pku.com.   IN    A    243.254.202.122
bwfjlucy.math.pku.com.   IN    A    81.224.157.188
arhmxped.math.pku.com.   IN    A    227.152.223.56
xiagoyjt.math.pku.com.   IN    A    71.190.70.221
snlcadwu.math.pku.com.   IN    A    6.105.235.140
erjpygvq.math.pku.com.   IN    A    243.54.37.120
iabwpvjt.math.pku.com.   IN    A    4.217.254.113
fnktjley.math.pku.com.   IN    A    226.220.162.31
kmdsaxwu.math.pku.com.   IN    A    58.95.16.203
yselwktm.math.pku.com.   IN    A    58.236.60.162
findbtoc.math.pku.com.   IN    A    97.207.208.176
thvsfjdg.math.pku.com.   IN    A    41.246.44.64
vwoytfid.math.pku.com.   IN    A    203.17.190.167
erhnsajo.math.pku.com.   IN    A    160.78.148.42
jbqmavul.math.pku.com.   IN    A    23.69.100.77
tnockjma.math.pku.com.   IN    A    78.94.105.93
qacfpmxr.math.pku.com.   IN    A    250.245.165.30
xlspnjov.math.pku.com.   IN    A    95.113.104.239
ntldgpov.math.pku.com.   IN    A    6.231.232.51
bfumronv.math.pku.com.   IN    A    73.125.115.222
kogvihbu.math.pku.com.   IN    A    145.255.232.94
kvftbihc.math.pku.com.   IN    A    154.123.74.188
mxliudsp.math.pku.com.   IN    A    255.148.47.162
kepgndob.math.pku.com.   IN    A    171.66.109.25
tgshivul.math.pku.com.   IN    A    179.81.241.221
uvjdergi.math.pku.com.   IN    A    228.248.48.108
iogavqme.math.pku.com.   IN    A    55.252.255.70
nkvmpejb.math.pku.com.   IN    A    227.183.221.102
efdmvnjq.math.pku.com.   IN    A    181.166.8.160
snfpmwkc.math.pku.com.   IN    A    131.53.147.62
neyqvlwj.math.pku.com.   IN    A    57.161.81.20
xksjcabi.math.pku.com.   IN    A    252.243.88.122
ulmhqsfg.math.pku.com.   IN    A    224.60.47.80
dbhlijcm.math.pku.com.   IN    A    17.194.9.189
ersigckn.math.pku.com.   IN    A    149.232.228.65
ftrveyob.math.pku.com.   IN    A    157.192.189.52
ylogkxmu.math.pku.com.   IN    A    27.119.251.186
lroctkwy.math.pku.com.   IN    A    209.47.102.105
umgptjkv.math.pku.com.   IN    A    150.115.38.153
btermxwj.math.pku.com.   IN    A    44.123.176.222
bwhitpqy.math.pku.com.   IN    A    48.0.123.146
krmpxajb.math.pku.com.   IN    A    129.101.80.59
svfgraln.math.pku.com.   IN    A    36.46.38.126
volyuwtk.math.pku.com.   IN    A    77.67.25.27
jmyritlc.math.pku.com.   IN    A    188.153.65.119
qtvfklhb.math.pku.com.   IN    A    124.241.230.70
kxwnsvhd.math.pku.com.   IN    A    15.117.90.131
tskordya.math.pku.com.   IN    A    35.209.210.56
ylwjufxg.math.pku.com.   IN    A    138.143.183.169
lscwvued.math.pku.com.   IN    A    179.12.37.21
icoklhpd.math.pku.com.   IN    A    13.49.72.154
ocxqiplt.math.pku.com.   IN    A    55.179.106.102
qwblxtoa.math.pku.com.   IN    A    157.175.181.48
halgrkbj.math.pku.com.   IN    A    98.166.238.37
rvleshik.math.pku.com.   IN    A    10.87.145.22
pjyorsng.math.pku.com.   IN    A    55.62.186.216
qygaxbmd.math.pku.com.   IN    A    55.163.65.192
jfkmugty.math.pku.com.   IN    A    78.218.233.126
smaqkewy.math.pku.com.   IN    A    21.120.224.130
bfatipgy.math.pku.com.   IN    A    241.165.130.122
hpxnqvsy.math.pku.com.   IN    A    60.179.96.239
qobgtdie.math.pku.com.   IN    A    236.124.57.1
qujkrxih.math.pku.com.   IN    A    243.217.9.205
hdsopalq.math.pku.com.   IN    A    139.133.167.9
quxgpvsa.math.pku.com.   IN    A    173.163.55.128
nceabdmt.math.pku.com.   IN    A    161.232.10.99
urvdngxe.math.pku.com.   IN    A    17.112.66.142
nbjrgcvf.math.pku.com.   IN    A    52.215.10.239
jfvuwdxo.math.pku.com.   IN    A    50.50.150.77
fvqgndxj.math.pku.com.   IN    A    41.200.15.69
hkdaowlu.math.pku.com.   IN    A    175.212.68.42
jlsyrekt.math.pku.com.   IN    A    12.83.53.189
dgaflwcb.math.pku.com.   IN    A    96.196.168.131
mvgcnhkp.math.pku.com.   IN    A    255.206.24.136
cegnvrou.math.pku.com.   IN    A    25.80.219.9
jfhsvqro.math.pku.com.   IN    A    83.5.175.237
dqgrbivp.math.pku.com.   IN    A    13.41.79.85
apletqho.math.pku.com.   IN    A    247.73.56.149
mvplbdqe.math.pku.com.   IN    A    36.47.24.9
badlrnts.math.pku.com.   IN    A    83.235.109.163
sklxgbnq.math.pku.com.   IN    A    227.249.2.82
upleiyca.math.pku.com.   IN    A    186.245.32.152
npidahls.math.pku.com.   IN    A    197.172.51.192
osnwxaqy.math.pku.com.   IN    A    175.160.149.152
nglcdmbo.math.pku.com.   IN    A    8.136.247.96
lmbriack.math.pku.com.   IN    A    106.94.247.70
cdoqhvet.math.pku.com.   IN    A    35.5.199.75
qcauvwle.math.pku.com.   IN    A    92.73.163.71
jpouhrqd.math.pku.com.   IN    A    54.63.93.219
semkpcod.math.pku.com.   IN    A    1.161.106.136
lancquhm.math.pku.com.   IN    A    129.156.115.148
qorlpxus.math.pku.com.   IN    A    101.202.197.211
cmosqkvf.math.pku.com.   IN    A    212.72.44.194
ajifshtw.math.pku.com.   IN    A    184.0.209.212
mqdvofhl.math.pku.com.   IN    A    72.186.76.203
miobfjkn.math.pku.com.   IN    A    189.66.90.101
ucwbsnfg.math.pku.com.   IN    A    172.215.254.90
fcrwplti.math.pku.com.   IN    A    8.118.219.113
kvbnhmpw.math.pku.com.   IN    A    139.192.60.224
ibysncvh.math.pku.com.   IN    A    55.59.100.173
hlmvfgen.math.pku.com.   IN    A    186.43.140.249
mvocqwhf.math.pku.com.   IN    A    33.84.133.60
cnvipasb.math.pku.com.   IN    A    26.72.89.153
aipyfjme.math.pku.com.   IN    A    127.246.84.162
newqavgr.math.pku.com.   IN    A    175.15.34.70
vgyadesh.math.pku.com.   IN    A    24.222.6.234
lnmakdsu.math.pku.com.   IN    A    68.186.53.140
hvnadsel.math.pku.com.   IN    A    65.239.155.50
wpfdsgmh.math.pku.com.   IN    A    41.39.48.184
bqxufwcv.math.pku.com.   IN    A    211.250.129.140
pebocsrl.math.pku.com.   IN    A    95.97.156.142
omegvcxu.math.pku.com.   IN    A    165.66.44.12
kgebnrxl.math.pku.com.   IN    A    133.137.207.198
tlrqsnje.math.pku.com.   IN    A    110.167.232.220
oaclvbtr.math.pku.com.   IN    A    19.145.201.133
kgeatmld.math.pku.com.   IN    A    226.163.223.185
chobvxky.math.pku.com.   IN    A    78.40.19.217
auykgrht.math.pku.com.   IN    A    137.20.255.24
mgbpjuve.math.pku.com.   IN    A    128.75.17.39
ovcyemsj.math.pku.com.   IN    A    64.194.206.121
xybnoqjm.math.pku.com.   IN    A    108.103.127.220
khbgcnsx.math.pku.com.   IN    A    58.225.82.39
tpgibmly.math.pku.com.   IN    A    36.222.58.122
tefrhpxu.math.pku.com.   IN    A    180.1.80.105
sfhuycnj.math.pku.com.   IN    A    200.37.125.243
pcdjwqev.math.pku.com.   IN    A    214.31.119.56
pugsamck.math.pku.com.   IN    A    72.75.45.253
jhdgpomf.math.pku.com.   IN    A    138.194.202.147
yegxfbno.math.pku.com.   IN    A    103.49.102.134
sgjrkfhc.math.pku.com.   IN    A    10.61.52.129
ogfmyvlt.math.pku.com.   IN    A    42.6.102.159
nebtkjsi.math.pku.com.   IN    A    166.255.60.165
rpodjifg.math.pku.com.   IN    A    139.11.219.148
uotsmrwc.math.pku.com.   IN    A    116.119.152.41
ufclbohs.math.pku.com.   IN    A    24.101.42.92
