www.cqu.com. 	14400	IN	SOA	ns1.www.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
www.cqu.com.		    IN	NS ns1.www.cqu.com.
lanorxqw.www.cqu.com.    IN    A    211.138.120.45
vdgxasir.www.cqu.com.    IN    A    110.11.56.216
ithryekx.www.cqu.com.    IN    A    105.217.142.234
lqbksjri.www.cqu.com.    IN    A    94.175.207.226
xtbfonws.www.cqu.com.    IN    A    28.58.168.217
hfimcstj.www.cqu.com.    IN    A    12.32.40.108
yaegwsnh.www.cqu.com.    IN    A    238.232.101.3
higmevtd.www.cqu.com.    IN    A    225.128.35.115
rcbgevyh.www.cqu.com.    IN    A    213.56.102.211
abipquxs.www.cqu.com.    IN    A    222.180.209.147
cstjhdxf.www.cqu.com.    IN    A    225.143.228.73
qblgsmrt.www.cqu.com.    IN    A    242.67.112.55
cfglekdj.www.cqu.com.    IN    A    65.14.31.101
yjkmhfit.www.cqu.com.    IN    A    82.130.213.67
hcdovwpe.www.cqu.com.    IN    A    183.165.44.76
utescorm.www.cqu.com.    IN    A    106.216.180.238
cpmgetlu.www.cqu.com.    IN    A    26.149.26.178
hfmvlpja.www.cqu.com.    IN    A    56.173.246.103
ixmgfsuc.www.cqu.com.    IN    A    84.201.152.235
vkohtxdy.www.cqu.com.    IN    A    90.239.234.68
njturhxk.www.cqu.com.    IN    A    120.238.108.200
byitachl.www.cqu.com.    IN    A    125.202.189.214
uywvkepj.www.cqu.com.    IN    A    122.103.62.172
tcdnrupj.www.cqu.com.    IN    A    111.146.133.181
guxekpso.www.cqu.com.    IN    A    32.101.150.48
vxhptroc.www.cqu.com.    IN    A    193.63.32.96
advgljin.www.cqu.com.    IN    A    157.146.182.85
vyflmexu.www.cqu.com.    IN    A    45.226.215.174
ajrbqesl.www.cqu.com.    IN    A    199.109.81.182
fakmhgsl.www.cqu.com.    IN    A    145.92.255.26
jqpnxguw.www.cqu.com.    IN    A    139.85.65.10
uavktelh.www.cqu.com.    IN    A    146.91.60.221
hmvwpuyq.www.cqu.com.    IN    A    109.71.192.40
sgipocuq.www.cqu.com.    IN    A    68.48.189.251
igevaxrl.www.cqu.com.    IN    A    12.227.220.75
gfntjklm.www.cqu.com.    IN    A    149.163.199.85
whunbmek.www.cqu.com.    IN    A    99.214.3.41
vbxklgwc.www.cqu.com.    IN    A    113.113.152.79
epjricla.www.cqu.com.    IN    A    16.85.55.38
atqhbird.www.cqu.com.    IN    A    86.12.46.80
rajswkcl.www.cqu.com.    IN    A    192.180.127.55
cktfdvmx.www.cqu.com.    IN    A    186.135.17.230
cyfkeswi.www.cqu.com.    IN    A    134.240.214.7
ojqsnfdh.www.cqu.com.    IN    A    193.172.187.144
cvaeyhmb.www.cqu.com.    IN    A    177.124.13.20
jtsevfqa.www.cqu.com.    IN    A    107.188.122.161
uaisenct.www.cqu.com.    IN    A    119.245.125.39
lbsmgjnu.www.cqu.com.    IN    A    255.109.208.57
pjwcxyug.www.cqu.com.    IN    A    91.23.239.89
rajuywgp.www.cqu.com.    IN    A    68.168.107.1
pqrcufgx.www.cqu.com.    IN    A    248.134.134.96
bepxdflh.www.cqu.com.    IN    A    233.32.105.252
enscfwyb.www.cqu.com.    IN    A    80.10.37.164
iowltpxc.www.cqu.com.    IN    A    162.17.167.82
ekgysxri.www.cqu.com.    IN    A    226.221.156.248
lcodukie.www.cqu.com.    IN    A    33.56.34.143
esnpiuar.www.cqu.com.    IN    A    22.84.254.73
fahtepxj.www.cqu.com.    IN    A    158.208.180.217
qauemitl.www.cqu.com.    IN    A    217.130.33.132
uwgtibao.www.cqu.com.    IN    A    114.222.38.107
puvfbdor.www.cqu.com.    IN    A    185.135.53.85
jbqsnyho.www.cqu.com.    IN    A    27.215.163.124
mhusgdqp.www.cqu.com.    IN    A    122.209.178.246
grxfpnkj.www.cqu.com.    IN    A    236.110.80.248
hafbwjie.www.cqu.com.    IN    A    148.173.117.13
ncvpslix.www.cqu.com.    IN    A    76.109.35.115
ivylsgba.www.cqu.com.    IN    A    44.135.112.176
hmtvcqpb.www.cqu.com.    IN    A    203.6.51.16
meiqhopl.www.cqu.com.    IN    A    10.25.239.55
lvnqksub.www.cqu.com.    IN    A    78.46.1.181
fwqsgmxn.www.cqu.com.    IN    A    180.164.127.85
tbgrevfl.www.cqu.com.    IN    A    101.71.187.153
uoqjbedf.www.cqu.com.    IN    A    220.173.43.69
gvawmcly.www.cqu.com.    IN    A    132.90.172.237
rykdpvfg.www.cqu.com.    IN    A    139.119.92.191
xtqchbuw.www.cqu.com.    IN    A    122.21.43.72
vnmbeoyr.www.cqu.com.    IN    A    191.32.243.243
blfgyoun.www.cqu.com.    IN    A    15.217.56.225
pdfxnglh.www.cqu.com.    IN    A    25.52.144.36
wpehmtai.www.cqu.com.    IN    A    229.126.46.33
uhfaxbiw.www.cqu.com.    IN    A    226.42.82.67
whrabfpg.www.cqu.com.    IN    A    155.201.105.13
pqehaljm.www.cqu.com.    IN    A    14.71.48.27
mtenbuaq.www.cqu.com.    IN    A    153.105.36.11
udqfpcoh.www.cqu.com.    IN    A    11.167.246.94
plsftvow.www.cqu.com.    IN    A    154.252.34.212
tsckdmne.www.cqu.com.    IN    A    112.23.76.28
utahxmko.www.cqu.com.    IN    A    39.212.220.40
dvpkfmlj.www.cqu.com.    IN    A    201.129.23.191
boxfvape.www.cqu.com.    IN    A    92.235.235.235
vaiygusc.www.cqu.com.    IN    A    163.225.111.175
crviupms.www.cqu.com.    IN    A    35.94.182.3
wjvtorhn.www.cqu.com.    IN    A    252.130.193.20
whymlieb.www.cqu.com.    IN    A    24.33.120.243
rhwsjxnq.www.cqu.com.    IN    A    88.7.143.139
eidmnaso.www.cqu.com.    IN    A    125.83.215.35
dqktugrl.www.cqu.com.    IN    A    25.98.93.114
djwuxmos.www.cqu.com.    IN    A    221.215.154.8
dbxawqpu.www.cqu.com.    IN    A    56.240.242.169
klxpyfwq.www.cqu.com.    IN    A    236.76.45.142
tkhjcuda.www.cqu.com.    IN    A    109.90.130.169
dmvihgba.www.cqu.com.    IN    A    94.218.17.178
ousvebir.www.cqu.com.    IN    A    202.149.14.72
rpivxwgk.www.cqu.com.    IN    A    85.12.128.236
wphqvyjt.www.cqu.com.    IN    A    211.13.57.80
imghkwus.www.cqu.com.    IN    A    169.71.140.147
empibtjn.www.cqu.com.    IN    A    236.219.7.162
irvnegst.www.cqu.com.    IN    A    179.7.170.242
rbctyhpf.www.cqu.com.    IN    A    98.95.101.223
fptkedxo.www.cqu.com.    IN    A    75.247.209.53
rckiwvjg.www.cqu.com.    IN    A    49.38.60.135
nbwshojd.www.cqu.com.    IN    A    170.38.255.190
nqgbplca.www.cqu.com.    IN    A    163.91.46.58
ubkryawc.www.cqu.com.    IN    A    14.15.109.41
yfmkxjuv.www.cqu.com.    IN    A    104.0.164.94
oitfjaev.www.cqu.com.    IN    A    196.215.145.69
axyksjio.www.cqu.com.    IN    A    189.71.34.71
nrpfqday.www.cqu.com.    IN    A    220.92.20.84
thlgyxmd.www.cqu.com.    IN    A    103.122.58.141
stoqdpia.www.cqu.com.    IN    A    150.237.221.220
yncfpblx.www.cqu.com.    IN    A    229.98.56.145
igeauskp.www.cqu.com.    IN    A    95.87.85.21
pnavegyq.www.cqu.com.    IN    A    201.110.121.87
qwmvgxjy.www.cqu.com.    IN    A    103.29.220.228
ikgywvxc.www.cqu.com.    IN    A    236.124.130.57
ypkvgwsx.www.cqu.com.    IN    A    80.128.100.134
jlnvkpbg.www.cqu.com.    IN    A    175.255.2.55
oqpukexb.www.cqu.com.    IN    A    52.26.49.108
emgfxpwd.www.cqu.com.    IN    A    54.164.50.239
grfumcty.www.cqu.com.    IN    A    247.133.72.217
bmjrcwsk.www.cqu.com.    IN    A    88.245.110.59
xraokjlu.www.cqu.com.    IN    A    209.158.62.73
mlgbkson.www.cqu.com.    IN    A    168.87.156.3
neaqvdoi.www.cqu.com.    IN    A    204.97.41.4
tpsfrdwi.www.cqu.com.    IN    A    251.50.92.83
rhgsmbfc.www.cqu.com.    IN    A    144.109.229.244
lsknguqi.www.cqu.com.    IN    A    196.85.158.134
hsdqctou.www.cqu.com.    IN    A    156.75.201.78
vomjnxec.www.cqu.com.    IN    A    115.49.65.138
qyujmgwt.www.cqu.com.    IN    A    53.200.43.24
kplbtujg.www.cqu.com.    IN    A    170.199.32.111
xkcwqrua.www.cqu.com.    IN    A    193.22.113.238
rjepokdi.www.cqu.com.    IN    A    24.143.156.236
luqhdjnw.www.cqu.com.    IN    A    146.184.213.190
pnwyimbl.www.cqu.com.    IN    A    87.167.17.141
kjocwnir.www.cqu.com.    IN    A    53.21.209.1
tgmpwbja.www.cqu.com.    IN    A    58.146.10.183
vlbcfosk.www.cqu.com.    IN    A    21.253.123.41
lbwogqdy.www.cqu.com.    IN    A    189.14.103.27
jwpihseo.www.cqu.com.    IN    A    79.134.91.162
oeqrnkmp.www.cqu.com.    IN    A    47.111.21.241
srxtikqo.www.cqu.com.    IN    A    44.18.153.124
hvitodbk.www.cqu.com.    IN    A    172.214.42.57
dvisqgrp.www.cqu.com.    IN    A    132.174.25.142
pmsorlgw.www.cqu.com.    IN    A    38.230.141.173
jclubeqy.www.cqu.com.    IN    A    157.8.117.105
rnitukvy.www.cqu.com.    IN    A    158.25.113.78
sharnewc.www.cqu.com.    IN    A    61.229.87.87
rglpadhv.www.cqu.com.    IN    A    81.91.74.145
xoivgjue.www.cqu.com.    IN    A    12.197.115.206
ceynmdia.www.cqu.com.    IN    A    235.105.176.95
dbahepls.www.cqu.com.    IN    A    77.157.249.118
rablfngy.www.cqu.com.    IN    A    222.187.190.193
yhcqoind.www.cqu.com.    IN    A    50.177.11.98
gyejdbwu.www.cqu.com.    IN    A    240.145.100.250
cgtpwyhd.www.cqu.com.    IN    A    19.232.247.168
fpqjxcmg.www.cqu.com.    IN    A    40.141.52.4
ovhbljea.www.cqu.com.    IN    A    68.76.232.141
byqmvkec.www.cqu.com.    IN    A    86.76.23.127
doukphrs.www.cqu.com.    IN    A    144.182.246.60
gvdohbjm.www.cqu.com.    IN    A    174.212.165.140
nimlcsqx.www.cqu.com.    IN    A    102.156.246.0
hqxgvamw.www.cqu.com.    IN    A    42.100.127.176
bpnearoy.www.cqu.com.    IN    A    204.204.167.109
vqeyfrig.www.cqu.com.    IN    A    187.170.179.52
nmlygfdq.www.cqu.com.    IN    A    151.59.203.240
ojbarwqt.www.cqu.com.    IN    A    199.193.5.169
opunybck.www.cqu.com.    IN    A    227.217.140.172
qmpdehao.www.cqu.com.    IN    A    47.85.199.201
elhjcaqx.www.cqu.com.    IN    A    25.129.99.140
upjhlqvo.www.cqu.com.    IN    A    169.204.22.101
ejhgmlfd.www.cqu.com.    IN    A    172.248.140.23
hmkotiqp.www.cqu.com.    IN    A    144.70.239.50
xsvdnbfw.www.cqu.com.    IN    A    56.235.138.38
qgblkjmo.www.cqu.com.    IN    A    67.17.102.15
sdhmgwxn.www.cqu.com.    IN    A    143.124.100.1
khexwsnr.www.cqu.com.    IN    A    110.66.140.85
bahmigvt.www.cqu.com.    IN    A    136.29.97.36
lrvgufdb.www.cqu.com.    IN    A    77.123.218.27
iuacostl.www.cqu.com.    IN    A    213.210.135.227
rbxhawsv.www.cqu.com.    IN    A    148.108.7.251
shilvwkb.www.cqu.com.    IN    A    0.165.187.31
eyxpolta.www.cqu.com.    IN    A    149.31.44.77
ipunmwca.www.cqu.com.    IN    A    103.91.71.86
twfxqyam.www.cqu.com.    IN    A    106.184.164.171
lrcuyvno.www.cqu.com.    IN    A    11.16.43.226
xkdtrqao.www.cqu.com.    IN    A    253.242.56.214
lsuqodkn.www.cqu.com.    IN    A    211.169.232.108
odilrtuq.www.cqu.com.    IN    A    220.249.183.22
cwkoegap.www.cqu.com.    IN    A    188.205.232.48
kqwtyjra.www.cqu.com.    IN    A    76.121.104.205
ugtpxbyo.www.cqu.com.    IN    A    245.65.175.105
kesdjvin.www.cqu.com.    IN    A    51.92.134.60
eogtjaqm.www.cqu.com.    IN    A    192.194.236.155
ltqgrwbk.www.cqu.com.    IN    A    63.204.47.213
biuvwsle.www.cqu.com.    IN    A    165.116.13.178
gymcsbfk.www.cqu.com.    IN    A    247.149.9.126
qhxrvmfi.www.cqu.com.    IN    A    170.19.17.73
gfdnsmqp.www.cqu.com.    IN    A    159.66.253.73
sajkumrv.www.cqu.com.    IN    A    193.153.130.127
thpyrwae.www.cqu.com.    IN    A    50.121.115.188
dyohqpsr.www.cqu.com.    IN    A    4.210.73.196
qefagtry.www.cqu.com.    IN    A    70.151.110.214
jhiktnqy.www.cqu.com.    IN    A    138.52.163.240
rwhdqbpn.www.cqu.com.    IN    A    145.253.184.238
ohmtpqyf.www.cqu.com.    IN    A    224.143.115.65
upalqodj.www.cqu.com.    IN    A    66.136.65.54
pkigldsv.www.cqu.com.    IN    A    14.196.143.97
prkfluxn.www.cqu.com.    IN    A    118.203.131.183
eaifxmsg.www.cqu.com.    IN    A    115.181.245.42
satvxdjp.www.cqu.com.    IN    A    204.77.189.39
ynvchidr.www.cqu.com.    IN    A    151.181.153.131
xwmvgijr.www.cqu.com.    IN    A    78.46.89.26
flosavjr.www.cqu.com.    IN    A    15.53.70.195
htiynlcq.www.cqu.com.    IN    A    210.235.150.208
myvbnfqw.www.cqu.com.    IN    A    222.237.124.146
cdskvywb.www.cqu.com.    IN    A    94.253.14.16
nmhupvfj.www.cqu.com.    IN    A    91.99.229.192
fnlkcmwg.www.cqu.com.    IN    A    103.96.173.96
gbfwjand.www.cqu.com.    IN    A    149.22.37.100
ahpsdljt.www.cqu.com.    IN    A    0.166.251.120
pioalrcx.www.cqu.com.    IN    A    183.244.158.199
blejchdr.www.cqu.com.    IN    A    87.250.76.11
ylmeqhft.www.cqu.com.    IN    A    32.7.3.165
aoyckwtx.www.cqu.com.    IN    A    254.149.167.69
ybnjgmkl.www.cqu.com.    IN    A    167.111.99.117
tnhdvsau.www.cqu.com.    IN    A    38.103.44.18
uocatrlv.www.cqu.com.    IN    A    230.200.204.143
lamgivph.www.cqu.com.    IN    A    189.201.13.31
srpmhbqn.www.cqu.com.    IN    A    245.195.234.249
eshylorm.www.cqu.com.    IN    A    193.184.185.108
ftpavlwn.www.cqu.com.    IN    A    29.4.63.218
orxlfkqw.www.cqu.com.    IN    A    71.46.69.168
gjtwsqdr.www.cqu.com.    IN    A    170.150.194.217
jdawfrhx.www.cqu.com.    IN    A    68.216.178.98
wkftexva.www.cqu.com.    IN    A    45.23.99.16
ociyfxhu.www.cqu.com.    IN    A    164.196.98.126
yavernxp.www.cqu.com.    IN    A    116.248.167.42
hbrjopvg.www.cqu.com.    IN    A    55.18.22.169
mcdxgvso.www.cqu.com.    IN    A    77.40.90.55
tsgairod.www.cqu.com.    IN    A    131.1.216.218
vlaiykdc.www.cqu.com.    IN    A    179.171.134.54
juwtoedl.www.cqu.com.    IN    A    55.128.177.15
epivfsou.www.cqu.com.    IN    A    120.74.45.130
wtqfpkbg.www.cqu.com.    IN    A    213.214.126.217
qxusolpd.www.cqu.com.    IN    A    157.104.10.243
xflodgnp.www.cqu.com.    IN    A    16.69.139.41
eyqcbalo.www.cqu.com.    IN    A    4.246.200.195
gvedslho.www.cqu.com.    IN    A    87.11.228.60
jhskfqrb.www.cqu.com.    IN    A    107.166.158.179
vornqxmj.www.cqu.com.    IN    A    228.15.174.37
bmpcfxwd.www.cqu.com.    IN    A    92.201.135.230
jbwnhdgo.www.cqu.com.    IN    A    216.164.3.177
fykrilph.www.cqu.com.    IN    A    90.66.45.238
rmcjswuk.www.cqu.com.    IN    A    234.178.243.33
ghumoctk.www.cqu.com.    IN    A    161.46.221.115
udsypxjn.www.cqu.com.    IN    A    211.2.37.192
pkxeibra.www.cqu.com.    IN    A    8.84.7.136
ejmoqfgs.www.cqu.com.    IN    A    246.227.119.190
rnmliydc.www.cqu.com.    IN    A    84.188.192.104
wdgacynj.www.cqu.com.    IN    A    24.156.18.84
vhnudqal.www.cqu.com.    IN    A    91.164.137.78
gqvkdrje.www.cqu.com.    IN    A    75.145.234.8
tygkeipx.www.cqu.com.    IN    A    205.29.210.133
hutermoa.www.cqu.com.    IN    A    66.80.18.90
osvgheuj.www.cqu.com.    IN    A    229.10.189.29
afvmkxhw.www.cqu.com.    IN    A    103.105.9.170
fiakehmd.www.cqu.com.    IN    A    255.101.245.59
lynvxrds.www.cqu.com.    IN    A    51.77.151.167
fuhjtlys.www.cqu.com.    IN    A    149.225.142.137
bovxufnk.www.cqu.com.    IN    A    135.229.65.7
hwcslogn.www.cqu.com.    IN    A    238.213.33.138
nguatyqh.www.cqu.com.    IN    A    29.87.128.195
uwodvteg.www.cqu.com.    IN    A    68.112.215.60
uieavbdc.www.cqu.com.    IN    A    64.118.45.226
mnjlrvdf.www.cqu.com.    IN    A    125.173.60.9
iqnpyvjx.www.cqu.com.    IN    A    26.220.227.185
scmakgfv.www.cqu.com.    IN    A    219.58.58.120
tosceuvd.www.cqu.com.    IN    A    5.27.89.52
asvunwlp.www.cqu.com.    IN    A    60.242.143.153
btfeolvy.www.cqu.com.    IN    A    103.39.19.145
ikyjrpqx.www.cqu.com.    IN    A    63.91.110.137
htdryjkq.www.cqu.com.    IN    A    226.149.121.162
tnamlfoq.www.cqu.com.    IN    A    206.252.73.51
tjpaivcg.www.cqu.com.    IN    A    82.96.20.93
klnefrid.www.cqu.com.    IN    A    113.117.249.218
mnbvckfo.www.cqu.com.    IN    A    197.177.125.100
onbdfwsx.www.cqu.com.    IN    A    76.232.21.14
lgbqfnch.www.cqu.com.    IN    A    147.136.76.82
ongicdqx.www.cqu.com.    IN    A    185.197.3.169
xwrmqcbo.www.cqu.com.    IN    A    116.152.229.135
kyuqlpai.www.cqu.com.    IN    A    77.202.42.117
pxjhocfm.www.cqu.com.    IN    A    93.110.231.47
vmdwgkqa.www.cqu.com.    IN    A    149.62.193.202
imudqnya.www.cqu.com.    IN    A    154.15.21.105
iyfqtekn.www.cqu.com.    IN    A    255.209.84.77
ayutslfx.www.cqu.com.    IN    A    48.251.119.222
mitqkdwg.www.cqu.com.    IN    A    14.67.17.106
cigaqwvj.www.cqu.com.    IN    A    117.158.207.134
cibefrkd.www.cqu.com.    IN    A    243.239.78.92
skapjngx.www.cqu.com.    IN    A    158.67.239.109
omjdyxsg.www.cqu.com.    IN    A    35.53.6.218
esraplcj.www.cqu.com.    IN    A    101.167.235.124
ujisormh.www.cqu.com.    IN    A    144.199.225.188
qwhmgtys.www.cqu.com.    IN    A    168.121.146.213
uqhxbild.www.cqu.com.    IN    A    57.129.162.204
rqwkxgpj.www.cqu.com.    IN    A    24.87.241.236
owqkjdfp.www.cqu.com.    IN    A    229.64.143.35
kvbcuyjm.www.cqu.com.    IN    A    52.247.151.247
ugylspjx.www.cqu.com.    IN    A    25.50.242.92
mwbsueay.www.cqu.com.    IN    A    92.177.86.110
waujrcvq.www.cqu.com.    IN    A    21.103.105.34
smkfyjlg.www.cqu.com.    IN    A    72.57.44.242
cghkirmf.www.cqu.com.    IN    A    122.52.129.102
trovcdpa.www.cqu.com.    IN    A    83.129.148.110
xwjfblqs.www.cqu.com.    IN    A    91.197.31.171
ueycpwfl.www.cqu.com.    IN    A    233.227.155.222
qgujnrat.www.cqu.com.    IN    A    135.104.38.116
csaoubgw.www.cqu.com.    IN    A    123.220.9.19
damohcij.www.cqu.com.    IN    A    197.146.125.246
gculebij.www.cqu.com.    IN    A    165.76.146.221
mnjpielh.www.cqu.com.    IN    A    173.53.171.141
qmwexvoi.www.cqu.com.    IN    A    140.25.141.202
dqvclteo.www.cqu.com.    IN    A    3.119.161.180
dbsjwkar.www.cqu.com.    IN    A    84.167.252.148
ejabysod.www.cqu.com.    IN    A    218.150.155.47
roxmkqgp.www.cqu.com.    IN    A    70.140.227.133
cilbjfym.www.cqu.com.    IN    A    214.206.138.231
qrawexdt.www.cqu.com.    IN    A    6.37.98.148
srkcndqj.www.cqu.com.    IN    A    75.49.205.190
rmvaioup.www.cqu.com.    IN    A    31.245.153.34
klpioaqe.www.cqu.com.    IN    A    255.47.127.126
sqjaihdw.www.cqu.com.    IN    A    66.182.224.163
qecapnok.www.cqu.com.    IN    A    116.137.112.168
wpclufis.www.cqu.com.    IN    A    37.193.216.251
tbpkfxns.www.cqu.com.    IN    A    143.153.50.46
hmxkelwy.www.cqu.com.    IN    A    198.151.51.182
rgidamvl.www.cqu.com.    IN    A    143.220.248.151
puhkayle.www.cqu.com.    IN    A    18.82.176.193
huneqrxw.www.cqu.com.    IN    A    139.174.54.142
aibmwxks.www.cqu.com.    IN    A    168.122.203.86
fsptmudi.www.cqu.com.    IN    A    255.241.4.25
doynepkf.www.cqu.com.    IN    A    137.128.159.161
kqumtafw.www.cqu.com.    IN    A    216.232.145.246
nwausbdj.www.cqu.com.    IN    A    212.125.169.228
gicubkox.www.cqu.com.    IN    A    41.24.183.135
dkcrshim.www.cqu.com.    IN    A    81.88.118.20
dmoiftqr.www.cqu.com.    IN    A    64.8.4.14
ntkolbxf.www.cqu.com.    IN    A    75.187.45.130
raxvytcj.www.cqu.com.    IN    A    235.91.166.98
iasxtfru.www.cqu.com.    IN    A    100.253.65.242
qxniyjls.www.cqu.com.    IN    A    99.150.159.203
xtslfqve.www.cqu.com.    IN    A    189.247.179.75
puilwnxt.www.cqu.com.    IN    A    136.107.83.191
ocegjmpw.www.cqu.com.    IN    A    8.202.24.42
xkblqwnd.www.cqu.com.    IN    A    135.79.75.81
qireuxnc.www.cqu.com.    IN    A    110.233.25.162
ihlromna.www.cqu.com.    IN    A    38.126.82.135
aefxcyru.www.cqu.com.    IN    A    128.3.143.98
veqjnrmi.www.cqu.com.    IN    A    212.219.11.247
lpfihwta.www.cqu.com.    IN    A    79.68.246.106
uemwrhog.www.cqu.com.    IN    A    89.131.185.122
woxeljkt.www.cqu.com.    IN    A    9.148.187.85
hpmdcgti.www.cqu.com.    IN    A    30.36.114.239
jydotwku.www.cqu.com.    IN    A    251.86.75.118
klpvbfmo.www.cqu.com.    IN    A    23.122.45.184
yqkmehbx.www.cqu.com.    IN    A    191.231.115.241
mbcgwksp.www.cqu.com.    IN    A    124.16.59.187
shmibdgk.www.cqu.com.    IN    A    159.147.180.194
vraqshpk.www.cqu.com.    IN    A    107.122.44.118
mycdghne.www.cqu.com.    IN    A    244.121.86.204
xoycwntl.www.cqu.com.    IN    A    98.177.43.85
oqxfydwe.www.cqu.com.    IN    A    90.10.85.24
akwjlbpu.www.cqu.com.    IN    A    109.218.107.52
aknsfdhe.www.cqu.com.    IN    A    217.92.192.187
jqibnapw.www.cqu.com.    IN    A    122.230.99.115
lwcpenog.www.cqu.com.    IN    A    187.79.107.103
qhabtwjx.www.cqu.com.    IN    A    21.166.104.177
xmrydqai.www.cqu.com.    IN    A    90.202.177.201
kyimgasr.www.cqu.com.    IN    A    72.125.199.152
pjnmlwif.www.cqu.com.    IN    A    23.224.123.173
acwdhmxn.www.cqu.com.    IN    A    2.109.178.254
ypiwtuso.www.cqu.com.    IN    A    170.163.186.48
oqmeufbl.www.cqu.com.    IN    A    133.72.164.108
gcsktvax.www.cqu.com.    IN    A    185.133.218.249
pkbtesrf.www.cqu.com.    IN    A    1.1.134.19
xrfbyepv.www.cqu.com.    IN    A    125.216.210.189
lrxpswbf.www.cqu.com.    IN    A    117.119.103.229
jcfnbphs.www.cqu.com.    IN    A    166.119.243.71
jxqswbyg.www.cqu.com.    IN    A    187.176.35.86
odlvxjiq.www.cqu.com.    IN    A    116.217.38.3
ekfgmhdp.www.cqu.com.    IN    A    162.211.71.100
hyrqwutx.www.cqu.com.    IN    A    23.24.118.67
xkeybtrv.www.cqu.com.    IN    A    139.28.110.126
wxpvbudy.www.cqu.com.    IN    A    113.214.143.40
snylgbet.www.cqu.com.    IN    A    76.224.25.115
cvbfjuxe.www.cqu.com.    IN    A    166.222.86.226
oluqycps.www.cqu.com.    IN    A    233.210.151.236
ywiamunl.www.cqu.com.    IN    A    40.76.127.107
blxqoeft.www.cqu.com.    IN    A    85.192.85.210
pblgxryc.www.cqu.com.    IN    A    125.101.145.116
tpyceqmi.www.cqu.com.    IN    A    243.52.223.159
dmuyvftn.www.cqu.com.    IN    A    12.172.56.244
bimuvfna.www.cqu.com.    IN    A    130.198.237.195
bawoimgr.www.cqu.com.    IN    A    215.78.103.54
ixakhjtq.www.cqu.com.    IN    A    103.178.187.244
phcbqast.www.cqu.com.    IN    A    235.161.246.162
jubvtrkn.www.cqu.com.    IN    A    206.176.2.253
jhmnflkb.www.cqu.com.    IN    A    169.57.248.124
kjbmqcgf.www.cqu.com.    IN    A    21.176.210.22
qolegrwn.www.cqu.com.    IN    A    101.203.23.95
auxmoeld.www.cqu.com.    IN    A    163.243.3.131
lkypvejw.www.cqu.com.    IN    A    216.44.139.14
yditlrsf.www.cqu.com.    IN    A    217.47.113.128
aicxvfnw.www.cqu.com.    IN    A    182.235.63.101
umxhfsjl.www.cqu.com.    IN    A    44.54.55.115
jeicdwho.www.cqu.com.    IN    A    115.134.126.100
grpwxkdn.www.cqu.com.    IN    A    225.78.114.22
uarvipwq.www.cqu.com.    IN    A    252.131.119.56
xjlincdw.www.cqu.com.    IN    A    137.106.24.105
yuqnwxcg.www.cqu.com.    IN    A    203.115.107.164
knpleoby.www.cqu.com.    IN    A    141.177.139.191
hbroekyg.www.cqu.com.    IN    A    4.166.27.5
mdfowxji.www.cqu.com.    IN    A    176.151.208.68
fihuqgjp.www.cqu.com.    IN    A    90.1.4.163
rejmgtbw.www.cqu.com.    IN    A    147.64.18.35
eogfxaup.www.cqu.com.    IN    A    21.123.247.200
pgcswfjx.www.cqu.com.    IN    A    29.199.20.171
fwsumkdy.www.cqu.com.    IN    A    0.166.242.105
rxophwjf.www.cqu.com.    IN    A    181.92.83.61
npmwultb.www.cqu.com.    IN    A    250.48.73.125
juelwkod.www.cqu.com.    IN    A    45.17.110.117
lnxhmrvs.www.cqu.com.    IN    A    242.26.232.204
egtmuhbw.www.cqu.com.    IN    A    215.107.169.42
yxpudlgc.www.cqu.com.    IN    A    137.57.217.9
eywtjmps.www.cqu.com.    IN    A    53.248.248.146
qcoatrwm.www.cqu.com.    IN    A    106.134.206.107
vscafmpb.www.cqu.com.    IN    A    242.186.252.4
eniasbru.www.cqu.com.    IN    A    83.132.141.116
wivkqbgt.www.cqu.com.    IN    A    209.132.162.240
eimkngac.www.cqu.com.    IN    A    89.99.133.205
wxpdjtnm.www.cqu.com.    IN    A    114.11.88.10
youtprxa.www.cqu.com.    IN    A    135.122.97.168
vdatxwyn.www.cqu.com.    IN    A    166.209.33.152
nqxraihu.www.cqu.com.    IN    A    253.250.238.10
icwslvan.www.cqu.com.    IN    A    141.190.132.26
yemrqalu.www.cqu.com.    IN    A    165.194.49.83
ixosagyu.www.cqu.com.    IN    A    160.146.114.94
vdflwmah.www.cqu.com.    IN    A    198.72.196.212
snaymhgb.www.cqu.com.    IN    A    100.121.199.134
yruslpwb.www.cqu.com.    IN    A    129.192.213.179
ngofjvrp.www.cqu.com.    IN    A    74.222.82.126
onrqbveh.www.cqu.com.    IN    A    70.16.94.178
isogdckh.www.cqu.com.    IN    A    11.187.205.34
ykixqcgl.www.cqu.com.    IN    A    120.44.26.140
jyupsmlx.www.cqu.com.    IN    A    125.134.191.76
ilxujfvr.www.cqu.com.    IN    A    43.254.156.135
mjdwqyax.www.cqu.com.    IN    A    247.87.91.59
nrjbkgsf.www.cqu.com.    IN    A    108.120.221.204
dirxgmhu.www.cqu.com.    IN    A    234.73.49.43
msdgqiop.www.cqu.com.    IN    A    205.112.41.172
ilgrejmd.www.cqu.com.    IN    A    94.135.207.16
lbvjwgmk.www.cqu.com.    IN    A    74.125.57.35
