arch.tju.com.	14400	IN	SOA	ns1.arch.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
arch.tju.com.		    IN	NS ns1.arch.tju.com.
snkhvpgj.arch.tju.com.   IN    A    196.50.50.57
wahuvceb.arch.tju.com.   IN    A    215.82.251.125
ocbfrjkw.arch.tju.com.   IN    A    119.122.10.214
bjvqtxcm.arch.tju.com.   IN    A    151.213.75.53
vlqxbynw.arch.tju.com.   IN    A    166.99.145.46
ktuibrep.arch.tju.com.   IN    A    152.25.135.104
okysnqfi.arch.tju.com.   IN    A    101.194.36.0
suabdkxg.arch.tju.com.   IN    A    203.158.83.194
opwcdarl.arch.tju.com.   IN    A    162.220.42.32
uoqjlxki.arch.tju.com.   IN    A    1.177.231.68
tmynvxqb.arch.tju.com.   IN    A    70.43.122.59
bwvtoani.arch.tju.com.   IN    A    48.143.36.44
xvtkdwrg.arch.tju.com.   IN    A    146.185.32.105
wqlpmyrh.arch.tju.com.   IN    A    228.69.99.171
ejbvowxn.arch.tju.com.   IN    A    56.186.47.16
giavebyu.arch.tju.com.   IN    A    101.157.144.63
dyhkiwju.arch.tju.com.   IN    A    104.162.163.159
lpigonws.arch.tju.com.   IN    A    19.241.245.44
gwfmuqkc.arch.tju.com.   IN    A    149.3.248.143
dslaeqvr.arch.tju.com.   IN    A    104.183.126.90
tnofiuqg.arch.tju.com.   IN    A    197.253.15.111
gmtbqifv.arch.tju.com.   IN    A    190.4.170.94
htdkjngq.arch.tju.com.   IN    A    247.250.17.123
ofdunxih.arch.tju.com.   IN    A    118.5.36.179
pcoxiskd.arch.tju.com.   IN    A    105.209.51.247
xfbjmesi.arch.tju.com.   IN    A    218.47.155.48
hmleqygv.arch.tju.com.   IN    A    251.194.6.72
flvbexwh.arch.tju.com.   IN    A    211.58.239.146
amjwntyq.arch.tju.com.   IN    A    214.45.242.196
fsjeiubt.arch.tju.com.   IN    A    186.239.187.236
vqodirte.arch.tju.com.   IN    A    171.237.170.37
flydewrg.arch.tju.com.   IN    A    69.99.78.186
mybvukan.arch.tju.com.   IN    A    251.180.207.89
cdtpksum.arch.tju.com.   IN    A    182.42.232.35
yuxsqdek.arch.tju.com.   IN    A    232.138.177.65
ktchyfmx.arch.tju.com.   IN    A    90.202.47.98
nvdsikcf.arch.tju.com.   IN    A    52.64.168.234
jtqblrgf.arch.tju.com.   IN    A    23.5.189.217
sqavguhm.arch.tju.com.   IN    A    79.67.79.195
vhoxfdwm.arch.tju.com.   IN    A    151.31.95.209
ntcgslmh.arch.tju.com.   IN    A    150.154.191.16
jhkmtrqy.arch.tju.com.   IN    A    135.132.254.223
fumbtwka.arch.tju.com.   IN    A    98.124.57.152
kbvmapjw.arch.tju.com.   IN    A    131.50.191.85
lokrxqmd.arch.tju.com.   IN    A    168.3.232.14
dwbxpjcs.arch.tju.com.   IN    A    228.142.242.44
mjutcdyv.arch.tju.com.   IN    A    116.49.13.167
xsoytunk.arch.tju.com.   IN    A    46.237.103.15
eqtskcyg.arch.tju.com.   IN    A    184.208.166.69
byemoruk.arch.tju.com.   IN    A    241.13.8.111
qnjouswh.arch.tju.com.   IN    A    95.24.65.71
vwfnkaou.arch.tju.com.   IN    A    140.63.130.51
glunojpq.arch.tju.com.   IN    A    236.158.124.156
skynxqmu.arch.tju.com.   IN    A    31.100.76.48
mlhpxosk.arch.tju.com.   IN    A    14.75.177.8
sfimklyh.arch.tju.com.   IN    A    241.39.217.180
mysjwxnd.arch.tju.com.   IN    A    254.102.144.172
dejwbunv.arch.tju.com.   IN    A    83.7.47.232
ibomlfgt.arch.tju.com.   IN    A    14.51.238.35
flymqoiv.arch.tju.com.   IN    A    150.54.179.124
nhcpqekv.arch.tju.com.   IN    A    159.175.49.155
gojvtamu.arch.tju.com.   IN    A    138.187.160.90
yuavtnqj.arch.tju.com.   IN    A    14.222.212.36
wrquekdl.arch.tju.com.   IN    A    187.105.49.4
uhmribey.arch.tju.com.   IN    A    87.100.8.199
kouwfgpr.arch.tju.com.   IN    A    252.153.209.36
etncvska.arch.tju.com.   IN    A    55.99.143.165
emclgwrb.arch.tju.com.   IN    A    50.181.100.80
wctnpvdm.arch.tju.com.   IN    A    190.44.255.109
bjtdlfnk.arch.tju.com.   IN    A    35.141.80.58
nbrxcosm.arch.tju.com.   IN    A    155.210.241.135
ywdklfbv.arch.tju.com.   IN    A    228.220.231.61
ouwlmrkq.arch.tju.com.   IN    A    109.93.79.199
cjguoraq.arch.tju.com.   IN    A    227.149.20.11
hucwdxgo.arch.tju.com.   IN    A    213.235.90.208
bcydjwek.arch.tju.com.   IN    A    136.210.50.119
jcnuwphx.arch.tju.com.   IN    A    102.247.4.242
gydxuomb.arch.tju.com.   IN    A    89.50.23.52
dfbucrko.arch.tju.com.   IN    A    184.173.217.13
nqrlieps.arch.tju.com.   IN    A    28.219.111.156
bwajgkxi.arch.tju.com.   IN    A    4.33.101.22
mrtonsva.arch.tju.com.   IN    A    83.17.2.187
ecsbglor.arch.tju.com.   IN    A    11.118.174.10
yqwvdaft.arch.tju.com.   IN    A    2.35.187.28
bpkenlsi.arch.tju.com.   IN    A    65.168.191.206
ahptjxsb.arch.tju.com.   IN    A    189.132.12.75
hiopejny.arch.tju.com.   IN    A    122.99.51.145
dxstvapi.arch.tju.com.   IN    A    187.7.24.21
sretpqob.arch.tju.com.   IN    A    248.169.66.228
oeknuxpg.arch.tju.com.   IN    A    191.5.15.247
cpyhvxes.arch.tju.com.   IN    A    197.153.139.85
kvlqtbum.arch.tju.com.   IN    A    209.93.238.162
uqcmxbvw.arch.tju.com.   IN    A    122.21.98.172
wedmqfbx.arch.tju.com.   IN    A    43.111.145.163
syqvbrfh.arch.tju.com.   IN    A    198.137.54.255
sjlfqxpm.arch.tju.com.   IN    A    222.126.178.35
vifxaqdl.arch.tju.com.   IN    A    230.52.75.248
kahfcoul.arch.tju.com.   IN    A    208.15.169.185
cbfaxmqj.arch.tju.com.   IN    A    127.139.80.81
mxglvwdo.arch.tju.com.   IN    A    144.218.93.51
mrleasov.arch.tju.com.   IN    A    77.147.56.160
esrdbmkf.arch.tju.com.   IN    A    149.74.224.186
taboprys.arch.tju.com.   IN    A    59.152.140.71
kptefgxh.arch.tju.com.   IN    A    93.84.19.123
rmbewifv.arch.tju.com.   IN    A    111.190.80.56
trihbwuf.arch.tju.com.   IN    A    129.206.41.51
hxoblqnt.arch.tju.com.   IN    A    93.233.27.56
iwrmvynl.arch.tju.com.   IN    A    178.176.142.247
subkyvfw.arch.tju.com.   IN    A    26.249.111.109
cnfbatio.arch.tju.com.   IN    A    180.227.139.248
mwdcqbtf.arch.tju.com.   IN    A    62.126.48.222
puivahbn.arch.tju.com.   IN    A    43.199.6.26
qrvyugmx.arch.tju.com.   IN    A    82.229.67.191
pohaicjr.arch.tju.com.   IN    A    144.179.37.156
naormfpw.arch.tju.com.   IN    A    22.45.46.203
nbhxljty.arch.tju.com.   IN    A    180.76.14.121
rgjvxfse.arch.tju.com.   IN    A    153.166.81.194
hgvwdbxs.arch.tju.com.   IN    A    20.53.184.127
rgfixkmq.arch.tju.com.   IN    A    52.246.81.156
wjinsqac.arch.tju.com.   IN    A    59.2.102.73
gvyursix.arch.tju.com.   IN    A    134.36.100.228
glcyvkrh.arch.tju.com.   IN    A    198.129.185.11
qjdcemth.arch.tju.com.   IN    A    109.165.43.179
rykqaojl.arch.tju.com.   IN    A    49.108.193.246
jlapomfu.arch.tju.com.   IN    A    238.225.254.43
lbmkaugr.arch.tju.com.   IN    A    82.213.176.75
ojdaxfcu.arch.tju.com.   IN    A    166.91.2.122
wrqenmgp.arch.tju.com.   IN    A    245.185.195.142
hfwkpagn.arch.tju.com.   IN    A    43.149.231.199
iythlerm.arch.tju.com.   IN    A    38.124.230.173
vbkfydin.arch.tju.com.   IN    A    3.164.29.183
gqcipdso.arch.tju.com.   IN    A    193.164.155.77
kontdcrs.arch.tju.com.   IN    A    86.58.215.100
ueniydxj.arch.tju.com.   IN    A    13.65.138.204
hyvxopui.arch.tju.com.   IN    A    9.194.117.249
uylojmdw.arch.tju.com.   IN    A    109.195.4.96
qvatocbh.arch.tju.com.   IN    A    66.206.67.89
fhbgkvcd.arch.tju.com.   IN    A    41.48.120.33
fknumxdg.arch.tju.com.   IN    A    193.158.211.27
saijpqco.arch.tju.com.   IN    A    108.185.178.246
xvitwobs.arch.tju.com.   IN    A    97.179.68.28
ebgodrfn.arch.tju.com.   IN    A    212.123.85.125
jmdxvsip.arch.tju.com.   IN    A    182.61.53.95
nbfxajut.arch.tju.com.   IN    A    120.40.82.189
hfdguxki.arch.tju.com.   IN    A    225.121.180.81
qgeksbum.arch.tju.com.   IN    A    74.186.34.225
lrxbwsuq.arch.tju.com.   IN    A    136.115.88.72
bjeuohws.arch.tju.com.   IN    A    136.214.83.32
ofaqmekh.arch.tju.com.   IN    A    27.35.210.247
xgyujeti.arch.tju.com.   IN    A    118.87.224.214
bhuelwxk.arch.tju.com.   IN    A    90.25.244.166
tmcoeaku.arch.tju.com.   IN    A    155.98.196.181
pytwhsxe.arch.tju.com.   IN    A    86.214.157.216
itghunfo.arch.tju.com.   IN    A    213.73.176.133
weusvtlq.arch.tju.com.   IN    A    245.209.141.112
ebvpgcfh.arch.tju.com.   IN    A    238.84.90.217
ipujfgrh.arch.tju.com.   IN    A    159.232.61.132
vsoendyl.arch.tju.com.   IN    A    68.223.22.128
jayqptmf.arch.tju.com.   IN    A    54.173.175.89
tpqixlow.arch.tju.com.   IN    A    108.138.198.75
ivsokgte.arch.tju.com.   IN    A    104.79.44.92
xnjrghcb.arch.tju.com.   IN    A    163.230.152.250
mokvawux.arch.tju.com.   IN    A    56.236.234.107
sbvrcpku.arch.tju.com.   IN    A    101.173.141.137
tgjcsryo.arch.tju.com.   IN    A    96.151.152.177
judqoiak.arch.tju.com.   IN    A    92.124.176.206
frwchyaj.arch.tju.com.   IN    A    121.194.194.156
cgwasjbt.arch.tju.com.   IN    A    219.47.211.134
vfhmclbi.arch.tju.com.   IN    A    189.167.199.97
djnpocqv.arch.tju.com.   IN    A    84.77.204.12
hfbekswo.arch.tju.com.   IN    A    101.153.84.239
mjwcrque.arch.tju.com.   IN    A    1.206.44.118
bnrgkcya.arch.tju.com.   IN    A    89.211.246.46
gfmwrvsa.arch.tju.com.   IN    A    154.236.67.84
fnkivmuw.arch.tju.com.   IN    A    63.47.184.230
bitpwqja.arch.tju.com.   IN    A    11.199.26.77
calguqbn.arch.tju.com.   IN    A    181.23.254.118
rtdjqelo.arch.tju.com.   IN    A    65.132.132.186
iagkwydq.arch.tju.com.   IN    A    85.47.118.247
fpqmavwj.arch.tju.com.   IN    A    84.104.53.2
qbtdmxkn.arch.tju.com.   IN    A    47.75.154.105
huqfgmiv.arch.tju.com.   IN    A    31.71.44.55
pycresmx.arch.tju.com.   IN    A    52.81.113.163
mpdtgqkl.arch.tju.com.   IN    A    111.48.204.207
gxhldykf.arch.tju.com.   IN    A    126.94.1.109
adurnbef.arch.tju.com.   IN    A    250.217.25.63
ilsdawkr.arch.tju.com.   IN    A    1.57.164.97
cwpimdaf.arch.tju.com.   IN    A    47.117.66.151
tmukrdli.arch.tju.com.   IN    A    75.162.155.20
nkxpqfjg.arch.tju.com.   IN    A    72.6.249.157
poedisfk.arch.tju.com.   IN    A    127.207.104.13
qnhxfyml.arch.tju.com.   IN    A    135.178.194.254
rulikjts.arch.tju.com.   IN    A    136.250.3.2
twuvkehp.arch.tju.com.   IN    A    141.27.90.223
snktvxfa.arch.tju.com.   IN    A    98.73.218.91
frvdmqtp.arch.tju.com.   IN    A    64.86.186.223
lerwyfnm.arch.tju.com.   IN    A    161.134.194.14
bvlacgfu.arch.tju.com.   IN    A    68.17.73.118
rgahqxnw.arch.tju.com.   IN    A    26.47.42.102
rnawymoi.arch.tju.com.   IN    A    126.234.253.156
yjpgiohw.arch.tju.com.   IN    A    34.215.64.192
tgoiavfq.arch.tju.com.   IN    A    115.182.56.34
srehtjqk.arch.tju.com.   IN    A    190.32.212.178
vbtuiyeh.arch.tju.com.   IN    A    117.115.113.16
orcmnhwv.arch.tju.com.   IN    A    72.41.105.210
jvhbdyet.arch.tju.com.   IN    A    21.226.119.26
iacjyqps.arch.tju.com.   IN    A    153.246.85.34
beagixur.arch.tju.com.   IN    A    242.1.179.75
ncirwpkt.arch.tju.com.   IN    A    171.40.83.110
wdsjrivu.arch.tju.com.   IN    A    60.97.38.95
gwhscqbd.arch.tju.com.   IN    A    16.248.132.123
ruhywokp.arch.tju.com.   IN    A    160.205.29.33
bdujaveh.arch.tju.com.   IN    A    211.161.81.108
pyafwomq.arch.tju.com.   IN    A    112.103.248.167
oikbnlef.arch.tju.com.   IN    A    44.156.94.238
cqmnilgk.arch.tju.com.   IN    A    2.38.154.234
uryvcijx.arch.tju.com.   IN    A    61.176.21.196
yjgqpvrt.arch.tju.com.   IN    A    94.7.41.186
nuhojtvr.arch.tju.com.   IN    A    148.46.249.200
eivdhyor.arch.tju.com.   IN    A    41.66.147.117
cnkhreya.arch.tju.com.   IN    A    120.83.166.144
ctinsvmj.arch.tju.com.   IN    A    31.156.97.177
japbdvsr.arch.tju.com.   IN    A    175.152.36.51
rcpewuvx.arch.tju.com.   IN    A    6.64.10.33
xpunorft.arch.tju.com.   IN    A    75.91.45.32
gwlnbpfe.arch.tju.com.   IN    A    103.10.69.145
bqnphfke.arch.tju.com.   IN    A    168.27.150.226
kvdaoupn.arch.tju.com.   IN    A    16.86.27.102
vpnhlbej.arch.tju.com.   IN    A    163.139.52.37
tydlqpsc.arch.tju.com.   IN    A    82.185.177.82
vxnjkgia.arch.tju.com.   IN    A    223.53.9.85
lvwdiohe.arch.tju.com.   IN    A    53.104.58.6
xcfkvisp.arch.tju.com.   IN    A    123.65.49.44
qvtfkerd.arch.tju.com.   IN    A    195.107.73.231
hsvwnmpe.arch.tju.com.   IN    A    154.225.8.227
eosybumt.arch.tju.com.   IN    A    130.94.117.221
wmofplic.arch.tju.com.   IN    A    73.139.247.248
yhmetrxp.arch.tju.com.   IN    A    33.6.32.51
hsawvrpk.arch.tju.com.   IN    A    163.90.243.51
hlcfydem.arch.tju.com.   IN    A    152.57.31.115
keqfvxmi.arch.tju.com.   IN    A    65.104.244.38
tpmxiabs.arch.tju.com.   IN    A    136.150.152.236
gkcjhnia.arch.tju.com.   IN    A    254.141.215.59
ihxotpda.arch.tju.com.   IN    A    84.68.80.161
lrwkcgui.arch.tju.com.   IN    A    185.10.95.18
scikwuxa.arch.tju.com.   IN    A    211.20.110.138
umgqjkxc.arch.tju.com.   IN    A    62.146.190.234
ngiauqjl.arch.tju.com.   IN    A    230.93.0.171
pcelhmta.arch.tju.com.   IN    A    46.52.221.203
cvgtpqel.arch.tju.com.   IN    A    96.28.134.194
augnehpm.arch.tju.com.   IN    A    255.79.6.223
qldcikft.arch.tju.com.   IN    A    7.179.200.252
schlityr.arch.tju.com.   IN    A    211.14.127.66
mbrdsaen.arch.tju.com.   IN    A    235.36.169.39
qhtxkcpg.arch.tju.com.   IN    A    205.89.211.203
dyohlkxf.arch.tju.com.   IN    A    240.26.20.63
gavxyicl.arch.tju.com.   IN    A    135.200.99.88
tjskmxyg.arch.tju.com.   IN    A    78.156.210.148
igymnjtl.arch.tju.com.   IN    A    132.239.171.4
rbpwckat.arch.tju.com.   IN    A    228.20.121.97
qpouwmdy.arch.tju.com.   IN    A    116.136.169.222
ohpkwtbs.arch.tju.com.   IN    A    113.184.49.15
ciyxnefd.arch.tju.com.   IN    A    137.72.102.71
yrmesukn.arch.tju.com.   IN    A    159.100.172.231
lkrdnsmv.arch.tju.com.   IN    A    134.91.36.23
tvsluwno.arch.tju.com.   IN    A    23.82.109.71
wrqxlpuo.arch.tju.com.   IN    A    57.48.168.183
kynpaurh.arch.tju.com.   IN    A    198.174.144.161
bldwvtuy.arch.tju.com.   IN    A    87.5.3.92
snrvpdth.arch.tju.com.   IN    A    125.161.108.16
dxyaujbo.arch.tju.com.   IN    A    211.77.178.226
vfkmldsg.arch.tju.com.   IN    A    163.75.38.181
hbfiwpju.arch.tju.com.   IN    A    98.37.19.234
kphvjdxs.arch.tju.com.   IN    A    231.30.20.40
hvrmdsyp.arch.tju.com.   IN    A    93.82.212.180
veuipbda.arch.tju.com.   IN    A    122.202.62.113
fjnhmuec.arch.tju.com.   IN    A    82.173.166.14
gickrvtx.arch.tju.com.   IN    A    241.74.164.108
xudnoejk.arch.tju.com.   IN    A    200.175.132.193
ajywundo.arch.tju.com.   IN    A    160.203.70.120
xlrkdyia.arch.tju.com.   IN    A    225.143.221.88
nwmvrcux.arch.tju.com.   IN    A    246.220.245.73
hagdrpwy.arch.tju.com.   IN    A    177.36.136.44
qalcmgie.arch.tju.com.   IN    A    204.230.37.215
umqyiwlo.arch.tju.com.   IN    A    99.37.214.199
yqbpsomu.arch.tju.com.   IN    A    195.171.131.37
lihokyjq.arch.tju.com.   IN    A    4.29.141.174
yutdblxf.arch.tju.com.   IN    A    188.58.124.155
owsjkacr.arch.tju.com.   IN    A    212.228.20.69
aotpewyj.arch.tju.com.   IN    A    249.26.5.125
ypcjhuib.arch.tju.com.   IN    A    174.221.96.41
udblnqev.arch.tju.com.   IN    A    108.132.192.174
tipkgvbf.arch.tju.com.   IN    A    24.238.168.73
cksdeglj.arch.tju.com.   IN    A    200.246.127.142
yecvponm.arch.tju.com.   IN    A    174.46.60.132
yoxuhblq.arch.tju.com.   IN    A    29.232.45.231
emcgrokw.arch.tju.com.   IN    A    39.192.233.198
ucovxntq.arch.tju.com.   IN    A    161.134.252.219
qvcfaipe.arch.tju.com.   IN    A    22.8.14.239
whjmerxy.arch.tju.com.   IN    A    251.22.147.90
qbhngcim.arch.tju.com.   IN    A    235.78.93.192
nriegkvt.arch.tju.com.   IN    A    169.230.221.169
byfeawtx.arch.tju.com.   IN    A    152.237.97.149
jdkgqnvw.arch.tju.com.   IN    A    202.13.140.166
klyshpqi.arch.tju.com.   IN    A    62.53.85.54
qnrasivd.arch.tju.com.   IN    A    54.23.103.61
mcpbyniw.arch.tju.com.   IN    A    45.230.209.169
chtadfqs.arch.tju.com.   IN    A    158.149.142.154
cuhebtkf.arch.tju.com.   IN    A    29.142.93.118
oyqmftca.arch.tju.com.   IN    A    73.53.174.146
twduepkh.arch.tju.com.   IN    A    21.242.10.221
wctxyopn.arch.tju.com.   IN    A    92.105.157.217
ebokmpyg.arch.tju.com.   IN    A    243.89.60.5
dlsfitae.arch.tju.com.   IN    A    200.202.5.235
wbpnhgcu.arch.tju.com.   IN    A    22.76.67.63
knfpgbta.arch.tju.com.   IN    A    39.55.21.108
imqhwkuf.arch.tju.com.   IN    A    132.188.221.186
jweqcbuv.arch.tju.com.   IN    A    219.115.132.27
vluadhts.arch.tju.com.   IN    A    237.13.159.191
vkapwshb.arch.tju.com.   IN    A    36.194.201.243
rbawsvon.arch.tju.com.   IN    A    82.49.215.9
wsrmxpbh.arch.tju.com.   IN    A    169.133.221.67
afbsvweq.arch.tju.com.   IN    A    139.102.105.107
qgwouspa.arch.tju.com.   IN    A    131.66.4.134
paniyxfk.arch.tju.com.   IN    A    200.31.181.37
xayrpkvo.arch.tju.com.   IN    A    166.57.109.167
wdlpauec.arch.tju.com.   IN    A    56.219.36.184
tacsygeb.arch.tju.com.   IN    A    245.147.101.37
beuwjpdv.arch.tju.com.   IN    A    1.186.76.96
vyusnial.arch.tju.com.   IN    A    101.179.249.225
njehqspf.arch.tju.com.   IN    A    242.109.31.171
ebtvfdgc.arch.tju.com.   IN    A    10.184.167.151
ojyrxgif.arch.tju.com.   IN    A    173.1.43.10
ugpmxdkv.arch.tju.com.   IN    A    62.193.149.218
lcpwvabi.arch.tju.com.   IN    A    167.75.251.115
oexqptwf.arch.tju.com.   IN    A    176.18.207.103
pghdtbyw.arch.tju.com.   IN    A    71.248.178.55
cxdkprhu.arch.tju.com.   IN    A    55.10.143.62
patbcrhx.arch.tju.com.   IN    A    63.150.122.187
achsjglw.arch.tju.com.   IN    A    73.20.195.86
sijutkeb.arch.tju.com.   IN    A    252.28.249.61
cldgbsxj.arch.tju.com.   IN    A    82.198.40.142
krvwtsxg.arch.tju.com.   IN    A    33.236.166.193
ehmdftpg.arch.tju.com.   IN    A    21.187.240.16
qafdwciy.arch.tju.com.   IN    A    1.152.39.129
tfruqgbx.arch.tju.com.   IN    A    167.115.208.39
qkmwfuig.arch.tju.com.   IN    A    192.188.236.147
ctkybmnl.arch.tju.com.   IN    A    38.85.109.146
nvwebkaf.arch.tju.com.   IN    A    49.250.210.114
vgdlopju.arch.tju.com.   IN    A    69.179.206.240
dtblygcr.arch.tju.com.   IN    A    60.129.66.208
atgpxywo.arch.tju.com.   IN    A    84.186.86.88
lpkgrvda.arch.tju.com.   IN    A    33.101.88.55
iqjuxoty.arch.tju.com.   IN    A    235.119.83.177
budxjvmp.arch.tju.com.   IN    A    207.86.203.50
sfrceutm.arch.tju.com.   IN    A    45.147.68.95
ychpkdef.arch.tju.com.   IN    A    242.79.80.162
nserlpoi.arch.tju.com.   IN    A    243.189.12.164
xtoyikfb.arch.tju.com.   IN    A    106.145.113.141
nmqdbvge.arch.tju.com.   IN    A    98.15.57.250
nodpxjkt.arch.tju.com.   IN    A    153.222.130.205
jtmepgko.arch.tju.com.   IN    A    28.118.22.23
pfmleatr.arch.tju.com.   IN    A    224.129.152.214
pvrjsutb.arch.tju.com.   IN    A    199.178.129.138
iudrjcke.arch.tju.com.   IN    A    4.81.130.28
pvtgbcxr.arch.tju.com.   IN    A    16.130.244.32
doylmbhn.arch.tju.com.   IN    A    15.239.144.249
atqryjvg.arch.tju.com.   IN    A    187.198.105.37
wikancbj.arch.tju.com.   IN    A    194.63.0.74
yrwbtfpl.arch.tju.com.   IN    A    140.160.32.101
ukocihme.arch.tju.com.   IN    A    61.67.254.136
mkxpevrq.arch.tju.com.   IN    A    57.24.60.100
ajviphnf.arch.tju.com.   IN    A    131.14.24.71
qnfeyubm.arch.tju.com.   IN    A    132.41.18.183
buwrdlpx.arch.tju.com.   IN    A    232.230.129.84
ubfqyjcx.arch.tju.com.   IN    A    135.6.10.42
ligfupcn.arch.tju.com.   IN    A    224.124.32.91
rbyxheup.arch.tju.com.   IN    A    179.115.111.250
hkrmonjs.arch.tju.com.   IN    A    218.2.69.21
eotmdjbf.arch.tju.com.   IN    A    148.213.52.152
ltbwrunc.arch.tju.com.   IN    A    35.160.222.163
ndpemcuf.arch.tju.com.   IN    A    133.133.55.172
paxcwubq.arch.tju.com.   IN    A    52.253.92.220
anodxriq.arch.tju.com.   IN    A    129.226.250.74
qtkvjnod.arch.tju.com.   IN    A    57.149.9.39
msubpqry.arch.tju.com.   IN    A    194.186.50.177
yvuwkcmn.arch.tju.com.   IN    A    91.227.163.209
uijtygow.arch.tju.com.   IN    A    17.87.67.156
vljbxuks.arch.tju.com.   IN    A    229.131.211.57
otlpxnjc.arch.tju.com.   IN    A    71.224.72.83
yowrmdjv.arch.tju.com.   IN    A    32.116.231.102
hckutmav.arch.tju.com.   IN    A    238.142.167.223
chtjwlvk.arch.tju.com.   IN    A    175.98.249.182
srvmwijo.arch.tju.com.   IN    A    46.157.162.106
phieosun.arch.tju.com.   IN    A    3.240.212.138
ctvobeai.arch.tju.com.   IN    A    91.69.29.91
tayoferd.arch.tju.com.   IN    A    47.129.4.91
wqexburv.arch.tju.com.   IN    A    38.204.180.234
epimuajv.arch.tju.com.   IN    A    3.115.98.78
poibasqn.arch.tju.com.   IN    A    19.237.101.179
npomhlxu.arch.tju.com.   IN    A    100.163.11.75
hejluvay.arch.tju.com.   IN    A    90.241.181.167
lvyikgtb.arch.tju.com.   IN    A    135.114.60.177
yxsieulq.arch.tju.com.   IN    A    166.131.49.179
lbiwfrqs.arch.tju.com.   IN    A    188.138.195.250
xtahrblg.arch.tju.com.   IN    A    219.152.178.215
yivsmewo.arch.tju.com.   IN    A    29.225.182.230
novsdfgm.arch.tju.com.   IN    A    28.104.117.177
vnwusfgh.arch.tju.com.   IN    A    104.134.41.107
khpnyciq.arch.tju.com.   IN    A    53.144.195.54
kdltxwis.arch.tju.com.   IN    A    232.225.121.25
simernck.arch.tju.com.   IN    A    30.191.94.130
naocslpi.arch.tju.com.   IN    A    61.60.225.160
jnlyqeam.arch.tju.com.   IN    A    41.41.179.95
cnrjwudo.arch.tju.com.   IN    A    209.152.98.77
waxsucfb.arch.tju.com.   IN    A    164.176.53.237
mnbavcsu.arch.tju.com.   IN    A    34.176.82.197
ureaonqi.arch.tju.com.   IN    A    67.112.13.150
sjriqaou.arch.tju.com.   IN    A    94.116.250.108
uxgjhlde.arch.tju.com.   IN    A    210.119.95.3
guwohjmr.arch.tju.com.   IN    A    164.30.32.23
ealpbnor.arch.tju.com.   IN    A    133.80.27.231
pmfysxev.arch.tju.com.   IN    A    242.236.112.151
kvljetbq.arch.tju.com.   IN    A    239.159.107.137
egcrvnbd.arch.tju.com.   IN    A    147.12.54.152
fvibhkoc.arch.tju.com.   IN    A    69.32.194.21
mknlebtv.arch.tju.com.   IN    A    255.136.28.55
xtnkrjis.arch.tju.com.   IN    A    69.2.160.115
rkunhqbt.arch.tju.com.   IN    A    165.130.97.103
cgrfmuew.arch.tju.com.   IN    A    37.105.228.12
xlwacudh.arch.tju.com.   IN    A    135.104.153.71
ogifthmr.arch.tju.com.   IN    A    186.85.126.4
qbgphefm.arch.tju.com.   IN    A    149.138.204.161
fdjhegxb.arch.tju.com.   IN    A    194.47.183.234
bjxrauht.arch.tju.com.   IN    A    78.153.98.82
vibjragq.arch.tju.com.   IN    A    156.185.82.77
kaqcfuni.arch.tju.com.   IN    A    72.89.129.81
oldtayxf.arch.tju.com.   IN    A    241.93.223.12
bwcmrvqj.arch.tju.com.   IN    A    183.178.170.233
rvntpalk.arch.tju.com.   IN    A    103.224.165.205
nvmsdeyk.arch.tju.com.   IN    A    234.13.251.4
eryivqxu.arch.tju.com.   IN    A    71.186.136.129
jntkmagb.arch.tju.com.   IN    A    150.110.31.157
mwebvxkh.arch.tju.com.   IN    A    77.59.35.9
mjqnrlvk.arch.tju.com.   IN    A    148.222.181.174
doyqmebh.arch.tju.com.   IN    A    251.251.105.49
rspwuncf.arch.tju.com.   IN    A    167.169.72.79
ftigpxrq.arch.tju.com.   IN    A    218.145.129.128
hcwyjrga.arch.tju.com.   IN    A    37.185.146.71
vpniqxgo.arch.tju.com.   IN    A    139.63.62.189
ijymqvot.arch.tju.com.   IN    A    192.141.236.255
uhskaybd.arch.tju.com.   IN    A    127.11.27.6
mbjcgthf.arch.tju.com.   IN    A    144.249.33.71
gulxwivn.arch.tju.com.   IN    A    38.19.174.103
ohtlibsd.arch.tju.com.   IN    A    214.228.241.213
bkuvacex.arch.tju.com.   IN    A    230.87.74.152
mkhpyntx.arch.tju.com.   IN    A    148.122.230.74
srwyligq.arch.tju.com.   IN    A    89.152.244.15
ftquhnrc.arch.tju.com.   IN    A    55.162.104.128
rpjnmuqf.arch.tju.com.   IN    A    67.217.214.16
vjhwyuif.arch.tju.com.   IN    A    55.95.191.138
ebptuqoa.arch.tju.com.   IN    A    197.142.234.21
nhlitaxg.arch.tju.com.   IN    A    172.34.119.255
efgpnkbw.arch.tju.com.   IN    A    56.45.254.197
nyjampst.arch.tju.com.   IN    A    224.203.179.206
qgetiknc.arch.tju.com.   IN    A    85.88.173.58
oslvaqug.arch.tju.com.   IN    A    213.152.149.132
hcoimavf.arch.tju.com.   IN    A    138.250.210.42
ngfrquoe.arch.tju.com.   IN    A    100.77.73.152
yjrixwfn.arch.tju.com.   IN    A    21.50.78.161
bshtkmpf.arch.tju.com.   IN    A    166.67.179.59
wdbexsqc.arch.tju.com.   IN    A    107.100.114.214
