hist.pku.com.	14400	IN	SOA	ns1.hist.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
hist.pku.com.		    IN	NS ns1.hist.pku.com.
tgedmknw.hist.pku.com.   IN    A    35.24.121.0
bhqifnuv.hist.pku.com.   IN    A    83.218.5.1
pdhqwxub.hist.pku.com.   IN    A    69.164.171.87
bxmpjdyf.hist.pku.com.   IN    A    160.73.104.251
khxrtclv.hist.pku.com.   IN    A    47.54.26.141
dhjvuytl.hist.pku.com.   IN    A    150.14.243.153
afsbpvkl.hist.pku.com.   IN    A    214.190.65.31
qswgxfdt.hist.pku.com.   IN    A    106.156.18.61
gjwtmqni.hist.pku.com.   IN    A    23.196.59.96
fkmjhbvn.hist.pku.com.   IN    A    12.234.47.27
oerhyuix.hist.pku.com.   IN    A    142.211.15.160
qsbpjdhl.hist.pku.com.   IN    A    32.212.164.68
hodxujkl.hist.pku.com.   IN    A    203.127.34.97
yxsvkcwl.hist.pku.com.   IN    A    72.238.180.244
neluphck.hist.pku.com.   IN    A    177.51.146.25
jaugeqit.hist.pku.com.   IN    A    125.30.111.21
wvjmnqod.hist.pku.com.   IN    A    239.83.124.37
fajvtesd.hist.pku.com.   IN    A    7.225.83.28
lphycadr.hist.pku.com.   IN    A    215.209.100.130
uoriqxek.hist.pku.com.   IN    A    8.120.93.35
ntdfcesp.hist.pku.com.   IN    A    93.72.190.81
noqmlxyb.hist.pku.com.   IN    A    182.35.94.54
kxupnehi.hist.pku.com.   IN    A    161.170.101.106
hrfscank.hist.pku.com.   IN    A    248.68.8.157
cprfoamk.hist.pku.com.   IN    A    82.252.13.42
ycuxrfgk.hist.pku.com.   IN    A    156.176.120.215
bmykceho.hist.pku.com.   IN    A    228.135.196.215
ycudvnex.hist.pku.com.   IN    A    138.31.9.43
oryvpsut.hist.pku.com.   IN    A    35.99.248.202
vgokranb.hist.pku.com.   IN    A    16.197.235.250
thglmyaf.hist.pku.com.   IN    A    203.63.4.100
qpnitgvs.hist.pku.com.   IN    A    143.160.166.144
jacvoysd.hist.pku.com.   IN    A    46.71.72.21
vfelicbk.hist.pku.com.   IN    A    128.201.233.85
ysdvbuqa.hist.pku.com.   IN    A    138.100.44.230
pgijhkls.hist.pku.com.   IN    A    29.26.220.169
wsiyjmhq.hist.pku.com.   IN    A    118.164.76.58
ajfwpebm.hist.pku.com.   IN    A    71.90.122.89
lgiysxmh.hist.pku.com.   IN    A    150.234.249.16
aqjnklic.hist.pku.com.   IN    A    32.251.167.22
fqesrdjc.hist.pku.com.   IN    A    221.190.158.207
qknwxoae.hist.pku.com.   IN    A    68.127.187.147
ricdwgmn.hist.pku.com.   IN    A    201.29.130.255
upihfjva.hist.pku.com.   IN    A    216.201.249.195
yuqtmoap.hist.pku.com.   IN    A    161.50.132.219
yptxkfig.hist.pku.com.   IN    A    122.101.157.26
xmqgpjih.hist.pku.com.   IN    A    76.78.4.36
xanthlcd.hist.pku.com.   IN    A    82.52.213.42
glnjscvt.hist.pku.com.   IN    A    99.182.234.105
sboqkerf.hist.pku.com.   IN    A    148.30.180.150
yglawsvt.hist.pku.com.   IN    A    251.76.120.64
kyigevft.hist.pku.com.   IN    A    143.3.223.205
tibxlmjg.hist.pku.com.   IN    A    149.69.197.250
drjuvhki.hist.pku.com.   IN    A    88.5.180.247
hxuesgiq.hist.pku.com.   IN    A    250.180.59.207
qolghsbt.hist.pku.com.   IN    A    165.159.228.144
lchduagw.hist.pku.com.   IN    A    140.145.197.251
awsdbyiv.hist.pku.com.   IN    A    13.116.233.21
fksitpqg.hist.pku.com.   IN    A    159.24.84.124
ymxfvask.hist.pku.com.   IN    A    148.113.250.173
agkqsyct.hist.pku.com.   IN    A    227.79.116.157
mdgrfysj.hist.pku.com.   IN    A    187.45.31.90
byhlofxs.hist.pku.com.   IN    A    254.147.135.12
ywtgrkso.hist.pku.com.   IN    A    249.208.108.219
twiyljfo.hist.pku.com.   IN    A    152.232.252.38
jcygokde.hist.pku.com.   IN    A    114.137.74.210
wketxnmg.hist.pku.com.   IN    A    253.150.13.76
ygpvdmcf.hist.pku.com.   IN    A    121.166.148.137
ejhabfow.hist.pku.com.   IN    A    1.182.148.254
tmxljvyp.hist.pku.com.   IN    A    176.129.94.33
xkydloqa.hist.pku.com.   IN    A    9.99.223.220
mionfesb.hist.pku.com.   IN    A    93.134.33.221
esykwipg.hist.pku.com.   IN    A    53.251.81.148
torcsywp.hist.pku.com.   IN    A    168.245.201.125
kbfogmwe.hist.pku.com.   IN    A    208.192.130.150
gofhpaue.hist.pku.com.   IN    A    120.151.20.125
cbhjvplr.hist.pku.com.   IN    A    184.11.195.54
atxpygkr.hist.pku.com.   IN    A    15.56.18.103
qipcylor.hist.pku.com.   IN    A    229.19.6.59
uqnsfawx.hist.pku.com.   IN    A    59.236.216.236
uhxypcas.hist.pku.com.   IN    A    183.16.39.56
dhupgmyv.hist.pku.com.   IN    A    26.107.184.225
svbygdlt.hist.pku.com.   IN    A    190.24.2.54
phrdsleo.hist.pku.com.   IN    A    253.91.246.162
lxjtbmsw.hist.pku.com.   IN    A    68.141.28.168
pathxidg.hist.pku.com.   IN    A    215.108.86.158
nhbcftoe.hist.pku.com.   IN    A    52.64.168.176
dwcnbsom.hist.pku.com.   IN    A    245.245.102.144
eprskjag.hist.pku.com.   IN    A    72.224.193.33
ibrpdgku.hist.pku.com.   IN    A    43.2.48.137
sxcythwr.hist.pku.com.   IN    A    145.173.58.128
qcosnehj.hist.pku.com.   IN    A    64.32.50.232
ucjqgbtk.hist.pku.com.   IN    A    237.96.95.250
mxuveloi.hist.pku.com.   IN    A    178.236.98.105
ynqgasle.hist.pku.com.   IN    A    65.27.70.171
hyfrqdun.hist.pku.com.   IN    A    37.224.223.64
ypmligjc.hist.pku.com.   IN    A    61.172.20.254
xjpfrtyd.hist.pku.com.   IN    A    109.138.39.54
bcxgjuyh.hist.pku.com.   IN    A    44.78.232.179
bvgeahtq.hist.pku.com.   IN    A    216.26.121.11
vieskpdu.hist.pku.com.   IN    A    18.80.237.128
lsvdmonx.hist.pku.com.   IN    A    235.240.102.214
qdcxsjog.hist.pku.com.   IN    A    58.27.91.38
qstxewub.hist.pku.com.   IN    A    4.194.136.248
vskrhewu.hist.pku.com.   IN    A    38.98.235.157
xnchoeat.hist.pku.com.   IN    A    202.158.50.209
xnlwgipo.hist.pku.com.   IN    A    41.12.81.154
pdviqtgj.hist.pku.com.   IN    A    151.132.193.44
dahbxwmf.hist.pku.com.   IN    A    66.36.198.230
jcsktwio.hist.pku.com.   IN    A    99.18.245.107
gnqjdcfh.hist.pku.com.   IN    A    215.94.126.104
fnidykuv.hist.pku.com.   IN    A    167.180.189.187
hafmjnve.hist.pku.com.   IN    A    65.38.197.89
ptbecqjr.hist.pku.com.   IN    A    214.1.38.44
gorshjyt.hist.pku.com.   IN    A    126.220.13.155
wuphyscg.hist.pku.com.   IN    A    94.34.128.255
inyubhmo.hist.pku.com.   IN    A    248.93.104.43
npwbgedk.hist.pku.com.   IN    A    230.67.160.15
oaeridnj.hist.pku.com.   IN    A    49.204.1.172
ltkcvhxq.hist.pku.com.   IN    A    222.168.78.106
rwabehuf.hist.pku.com.   IN    A    14.149.102.0
cqsilngd.hist.pku.com.   IN    A    209.68.24.232
awfkcqpi.hist.pku.com.   IN    A    79.117.171.155
dvastqbe.hist.pku.com.   IN    A    113.214.83.11
hfxqtuks.hist.pku.com.   IN    A    9.124.103.241
ecvglbso.hist.pku.com.   IN    A    196.17.148.148
nxbltkwm.hist.pku.com.   IN    A    63.97.52.197
yikxmonw.hist.pku.com.   IN    A    88.89.90.126
injwcgam.hist.pku.com.   IN    A    239.36.236.249
njbvgkim.hist.pku.com.   IN    A    145.42.157.102
lmnjxaku.hist.pku.com.   IN    A    202.237.115.10
ndyjuqoc.hist.pku.com.   IN    A    229.41.163.234
rdjecwqx.hist.pku.com.   IN    A    159.135.0.88
lihvtnxf.hist.pku.com.   IN    A    190.78.53.120
jvelsqhy.hist.pku.com.   IN    A    177.228.36.119
hbnepcsf.hist.pku.com.   IN    A    47.17.70.21
cvirkdwx.hist.pku.com.   IN    A    76.196.79.214
sqotnvbi.hist.pku.com.   IN    A    64.116.105.173
mxlbidak.hist.pku.com.   IN    A    93.121.164.172
lewqcsbm.hist.pku.com.   IN    A    69.218.135.224
nlmsqupy.hist.pku.com.   IN    A    162.135.70.208
mfdhjuxt.hist.pku.com.   IN    A    183.237.120.34
rgnabtev.hist.pku.com.   IN    A    222.214.27.185
jtrispwb.hist.pku.com.   IN    A    52.40.7.126
rwvkqlsh.hist.pku.com.   IN    A    136.36.183.33
xtiyhnkg.hist.pku.com.   IN    A    199.249.155.106
vtkiujen.hist.pku.com.   IN    A    25.220.106.227
ofbhkvjw.hist.pku.com.   IN    A    4.162.186.84
wojqvdil.hist.pku.com.   IN    A    168.91.98.224
evrdiflw.hist.pku.com.   IN    A    200.246.73.138
enokusgl.hist.pku.com.   IN    A    27.50.173.3
stxwmagy.hist.pku.com.   IN    A    112.123.100.129
fetivqhu.hist.pku.com.   IN    A    46.35.147.120
ijfqbhgy.hist.pku.com.   IN    A    236.223.35.92
vkygjoxm.hist.pku.com.   IN    A    7.244.23.46
kqlvpghj.hist.pku.com.   IN    A    230.133.74.96
wpbqtacr.hist.pku.com.   IN    A    76.71.156.252
kwhbxlgn.hist.pku.com.   IN    A    65.78.39.48
gcnlavoh.hist.pku.com.   IN    A    159.166.244.248
uletvxjp.hist.pku.com.   IN    A    140.125.186.38
tkrujvwq.hist.pku.com.   IN    A    144.38.196.132
hdvwixqg.hist.pku.com.   IN    A    75.120.191.253
ghdmyrtx.hist.pku.com.   IN    A    205.236.222.54
adlmfskg.hist.pku.com.   IN    A    217.240.149.195
iswrjdet.hist.pku.com.   IN    A    17.224.168.140
inhebjql.hist.pku.com.   IN    A    236.141.2.134
ptmsbxqd.hist.pku.com.   IN    A    247.68.190.235
xqijgdwh.hist.pku.com.   IN    A    117.34.44.87
wgfipyjc.hist.pku.com.   IN    A    190.194.121.71
ajdsbpyl.hist.pku.com.   IN    A    166.146.160.91
xskymidq.hist.pku.com.   IN    A    65.71.228.235
ptcfknhx.hist.pku.com.   IN    A    161.109.202.163
kagoydju.hist.pku.com.   IN    A    235.81.87.131
ynsaipgl.hist.pku.com.   IN    A    226.181.38.167
dgbjkulc.hist.pku.com.   IN    A    108.56.10.166
ftrokixg.hist.pku.com.   IN    A    197.41.92.176
kdybacft.hist.pku.com.   IN    A    205.87.210.4
jadsremx.hist.pku.com.   IN    A    24.210.126.52
ydlgpeia.hist.pku.com.   IN    A    240.224.130.92
evaqfigr.hist.pku.com.   IN    A    16.39.13.53
tmrfclpb.hist.pku.com.   IN    A    119.88.146.238
afrmdqiu.hist.pku.com.   IN    A    253.235.59.136
nlbqygwx.hist.pku.com.   IN    A    92.223.231.127
hwgcqaku.hist.pku.com.   IN    A    71.39.31.56
nxouevbp.hist.pku.com.   IN    A    254.157.142.48
obyeghdi.hist.pku.com.   IN    A    255.235.86.230
wnduxljm.hist.pku.com.   IN    A    210.17.133.188
ofasltqk.hist.pku.com.   IN    A    167.118.241.193
mayiewcs.hist.pku.com.   IN    A    197.233.173.135
prbkjogc.hist.pku.com.   IN    A    103.182.88.33
qxkewucy.hist.pku.com.   IN    A    122.198.169.22
diwafjgc.hist.pku.com.   IN    A    33.100.104.218
wfajcrdi.hist.pku.com.   IN    A    151.65.92.50
tkpxfbaw.hist.pku.com.   IN    A    70.156.145.219
rvepcidm.hist.pku.com.   IN    A    219.81.158.169
ykewsjxh.hist.pku.com.   IN    A    252.38.83.206
qyklpiht.hist.pku.com.   IN    A    107.231.240.213
dcfvwsra.hist.pku.com.   IN    A    186.107.109.108
uclkpnya.hist.pku.com.   IN    A    118.12.121.158
juprlyth.hist.pku.com.   IN    A    180.43.222.172
seyqnpro.hist.pku.com.   IN    A    164.95.154.128
awmvidol.hist.pku.com.   IN    A    230.87.99.41
uhmbcsgo.hist.pku.com.   IN    A    37.122.208.4
lyhmtcak.hist.pku.com.   IN    A    99.182.238.11
sdlvehof.hist.pku.com.   IN    A    43.180.6.99
qixgndmu.hist.pku.com.   IN    A    252.50.83.4
galqteon.hist.pku.com.   IN    A    27.154.118.33
tflrgwby.hist.pku.com.   IN    A    78.239.200.147
kyejvdxw.hist.pku.com.   IN    A    243.142.233.85
xujqlbkf.hist.pku.com.   IN    A    167.178.177.171
ryauqeci.hist.pku.com.   IN    A    155.123.157.52
djblmcso.hist.pku.com.   IN    A    67.84.221.83
wunpqtkm.hist.pku.com.   IN    A    185.126.242.39
lqnahmou.hist.pku.com.   IN    A    9.22.222.242
eadcsknl.hist.pku.com.   IN    A    63.143.58.79
aqvhpoim.hist.pku.com.   IN    A    63.241.178.97
whicxspe.hist.pku.com.   IN    A    177.51.215.72
wspycklf.hist.pku.com.   IN    A    42.210.71.115
rvkapbjl.hist.pku.com.   IN    A    116.143.169.99
gyxneaft.hist.pku.com.   IN    A    121.18.219.113
kbofcxuh.hist.pku.com.   IN    A    81.150.67.91
pwmbaduq.hist.pku.com.   IN    A    238.111.25.228
vbmafsgk.hist.pku.com.   IN    A    149.230.234.16
pwaculoi.hist.pku.com.   IN    A    221.204.22.24
kewnsmqh.hist.pku.com.   IN    A    193.157.132.40
exfstqwl.hist.pku.com.   IN    A    37.176.2.128
ejruwtfc.hist.pku.com.   IN    A    87.111.29.246
slmntuja.hist.pku.com.   IN    A    143.195.241.87
lfviwcua.hist.pku.com.   IN    A    33.169.247.86
sxowliyn.hist.pku.com.   IN    A    221.180.239.18
dbopgwhk.hist.pku.com.   IN    A    145.29.169.168
nwksxgpe.hist.pku.com.   IN    A    206.21.123.175
mwakofby.hist.pku.com.   IN    A    196.253.152.65
gsevpftu.hist.pku.com.   IN    A    220.53.48.154
hunecrsp.hist.pku.com.   IN    A    37.156.240.225
edngmots.hist.pku.com.   IN    A    172.87.231.55
pjcvikqw.hist.pku.com.   IN    A    232.195.49.124
igbkshdq.hist.pku.com.   IN    A    115.240.245.91
dcmbwsqy.hist.pku.com.   IN    A    12.246.22.3
kmcfswyb.hist.pku.com.   IN    A    93.53.157.35
ualkhdmq.hist.pku.com.   IN    A    30.52.85.235
ajfyktsx.hist.pku.com.   IN    A    243.99.244.199
fwaklemo.hist.pku.com.   IN    A    10.99.110.231
wfbehjnp.hist.pku.com.   IN    A    163.40.3.191
gulfwpvd.hist.pku.com.   IN    A    37.208.232.193
voiwldrn.hist.pku.com.   IN    A    82.138.40.100
otcrnkel.hist.pku.com.   IN    A    210.89.167.172
najmwreo.hist.pku.com.   IN    A    121.74.158.93
kcbsljeh.hist.pku.com.   IN    A    75.37.81.99
tdghyfkx.hist.pku.com.   IN    A    241.97.21.33
riqyafnj.hist.pku.com.   IN    A    190.3.132.49
mdpyrcxl.hist.pku.com.   IN    A    227.164.5.196
dfgalktv.hist.pku.com.   IN    A    201.115.161.5
yogqafrm.hist.pku.com.   IN    A    78.182.217.88
qwtjngsu.hist.pku.com.   IN    A    177.64.17.146
iepsknua.hist.pku.com.   IN    A    81.176.7.223
dijpvufq.hist.pku.com.   IN    A    232.110.224.17
tjuymlbc.hist.pku.com.   IN    A    217.48.83.85
lmjwatco.hist.pku.com.   IN    A    37.183.197.139
eywmocdj.hist.pku.com.   IN    A    87.31.146.59
skpqrowi.hist.pku.com.   IN    A    205.250.102.95
kotmruil.hist.pku.com.   IN    A    215.231.206.171
oplyxtjr.hist.pku.com.   IN    A    59.12.122.69
vcisjtqk.hist.pku.com.   IN    A    237.186.37.41
dchtpxfv.hist.pku.com.   IN    A    170.7.242.80
mxtsdkpc.hist.pku.com.   IN    A    126.241.157.33
exfgnivw.hist.pku.com.   IN    A    166.101.56.164
hfciqdkj.hist.pku.com.   IN    A    249.24.112.251
nomqgrwy.hist.pku.com.   IN    A    140.69.229.78
fqdomxag.hist.pku.com.   IN    A    145.171.114.140
ymwdoxlc.hist.pku.com.   IN    A    127.90.78.120
vwdpoitg.hist.pku.com.   IN    A    209.203.17.20
rxcenfbo.hist.pku.com.   IN    A    132.60.40.17
pwrgbkca.hist.pku.com.   IN    A    212.34.155.84
vcqerptw.hist.pku.com.   IN    A    120.100.71.66
jdvfmlon.hist.pku.com.   IN    A    73.22.61.43
kjlmiadb.hist.pku.com.   IN    A    208.85.122.22
xvfduymi.hist.pku.com.   IN    A    16.214.77.154
hciqfbmg.hist.pku.com.   IN    A    193.57.64.187
jtpqabec.hist.pku.com.   IN    A    81.71.59.99
prsjthxa.hist.pku.com.   IN    A    248.42.203.158
ckeaudyo.hist.pku.com.   IN    A    116.91.60.6
uovrbwkp.hist.pku.com.   IN    A    187.199.90.244
gjuwxpqd.hist.pku.com.   IN    A    92.92.172.216
ukqcnyiv.hist.pku.com.   IN    A    236.149.32.192
vdiqxubt.hist.pku.com.   IN    A    83.20.130.238
qobnxtcg.hist.pku.com.   IN    A    22.161.232.171
gketurfn.hist.pku.com.   IN    A    89.123.43.222
kdlmtygp.hist.pku.com.   IN    A    78.108.243.196
jfqcltnp.hist.pku.com.   IN    A    117.218.216.15
myvowjdn.hist.pku.com.   IN    A    23.86.213.157
gflmdatw.hist.pku.com.   IN    A    239.121.173.231
lpargjwe.hist.pku.com.   IN    A    153.206.118.141
ftrahxdq.hist.pku.com.   IN    A    239.14.60.251
psalkhym.hist.pku.com.   IN    A    162.250.82.85
egbfioyu.hist.pku.com.   IN    A    88.147.29.220
veaksbdm.hist.pku.com.   IN    A    201.81.93.55
jutxnosh.hist.pku.com.   IN    A    202.3.234.0
srpwnahy.hist.pku.com.   IN    A    183.121.163.245
hganstbe.hist.pku.com.   IN    A    237.202.200.98
oefimhnp.hist.pku.com.   IN    A    141.237.91.171
ienpyjsd.hist.pku.com.   IN    A    39.86.5.78
balmgjoy.hist.pku.com.   IN    A    3.78.98.161
svcnpxyo.hist.pku.com.   IN    A    178.112.102.32
xtwngidr.hist.pku.com.   IN    A    75.41.6.69
vlgnjexp.hist.pku.com.   IN    A    15.138.151.225
lfydemqt.hist.pku.com.   IN    A    167.96.162.34
yugvbxew.hist.pku.com.   IN    A    66.247.83.112
eqvtiwun.hist.pku.com.   IN    A    169.112.71.19
qxdjhasu.hist.pku.com.   IN    A    99.217.192.121
lbidfxuj.hist.pku.com.   IN    A    221.19.0.187
etrfdvan.hist.pku.com.   IN    A    189.210.179.191
scdqyful.hist.pku.com.   IN    A    30.18.75.58
syxhofmd.hist.pku.com.   IN    A    70.25.188.120
sojixuqn.hist.pku.com.   IN    A    183.231.27.28
xepcivar.hist.pku.com.   IN    A    252.70.188.185
dqxbuviy.hist.pku.com.   IN    A    63.1.108.24
ploatubj.hist.pku.com.   IN    A    78.116.87.92
dwcfgskq.hist.pku.com.   IN    A    242.68.7.224
ekusldoa.hist.pku.com.   IN    A    16.15.174.171
ywlqnpbj.hist.pku.com.   IN    A    70.229.208.134
pvtlnbug.hist.pku.com.   IN    A    124.17.199.175
uygcnrxq.hist.pku.com.   IN    A    146.202.108.150
acmtulow.hist.pku.com.   IN    A    62.232.167.126
ojbghtdk.hist.pku.com.   IN    A    62.183.198.14
fbjnvlyk.hist.pku.com.   IN    A    163.136.223.211
xwvhkpiu.hist.pku.com.   IN    A    178.253.198.102
lkdwqotf.hist.pku.com.   IN    A    129.78.90.206
qcmfgbld.hist.pku.com.   IN    A    185.92.141.35
kwnyodgj.hist.pku.com.   IN    A    13.3.129.224
ehmnlivg.hist.pku.com.   IN    A    50.241.45.239
eicnypjd.hist.pku.com.   IN    A    139.160.183.237
ltobywhm.hist.pku.com.   IN    A    97.245.91.164
ivwfhkat.hist.pku.com.   IN    A    30.117.185.9
uqokenmr.hist.pku.com.   IN    A    234.192.127.111
hrtiojsd.hist.pku.com.   IN    A    157.47.95.198
jiqdnckh.hist.pku.com.   IN    A    111.78.5.9
tcgfxjhd.hist.pku.com.   IN    A    105.75.11.218
lvfkuprg.hist.pku.com.   IN    A    82.191.47.181
uoienaby.hist.pku.com.   IN    A    195.140.9.26
uefhvrbn.hist.pku.com.   IN    A    222.35.187.37
vqycpbdu.hist.pku.com.   IN    A    109.133.187.19
tpgwjycf.hist.pku.com.   IN    A    152.52.82.248
frhkclwx.hist.pku.com.   IN    A    174.234.11.201
pbvensyi.hist.pku.com.   IN    A    117.54.70.114
sxyqwhgm.hist.pku.com.   IN    A    208.246.21.229
qkbiyorp.hist.pku.com.   IN    A    158.107.95.49
nplvcwyf.hist.pku.com.   IN    A    115.32.255.254
gvorsltb.hist.pku.com.   IN    A    137.106.114.195
irmsxakb.hist.pku.com.   IN    A    15.207.29.157
xuymwbse.hist.pku.com.   IN    A    110.99.182.50
vuiopcbt.hist.pku.com.   IN    A    6.48.231.88
ikuhcdrv.hist.pku.com.   IN    A    117.86.249.137
wrpnkfym.hist.pku.com.   IN    A    220.42.159.214
ixmehvrf.hist.pku.com.   IN    A    120.77.182.185
pvbofdxn.hist.pku.com.   IN    A    152.219.196.21
mupdvylc.hist.pku.com.   IN    A    207.129.99.161
akysmqge.hist.pku.com.   IN    A    93.2.244.112
vfdxlojr.hist.pku.com.   IN    A    244.251.56.105
felgvmtx.hist.pku.com.   IN    A    193.236.165.6
gvhjrelf.hist.pku.com.   IN    A    191.104.110.237
mjfsqdvu.hist.pku.com.   IN    A    4.105.106.86
auewjstp.hist.pku.com.   IN    A    127.55.105.64
vpjmwhac.hist.pku.com.   IN    A    95.235.157.77
lostevwr.hist.pku.com.   IN    A    5.72.174.42
sjkvhmfx.hist.pku.com.   IN    A    11.66.45.78
cxitdeuy.hist.pku.com.   IN    A    103.140.166.101
yjfdmrxb.hist.pku.com.   IN    A    37.74.53.178
cgnxretv.hist.pku.com.   IN    A    128.219.73.71
bgylaqun.hist.pku.com.   IN    A    206.167.162.10
nyhflsot.hist.pku.com.   IN    A    142.11.134.132
nmbtrhpc.hist.pku.com.   IN    A    143.107.144.168
uyhrmvjw.hist.pku.com.   IN    A    86.215.156.61
juaocsmi.hist.pku.com.   IN    A    162.50.158.58
qdatrnve.hist.pku.com.   IN    A    66.208.155.219
nmrkiola.hist.pku.com.   IN    A    103.151.3.180
ytuxhkgn.hist.pku.com.   IN    A    8.26.90.134
ulvcspig.hist.pku.com.   IN    A    130.254.18.178
ewrkhdvt.hist.pku.com.   IN    A    207.238.134.125
sowjcebu.hist.pku.com.   IN    A    92.78.116.125
qhulfwty.hist.pku.com.   IN    A    243.172.189.157
klmjhfbo.hist.pku.com.   IN    A    137.81.77.214
loceygnp.hist.pku.com.   IN    A    141.127.98.107
oqpmldfv.hist.pku.com.   IN    A    98.91.227.194
uyngcspa.hist.pku.com.   IN    A    182.148.212.75
vehjiuym.hist.pku.com.   IN    A    185.219.190.147
rmtnoauf.hist.pku.com.   IN    A    88.22.239.116
bisxfpwu.hist.pku.com.   IN    A    20.21.24.249
opqxmeka.hist.pku.com.   IN    A    102.0.105.51
nxmbfjoh.hist.pku.com.   IN    A    183.240.139.132
mrnuagvj.hist.pku.com.   IN    A    0.57.75.44
falkivtw.hist.pku.com.   IN    A    114.143.18.190
sebdipqv.hist.pku.com.   IN    A    110.199.168.241
mcguntok.hist.pku.com.   IN    A    18.250.86.90
uaghjptd.hist.pku.com.   IN    A    184.6.160.9
ylrbajmu.hist.pku.com.   IN    A    240.22.194.154
pctqheis.hist.pku.com.   IN    A    239.145.61.88
pvxymnre.hist.pku.com.   IN    A    140.9.88.53
tmbcyrku.hist.pku.com.   IN    A    69.156.239.99
kunsxief.hist.pku.com.   IN    A    162.90.245.144
bixudwvm.hist.pku.com.   IN    A    229.2.80.209
jwpfaqol.hist.pku.com.   IN    A    73.110.252.176
xcbryksv.hist.pku.com.   IN    A    129.178.10.69
nwfhyxcl.hist.pku.com.   IN    A    181.171.66.213
uxhavbtf.hist.pku.com.   IN    A    175.11.174.44
eblrmkwc.hist.pku.com.   IN    A    137.171.215.248
nuakcfop.hist.pku.com.   IN    A    186.177.80.149
knhgsjqt.hist.pku.com.   IN    A    15.75.226.175
scuywamt.hist.pku.com.   IN    A    216.205.131.70
cfnryaig.hist.pku.com.   IN    A    101.230.133.1
njiwtefo.hist.pku.com.   IN    A    228.16.81.50
nqsymcki.hist.pku.com.   IN    A    236.132.195.246
omgxlchv.hist.pku.com.   IN    A    172.249.251.29
svegriln.hist.pku.com.   IN    A    120.198.63.158
yatdqenk.hist.pku.com.   IN    A    232.254.141.53
bxrcjngf.hist.pku.com.   IN    A    72.233.13.138
vbxjrchp.hist.pku.com.   IN    A    187.168.180.226
ncixdtak.hist.pku.com.   IN    A    94.141.105.34
lfrwqbpk.hist.pku.com.   IN    A    136.205.33.201
wnkgrdqm.hist.pku.com.   IN    A    165.235.240.118
kvjsodyt.hist.pku.com.   IN    A    165.191.225.154
pkvlcoid.hist.pku.com.   IN    A    232.88.67.170
gtnlvuck.hist.pku.com.   IN    A    32.39.169.198
jpkosgea.hist.pku.com.   IN    A    252.134.219.72
esavnwjy.hist.pku.com.   IN    A    201.197.168.131
iktcnjbg.hist.pku.com.   IN    A    150.145.208.96
ftwaedgj.hist.pku.com.   IN    A    115.0.128.153
wnueamds.hist.pku.com.   IN    A    169.140.188.64
lcveqkhx.hist.pku.com.   IN    A    157.133.172.102
jsolvcfk.hist.pku.com.   IN    A    154.22.207.188
uvjhwetk.hist.pku.com.   IN    A    255.118.192.101
inamfuwl.hist.pku.com.   IN    A    185.147.117.112
ibcfradv.hist.pku.com.   IN    A    36.152.61.82
foapvjis.hist.pku.com.   IN    A    129.67.156.98
rymtqgjv.hist.pku.com.   IN    A    103.71.112.127
wrcmtqlp.hist.pku.com.   IN    A    197.232.24.224
wnhmieto.hist.pku.com.   IN    A    248.77.50.161
mxfjblvy.hist.pku.com.   IN    A    52.233.4.97
msxicytp.hist.pku.com.   IN    A    183.96.29.143
nlyxvqdi.hist.pku.com.   IN    A    183.69.162.171
qjhmkfxn.hist.pku.com.   IN    A    107.59.211.202
qkxyhnlm.hist.pku.com.   IN    A    28.126.103.36
yqhcbvke.hist.pku.com.   IN    A    39.19.211.17
ubniqram.hist.pku.com.   IN    A    243.222.162.155
tmhrlfku.hist.pku.com.   IN    A    137.237.192.184
waosvuqx.hist.pku.com.   IN    A    122.192.16.136
dwaxotjr.hist.pku.com.   IN    A    226.56.107.184
mxldjevu.hist.pku.com.   IN    A    173.211.220.227
plvcikqt.hist.pku.com.   IN    A    178.129.205.253
lrwiheyt.hist.pku.com.   IN    A    4.187.147.162
vqwiofps.hist.pku.com.   IN    A    80.80.9.39
roxhlekq.hist.pku.com.   IN    A    187.35.168.208
vwkxrqlo.hist.pku.com.   IN    A    142.254.141.12
jreougyn.hist.pku.com.   IN    A    214.10.235.217
gcjftadp.hist.pku.com.   IN    A    224.93.253.213
bendqaow.hist.pku.com.   IN    A    206.150.80.78
gwtuxihk.hist.pku.com.   IN    A    123.66.77.80
jidfxhkg.hist.pku.com.   IN    A    35.117.137.245
dblqwgoj.hist.pku.com.   IN    A    25.108.214.227
axsvkmyr.hist.pku.com.   IN    A    14.231.194.207
flivkpot.hist.pku.com.   IN    A    26.67.146.152
ahbmivpl.hist.pku.com.   IN    A    195.99.145.122
vfkdpyao.hist.pku.com.   IN    A    62.142.23.127
lerkuxgp.hist.pku.com.   IN    A    169.53.92.11
wghxotqn.hist.pku.com.   IN    A    91.228.35.128
puyomlns.hist.pku.com.   IN    A    231.109.144.39
ilvqswbn.hist.pku.com.   IN    A    203.2.196.23
bikndchr.hist.pku.com.   IN    A    36.67.132.12
lmvegtxh.hist.pku.com.   IN    A    195.189.190.130
jcxuhbyn.hist.pku.com.   IN    A    38.49.31.208
ouhaqjcn.hist.pku.com.   IN    A    219.163.113.255
pcwyxvbe.hist.pku.com.   IN    A    1.163.7.198
