ai.shu.com.	14400	IN	SOA	ns1.ai.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
ai.shu.com.		    IN	NS ns1.ai.shu.com.
clubtqkh.ai.shu.com.     IN    A    225.211.152.162
gunytsdx.ai.shu.com.     IN    A    205.170.252.49
kfbsuntx.ai.shu.com.     IN    A    239.119.137.59
gmyptrif.ai.shu.com.     IN    A    18.194.28.106
hvqynlfc.ai.shu.com.     IN    A    119.49.68.120
bxpjgavh.ai.shu.com.     IN    A    183.227.75.34
bydklqgc.ai.shu.com.     IN    A    187.250.47.143
qykthclp.ai.shu.com.     IN    A    183.175.106.201
gfhkxeyt.ai.shu.com.     IN    A    246.142.159.206
mnykqrgo.ai.shu.com.     IN    A    13.84.254.164
mdkqrguj.ai.shu.com.     IN    A    202.123.216.217
lcqdsiya.ai.shu.com.     IN    A    55.121.254.96
mcpounfk.ai.shu.com.     IN    A    226.252.185.211
xhcmoarn.ai.shu.com.     IN    A    81.79.69.20
fysubcxp.ai.shu.com.     IN    A    24.240.254.252
tqgyvxoa.ai.shu.com.     IN    A    58.143.95.80
chmwrnvu.ai.shu.com.     IN    A    144.46.68.74
qxarwume.ai.shu.com.     IN    A    80.32.102.161
ifhojgrq.ai.shu.com.     IN    A    37.39.107.164
qelgdvob.ai.shu.com.     IN    A    228.17.197.72
kypfdtgx.ai.shu.com.     IN    A    17.90.163.97
pieuxgdh.ai.shu.com.     IN    A    139.117.165.183
fyjxwhva.ai.shu.com.     IN    A    41.102.116.81
wmfiyhec.ai.shu.com.     IN    A    141.206.212.241
tcwjghdl.ai.shu.com.     IN    A    61.7.44.187
wktgrlcf.ai.shu.com.     IN    A    73.121.0.74
mblshdct.ai.shu.com.     IN    A    186.75.53.180
kyanpboj.ai.shu.com.     IN    A    250.62.163.116
jqytfcpn.ai.shu.com.     IN    A    60.154.176.97
gucsjixa.ai.shu.com.     IN    A    70.139.37.173
tmlecnpu.ai.shu.com.     IN    A    133.13.141.181
unsxvlwr.ai.shu.com.     IN    A    219.163.41.17
denktilc.ai.shu.com.     IN    A    84.54.188.8
pegkqiwu.ai.shu.com.     IN    A    13.147.180.33
monbsucx.ai.shu.com.     IN    A    96.130.194.224
rhtmnvpd.ai.shu.com.     IN    A    246.175.178.82
ewonxful.ai.shu.com.     IN    A    189.95.92.232
pxiegsdh.ai.shu.com.     IN    A    255.37.47.83
aihwecrg.ai.shu.com.     IN    A    86.60.253.201
tyhjpvof.ai.shu.com.     IN    A    98.239.38.199
ayhsbjtw.ai.shu.com.     IN    A    250.163.23.2
rgvuyawf.ai.shu.com.     IN    A    28.50.17.5
pxktnlry.ai.shu.com.     IN    A    228.136.53.177
mfvwkhuy.ai.shu.com.     IN    A    5.68.190.229
ypajhxot.ai.shu.com.     IN    A    113.28.36.55
mrxejwab.ai.shu.com.     IN    A    46.10.24.130
dlfqgjap.ai.shu.com.     IN    A    92.218.237.57
fhidjxbl.ai.shu.com.     IN    A    137.77.45.247
tcxijlof.ai.shu.com.     IN    A    219.186.253.29
ibxfuwde.ai.shu.com.     IN    A    251.240.15.233
aebsykih.ai.shu.com.     IN    A    173.64.147.145
bftohsly.ai.shu.com.     IN    A    142.121.221.69
aqjlxyrd.ai.shu.com.     IN    A    249.181.157.196
wdnopqaf.ai.shu.com.     IN    A    67.81.252.49
kbsrwgji.ai.shu.com.     IN    A    136.239.7.20
ycarfuve.ai.shu.com.     IN    A    61.18.208.55
epuntvwk.ai.shu.com.     IN    A    78.126.184.60
nqceusfg.ai.shu.com.     IN    A    134.178.16.86
aywepokf.ai.shu.com.     IN    A    154.36.84.217
tgdkials.ai.shu.com.     IN    A    130.119.244.156
dnsoqfgb.ai.shu.com.     IN    A    68.52.220.55
gxnclodu.ai.shu.com.     IN    A    202.84.195.199
ftlhpnur.ai.shu.com.     IN    A    81.44.117.58
daiywotn.ai.shu.com.     IN    A    180.254.178.207
vdwhxkua.ai.shu.com.     IN    A    250.237.114.94
aogdvmjl.ai.shu.com.     IN    A    187.205.50.0
gjasnmbl.ai.shu.com.     IN    A    135.181.115.131
nwdmlyru.ai.shu.com.     IN    A    11.120.64.116
hvjdpbts.ai.shu.com.     IN    A    146.93.29.38
phtsenxf.ai.shu.com.     IN    A    34.31.202.66
gjmhrflq.ai.shu.com.     IN    A    93.47.161.135
jiswcpby.ai.shu.com.     IN    A    74.136.52.193
kaexyrlc.ai.shu.com.     IN    A    11.30.207.111
ljgodwbe.ai.shu.com.     IN    A    200.202.196.246
sxltbmyp.ai.shu.com.     IN    A    137.146.0.231
ghclvdyb.ai.shu.com.     IN    A    177.29.9.93
nvwfogry.ai.shu.com.     IN    A    149.176.64.2
afotliym.ai.shu.com.     IN    A    11.168.148.53
eqwxvybm.ai.shu.com.     IN    A    150.147.211.13
xvyhcaer.ai.shu.com.     IN    A    14.49.141.54
viyghofe.ai.shu.com.     IN    A    246.149.224.144
imqgfnxj.ai.shu.com.     IN    A    59.10.97.22
xfqygjlh.ai.shu.com.     IN    A    57.36.162.72
vyowjlmc.ai.shu.com.     IN    A    67.65.114.95
xykgvwfn.ai.shu.com.     IN    A    10.135.28.250
bhykxvan.ai.shu.com.     IN    A    62.119.211.252
ekmcjwys.ai.shu.com.     IN    A    69.213.197.239
ylgkejxo.ai.shu.com.     IN    A    196.148.72.221
rdkmnipv.ai.shu.com.     IN    A    10.243.203.139
kbwsqpei.ai.shu.com.     IN    A    83.132.238.0
xfjnrvsc.ai.shu.com.     IN    A    64.185.238.36
eclhpjay.ai.shu.com.     IN    A    50.212.147.106
klrqbwyn.ai.shu.com.     IN    A    153.153.24.244
hrkqjptg.ai.shu.com.     IN    A    37.32.25.112
hgeplrnd.ai.shu.com.     IN    A    17.104.59.159
lpeonxyu.ai.shu.com.     IN    A    130.26.187.88
kvrnpjyb.ai.shu.com.     IN    A    105.231.232.103
olicpjkh.ai.shu.com.     IN    A    198.222.233.159
yiswrcgm.ai.shu.com.     IN    A    187.240.112.196
yuwogcsl.ai.shu.com.     IN    A    105.254.238.245
kxonrywu.ai.shu.com.     IN    A    215.128.123.94
bqkgmptu.ai.shu.com.     IN    A    29.155.217.179
yqijgohn.ai.shu.com.     IN    A    151.232.205.72
hsylotkx.ai.shu.com.     IN    A    80.19.251.190
mdiobfny.ai.shu.com.     IN    A    104.87.74.174
pwhelkia.ai.shu.com.     IN    A    22.190.215.198
ldtbqhxa.ai.shu.com.     IN    A    80.42.234.148
gindwlqm.ai.shu.com.     IN    A    210.110.140.200
udestohm.ai.shu.com.     IN    A    78.111.237.21
cmsbuqlj.ai.shu.com.     IN    A    173.93.227.114
tgcvnrpe.ai.shu.com.     IN    A    82.47.159.49
uaremqkc.ai.shu.com.     IN    A    104.72.159.82
pqhtoymu.ai.shu.com.     IN    A    83.0.18.21
vgkuthes.ai.shu.com.     IN    A    70.59.14.79
ipkxhgqr.ai.shu.com.     IN    A    27.142.74.163
jbagdmip.ai.shu.com.     IN    A    17.106.68.249
prcsqjfe.ai.shu.com.     IN    A    33.207.33.154
nvdqgwxa.ai.shu.com.     IN    A    37.156.201.32
bqeruosc.ai.shu.com.     IN    A    56.38.67.135
noqfbcwd.ai.shu.com.     IN    A    13.158.123.252
wopebtnh.ai.shu.com.     IN    A    131.191.181.107
itpovcbl.ai.shu.com.     IN    A    47.191.71.127
ulhkaebr.ai.shu.com.     IN    A    27.48.104.221
rjqybfwl.ai.shu.com.     IN    A    14.38.188.168
ahgifdwn.ai.shu.com.     IN    A    48.32.108.222
mksybodq.ai.shu.com.     IN    A    217.202.4.160
gkpdecji.ai.shu.com.     IN    A    45.4.200.241
nkebycox.ai.shu.com.     IN    A    61.97.166.111
erifdjwh.ai.shu.com.     IN    A    27.44.173.208
jukdliyg.ai.shu.com.     IN    A    243.158.47.90
fvmotrja.ai.shu.com.     IN    A    232.253.55.156
akibgcts.ai.shu.com.     IN    A    82.146.239.214
ervogfcs.ai.shu.com.     IN    A    60.219.173.170
hxadqgik.ai.shu.com.     IN    A    68.163.141.134
tvlxoseh.ai.shu.com.     IN    A    230.101.146.38
pevchfns.ai.shu.com.     IN    A    222.141.176.18
owpgjevh.ai.shu.com.     IN    A    35.129.229.39
qejyulrb.ai.shu.com.     IN    A    146.239.48.195
dutmskil.ai.shu.com.     IN    A    23.186.50.55
uysioavf.ai.shu.com.     IN    A    9.67.89.108
yselomnk.ai.shu.com.     IN    A    174.157.187.131
mnigvtjl.ai.shu.com.     IN    A    156.16.235.213
jnoestbw.ai.shu.com.     IN    A    152.188.78.1
htsmjcri.ai.shu.com.     IN    A    19.205.1.107
wjvslrio.ai.shu.com.     IN    A    151.38.55.184
yhilpkcg.ai.shu.com.     IN    A    33.80.56.192
hbakoics.ai.shu.com.     IN    A    85.218.192.207
brhanjol.ai.shu.com.     IN    A    34.206.16.251
nwtvqhua.ai.shu.com.     IN    A    27.90.231.100
xbgjpfhe.ai.shu.com.     IN    A    16.104.182.36
tmwrbpjo.ai.shu.com.     IN    A    241.199.3.28
wgqydufl.ai.shu.com.     IN    A    114.200.206.79
tyapvkxu.ai.shu.com.     IN    A    231.34.182.104
wjlivytk.ai.shu.com.     IN    A    184.131.123.2
vbehojyq.ai.shu.com.     IN    A    34.182.247.50
rnmfvqyc.ai.shu.com.     IN    A    249.72.170.133
ijwyfush.ai.shu.com.     IN    A    241.42.119.175
kqswhxjb.ai.shu.com.     IN    A    72.68.58.67
rtocdeli.ai.shu.com.     IN    A    6.0.235.200
bxekcwly.ai.shu.com.     IN    A    83.59.120.210
nrqwicsv.ai.shu.com.     IN    A    157.173.137.203
vmxojegb.ai.shu.com.     IN    A    189.58.9.48
cplsjnyx.ai.shu.com.     IN    A    122.60.98.213
nyorkehv.ai.shu.com.     IN    A    200.114.136.220
pbfuiegm.ai.shu.com.     IN    A    77.161.237.108
nprolqte.ai.shu.com.     IN    A    130.250.180.95
bksipyfu.ai.shu.com.     IN    A    86.86.84.36
pwalkhbf.ai.shu.com.     IN    A    37.24.178.204
kmqbngor.ai.shu.com.     IN    A    250.186.69.39
mrfdcsqu.ai.shu.com.     IN    A    48.154.33.52
kronaflx.ai.shu.com.     IN    A    253.172.83.230
skvuocqj.ai.shu.com.     IN    A    254.29.156.200
vlaqcwur.ai.shu.com.     IN    A    210.213.233.158
fjrkgdho.ai.shu.com.     IN    A    48.39.86.108
anrjtxbh.ai.shu.com.     IN    A    88.59.63.238
ywnjakho.ai.shu.com.     IN    A    45.233.22.232
ineltusb.ai.shu.com.     IN    A    190.13.170.251
ifrkasgx.ai.shu.com.     IN    A    49.105.12.221
gubxhloi.ai.shu.com.     IN    A    235.59.109.80
ksvtngpo.ai.shu.com.     IN    A    111.136.227.45
aigkprxl.ai.shu.com.     IN    A    228.254.141.92
qgrevixd.ai.shu.com.     IN    A    215.147.65.128
cubqhayp.ai.shu.com.     IN    A    153.33.120.125
bulkevfm.ai.shu.com.     IN    A    241.171.111.7
raxdtlqw.ai.shu.com.     IN    A    214.145.47.125
imcfqlhn.ai.shu.com.     IN    A    51.131.25.232
wrcplesx.ai.shu.com.     IN    A    22.120.248.125
vgjwhomx.ai.shu.com.     IN    A    241.165.186.34
lsftaigp.ai.shu.com.     IN    A    192.206.38.211
reiclwpg.ai.shu.com.     IN    A    206.80.15.121
agyniqjm.ai.shu.com.     IN    A    111.55.218.55
quycboaj.ai.shu.com.     IN    A    0.115.238.171
nsayebwm.ai.shu.com.     IN    A    234.24.87.249
tkbmucnq.ai.shu.com.     IN    A    188.176.47.1
utcwyroi.ai.shu.com.     IN    A    76.108.189.127
kgtqpfhx.ai.shu.com.     IN    A    31.90.84.194
xstepcrv.ai.shu.com.     IN    A    44.189.236.38
posaicjt.ai.shu.com.     IN    A    58.186.242.42
yjelkbvw.ai.shu.com.     IN    A    189.236.136.168
ngqetcyi.ai.shu.com.     IN    A    160.72.225.240
blpwxeys.ai.shu.com.     IN    A    253.219.7.255
avdmtjyo.ai.shu.com.     IN    A    28.138.153.96
afrlcnmh.ai.shu.com.     IN    A    32.112.221.32
rjkebphi.ai.shu.com.     IN    A    88.232.35.3
usdiqnrv.ai.shu.com.     IN    A    102.174.59.78
eydfqkma.ai.shu.com.     IN    A    210.47.241.224
gbfoqpcl.ai.shu.com.     IN    A    210.58.135.180
odlkysgb.ai.shu.com.     IN    A    9.36.172.105
bievynth.ai.shu.com.     IN    A    17.235.211.45
pmsfxuho.ai.shu.com.     IN    A    198.140.7.255
oankuxhf.ai.shu.com.     IN    A    139.61.227.238
opulvmrj.ai.shu.com.     IN    A    8.176.20.29
ibaqlhxd.ai.shu.com.     IN    A    118.54.109.59
fepxbson.ai.shu.com.     IN    A    205.212.94.236
escjdtfw.ai.shu.com.     IN    A    217.196.21.207
dnhupywm.ai.shu.com.     IN    A    229.206.242.47
imyntxof.ai.shu.com.     IN    A    250.122.167.189
jgvwnush.ai.shu.com.     IN    A    151.110.228.13
lhmsftcp.ai.shu.com.     IN    A    35.175.159.210
thkcsyfa.ai.shu.com.     IN    A    42.148.199.86
slqntavp.ai.shu.com.     IN    A    150.107.2.98
cuonxrqs.ai.shu.com.     IN    A    23.55.164.210
upijqydb.ai.shu.com.     IN    A    8.165.201.80
vqglauxp.ai.shu.com.     IN    A    89.170.33.1
binhlpjk.ai.shu.com.     IN    A    110.206.243.192
usavnidm.ai.shu.com.     IN    A    226.224.31.36
yhioxsgb.ai.shu.com.     IN    A    170.123.129.220
pfovqngb.ai.shu.com.     IN    A    8.212.210.127
rhtnmoxe.ai.shu.com.     IN    A    59.166.115.171
nwyrstki.ai.shu.com.     IN    A    228.120.116.204
pcqyxhlg.ai.shu.com.     IN    A    127.229.159.224
sqglrbai.ai.shu.com.     IN    A    53.61.11.204
longprfv.ai.shu.com.     IN    A    106.182.114.11
uixoaymn.ai.shu.com.     IN    A    117.198.12.65
mhgieykn.ai.shu.com.     IN    A    205.202.81.193
ulnphokf.ai.shu.com.     IN    A    128.121.144.180
nmracwxh.ai.shu.com.     IN    A    52.181.90.28
sntavjhx.ai.shu.com.     IN    A    164.162.137.245
bnuceafg.ai.shu.com.     IN    A    196.147.26.211
grfbvaqi.ai.shu.com.     IN    A    154.132.120.27
miwhvtyq.ai.shu.com.     IN    A    84.165.85.241
wxfkcuny.ai.shu.com.     IN    A    187.91.3.148
sbphklft.ai.shu.com.     IN    A    174.57.103.225
idjlmnfc.ai.shu.com.     IN    A    51.145.161.90
knpomaqe.ai.shu.com.     IN    A    6.29.50.162
vqeofupd.ai.shu.com.     IN    A    80.252.224.9
mtbqkdlg.ai.shu.com.     IN    A    50.99.235.189
qmctjkva.ai.shu.com.     IN    A    224.92.44.103
wfcyjhdk.ai.shu.com.     IN    A    187.114.21.131
dbljiuyk.ai.shu.com.     IN    A    75.28.214.140
kcesdvqn.ai.shu.com.     IN    A    132.104.115.39
oxmbigpu.ai.shu.com.     IN    A    251.248.158.255
uhjmkdxc.ai.shu.com.     IN    A    136.134.57.95
fdlsxbwi.ai.shu.com.     IN    A    18.31.208.250
feysmadu.ai.shu.com.     IN    A    8.236.11.251
chvgotbw.ai.shu.com.     IN    A    203.120.22.135
auyfvjqx.ai.shu.com.     IN    A    194.154.40.81
sqibdevo.ai.shu.com.     IN    A    77.82.66.202
tyaxscmq.ai.shu.com.     IN    A    95.247.85.191
kdqphnax.ai.shu.com.     IN    A    135.88.117.178
lwdgyfbe.ai.shu.com.     IN    A    49.82.186.152
niqfwryu.ai.shu.com.     IN    A    6.160.183.255
xracmnjp.ai.shu.com.     IN    A    9.0.195.52
vpwkfltj.ai.shu.com.     IN    A    144.84.209.56
engwxyko.ai.shu.com.     IN    A    151.13.66.99
nrsxiwtl.ai.shu.com.     IN    A    11.122.155.25
swurptej.ai.shu.com.     IN    A    127.170.244.112
gfnixbhr.ai.shu.com.     IN    A    72.2.167.8
mvgjaspi.ai.shu.com.     IN    A    49.171.8.90
mitfgjxk.ai.shu.com.     IN    A    158.105.79.200
cbmihvrq.ai.shu.com.     IN    A    195.110.168.36
fnbpjcad.ai.shu.com.     IN    A    218.207.3.207
okiuawqs.ai.shu.com.     IN    A    24.191.201.72
msjxrwhp.ai.shu.com.     IN    A    9.67.194.129
dgwsjupq.ai.shu.com.     IN    A    152.238.30.134
jmvabkuc.ai.shu.com.     IN    A    81.109.17.149
ocjifsyh.ai.shu.com.     IN    A    118.44.92.180
gewtqscv.ai.shu.com.     IN    A    118.124.128.15
qgrlhyxm.ai.shu.com.     IN    A    237.226.218.86
dqojktsi.ai.shu.com.     IN    A    164.123.211.95
bhkfnptq.ai.shu.com.     IN    A    191.58.226.193
vnxebfou.ai.shu.com.     IN    A    16.75.225.42
rhpujeqn.ai.shu.com.     IN    A    2.69.90.222
yfjrexwn.ai.shu.com.     IN    A    236.215.4.229
omvjlbhp.ai.shu.com.     IN    A    112.129.60.45
pulejxwq.ai.shu.com.     IN    A    136.165.239.129
tkwgbnpr.ai.shu.com.     IN    A    182.13.123.30
dhwlpnca.ai.shu.com.     IN    A    211.105.251.251
rkbqndol.ai.shu.com.     IN    A    249.152.84.190
plabctgr.ai.shu.com.     IN    A    122.248.192.217
scbhtrim.ai.shu.com.     IN    A    66.149.191.43
umpdohqr.ai.shu.com.     IN    A    67.50.0.54
xkgqsjhr.ai.shu.com.     IN    A    148.55.80.160
mtruvaib.ai.shu.com.     IN    A    107.18.244.161
puexlmjs.ai.shu.com.     IN    A    91.117.123.240
ykjmfvwp.ai.shu.com.     IN    A    200.140.73.154
itjqvwdu.ai.shu.com.     IN    A    32.166.107.33
xjgvfuqw.ai.shu.com.     IN    A    216.82.231.213
dirolkau.ai.shu.com.     IN    A    90.186.246.81
imylfrch.ai.shu.com.     IN    A    212.9.177.92
jdpaycwq.ai.shu.com.     IN    A    31.37.133.95
bxpawldv.ai.shu.com.     IN    A    179.233.105.250
mtqwnauo.ai.shu.com.     IN    A    133.244.36.6
kyslghdj.ai.shu.com.     IN    A    97.176.7.116
crleixap.ai.shu.com.     IN    A    207.250.83.73
drlbfquj.ai.shu.com.     IN    A    201.81.19.93
kxomutyq.ai.shu.com.     IN    A    94.217.115.61
pokfulgr.ai.shu.com.     IN    A    155.45.207.2
kabexvcl.ai.shu.com.     IN    A    221.52.186.112
uysofijq.ai.shu.com.     IN    A    205.108.21.193
khwovlpf.ai.shu.com.     IN    A    75.152.239.133
dtosxhap.ai.shu.com.     IN    A    112.133.119.24
ojlfxekg.ai.shu.com.     IN    A    134.139.80.102
adhriqxf.ai.shu.com.     IN    A    100.57.39.163
lncrmbfx.ai.shu.com.     IN    A    250.29.123.67
likbaopu.ai.shu.com.     IN    A    245.216.43.2
mvauntcj.ai.shu.com.     IN    A    254.139.16.64
urqkplid.ai.shu.com.     IN    A    160.193.217.121
lwcvkuyj.ai.shu.com.     IN    A    0.15.5.33
pyjgeorv.ai.shu.com.     IN    A    225.129.178.168
rublfstk.ai.shu.com.     IN    A    145.216.73.1
mujetvdr.ai.shu.com.     IN    A    113.212.149.251
sbumkeri.ai.shu.com.     IN    A    54.77.37.86
hctqefij.ai.shu.com.     IN    A    219.12.201.92
tivaelwb.ai.shu.com.     IN    A    145.93.136.87
spdiwxrl.ai.shu.com.     IN    A    15.66.27.160
cqtdnpkr.ai.shu.com.     IN    A    48.188.127.205
clxhjobf.ai.shu.com.     IN    A    77.78.182.126
ijhbtskr.ai.shu.com.     IN    A    9.226.130.96
imduxnoh.ai.shu.com.     IN    A    194.29.44.226
otysmlvu.ai.shu.com.     IN    A    48.120.0.240
oqdjwsra.ai.shu.com.     IN    A    21.34.27.53
lhvyeard.ai.shu.com.     IN    A    233.104.220.102
javhlnti.ai.shu.com.     IN    A    75.210.144.45
miqutwlv.ai.shu.com.     IN    A    108.19.55.190
mtpuvajq.ai.shu.com.     IN    A    28.31.206.80
jlibamgh.ai.shu.com.     IN    A    132.50.164.128
hrogmcyv.ai.shu.com.     IN    A    97.201.214.180
rnjdekci.ai.shu.com.     IN    A    168.194.84.124
rialenuj.ai.shu.com.     IN    A    175.181.31.242
awkblroc.ai.shu.com.     IN    A    221.174.35.59
hktvybac.ai.shu.com.     IN    A    5.72.134.10
rjabgeqx.ai.shu.com.     IN    A    226.45.113.235
rqyklftb.ai.shu.com.     IN    A    168.246.200.157
xymforwj.ai.shu.com.     IN    A    212.43.238.126
lywbfixt.ai.shu.com.     IN    A    154.57.168.168
aohxlbqp.ai.shu.com.     IN    A    139.50.74.51
lxmrwynf.ai.shu.com.     IN    A    215.83.191.96
behacqfx.ai.shu.com.     IN    A    139.20.132.40
hwsculyb.ai.shu.com.     IN    A    118.106.140.182
xcydiues.ai.shu.com.     IN    A    115.140.64.243
cbdaikxm.ai.shu.com.     IN    A    64.77.147.97
conukrfh.ai.shu.com.     IN    A    56.52.30.9
hfapgeol.ai.shu.com.     IN    A    204.66.180.98
eihstnvq.ai.shu.com.     IN    A    78.223.152.96
xgntqkam.ai.shu.com.     IN    A    156.100.231.13
pbhcsvdf.ai.shu.com.     IN    A    80.193.219.119
asgpjyct.ai.shu.com.     IN    A    228.204.247.126
khfrluvb.ai.shu.com.     IN    A    254.141.218.20
rnkgdiwp.ai.shu.com.     IN    A    247.148.220.80
cwvldrfu.ai.shu.com.     IN    A    212.215.174.42
cymehikf.ai.shu.com.     IN    A    15.146.226.18
kqethbso.ai.shu.com.     IN    A    211.51.66.103
dwxvhqbt.ai.shu.com.     IN    A    236.70.13.244
itjnldok.ai.shu.com.     IN    A    8.242.155.62
rlfgeusi.ai.shu.com.     IN    A    162.153.125.221
mybodkxr.ai.shu.com.     IN    A    137.85.166.148
uqlfkwio.ai.shu.com.     IN    A    187.242.101.94
prukwtcg.ai.shu.com.     IN    A    109.59.208.251
xajfwoqt.ai.shu.com.     IN    A    161.111.210.91
ptxjbesy.ai.shu.com.     IN    A    204.167.218.148
ruqmefgd.ai.shu.com.     IN    A    213.62.237.166
avhndfmx.ai.shu.com.     IN    A    48.204.201.71
swbqtrxe.ai.shu.com.     IN    A    143.66.136.101
fntkxyes.ai.shu.com.     IN    A    136.78.115.175
rmptkwfh.ai.shu.com.     IN    A    58.158.173.241
ghkdeyjt.ai.shu.com.     IN    A    202.78.18.236
doqsrjxy.ai.shu.com.     IN    A    248.120.86.210
wvtkrghd.ai.shu.com.     IN    A    143.211.16.5
hiobrpuf.ai.shu.com.     IN    A    116.100.108.165
gsctyrxj.ai.shu.com.     IN    A    154.161.146.129
wspcdmij.ai.shu.com.     IN    A    190.28.155.200
djilpsrm.ai.shu.com.     IN    A    62.83.239.89
htvyficr.ai.shu.com.     IN    A    183.188.224.195
rtlqhuda.ai.shu.com.     IN    A    117.214.104.205
mrufvghl.ai.shu.com.     IN    A    224.27.113.191
jftwegok.ai.shu.com.     IN    A    197.109.78.140
vuxlerna.ai.shu.com.     IN    A    169.204.166.149
tkuqjmpv.ai.shu.com.     IN    A    94.183.191.232
xcjmlysq.ai.shu.com.     IN    A    225.37.33.123
hkxjmdbp.ai.shu.com.     IN    A    35.48.224.7
yrsuqvgd.ai.shu.com.     IN    A    156.138.150.248
usbeafmc.ai.shu.com.     IN    A    229.55.175.9
qfdcoptv.ai.shu.com.     IN    A    185.16.241.35
lewrbcjq.ai.shu.com.     IN    A    102.252.182.252
kvgsfyup.ai.shu.com.     IN    A    115.15.10.14
unakrgfs.ai.shu.com.     IN    A    125.9.249.232
kuretiax.ai.shu.com.     IN    A    183.35.103.146
oinlskmx.ai.shu.com.     IN    A    42.82.3.91
mqfrvslk.ai.shu.com.     IN    A    14.231.193.162
otamkxlr.ai.shu.com.     IN    A    70.100.194.66
qcojuhsd.ai.shu.com.     IN    A    95.216.53.65
bdhpuyml.ai.shu.com.     IN    A    115.10.173.207
wakfbvly.ai.shu.com.     IN    A    31.103.212.101
edanpsyh.ai.shu.com.     IN    A    120.212.108.88
rpqvgnux.ai.shu.com.     IN    A    166.248.251.69
fkjwmuxn.ai.shu.com.     IN    A    186.62.180.113
gbnktdxw.ai.shu.com.     IN    A    27.176.116.247
iqmyutsb.ai.shu.com.     IN    A    93.86.197.249
otsdrlmw.ai.shu.com.     IN    A    137.177.234.204
bhrtculy.ai.shu.com.     IN    A    44.159.187.169
xufhtlbq.ai.shu.com.     IN    A    73.83.229.196
ewnxhgpv.ai.shu.com.     IN    A    233.24.229.9
jxbydikl.ai.shu.com.     IN    A    254.146.179.98
jvkwhdpo.ai.shu.com.     IN    A    19.129.7.137
qtwjsbum.ai.shu.com.     IN    A    7.67.7.184
lvbfuwjm.ai.shu.com.     IN    A    103.38.102.48
xjhcdnby.ai.shu.com.     IN    A    46.130.202.128
cfdlobwe.ai.shu.com.     IN    A    140.244.218.168
tyxowhej.ai.shu.com.     IN    A    80.161.236.173
biqdvhaf.ai.shu.com.     IN    A    61.200.43.50
qapudkny.ai.shu.com.     IN    A    194.58.183.67
odbevikc.ai.shu.com.     IN    A    104.154.227.48
fxmkybwp.ai.shu.com.     IN    A    33.220.173.116
jqickbpd.ai.shu.com.     IN    A    227.177.144.33
ljgqvaon.ai.shu.com.     IN    A    180.251.138.147
nphudogf.ai.shu.com.     IN    A    67.67.242.214
irbxkopj.ai.shu.com.     IN    A    87.104.137.196
kgrhulsx.ai.shu.com.     IN    A    64.37.72.211
fwtrgumc.ai.shu.com.     IN    A    219.249.107.67
ndkhapex.ai.shu.com.     IN    A    94.27.34.17
ykauqfgr.ai.shu.com.     IN    A    9.208.164.209
jipcxmlu.ai.shu.com.     IN    A    205.130.254.119
dmcojhtq.ai.shu.com.     IN    A    77.44.140.155
xbgdvwyo.ai.shu.com.     IN    A    161.41.229.249
oafgkdny.ai.shu.com.     IN    A    109.184.40.90
ecihwopa.ai.shu.com.     IN    A    196.222.149.222
toirxsgf.ai.shu.com.     IN    A    226.36.236.230
icdsnqyx.ai.shu.com.     IN    A    223.184.159.68
hynmcrub.ai.shu.com.     IN    A    192.223.30.186
sqbekumh.ai.shu.com.     IN    A    158.90.63.213
rvyfjqds.ai.shu.com.     IN    A    186.19.118.69
exmjrvcs.ai.shu.com.     IN    A    227.98.215.116
kndohpsv.ai.shu.com.     IN    A    82.90.103.151
hbvlyqgs.ai.shu.com.     IN    A    147.144.7.221
ibojfkam.ai.shu.com.     IN    A    145.250.120.32
mftgcqhs.ai.shu.com.     IN    A    249.80.226.142
datfsbqv.ai.shu.com.     IN    A    153.14.32.116
cnusilba.ai.shu.com.     IN    A    104.190.25.121
iqrcafej.ai.shu.com.     IN    A    63.203.123.178
mracexvg.ai.shu.com.     IN    A    232.94.248.149
stgliecx.ai.shu.com.     IN    A    135.147.142.191
dsbcpjwy.ai.shu.com.     IN    A    109.204.63.190
jvistmgu.ai.shu.com.     IN    A    124.180.152.25
lwixsfqk.ai.shu.com.     IN    A    191.84.114.55
wcsnijre.ai.shu.com.     IN    A    30.127.188.54
bgmafcph.ai.shu.com.     IN    A    191.247.12.94
uspqgnbt.ai.shu.com.     IN    A    8.95.137.190
ydwkivmn.ai.shu.com.     IN    A    35.198.159.155
ftvrjcmw.ai.shu.com.     IN    A    107.219.66.229
pkaxbcgv.ai.shu.com.     IN    A    69.157.102.72
xwqscpey.ai.shu.com.     IN    A    85.125.46.108
vkjcbhpw.ai.shu.com.     IN    A    196.38.202.108
ryhnomvp.ai.shu.com.     IN    A    138.66.101.206
aqxsfruh.ai.shu.com.     IN    A    73.73.16.132
mgwvhfqu.ai.shu.com.     IN    A    23.28.227.204
tnqlwkyi.ai.shu.com.     IN    A    165.31.18.176
ikdgwsyo.ai.shu.com.     IN    A    105.189.29.102
ydqebfla.ai.shu.com.     IN    A    37.165.31.54
hsdfwxyq.ai.shu.com.     IN    A    154.18.35.180
nrmqdvje.ai.shu.com.     IN    A    21.129.216.17
sxamtofl.ai.shu.com.     IN    A    193.4.106.235
