; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR whu.com. @ns2.whu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
whu.com.			      14400 IN NS	ns1.whu.com.
ns1.whu.com.			      14400 IN A	10.166.21.13

www.whu.com.		      14400 IN NS	ns1.www.whu.com.
ns1.www.whu.com.		      14400 IN A		10.166.21.14

pharm.whu.com.		      14400 IN NS	ns1.pharm.whu.com.
ns1.pharm.whu.com.		      14400 IN A		10.166.21.15

hyxt.whu.com.		      14400 IN NS	ns1.hyxt.whu.com.
ns1.hyxt.whu.com.		      14400 IN A		10.166.21.12

whu.com.			      14400 IN MX	10 hyxttp.whu.edu.
whu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
yrvnxcoj.whu.com.        IN    A    145.191.137.191
sdmtkbve.whu.com.        IN    A    126.71.247.197
cowefqra.whu.com.        IN    A    29.233.128.252
etugodik.whu.com.        IN    A    72.234.184.49
lmjyhvwn.whu.com.        IN    A    203.223.203.191
ijhpftlv.whu.com.        IN    A    41.130.242.168
qjdwxfta.whu.com.        IN    A    130.71.125.92
yptfkvsd.whu.com.        IN    A    175.61.31.8
bgmvlyfo.whu.com.        IN    A    121.229.49.210
jupmbonc.whu.com.        IN    A    66.233.30.9
eoqdfrak.whu.com.        IN    A    181.8.30.80
shcrgmpw.whu.com.        IN    A    63.158.230.213
ghniebxq.whu.com.        IN    A    7.149.47.3
gquxldrj.whu.com.        IN    A    90.174.3.199
ymnkfceh.whu.com.        IN    A    64.10.168.90
pcvtdrue.whu.com.        IN    A    48.21.102.64
xfgtldus.whu.com.        IN    A    31.20.196.137
ukjrwcvt.whu.com.        IN    A    72.160.32.195
wsidvjrh.whu.com.        IN    A    170.233.171.102
lknigatv.whu.com.        IN    A    163.222.75.8
lbstynfr.whu.com.        IN    A    163.85.214.7
jegkalth.whu.com.        IN    A    233.43.53.180
bavidfrn.whu.com.        IN    A    232.144.72.138
nfelxjbh.whu.com.        IN    A    146.129.167.166
pgxyihfd.whu.com.        IN    A    91.243.191.72
rbvioscq.whu.com.        IN    A    82.152.24.197
fnvrtpjh.whu.com.        IN    A    4.242.84.168
qeujygok.whu.com.        IN    A    27.214.3.42
vfyornbt.whu.com.        IN    A    95.223.206.93
loajsenf.whu.com.        IN    A    37.121.63.30
mgutbfpj.whu.com.        IN    A    74.193.32.168
jylmxuob.whu.com.        IN    A    27.108.99.235
bphyrita.whu.com.        IN    A    242.243.193.110
mqxowajb.whu.com.        IN    A    46.236.237.214
krbtcalu.whu.com.        IN    A    193.7.142.3
sjiaxkpt.whu.com.        IN    A    125.194.117.232
iuxpcqtg.whu.com.        IN    A    35.100.66.222
cukyxloi.whu.com.        IN    A    121.54.40.138
ltfughjd.whu.com.        IN    A    82.89.241.63
xacqoltf.whu.com.        IN    A    124.193.171.45
okedwyln.whu.com.        IN    A    241.57.46.19
weqhjoxv.whu.com.        IN    A    137.130.120.89
bofwqpen.whu.com.        IN    A    109.112.46.190
icftoqpg.whu.com.        IN    A    157.38.115.248
hnemctdl.whu.com.        IN    A    231.70.24.171
tioryxne.whu.com.        IN    A    196.22.36.75
blxydfki.whu.com.        IN    A    196.128.241.110
gdjaievl.whu.com.        IN    A    13.189.129.129
incsvxdb.whu.com.        IN    A    255.72.199.221
fiwgyjoc.whu.com.        IN    A    209.52.41.216
pokhaild.whu.com.        IN    A    185.139.103.61
vtucehja.whu.com.        IN    A    149.139.233.202
hcinufls.whu.com.        IN    A    192.99.135.228
xcsnykou.whu.com.        IN    A    134.175.111.220
obxjedsu.whu.com.        IN    A    91.5.236.173
umdysfbn.whu.com.        IN    A    252.28.208.224
wmcoaqft.whu.com.        IN    A    49.172.41.75
pkymhrej.whu.com.        IN    A    154.46.189.122
ugeibdwn.whu.com.        IN    A    238.15.18.183
ksnxpjrw.whu.com.        IN    A    27.90.111.203
kjgnucex.whu.com.        IN    A    65.13.176.8
sekqpvbl.whu.com.        IN    A    5.2.119.17
acehyovj.whu.com.        IN    A    191.137.27.66
ljxumsne.whu.com.        IN    A    234.28.242.0
tbouvldh.whu.com.        IN    A    64.54.109.204
cdorvnlh.whu.com.        IN    A    227.91.114.104
tuhpmqol.whu.com.        IN    A    34.194.217.233
rxtkqvac.whu.com.        IN    A    202.159.67.203
gsdxltkc.whu.com.        IN    A    53.116.249.236
sepcrkgv.whu.com.        IN    A    99.115.193.167
oxwjyngm.whu.com.        IN    A    255.42.0.143
ebnvkmwl.whu.com.        IN    A    221.131.180.158
lifexdao.whu.com.        IN    A    124.215.142.100
xsnpkiur.whu.com.        IN    A    252.194.190.23
orpkldcg.whu.com.        IN    A    42.22.13.177
vjcnglik.whu.com.        IN    A    202.92.135.146
ysvecqwg.whu.com.        IN    A    4.21.98.196
oabhstmy.whu.com.        IN    A    117.16.8.222
qkurmwpj.whu.com.        IN    A    155.150.176.14
sejhpgrq.whu.com.        IN    A    184.132.65.10
xvqwjsfo.whu.com.        IN    A    61.146.149.92
ukpbovsg.whu.com.        IN    A    113.103.143.36
ovanwcsg.whu.com.        IN    A    159.151.204.154
rxuwksat.whu.com.        IN    A    51.108.75.241
vfelrcdw.whu.com.        IN    A    16.155.88.129
mrxhoany.whu.com.        IN    A    33.222.81.112
nlmvjahg.whu.com.        IN    A    24.145.245.34
lqtnwhvc.whu.com.        IN    A    95.96.196.206
lymtxecr.whu.com.        IN    A    149.55.221.34
kneuyptr.whu.com.        IN    A    69.45.144.38
vfcokled.whu.com.        IN    A    168.119.24.47
aslycvex.whu.com.        IN    A    250.138.0.19
cxdohgju.whu.com.        IN    A    36.208.47.28
nhudmtfw.whu.com.        IN    A    194.247.39.170
wptmkoqr.whu.com.        IN    A    254.143.179.218
dvjtlixq.whu.com.        IN    A    66.127.144.30
xtpynils.whu.com.        IN    A    151.230.253.133
kahmyfjw.whu.com.        IN    A    61.12.59.135
outxemrg.whu.com.        IN    A    10.13.23.108
xvwhkolf.whu.com.        IN    A    53.185.198.179
mrpchavd.whu.com.        IN    A    13.93.101.172
plrigmkb.whu.com.        IN    A    62.28.248.147
nmryvspw.whu.com.        IN    A    252.159.88.185
hvjmwiry.whu.com.        IN    A    248.222.103.20
ayregvjq.whu.com.        IN    A    23.15.214.101
wrbjtcdh.whu.com.        IN    A    212.107.173.246
ltxhgaiu.whu.com.        IN    A    65.218.54.146
xevnuyql.whu.com.        IN    A    145.160.117.107
mioyqxbj.whu.com.        IN    A    181.124.92.92
labcxhru.whu.com.        IN    A    5.169.254.159
hrvafjsu.whu.com.        IN    A    79.34.224.223
thpnreol.whu.com.        IN    A    194.155.118.62
palctbiw.whu.com.        IN    A    227.6.194.224
wmgaouxd.whu.com.        IN    A    53.100.26.43
solubdxm.whu.com.        IN    A    251.43.4.76
xivyqwao.whu.com.        IN    A    54.164.180.121
qndvoljb.whu.com.        IN    A    230.123.5.50
ieuwtxsf.whu.com.        IN    A    231.82.251.209
jtpbmlwe.whu.com.        IN    A    119.153.41.244
xekpjwyr.whu.com.        IN    A    79.69.217.99
ojetmubq.whu.com.        IN    A    42.208.106.72
rpbtlojc.whu.com.        IN    A    224.87.101.147
vtgconay.whu.com.        IN    A    105.201.106.78
auxvdtpl.whu.com.        IN    A    224.162.80.116
eiqayokf.whu.com.        IN    A    126.50.89.251
tfcpeqmb.whu.com.        IN    A    255.199.54.159
ubmgxqfe.whu.com.        IN    A    120.80.120.251
rxpmsfiu.whu.com.        IN    A    206.82.110.122
mrifckpj.whu.com.        IN    A    83.167.156.114
frmhkbsg.whu.com.        IN    A    4.197.218.30
jopbkfav.whu.com.        IN    A    98.240.9.51
btdilaor.whu.com.        IN    A    8.124.68.59
ncqedsmf.whu.com.        IN    A    182.23.77.215
ujcwfydo.whu.com.        IN    A    201.154.52.22
egstnbrh.whu.com.        IN    A    134.196.255.232
vbxmkdfq.whu.com.        IN    A    97.246.236.63
werijpmy.whu.com.        IN    A    220.90.151.206
jhbmawdg.whu.com.        IN    A    48.238.42.102
xeincqyd.whu.com.        IN    A    149.233.54.194
bhmnkief.whu.com.        IN    A    40.3.233.175
dxmykjip.whu.com.        IN    A    196.159.161.145
ygdhltqk.whu.com.        IN    A    139.145.214.173
kvirdsgh.whu.com.        IN    A    145.16.89.16
etwihusm.whu.com.        IN    A    184.12.174.62
ehrltwfq.whu.com.        IN    A    134.213.248.215
ajmvqbrh.whu.com.        IN    A    161.174.20.185
xfwmanpc.whu.com.        IN    A    60.165.70.210
baujlgih.whu.com.        IN    A    167.244.0.20
jlbucofq.whu.com.        IN    A    207.192.246.136
sbwpxqom.whu.com.        IN    A    145.45.129.58
ildyrtpq.whu.com.        IN    A    87.128.21.38
jptwduev.whu.com.        IN    A    131.148.16.128
ekdgculi.whu.com.        IN    A    174.30.94.205
fqkwhegb.whu.com.        IN    A    175.204.145.199
hluiwgvy.whu.com.        IN    A    65.113.181.209
jtlksriq.whu.com.        IN    A    22.11.90.183
rxuaomnw.whu.com.        IN    A    53.242.47.151
csenkxaf.whu.com.        IN    A    95.128.182.49
emfqjuda.whu.com.        IN    A    48.114.191.182
kgwmdenb.whu.com.        IN    A    25.52.203.101
rwjcgflx.whu.com.        IN    A    222.37.71.70
uwjgkhcb.whu.com.        IN    A    125.136.89.45
luhsnrpq.whu.com.        IN    A    24.16.251.236
gahivoeb.whu.com.        IN    A    57.88.220.213
vruqdxcl.whu.com.        IN    A    130.116.178.128
jfkanowp.whu.com.        IN    A    221.128.128.100
ctoungxy.whu.com.        IN    A    210.140.53.10
pwxuqkaf.whu.com.        IN    A    125.201.171.84
guihpwjb.whu.com.        IN    A    249.200.108.128
urvfpkta.whu.com.        IN    A    75.83.163.69
wdtfiemo.whu.com.        IN    A    184.222.228.112
kbengsyi.whu.com.        IN    A    103.220.233.50
uexcqvgi.whu.com.        IN    A    231.97.169.60
rvqnyijc.whu.com.        IN    A    40.26.154.237
smkiycqv.whu.com.        IN    A    230.43.71.58
pemiltjx.whu.com.        IN    A    194.2.25.173
ojbsywrq.whu.com.        IN    A    10.234.185.186
qtwcvogs.whu.com.        IN    A    105.101.85.251
ngdamcit.whu.com.        IN    A    179.134.58.179
ucohdvgp.whu.com.        IN    A    3.42.155.201
owaklynq.whu.com.        IN    A    231.150.152.58
svygjfib.whu.com.        IN    A    235.17.17.237
tkuqaxjy.whu.com.        IN    A    188.98.102.119
wiuldytc.whu.com.        IN    A    29.229.65.200
jqobwyst.whu.com.        IN    A    194.179.102.85
wiamjgos.whu.com.        IN    A    181.127.245.53
pwrgtsni.whu.com.        IN    A    96.162.176.89
ndtbkxyw.whu.com.        IN    A    213.203.127.218
gacnkbxt.whu.com.        IN    A    129.114.231.62
ilbanohc.whu.com.        IN    A    77.55.167.12
awgcrtiq.whu.com.        IN    A    17.226.228.237
bfnkysqc.whu.com.        IN    A    251.11.4.94
cxuiakmf.whu.com.        IN    A    190.158.159.255
ynfmtcge.whu.com.        IN    A    54.105.242.91
jdnoflth.whu.com.        IN    A    164.66.60.25
iwxludcj.whu.com.        IN    A    10.172.220.217
fbmaincs.whu.com.        IN    A    252.24.188.194
uvcwrimb.whu.com.        IN    A    193.50.73.175
ejwpusli.whu.com.        IN    A    139.75.191.220
tuhpecom.whu.com.        IN    A    180.79.13.141
ndyghavo.whu.com.        IN    A    92.99.218.145
tlpqrsyo.whu.com.        IN    A    110.241.229.67
dpsjcfvu.whu.com.        IN    A    182.30.72.73
gbfxodul.whu.com.        IN    A    102.99.57.180
jowpuiqa.whu.com.        IN    A    150.71.123.62
jhxdvoit.whu.com.        IN    A    226.161.60.26
qcujpydo.whu.com.        IN    A    113.140.135.167
xbongyfv.whu.com.        IN    A    226.164.19.136
togmnyie.whu.com.        IN    A    29.222.195.224
inwbeohc.whu.com.        IN    A    93.69.154.249
qsidknuf.whu.com.        IN    A    236.241.205.113
hdsyuavt.whu.com.        IN    A    29.55.245.160
csnqiyhr.whu.com.        IN    A    29.217.230.127
xosjvriu.whu.com.        IN    A    77.135.12.109
tphefkwr.whu.com.        IN    A    210.152.37.100
ltdkocbi.whu.com.        IN    A    106.131.26.74
slknojpr.whu.com.        IN    A    255.253.1.72
moerabgk.whu.com.        IN    A    188.67.125.173
ksejtnhu.whu.com.        IN    A    244.76.148.182
nprmkwxa.whu.com.        IN    A    231.155.112.115
tylqsijd.whu.com.        IN    A    170.123.246.252
bwecnvkx.whu.com.        IN    A    58.255.40.39
catvlgof.whu.com.        IN    A    148.22.62.243
megtbvrw.whu.com.        IN    A    4.150.189.243
ekvocwia.whu.com.        IN    A    90.252.161.49
ngbjofwx.whu.com.        IN    A    190.213.252.213
mjxkcisy.whu.com.        IN    A    83.87.186.68
pvlfrcxn.whu.com.        IN    A    7.100.253.195
spjielxq.whu.com.        IN    A    177.92.205.54
ntriwjgd.whu.com.        IN    A    246.118.193.60
xptwyqeb.whu.com.        IN    A    185.81.134.25
repoqlmi.whu.com.        IN    A    176.142.227.143
neksuiyv.whu.com.        IN    A    164.168.53.77
gqfehopd.whu.com.        IN    A    129.179.66.1
oicbyuqe.whu.com.        IN    A    63.1.78.211
jhwdxofg.whu.com.        IN    A    99.79.172.123
kyionxlw.whu.com.        IN    A    209.111.123.201
hflvwisg.whu.com.        IN    A    6.60.216.173
sylktpum.whu.com.        IN    A    84.9.99.165
tdgaleuw.whu.com.        IN    A    59.62.198.188
bcsdfljo.whu.com.        IN    A    221.187.149.55
yeobigta.whu.com.        IN    A    235.207.43.197
tvjpwrxa.whu.com.        IN    A    214.177.205.249
nwtymkia.whu.com.        IN    A    203.159.173.68
wrtnlkof.whu.com.        IN    A    145.252.133.55
msucybov.whu.com.        IN    A    111.142.100.95
hvnlrogq.whu.com.        IN    A    56.106.27.189
wvsubylt.whu.com.        IN    A    65.69.38.117
qngceywu.whu.com.        IN    A    241.143.21.52
mfdvkaob.whu.com.        IN    A    234.155.36.164
exmuwrlj.whu.com.        IN    A    134.100.147.58
dlwuqveh.whu.com.        IN    A    158.239.38.242
gxorypbm.whu.com.        IN    A    178.233.23.199
klaxpsey.whu.com.        IN    A    108.214.63.107
acmfdvqs.whu.com.        IN    A    114.254.124.186
baowjcgs.whu.com.        IN    A    101.24.164.63
sacxhliy.whu.com.        IN    A    24.223.213.245
ymcupxhk.whu.com.        IN    A    64.85.246.164
ktdnaslf.whu.com.        IN    A    54.120.56.36
xwjflita.whu.com.        IN    A    226.115.223.213
yharkndq.whu.com.        IN    A    54.176.236.12
rnjaxbdh.whu.com.        IN    A    5.34.201.103
yegtmfql.whu.com.        IN    A    250.81.157.235
naxbhojy.whu.com.        IN    A    106.47.135.92
apxyqbkw.whu.com.        IN    A    86.167.91.89
gbpfqntx.whu.com.        IN    A    61.187.13.149
abscqenj.whu.com.        IN    A    25.110.113.153
gfnijxqo.whu.com.        IN    A    18.0.204.23
piwlcfvj.whu.com.        IN    A    32.89.48.42
xmhistbu.whu.com.        IN    A    4.170.122.28
hfxptlry.whu.com.        IN    A    250.40.39.90
ljewnmoh.whu.com.        IN    A    21.123.243.221
ylorqxhk.whu.com.        IN    A    247.65.141.11
jfguynhk.whu.com.        IN    A    114.210.1.109
hqdsrctg.whu.com.        IN    A    234.189.124.45
xdebayij.whu.com.        IN    A    62.31.242.125
rvkdwuif.whu.com.        IN    A    74.110.122.233
snwgdqrl.whu.com.        IN    A    238.67.146.7
maygvxiu.whu.com.        IN    A    213.105.88.130
sgjmtdyi.whu.com.        IN    A    240.213.149.235
mqygkdvi.whu.com.        IN    A    143.2.138.223
isecphqk.whu.com.        IN    A    125.77.25.139
eqohkjvm.whu.com.        IN    A    241.46.217.140
ewsghrvc.whu.com.        IN    A    130.120.144.179
alijxtfc.whu.com.        IN    A    139.95.109.75
akdsgbjy.whu.com.        IN    A    209.134.253.39
blmhngvd.whu.com.        IN    A    202.134.101.214
eamdbqyj.whu.com.        IN    A    207.183.191.210
hniveyjx.whu.com.        IN    A    146.96.86.100
odnxqfvt.whu.com.        IN    A    248.29.214.180
ywtaomnj.whu.com.        IN    A    212.141.80.189
dgxterfo.whu.com.        IN    A    129.215.78.3
yhfmprid.whu.com.        IN    A    137.169.110.131
eondgysm.whu.com.        IN    A    110.189.126.41
ijrocemn.whu.com.        IN    A    89.186.119.253
ldgrkocn.whu.com.        IN    A    192.140.80.155
ukfinsae.whu.com.        IN    A    148.35.159.254
ohpijcay.whu.com.        IN    A    162.143.12.246
erbldtip.whu.com.        IN    A    167.216.205.111
yxcjokli.whu.com.        IN    A    155.145.221.220
twfjqied.whu.com.        IN    A    113.47.141.188
ihstqrpo.whu.com.        IN    A    111.126.137.191
cvpytwfn.whu.com.        IN    A    44.226.9.181
xcsldgtv.whu.com.        IN    A    187.38.29.103
lwrjfkba.whu.com.        IN    A    132.244.212.169
xwgjmlps.whu.com.        IN    A    226.196.116.235
sjtpuxnv.whu.com.        IN    A    16.137.144.196
rpdcbwgu.whu.com.        IN    A    241.105.18.97
cipwhtmn.whu.com.        IN    A    101.145.222.1
yhsmljcp.whu.com.        IN    A    143.216.209.166
ahfrkvub.whu.com.        IN    A    109.157.81.86
rfvbgixp.whu.com.        IN    A    78.234.8.17
yqtgiuvh.whu.com.        IN    A    40.144.145.221
gyfrseaq.whu.com.        IN    A    112.131.240.78
gponebav.whu.com.        IN    A    169.82.117.222
bnylxdrj.whu.com.        IN    A    169.223.154.41
kndrmflb.whu.com.        IN    A    249.103.154.25
bilnomcq.whu.com.        IN    A    246.194.169.148
ohfruywl.whu.com.        IN    A    98.73.159.65
frypiqgu.whu.com.        IN    A    65.150.189.113
fowvesbr.whu.com.        IN    A    237.186.112.0
jodvhwng.whu.com.        IN    A    253.98.25.159
egkqfyal.whu.com.        IN    A    131.200.9.203
bfcswpjo.whu.com.        IN    A    187.101.117.14
bqicmwek.whu.com.        IN    A    42.25.189.11
clrquaoj.whu.com.        IN    A    148.237.93.11
wceiqfyo.whu.com.        IN    A    106.52.212.186
pkqcaynr.whu.com.        IN    A    69.220.8.19
xukvomat.whu.com.        IN    A    240.249.148.90
gwcqsfux.whu.com.        IN    A    213.110.69.54
pqnlroay.whu.com.        IN    A    49.43.68.232
iuxvdklp.whu.com.        IN    A    243.56.6.168
dvlwieuj.whu.com.        IN    A    243.100.189.50
pxrqgebu.whu.com.        IN    A    8.218.175.113
tfnkavjy.whu.com.        IN    A    89.184.148.147
fdegyxos.whu.com.        IN    A    188.90.210.97
soqmialt.whu.com.        IN    A    101.119.9.145
ahcfneig.whu.com.        IN    A    41.235.121.217
pjqwkacx.whu.com.        IN    A    172.220.18.230
movsjlbw.whu.com.        IN    A    242.115.245.24
qcfusgnj.whu.com.        IN    A    68.115.137.110
domahfuk.whu.com.        IN    A    153.22.235.172
djghuvbp.whu.com.        IN    A    42.12.28.169
cxjepwis.whu.com.        IN    A    32.10.31.147
abhrfucv.whu.com.        IN    A    159.111.87.150
vcfhxqlu.whu.com.        IN    A    20.10.96.70
dkfosqnv.whu.com.        IN    A    243.209.142.105
fvngopqm.whu.com.        IN    A    77.238.140.250
eohynsbi.whu.com.        IN    A    46.85.111.152
eoktpwxc.whu.com.        IN    A    169.93.175.67
dtpxinjb.whu.com.        IN    A    159.210.87.5
jvbdoxys.whu.com.        IN    A    168.83.140.30
ghbeimxk.whu.com.        IN    A    250.88.197.191
rcnvtjfq.whu.com.        IN    A    123.8.200.213
tsdlvuiq.whu.com.        IN    A    97.203.202.128
txvlrecp.whu.com.        IN    A    191.106.103.138
cditoeug.whu.com.        IN    A    64.54.236.108
uyoerhxv.whu.com.        IN    A    120.82.164.238
uhdlegtx.whu.com.        IN    A    98.104.194.52
dqghcesj.whu.com.        IN    A    120.127.241.151
djksrgtq.whu.com.        IN    A    250.134.6.202
milkdfua.whu.com.        IN    A    17.253.34.128
aceumrkn.whu.com.        IN    A    107.194.204.236
otcsbrmh.whu.com.        IN    A    188.183.111.112
mypqwaeo.whu.com.        IN    A    167.189.184.212
akhjetwn.whu.com.        IN    A    102.5.212.88
fnrhpcml.whu.com.        IN    A    99.179.135.55
eyjxgpdk.whu.com.        IN    A    149.131.166.253
siacpxmo.whu.com.        IN    A    71.253.127.144
rnlhxjgq.whu.com.        IN    A    28.221.239.205
foysekmv.whu.com.        IN    A    215.124.108.10
pawuhfeg.whu.com.        IN    A    198.20.152.207
hlwftbnj.whu.com.        IN    A    167.175.92.247
fbmixsdv.whu.com.        IN    A    194.165.72.16
hfgtlprj.whu.com.        IN    A    70.237.67.76
iogwkuea.whu.com.        IN    A    141.50.59.221
ywlajsvm.whu.com.        IN    A    241.211.93.93
pdsurfvy.whu.com.        IN    A    118.102.245.206
riyukvwt.whu.com.        IN    A    137.114.28.71
ugitmdof.whu.com.        IN    A    228.14.71.83
agjvoerk.whu.com.        IN    A    222.200.20.181
oyjxfmng.whu.com.        IN    A    225.110.20.221
pbgcftik.whu.com.        IN    A    126.180.213.126
kawemufy.whu.com.        IN    A    136.177.122.170
iwksmopa.whu.com.        IN    A    49.240.79.76
lvgfbhku.whu.com.        IN    A    43.219.211.0
wmligeyn.whu.com.        IN    A    193.60.188.158
hiemvpkq.whu.com.        IN    A    165.27.53.253
kmxejwrs.whu.com.        IN    A    37.34.253.24
uitfkycg.whu.com.        IN    A    228.204.72.199
xroyltwh.whu.com.        IN    A    36.106.229.236
njsplaoc.whu.com.        IN    A    210.169.12.132
vmtbnuar.whu.com.        IN    A    87.237.175.51
dplhmirk.whu.com.        IN    A    134.109.83.116
ardkwjeg.whu.com.        IN    A    41.247.25.252
qucbiskw.whu.com.        IN    A    36.70.103.156
iutnpobm.whu.com.        IN    A    133.69.211.64
nhpayxtj.whu.com.        IN    A    91.117.158.181
pxyqvkuf.whu.com.        IN    A    96.87.52.132
xplfkhbq.whu.com.        IN    A    89.24.136.227
dvymfihs.whu.com.        IN    A    189.154.184.77
ipcbdhsa.whu.com.        IN    A    179.84.230.207
wmkcbrhj.whu.com.        IN    A    233.26.45.228
pvbofdch.whu.com.        IN    A    162.150.149.27
bhjstcng.whu.com.        IN    A    211.170.135.250
qtamhvbp.whu.com.        IN    A    241.219.131.59
mwjyfdnv.whu.com.        IN    A    40.89.84.198
mgudwbje.whu.com.        IN    A    80.194.213.213
wyglmehf.whu.com.        IN    A    175.23.208.79
wekqnvgu.whu.com.        IN    A    226.182.92.159
whogslan.whu.com.        IN    A    154.208.227.166
cxpokste.whu.com.        IN    A    91.161.109.110
cxwykdao.whu.com.        IN    A    35.252.128.130
olvtdhae.whu.com.        IN    A    12.70.157.88
tapcjykx.whu.com.        IN    A    124.176.38.142
ouilbsdt.whu.com.        IN    A    50.39.203.168
fivyjekh.whu.com.        IN    A    247.35.10.126
uoqkfpsa.whu.com.        IN    A    182.77.18.141
rldntyve.whu.com.        IN    A    153.109.100.63
yardcnjw.whu.com.        IN    A    100.31.29.74
yqreaphb.whu.com.        IN    A    189.150.130.162
fpmoqlxh.whu.com.        IN    A    18.132.103.112
lrijcdqx.whu.com.        IN    A    39.21.153.230
qgmlntcf.whu.com.        IN    A    116.107.169.92
eyirvlwo.whu.com.        IN    A    214.2.182.118
wqfoaubv.whu.com.        IN    A    39.16.88.74
lcswyagu.whu.com.        IN    A    188.243.193.104
hcrbqwal.whu.com.        IN    A    28.201.180.132
ufmglacb.whu.com.        IN    A    114.111.225.208
jcqtneid.whu.com.        IN    A    20.94.17.106
gmotlxsj.whu.com.        IN    A    47.102.29.227
wvydnqgi.whu.com.        IN    A    237.200.12.47
ocdluvqr.whu.com.        IN    A    46.204.91.248
foxcviku.whu.com.        IN    A    36.109.99.113
cjiytqda.whu.com.        IN    A    127.74.204.201
bqpswvnr.whu.com.        IN    A    240.29.206.139
vkbhwsue.whu.com.        IN    A    13.55.215.86
pdlsykeh.whu.com.        IN    A    153.190.87.130
dxrapwkf.whu.com.        IN    A    220.64.147.193
lkasyehv.whu.com.        IN    A    45.171.101.192
hylrvsgd.whu.com.        IN    A    41.1.245.135
vbmfyahn.whu.com.        IN    A    199.238.49.12
wigcxylo.whu.com.        IN    A    62.11.176.251
htxiaukm.whu.com.        IN    A    50.247.135.139
pbcjfhwl.whu.com.        IN    A    9.97.52.13
obxntpfq.whu.com.        IN    A    54.50.99.148
vumitnxo.whu.com.        IN    A    252.114.216.233
uiqvohaj.whu.com.        IN    A    201.10.134.134
vmgucoit.whu.com.        IN    A    45.196.27.83
femjghsi.whu.com.        IN    A    116.47.63.52
tnmjvoqi.whu.com.        IN    A    241.146.189.118
itmqparb.whu.com.        IN    A    230.209.3.209
yapocwbq.whu.com.        IN    A    105.78.84.177
dlapbhtg.whu.com.        IN    A    21.88.164.146
poevfnsh.whu.com.        IN    A    204.246.122.80
qjxlwokv.whu.com.        IN    A    109.189.154.66
tvqyuhlr.whu.com.        IN    A    80.130.82.136
elmnkvgd.whu.com.        IN    A    173.172.15.123
rwsdtnhy.whu.com.        IN    A    99.165.20.148
rqlsoyhj.whu.com.        IN    A    134.136.242.138
qjheykpc.whu.com.        IN    A    78.40.220.180
odlabjec.whu.com.        IN    A    102.252.243.188
ukawtvhf.whu.com.        IN    A    26.210.154.51
xfvnjlks.whu.com.        IN    A    120.65.59.130
vpxahbkd.whu.com.        IN    A    152.111.30.180
wbpjmxct.whu.com.        IN    A    199.100.3.177
tsglhwiv.whu.com.        IN    A    130.108.171.154
cifutvag.whu.com.        IN    A    152.35.44.76
damnrkqb.whu.com.        IN    A    95.76.203.78
ksdubvfq.whu.com.        IN    A    245.148.74.103
wmjlcfhn.whu.com.        IN    A    173.54.52.194
inbwmcsv.whu.com.        IN    A    233.139.40.45
nprwsqab.whu.com.        IN    A    188.0.16.173
cqyivumh.whu.com.        IN    A    200.246.159.145
awfohvec.whu.com.        IN    A    41.83.181.199
aosujvtb.whu.com.        IN    A    193.251.174.33
riowjhql.whu.com.        IN    A    49.175.247.95
udibkohs.whu.com.        IN    A    121.30.14.130
kvabecxf.whu.com.        IN    A    205.223.157.221
fqimgnbr.whu.com.        IN    A    52.247.216.229
dnjvrwyc.whu.com.        IN    A    248.123.26.156
cgdvtasf.whu.com.        IN    A    168.21.2.60
rvadxmip.whu.com.        IN    A    119.64.25.9
ykemwjnp.whu.com.        IN    A    129.82.163.105
srcovgtl.whu.com.        IN    A    128.120.39.198
fmthpojw.whu.com.        IN    A    87.174.214.65
vapbdyom.whu.com.        IN    A    220.115.150.97
lyprmghn.whu.com.        IN    A    78.204.90.218
ptnwluor.whu.com.        IN    A    8.20.189.139
xqpoiylj.whu.com.        IN    A    53.171.151.88
orkevbdn.whu.com.        IN    A    246.19.152.184
xjanqwct.whu.com.        IN    A    210.86.128.158
gewjdmaf.whu.com.        IN    A    251.229.120.209
pmtquvrg.whu.com.        IN    A    204.114.83.207
ybgercdk.whu.com.        IN    A    108.173.43.92
hniosflx.whu.com.        IN    A    181.8.93.65
yuolfwae.whu.com.        IN    A    162.240.8.224
chiabmwf.whu.com.        IN    A    59.43.107.177
fantrbuc.whu.com.        IN    A    45.208.222.199
vsnkahdg.whu.com.        IN    A    19.32.64.166
kidwslru.whu.com.        IN    A    190.221.190.125
dvrtnauy.whu.com.        IN    A    149.196.31.168
poicuxrm.whu.com.        IN    A    253.202.251.147
jtnhgaoi.whu.com.        IN    A    25.144.120.154
blcjnqod.whu.com.        IN    A    155.205.8.111
sdpcomrn.whu.com.        IN    A    187.62.1.10
awxgdiyr.whu.com.        IN    A    160.217.96.25
rnfwvetj.whu.com.        IN    A    21.72.227.142
lpubkcyr.whu.com.        IN    A    192.172.182.79
lcaethxw.whu.com.        IN    A    10.229.186.196
jkrxwfhg.whu.com.        IN    A    156.169.186.176
fwysujvm.whu.com.        IN    A    138.175.6.223
uvoaexgi.whu.com.        IN    A    161.155.206.195
