; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR nju.com. @ns2.nju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
nju.com.			      14400 IN NS	ns1.nju.com.
ns1.nju.com.			      14400 IN A	10.166.21.14

www.nju.com.		      14400 IN NS	ns1.www.nju.com.
ns1.www.nju.com.		      14400 IN A		10.166.21.15

software.nju.com.		      14400 IN NS	ns1.software.nju.com.
ns1.software.nju.com.		      14400 IN A		10.166.21.12

law.nju.com.		      14400 IN NS	ns1.law.nju.com.
ns1.law.nju.com.		      14400 IN A		10.166.21.13

nju.com.			      14400 IN MX	10 lawtp.nju.edu.
nju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
jbeocguw.nju.com.        IN    A    155.142.94.103
ratndhws.nju.com.        IN    A    121.178.153.132
mfqrojck.nju.com.        IN    A    22.219.90.22
wcaihbyf.nju.com.        IN    A    244.15.34.207
yvdmefsu.nju.com.        IN    A    73.212.148.128
tvqnoram.nju.com.        IN    A    202.244.174.232
fujbhlir.nju.com.        IN    A    125.170.194.125
lcqubgas.nju.com.        IN    A    33.188.253.72
gkcoinxs.nju.com.        IN    A    117.144.73.13
mwjaosnx.nju.com.        IN    A    127.253.62.213
axoiqmkw.nju.com.        IN    A    76.139.133.80
xbsdavhm.nju.com.        IN    A    162.166.226.254
voxfhrwt.nju.com.        IN    A    174.72.115.110
hjdtolek.nju.com.        IN    A    131.12.199.91
sjtuqdml.nju.com.        IN    A    96.69.213.130
hgbtlwfx.nju.com.        IN    A    149.39.7.17
nheilfvy.nju.com.        IN    A    8.104.118.164
nhqfpyto.nju.com.        IN    A    229.225.252.7
ostblewq.nju.com.        IN    A    83.48.232.21
tfqymawe.nju.com.        IN    A    135.163.106.147
hpjtbraw.nju.com.        IN    A    126.51.202.173
pojrceqi.nju.com.        IN    A    149.122.180.224
telvuixn.nju.com.        IN    A    44.39.252.148
uvrinpel.nju.com.        IN    A    131.66.201.27
cjtdmsyb.nju.com.        IN    A    86.54.131.9
rspkgmuy.nju.com.        IN    A    78.33.206.205
nvecmrqf.nju.com.        IN    A    92.46.115.207
jnbkgotd.nju.com.        IN    A    208.146.254.7
grydmkvt.nju.com.        IN    A    83.15.179.27
jwkhynpu.nju.com.        IN    A    47.227.82.213
secdpgto.nju.com.        IN    A    28.123.230.85
jgwdbkah.nju.com.        IN    A    163.137.10.2
wsytkoqm.nju.com.        IN    A    33.150.128.163
cmxosliw.nju.com.        IN    A    196.46.54.230
pfisaobn.nju.com.        IN    A    232.74.73.161
obfgvmhs.nju.com.        IN    A    0.16.52.129
drycqiap.nju.com.        IN    A    12.7.56.110
areclmfy.nju.com.        IN    A    160.185.209.78
pagtknlu.nju.com.        IN    A    120.194.91.5
vxkogdmu.nju.com.        IN    A    108.186.249.96
ormqdchl.nju.com.        IN    A    144.85.100.99
tlqfpuog.nju.com.        IN    A    238.20.122.210
qajcupvd.nju.com.        IN    A    206.156.86.1
iaqbfyvg.nju.com.        IN    A    247.148.243.200
rndicuvl.nju.com.        IN    A    241.62.136.247
vydmhcqa.nju.com.        IN    A    190.219.244.41
lqrfjyib.nju.com.        IN    A    27.99.80.122
iplmdrwb.nju.com.        IN    A    240.124.18.82
vmiyxeql.nju.com.        IN    A    224.197.91.64
wpkgyslo.nju.com.        IN    A    96.126.32.175
jblwmqcp.nju.com.        IN    A    78.127.161.249
vtoegbfl.nju.com.        IN    A    72.191.176.103
fnqpjlvu.nju.com.        IN    A    30.17.199.31
jhbiscnp.nju.com.        IN    A    169.124.172.250
ybscajkx.nju.com.        IN    A    32.145.50.246
htniasrm.nju.com.        IN    A    42.189.127.81
wfovxjbl.nju.com.        IN    A    155.11.184.160
rklgavwo.nju.com.        IN    A    145.88.179.113
cqvoubps.nju.com.        IN    A    168.42.165.75
qrfplkxo.nju.com.        IN    A    52.39.100.176
kqatpvsh.nju.com.        IN    A    14.226.143.84
ipmwktyq.nju.com.        IN    A    110.138.24.249
wvxjktur.nju.com.        IN    A    163.157.152.96
scabdgoi.nju.com.        IN    A    24.139.209.191
lgarpcmw.nju.com.        IN    A    182.229.41.152
ebktpqud.nju.com.        IN    A    153.19.156.194
qxongdvt.nju.com.        IN    A    222.103.172.242
eryslimn.nju.com.        IN    A    226.16.132.183
pkiadofh.nju.com.        IN    A    126.188.65.125
kehucjpt.nju.com.        IN    A    179.73.232.96
sejxbpwt.nju.com.        IN    A    245.94.175.102
pcbqtfgk.nju.com.        IN    A    51.229.92.84
cuvgtdbm.nju.com.        IN    A    247.63.89.243
hlapnkji.nju.com.        IN    A    79.196.255.123
oypwujtk.nju.com.        IN    A    225.186.71.11
lwxhbmvu.nju.com.        IN    A    231.148.76.224
uwjkxchp.nju.com.        IN    A    210.63.64.143
ctxelhnq.nju.com.        IN    A    125.64.218.48
schojqer.nju.com.        IN    A    184.175.247.178
eogrpdnw.nju.com.        IN    A    204.58.161.120
hxfcqvoy.nju.com.        IN    A    191.121.230.152
qcfpthyo.nju.com.        IN    A    45.152.35.13
swdcqlkj.nju.com.        IN    A    49.221.116.224
cbtnudko.nju.com.        IN    A    152.181.202.118
vwbamjhf.nju.com.        IN    A    58.72.215.89
eytjkdln.nju.com.        IN    A    131.119.203.139
kgutjhio.nju.com.        IN    A    93.25.8.163
xcgsfjai.nju.com.        IN    A    238.47.69.112
tnomadcw.nju.com.        IN    A    210.20.141.1
rwhydmtb.nju.com.        IN    A    181.174.44.82
xtrumwkn.nju.com.        IN    A    67.165.245.36
nukdltvf.nju.com.        IN    A    9.18.211.98
vwyhgsqm.nju.com.        IN    A    15.128.178.119
umlncerx.nju.com.        IN    A    36.115.55.61
isnjuqlp.nju.com.        IN    A    56.8.155.51
egxcakdb.nju.com.        IN    A    116.86.116.101
ifyjdper.nju.com.        IN    A    189.184.163.72
ngteickd.nju.com.        IN    A    131.204.64.136
smqytiap.nju.com.        IN    A    175.195.166.132
mjsrwdva.nju.com.        IN    A    139.162.140.166
maqwnyfk.nju.com.        IN    A    235.216.30.194
txqaljpu.nju.com.        IN    A    71.118.76.69
dsyupiwc.nju.com.        IN    A    0.125.113.13
flmgnqdb.nju.com.        IN    A    56.190.65.246
ciygqred.nju.com.        IN    A    192.250.99.151
ylbcpoti.nju.com.        IN    A    29.71.101.5
jivrapyq.nju.com.        IN    A    90.81.14.114
fgulrmyd.nju.com.        IN    A    172.181.224.37
nphbsygt.nju.com.        IN    A    29.200.175.14
tlpmfvuy.nju.com.        IN    A    209.89.230.232
mqlxbwft.nju.com.        IN    A    229.174.126.101
wohiyakr.nju.com.        IN    A    154.135.79.43
bqcdmyrs.nju.com.        IN    A    155.200.16.54
knljordw.nju.com.        IN    A    77.190.227.77
gqblfmos.nju.com.        IN    A    113.217.3.236
ovfxswbj.nju.com.        IN    A    20.4.122.170
fcatdmyx.nju.com.        IN    A    9.93.76.150
oclxkayv.nju.com.        IN    A    223.131.0.112
jhoswdnx.nju.com.        IN    A    160.44.173.254
lsbpjmkf.nju.com.        IN    A    43.124.54.114
ovlgedjh.nju.com.        IN    A    255.42.68.56
pswxceay.nju.com.        IN    A    211.227.62.68
ojadbmkp.nju.com.        IN    A    128.85.75.92
piydqmha.nju.com.        IN    A    142.110.162.220
iqgtoaec.nju.com.        IN    A    254.71.207.224
ftyxleso.nju.com.        IN    A    136.167.155.144
pjfvxdlg.nju.com.        IN    A    127.2.110.174
pnkewvbj.nju.com.        IN    A    201.216.47.173
siyhweuf.nju.com.        IN    A    16.103.86.148
bwhytgvd.nju.com.        IN    A    61.226.241.206
ehjctbvf.nju.com.        IN    A    171.182.185.121
ifroqbdn.nju.com.        IN    A    254.251.15.197
jksgbrlp.nju.com.        IN    A    176.53.78.115
cdnuhsay.nju.com.        IN    A    117.35.79.150
twfmaksl.nju.com.        IN    A    102.201.254.139
dgnasfyk.nju.com.        IN    A    229.217.7.29
whgjitqk.nju.com.        IN    A    3.174.67.189
qblxwtfu.nju.com.        IN    A    1.82.99.114
owdenits.nju.com.        IN    A    19.117.151.196
clayqjvo.nju.com.        IN    A    129.187.7.228
btldyiqu.nju.com.        IN    A    161.201.139.199
lmogqnas.nju.com.        IN    A    174.200.43.219
dvahxlji.nju.com.        IN    A    162.117.25.76
ilhjcgmn.nju.com.        IN    A    22.185.64.255
fbgvpkio.nju.com.        IN    A    62.237.141.93
twqhnjva.nju.com.        IN    A    215.71.180.99
dmulisoe.nju.com.        IN    A    20.24.236.138
agfcevwd.nju.com.        IN    A    87.252.70.223
myhiukrc.nju.com.        IN    A    228.19.121.229
smlcopdv.nju.com.        IN    A    177.245.245.207
pygthoav.nju.com.        IN    A    162.61.63.38
tfkxvdir.nju.com.        IN    A    159.62.52.27
dycxvnht.nju.com.        IN    A    98.56.16.173
svpuwtox.nju.com.        IN    A    108.8.118.25
jabvniwq.nju.com.        IN    A    127.31.99.222
pcwoutby.nju.com.        IN    A    19.60.188.248
irvntejp.nju.com.        IN    A    239.55.63.118
tecqkmsv.nju.com.        IN    A    120.24.29.66
yergkmvl.nju.com.        IN    A    75.210.196.63
aumxihdt.nju.com.        IN    A    69.226.119.66
gaisxlqe.nju.com.        IN    A    98.126.195.43
pkwstymd.nju.com.        IN    A    177.223.58.128
qnbsulyr.nju.com.        IN    A    130.46.140.23
sparwgct.nju.com.        IN    A    228.54.77.208
bhraxipj.nju.com.        IN    A    205.177.244.31
ufogdrxj.nju.com.        IN    A    114.224.144.207
ioksgwmu.nju.com.        IN    A    132.75.253.40
pxuoejys.nju.com.        IN    A    44.18.165.137
jgrptshl.nju.com.        IN    A    184.119.113.87
cqkjxhoy.nju.com.        IN    A    62.78.215.188
ndrfxgay.nju.com.        IN    A    135.212.117.191
yrgtxcej.nju.com.        IN    A    150.36.63.21
gqnvehkx.nju.com.        IN    A    48.128.109.228
fyujhqrk.nju.com.        IN    A    11.166.153.42
yhqcifed.nju.com.        IN    A    143.2.21.87
aifywrdu.nju.com.        IN    A    183.154.127.222
tbpqwvha.nju.com.        IN    A    193.204.217.157
eopkluyn.nju.com.        IN    A    53.216.175.70
wpyojnue.nju.com.        IN    A    109.193.8.220
plykjixn.nju.com.        IN    A    146.82.206.231
smynwubt.nju.com.        IN    A    72.231.123.219
gdursvha.nju.com.        IN    A    148.152.59.135
xlvonrca.nju.com.        IN    A    34.127.181.218
ubpjktqi.nju.com.        IN    A    228.132.12.247
osulqpti.nju.com.        IN    A    1.245.237.243
ghciorue.nju.com.        IN    A    110.156.138.219
raiojtye.nju.com.        IN    A    118.238.23.23
bsftpare.nju.com.        IN    A    176.229.122.21
bqyvuwtd.nju.com.        IN    A    173.28.191.32
tvubinyw.nju.com.        IN    A    217.128.112.66
xdnsbhlu.nju.com.        IN    A    176.13.222.236
utnelidm.nju.com.        IN    A    161.167.63.213
ohgqjibk.nju.com.        IN    A    57.121.19.85
nwfcthil.nju.com.        IN    A    56.90.89.103
frlqmotg.nju.com.        IN    A    39.149.202.234
amgeopxs.nju.com.        IN    A    194.119.54.103
ebtxyqsl.nju.com.        IN    A    183.227.202.138
xswotyrd.nju.com.        IN    A    53.123.193.124
jqanldtb.nju.com.        IN    A    171.0.250.84
swvbmluq.nju.com.        IN    A    22.182.1.49
ilaufpqg.nju.com.        IN    A    176.126.242.188
ingxcrbe.nju.com.        IN    A    208.141.98.21
dsaungbp.nju.com.        IN    A    32.213.17.162
hwjipvrc.nju.com.        IN    A    9.212.105.189
ewycjsqm.nju.com.        IN    A    124.229.111.227
cpynhwjr.nju.com.        IN    A    134.139.229.141
wmlgcrbd.nju.com.        IN    A    176.31.217.222
dxatfvwi.nju.com.        IN    A    120.32.19.115
xtosycvh.nju.com.        IN    A    26.172.232.69
giurjwdn.nju.com.        IN    A    79.89.161.33
tmlynhki.nju.com.        IN    A    111.252.229.203
alefbygs.nju.com.        IN    A    85.172.130.80
ntubeyqx.nju.com.        IN    A    19.203.210.159
ioxgjctb.nju.com.        IN    A    88.74.192.136
xofaryis.nju.com.        IN    A    241.38.103.66
xjqwthag.nju.com.        IN    A    200.91.18.192
bmhwgfkc.nju.com.        IN    A    157.75.177.71
ecypwjai.nju.com.        IN    A    180.255.176.150
phiktuxc.nju.com.        IN    A    52.104.223.61
bhpenctf.nju.com.        IN    A    212.32.33.17
spnftodj.nju.com.        IN    A    15.200.182.222
nsflciuy.nju.com.        IN    A    56.253.142.128
tqvxarko.nju.com.        IN    A    230.194.220.129
snqjpkgi.nju.com.        IN    A    154.9.162.177
hwlmksxd.nju.com.        IN    A    229.202.15.88
rmypqxak.nju.com.        IN    A    209.173.246.249
lmckbjex.nju.com.        IN    A    159.150.41.39
noibmekj.nju.com.        IN    A    194.188.150.48
kvicwlms.nju.com.        IN    A    182.203.174.67
gcnjyopu.nju.com.        IN    A    65.245.225.193
huvjxmeq.nju.com.        IN    A    95.147.12.128
himcvros.nju.com.        IN    A    198.32.207.11
rcuxjfys.nju.com.        IN    A    10.130.68.175
qmwbakjn.nju.com.        IN    A    84.24.37.0
mpknwbjc.nju.com.        IN    A    185.197.52.254
njacoefi.nju.com.        IN    A    181.244.110.6
buhrjdgp.nju.com.        IN    A    85.65.83.151
bhdvsnku.nju.com.        IN    A    102.97.38.0
tnmahulq.nju.com.        IN    A    84.146.33.226
asdrpwql.nju.com.        IN    A    53.169.40.231
yfscpdma.nju.com.        IN    A    152.133.102.241
rxelmwac.nju.com.        IN    A    178.37.249.31
rtwjeisg.nju.com.        IN    A    24.39.20.174
ojvlafhs.nju.com.        IN    A    217.239.224.183
mifadchy.nju.com.        IN    A    215.37.14.182
vtysmihn.nju.com.        IN    A    2.119.138.204
cewnlxfu.nju.com.        IN    A    247.169.73.245
uowtjpnh.nju.com.        IN    A    58.117.233.14
eqbtriud.nju.com.        IN    A    100.77.56.10
xwrbkuej.nju.com.        IN    A    236.133.67.164
wjirvyeb.nju.com.        IN    A    31.67.196.200
ldixjcfy.nju.com.        IN    A    140.47.185.32
xehjltuq.nju.com.        IN    A    86.182.167.144
wvxeposg.nju.com.        IN    A    136.213.53.181
cyvulbhr.nju.com.        IN    A    243.106.174.204
kcsnexvt.nju.com.        IN    A    27.69.60.213
wikyeaud.nju.com.        IN    A    219.78.36.39
oguildap.nju.com.        IN    A    207.149.162.93
pqkleojs.nju.com.        IN    A    20.241.135.88
caqexfyu.nju.com.        IN    A    118.6.89.196
vmpdiasx.nju.com.        IN    A    111.80.3.111
awbinojl.nju.com.        IN    A    15.74.75.99
lncvfhsk.nju.com.        IN    A    218.46.173.25
prvdgfku.nju.com.        IN    A    54.98.157.237
jxhqpfvd.nju.com.        IN    A    165.106.95.210
jfwcmvkr.nju.com.        IN    A    185.20.229.159
yodfaxvg.nju.com.        IN    A    181.199.17.56
nhtpbork.nju.com.        IN    A    9.125.63.20
hxstrcye.nju.com.        IN    A    229.36.198.113
lcpwqher.nju.com.        IN    A    70.216.169.141
twmexogu.nju.com.        IN    A    118.161.4.7
fkscyton.nju.com.        IN    A    105.94.172.48
iautjnfm.nju.com.        IN    A    143.195.234.60
eyaxrujn.nju.com.        IN    A    13.16.12.95
asmuwpcd.nju.com.        IN    A    211.67.65.11
qyfujbil.nju.com.        IN    A    45.184.169.223
ieqculgh.nju.com.        IN    A    4.188.116.4
mylenbwv.nju.com.        IN    A    39.37.58.70
yqxnbpvh.nju.com.        IN    A    122.250.17.55
iyvceqjf.nju.com.        IN    A    173.51.239.189
hwmtfpyn.nju.com.        IN    A    41.51.88.65
vfudjarn.nju.com.        IN    A    227.115.123.206
ichgfqkj.nju.com.        IN    A    241.57.11.87
siqwhoml.nju.com.        IN    A    30.201.161.8
bjlvmwpy.nju.com.        IN    A    223.165.162.43
qvmeucfl.nju.com.        IN    A    214.62.211.154
thpembwq.nju.com.        IN    A    211.78.111.115
nhuekcmf.nju.com.        IN    A    49.174.42.243
mnxadfve.nju.com.        IN    A    91.166.84.95
npekxdtw.nju.com.        IN    A    14.188.29.70
pbutchfk.nju.com.        IN    A    76.98.86.230
sxdqeyrn.nju.com.        IN    A    209.38.135.82
kdvqjyet.nju.com.        IN    A    163.138.80.144
bmatuqyw.nju.com.        IN    A    79.127.252.168
slihdoen.nju.com.        IN    A    79.188.182.164
pdlonqyk.nju.com.        IN    A    203.237.133.107
vtdnyxgb.nju.com.        IN    A    205.6.72.7
baghwdnq.nju.com.        IN    A    206.35.84.78
jyapqkxh.nju.com.        IN    A    250.68.20.14
rwgfhdve.nju.com.        IN    A    186.94.56.180
euyqpkwd.nju.com.        IN    A    15.82.81.45
ovwrntds.nju.com.        IN    A    185.77.19.100
qtodseyr.nju.com.        IN    A    64.5.119.9
jquaedyx.nju.com.        IN    A    249.175.135.217
psebalcf.nju.com.        IN    A    52.246.149.135
hlopsiwj.nju.com.        IN    A    245.198.96.106
ndlokaeu.nju.com.        IN    A    63.192.192.100
cxiwqdjk.nju.com.        IN    A    150.124.59.185
mwcjrqbf.nju.com.        IN    A    86.79.242.193
oguqcdfh.nju.com.        IN    A    41.117.126.39
gnipmerj.nju.com.        IN    A    180.63.193.252
jvdtqclo.nju.com.        IN    A    16.220.204.6
luesxoac.nju.com.        IN    A    249.148.35.7
ylquxnwg.nju.com.        IN    A    194.208.84.45
ilwpsvyh.nju.com.        IN    A    196.193.63.41
nucbdgix.nju.com.        IN    A    231.241.127.23
ybcrnqlx.nju.com.        IN    A    201.210.211.19
pwutxqec.nju.com.        IN    A    5.52.229.55
hjnwecld.nju.com.        IN    A    19.174.147.152
luwtykix.nju.com.        IN    A    23.125.131.135
ngfktjsa.nju.com.        IN    A    215.107.12.168
uqhdxbok.nju.com.        IN    A    28.150.186.118
eijcuoyh.nju.com.        IN    A    255.89.111.212
ynroevxh.nju.com.        IN    A    77.202.26.27
mjhkuynp.nju.com.        IN    A    113.196.85.84
nwsexlqb.nju.com.        IN    A    231.195.22.239
swhmreoq.nju.com.        IN    A    179.32.97.51
tlhvgdue.nju.com.        IN    A    109.10.170.25
yskwognp.nju.com.        IN    A    202.65.71.177
hfbljcwe.nju.com.        IN    A    151.13.251.176
gcjukelt.nju.com.        IN    A    136.43.148.66
gaowltjf.nju.com.        IN    A    49.180.154.160
xfdkyegr.nju.com.        IN    A    40.190.207.209
ysjoucdl.nju.com.        IN    A    93.253.91.129
cmfieatr.nju.com.        IN    A    90.33.90.207
ynjslrgf.nju.com.        IN    A    15.84.43.167
gevnlfcb.nju.com.        IN    A    96.206.37.96
pyfqdhtr.nju.com.        IN    A    170.132.230.159
ocjdgtme.nju.com.        IN    A    223.171.186.24
ixbosucr.nju.com.        IN    A    235.119.209.63
dnhtgaeu.nju.com.        IN    A    9.75.109.94
nbdiwsqp.nju.com.        IN    A    14.33.161.223
akcdwjyf.nju.com.        IN    A    123.44.52.158
pnkrmhfi.nju.com.        IN    A    215.168.57.140
kirbufjl.nju.com.        IN    A    238.83.57.116
xjyhqgwk.nju.com.        IN    A    239.160.81.231
pvxsfhcy.nju.com.        IN    A    119.24.203.50
lhqsejtn.nju.com.        IN    A    109.191.147.212
wkpfvhrl.nju.com.        IN    A    166.32.171.15
xrfkamdc.nju.com.        IN    A    5.127.221.8
dsvwhexa.nju.com.        IN    A    30.234.229.205
fmpvabtn.nju.com.        IN    A    222.69.28.119
tqkusrag.nju.com.        IN    A    228.163.226.152
rmajgpxc.nju.com.        IN    A    168.202.90.78
xlnjbsty.nju.com.        IN    A    16.209.209.26
dvpinrwh.nju.com.        IN    A    196.171.18.108
eoycmhrw.nju.com.        IN    A    232.142.140.13
nxjfyebs.nju.com.        IN    A    226.74.31.216
lioyvamf.nju.com.        IN    A    220.120.56.185
forkjihp.nju.com.        IN    A    176.162.151.82
csmlhvbw.nju.com.        IN    A    211.72.174.52
oyambfhr.nju.com.        IN    A    71.218.85.193
xeqsaylu.nju.com.        IN    A    8.241.170.116
gxtqlucv.nju.com.        IN    A    116.226.156.225
hqciflns.nju.com.        IN    A    228.255.126.153
hdebtqki.nju.com.        IN    A    70.190.236.209
mlohdjyt.nju.com.        IN    A    136.62.132.138
xufcbanp.nju.com.        IN    A    232.32.141.161
ljvpfith.nju.com.        IN    A    255.27.191.32
iosluktc.nju.com.        IN    A    81.176.119.9
idckfvhq.nju.com.        IN    A    197.37.131.31
ptiubchy.nju.com.        IN    A    213.197.152.114
nudrvcsf.nju.com.        IN    A    181.144.63.167
oumrxbds.nju.com.        IN    A    63.250.95.215
oidxtuqc.nju.com.        IN    A    129.238.205.146
srwanvdu.nju.com.        IN    A    14.79.222.243
igaldevt.nju.com.        IN    A    36.237.157.235
hqfnljvd.nju.com.        IN    A    51.178.79.68
etdlmviq.nju.com.        IN    A    155.38.191.96
nmhurxay.nju.com.        IN    A    106.139.41.99
pfdktnqa.nju.com.        IN    A    187.235.200.131
mchdjbfv.nju.com.        IN    A    115.208.76.179
acuvbero.nju.com.        IN    A    78.42.221.92
bcrvumyo.nju.com.        IN    A    202.105.220.225
puahysio.nju.com.        IN    A    10.228.174.203
cvpgnqha.nju.com.        IN    A    162.156.37.173
aohrtdyw.nju.com.        IN    A    108.49.12.68
vdnhosqp.nju.com.        IN    A    229.113.201.185
lciosrjy.nju.com.        IN    A    240.98.8.1
qtfrxmug.nju.com.        IN    A    137.116.53.169
vehcqipb.nju.com.        IN    A    89.39.160.125
qjygkhdr.nju.com.        IN    A    131.202.200.130
kmfblwnd.nju.com.        IN    A    27.228.188.204
ujxadfsk.nju.com.        IN    A    233.176.106.220
gavidjux.nju.com.        IN    A    250.58.34.140
ewlbktcn.nju.com.        IN    A    66.55.15.117
iexhsyjb.nju.com.        IN    A    231.6.38.136
stgxkqlo.nju.com.        IN    A    101.63.250.92
ejpvrlst.nju.com.        IN    A    248.98.202.101
kxfhujpl.nju.com.        IN    A    193.149.10.84
nxjukqhc.nju.com.        IN    A    49.254.17.164
sbgyvuwd.nju.com.        IN    A    158.8.159.67
icnrqtlg.nju.com.        IN    A    30.171.233.64
spnarmwo.nju.com.        IN    A    183.223.67.8
jfsvboha.nju.com.        IN    A    17.67.92.187
mlciwuph.nju.com.        IN    A    240.242.252.199
kectfbij.nju.com.        IN    A    204.187.246.232
lhxntufb.nju.com.        IN    A    116.51.146.71
mtwuxsah.nju.com.        IN    A    24.222.71.98
fqeoirja.nju.com.        IN    A    185.42.133.193
impyhgol.nju.com.        IN    A    229.179.212.129
qsxfobva.nju.com.        IN    A    111.228.32.66
xfosnpgc.nju.com.        IN    A    24.248.62.114
mncsijdv.nju.com.        IN    A    247.154.228.74
dfxhybri.nju.com.        IN    A    75.248.0.132
anvtrwgb.nju.com.        IN    A    238.48.74.239
fvioxmrd.nju.com.        IN    A    170.71.61.161
wbryqoit.nju.com.        IN    A    199.64.234.218
yxchjlir.nju.com.        IN    A    235.38.213.179
qabfurwi.nju.com.        IN    A    108.201.48.49
uxrjvmil.nju.com.        IN    A    35.235.195.57
owabeclu.nju.com.        IN    A    27.163.18.142
hpntdjil.nju.com.        IN    A    87.36.197.241
mourwclf.nju.com.        IN    A    53.22.219.121
rsjelqxb.nju.com.        IN    A    179.110.82.168
tdymkral.nju.com.        IN    A    186.6.166.14
tfyugjva.nju.com.        IN    A    133.198.235.247
mahsjblc.nju.com.        IN    A    77.245.8.120
hlyikpmf.nju.com.        IN    A    212.53.75.35
yikdelxa.nju.com.        IN    A    206.156.232.228
upwrhsfd.nju.com.        IN    A    204.166.38.202
yvaxdhru.nju.com.        IN    A    223.56.167.37
pdomavuq.nju.com.        IN    A    78.122.110.26
utfwmkpr.nju.com.        IN    A    100.209.80.100
mnahosly.nju.com.        IN    A    175.92.33.209
fhbkdsat.nju.com.        IN    A    134.234.229.252
lmcfgqyk.nju.com.        IN    A    106.85.126.134
ceomlnks.nju.com.        IN    A    103.15.53.160
msrjvnih.nju.com.        IN    A    236.13.103.124
lynviamr.nju.com.        IN    A    102.185.206.53
wgnuodbk.nju.com.        IN    A    77.15.4.5
qwxiysen.nju.com.        IN    A    190.170.196.79
fnpoiwrb.nju.com.        IN    A    253.228.57.190
jdhcmunl.nju.com.        IN    A    145.99.104.12
jareimqx.nju.com.        IN    A    79.235.134.89
rwenosbm.nju.com.        IN    A    144.176.144.187
hcgutwdj.nju.com.        IN    A    211.42.45.111
hctplnde.nju.com.        IN    A    88.73.86.168
gichnvju.nju.com.        IN    A    157.213.112.22
ytmnhrkg.nju.com.        IN    A    6.100.35.91
dbmgyrki.nju.com.        IN    A    134.220.145.202
acevdxto.nju.com.        IN    A    127.152.114.231
uasedkow.nju.com.        IN    A    21.131.252.168
pbiyxdjq.nju.com.        IN    A    33.174.145.216
rymdlvqg.nju.com.        IN    A    164.82.69.239
kljvifnc.nju.com.        IN    A    115.168.111.30
mchkegnq.nju.com.        IN    A    135.2.141.209
kpjsfixt.nju.com.        IN    A    36.18.112.75
yulpnxvm.nju.com.        IN    A    225.80.9.233
ndxceyfl.nju.com.        IN    A    191.103.142.52
jmduscox.nju.com.        IN    A    124.213.41.10
gxakhbwi.nju.com.        IN    A    175.154.63.193
gsrpmtde.nju.com.        IN    A    49.155.236.245
xcmhlwse.nju.com.        IN    A    29.101.44.33
qygavprh.nju.com.        IN    A    33.181.59.179
wntqycdk.nju.com.        IN    A    160.187.100.0
ghfvowmu.nju.com.        IN    A    27.93.20.207
coekyvxi.nju.com.        IN    A    179.211.255.97
jqsihfoa.nju.com.        IN    A    231.247.174.198
scdpxjro.nju.com.        IN    A    208.34.233.95
tniacmbf.nju.com.        IN    A    238.112.207.105
kcuwbnoy.nju.com.        IN    A    184.175.94.66
dhwnolva.nju.com.        IN    A    111.158.76.126
bgyudaiw.nju.com.        IN    A    74.204.220.101
cnvrfoed.nju.com.        IN    A    10.16.45.52
ylrmhpxe.nju.com.        IN    A    26.53.172.200
lwcudirk.nju.com.        IN    A    130.77.53.251
gsybrcna.nju.com.        IN    A    212.59.78.58
fldniehc.nju.com.        IN    A    98.232.40.108
xfmwqitb.nju.com.        IN    A    90.203.173.125
cdqbexfm.nju.com.        IN    A    228.169.175.94
qigbhlde.nju.com.        IN    A    228.249.246.220
tnjcpgwu.nju.com.        IN    A    148.149.237.58
pvxwyocb.nju.com.        IN    A    214.235.87.70
yhcjmrkn.nju.com.        IN    A    87.254.145.38
craogpsx.nju.com.        IN    A    248.179.178.243
jhlcorvf.nju.com.        IN    A    100.60.168.124
rwqfubeo.nju.com.        IN    A    37.226.39.93
arbgnwcj.nju.com.        IN    A    237.112.4.247
hcawobgt.nju.com.        IN    A    164.129.203.157
igykpmbr.nju.com.        IN    A    1.162.227.96
jrucwdgo.nju.com.        IN    A    24.180.74.154
ieblharm.nju.com.        IN    A    1.10.43.202
dilgsbox.nju.com.        IN    A    173.194.23.9
wjclhgda.nju.com.        IN    A    15.235.243.169
owsxdice.nju.com.        IN    A    127.202.241.39
fxymkpju.nju.com.        IN    A    120.49.129.238
cdysuqwj.nju.com.        IN    A    101.64.97.172
tqykrlsv.nju.com.        IN    A    189.133.239.25
sftqpejl.nju.com.        IN    A    211.76.0.147
ikbdsfxj.nju.com.        IN    A    187.41.158.49
glqsxjka.nju.com.        IN    A    124.49.84.3
owhilycs.nju.com.        IN    A    115.214.200.76
uxalfpih.nju.com.        IN    A    59.27.45.213
lodqtaei.nju.com.        IN    A    135.235.222.192
druyonle.nju.com.        IN    A    150.113.245.81
qagrxsyw.nju.com.        IN    A    48.248.26.70
ukcfteyj.nju.com.        IN    A    29.71.201.96
tmxrbipv.nju.com.        IN    A    176.188.13.210
vaqmopue.nju.com.        IN    A    178.85.62.90
gbxvulea.nju.com.        IN    A    141.152.141.196
hscmdoue.nju.com.        IN    A    95.111.232.173
nfytjhai.nju.com.        IN    A    231.111.67.149
kcojlxgv.nju.com.        IN    A    50.168.80.65
