cse.cqu.com.	14400	IN	SOA	ns1.cse.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cse.cqu.com.		    IN	NS ns1.cse.cqu.com.
dcmevryj.cse.cqu.com.    IN    A    42.238.135.179
ysebawhv.cse.cqu.com.    IN    A    165.187.2.10
svbhexga.cse.cqu.com.    IN    A    41.209.204.56
xsroeynd.cse.cqu.com.    IN    A    114.86.101.66
opsejyra.cse.cqu.com.    IN    A    115.242.125.47
wyxsjuke.cse.cqu.com.    IN    A    96.209.225.177
icvhowrl.cse.cqu.com.    IN    A    190.67.124.232
wmxhpocq.cse.cqu.com.    IN    A    82.139.198.206
ynphbrfv.cse.cqu.com.    IN    A    233.171.127.26
ubiyxcsw.cse.cqu.com.    IN    A    194.243.82.133
gtfscrlq.cse.cqu.com.    IN    A    185.47.252.144
suwvpyhg.cse.cqu.com.    IN    A    56.116.100.19
xosyriwm.cse.cqu.com.    IN    A    213.127.136.140
kvjprbxt.cse.cqu.com.    IN    A    168.214.178.12
enyfsauj.cse.cqu.com.    IN    A    86.103.37.255
oypgtsru.cse.cqu.com.    IN    A    219.26.146.38
exnfmkiv.cse.cqu.com.    IN    A    51.61.165.120
eiudxkhc.cse.cqu.com.    IN    A    1.20.133.187
ofenudgw.cse.cqu.com.    IN    A    254.163.199.138
nefdtjps.cse.cqu.com.    IN    A    154.63.5.34
mhdfybeq.cse.cqu.com.    IN    A    41.162.147.120
kgpyfmio.cse.cqu.com.    IN    A    12.15.59.158
jvcfpqmi.cse.cqu.com.    IN    A    69.148.107.182
dkxwsuvj.cse.cqu.com.    IN    A    66.253.174.191
wqkhntle.cse.cqu.com.    IN    A    64.116.79.136
guixmofa.cse.cqu.com.    IN    A    245.208.175.234
lwfakhup.cse.cqu.com.    IN    A    35.160.142.41
gcnbusar.cse.cqu.com.    IN    A    143.102.79.53
hufyogpi.cse.cqu.com.    IN    A    139.233.88.12
orkmasgf.cse.cqu.com.    IN    A    190.222.68.67
tlveufak.cse.cqu.com.    IN    A    114.45.127.89
wihrcvdj.cse.cqu.com.    IN    A    252.22.109.179
qafdnmbs.cse.cqu.com.    IN    A    65.1.192.185
ityxwkus.cse.cqu.com.    IN    A    80.117.138.53
nagfybep.cse.cqu.com.    IN    A    172.91.160.26
eyktfidr.cse.cqu.com.    IN    A    5.159.207.153
lngjdpre.cse.cqu.com.    IN    A    208.55.145.222
eyolibsw.cse.cqu.com.    IN    A    107.154.226.30
smulbjxt.cse.cqu.com.    IN    A    234.207.155.213
mjxawcfh.cse.cqu.com.    IN    A    89.97.38.185
nrgyfdlh.cse.cqu.com.    IN    A    106.57.13.152
mexblvys.cse.cqu.com.    IN    A    41.37.4.122
mvesqbyp.cse.cqu.com.    IN    A    240.146.64.54
iralyxcf.cse.cqu.com.    IN    A    150.210.173.193
jwpoqxme.cse.cqu.com.    IN    A    255.141.96.192
leuhsnty.cse.cqu.com.    IN    A    0.94.24.153
omqrjspn.cse.cqu.com.    IN    A    130.29.147.120
xqpsfnvu.cse.cqu.com.    IN    A    40.247.183.199
jkrbxftd.cse.cqu.com.    IN    A    147.30.190.235
qutvoegy.cse.cqu.com.    IN    A    116.81.125.172
skiufphl.cse.cqu.com.    IN    A    140.13.242.12
comhlbag.cse.cqu.com.    IN    A    125.107.76.216
wmkvtjep.cse.cqu.com.    IN    A    78.80.212.195
ipcedsht.cse.cqu.com.    IN    A    5.143.104.139
wqemntph.cse.cqu.com.    IN    A    235.172.63.138
egfocxbs.cse.cqu.com.    IN    A    90.153.207.67
hoaijwql.cse.cqu.com.    IN    A    51.15.223.182
ovpxjdcq.cse.cqu.com.    IN    A    1.138.167.66
cnrofsqw.cse.cqu.com.    IN    A    135.107.216.241
jtlecqrg.cse.cqu.com.    IN    A    210.178.117.92
yvapnigl.cse.cqu.com.    IN    A    2.215.84.139
mvxilegf.cse.cqu.com.    IN    A    163.47.29.40
bvndjtpq.cse.cqu.com.    IN    A    44.173.62.7
lnyfxrhm.cse.cqu.com.    IN    A    185.124.118.126
umjnslxe.cse.cqu.com.    IN    A    64.52.25.51
bstvodqh.cse.cqu.com.    IN    A    235.90.212.81
jqucftnx.cse.cqu.com.    IN    A    97.190.28.218
rwfhngtp.cse.cqu.com.    IN    A    90.88.158.166
chevkdgs.cse.cqu.com.    IN    A    148.78.140.170
mceiabsv.cse.cqu.com.    IN    A    194.138.9.161
xlqcnhrt.cse.cqu.com.    IN    A    73.106.103.216
tlojdeyr.cse.cqu.com.    IN    A    188.161.44.205
hmbsapxt.cse.cqu.com.    IN    A    75.156.10.226
qegvarkx.cse.cqu.com.    IN    A    102.45.251.21
rxywlpos.cse.cqu.com.    IN    A    112.213.52.188
ejvynubo.cse.cqu.com.    IN    A    12.188.222.56
siaocmgt.cse.cqu.com.    IN    A    219.104.208.102
tuhpefxy.cse.cqu.com.    IN    A    184.191.243.149
lanbheft.cse.cqu.com.    IN    A    180.251.88.106
cbjknhig.cse.cqu.com.    IN    A    168.224.233.77
tkbqsgup.cse.cqu.com.    IN    A    179.24.85.104
denjhxmk.cse.cqu.com.    IN    A    223.181.90.73
ycxkngwi.cse.cqu.com.    IN    A    128.168.123.225
qrnpsajl.cse.cqu.com.    IN    A    182.135.214.216
litubwny.cse.cqu.com.    IN    A    18.77.208.29
glsojmxh.cse.cqu.com.    IN    A    204.25.217.100
dcjksgwh.cse.cqu.com.    IN    A    115.207.131.197
atdwrlqs.cse.cqu.com.    IN    A    196.60.14.175
ywxlhpai.cse.cqu.com.    IN    A    157.5.156.3
xwyhupcn.cse.cqu.com.    IN    A    221.108.188.187
nxdbuwjh.cse.cqu.com.    IN    A    95.237.139.196
dcuewqis.cse.cqu.com.    IN    A    65.10.226.31
grbanqoi.cse.cqu.com.    IN    A    22.158.7.218
hqbmcjoe.cse.cqu.com.    IN    A    219.8.128.95
gfrmowav.cse.cqu.com.    IN    A    229.175.118.40
oqnlufsx.cse.cqu.com.    IN    A    154.233.229.32
uespfynm.cse.cqu.com.    IN    A    31.66.239.58
lmoynpwh.cse.cqu.com.    IN    A    229.221.9.23
wecvdqha.cse.cqu.com.    IN    A    63.133.223.150
ghpyfatd.cse.cqu.com.    IN    A    191.128.130.174
yrfapwnm.cse.cqu.com.    IN    A    9.242.232.49
pgkxourc.cse.cqu.com.    IN    A    157.218.53.229
mrvtjaei.cse.cqu.com.    IN    A    225.39.53.213
vqokantg.cse.cqu.com.    IN    A    223.143.208.216
kexmihsn.cse.cqu.com.    IN    A    5.142.112.126
jrlnximc.cse.cqu.com.    IN    A    215.1.127.227
ftmldija.cse.cqu.com.    IN    A    89.212.169.202
mdgplfko.cse.cqu.com.    IN    A    203.50.138.198
xfwrshgq.cse.cqu.com.    IN    A    36.161.138.234
jcahxdyp.cse.cqu.com.    IN    A    153.36.52.231
kcnsuliw.cse.cqu.com.    IN    A    235.19.148.27
lwsbueap.cse.cqu.com.    IN    A    176.11.25.29
knsaiycx.cse.cqu.com.    IN    A    141.192.83.197
oxrdgavt.cse.cqu.com.    IN    A    90.64.136.93
nwxpqyom.cse.cqu.com.    IN    A    185.120.104.213
tvbgmorl.cse.cqu.com.    IN    A    89.223.27.9
hpbmolqk.cse.cqu.com.    IN    A    116.216.243.106
rmqbxkji.cse.cqu.com.    IN    A    253.226.92.31
yufvxarq.cse.cqu.com.    IN    A    246.37.6.6
cyipeqak.cse.cqu.com.    IN    A    234.69.97.154
spdcujlx.cse.cqu.com.    IN    A    156.228.135.30
dtxyaspn.cse.cqu.com.    IN    A    55.156.86.41
pahcvrsw.cse.cqu.com.    IN    A    34.203.150.31
gmduvjwq.cse.cqu.com.    IN    A    12.170.147.140
siqpvujn.cse.cqu.com.    IN    A    134.72.247.53
wquxbgdl.cse.cqu.com.    IN    A    33.193.140.227
vpkgtyrf.cse.cqu.com.    IN    A    88.7.181.77
cwnvtlyx.cse.cqu.com.    IN    A    14.26.139.137
bltgmiey.cse.cqu.com.    IN    A    71.71.152.205
unbpojaq.cse.cqu.com.    IN    A    126.4.208.111
pqxvdwur.cse.cqu.com.    IN    A    102.63.103.31
qtlwhxrm.cse.cqu.com.    IN    A    67.201.245.144
bhrvmked.cse.cqu.com.    IN    A    156.215.246.58
kuhojxsr.cse.cqu.com.    IN    A    140.168.204.246
uhwtrsdm.cse.cqu.com.    IN    A    51.6.208.204
rvundomp.cse.cqu.com.    IN    A    74.78.170.25
wmtcfsno.cse.cqu.com.    IN    A    95.182.216.153
sbacrvpn.cse.cqu.com.    IN    A    204.127.47.94
anrbhcyp.cse.cqu.com.    IN    A    45.233.208.114
jahxsmwu.cse.cqu.com.    IN    A    140.106.196.16
snwgmypj.cse.cqu.com.    IN    A    40.213.235.203
plsnkumw.cse.cqu.com.    IN    A    135.251.40.117
wkfioedx.cse.cqu.com.    IN    A    111.133.186.242
kubygpme.cse.cqu.com.    IN    A    45.18.10.8
omushkrl.cse.cqu.com.    IN    A    178.226.153.102
gjwpoyfi.cse.cqu.com.    IN    A    13.114.223.92
qvgtebdu.cse.cqu.com.    IN    A    165.190.243.84
lbypvuqg.cse.cqu.com.    IN    A    213.224.209.18
fdstxghw.cse.cqu.com.    IN    A    157.11.223.128
uiajsekh.cse.cqu.com.    IN    A    244.230.85.73
tsapdfnw.cse.cqu.com.    IN    A    107.248.57.27
gwflhejx.cse.cqu.com.    IN    A    238.1.200.90
wyrcdspm.cse.cqu.com.    IN    A    60.8.227.97
hbklesqa.cse.cqu.com.    IN    A    176.164.105.122
xmqdpjev.cse.cqu.com.    IN    A    29.203.151.139
oiuqfgmy.cse.cqu.com.    IN    A    53.131.182.232
rgivojxt.cse.cqu.com.    IN    A    69.4.184.118
myrigbjq.cse.cqu.com.    IN    A    65.129.139.236
omengtkl.cse.cqu.com.    IN    A    79.187.168.200
bdxiotvr.cse.cqu.com.    IN    A    184.89.93.204
lvhuydac.cse.cqu.com.    IN    A    176.13.73.44
pqvblwuh.cse.cqu.com.    IN    A    11.51.91.83
tjdhryga.cse.cqu.com.    IN    A    133.180.29.188
pjnsitxf.cse.cqu.com.    IN    A    217.102.165.150
dbarfype.cse.cqu.com.    IN    A    98.154.239.193
qlfmdrty.cse.cqu.com.    IN    A    116.86.129.80
faqkhyjm.cse.cqu.com.    IN    A    198.120.168.108
uqtebcdj.cse.cqu.com.    IN    A    94.47.180.242
hpsmoyfk.cse.cqu.com.    IN    A    172.109.97.7
fqlinobm.cse.cqu.com.    IN    A    139.238.26.42
vitksyrl.cse.cqu.com.    IN    A    80.123.223.51
ospwgtcu.cse.cqu.com.    IN    A    196.20.132.39
nwpmybsa.cse.cqu.com.    IN    A    180.74.82.124
mdwxrhvt.cse.cqu.com.    IN    A    225.82.134.77
whnmbpuv.cse.cqu.com.    IN    A    228.117.95.126
nhidqjsm.cse.cqu.com.    IN    A    234.9.220.78
uqykrvcl.cse.cqu.com.    IN    A    160.202.137.217
gywpsdhx.cse.cqu.com.    IN    A    45.108.90.66
jlcwtrqo.cse.cqu.com.    IN    A    76.220.71.95
dpoknxei.cse.cqu.com.    IN    A    106.219.195.201
scuowfbv.cse.cqu.com.    IN    A    227.181.50.47
edqshrug.cse.cqu.com.    IN    A    160.202.28.102
pytnukdl.cse.cqu.com.    IN    A    186.170.198.75
ipvudmsy.cse.cqu.com.    IN    A    20.243.57.90
kxjstgim.cse.cqu.com.    IN    A    217.96.195.99
xkvghqnj.cse.cqu.com.    IN    A    5.233.64.55
kfjeings.cse.cqu.com.    IN    A    66.222.49.217
ndugemqb.cse.cqu.com.    IN    A    157.95.200.175
qmjfosbk.cse.cqu.com.    IN    A    248.116.179.113
mdswvrkh.cse.cqu.com.    IN    A    67.37.67.228
agnvfdqt.cse.cqu.com.    IN    A    30.170.45.223
mgrtijqa.cse.cqu.com.    IN    A    159.59.159.200
dheaxrwl.cse.cqu.com.    IN    A    19.34.242.255
ilkrptej.cse.cqu.com.    IN    A    213.149.65.94
ehnjipob.cse.cqu.com.    IN    A    114.61.45.221
yhbmuljv.cse.cqu.com.    IN    A    98.130.52.29
cvguartd.cse.cqu.com.    IN    A    236.22.125.122
oxfkpcyi.cse.cqu.com.    IN    A    123.7.140.36
lhdftcxa.cse.cqu.com.    IN    A    34.153.77.12
npiqdacg.cse.cqu.com.    IN    A    115.171.66.152
hnsxfdur.cse.cqu.com.    IN    A    203.5.2.30
myplkged.cse.cqu.com.    IN    A    72.41.138.199
ykjslauc.cse.cqu.com.    IN    A    189.219.64.9
fngqhlvd.cse.cqu.com.    IN    A    16.117.53.155
ycrlkxnm.cse.cqu.com.    IN    A    15.226.138.42
hiqejpvx.cse.cqu.com.    IN    A    6.1.144.142
rnsuidcy.cse.cqu.com.    IN    A    99.159.41.111
xsjrldof.cse.cqu.com.    IN    A    228.60.193.184
hakuscrt.cse.cqu.com.    IN    A    238.112.209.189
aowjsdpe.cse.cqu.com.    IN    A    227.195.150.90
loabwgvi.cse.cqu.com.    IN    A    46.102.58.89
kpnxagvw.cse.cqu.com.    IN    A    164.166.5.141
lajkdrgw.cse.cqu.com.    IN    A    176.230.220.141
fuoxmjdv.cse.cqu.com.    IN    A    10.111.41.200
yfrgcmvn.cse.cqu.com.    IN    A    180.196.168.28
giwdusqj.cse.cqu.com.    IN    A    172.96.144.168
thqkjpac.cse.cqu.com.    IN    A    172.104.173.37
yhwigvjl.cse.cqu.com.    IN    A    114.184.179.168
xakutido.cse.cqu.com.    IN    A    163.248.182.2
bfinghwu.cse.cqu.com.    IN    A    221.203.60.99
iyqcnmov.cse.cqu.com.    IN    A    53.30.244.12
rlexagsh.cse.cqu.com.    IN    A    29.240.28.184
xvcbuwry.cse.cqu.com.    IN    A    99.138.66.106
pgsmalik.cse.cqu.com.    IN    A    96.27.42.217
tiblujrp.cse.cqu.com.    IN    A    215.108.96.163
olipjsyx.cse.cqu.com.    IN    A    26.173.110.209
epsvamwd.cse.cqu.com.    IN    A    225.178.41.156
uiopgydx.cse.cqu.com.    IN    A    107.172.75.99
lokhrmpf.cse.cqu.com.    IN    A    175.134.97.152
unpvkthl.cse.cqu.com.    IN    A    31.151.216.119
jmihfogp.cse.cqu.com.    IN    A    159.2.115.18
ivmrnfbj.cse.cqu.com.    IN    A    51.173.20.179
tblfgypq.cse.cqu.com.    IN    A    148.181.98.196
bqjxirmu.cse.cqu.com.    IN    A    87.206.138.182
ldeturqn.cse.cqu.com.    IN    A    89.106.46.71
mwinpjcy.cse.cqu.com.    IN    A    187.190.239.85
aqmdbeuo.cse.cqu.com.    IN    A    31.87.165.190
ytsqmdkj.cse.cqu.com.    IN    A    177.128.146.63
bemwdugo.cse.cqu.com.    IN    A    12.28.203.81
rckejsdi.cse.cqu.com.    IN    A    49.90.200.152
rbqujwvt.cse.cqu.com.    IN    A    36.118.186.122
kidopjme.cse.cqu.com.    IN    A    109.9.238.52
foqurvla.cse.cqu.com.    IN    A    205.113.161.205
iwkxsbmt.cse.cqu.com.    IN    A    16.208.227.125
trbcljip.cse.cqu.com.    IN    A    37.145.194.109
qhpulgim.cse.cqu.com.    IN    A    133.234.15.107
tapqfebu.cse.cqu.com.    IN    A    226.124.59.128
rsedjmxt.cse.cqu.com.    IN    A    195.0.97.24
aepdognm.cse.cqu.com.    IN    A    147.46.88.249
ugfdwoey.cse.cqu.com.    IN    A    154.151.178.141
knoqgdxv.cse.cqu.com.    IN    A    244.138.41.49
drfimxov.cse.cqu.com.    IN    A    84.215.27.6
diwjtafr.cse.cqu.com.    IN    A    14.225.102.155
wdgvkqni.cse.cqu.com.    IN    A    24.23.179.20
btuohwqv.cse.cqu.com.    IN    A    196.65.252.227
umntfdyg.cse.cqu.com.    IN    A    37.11.192.79
mlqraodf.cse.cqu.com.    IN    A    23.52.34.34
cxnwagqs.cse.cqu.com.    IN    A    160.26.161.48
lgrnckiy.cse.cqu.com.    IN    A    174.18.238.186
wvdmnbha.cse.cqu.com.    IN    A    67.121.174.39
iumdwnsx.cse.cqu.com.    IN    A    230.113.219.103
ghcfpwal.cse.cqu.com.    IN    A    16.28.30.100
rcipbyao.cse.cqu.com.    IN    A    40.122.230.126
ahyrxltw.cse.cqu.com.    IN    A    211.16.217.240
eryjiwgs.cse.cqu.com.    IN    A    186.189.219.119
scyuwoxt.cse.cqu.com.    IN    A    16.154.101.154
fvkqdcne.cse.cqu.com.    IN    A    34.101.254.32
kohdgqis.cse.cqu.com.    IN    A    213.155.26.15
oxevcqsa.cse.cqu.com.    IN    A    255.236.86.119
gpuxkfwd.cse.cqu.com.    IN    A    166.253.111.200
oskmpcvi.cse.cqu.com.    IN    A    179.236.127.250
sjkwarnm.cse.cqu.com.    IN    A    225.82.159.43
cawjfvkt.cse.cqu.com.    IN    A    142.86.192.139
ecvahxqm.cse.cqu.com.    IN    A    247.242.120.159
snvbtixa.cse.cqu.com.    IN    A    28.111.103.93
yqhibred.cse.cqu.com.    IN    A    40.235.191.157
fuoyxmca.cse.cqu.com.    IN    A    52.43.17.1
kdqyfuon.cse.cqu.com.    IN    A    29.172.96.92
tvhelyjg.cse.cqu.com.    IN    A    142.210.1.170
ohkqedvc.cse.cqu.com.    IN    A    190.166.223.231
kwbxvlgo.cse.cqu.com.    IN    A    141.139.76.23
oesfnvur.cse.cqu.com.    IN    A    64.105.250.245
mhcukods.cse.cqu.com.    IN    A    83.163.65.64
qkxdtjvf.cse.cqu.com.    IN    A    196.150.48.237
sfnbjlvp.cse.cqu.com.    IN    A    141.253.230.198
oqdrcsui.cse.cqu.com.    IN    A    55.83.139.64
htfasmkq.cse.cqu.com.    IN    A    119.102.174.212
ticsnyve.cse.cqu.com.    IN    A    7.25.86.59
jcpalqvh.cse.cqu.com.    IN    A    216.122.51.3
fwyjkarl.cse.cqu.com.    IN    A    194.32.153.212
sewvaclg.cse.cqu.com.    IN    A    58.115.64.144
wosnugbk.cse.cqu.com.    IN    A    66.183.123.200
vgcxjomf.cse.cqu.com.    IN    A    239.150.122.74
rgpocbnq.cse.cqu.com.    IN    A    39.188.192.23
suiqvoaw.cse.cqu.com.    IN    A    171.122.13.201
kmyunrqi.cse.cqu.com.    IN    A    15.82.250.59
gkvyfdhx.cse.cqu.com.    IN    A    150.21.226.239
eamjvuhc.cse.cqu.com.    IN    A    119.131.158.31
evhtbosq.cse.cqu.com.    IN    A    199.129.230.106
akbtwpcf.cse.cqu.com.    IN    A    204.253.84.206
cfsjadrx.cse.cqu.com.    IN    A    58.192.21.179
rguaobxq.cse.cqu.com.    IN    A    5.157.40.168
uixtjyfm.cse.cqu.com.    IN    A    190.204.22.123
vnoeadfs.cse.cqu.com.    IN    A    76.152.172.126
vxusjhmq.cse.cqu.com.    IN    A    15.40.54.255
iafosqjy.cse.cqu.com.    IN    A    170.166.80.161
xrcgikfn.cse.cqu.com.    IN    A    65.76.209.245
dgiupcek.cse.cqu.com.    IN    A    50.73.245.35
vkdtsnrb.cse.cqu.com.    IN    A    11.48.14.89
adqoclne.cse.cqu.com.    IN    A    56.163.193.22
qthfdpoj.cse.cqu.com.    IN    A    149.31.235.125
sxobqrym.cse.cqu.com.    IN    A    219.198.133.19
oxqptyig.cse.cqu.com.    IN    A    162.54.14.242
sijouwvn.cse.cqu.com.    IN    A    205.246.17.139
johgplcw.cse.cqu.com.    IN    A    24.177.157.213
sondklwx.cse.cqu.com.    IN    A    235.36.250.56
mqgbyfsd.cse.cqu.com.    IN    A    146.3.27.237
tyqimhnp.cse.cqu.com.    IN    A    92.195.12.28
rcwkqetn.cse.cqu.com.    IN    A    83.216.159.202
kltbfjuo.cse.cqu.com.    IN    A    171.213.160.15
tbaxfpcr.cse.cqu.com.    IN    A    128.0.153.8
cmliatop.cse.cqu.com.    IN    A    225.132.40.147
wnjyhuge.cse.cqu.com.    IN    A    115.93.18.46
gcloukqx.cse.cqu.com.    IN    A    30.113.142.66
bcerivum.cse.cqu.com.    IN    A    175.178.18.145
qlexmthu.cse.cqu.com.    IN    A    250.69.92.240
lwgdkshj.cse.cqu.com.    IN    A    146.55.218.116
eolrmjpf.cse.cqu.com.    IN    A    98.230.169.210
fgucoibp.cse.cqu.com.    IN    A    248.44.86.184
infpshrv.cse.cqu.com.    IN    A    205.68.143.97
ucjtqkrd.cse.cqu.com.    IN    A    3.12.62.188
cbiwantr.cse.cqu.com.    IN    A    179.241.91.1
ptehcflx.cse.cqu.com.    IN    A    194.238.213.203
qweahtgp.cse.cqu.com.    IN    A    116.136.202.69
rnlsdbvh.cse.cqu.com.    IN    A    179.213.78.68
itqrkolx.cse.cqu.com.    IN    A    135.189.174.156
fvemqcbw.cse.cqu.com.    IN    A    13.99.30.20
apvwxykf.cse.cqu.com.    IN    A    75.186.159.229
reialqkt.cse.cqu.com.    IN    A    80.140.77.221
jnhmovkw.cse.cqu.com.    IN    A    91.166.65.39
brmajpsk.cse.cqu.com.    IN    A    66.161.41.70
dqvoewbk.cse.cqu.com.    IN    A    63.134.105.215
xurcqbed.cse.cqu.com.    IN    A    219.156.2.134
qymbwkfg.cse.cqu.com.    IN    A    7.207.48.214
ginqbjmp.cse.cqu.com.    IN    A    241.18.75.31
qwmsbfjg.cse.cqu.com.    IN    A    237.178.132.57
bywhjsgi.cse.cqu.com.    IN    A    16.17.4.200
tdlpyjnr.cse.cqu.com.    IN    A    77.220.28.229
ivnurjqw.cse.cqu.com.    IN    A    161.22.155.223
hxmtnjlw.cse.cqu.com.    IN    A    67.121.162.229
mhtnedgo.cse.cqu.com.    IN    A    12.15.16.9
koucpsjv.cse.cqu.com.    IN    A    241.156.85.35
ecrmkxsp.cse.cqu.com.    IN    A    221.220.74.203
tihqknpu.cse.cqu.com.    IN    A    149.7.162.193
ryelpvaf.cse.cqu.com.    IN    A    97.202.17.243
vcrxjuos.cse.cqu.com.    IN    A    254.23.237.7
xuphdfen.cse.cqu.com.    IN    A    146.200.191.65
ltpmcvnj.cse.cqu.com.    IN    A    103.139.46.139
qjvgchpa.cse.cqu.com.    IN    A    82.120.113.122
bxqnkmdl.cse.cqu.com.    IN    A    193.136.20.100
arpxjemf.cse.cqu.com.    IN    A    100.108.173.242
ijamntyo.cse.cqu.com.    IN    A    11.222.209.222
jwrnqhsm.cse.cqu.com.    IN    A    113.143.44.138
padtusek.cse.cqu.com.    IN    A    83.50.225.176
xlsfygmh.cse.cqu.com.    IN    A    168.227.107.186
glwaevnm.cse.cqu.com.    IN    A    50.106.76.141
iutvshmg.cse.cqu.com.    IN    A    31.146.11.183
htfqsawx.cse.cqu.com.    IN    A    122.35.86.141
wdibcefk.cse.cqu.com.    IN    A    161.177.209.156
sxiekjyn.cse.cqu.com.    IN    A    125.136.251.10
chtrlvfd.cse.cqu.com.    IN    A    9.13.132.96
xobeupdr.cse.cqu.com.    IN    A    245.246.107.54
vbprlcyj.cse.cqu.com.    IN    A    55.52.3.58
dgklofec.cse.cqu.com.    IN    A    166.98.148.183
plotgsej.cse.cqu.com.    IN    A    47.178.175.35
ugkjlhtw.cse.cqu.com.    IN    A    20.192.17.28
wvfhcape.cse.cqu.com.    IN    A    93.76.55.115
ewlnjfkq.cse.cqu.com.    IN    A    143.137.49.94
fxmsidjl.cse.cqu.com.    IN    A    237.91.10.34
vkpxdbej.cse.cqu.com.    IN    A    30.14.213.156
rwducfjg.cse.cqu.com.    IN    A    30.121.250.113
mhlugvpd.cse.cqu.com.    IN    A    49.224.247.99
gdyepufv.cse.cqu.com.    IN    A    28.241.115.223
ogaxdhnw.cse.cqu.com.    IN    A    252.65.153.108
afghuysw.cse.cqu.com.    IN    A    204.42.71.197
iepjoxga.cse.cqu.com.    IN    A    72.149.185.214
aoxiugbc.cse.cqu.com.    IN    A    62.142.57.156
vaqrbesh.cse.cqu.com.    IN    A    7.227.36.238
xdcjyhro.cse.cqu.com.    IN    A    169.97.246.58
bqogrmyu.cse.cqu.com.    IN    A    63.10.214.155
rmvgldwc.cse.cqu.com.    IN    A    48.49.249.5
apvufibn.cse.cqu.com.    IN    A    35.83.95.44
igrnjfwd.cse.cqu.com.    IN    A    171.18.122.222
aueywjxq.cse.cqu.com.    IN    A    161.123.16.18
iyauewbm.cse.cqu.com.    IN    A    148.152.23.52
devbuint.cse.cqu.com.    IN    A    70.61.8.141
tdlxegia.cse.cqu.com.    IN    A    136.27.88.106
xvaqfgiw.cse.cqu.com.    IN    A    96.183.148.100
uwifmerc.cse.cqu.com.    IN    A    38.15.193.210
ylutxcaw.cse.cqu.com.    IN    A    93.230.165.211
jufnplko.cse.cqu.com.    IN    A    158.190.178.18
hvsaigkb.cse.cqu.com.    IN    A    188.167.12.11
ewtyioxb.cse.cqu.com.    IN    A    253.226.99.177
cvhqbuxm.cse.cqu.com.    IN    A    190.66.231.151
fatiebqv.cse.cqu.com.    IN    A    179.1.238.45
iygkofpn.cse.cqu.com.    IN    A    69.171.167.141
yspqvfli.cse.cqu.com.    IN    A    141.154.192.7
setxjlpc.cse.cqu.com.    IN    A    248.235.250.13
wjdxhvga.cse.cqu.com.    IN    A    108.239.212.127
agkwlrds.cse.cqu.com.    IN    A    166.162.207.200
chmjvbfu.cse.cqu.com.    IN    A    93.129.226.234
ubmtlano.cse.cqu.com.    IN    A    96.134.68.25
tmyqnibp.cse.cqu.com.    IN    A    250.41.86.159
hprldysc.cse.cqu.com.    IN    A    164.225.234.108
whntpacq.cse.cqu.com.    IN    A    107.158.166.217
fxbnwmoj.cse.cqu.com.    IN    A    2.139.220.253
riutmqho.cse.cqu.com.    IN    A    203.98.214.172
upwmctid.cse.cqu.com.    IN    A    101.230.128.211
tokahsjv.cse.cqu.com.    IN    A    176.73.124.0
wvturgkn.cse.cqu.com.    IN    A    81.18.237.102
qxidtmaj.cse.cqu.com.    IN    A    105.59.147.36
hvjdtuak.cse.cqu.com.    IN    A    95.26.147.115
giconeqt.cse.cqu.com.    IN    A    83.33.41.250
sqbcfgmn.cse.cqu.com.    IN    A    168.226.221.227
bwrqesjl.cse.cqu.com.    IN    A    57.220.82.129
vifctpsu.cse.cqu.com.    IN    A    161.135.61.115
kfplchjv.cse.cqu.com.    IN    A    128.162.242.150
lmtquvfo.cse.cqu.com.    IN    A    17.137.115.173
vlochrny.cse.cqu.com.    IN    A    13.30.122.55
rtwbxano.cse.cqu.com.    IN    A    121.180.122.141
sgthebqf.cse.cqu.com.    IN    A    198.69.194.161
lowfxyui.cse.cqu.com.    IN    A    5.14.215.88
huesptnv.cse.cqu.com.    IN    A    153.198.61.209
lbxyqktg.cse.cqu.com.    IN    A    27.249.113.159
whflivop.cse.cqu.com.    IN    A    227.87.201.224
vhuowqjr.cse.cqu.com.    IN    A    86.206.190.1
ronxcatv.cse.cqu.com.    IN    A    37.249.179.236
hontifbd.cse.cqu.com.    IN    A    110.49.88.167
mbosfqel.cse.cqu.com.    IN    A    207.214.167.237
ogmcqawk.cse.cqu.com.    IN    A    133.158.27.153
tyxdfwbe.cse.cqu.com.    IN    A    4.214.21.80
pdbnyecw.cse.cqu.com.    IN    A    214.207.80.54
ojskapud.cse.cqu.com.    IN    A    1.6.167.241
katjvdug.cse.cqu.com.    IN    A    1.188.78.1
jkeoypsx.cse.cqu.com.    IN    A    148.68.7.237
ralgcebm.cse.cqu.com.    IN    A    130.238.196.59
pgvjcxfu.cse.cqu.com.    IN    A    233.254.209.30
chkgsibp.cse.cqu.com.    IN    A    83.5.20.195
ytdhcvnf.cse.cqu.com.    IN    A    53.19.94.223
imtsoxdh.cse.cqu.com.    IN    A    123.111.120.73
voqyrbue.cse.cqu.com.    IN    A    100.150.41.197
sufytckd.cse.cqu.com.    IN    A    54.8.96.145
owbxhjgn.cse.cqu.com.    IN    A    145.93.80.64
grbfiahe.cse.cqu.com.    IN    A    136.48.59.17
kubrjmhq.cse.cqu.com.    IN    A    210.42.205.150
faxgdemr.cse.cqu.com.    IN    A    131.239.28.90
