pharm.whu.com.	14400	IN	SOA	ns1.pharm.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
pharm.whu.com.		    IN	NS ns1.pharm.whu.com.
oesndijm.pharm.whu.com.  IN    A    185.192.150.40
acnvmbst.pharm.whu.com.  IN    A    115.223.157.178
twymrupi.pharm.whu.com.  IN    A    254.159.58.159
vxrioupb.pharm.whu.com.  IN    A    108.49.230.195
oicnxpvr.pharm.whu.com.  IN    A    48.121.31.177
jqwbmuia.pharm.whu.com.  IN    A    241.3.84.87
qsytrxua.pharm.whu.com.  IN    A    47.165.117.155
aiovpbhw.pharm.whu.com.  IN    A    166.177.221.194
bxmtydia.pharm.whu.com.  IN    A    126.80.93.244
ybsertgm.pharm.whu.com.  IN    A    153.225.208.59
paqirxkm.pharm.whu.com.  IN    A    225.25.92.95
ydsqokxc.pharm.whu.com.  IN    A    116.14.143.89
jdsuxepv.pharm.whu.com.  IN    A    31.212.56.45
rvpbxhds.pharm.whu.com.  IN    A    191.128.232.56
yvacebjl.pharm.whu.com.  IN    A    200.6.118.91
vwhuepmx.pharm.whu.com.  IN    A    78.241.174.134
huebtqci.pharm.whu.com.  IN    A    171.111.64.32
mxqcjuso.pharm.whu.com.  IN    A    129.49.66.119
tayeoujp.pharm.whu.com.  IN    A    89.146.99.78
ljuwotsi.pharm.whu.com.  IN    A    47.222.191.10
gxjpuokr.pharm.whu.com.  IN    A    155.177.168.92
wvxmgyei.pharm.whu.com.  IN    A    74.254.33.138
liqejodh.pharm.whu.com.  IN    A    158.27.71.23
dakhsvjq.pharm.whu.com.  IN    A    131.6.142.197
rdlswhop.pharm.whu.com.  IN    A    94.30.203.60
nhwypuxm.pharm.whu.com.  IN    A    166.215.47.60
mdauvibp.pharm.whu.com.  IN    A    195.30.243.119
etufdvos.pharm.whu.com.  IN    A    148.11.105.99
qrgsycna.pharm.whu.com.  IN    A    251.7.3.78
fthvdcax.pharm.whu.com.  IN    A    54.44.155.233
amjxofqr.pharm.whu.com.  IN    A    65.185.182.230
gvnsjxuf.pharm.whu.com.  IN    A    246.132.238.61
hxbylijp.pharm.whu.com.  IN    A    106.99.48.45
oalmefrh.pharm.whu.com.  IN    A    145.83.202.162
blordivt.pharm.whu.com.  IN    A    135.54.186.84
usjfdogv.pharm.whu.com.  IN    A    188.168.153.111
ojhfkesb.pharm.whu.com.  IN    A    200.119.222.193
gwcrksyt.pharm.whu.com.  IN    A    244.226.57.91
csoixdwy.pharm.whu.com.  IN    A    39.171.105.136
osftncpj.pharm.whu.com.  IN    A    175.80.53.105
egrwafcq.pharm.whu.com.  IN    A    211.173.89.248
rnwksbpl.pharm.whu.com.  IN    A    87.79.6.19
xfpeordh.pharm.whu.com.  IN    A    9.96.7.246
hetjproc.pharm.whu.com.  IN    A    43.194.109.81
bfqnouhw.pharm.whu.com.  IN    A    228.249.156.81
buifoltn.pharm.whu.com.  IN    A    94.120.114.154
dstlvufh.pharm.whu.com.  IN    A    55.2.106.52
iefacwgv.pharm.whu.com.  IN    A    94.192.153.90
hlucvkof.pharm.whu.com.  IN    A    192.166.2.36
xjtcqbde.pharm.whu.com.  IN    A    31.33.169.245
giwrqkms.pharm.whu.com.  IN    A    37.201.148.44
tadvwluc.pharm.whu.com.  IN    A    127.57.138.183
pubkxaem.pharm.whu.com.  IN    A    110.59.180.150
evlysawk.pharm.whu.com.  IN    A    235.248.17.203
acxwdihp.pharm.whu.com.  IN    A    140.177.163.243
pjkatihn.pharm.whu.com.  IN    A    111.221.82.241
mqjtkogp.pharm.whu.com.  IN    A    182.143.158.229
ubltcdig.pharm.whu.com.  IN    A    236.206.3.232
qhligsoy.pharm.whu.com.  IN    A    247.197.226.94
ikfrnjlx.pharm.whu.com.  IN    A    5.161.29.101
fmpaotei.pharm.whu.com.  IN    A    3.246.232.44
fecontyg.pharm.whu.com.  IN    A    55.173.107.165
ptkolmih.pharm.whu.com.  IN    A    200.94.76.130
ayovdlrt.pharm.whu.com.  IN    A    118.108.94.51
ryfjbdkn.pharm.whu.com.  IN    A    117.119.20.64
gnfbxkay.pharm.whu.com.  IN    A    195.133.167.166
togyhuar.pharm.whu.com.  IN    A    92.17.146.147
dhqtvyck.pharm.whu.com.  IN    A    99.31.17.188
evrmdkbo.pharm.whu.com.  IN    A    189.1.72.78
lnbpeyvg.pharm.whu.com.  IN    A    101.93.254.210
qoldxpem.pharm.whu.com.  IN    A    238.107.149.99
nwvcoamk.pharm.whu.com.  IN    A    74.180.119.129
wsbecdvj.pharm.whu.com.  IN    A    53.158.45.102
buwolnke.pharm.whu.com.  IN    A    10.229.175.209
wftvngay.pharm.whu.com.  IN    A    133.227.98.34
deljsrux.pharm.whu.com.  IN    A    71.12.193.100
upbmslry.pharm.whu.com.  IN    A    168.13.141.54
mjvhfgsy.pharm.whu.com.  IN    A    173.212.145.215
ioqbjrtu.pharm.whu.com.  IN    A    147.151.234.108
taunyxvh.pharm.whu.com.  IN    A    18.143.156.183
wsmrcvgh.pharm.whu.com.  IN    A    254.124.29.45
hykftsib.pharm.whu.com.  IN    A    134.145.179.202
ekpotjdh.pharm.whu.com.  IN    A    161.74.30.236
okfqvgcb.pharm.whu.com.  IN    A    101.165.168.229
okjwhngr.pharm.whu.com.  IN    A    147.156.66.209
gvpcmhln.pharm.whu.com.  IN    A    245.176.255.203
yamctrhq.pharm.whu.com.  IN    A    43.180.98.92
jfntwape.pharm.whu.com.  IN    A    107.210.183.225
sbufgxmo.pharm.whu.com.  IN    A    187.254.150.46
wpvkgnix.pharm.whu.com.  IN    A    64.27.104.47
pimjeyru.pharm.whu.com.  IN    A    148.141.234.247
munthfre.pharm.whu.com.  IN    A    91.254.195.155
qwbpjhmx.pharm.whu.com.  IN    A    165.235.139.227
wguqmtpa.pharm.whu.com.  IN    A    120.175.28.234
egvpdqlo.pharm.whu.com.  IN    A    30.11.11.51
jwhprlbt.pharm.whu.com.  IN    A    250.175.119.100
mqkgpsfv.pharm.whu.com.  IN    A    11.160.33.81
snetjlbi.pharm.whu.com.  IN    A    205.30.52.0
wmikxcbg.pharm.whu.com.  IN    A    196.55.150.23
mwixupsg.pharm.whu.com.  IN    A    83.244.131.66
heqgufjy.pharm.whu.com.  IN    A    208.231.209.71
doauwknh.pharm.whu.com.  IN    A    76.111.252.202
osikqwru.pharm.whu.com.  IN    A    145.167.11.102
wiynlqbp.pharm.whu.com.  IN    A    52.237.40.208
bscuvlxm.pharm.whu.com.  IN    A    65.5.66.226
otneypjw.pharm.whu.com.  IN    A    142.139.48.209
lmwspdub.pharm.whu.com.  IN    A    160.197.181.239
unawdvxp.pharm.whu.com.  IN    A    125.158.151.85
fqteuxlj.pharm.whu.com.  IN    A    14.248.240.91
gherpvtb.pharm.whu.com.  IN    A    102.88.246.212
smfxiqod.pharm.whu.com.  IN    A    217.54.199.115
gmivlqby.pharm.whu.com.  IN    A    62.81.145.23
oqypfacd.pharm.whu.com.  IN    A    172.165.148.132
qpvgfnmr.pharm.whu.com.  IN    A    21.218.56.248
bfdvqxea.pharm.whu.com.  IN    A    124.153.18.108
rdjamvsx.pharm.whu.com.  IN    A    8.79.26.115
fcuspwlo.pharm.whu.com.  IN    A    73.79.216.238
gwcnmrao.pharm.whu.com.  IN    A    94.147.183.204
yefduxaq.pharm.whu.com.  IN    A    61.235.110.31
ewxnfsvj.pharm.whu.com.  IN    A    124.125.70.177
mdhonwyf.pharm.whu.com.  IN    A    144.194.9.59
kjuslcye.pharm.whu.com.  IN    A    255.55.21.227
xbrfhymu.pharm.whu.com.  IN    A    239.190.214.140
norkavfp.pharm.whu.com.  IN    A    199.53.50.29
jxgmdtah.pharm.whu.com.  IN    A    216.202.80.105
gekbcptn.pharm.whu.com.  IN    A    0.36.248.113
futcyegw.pharm.whu.com.  IN    A    22.111.220.248
rbeyakwx.pharm.whu.com.  IN    A    217.145.32.147
modhcpwr.pharm.whu.com.  IN    A    88.178.47.185
xjvoubep.pharm.whu.com.  IN    A    231.250.16.114
npxegvdi.pharm.whu.com.  IN    A    47.24.75.142
ypgacrqn.pharm.whu.com.  IN    A    11.147.142.11
fbnoerxh.pharm.whu.com.  IN    A    200.197.226.191
fguvncko.pharm.whu.com.  IN    A    209.145.202.16
dxspgvhw.pharm.whu.com.  IN    A    93.21.231.105
crlgnsdy.pharm.whu.com.  IN    A    253.206.66.246
eqrvafbu.pharm.whu.com.  IN    A    37.156.87.9
fvpexqth.pharm.whu.com.  IN    A    61.72.78.16
tyhxkdcv.pharm.whu.com.  IN    A    189.211.6.190
wtmickfe.pharm.whu.com.  IN    A    104.18.165.185
urivgtjk.pharm.whu.com.  IN    A    186.108.31.45
gwmkviuj.pharm.whu.com.  IN    A    185.49.42.74
nbceilro.pharm.whu.com.  IN    A    41.224.59.94
iowcbxfu.pharm.whu.com.  IN    A    135.200.113.157
ebnfgsyd.pharm.whu.com.  IN    A    14.174.176.115
ubhetcdx.pharm.whu.com.  IN    A    235.105.187.6
ncdhjvls.pharm.whu.com.  IN    A    48.199.88.14
hopfbqjd.pharm.whu.com.  IN    A    86.107.58.147
pdqxlbrv.pharm.whu.com.  IN    A    39.78.99.33
yghabevk.pharm.whu.com.  IN    A    211.249.239.152
ycrdusew.pharm.whu.com.  IN    A    201.245.57.167
qjmbknfw.pharm.whu.com.  IN    A    214.13.27.181
tmdjgaik.pharm.whu.com.  IN    A    11.212.151.227
nbxswogp.pharm.whu.com.  IN    A    163.181.216.74
qwcjkdor.pharm.whu.com.  IN    A    41.132.2.240
xvramiyd.pharm.whu.com.  IN    A    185.153.156.136
jslbdfqu.pharm.whu.com.  IN    A    2.41.170.248
evptxljm.pharm.whu.com.  IN    A    88.240.84.64
nvxykqtr.pharm.whu.com.  IN    A    53.111.53.72
srldytkv.pharm.whu.com.  IN    A    71.192.56.175
arupwtvc.pharm.whu.com.  IN    A    12.14.199.61
whiryusk.pharm.whu.com.  IN    A    207.227.160.143
waxpcrtn.pharm.whu.com.  IN    A    196.173.248.113
qxopmcrs.pharm.whu.com.  IN    A    79.249.83.160
awepgdxc.pharm.whu.com.  IN    A    178.11.12.72
ylvbqrxo.pharm.whu.com.  IN    A    11.17.200.121
ejwldqkp.pharm.whu.com.  IN    A    123.127.109.26
pdhgmvcq.pharm.whu.com.  IN    A    225.202.126.64
bgditqyu.pharm.whu.com.  IN    A    112.251.71.217
ldefasjt.pharm.whu.com.  IN    A    171.176.245.251
ukacvrpd.pharm.whu.com.  IN    A    31.203.119.212
wicvqxkb.pharm.whu.com.  IN    A    72.110.195.89
bcpjigms.pharm.whu.com.  IN    A    150.133.71.246
lymutpod.pharm.whu.com.  IN    A    244.172.49.215
pbelgvmw.pharm.whu.com.  IN    A    62.47.181.59
kvmpuoxj.pharm.whu.com.  IN    A    249.88.252.181
eowuqfyv.pharm.whu.com.  IN    A    64.63.214.224
pdmluoyb.pharm.whu.com.  IN    A    45.219.66.91
nhslemop.pharm.whu.com.  IN    A    78.235.19.186
pdqfjuox.pharm.whu.com.  IN    A    53.123.174.241
qxkbmjwl.pharm.whu.com.  IN    A    9.79.192.55
eqnglfth.pharm.whu.com.  IN    A    51.71.27.154
cxyrohbq.pharm.whu.com.  IN    A    67.146.126.251
kihvcjew.pharm.whu.com.  IN    A    216.150.230.155
hqtcrdli.pharm.whu.com.  IN    A    62.205.62.123
cemfdvxi.pharm.whu.com.  IN    A    22.202.246.26
egxnmyuj.pharm.whu.com.  IN    A    108.77.115.87
staijfov.pharm.whu.com.  IN    A    164.110.84.58
gwdepqtc.pharm.whu.com.  IN    A    179.201.158.254
sylecokb.pharm.whu.com.  IN    A    101.105.184.22
yawrhuds.pharm.whu.com.  IN    A    51.147.164.252
behfmrly.pharm.whu.com.  IN    A    177.31.162.130
lcvqyidw.pharm.whu.com.  IN    A    132.173.231.113
fdsxboyr.pharm.whu.com.  IN    A    169.235.143.145
rpcgqyle.pharm.whu.com.  IN    A    130.232.126.101
wamnupro.pharm.whu.com.  IN    A    55.48.200.105
qducwohm.pharm.whu.com.  IN    A    112.53.9.93
spdvbqfa.pharm.whu.com.  IN    A    17.34.187.114
rvlkwjsi.pharm.whu.com.  IN    A    191.142.196.217
wvxtfmhk.pharm.whu.com.  IN    A    253.140.56.29
yerqtivm.pharm.whu.com.  IN    A    201.192.36.168
nebjhira.pharm.whu.com.  IN    A    204.78.229.120
ryjaluoc.pharm.whu.com.  IN    A    167.126.237.175
cwkbgnah.pharm.whu.com.  IN    A    11.92.30.4
ehcjgwtl.pharm.whu.com.  IN    A    62.242.10.245
atpjlodm.pharm.whu.com.  IN    A    39.31.107.95
pvursoqw.pharm.whu.com.  IN    A    210.46.106.80
pjusorlt.pharm.whu.com.  IN    A    18.126.77.87
fwoaglyh.pharm.whu.com.  IN    A    66.158.195.58
dkcjxmei.pharm.whu.com.  IN    A    149.39.247.223
ifnlxmkp.pharm.whu.com.  IN    A    190.172.149.88
hyntrsgk.pharm.whu.com.  IN    A    103.207.189.232
djfmciul.pharm.whu.com.  IN    A    229.0.166.31
qjlpdowf.pharm.whu.com.  IN    A    251.249.200.90
uptebmog.pharm.whu.com.  IN    A    100.57.236.67
ivhdslae.pharm.whu.com.  IN    A    217.101.38.209
borqafgm.pharm.whu.com.  IN    A    197.58.80.89
nwjedkgo.pharm.whu.com.  IN    A    205.125.155.201
lxpqsyan.pharm.whu.com.  IN    A    45.105.6.92
jiqsybef.pharm.whu.com.  IN    A    25.157.148.32
kjxtrvhs.pharm.whu.com.  IN    A    134.220.113.75
qbipdewm.pharm.whu.com.  IN    A    230.178.235.83
wrjqphys.pharm.whu.com.  IN    A    132.195.223.248
jfkqlcys.pharm.whu.com.  IN    A    201.194.6.172
lmixqhpt.pharm.whu.com.  IN    A    128.148.50.195
igqtvywo.pharm.whu.com.  IN    A    33.66.147.62
hqjfmtpe.pharm.whu.com.  IN    A    137.43.252.203
ofhsaqmk.pharm.whu.com.  IN    A    230.193.87.252
caudwoqk.pharm.whu.com.  IN    A    81.127.192.8
iyoxkclq.pharm.whu.com.  IN    A    177.5.96.173
mxkvsqab.pharm.whu.com.  IN    A    212.129.191.59
pbmfjuex.pharm.whu.com.  IN    A    130.0.176.169
boyurikw.pharm.whu.com.  IN    A    165.87.211.60
rmfkytwd.pharm.whu.com.  IN    A    204.67.82.248
dbskuvri.pharm.whu.com.  IN    A    150.183.15.162
dajpwket.pharm.whu.com.  IN    A    177.226.98.226
dsmewbgf.pharm.whu.com.  IN    A    176.197.209.34
gnbxlosc.pharm.whu.com.  IN    A    23.238.82.36
ocxnsikr.pharm.whu.com.  IN    A    208.220.112.156
runwefyh.pharm.whu.com.  IN    A    240.250.115.32
dpmwbhkl.pharm.whu.com.  IN    A    86.51.1.118
ldrwaksm.pharm.whu.com.  IN    A    53.198.171.37
uyijregk.pharm.whu.com.  IN    A    152.161.148.0
tqmwnaps.pharm.whu.com.  IN    A    69.113.96.193
upxlrvtg.pharm.whu.com.  IN    A    84.102.218.87
kbhuvnfs.pharm.whu.com.  IN    A    238.100.209.213
sucjvhdt.pharm.whu.com.  IN    A    29.194.118.127
ndplechu.pharm.whu.com.  IN    A    6.19.99.136
lqdhbctu.pharm.whu.com.  IN    A    17.16.73.172
avuslwtr.pharm.whu.com.  IN    A    208.143.31.225
uoqxrfwt.pharm.whu.com.  IN    A    29.123.121.118
jxnqtepl.pharm.whu.com.  IN    A    255.1.25.45
felydoxp.pharm.whu.com.  IN    A    235.234.11.61
oucyvbwi.pharm.whu.com.  IN    A    78.190.18.54
pavsjwit.pharm.whu.com.  IN    A    174.20.55.232
tfvchame.pharm.whu.com.  IN    A    227.163.232.123
xklpveou.pharm.whu.com.  IN    A    212.46.210.16
agcfnbro.pharm.whu.com.  IN    A    191.129.161.216
cmjuarne.pharm.whu.com.  IN    A    26.132.173.186
yrjpeifa.pharm.whu.com.  IN    A    50.10.184.197
kifaunpb.pharm.whu.com.  IN    A    157.104.238.76
jmileqhs.pharm.whu.com.  IN    A    104.18.119.196
cngejuwr.pharm.whu.com.  IN    A    232.230.1.227
psehytfi.pharm.whu.com.  IN    A    5.179.30.100
nbrhqkiy.pharm.whu.com.  IN    A    19.219.79.56
njpwktry.pharm.whu.com.  IN    A    103.31.175.66
hqgovryu.pharm.whu.com.  IN    A    233.197.187.80
cumidgxl.pharm.whu.com.  IN    A    164.113.0.147
okagsehw.pharm.whu.com.  IN    A    100.19.129.116
ehpqlabm.pharm.whu.com.  IN    A    90.215.82.251
jwhbdenx.pharm.whu.com.  IN    A    96.32.5.171
ndiqmofp.pharm.whu.com.  IN    A    34.209.89.129
sarhtpuw.pharm.whu.com.  IN    A    233.43.51.192
tcyiunal.pharm.whu.com.  IN    A    143.218.231.108
bmslfrht.pharm.whu.com.  IN    A    149.198.3.238
cdxkuwyq.pharm.whu.com.  IN    A    252.180.190.65
unhygxeo.pharm.whu.com.  IN    A    161.51.41.229
wetrshda.pharm.whu.com.  IN    A    14.131.60.219
dtxajwci.pharm.whu.com.  IN    A    73.91.91.215
lsvqbmdc.pharm.whu.com.  IN    A    213.191.191.235
inykbmuv.pharm.whu.com.  IN    A    75.46.80.252
dvjtwbsr.pharm.whu.com.  IN    A    223.185.48.188
qvjrkeuo.pharm.whu.com.  IN    A    37.170.78.12
aulfcqwp.pharm.whu.com.  IN    A    60.178.159.242
dlijcatg.pharm.whu.com.  IN    A    142.48.56.59
jfucbxgr.pharm.whu.com.  IN    A    205.184.78.76
wpsioumb.pharm.whu.com.  IN    A    133.206.202.70
tqudcgye.pharm.whu.com.  IN    A    87.71.250.192
vlusrmai.pharm.whu.com.  IN    A    29.41.224.140
uonpsqwx.pharm.whu.com.  IN    A    88.231.167.83
fgoyvinr.pharm.whu.com.  IN    A    63.213.176.169
xtmjvfey.pharm.whu.com.  IN    A    246.108.31.244
sewcvaop.pharm.whu.com.  IN    A    210.71.203.143
evryjhcl.pharm.whu.com.  IN    A    200.201.16.32
yiavoprs.pharm.whu.com.  IN    A    203.173.65.125
tsvdbeox.pharm.whu.com.  IN    A    210.70.164.240
dflruspo.pharm.whu.com.  IN    A    128.215.221.251
gatwbriq.pharm.whu.com.  IN    A    76.225.83.128
jroxgpmu.pharm.whu.com.  IN    A    73.77.70.229
bjpqsdcf.pharm.whu.com.  IN    A    25.120.41.84
qwxilubv.pharm.whu.com.  IN    A    52.172.183.93
eclvfuta.pharm.whu.com.  IN    A    139.173.62.183
soimwjyc.pharm.whu.com.  IN    A    221.185.22.82
wvjaebil.pharm.whu.com.  IN    A    80.121.19.88
bekwgsmi.pharm.whu.com.  IN    A    39.122.103.203
okrxaqyw.pharm.whu.com.  IN    A    113.91.6.190
laqsyxtn.pharm.whu.com.  IN    A    182.248.141.83
ptsyjbhg.pharm.whu.com.  IN    A    174.119.44.60
sfcolgdk.pharm.whu.com.  IN    A    128.150.34.135
ctxdiuvl.pharm.whu.com.  IN    A    114.81.165.244
kywjexrl.pharm.whu.com.  IN    A    60.170.158.155
iqlprfhc.pharm.whu.com.  IN    A    199.28.109.27
muwkjght.pharm.whu.com.  IN    A    120.148.12.108
upidsfvw.pharm.whu.com.  IN    A    244.174.105.254
iweyujpk.pharm.whu.com.  IN    A    139.215.26.172
tqydrhoe.pharm.whu.com.  IN    A    34.235.228.90
knrvxiwp.pharm.whu.com.  IN    A    3.198.112.232
wnotrcgy.pharm.whu.com.  IN    A    167.73.153.46
gsfuvdel.pharm.whu.com.  IN    A    174.182.30.13
qstvdhbp.pharm.whu.com.  IN    A    21.220.46.179
kulciopg.pharm.whu.com.  IN    A    22.106.96.192
ymlsptga.pharm.whu.com.  IN    A    67.63.216.118
mcvwprgs.pharm.whu.com.  IN    A    30.104.209.252
biltsjdy.pharm.whu.com.  IN    A    109.116.120.95
dijykewh.pharm.whu.com.  IN    A    182.136.95.21
pbsdhxua.pharm.whu.com.  IN    A    82.43.40.226
ujbyhsno.pharm.whu.com.  IN    A    186.146.13.103
hwqufxbt.pharm.whu.com.  IN    A    180.0.123.73
nyfchliv.pharm.whu.com.  IN    A    66.201.9.247
cxylntea.pharm.whu.com.  IN    A    163.154.144.248
kfpyrqem.pharm.whu.com.  IN    A    112.140.100.98
humofksp.pharm.whu.com.  IN    A    217.89.201.5
egbirmvw.pharm.whu.com.  IN    A    20.39.94.165
fhjopmqd.pharm.whu.com.  IN    A    235.50.99.151
uogskpfn.pharm.whu.com.  IN    A    18.33.250.129
diwylbmo.pharm.whu.com.  IN    A    254.80.169.83
mofklrsx.pharm.whu.com.  IN    A    86.160.10.85
ypfktcxw.pharm.whu.com.  IN    A    15.84.56.224
kpxircyl.pharm.whu.com.  IN    A    2.33.65.77
jtvmaxer.pharm.whu.com.  IN    A    130.235.237.79
xlykaius.pharm.whu.com.  IN    A    51.113.229.111
gscvrfhw.pharm.whu.com.  IN    A    200.65.222.15
nkpcvqag.pharm.whu.com.  IN    A    82.24.87.70
lsvehkap.pharm.whu.com.  IN    A    123.72.218.237
bymikcev.pharm.whu.com.  IN    A    25.246.252.33
vnwdbosa.pharm.whu.com.  IN    A    221.225.248.248
swmhqdin.pharm.whu.com.  IN    A    44.140.81.151
ifwobpdn.pharm.whu.com.  IN    A    156.200.139.77
qpweibvo.pharm.whu.com.  IN    A    195.83.246.185
jgdvahck.pharm.whu.com.  IN    A    121.138.48.166
tpymiosa.pharm.whu.com.  IN    A    66.83.156.223
lesanwxo.pharm.whu.com.  IN    A    104.77.92.96
fnkmueqw.pharm.whu.com.  IN    A    187.226.113.10
kftovpdw.pharm.whu.com.  IN    A    103.244.230.194
lsfgboeh.pharm.whu.com.  IN    A    154.88.38.28
uvepqidx.pharm.whu.com.  IN    A    42.196.6.104
gctyokbu.pharm.whu.com.  IN    A    213.75.212.189
afneukqr.pharm.whu.com.  IN    A    154.226.161.87
lmfduewj.pharm.whu.com.  IN    A    183.1.83.220
tnigcbhr.pharm.whu.com.  IN    A    143.16.0.142
uvshoqfn.pharm.whu.com.  IN    A    208.232.26.117
uhcfstwo.pharm.whu.com.  IN    A    250.24.140.238
vlximgek.pharm.whu.com.  IN    A    66.210.71.35
gnxdkusw.pharm.whu.com.  IN    A    228.72.71.33
ohbdvwsy.pharm.whu.com.  IN    A    70.192.107.42
afljckpb.pharm.whu.com.  IN    A    115.50.172.50
nqfuhpjb.pharm.whu.com.  IN    A    241.163.171.47
njfceihk.pharm.whu.com.  IN    A    115.2.115.220
jrihqebs.pharm.whu.com.  IN    A    168.232.100.237
bxmivsfh.pharm.whu.com.  IN    A    94.18.97.94
tcgokdxp.pharm.whu.com.  IN    A    243.93.59.42
qsunkxor.pharm.whu.com.  IN    A    29.180.196.42
iyuhrwbt.pharm.whu.com.  IN    A    40.175.230.111
bmfscpkx.pharm.whu.com.  IN    A    237.151.182.211
ohgwdrqf.pharm.whu.com.  IN    A    10.11.59.247
najemotx.pharm.whu.com.  IN    A    155.31.116.226
dtnsouaj.pharm.whu.com.  IN    A    98.45.136.9
tmyhgleb.pharm.whu.com.  IN    A    106.20.66.178
ycwasbnk.pharm.whu.com.  IN    A    21.157.89.239
evyasrbk.pharm.whu.com.  IN    A    142.174.145.135
smctpihq.pharm.whu.com.  IN    A    192.211.213.140
xjvkhmid.pharm.whu.com.  IN    A    230.158.42.209
kxwopgsd.pharm.whu.com.  IN    A    192.131.179.222
kyhcgpjt.pharm.whu.com.  IN    A    252.120.182.221
echyvgqs.pharm.whu.com.  IN    A    48.240.51.188
jvtycrhw.pharm.whu.com.  IN    A    193.100.106.248
ykiegrbo.pharm.whu.com.  IN    A    105.91.36.9
lkorxpef.pharm.whu.com.  IN    A    107.231.227.91
nqtjodku.pharm.whu.com.  IN    A    234.202.57.12
ieplbcrg.pharm.whu.com.  IN    A    26.54.39.79
cmnwvyxp.pharm.whu.com.  IN    A    16.85.14.154
bacuofpn.pharm.whu.com.  IN    A    168.19.224.41
wegkmqbt.pharm.whu.com.  IN    A    225.105.218.41
xepbcjno.pharm.whu.com.  IN    A    169.184.128.148
gqiljeyv.pharm.whu.com.  IN    A    8.213.126.135
nxyfkreh.pharm.whu.com.  IN    A    187.195.81.185
isdaypqc.pharm.whu.com.  IN    A    145.24.25.81
jekbwvto.pharm.whu.com.  IN    A    7.152.0.138
xayprlfi.pharm.whu.com.  IN    A    130.146.242.17
yrhtiplg.pharm.whu.com.  IN    A    204.53.87.23
ldfmopsb.pharm.whu.com.  IN    A    197.220.177.166
vmrjukog.pharm.whu.com.  IN    A    231.69.238.155
oswpafbh.pharm.whu.com.  IN    A    246.199.167.200
ugwcoeay.pharm.whu.com.  IN    A    86.194.1.120
snumldoj.pharm.whu.com.  IN    A    69.13.44.208
eiswjtvb.pharm.whu.com.  IN    A    247.22.21.204
fmbprktn.pharm.whu.com.  IN    A    124.194.188.223
tcbykruh.pharm.whu.com.  IN    A    35.178.111.146
tuoxdjac.pharm.whu.com.  IN    A    120.183.105.48
srgfvnok.pharm.whu.com.  IN    A    43.188.164.232
uxodljpi.pharm.whu.com.  IN    A    184.200.188.5
angmikld.pharm.whu.com.  IN    A    107.17.240.184
nvxqsbko.pharm.whu.com.  IN    A    19.74.108.202
atxmiyen.pharm.whu.com.  IN    A    1.12.87.189
tjescfao.pharm.whu.com.  IN    A    175.170.164.43
yaouhwnr.pharm.whu.com.  IN    A    21.215.243.195
turvsbpx.pharm.whu.com.  IN    A    246.81.46.163
rwlkcduf.pharm.whu.com.  IN    A    233.195.218.152
fqpwlrmg.pharm.whu.com.  IN    A    229.174.210.73
gifyrvxn.pharm.whu.com.  IN    A    82.96.7.225
bfphirex.pharm.whu.com.  IN    A    8.129.116.224
xprtelkv.pharm.whu.com.  IN    A    18.182.209.227
qyhdkrfg.pharm.whu.com.  IN    A    23.223.66.191
wjmufgri.pharm.whu.com.  IN    A    110.140.113.120
wljmohiu.pharm.whu.com.  IN    A    193.105.189.62
mhpfovgl.pharm.whu.com.  IN    A    209.239.52.111
xynbirhq.pharm.whu.com.  IN    A    163.16.242.25
dlnjveqm.pharm.whu.com.  IN    A    59.42.24.118
wbjvtldh.pharm.whu.com.  IN    A    69.169.59.33
hugbjmlr.pharm.whu.com.  IN    A    134.78.61.40
wsyprmjt.pharm.whu.com.  IN    A    93.35.5.213
ibqmjfwr.pharm.whu.com.  IN    A    143.10.43.151
gnhowpfm.pharm.whu.com.  IN    A    62.71.210.41
mvfuqaor.pharm.whu.com.  IN    A    77.58.191.163
gsuktlmb.pharm.whu.com.  IN    A    62.130.150.188
jcpmsgyw.pharm.whu.com.  IN    A    10.161.183.121
nvymcatl.pharm.whu.com.  IN    A    241.227.33.17
ylsrbjnp.pharm.whu.com.  IN    A    60.174.23.146
fyhlxpvu.pharm.whu.com.  IN    A    65.131.78.114
cuvoregh.pharm.whu.com.  IN    A    0.75.31.250
svdagexo.pharm.whu.com.  IN    A    40.79.183.127
oykqcild.pharm.whu.com.  IN    A    20.202.236.255
gxecifto.pharm.whu.com.  IN    A    136.31.3.34
oukaxypv.pharm.whu.com.  IN    A    8.80.71.125
lsxoqdwk.pharm.whu.com.  IN    A    204.11.232.202
utsgceay.pharm.whu.com.  IN    A    232.163.58.255
oglkjeqx.pharm.whu.com.  IN    A    65.190.132.177
litpxjob.pharm.whu.com.  IN    A    229.253.145.197
rvjsktpg.pharm.whu.com.  IN    A    239.132.233.219
ntdbmegf.pharm.whu.com.  IN    A    136.194.142.191
ojtkplbx.pharm.whu.com.  IN    A    112.165.19.103
bscmwtdf.pharm.whu.com.  IN    A    234.73.48.19
vockupsj.pharm.whu.com.  IN    A    109.218.47.252
ugiamjcd.pharm.whu.com.  IN    A    172.250.242.198
jxlvwean.pharm.whu.com.  IN    A    48.220.189.238
drxikofu.pharm.whu.com.  IN    A    102.78.107.60
usmgoapr.pharm.whu.com.  IN    A    250.101.185.167
