sm.xmu.com.	14400	IN	SOA	ns1.sm.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
sm.xmu.com.		    IN	NS ns1.sm.xmu.com.
hjalecmn.sm.xmu.com.     IN    A    118.249.116.165
xflnjckd.sm.xmu.com.     IN    A    195.54.217.227
navlmoib.sm.xmu.com.     IN    A    251.64.229.108
gehxvajc.sm.xmu.com.     IN    A    124.5.195.0
qyevbtiu.sm.xmu.com.     IN    A    208.188.252.74
nbflrmxw.sm.xmu.com.     IN    A    144.230.78.53
vgcsnwba.sm.xmu.com.     IN    A    26.32.202.143
teqfsnpk.sm.xmu.com.     IN    A    97.118.141.31
foaqrvek.sm.xmu.com.     IN    A    77.113.100.241
ytshwnxa.sm.xmu.com.     IN    A    12.54.156.209
yquiovbd.sm.xmu.com.     IN    A    182.180.109.96
qnhepkbj.sm.xmu.com.     IN    A    21.105.0.63
jgusknec.sm.xmu.com.     IN    A    72.76.186.87
ijopvrsf.sm.xmu.com.     IN    A    188.183.225.13
vomwcsiy.sm.xmu.com.     IN    A    92.105.14.80
fvglpbta.sm.xmu.com.     IN    A    244.26.170.116
fwuesghi.sm.xmu.com.     IN    A    214.81.49.135
qjorgkfw.sm.xmu.com.     IN    A    112.160.79.73
miorahfv.sm.xmu.com.     IN    A    60.126.240.149
hyfsicjm.sm.xmu.com.     IN    A    188.105.149.92
swaepldc.sm.xmu.com.     IN    A    56.112.120.121
jcafkqml.sm.xmu.com.     IN    A    183.4.151.113
lehwburi.sm.xmu.com.     IN    A    11.135.33.95
favkrejy.sm.xmu.com.     IN    A    4.148.54.98
igajsvxp.sm.xmu.com.     IN    A    148.174.45.82
xmvfjqwt.sm.xmu.com.     IN    A    253.20.253.220
mtkxsrlj.sm.xmu.com.     IN    A    59.164.205.49
dolivjpt.sm.xmu.com.     IN    A    210.144.58.35
rukdotxn.sm.xmu.com.     IN    A    251.52.125.167
drbanhfg.sm.xmu.com.     IN    A    106.7.95.58
oflrqukb.sm.xmu.com.     IN    A    162.133.102.251
psdnfibe.sm.xmu.com.     IN    A    120.53.216.220
nfotelrv.sm.xmu.com.     IN    A    203.109.86.239
mborscdh.sm.xmu.com.     IN    A    200.85.73.230
fbikmtpj.sm.xmu.com.     IN    A    106.102.172.17
ukdrsmqc.sm.xmu.com.     IN    A    246.37.101.31
ybmpqcuj.sm.xmu.com.     IN    A    115.205.215.28
vlaektxs.sm.xmu.com.     IN    A    245.50.80.24
ayhoijfq.sm.xmu.com.     IN    A    27.125.126.135
vaikjmpg.sm.xmu.com.     IN    A    212.144.217.72
yhiksqol.sm.xmu.com.     IN    A    220.104.23.93
juhksfib.sm.xmu.com.     IN    A    223.77.192.174
drlpgfin.sm.xmu.com.     IN    A    251.29.126.148
oscxfedn.sm.xmu.com.     IN    A    200.249.149.241
meaukytg.sm.xmu.com.     IN    A    8.87.197.234
kmqbracl.sm.xmu.com.     IN    A    108.181.44.210
sugwxcvb.sm.xmu.com.     IN    A    190.71.124.138
tyregmxo.sm.xmu.com.     IN    A    21.51.95.73
hdanypgx.sm.xmu.com.     IN    A    59.210.108.188
sfehdgkv.sm.xmu.com.     IN    A    214.12.24.3
ldrhwqbv.sm.xmu.com.     IN    A    6.216.105.141
umkqbpxl.sm.xmu.com.     IN    A    208.68.95.90
tkgbjxcq.sm.xmu.com.     IN    A    171.152.150.223
xotrdiqp.sm.xmu.com.     IN    A    153.182.24.12
utkeahvj.sm.xmu.com.     IN    A    77.143.58.195
usaitejr.sm.xmu.com.     IN    A    156.226.98.114
jmfrypei.sm.xmu.com.     IN    A    116.16.75.64
rohvlpdi.sm.xmu.com.     IN    A    215.176.189.218
wltnoakc.sm.xmu.com.     IN    A    11.109.50.102
tleughir.sm.xmu.com.     IN    A    222.211.115.61
sfguwvid.sm.xmu.com.     IN    A    77.120.58.85
mkfpyqwb.sm.xmu.com.     IN    A    161.65.132.193
nteqibfj.sm.xmu.com.     IN    A    160.224.196.17
cujsorxl.sm.xmu.com.     IN    A    39.58.166.213
kcjshbpd.sm.xmu.com.     IN    A    177.127.57.113
dmsiyvho.sm.xmu.com.     IN    A    150.174.58.103
nkujtior.sm.xmu.com.     IN    A    103.36.255.168
utaqbedm.sm.xmu.com.     IN    A    31.229.101.35
lwikjbve.sm.xmu.com.     IN    A    29.248.74.90
utpjgmhf.sm.xmu.com.     IN    A    151.75.64.158
vsfmjryb.sm.xmu.com.     IN    A    48.186.85.9
chsutjka.sm.xmu.com.     IN    A    98.71.91.59
muktyhxw.sm.xmu.com.     IN    A    67.237.92.200
nghofqrs.sm.xmu.com.     IN    A    87.130.63.240
jchxiwlr.sm.xmu.com.     IN    A    58.211.108.173
gtsfoqre.sm.xmu.com.     IN    A    232.73.84.198
fxetpvry.sm.xmu.com.     IN    A    246.124.205.114
ivadfhop.sm.xmu.com.     IN    A    59.143.96.37
jxwnurbs.sm.xmu.com.     IN    A    155.250.125.62
xtdjufhv.sm.xmu.com.     IN    A    103.152.0.32
fkgrotyl.sm.xmu.com.     IN    A    107.254.31.198
yhfgwrkn.sm.xmu.com.     IN    A    160.149.9.202
hysnfukr.sm.xmu.com.     IN    A    107.154.204.151
qpuxlfnd.sm.xmu.com.     IN    A    2.197.94.179
isakthpj.sm.xmu.com.     IN    A    20.204.193.126
hqkbsjfg.sm.xmu.com.     IN    A    157.203.24.107
tdqksmyo.sm.xmu.com.     IN    A    237.174.13.238
fgwqdcep.sm.xmu.com.     IN    A    121.243.214.79
jdpaoweb.sm.xmu.com.     IN    A    83.190.8.78
clxureqo.sm.xmu.com.     IN    A    147.150.30.123
aekxcylb.sm.xmu.com.     IN    A    68.28.199.70
gfxlwobq.sm.xmu.com.     IN    A    16.167.21.61
gfvcyrtm.sm.xmu.com.     IN    A    17.25.31.252
hnkcatop.sm.xmu.com.     IN    A    18.82.175.236
gfikylrt.sm.xmu.com.     IN    A    239.246.136.40
frcmkvid.sm.xmu.com.     IN    A    83.218.123.211
bfyjlowq.sm.xmu.com.     IN    A    52.64.39.238
cqowxveb.sm.xmu.com.     IN    A    31.156.246.22
dxrtwshc.sm.xmu.com.     IN    A    99.32.209.255
qmvjxfkr.sm.xmu.com.     IN    A    227.47.36.246
ibwldaxo.sm.xmu.com.     IN    A    157.1.149.253
jkuilops.sm.xmu.com.     IN    A    120.223.59.190
narueypf.sm.xmu.com.     IN    A    2.193.142.150
afglpyub.sm.xmu.com.     IN    A    87.26.96.28
kjbipayq.sm.xmu.com.     IN    A    131.224.206.252
wuielkyb.sm.xmu.com.     IN    A    248.236.8.113
opnrykcm.sm.xmu.com.     IN    A    52.138.44.206
coasgmbi.sm.xmu.com.     IN    A    78.52.49.92
jepatndo.sm.xmu.com.     IN    A    157.114.74.207
xkbulqvg.sm.xmu.com.     IN    A    101.242.26.131
ujfslxok.sm.xmu.com.     IN    A    83.51.50.91
jglhivdw.sm.xmu.com.     IN    A    251.175.134.135
uietycpd.sm.xmu.com.     IN    A    33.136.41.8
tgpsqfxk.sm.xmu.com.     IN    A    182.46.199.74
oulmsgta.sm.xmu.com.     IN    A    205.74.32.164
xtlhorqk.sm.xmu.com.     IN    A    119.65.55.13
iwucnxav.sm.xmu.com.     IN    A    230.237.243.3
mfpoaktl.sm.xmu.com.     IN    A    62.131.177.52
hcymjoqs.sm.xmu.com.     IN    A    107.233.70.128
ceuwjkra.sm.xmu.com.     IN    A    93.6.212.132
krdphoxc.sm.xmu.com.     IN    A    94.247.81.123
kofutqgj.sm.xmu.com.     IN    A    180.215.187.224
pgkhxjsa.sm.xmu.com.     IN    A    225.255.231.91
yxjuqioa.sm.xmu.com.     IN    A    21.200.152.32
monaufky.sm.xmu.com.     IN    A    247.29.63.79
cuatrmie.sm.xmu.com.     IN    A    143.179.57.62
rgntsiyf.sm.xmu.com.     IN    A    27.81.178.136
askfhrot.sm.xmu.com.     IN    A    13.156.143.176
xiljnfqc.sm.xmu.com.     IN    A    52.85.84.0
dngjiqyp.sm.xmu.com.     IN    A    118.239.210.247
akxcdwfb.sm.xmu.com.     IN    A    93.61.51.88
fritseoy.sm.xmu.com.     IN    A    50.142.211.101
pyromadi.sm.xmu.com.     IN    A    246.164.228.4
lebdjkxi.sm.xmu.com.     IN    A    83.11.209.126
nbipytkc.sm.xmu.com.     IN    A    108.184.152.47
kjxhavme.sm.xmu.com.     IN    A    94.186.83.108
foqwrbxm.sm.xmu.com.     IN    A    55.111.200.120
nlgituew.sm.xmu.com.     IN    A    225.240.47.179
yjrhevfs.sm.xmu.com.     IN    A    228.6.138.144
sephmotr.sm.xmu.com.     IN    A    129.139.44.81
svldokha.sm.xmu.com.     IN    A    237.58.64.188
lgbshcod.sm.xmu.com.     IN    A    192.28.180.240
ulythkvj.sm.xmu.com.     IN    A    117.45.67.88
cfwlvdjn.sm.xmu.com.     IN    A    59.245.182.94
tfihlbcs.sm.xmu.com.     IN    A    48.240.45.122
xoqvbwre.sm.xmu.com.     IN    A    99.119.125.107
byfnlmqi.sm.xmu.com.     IN    A    180.95.39.150
ajfhbedp.sm.xmu.com.     IN    A    116.202.185.119
ukiyngjx.sm.xmu.com.     IN    A    166.82.241.51
bktlisdv.sm.xmu.com.     IN    A    6.53.1.124
gkxcovjn.sm.xmu.com.     IN    A    1.190.116.57
gfdajebt.sm.xmu.com.     IN    A    216.201.9.177
ogpwefvs.sm.xmu.com.     IN    A    184.116.29.115
rspmfeux.sm.xmu.com.     IN    A    110.115.225.164
elvmdkyu.sm.xmu.com.     IN    A    95.183.203.152
qbvtengs.sm.xmu.com.     IN    A    38.99.217.76
gscdojyf.sm.xmu.com.     IN    A    170.97.103.51
tvfqgopj.sm.xmu.com.     IN    A    226.116.5.36
dmfogjce.sm.xmu.com.     IN    A    124.220.216.74
kivnjpsf.sm.xmu.com.     IN    A    23.182.199.86
iolfsxru.sm.xmu.com.     IN    A    179.190.244.41
xkeqtnvu.sm.xmu.com.     IN    A    160.83.249.22
alpmgvoj.sm.xmu.com.     IN    A    125.12.87.105
uxfqrvyn.sm.xmu.com.     IN    A    197.160.44.87
ybqlxdsi.sm.xmu.com.     IN    A    17.208.228.234
xdjpeavo.sm.xmu.com.     IN    A    53.70.151.163
vkhlfpio.sm.xmu.com.     IN    A    30.129.162.146
awglctrj.sm.xmu.com.     IN    A    54.214.87.202
wctjdphi.sm.xmu.com.     IN    A    193.185.96.187
udngprse.sm.xmu.com.     IN    A    70.152.18.48
kuleocvg.sm.xmu.com.     IN    A    12.109.213.41
ckwbxjud.sm.xmu.com.     IN    A    43.73.207.121
cgvjoqls.sm.xmu.com.     IN    A    91.111.166.169
ckxudbhj.sm.xmu.com.     IN    A    147.144.160.3
eylgxfnb.sm.xmu.com.     IN    A    63.120.6.102
bcjoqgwa.sm.xmu.com.     IN    A    29.38.228.246
cyurgljx.sm.xmu.com.     IN    A    204.200.235.194
lnakthwv.sm.xmu.com.     IN    A    240.175.195.3
ktfweqyl.sm.xmu.com.     IN    A    212.128.23.67
xwjtgqlu.sm.xmu.com.     IN    A    40.60.201.231
dnxfqges.sm.xmu.com.     IN    A    89.84.191.36
krfcynlv.sm.xmu.com.     IN    A    27.119.191.127
efajligw.sm.xmu.com.     IN    A    24.107.211.212
oewqfckh.sm.xmu.com.     IN    A    114.38.123.44
hqjaitdc.sm.xmu.com.     IN    A    196.101.44.90
dgepryks.sm.xmu.com.     IN    A    25.50.7.239
chmiyfrl.sm.xmu.com.     IN    A    24.178.19.93
qofvgiys.sm.xmu.com.     IN    A    2.104.252.45
rmnboxvl.sm.xmu.com.     IN    A    90.99.10.154
wxvksrai.sm.xmu.com.     IN    A    204.36.240.77
fxejirtd.sm.xmu.com.     IN    A    66.46.207.51
eakmqpsn.sm.xmu.com.     IN    A    79.166.108.234
dspuhqkw.sm.xmu.com.     IN    A    57.45.155.225
gwerlyij.sm.xmu.com.     IN    A    203.226.65.102
rhlivfuc.sm.xmu.com.     IN    A    133.49.43.17
fyjotlwv.sm.xmu.com.     IN    A    28.133.26.218
juilvmfe.sm.xmu.com.     IN    A    56.163.82.235
vydqotpr.sm.xmu.com.     IN    A    34.124.157.166
abirdmxj.sm.xmu.com.     IN    A    241.121.206.139
qopylwcg.sm.xmu.com.     IN    A    223.197.133.30
caosvkxj.sm.xmu.com.     IN    A    158.21.212.190
ivdkpenm.sm.xmu.com.     IN    A    63.57.11.194
ygdkrxoh.sm.xmu.com.     IN    A    172.210.130.113
tnmysivl.sm.xmu.com.     IN    A    10.37.156.182
oritexwu.sm.xmu.com.     IN    A    186.180.237.218
knjalbpu.sm.xmu.com.     IN    A    138.127.79.136
akopqybv.sm.xmu.com.     IN    A    64.203.144.164
amftpiov.sm.xmu.com.     IN    A    4.240.51.84
fexniymg.sm.xmu.com.     IN    A    39.213.120.108
hdxomlip.sm.xmu.com.     IN    A    127.229.49.75
xlrumiko.sm.xmu.com.     IN    A    54.104.213.134
micwsenk.sm.xmu.com.     IN    A    162.32.111.210
fndslhvo.sm.xmu.com.     IN    A    236.196.63.6
geyqcsmi.sm.xmu.com.     IN    A    247.197.21.191
awvfmbny.sm.xmu.com.     IN    A    80.137.227.255
ugkaxbjh.sm.xmu.com.     IN    A    148.173.83.61
wgusankj.sm.xmu.com.     IN    A    200.253.124.71
edbnsrwu.sm.xmu.com.     IN    A    251.66.234.37
dhpsxnqo.sm.xmu.com.     IN    A    194.66.131.166
fkeoacsm.sm.xmu.com.     IN    A    219.75.6.216
smetwaxg.sm.xmu.com.     IN    A    120.18.222.242
snlhfibo.sm.xmu.com.     IN    A    113.243.161.61
kibqcnrg.sm.xmu.com.     IN    A    144.248.156.106
focvuwbi.sm.xmu.com.     IN    A    102.180.160.31
yrhjkgiw.sm.xmu.com.     IN    A    187.59.161.113
ctgwrsba.sm.xmu.com.     IN    A    69.175.225.87
ibvweoyc.sm.xmu.com.     IN    A    177.215.188.100
gdltaxkf.sm.xmu.com.     IN    A    40.229.213.43
xouchnks.sm.xmu.com.     IN    A    75.86.89.224
injaqbmw.sm.xmu.com.     IN    A    140.16.50.28
wmcrlhnv.sm.xmu.com.     IN    A    195.141.250.124
ljdeirwo.sm.xmu.com.     IN    A    190.250.2.150
mdfcywjv.sm.xmu.com.     IN    A    147.2.226.195
kxhsvdcm.sm.xmu.com.     IN    A    125.3.240.48
ifesduvw.sm.xmu.com.     IN    A    149.66.165.183
thclwyjp.sm.xmu.com.     IN    A    150.118.87.242
qlbxvhjs.sm.xmu.com.     IN    A    90.14.118.155
ikjywvpa.sm.xmu.com.     IN    A    1.186.102.225
xumjiagt.sm.xmu.com.     IN    A    155.98.215.152
guxycjfi.sm.xmu.com.     IN    A    138.89.109.56
viqdrjyh.sm.xmu.com.     IN    A    157.230.78.92
kdgfasby.sm.xmu.com.     IN    A    24.64.17.254
rwfgdimx.sm.xmu.com.     IN    A    162.230.104.129
hkjpsxbf.sm.xmu.com.     IN    A    247.93.86.253
awvducng.sm.xmu.com.     IN    A    69.49.82.4
ncwhqpxm.sm.xmu.com.     IN    A    3.206.48.214
ugfrebqh.sm.xmu.com.     IN    A    178.139.60.219
gnsifrej.sm.xmu.com.     IN    A    69.82.3.44
fhqoxijy.sm.xmu.com.     IN    A    39.14.56.46
itaconpm.sm.xmu.com.     IN    A    169.80.103.154
wjltpexv.sm.xmu.com.     IN    A    154.113.214.33
cwusdkmy.sm.xmu.com.     IN    A    190.96.214.199
stekcabr.sm.xmu.com.     IN    A    129.183.84.21
vhgxqyea.sm.xmu.com.     IN    A    147.222.165.242
slakotpg.sm.xmu.com.     IN    A    74.190.170.34
wefsgrqv.sm.xmu.com.     IN    A    222.225.161.98
tuqnrycb.sm.xmu.com.     IN    A    160.3.42.244
ywahjlrf.sm.xmu.com.     IN    A    200.1.190.192
nxmqvayj.sm.xmu.com.     IN    A    195.240.76.146
vdfwuoqh.sm.xmu.com.     IN    A    245.209.230.6
wjbvprsn.sm.xmu.com.     IN    A    41.177.18.115
lsxjdkyn.sm.xmu.com.     IN    A    97.18.109.158
nrhkldut.sm.xmu.com.     IN    A    238.243.166.155
wadxrpmo.sm.xmu.com.     IN    A    49.134.58.2
hnikwjru.sm.xmu.com.     IN    A    174.129.55.238
dhuxblca.sm.xmu.com.     IN    A    95.232.231.186
dwgsficm.sm.xmu.com.     IN    A    3.211.236.99
gceopmfn.sm.xmu.com.     IN    A    89.118.28.252
gwomfndv.sm.xmu.com.     IN    A    47.180.142.30
skxoahdm.sm.xmu.com.     IN    A    47.88.219.121
aykdsrhb.sm.xmu.com.     IN    A    179.248.222.214
nrjsyvtd.sm.xmu.com.     IN    A    14.130.24.3
sydkhmoj.sm.xmu.com.     IN    A    23.21.5.120
anqmrdtk.sm.xmu.com.     IN    A    108.50.38.14
cmagxsul.sm.xmu.com.     IN    A    244.221.163.219
apoqgkfh.sm.xmu.com.     IN    A    217.71.217.214
xfbkwymq.sm.xmu.com.     IN    A    220.226.58.91
mweopcha.sm.xmu.com.     IN    A    225.175.100.221
eoxgqhat.sm.xmu.com.     IN    A    213.189.96.108
istrukag.sm.xmu.com.     IN    A    78.186.30.181
aodfncwg.sm.xmu.com.     IN    A    52.10.179.150
tiluqrgx.sm.xmu.com.     IN    A    124.231.206.247
mhifyove.sm.xmu.com.     IN    A    72.96.75.201
rnqpjofh.sm.xmu.com.     IN    A    229.51.176.163
jswxlvdn.sm.xmu.com.     IN    A    132.94.29.153
oqcuebpt.sm.xmu.com.     IN    A    180.219.211.199
qsvebyxm.sm.xmu.com.     IN    A    141.116.200.247
vmtgbowq.sm.xmu.com.     IN    A    79.145.34.12
jiytevqw.sm.xmu.com.     IN    A    251.181.22.113
qurlsadw.sm.xmu.com.     IN    A    178.63.105.15
yotvdipx.sm.xmu.com.     IN    A    0.7.79.52
hgokpyca.sm.xmu.com.     IN    A    5.43.228.201
sxlvkubc.sm.xmu.com.     IN    A    90.127.203.152
kmlcxuap.sm.xmu.com.     IN    A    222.202.233.59
onvjhsmx.sm.xmu.com.     IN    A    120.174.102.156
fiwhumvn.sm.xmu.com.     IN    A    204.144.106.140
pjcvsdmg.sm.xmu.com.     IN    A    67.125.141.12
dyjvmtsr.sm.xmu.com.     IN    A    39.154.47.87
acvedsnt.sm.xmu.com.     IN    A    86.215.130.157
nydeihjb.sm.xmu.com.     IN    A    7.80.183.89
kjshgxur.sm.xmu.com.     IN    A    89.189.136.67
kdtuswxq.sm.xmu.com.     IN    A    157.7.193.237
kphboveq.sm.xmu.com.     IN    A    237.37.194.156
djavwpku.sm.xmu.com.     IN    A    83.85.235.163
cbadyvjm.sm.xmu.com.     IN    A    96.127.181.100
eartmnis.sm.xmu.com.     IN    A    253.75.175.125
fspgjvea.sm.xmu.com.     IN    A    251.252.118.61
aitpghjo.sm.xmu.com.     IN    A    83.75.19.254
hensgtql.sm.xmu.com.     IN    A    55.50.142.24
gaobmpiw.sm.xmu.com.     IN    A    82.189.120.180
xgjatqdo.sm.xmu.com.     IN    A    33.29.15.130
asmwtxdv.sm.xmu.com.     IN    A    89.111.219.184
jgothliy.sm.xmu.com.     IN    A    133.93.98.77
fwcmvbxn.sm.xmu.com.     IN    A    107.211.188.159
yajpruot.sm.xmu.com.     IN    A    108.75.41.53
abmrfekx.sm.xmu.com.     IN    A    50.45.120.102
edovqsyu.sm.xmu.com.     IN    A    228.178.67.29
xmhriusb.sm.xmu.com.     IN    A    112.67.115.8
dginpubx.sm.xmu.com.     IN    A    55.0.111.171
uchvxqft.sm.xmu.com.     IN    A    125.208.197.140
bvgfxpcw.sm.xmu.com.     IN    A    146.66.103.14
eqmsbtnh.sm.xmu.com.     IN    A    86.43.193.212
hojulfpb.sm.xmu.com.     IN    A    18.34.197.7
xvwhlnob.sm.xmu.com.     IN    A    217.61.70.126
wghdqptn.sm.xmu.com.     IN    A    58.137.196.172
ipwhjsco.sm.xmu.com.     IN    A    171.191.194.45
kswgelmi.sm.xmu.com.     IN    A    255.75.36.255
pgkfoxec.sm.xmu.com.     IN    A    120.32.67.226
cmnvahpx.sm.xmu.com.     IN    A    200.121.194.57
msxctjdv.sm.xmu.com.     IN    A    37.67.84.216
hngtjpbo.sm.xmu.com.     IN    A    65.27.61.187
bpjlcaht.sm.xmu.com.     IN    A    75.237.233.182
apldfcxn.sm.xmu.com.     IN    A    171.162.19.140
oetirbcx.sm.xmu.com.     IN    A    81.225.111.165
ypsibalh.sm.xmu.com.     IN    A    115.86.14.218
pbkalcdn.sm.xmu.com.     IN    A    148.2.38.97
rlcmkahb.sm.xmu.com.     IN    A    176.36.127.129
fisowrux.sm.xmu.com.     IN    A    107.208.238.245
qyenxalh.sm.xmu.com.     IN    A    253.55.209.98
afyvqcsb.sm.xmu.com.     IN    A    121.197.181.226
bkfrjwcg.sm.xmu.com.     IN    A    211.133.147.195
psyirguk.sm.xmu.com.     IN    A    4.28.164.111
nibayejg.sm.xmu.com.     IN    A    167.15.89.193
lqimjuan.sm.xmu.com.     IN    A    84.157.161.196
dtgbiecr.sm.xmu.com.     IN    A    48.136.190.123
mbaiosdk.sm.xmu.com.     IN    A    157.7.75.64
iefxkthj.sm.xmu.com.     IN    A    156.147.148.10
mqyegrps.sm.xmu.com.     IN    A    155.179.75.242
gltnmhcd.sm.xmu.com.     IN    A    240.35.109.85
nwopechl.sm.xmu.com.     IN    A    178.46.168.7
kxhycfsi.sm.xmu.com.     IN    A    71.7.221.112
rwebmtva.sm.xmu.com.     IN    A    118.49.215.242
txmvjcdu.sm.xmu.com.     IN    A    156.213.23.79
fupojaqk.sm.xmu.com.     IN    A    187.137.119.139
usighrfn.sm.xmu.com.     IN    A    233.74.110.243
ifesqjom.sm.xmu.com.     IN    A    159.115.25.5
tijnfpsl.sm.xmu.com.     IN    A    237.54.7.196
qfsmagpj.sm.xmu.com.     IN    A    1.210.140.119
creqlioj.sm.xmu.com.     IN    A    22.99.133.12
nkewvypm.sm.xmu.com.     IN    A    147.78.4.70
dtacveql.sm.xmu.com.     IN    A    184.95.29.80
ljbetsmk.sm.xmu.com.     IN    A    24.83.59.81
npqrgbmx.sm.xmu.com.     IN    A    48.11.133.16
lrcsjadu.sm.xmu.com.     IN    A    99.153.91.207
mlqkxrtf.sm.xmu.com.     IN    A    156.39.25.187
asuwqdkn.sm.xmu.com.     IN    A    126.12.71.243
hmcdklqo.sm.xmu.com.     IN    A    224.248.34.53
bpgtalme.sm.xmu.com.     IN    A    251.89.121.240
vojsahek.sm.xmu.com.     IN    A    96.11.30.222
taiydflq.sm.xmu.com.     IN    A    42.82.56.243
gxqajbtu.sm.xmu.com.     IN    A    171.199.16.98
dwvcunkr.sm.xmu.com.     IN    A    7.4.210.21
qvwckfrn.sm.xmu.com.     IN    A    109.57.191.105
rbufxohp.sm.xmu.com.     IN    A    13.117.124.42
faursphw.sm.xmu.com.     IN    A    124.75.82.143
yvaogrjs.sm.xmu.com.     IN    A    73.55.197.64
jhbsdoeq.sm.xmu.com.     IN    A    215.101.34.43
imwfrpjx.sm.xmu.com.     IN    A    235.191.158.88
pdlykgut.sm.xmu.com.     IN    A    160.231.144.194
eutnimfk.sm.xmu.com.     IN    A    239.42.192.193
exktpdfh.sm.xmu.com.     IN    A    171.71.133.142
lectbsga.sm.xmu.com.     IN    A    172.228.47.197
vflqotuc.sm.xmu.com.     IN    A    175.212.164.108
kjfvcwdr.sm.xmu.com.     IN    A    45.146.43.204
hwdfvrkb.sm.xmu.com.     IN    A    119.198.93.58
awfsrvkt.sm.xmu.com.     IN    A    2.48.73.240
oubtkwcj.sm.xmu.com.     IN    A    91.49.29.189
yevxqgti.sm.xmu.com.     IN    A    65.253.42.16
ckfmatdq.sm.xmu.com.     IN    A    186.99.166.250
reiajylg.sm.xmu.com.     IN    A    18.231.245.97
rftqvdsn.sm.xmu.com.     IN    A    99.119.130.2
qmvsyubd.sm.xmu.com.     IN    A    98.226.217.124
fkluhiyd.sm.xmu.com.     IN    A    208.212.95.22
qelwyajx.sm.xmu.com.     IN    A    215.34.20.236
epvoadrq.sm.xmu.com.     IN    A    176.98.7.206
kpbeuvsl.sm.xmu.com.     IN    A    0.49.219.138
gnxklowp.sm.xmu.com.     IN    A    214.124.98.67
bmdrlogi.sm.xmu.com.     IN    A    209.127.51.151
herpfuik.sm.xmu.com.     IN    A    192.58.6.95
srihkulo.sm.xmu.com.     IN    A    107.133.2.254
mnxoebck.sm.xmu.com.     IN    A    22.250.199.15
cjnvwdqm.sm.xmu.com.     IN    A    153.87.241.60
uenrbfki.sm.xmu.com.     IN    A    67.83.7.92
nctkwiou.sm.xmu.com.     IN    A    32.216.251.192
avlgwhcm.sm.xmu.com.     IN    A    43.208.104.128
vwgsxjmd.sm.xmu.com.     IN    A    112.221.28.77
odwsbegr.sm.xmu.com.     IN    A    146.45.205.84
fqjrovxc.sm.xmu.com.     IN    A    161.208.11.97
jfctwrgo.sm.xmu.com.     IN    A    47.82.60.253
uvmsxdqi.sm.xmu.com.     IN    A    225.60.10.17
gdxrbjho.sm.xmu.com.     IN    A    17.118.179.22
fqrhwamy.sm.xmu.com.     IN    A    138.245.97.220
qoaegdxj.sm.xmu.com.     IN    A    181.5.251.249
ytoqxikv.sm.xmu.com.     IN    A    188.172.117.163
pqagdsvn.sm.xmu.com.     IN    A    134.156.213.74
ardtsbnw.sm.xmu.com.     IN    A    22.190.88.67
owivaxrm.sm.xmu.com.     IN    A    72.181.112.164
ajiewdlv.sm.xmu.com.     IN    A    75.121.219.156
pofeyvkt.sm.xmu.com.     IN    A    123.168.196.250
mvdpolqw.sm.xmu.com.     IN    A    147.199.153.45
plkqehbx.sm.xmu.com.     IN    A    169.54.168.110
ckrwuhng.sm.xmu.com.     IN    A    46.175.19.183
mbqyphln.sm.xmu.com.     IN    A    88.65.216.138
aohtwnyp.sm.xmu.com.     IN    A    38.243.137.217
msbyjwkh.sm.xmu.com.     IN    A    218.34.58.148
ucestolw.sm.xmu.com.     IN    A    210.76.34.35
worxveqy.sm.xmu.com.     IN    A    147.6.166.178
nksymetl.sm.xmu.com.     IN    A    126.127.136.54
ecqmsyha.sm.xmu.com.     IN    A    199.24.32.121
ysfnmkag.sm.xmu.com.     IN    A    232.231.94.65
tfhycgsb.sm.xmu.com.     IN    A    155.190.179.12
meoalvrh.sm.xmu.com.     IN    A    196.99.186.85
wgakjlrf.sm.xmu.com.     IN    A    5.125.2.244
dqubjtpm.sm.xmu.com.     IN    A    44.114.150.205
tneyfqmg.sm.xmu.com.     IN    A    33.208.14.17
dwcagveo.sm.xmu.com.     IN    A    107.38.29.36
elqhnkir.sm.xmu.com.     IN    A    231.14.67.162
phnueqwc.sm.xmu.com.     IN    A    6.131.19.85
mbsrclja.sm.xmu.com.     IN    A    88.119.173.167
ogvbtmlf.sm.xmu.com.     IN    A    248.199.132.1
rkgveybj.sm.xmu.com.     IN    A    238.191.156.118
hvtdsxip.sm.xmu.com.     IN    A    160.250.69.71
gfhadoqn.sm.xmu.com.     IN    A    223.51.117.72
qemxitch.sm.xmu.com.     IN    A    157.32.240.76
bkmawxpj.sm.xmu.com.     IN    A    150.115.158.152
tmsfvogn.sm.xmu.com.     IN    A    67.246.12.90
dliobckn.sm.xmu.com.     IN    A    173.133.156.125
atgobnyl.sm.xmu.com.     IN    A    159.53.30.102
sbvieloh.sm.xmu.com.     IN    A    136.208.140.202
xkupjvbm.sm.xmu.com.     IN    A    130.114.6.174
cljtrdvo.sm.xmu.com.     IN    A    119.14.121.155
gepblacy.sm.xmu.com.     IN    A    115.46.57.44
jxgesroc.sm.xmu.com.     IN    A    183.84.13.176
vghjaqtm.sm.xmu.com.     IN    A    124.71.121.11
jqfbswck.sm.xmu.com.     IN    A    246.156.252.185
ibtakosp.sm.xmu.com.     IN    A    207.73.237.160
qcarkght.sm.xmu.com.     IN    A    64.112.28.130
