hyxt.whu.com.	14400	IN	SOA	ns1.hyxt.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
hyxt.whu.com.		    IN	NS ns1.hyxt.whu.com.
vopmgxds.hyxt.whu.com.   IN    A    71.194.204.230
nploxydi.hyxt.whu.com.   IN    A    235.162.49.70
eofuqsic.hyxt.whu.com.   IN    A    147.73.229.166
bqukgnyf.hyxt.whu.com.   IN    A    172.51.152.210
ehyfnxbl.hyxt.whu.com.   IN    A    107.216.137.155
swohuqjr.hyxt.whu.com.   IN    A    89.248.5.22
vdslhwgc.hyxt.whu.com.   IN    A    18.153.201.225
stumahbv.hyxt.whu.com.   IN    A    28.7.2.171
cijphfgr.hyxt.whu.com.   IN    A    232.223.146.243
eufptjay.hyxt.whu.com.   IN    A    241.63.15.72
etucnbhl.hyxt.whu.com.   IN    A    130.49.167.229
ygfjewbl.hyxt.whu.com.   IN    A    151.161.119.48
ouprjswb.hyxt.whu.com.   IN    A    12.130.166.238
dsgiqmva.hyxt.whu.com.   IN    A    46.151.242.158
sfqpvmwa.hyxt.whu.com.   IN    A    31.232.5.108
snthoqcy.hyxt.whu.com.   IN    A    91.55.141.116
wyjuqgpr.hyxt.whu.com.   IN    A    34.139.200.86
ogerwcym.hyxt.whu.com.   IN    A    116.237.159.229
wnfryomx.hyxt.whu.com.   IN    A    132.218.168.131
lxibkdth.hyxt.whu.com.   IN    A    136.3.103.133
brpiunlm.hyxt.whu.com.   IN    A    254.137.93.232
uvdhpetb.hyxt.whu.com.   IN    A    251.130.31.53
jygderxm.hyxt.whu.com.   IN    A    164.163.98.19
uskxdnqt.hyxt.whu.com.   IN    A    206.118.87.116
ogcdbmij.hyxt.whu.com.   IN    A    124.38.15.122
nmkgxbco.hyxt.whu.com.   IN    A    238.220.75.143
pfdjgmon.hyxt.whu.com.   IN    A    237.127.35.64
nyogcuib.hyxt.whu.com.   IN    A    125.1.25.181
mgjnhcvf.hyxt.whu.com.   IN    A    182.187.77.68
xaomectb.hyxt.whu.com.   IN    A    220.250.201.255
hwjiulrn.hyxt.whu.com.   IN    A    99.176.173.218
ehslvgrp.hyxt.whu.com.   IN    A    196.196.221.22
wdtfmcrp.hyxt.whu.com.   IN    A    54.48.143.192
odasfgev.hyxt.whu.com.   IN    A    120.228.76.97
pkaiurod.hyxt.whu.com.   IN    A    134.86.157.6
rsdmwiua.hyxt.whu.com.   IN    A    64.197.211.159
ndeorawq.hyxt.whu.com.   IN    A    176.15.153.202
xpgtwham.hyxt.whu.com.   IN    A    205.222.75.37
hiqfvcul.hyxt.whu.com.   IN    A    0.27.199.138
xhjknbls.hyxt.whu.com.   IN    A    70.45.212.115
bergnpxs.hyxt.whu.com.   IN    A    163.16.184.64
ufhbcgvr.hyxt.whu.com.   IN    A    29.255.99.97
xnbhrmow.hyxt.whu.com.   IN    A    180.24.116.140
donsviuk.hyxt.whu.com.   IN    A    24.35.70.85
omtscwhq.hyxt.whu.com.   IN    A    23.253.71.210
esnubcmd.hyxt.whu.com.   IN    A    85.206.238.6
uojixqwm.hyxt.whu.com.   IN    A    20.215.116.37
fsrekmyj.hyxt.whu.com.   IN    A    213.154.110.42
rvnxdpey.hyxt.whu.com.   IN    A    63.162.5.109
saepbnil.hyxt.whu.com.   IN    A    52.65.57.41
ocnfvput.hyxt.whu.com.   IN    A    198.90.89.38
xijbmyvo.hyxt.whu.com.   IN    A    179.206.9.26
kbcigsoa.hyxt.whu.com.   IN    A    241.170.217.17
mqkaevrd.hyxt.whu.com.   IN    A    200.214.184.100
ltrwamdy.hyxt.whu.com.   IN    A    84.2.164.102
olpiqwnb.hyxt.whu.com.   IN    A    102.33.74.238
eaqjfrlm.hyxt.whu.com.   IN    A    210.75.196.78
arjmsvnt.hyxt.whu.com.   IN    A    80.41.57.134
srmtynhv.hyxt.whu.com.   IN    A    203.126.60.150
oalehjyt.hyxt.whu.com.   IN    A    38.203.207.75
feclsqth.hyxt.whu.com.   IN    A    56.167.205.48
nfhdwbtl.hyxt.whu.com.   IN    A    177.8.72.139
okaeqfsc.hyxt.whu.com.   IN    A    53.15.216.188
qodjewbk.hyxt.whu.com.   IN    A    28.109.165.172
rinmjbpv.hyxt.whu.com.   IN    A    59.149.54.42
kuypalxt.hyxt.whu.com.   IN    A    215.219.34.239
bfklvepy.hyxt.whu.com.   IN    A    160.66.115.255
gparcqho.hyxt.whu.com.   IN    A    11.230.210.140
qvyklaui.hyxt.whu.com.   IN    A    170.58.226.53
vyrwhtfc.hyxt.whu.com.   IN    A    62.195.48.39
iypnjxtf.hyxt.whu.com.   IN    A    88.247.246.1
wtxfvcpj.hyxt.whu.com.   IN    A    71.108.255.251
hapbdvct.hyxt.whu.com.   IN    A    250.215.64.119
wgtcdxnu.hyxt.whu.com.   IN    A    19.16.144.209
vrofxubg.hyxt.whu.com.   IN    A    73.201.59.203
pgxuhwvb.hyxt.whu.com.   IN    A    192.225.102.115
mdkqlift.hyxt.whu.com.   IN    A    242.14.236.153
djrbncmy.hyxt.whu.com.   IN    A    174.15.111.37
guoreiwa.hyxt.whu.com.   IN    A    81.2.253.165
bmcpvkwq.hyxt.whu.com.   IN    A    56.192.19.74
qpxbyaij.hyxt.whu.com.   IN    A    147.55.156.64
tfakxvql.hyxt.whu.com.   IN    A    191.124.122.85
smaurepl.hyxt.whu.com.   IN    A    120.90.191.52
djsnyfpb.hyxt.whu.com.   IN    A    27.146.160.13
bdyskjng.hyxt.whu.com.   IN    A    252.147.25.120
slwhjqpv.hyxt.whu.com.   IN    A    119.230.50.58
qjcustwg.hyxt.whu.com.   IN    A    77.243.236.130
dtqwykoe.hyxt.whu.com.   IN    A    140.76.87.71
xegplnaw.hyxt.whu.com.   IN    A    195.203.70.145
onvtbmxa.hyxt.whu.com.   IN    A    43.200.159.192
rviegply.hyxt.whu.com.   IN    A    80.219.73.118
iqvfcpts.hyxt.whu.com.   IN    A    142.236.46.47
rhnjtypl.hyxt.whu.com.   IN    A    144.65.15.51
lhtkuapi.hyxt.whu.com.   IN    A    133.162.195.129
jsyvielg.hyxt.whu.com.   IN    A    30.245.194.74
mjrwxpdq.hyxt.whu.com.   IN    A    49.66.105.204
lhipnmjf.hyxt.whu.com.   IN    A    92.11.193.255
bipyahlq.hyxt.whu.com.   IN    A    4.10.58.115
thrbfodi.hyxt.whu.com.   IN    A    18.15.166.228
luhtjydb.hyxt.whu.com.   IN    A    211.81.156.253
bcnyoeqd.hyxt.whu.com.   IN    A    245.218.220.180
gsophiuv.hyxt.whu.com.   IN    A    250.205.154.199
adxkofct.hyxt.whu.com.   IN    A    135.143.111.201
hcegwbmi.hyxt.whu.com.   IN    A    13.108.197.20
xfqtebci.hyxt.whu.com.   IN    A    254.122.91.163
vfunwgjy.hyxt.whu.com.   IN    A    116.181.138.189
oeahklqv.hyxt.whu.com.   IN    A    34.230.62.143
vajqiocp.hyxt.whu.com.   IN    A    3.157.227.24
ymwlbkah.hyxt.whu.com.   IN    A    106.183.185.16
yjvqxctp.hyxt.whu.com.   IN    A    158.237.198.31
vuandxgq.hyxt.whu.com.   IN    A    170.117.134.33
ebhxcstm.hyxt.whu.com.   IN    A    131.126.194.164
qoaxuhij.hyxt.whu.com.   IN    A    146.86.96.105
ckorvhlp.hyxt.whu.com.   IN    A    231.174.17.226
yrdigfah.hyxt.whu.com.   IN    A    237.136.252.27
aqlteuyr.hyxt.whu.com.   IN    A    1.0.61.192
rfkuydag.hyxt.whu.com.   IN    A    140.20.51.231
mnaqyepg.hyxt.whu.com.   IN    A    171.52.93.37
slmgbdpn.hyxt.whu.com.   IN    A    69.155.165.221
mngpcryj.hyxt.whu.com.   IN    A    239.229.249.42
ciqhwvtf.hyxt.whu.com.   IN    A    157.172.212.113
xqmapiyt.hyxt.whu.com.   IN    A    173.174.79.202
fcpltgsv.hyxt.whu.com.   IN    A    99.102.155.60
vehcqkwy.hyxt.whu.com.   IN    A    205.108.72.107
wriacpln.hyxt.whu.com.   IN    A    134.132.53.34
jwkqmpni.hyxt.whu.com.   IN    A    251.47.69.195
ktumeyws.hyxt.whu.com.   IN    A    92.48.153.140
suegyplt.hyxt.whu.com.   IN    A    21.2.71.155
ytvfkcan.hyxt.whu.com.   IN    A    230.227.81.242
irhtjcdb.hyxt.whu.com.   IN    A    34.254.18.120
fsrbktne.hyxt.whu.com.   IN    A    3.245.110.162
twdekfnx.hyxt.whu.com.   IN    A    131.153.85.157
jmkaodsy.hyxt.whu.com.   IN    A    255.249.33.178
qmclwxay.hyxt.whu.com.   IN    A    21.116.239.182
sjwtbxya.hyxt.whu.com.   IN    A    69.151.218.161
puigmjtc.hyxt.whu.com.   IN    A    22.217.198.222
ovwciuyq.hyxt.whu.com.   IN    A    135.79.168.28
tdnoxfse.hyxt.whu.com.   IN    A    48.216.63.123
unhpixoj.hyxt.whu.com.   IN    A    48.160.28.218
ujnqoydc.hyxt.whu.com.   IN    A    126.20.254.121
fweplbjy.hyxt.whu.com.   IN    A    128.195.174.240
yhmdoxnp.hyxt.whu.com.   IN    A    138.54.92.16
faeuhixj.hyxt.whu.com.   IN    A    1.157.86.129
igtdlxsw.hyxt.whu.com.   IN    A    185.29.40.82
hlscquyt.hyxt.whu.com.   IN    A    65.247.151.59
jkxofyvh.hyxt.whu.com.   IN    A    228.47.166.66
eufslrta.hyxt.whu.com.   IN    A    53.63.234.10
tdaevwig.hyxt.whu.com.   IN    A    214.70.129.129
wkvemghx.hyxt.whu.com.   IN    A    123.24.175.41
sayexlbv.hyxt.whu.com.   IN    A    141.212.46.120
ujeoidca.hyxt.whu.com.   IN    A    227.138.82.156
uomedjag.hyxt.whu.com.   IN    A    63.200.214.180
ebqhcirw.hyxt.whu.com.   IN    A    166.59.115.140
vposigru.hyxt.whu.com.   IN    A    141.199.55.184
rfwdgiya.hyxt.whu.com.   IN    A    136.188.20.118
nfcwtasl.hyxt.whu.com.   IN    A    158.59.51.108
hqgtbyjm.hyxt.whu.com.   IN    A    24.235.234.136
fvkoalji.hyxt.whu.com.   IN    A    184.225.163.239
prvqljig.hyxt.whu.com.   IN    A    38.126.153.187
xqldjfba.hyxt.whu.com.   IN    A    9.172.86.206
fscuvjld.hyxt.whu.com.   IN    A    124.200.226.150
jfkgcylm.hyxt.whu.com.   IN    A    180.92.91.106
kmspwthb.hyxt.whu.com.   IN    A    82.203.170.165
qtimuxgv.hyxt.whu.com.   IN    A    209.7.15.12
msbkewfi.hyxt.whu.com.   IN    A    70.59.127.6
gsyrhldx.hyxt.whu.com.   IN    A    104.203.166.80
rdibowga.hyxt.whu.com.   IN    A    233.13.228.205
oxshukjr.hyxt.whu.com.   IN    A    26.79.10.137
eaigbtkp.hyxt.whu.com.   IN    A    39.49.66.178
hyoipxcr.hyxt.whu.com.   IN    A    202.197.151.63
sugywtor.hyxt.whu.com.   IN    A    117.104.187.177
sowkpcen.hyxt.whu.com.   IN    A    184.179.116.114
wpxtmsbf.hyxt.whu.com.   IN    A    99.240.99.225
mnxdvkwu.hyxt.whu.com.   IN    A    101.59.92.57
hpearkls.hyxt.whu.com.   IN    A    89.190.206.120
upakmvls.hyxt.whu.com.   IN    A    248.191.49.49
kqsbxvue.hyxt.whu.com.   IN    A    52.58.74.182
gbucpkex.hyxt.whu.com.   IN    A    110.190.65.225
jernbysc.hyxt.whu.com.   IN    A    66.70.31.8
aulswgoh.hyxt.whu.com.   IN    A    8.106.56.90
cjhmvkeg.hyxt.whu.com.   IN    A    255.133.234.54
sjkiyqad.hyxt.whu.com.   IN    A    97.168.106.42
bswatcqy.hyxt.whu.com.   IN    A    30.18.219.31
ovqaislc.hyxt.whu.com.   IN    A    136.120.176.46
hojlrxsb.hyxt.whu.com.   IN    A    153.41.60.210
gimnkqly.hyxt.whu.com.   IN    A    39.82.193.227
egjyapnu.hyxt.whu.com.   IN    A    24.185.112.11
owbaplyv.hyxt.whu.com.   IN    A    157.10.124.48
laibwngh.hyxt.whu.com.   IN    A    238.209.100.117
trediqkc.hyxt.whu.com.   IN    A    201.152.174.104
fljsthmo.hyxt.whu.com.   IN    A    252.99.73.249
cftgemsw.hyxt.whu.com.   IN    A    75.202.156.69
jvwefctn.hyxt.whu.com.   IN    A    32.16.17.62
tcpehmlk.hyxt.whu.com.   IN    A    184.37.237.128
eyijxcts.hyxt.whu.com.   IN    A    100.203.169.247
qxmptjhu.hyxt.whu.com.   IN    A    135.132.68.117
bdigvmwq.hyxt.whu.com.   IN    A    197.107.93.27
ahmsxoin.hyxt.whu.com.   IN    A    15.64.75.117
lthjuydg.hyxt.whu.com.   IN    A    204.13.154.107
poebghfc.hyxt.whu.com.   IN    A    63.4.187.123
xoucnevt.hyxt.whu.com.   IN    A    84.190.131.1
fqdpgwbe.hyxt.whu.com.   IN    A    31.2.215.247
rikecvtp.hyxt.whu.com.   IN    A    194.190.120.200
hnvjfdrc.hyxt.whu.com.   IN    A    50.43.249.85
wcnmxbyg.hyxt.whu.com.   IN    A    119.230.97.209
gjxsqupo.hyxt.whu.com.   IN    A    53.137.104.66
lcnvethr.hyxt.whu.com.   IN    A    83.236.222.47
cevmbrdo.hyxt.whu.com.   IN    A    199.177.192.45
odvhbewq.hyxt.whu.com.   IN    A    225.170.98.26
xslopwhb.hyxt.whu.com.   IN    A    157.178.99.29
oupkirjy.hyxt.whu.com.   IN    A    141.141.14.170
qobmxfcs.hyxt.whu.com.   IN    A    97.31.12.114
cejgbqan.hyxt.whu.com.   IN    A    92.158.181.93
mcukxwqf.hyxt.whu.com.   IN    A    131.15.62.193
vduxjgrl.hyxt.whu.com.   IN    A    245.162.94.211
mivwqcko.hyxt.whu.com.   IN    A    23.6.145.178
tkifnmya.hyxt.whu.com.   IN    A    73.244.211.21
vtnwckjd.hyxt.whu.com.   IN    A    84.96.82.58
grjdhtvs.hyxt.whu.com.   IN    A    183.29.181.189
tegqcaul.hyxt.whu.com.   IN    A    216.73.77.80
lqcvmaiw.hyxt.whu.com.   IN    A    124.124.25.225
faeqrubi.hyxt.whu.com.   IN    A    44.164.170.70
wmpseacg.hyxt.whu.com.   IN    A    46.194.112.121
jhsguctq.hyxt.whu.com.   IN    A    27.78.171.191
iuvwpmkh.hyxt.whu.com.   IN    A    104.77.142.185
xqhamtji.hyxt.whu.com.   IN    A    81.185.7.26
xdiuprca.hyxt.whu.com.   IN    A    30.64.231.96
augxihne.hyxt.whu.com.   IN    A    216.246.84.168
encjlpwx.hyxt.whu.com.   IN    A    135.250.112.166
alsdwxyv.hyxt.whu.com.   IN    A    157.170.74.87
ynhmgtfe.hyxt.whu.com.   IN    A    48.33.4.45
rqaedipk.hyxt.whu.com.   IN    A    113.131.147.152
gucnkpsj.hyxt.whu.com.   IN    A    160.69.61.114
quafmony.hyxt.whu.com.   IN    A    204.249.144.137
fcpghxwo.hyxt.whu.com.   IN    A    221.105.39.5
vbalimfw.hyxt.whu.com.   IN    A    101.129.159.233
odvwicuj.hyxt.whu.com.   IN    A    40.87.43.217
choktsai.hyxt.whu.com.   IN    A    34.56.105.188
tjiwnoce.hyxt.whu.com.   IN    A    252.152.110.249
rbscixkf.hyxt.whu.com.   IN    A    129.38.254.72
wqjkbnrp.hyxt.whu.com.   IN    A    224.72.147.155
kiulahye.hyxt.whu.com.   IN    A    80.191.45.72
ipxmqyrj.hyxt.whu.com.   IN    A    249.81.76.220
aqneskhd.hyxt.whu.com.   IN    A    172.8.190.96
hukcralm.hyxt.whu.com.   IN    A    138.183.58.26
jmqfcuhr.hyxt.whu.com.   IN    A    235.168.27.85
wbdsrfaq.hyxt.whu.com.   IN    A    126.150.171.246
fovmdpjb.hyxt.whu.com.   IN    A    76.57.83.245
vdmnbqgj.hyxt.whu.com.   IN    A    173.231.15.56
elhsybux.hyxt.whu.com.   IN    A    13.110.152.29
syafkexi.hyxt.whu.com.   IN    A    246.234.69.217
jqwyikup.hyxt.whu.com.   IN    A    231.52.47.70
ruclsbpo.hyxt.whu.com.   IN    A    67.209.160.26
xhteglcf.hyxt.whu.com.   IN    A    133.185.205.170
sgqmndec.hyxt.whu.com.   IN    A    37.68.111.230
mfpuangc.hyxt.whu.com.   IN    A    235.128.175.44
tihufwvk.hyxt.whu.com.   IN    A    63.89.25.229
qpkybdxj.hyxt.whu.com.   IN    A    158.146.101.225
kuewoqtf.hyxt.whu.com.   IN    A    165.38.64.131
lynwbqai.hyxt.whu.com.   IN    A    201.229.213.208
jeabikul.hyxt.whu.com.   IN    A    136.70.226.209
vnckeomt.hyxt.whu.com.   IN    A    128.77.48.252
qjdwbmsc.hyxt.whu.com.   IN    A    25.10.38.97
lpjikaoy.hyxt.whu.com.   IN    A    248.205.146.186
mhqgovjk.hyxt.whu.com.   IN    A    9.243.195.194
eiolvbnp.hyxt.whu.com.   IN    A    2.155.208.226
djuhelwo.hyxt.whu.com.   IN    A    108.148.162.187
gdtusicr.hyxt.whu.com.   IN    A    235.137.12.69
bnxeocwf.hyxt.whu.com.   IN    A    160.88.84.210
ovglcexj.hyxt.whu.com.   IN    A    88.40.10.161
ojwsxbdg.hyxt.whu.com.   IN    A    5.6.221.22
nastdoyw.hyxt.whu.com.   IN    A    253.113.98.150
dmisgrwy.hyxt.whu.com.   IN    A    163.2.106.103
kegyrpvl.hyxt.whu.com.   IN    A    117.153.128.214
wlponhst.hyxt.whu.com.   IN    A    27.236.252.230
mawsrcpl.hyxt.whu.com.   IN    A    119.66.148.3
hmustfei.hyxt.whu.com.   IN    A    3.235.87.54
dagipxul.hyxt.whu.com.   IN    A    175.13.168.177
htvwpysu.hyxt.whu.com.   IN    A    191.193.147.155
txvepmid.hyxt.whu.com.   IN    A    70.121.203.64
qehfklyp.hyxt.whu.com.   IN    A    70.27.154.165
yndsrqtp.hyxt.whu.com.   IN    A    225.24.20.160
jgnierlb.hyxt.whu.com.   IN    A    199.232.185.8
khwldbpx.hyxt.whu.com.   IN    A    185.69.190.180
pouwnrih.hyxt.whu.com.   IN    A    88.27.78.126
ijdpckom.hyxt.whu.com.   IN    A    212.182.62.75
njmlkufd.hyxt.whu.com.   IN    A    190.18.163.59
lrtvgdfn.hyxt.whu.com.   IN    A    224.206.132.26
lsfawbxm.hyxt.whu.com.   IN    A    210.207.160.221
vosjcthn.hyxt.whu.com.   IN    A    215.243.86.38
forqxkay.hyxt.whu.com.   IN    A    10.176.3.247
vbwfuqri.hyxt.whu.com.   IN    A    240.1.76.219
pfidyrgh.hyxt.whu.com.   IN    A    217.81.194.100
xyashfoi.hyxt.whu.com.   IN    A    145.207.229.103
marefbtk.hyxt.whu.com.   IN    A    74.213.107.219
yjlxnrhp.hyxt.whu.com.   IN    A    108.124.61.215
kdbcxuwe.hyxt.whu.com.   IN    A    129.225.48.100
ntkgsrjw.hyxt.whu.com.   IN    A    183.240.45.95
lwsqfcjr.hyxt.whu.com.   IN    A    111.234.118.43
jvaqgfru.hyxt.whu.com.   IN    A    131.162.255.150
xlcaygjs.hyxt.whu.com.   IN    A    22.177.254.77
mgxfbnlw.hyxt.whu.com.   IN    A    94.239.149.31
dsfxpkgw.hyxt.whu.com.   IN    A    216.192.39.207
nxmlbrja.hyxt.whu.com.   IN    A    224.75.147.31
vjqekauy.hyxt.whu.com.   IN    A    13.195.112.141
gowhxymb.hyxt.whu.com.   IN    A    162.229.155.206
qlckupgd.hyxt.whu.com.   IN    A    240.25.128.172
fwuciags.hyxt.whu.com.   IN    A    157.182.27.226
hbsxwvfg.hyxt.whu.com.   IN    A    107.188.138.161
iyxrecqg.hyxt.whu.com.   IN    A    41.205.181.174
dflsnktu.hyxt.whu.com.   IN    A    160.71.76.76
eqjahsnk.hyxt.whu.com.   IN    A    198.150.15.189
mdbtxfgn.hyxt.whu.com.   IN    A    26.52.225.131
ipbdgrwl.hyxt.whu.com.   IN    A    233.63.78.181
abqcmedr.hyxt.whu.com.   IN    A    141.175.241.1
oakespvt.hyxt.whu.com.   IN    A    235.14.65.67
dxftiqas.hyxt.whu.com.   IN    A    52.227.185.77
rwvklcgy.hyxt.whu.com.   IN    A    238.147.11.37
cbqgawsl.hyxt.whu.com.   IN    A    113.95.252.201
abpgfnhd.hyxt.whu.com.   IN    A    241.167.198.24
qepftgib.hyxt.whu.com.   IN    A    142.207.140.155
jhyantrb.hyxt.whu.com.   IN    A    96.157.208.102
yfuqdbvj.hyxt.whu.com.   IN    A    182.192.169.237
gpafuhns.hyxt.whu.com.   IN    A    255.142.115.8
hiwqgkvs.hyxt.whu.com.   IN    A    35.129.2.10
iuxmwafb.hyxt.whu.com.   IN    A    177.100.239.122
rdghceqf.hyxt.whu.com.   IN    A    37.134.168.194
niedgjuo.hyxt.whu.com.   IN    A    136.251.223.35
imncvdur.hyxt.whu.com.   IN    A    134.49.220.228
kmjdgpcs.hyxt.whu.com.   IN    A    252.21.45.19
etkgyjmd.hyxt.whu.com.   IN    A    119.124.216.22
ldrfymik.hyxt.whu.com.   IN    A    241.165.32.89
rvgtjfow.hyxt.whu.com.   IN    A    15.244.233.231
okhxjsgd.hyxt.whu.com.   IN    A    94.96.182.59
gydnuelh.hyxt.whu.com.   IN    A    88.200.59.26
ifjugxrw.hyxt.whu.com.   IN    A    158.112.174.111
eqhvwsft.hyxt.whu.com.   IN    A    221.135.126.218
kshlqjoc.hyxt.whu.com.   IN    A    218.130.179.2
ubwgvkhc.hyxt.whu.com.   IN    A    60.178.105.212
wtgvyxlf.hyxt.whu.com.   IN    A    209.81.5.145
nhcokiqp.hyxt.whu.com.   IN    A    226.182.223.44
tugnqcox.hyxt.whu.com.   IN    A    254.218.76.152
vgwyfxnr.hyxt.whu.com.   IN    A    148.126.165.50
ydqfbvjc.hyxt.whu.com.   IN    A    233.105.163.207
nuedpyma.hyxt.whu.com.   IN    A    141.239.117.192
pbvhsfwy.hyxt.whu.com.   IN    A    50.116.180.197
wlxrcvfh.hyxt.whu.com.   IN    A    155.214.239.172
nosjgmpv.hyxt.whu.com.   IN    A    154.89.178.159
mglcwdqs.hyxt.whu.com.   IN    A    33.204.19.208
gtlifmoj.hyxt.whu.com.   IN    A    19.236.106.162
qwstfgic.hyxt.whu.com.   IN    A    157.208.231.158
nwgbdvyf.hyxt.whu.com.   IN    A    163.85.13.186
vqiycdur.hyxt.whu.com.   IN    A    238.35.32.202
oqjrmsgv.hyxt.whu.com.   IN    A    185.183.98.204
enpmrotv.hyxt.whu.com.   IN    A    47.49.22.83
ptbvofun.hyxt.whu.com.   IN    A    121.201.215.24
qeltvwch.hyxt.whu.com.   IN    A    173.42.30.216
fbupcrae.hyxt.whu.com.   IN    A    49.238.111.104
afmochgr.hyxt.whu.com.   IN    A    94.162.15.93
bcldvgpi.hyxt.whu.com.   IN    A    114.177.219.174
qovnwysk.hyxt.whu.com.   IN    A    147.103.232.128
cnxovarf.hyxt.whu.com.   IN    A    42.20.34.245
ancouwti.hyxt.whu.com.   IN    A    205.8.79.234
eloawrjs.hyxt.whu.com.   IN    A    11.192.53.110
fhdgtmjn.hyxt.whu.com.   IN    A    204.225.135.99
qhnxcfud.hyxt.whu.com.   IN    A    106.94.43.82
dgtncevy.hyxt.whu.com.   IN    A    196.111.78.139
xlhbykoe.hyxt.whu.com.   IN    A    82.75.196.179
diwhrmyk.hyxt.whu.com.   IN    A    172.224.112.32
wgjaxeqi.hyxt.whu.com.   IN    A    107.241.73.250
ylujocqi.hyxt.whu.com.   IN    A    3.122.88.152
vgyqasik.hyxt.whu.com.   IN    A    105.178.182.41
tcdashrf.hyxt.whu.com.   IN    A    163.248.71.238
ihbsjeor.hyxt.whu.com.   IN    A    206.196.236.97
qsbrjayn.hyxt.whu.com.   IN    A    155.43.139.9
wsjryhkl.hyxt.whu.com.   IN    A    126.173.253.230
auyixmwf.hyxt.whu.com.   IN    A    2.51.249.118
xtmvdpyl.hyxt.whu.com.   IN    A    105.102.162.133
owupybhf.hyxt.whu.com.   IN    A    124.1.167.185
hogmplqn.hyxt.whu.com.   IN    A    156.85.75.113
bwcaldyr.hyxt.whu.com.   IN    A    60.88.13.96
wqagvuky.hyxt.whu.com.   IN    A    30.196.72.101
rtnjglxh.hyxt.whu.com.   IN    A    129.97.141.60
mbaeurfh.hyxt.whu.com.   IN    A    149.109.4.159
sfaurdqo.hyxt.whu.com.   IN    A    102.166.244.28
wvfimhag.hyxt.whu.com.   IN    A    124.59.241.174
enfrdogu.hyxt.whu.com.   IN    A    27.95.22.70
ukrvtwxl.hyxt.whu.com.   IN    A    185.239.98.255
yhnibgwr.hyxt.whu.com.   IN    A    135.223.72.242
byjwgqok.hyxt.whu.com.   IN    A    81.196.209.87
luxfqaey.hyxt.whu.com.   IN    A    225.52.83.209
wsvrqpad.hyxt.whu.com.   IN    A    239.183.245.210
qrydvecw.hyxt.whu.com.   IN    A    93.151.140.86
ovesugpi.hyxt.whu.com.   IN    A    101.236.151.76
osargvfe.hyxt.whu.com.   IN    A    230.121.108.126
hlufxwrg.hyxt.whu.com.   IN    A    120.66.174.3
hosuytdk.hyxt.whu.com.   IN    A    23.48.197.12
swtnuvxc.hyxt.whu.com.   IN    A    166.215.215.8
kfjdigws.hyxt.whu.com.   IN    A    164.95.173.242
idlkumob.hyxt.whu.com.   IN    A    200.171.211.197
ebjagidk.hyxt.whu.com.   IN    A    25.159.243.102
qovdbune.hyxt.whu.com.   IN    A    209.29.181.69
wpfnxcae.hyxt.whu.com.   IN    A    121.97.255.204
culkvnwq.hyxt.whu.com.   IN    A    207.235.78.142
webqksyf.hyxt.whu.com.   IN    A    242.136.39.109
jiocftgb.hyxt.whu.com.   IN    A    169.17.76.134
jkcuvalw.hyxt.whu.com.   IN    A    223.6.106.200
aftkdjop.hyxt.whu.com.   IN    A    87.138.111.165
igudvpco.hyxt.whu.com.   IN    A    106.197.27.251
exqidufb.hyxt.whu.com.   IN    A    38.230.64.59
vxwqnsup.hyxt.whu.com.   IN    A    87.216.172.195
ivxnhwpl.hyxt.whu.com.   IN    A    36.134.244.41
xyhoblfa.hyxt.whu.com.   IN    A    179.23.3.180
rbwihqup.hyxt.whu.com.   IN    A    64.143.242.99
gpvkusxj.hyxt.whu.com.   IN    A    173.183.17.173
ftredjgs.hyxt.whu.com.   IN    A    177.128.196.54
tyqgcijm.hyxt.whu.com.   IN    A    7.251.181.198
onsvudwh.hyxt.whu.com.   IN    A    230.46.99.241
vuhtwmjs.hyxt.whu.com.   IN    A    49.106.0.88
nahfpgme.hyxt.whu.com.   IN    A    34.16.136.58
qjohplcw.hyxt.whu.com.   IN    A    202.142.45.216
plyfhxgj.hyxt.whu.com.   IN    A    4.120.206.38
daprflte.hyxt.whu.com.   IN    A    97.184.147.58
pelycwxn.hyxt.whu.com.   IN    A    240.212.214.107
lixmpuyg.hyxt.whu.com.   IN    A    35.187.181.31
dnuplmxs.hyxt.whu.com.   IN    A    56.146.157.29
oxiufste.hyxt.whu.com.   IN    A    87.70.23.87
spxrvhgi.hyxt.whu.com.   IN    A    9.188.232.30
cuqxmajs.hyxt.whu.com.   IN    A    97.33.83.40
vmwbhicy.hyxt.whu.com.   IN    A    77.212.7.217
iaxretvc.hyxt.whu.com.   IN    A    235.225.240.221
guikvrmq.hyxt.whu.com.   IN    A    73.244.110.47
qblyntic.hyxt.whu.com.   IN    A    157.134.78.73
cjugaepr.hyxt.whu.com.   IN    A    161.9.98.146
oysirgba.hyxt.whu.com.   IN    A    114.97.59.173
wxdeohqg.hyxt.whu.com.   IN    A    159.89.143.82
fphkbwam.hyxt.whu.com.   IN    A    234.8.216.170
tovrdyqg.hyxt.whu.com.   IN    A    209.14.202.228
skrgawmj.hyxt.whu.com.   IN    A    160.56.157.51
njoiktrp.hyxt.whu.com.   IN    A    153.161.109.149
thybagul.hyxt.whu.com.   IN    A    21.221.251.11
sqwftpau.hyxt.whu.com.   IN    A    85.165.113.143
