www.lzu.com. 	14400	IN	SOA	ns1.www.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
www.lzu.com.		    IN	NS ns1.www.lzu.com.
dracxheq.www.lzu.com.    IN    A    60.97.13.97
adbvrjto.www.lzu.com.    IN    A    223.188.193.160
fwgdsrob.www.lzu.com.    IN    A    38.133.195.35
dqxibjso.www.lzu.com.    IN    A    26.79.126.119
tmiekcuy.www.lzu.com.    IN    A    149.83.41.90
sultqwdg.www.lzu.com.    IN    A    148.170.202.113
wkmfqlby.www.lzu.com.    IN    A    128.222.156.153
qtgvbepr.www.lzu.com.    IN    A    198.30.91.63
qpmngodu.www.lzu.com.    IN    A    156.113.62.246
vwjkcgmq.www.lzu.com.    IN    A    14.129.216.235
wlxtdbao.www.lzu.com.    IN    A    75.27.148.192
stvelpbd.www.lzu.com.    IN    A    136.189.53.50
jsgqlukd.www.lzu.com.    IN    A    68.34.119.5
ghbrtjqe.www.lzu.com.    IN    A    47.49.138.79
ireshymk.www.lzu.com.    IN    A    116.241.91.105
cagpuwfy.www.lzu.com.    IN    A    44.143.133.0
pqnjleha.www.lzu.com.    IN    A    120.246.235.242
noafpswu.www.lzu.com.    IN    A    16.180.48.15
bwekjtfg.www.lzu.com.    IN    A    163.17.239.71
cdbsopiv.www.lzu.com.    IN    A    179.144.255.137
epbywrgx.www.lzu.com.    IN    A    221.24.72.59
cemhlsyu.www.lzu.com.    IN    A    125.93.89.44
oaxpksiy.www.lzu.com.    IN    A    182.29.224.152
cgitjawf.www.lzu.com.    IN    A    30.237.16.59
owvfjcpl.www.lzu.com.    IN    A    198.141.71.183
xdspeict.www.lzu.com.    IN    A    130.240.225.43
sirqcvdu.www.lzu.com.    IN    A    62.54.89.98
geqkirjw.www.lzu.com.    IN    A    232.243.47.188
euhtfpwl.www.lzu.com.    IN    A    155.96.86.102
aowqnhij.www.lzu.com.    IN    A    75.182.40.119
pxqsnurf.www.lzu.com.    IN    A    11.161.183.239
srtbxqve.www.lzu.com.    IN    A    138.118.139.105
ymnojaxi.www.lzu.com.    IN    A    129.70.21.91
ydrgjoit.www.lzu.com.    IN    A    71.90.189.95
pxyirgbh.www.lzu.com.    IN    A    41.173.249.34
jaykfqlw.www.lzu.com.    IN    A    232.33.141.59
jhtcqglp.www.lzu.com.    IN    A    27.96.47.64
kwdaofvm.www.lzu.com.    IN    A    217.155.82.247
ytherpmv.www.lzu.com.    IN    A    43.174.20.153
rxvbdpeq.www.lzu.com.    IN    A    51.102.199.180
puceqofb.www.lzu.com.    IN    A    71.101.133.163
qdamexrk.www.lzu.com.    IN    A    98.31.120.191
ygqmlvfi.www.lzu.com.    IN    A    52.0.40.0
akujpecn.www.lzu.com.    IN    A    174.231.98.152
owmpkyjc.www.lzu.com.    IN    A    55.254.107.234
rcbgeolf.www.lzu.com.    IN    A    104.60.58.197
yftxeklu.www.lzu.com.    IN    A    164.180.63.166
jdquhlnr.www.lzu.com.    IN    A    233.192.224.16
btxpsawr.www.lzu.com.    IN    A    194.248.254.185
obqgwtij.www.lzu.com.    IN    A    19.254.176.145
vicemfub.www.lzu.com.    IN    A    80.110.125.199
xathsuqd.www.lzu.com.    IN    A    56.120.32.28
cxvqwylg.www.lzu.com.    IN    A    96.192.215.249
hnwaculs.www.lzu.com.    IN    A    72.114.242.29
emykphcb.www.lzu.com.    IN    A    92.170.101.74
rlcntuyv.www.lzu.com.    IN    A    72.197.208.117
coefkxwv.www.lzu.com.    IN    A    64.90.175.71
avtwieqy.www.lzu.com.    IN    A    217.24.213.41
uwxltsmh.www.lzu.com.    IN    A    219.177.177.200
yelsgnvc.www.lzu.com.    IN    A    81.180.235.138
jfmsbtwk.www.lzu.com.    IN    A    144.208.39.172
lmasjydh.www.lzu.com.    IN    A    211.200.151.18
aripslfk.www.lzu.com.    IN    A    246.118.245.126
luywfink.www.lzu.com.    IN    A    138.118.3.234
vjdguxby.www.lzu.com.    IN    A    213.37.238.241
msgbrxhl.www.lzu.com.    IN    A    177.184.91.55
mdcywkis.www.lzu.com.    IN    A    152.140.46.206
oqjiwlya.www.lzu.com.    IN    A    25.84.11.67
fscvkrjl.www.lzu.com.    IN    A    29.40.198.99
mvhfacbe.www.lzu.com.    IN    A    62.35.223.249
fyeivlhs.www.lzu.com.    IN    A    134.218.189.113
gqjbsuvw.www.lzu.com.    IN    A    96.81.206.10
sgmcahre.www.lzu.com.    IN    A    106.243.99.4
uckftrwh.www.lzu.com.    IN    A    145.183.4.74
tyqpimes.www.lzu.com.    IN    A    161.228.6.52
stakhric.www.lzu.com.    IN    A    8.30.37.162
eaqdfscl.www.lzu.com.    IN    A    129.151.32.183
dinpybgw.www.lzu.com.    IN    A    3.179.98.90
hatdyxgu.www.lzu.com.    IN    A    126.187.41.244
yifqnlca.www.lzu.com.    IN    A    190.143.228.126
wlcboqxj.www.lzu.com.    IN    A    148.0.121.151
sonewfpl.www.lzu.com.    IN    A    22.99.70.229
gpwkmnqf.www.lzu.com.    IN    A    204.157.29.247
wivqmakp.www.lzu.com.    IN    A    68.247.60.174
grtbievf.www.lzu.com.    IN    A    20.75.118.86
putncqoh.www.lzu.com.    IN    A    92.255.203.148
ytqgjamo.www.lzu.com.    IN    A    22.180.99.25
ckdwxsmv.www.lzu.com.    IN    A    26.228.31.230
kojwqiah.www.lzu.com.    IN    A    26.108.49.208
vhfsubnj.www.lzu.com.    IN    A    156.195.137.185
twdjulkm.www.lzu.com.    IN    A    157.135.56.29
nbhqirtc.www.lzu.com.    IN    A    24.168.252.92
eoiymldv.www.lzu.com.    IN    A    96.191.133.223
itpxkcrm.www.lzu.com.    IN    A    140.22.133.59
nhefworl.www.lzu.com.    IN    A    173.59.24.196
kghtqxdr.www.lzu.com.    IN    A    53.253.134.114
lyonhpxa.www.lzu.com.    IN    A    224.214.38.83
ahumdyqi.www.lzu.com.    IN    A    84.188.178.106
quhwbyrc.www.lzu.com.    IN    A    28.48.124.6
hjmfwcqs.www.lzu.com.    IN    A    197.95.181.198
xcwdplmf.www.lzu.com.    IN    A    119.54.145.124
jxqeicvu.www.lzu.com.    IN    A    220.49.158.0
ofdkrewq.www.lzu.com.    IN    A    254.165.109.131
xcbdowth.www.lzu.com.    IN    A    98.227.240.55
tsqegxvb.www.lzu.com.    IN    A    71.130.31.179
gjlvambe.www.lzu.com.    IN    A    197.249.254.168
owcesvgy.www.lzu.com.    IN    A    48.179.117.167
lueqibty.www.lzu.com.    IN    A    38.229.7.252
nsvaekdu.www.lzu.com.    IN    A    217.97.252.21
whxgjkds.www.lzu.com.    IN    A    48.1.200.83
ldyvqeag.www.lzu.com.    IN    A    86.153.127.173
tcfxswuv.www.lzu.com.    IN    A    250.69.196.34
rswmxjha.www.lzu.com.    IN    A    144.243.218.232
npxcsury.www.lzu.com.    IN    A    148.29.232.29
mvslpaon.www.lzu.com.    IN    A    108.100.33.104
vilumdwx.www.lzu.com.    IN    A    46.19.162.115
ioacpljn.www.lzu.com.    IN    A    73.253.164.214
pxgnbmdj.www.lzu.com.    IN    A    94.30.162.142
iprcwtug.www.lzu.com.    IN    A    197.247.1.228
radjuvhc.www.lzu.com.    IN    A    52.230.146.127
ryjfmqwo.www.lzu.com.    IN    A    25.217.154.73
figshakq.www.lzu.com.    IN    A    86.50.236.252
cguwleay.www.lzu.com.    IN    A    87.68.110.48
uxdswebr.www.lzu.com.    IN    A    141.32.146.179
ivtxhsbd.www.lzu.com.    IN    A    165.4.83.184
pbmjglyq.www.lzu.com.    IN    A    122.228.78.48
wmjfxhvs.www.lzu.com.    IN    A    253.41.216.146
eqpflkhu.www.lzu.com.    IN    A    77.102.179.240
bphkwlti.www.lzu.com.    IN    A    232.245.67.42
iqjvuycl.www.lzu.com.    IN    A    163.81.155.140
umftplwd.www.lzu.com.    IN    A    151.145.81.221
seyxucvh.www.lzu.com.    IN    A    180.103.122.135
swxjubvf.www.lzu.com.    IN    A    195.36.124.189
vomtcief.www.lzu.com.    IN    A    54.83.36.196
geiapxyb.www.lzu.com.    IN    A    64.114.153.244
labdtvwr.www.lzu.com.    IN    A    222.238.46.190
sbgrkjly.www.lzu.com.    IN    A    89.206.47.160
utgnrmia.www.lzu.com.    IN    A    51.243.195.132
huiokgsq.www.lzu.com.    IN    A    21.50.6.55
yawjqotl.www.lzu.com.    IN    A    198.103.31.244
soickmre.www.lzu.com.    IN    A    7.130.6.147
gdxspauk.www.lzu.com.    IN    A    116.54.9.167
ldhugkvb.www.lzu.com.    IN    A    228.139.91.63
kljinpaq.www.lzu.com.    IN    A    139.100.118.0
coqtxinj.www.lzu.com.    IN    A    253.64.118.245
qfdncwot.www.lzu.com.    IN    A    42.140.184.225
pqybtsai.www.lzu.com.    IN    A    64.121.64.121
gyracovf.www.lzu.com.    IN    A    156.115.125.148
jxvdrnmo.www.lzu.com.    IN    A    98.140.184.189
visftenu.www.lzu.com.    IN    A    233.175.99.61
ixuasgvh.www.lzu.com.    IN    A    231.185.207.215
lntacdfg.www.lzu.com.    IN    A    120.209.231.10
rmtjuinx.www.lzu.com.    IN    A    122.49.83.157
ligqrtvh.www.lzu.com.    IN    A    100.136.210.85
nwxbhlqv.www.lzu.com.    IN    A    142.10.253.140
rfchmlds.www.lzu.com.    IN    A    219.142.158.184
smlicunx.www.lzu.com.    IN    A    228.4.154.171
cvxwkbqm.www.lzu.com.    IN    A    250.108.189.152
qejhrpbd.www.lzu.com.    IN    A    15.70.63.41
hoxrwbfa.www.lzu.com.    IN    A    182.36.191.241
lheufrpy.www.lzu.com.    IN    A    188.26.36.147
jtkcwvdp.www.lzu.com.    IN    A    10.1.253.11
cphfrywe.www.lzu.com.    IN    A    130.230.200.41
abfcynpw.www.lzu.com.    IN    A    182.38.156.61
cgqbhxtj.www.lzu.com.    IN    A    119.137.40.42
fmptygho.www.lzu.com.    IN    A    159.14.15.106
xgeltfok.www.lzu.com.    IN    A    171.182.35.73
pcqlgxyf.www.lzu.com.    IN    A    192.225.126.213
wxlpeifm.www.lzu.com.    IN    A    119.109.110.175
jrntqlix.www.lzu.com.    IN    A    35.59.250.235
vrtcfspa.www.lzu.com.    IN    A    29.159.91.45
guebydcx.www.lzu.com.    IN    A    6.34.192.129
obxfvsrp.www.lzu.com.    IN    A    32.105.157.131
pyrvlnxj.www.lzu.com.    IN    A    76.221.157.217
cednthwv.www.lzu.com.    IN    A    48.184.120.135
yfatlrow.www.lzu.com.    IN    A    16.13.233.200
paqyodvn.www.lzu.com.    IN    A    101.43.131.26
kngdojxh.www.lzu.com.    IN    A    157.202.138.1
yrfqjihl.www.lzu.com.    IN    A    80.75.149.147
nlwecrib.www.lzu.com.    IN    A    107.201.151.150
lgcwtomf.www.lzu.com.    IN    A    148.170.73.227
bglkhvmq.www.lzu.com.    IN    A    51.11.56.87
fmojlbip.www.lzu.com.    IN    A    57.19.93.50
uemdascb.www.lzu.com.    IN    A    44.250.26.139
qygpntdi.www.lzu.com.    IN    A    180.39.113.66
nxgbmsjh.www.lzu.com.    IN    A    134.99.35.124
fycrwdla.www.lzu.com.    IN    A    143.183.27.124
duenbvlr.www.lzu.com.    IN    A    124.194.17.51
ghwufyop.www.lzu.com.    IN    A    224.209.14.223
hoxfwrdk.www.lzu.com.    IN    A    180.190.231.208
lcjdpoyu.www.lzu.com.    IN    A    67.208.250.175
scgekmbp.www.lzu.com.    IN    A    161.165.85.196
aqxuflmo.www.lzu.com.    IN    A    31.168.139.36
scntjbdk.www.lzu.com.    IN    A    84.238.64.209
rhqiyscp.www.lzu.com.    IN    A    165.135.84.161
hqdktera.www.lzu.com.    IN    A    16.158.240.194
kngleuws.www.lzu.com.    IN    A    144.106.74.55
ofndykjb.www.lzu.com.    IN    A    110.219.113.42
vbmsnlck.www.lzu.com.    IN    A    206.119.5.78
qsnaimoe.www.lzu.com.    IN    A    109.115.201.230
aykfeqwr.www.lzu.com.    IN    A    180.150.67.4
ktrvgdiq.www.lzu.com.    IN    A    130.210.102.111
fybwqpdm.www.lzu.com.    IN    A    120.11.245.213
glbopedt.www.lzu.com.    IN    A    148.203.90.45
mhxfjlea.www.lzu.com.    IN    A    194.50.123.45
xpcgdlnr.www.lzu.com.    IN    A    61.217.95.57
sgdylinp.www.lzu.com.    IN    A    240.159.107.103
timewcyv.www.lzu.com.    IN    A    97.69.247.9
vwrejunb.www.lzu.com.    IN    A    192.202.167.146
fpygoutl.www.lzu.com.    IN    A    197.100.201.140
yushfglo.www.lzu.com.    IN    A    172.7.94.246
sakhcufp.www.lzu.com.    IN    A    236.143.170.202
wjfnpsrg.www.lzu.com.    IN    A    197.18.130.197
puarhvwy.www.lzu.com.    IN    A    230.164.41.153
monvegwj.www.lzu.com.    IN    A    104.94.98.44
wtqykjxa.www.lzu.com.    IN    A    25.232.147.168
whemocfi.www.lzu.com.    IN    A    164.60.185.179
sebxiucy.www.lzu.com.    IN    A    73.248.113.27
krodtfgu.www.lzu.com.    IN    A    241.248.37.8
oxbkerty.www.lzu.com.    IN    A    8.207.106.69
itsechxv.www.lzu.com.    IN    A    92.143.198.182
kbpdrxoe.www.lzu.com.    IN    A    109.178.22.181
jlxsmpgf.www.lzu.com.    IN    A    180.233.223.211
ouhmpnwt.www.lzu.com.    IN    A    177.251.79.55
hqaswnfk.www.lzu.com.    IN    A    236.123.122.110
kwdoygib.www.lzu.com.    IN    A    92.79.46.83
raubhfwg.www.lzu.com.    IN    A    225.177.148.182
mhsvtwub.www.lzu.com.    IN    A    53.184.195.40
prmknixv.www.lzu.com.    IN    A    47.201.115.104
bwciyhvu.www.lzu.com.    IN    A    38.11.248.232
hkjneuic.www.lzu.com.    IN    A    111.88.154.148
jdeyuwsf.www.lzu.com.    IN    A    7.128.156.145
dytxuhis.www.lzu.com.    IN    A    19.115.63.72
xtqjbpdi.www.lzu.com.    IN    A    123.87.202.38
fvipdjsl.www.lzu.com.    IN    A    114.67.80.249
tudakirc.www.lzu.com.    IN    A    93.108.172.126
jsupfrvc.www.lzu.com.    IN    A    172.110.238.84
trycdxjl.www.lzu.com.    IN    A    171.99.87.249
bikmsrjp.www.lzu.com.    IN    A    243.229.102.247
gnkpbwax.www.lzu.com.    IN    A    85.213.20.36
akqievlc.www.lzu.com.    IN    A    141.179.185.43
gcjmhnow.www.lzu.com.    IN    A    165.141.118.35
seobhywk.www.lzu.com.    IN    A    215.113.28.41
malfqisp.www.lzu.com.    IN    A    167.83.173.6
nhkvieqs.www.lzu.com.    IN    A    157.228.223.95
dqewyutj.www.lzu.com.    IN    A    32.26.107.116
tylhcrxa.www.lzu.com.    IN    A    250.240.226.53
dpyijonh.www.lzu.com.    IN    A    63.45.158.129
mfypgweb.www.lzu.com.    IN    A    3.31.171.146
lfmebkgy.www.lzu.com.    IN    A    89.17.77.126
wnspvkry.www.lzu.com.    IN    A    87.92.152.76
ujmbrino.www.lzu.com.    IN    A    215.11.14.28
vlafeoqy.www.lzu.com.    IN    A    223.151.209.97
dtoubxsy.www.lzu.com.    IN    A    95.94.204.23
erkyxlfd.www.lzu.com.    IN    A    2.165.138.228
qtjyodfr.www.lzu.com.    IN    A    75.235.175.217
xkfqhbnv.www.lzu.com.    IN    A    198.150.33.97
krlancjx.www.lzu.com.    IN    A    74.238.33.101
gjeuwhmf.www.lzu.com.    IN    A    40.43.153.50
uwdcbfgp.www.lzu.com.    IN    A    142.169.30.138
qeaknglc.www.lzu.com.    IN    A    239.23.175.221
bahyjmun.www.lzu.com.    IN    A    100.56.8.1
bvndewia.www.lzu.com.    IN    A    34.46.107.132
nduobghl.www.lzu.com.    IN    A    109.239.154.242
mpgaexvi.www.lzu.com.    IN    A    199.80.230.148
nmjyfxld.www.lzu.com.    IN    A    204.204.11.253
brflgsyc.www.lzu.com.    IN    A    113.123.160.187
itwphjly.www.lzu.com.    IN    A    141.150.151.22
apcotwxm.www.lzu.com.    IN    A    47.194.178.241
ogbjcqnu.www.lzu.com.    IN    A    182.29.232.183
jcomqflb.www.lzu.com.    IN    A    78.81.44.133
ohecudqk.www.lzu.com.    IN    A    224.83.218.246
xekfdbtr.www.lzu.com.    IN    A    32.21.221.162
fkbowgih.www.lzu.com.    IN    A    99.106.153.165
kpgyajxr.www.lzu.com.    IN    A    50.208.2.199
ycjbpqhs.www.lzu.com.    IN    A    71.146.37.2
hwgjbfdk.www.lzu.com.    IN    A    25.63.158.51
fsaonrxi.www.lzu.com.    IN    A    157.216.233.210
hmagncxb.www.lzu.com.    IN    A    57.223.67.136
dvsxfuar.www.lzu.com.    IN    A    227.43.246.28
ymugweds.www.lzu.com.    IN    A    139.39.139.62
faevtuln.www.lzu.com.    IN    A    4.47.40.223
gbascinh.www.lzu.com.    IN    A    55.203.184.168
yinmqlrh.www.lzu.com.    IN    A    105.166.14.37
vmotgnfd.www.lzu.com.    IN    A    27.37.176.14
saoyrehc.www.lzu.com.    IN    A    130.96.131.47
pfoqjyad.www.lzu.com.    IN    A    191.47.76.12
qhgenwml.www.lzu.com.    IN    A    19.194.19.84
ciwfyega.www.lzu.com.    IN    A    89.66.255.205
dcylteph.www.lzu.com.    IN    A    240.156.140.32
sxmniafo.www.lzu.com.    IN    A    61.22.95.105
pxfycqvr.www.lzu.com.    IN    A    100.83.106.243
xhjcbenm.www.lzu.com.    IN    A    235.216.104.191
kingjveh.www.lzu.com.    IN    A    134.109.111.205
wxlecpnt.www.lzu.com.    IN    A    71.170.163.203
huofkmra.www.lzu.com.    IN    A    220.54.71.216
qfjwmdxs.www.lzu.com.    IN    A    197.58.4.24
dvckflgw.www.lzu.com.    IN    A    222.144.198.96
rsyeifwo.www.lzu.com.    IN    A    169.142.172.175
irtkvegf.www.lzu.com.    IN    A    83.12.219.132
lovaskyj.www.lzu.com.    IN    A    242.175.161.119
vuaqcyeo.www.lzu.com.    IN    A    129.39.113.228
tkcambhx.www.lzu.com.    IN    A    54.142.156.142
rqeisanp.www.lzu.com.    IN    A    66.111.201.86
rdfyhpmt.www.lzu.com.    IN    A    199.30.246.232
bigdswxn.www.lzu.com.    IN    A    18.26.135.31
nhkldfrm.www.lzu.com.    IN    A    168.235.50.104
mtcoyxkb.www.lzu.com.    IN    A    201.194.71.1
rmgbkoup.www.lzu.com.    IN    A    233.220.36.213
jwchfyus.www.lzu.com.    IN    A    147.150.146.136
oibjdqmr.www.lzu.com.    IN    A    72.161.138.79
efbysqjv.www.lzu.com.    IN    A    61.214.78.29
ofxbldqe.www.lzu.com.    IN    A    128.33.166.117
wlorkuyd.www.lzu.com.    IN    A    236.216.188.131
gwuioclp.www.lzu.com.    IN    A    143.200.3.251
ndgqbflv.www.lzu.com.    IN    A    250.132.130.57
cftjxown.www.lzu.com.    IN    A    54.113.234.199
gdqksaux.www.lzu.com.    IN    A    91.121.208.88
jgsimkbo.www.lzu.com.    IN    A    164.239.73.190
haxmbwtc.www.lzu.com.    IN    A    181.19.226.204
rdsqvujx.www.lzu.com.    IN    A    207.165.106.240
ljixpfhu.www.lzu.com.    IN    A    65.82.70.252
lpujkctn.www.lzu.com.    IN    A    94.5.222.163
imcpqudl.www.lzu.com.    IN    A    24.178.114.202
qlgdtmha.www.lzu.com.    IN    A    95.161.190.186
bveokaxc.www.lzu.com.    IN    A    231.243.106.86
qghfeusn.www.lzu.com.    IN    A    99.54.181.48
qmanldvt.www.lzu.com.    IN    A    16.5.215.220
ayfpdvqj.www.lzu.com.    IN    A    178.200.231.128
ivmebqha.www.lzu.com.    IN    A    122.221.200.177
usopmwle.www.lzu.com.    IN    A    145.95.103.118
lhmvijeo.www.lzu.com.    IN    A    158.22.232.145
xtsyqeag.www.lzu.com.    IN    A    226.0.252.198
psinxecd.www.lzu.com.    IN    A    115.60.172.0
ogfsvyjl.www.lzu.com.    IN    A    239.229.253.209
pevguqmr.www.lzu.com.    IN    A    115.165.151.66
vxkyghle.www.lzu.com.    IN    A    236.50.137.148
aogcefyi.www.lzu.com.    IN    A    145.214.26.122
jarlnyqx.www.lzu.com.    IN    A    241.227.38.252
capotdwb.www.lzu.com.    IN    A    180.193.52.106
lemwdyrg.www.lzu.com.    IN    A    173.141.219.129
suadbjig.www.lzu.com.    IN    A    101.75.137.59
beiwgnhc.www.lzu.com.    IN    A    9.168.152.208
aieogrly.www.lzu.com.    IN    A    215.64.172.199
qcwoayfn.www.lzu.com.    IN    A    231.119.99.210
fyecpiwu.www.lzu.com.    IN    A    4.14.231.52
lhjqmuxc.www.lzu.com.    IN    A    53.172.108.9
otwyesmn.www.lzu.com.    IN    A    195.153.236.231
cofvkgjt.www.lzu.com.    IN    A    37.78.204.12
desxarlq.www.lzu.com.    IN    A    112.148.144.200
hevnwadi.www.lzu.com.    IN    A    79.112.61.255
xcpklrya.www.lzu.com.    IN    A    14.140.251.49
aoentkim.www.lzu.com.    IN    A    153.233.124.67
sbfxawkc.www.lzu.com.    IN    A    148.65.0.18
ykcojuep.www.lzu.com.    IN    A    252.90.72.10
lkqeiofu.www.lzu.com.    IN    A    95.57.114.245
thsodnkg.www.lzu.com.    IN    A    151.144.133.42
konvmijf.www.lzu.com.    IN    A    210.97.221.177
csbyrftp.www.lzu.com.    IN    A    26.62.186.4
msjvnpkl.www.lzu.com.    IN    A    241.176.1.62
japsvgrc.www.lzu.com.    IN    A    12.149.144.31
wiveypcs.www.lzu.com.    IN    A    126.216.65.129
rnxmjkyo.www.lzu.com.    IN    A    152.238.24.49
youcigtq.www.lzu.com.    IN    A    149.81.84.70
duahjesf.www.lzu.com.    IN    A    179.199.163.37
qbxjorti.www.lzu.com.    IN    A    188.225.37.226
mbxofieh.www.lzu.com.    IN    A    222.112.206.87
uwrhdjyn.www.lzu.com.    IN    A    58.22.65.105
yqidnlfs.www.lzu.com.    IN    A    222.128.243.203
gvuhitxw.www.lzu.com.    IN    A    42.124.69.169
nfkxalbo.www.lzu.com.    IN    A    207.247.142.1
xihpfogk.www.lzu.com.    IN    A    225.6.198.249
omfxibyq.www.lzu.com.    IN    A    229.102.249.8
inwdkmcs.www.lzu.com.    IN    A    87.222.194.236
trabknje.www.lzu.com.    IN    A    114.185.52.58
ltpefqbo.www.lzu.com.    IN    A    29.176.187.13
pfotiwqj.www.lzu.com.    IN    A    166.115.239.46
bfurqyji.www.lzu.com.    IN    A    40.27.88.241
lgtiuqmr.www.lzu.com.    IN    A    213.138.24.34
cotpvkjy.www.lzu.com.    IN    A    40.13.106.249
aosnpvtx.www.lzu.com.    IN    A    1.12.56.235
tljxhsud.www.lzu.com.    IN    A    190.42.176.27
oevscyak.www.lzu.com.    IN    A    69.170.145.104
fuaptnjm.www.lzu.com.    IN    A    196.170.77.78
ksiabeoh.www.lzu.com.    IN    A    11.168.118.217
gjlsmqvr.www.lzu.com.    IN    A    135.109.149.75
gtbqyncv.www.lzu.com.    IN    A    206.203.225.216
mogxvfsw.www.lzu.com.    IN    A    65.2.82.243
qjetubdi.www.lzu.com.    IN    A    114.132.228.247
wxjacfqr.www.lzu.com.    IN    A    21.101.158.229
rsolpfqu.www.lzu.com.    IN    A    75.187.127.32
rihltasu.www.lzu.com.    IN    A    126.4.250.221
qmvrtghy.www.lzu.com.    IN    A    255.154.34.9
hrdjksoy.www.lzu.com.    IN    A    111.226.199.141
avnfghxq.www.lzu.com.    IN    A    80.158.60.106
msflxdjp.www.lzu.com.    IN    A    8.28.6.69
nedogqts.www.lzu.com.    IN    A    202.81.254.161
rgwscnbj.www.lzu.com.    IN    A    231.100.147.105
snekidrv.www.lzu.com.    IN    A    32.217.163.224
qlcubtij.www.lzu.com.    IN    A    199.66.92.24
mlpkqvwh.www.lzu.com.    IN    A    102.187.108.230
qtcsjufb.www.lzu.com.    IN    A    161.101.34.59
mqtvjeup.www.lzu.com.    IN    A    70.243.243.255
yrqekihj.www.lzu.com.    IN    A    7.16.142.129
lufbrvjn.www.lzu.com.    IN    A    148.237.212.18
cfytjhgk.www.lzu.com.    IN    A    55.228.126.113
oahsdciv.www.lzu.com.    IN    A    59.30.35.175
pqlksrit.www.lzu.com.    IN    A    84.5.197.207
slnhqeag.www.lzu.com.    IN    A    148.39.25.138
wtfhkvli.www.lzu.com.    IN    A    6.236.141.235
ikgouhyr.www.lzu.com.    IN    A    209.241.125.225
wfvuhtea.www.lzu.com.    IN    A    189.203.194.231
crvyqhoi.www.lzu.com.    IN    A    249.97.17.107
ghjlwuyf.www.lzu.com.    IN    A    80.141.69.219
htuakler.www.lzu.com.    IN    A    2.76.64.234
txyurblw.www.lzu.com.    IN    A    201.235.66.203
ylcjwmti.www.lzu.com.    IN    A    88.177.61.125
oswytbcp.www.lzu.com.    IN    A    188.180.131.85
sfdihblt.www.lzu.com.    IN    A    211.254.59.32
krcgjyip.www.lzu.com.    IN    A    25.121.61.85
xrgelioa.www.lzu.com.    IN    A    198.88.84.47
fnxopjiv.www.lzu.com.    IN    A    199.243.71.245
vlkerwmo.www.lzu.com.    IN    A    76.228.141.7
byloauhe.www.lzu.com.    IN    A    144.92.147.56
culjfxds.www.lzu.com.    IN    A    126.115.193.102
tfagcsvq.www.lzu.com.    IN    A    173.237.55.55
bnhdiqgr.www.lzu.com.    IN    A    122.184.122.251
isplcktn.www.lzu.com.    IN    A    88.199.5.143
ygeujnhf.www.lzu.com.    IN    A    241.173.81.17
ciebatfq.www.lzu.com.    IN    A    114.34.24.48
xvkranou.www.lzu.com.    IN    A    235.11.0.218
astxmkrf.www.lzu.com.    IN    A    108.24.46.91
vsuxqwmk.www.lzu.com.    IN    A    228.251.40.182
ketmdoup.www.lzu.com.    IN    A    106.231.26.173
bcgovmup.www.lzu.com.    IN    A    206.87.131.15
qayrnhtd.www.lzu.com.    IN    A    210.81.213.50
ymgvukeo.www.lzu.com.    IN    A    176.171.109.52
oyxmhgfp.www.lzu.com.    IN    A    83.116.150.163
bqepngur.www.lzu.com.    IN    A    32.151.21.190
kwroadsn.www.lzu.com.    IN    A    255.38.166.201
laxqswif.www.lzu.com.    IN    A    6.23.30.218
soytnimg.www.lzu.com.    IN    A    157.48.60.68
ehwkyjop.www.lzu.com.    IN    A    188.155.194.70
nvackioy.www.lzu.com.    IN    A    57.179.64.171
eardmolc.www.lzu.com.    IN    A    251.109.189.51
txnevigc.www.lzu.com.    IN    A    179.132.238.174
txfqyrus.www.lzu.com.    IN    A    229.221.155.96
snuaptjw.www.lzu.com.    IN    A    121.238.44.32
rhexwciy.www.lzu.com.    IN    A    65.229.180.173
evwmitdp.www.lzu.com.    IN    A    78.129.210.74
volxbskp.www.lzu.com.    IN    A    48.117.115.64
tnqebkpd.www.lzu.com.    IN    A    3.206.138.77
lgocidrw.www.lzu.com.    IN    A    97.229.214.211
ernkujpw.www.lzu.com.    IN    A    90.123.150.171
xtnqvawl.www.lzu.com.    IN    A    162.20.40.103
csekyrno.www.lzu.com.    IN    A    179.72.157.136
xdbmglck.www.lzu.com.    IN    A    80.238.103.6
hljgyqis.www.lzu.com.    IN    A    255.25.142.122
rwbhjegy.www.lzu.com.    IN    A    214.1.83.25
hxtevbdo.www.lzu.com.    IN    A    139.150.210.134
itmlocja.www.lzu.com.    IN    A    183.167.222.65
xlshriaj.www.lzu.com.    IN    A    157.199.187.236
dvemakpl.www.lzu.com.    IN    A    13.69.191.207
dgvaoifl.www.lzu.com.    IN    A    89.139.187.237
nxqmsbte.www.lzu.com.    IN    A    241.248.44.53
dpogwtmh.www.lzu.com.    IN    A    173.4.157.45
fxpmdels.www.lzu.com.    IN    A    45.36.54.39
wfyruind.www.lzu.com.    IN    A    57.124.192.15
bliqauvy.www.lzu.com.    IN    A    228.62.149.79
npkwomlt.www.lzu.com.    IN    A    214.137.52.186
upokeamh.www.lzu.com.    IN    A    128.204.181.48
kwnuaerb.www.lzu.com.    IN    A    252.126.128.225
cxfgsonq.www.lzu.com.    IN    A    245.191.113.96
