www.whu.com. 	14400	IN	SOA	ns1.www.whu.com. james.whu.edu. 19122302 14400 3600 2419200 14400
www.whu.com.		    IN	NS ns1.www.whu.com.
pifuwesk.www.whu.com.    IN    A    171.210.85.113
yswfubqc.www.whu.com.    IN    A    50.36.131.16
inecgupk.www.whu.com.    IN    A    241.22.135.205
roblwsxk.www.whu.com.    IN    A    119.75.93.214
dwifumhg.www.whu.com.    IN    A    87.111.107.98
xvknlwqr.www.whu.com.    IN    A    163.207.242.104
mkwavtcb.www.whu.com.    IN    A    96.83.250.234
isdjpqaf.www.whu.com.    IN    A    178.42.36.73
arhgvsfe.www.whu.com.    IN    A    164.152.70.27
jwruqvcs.www.whu.com.    IN    A    63.210.237.243
xcnukwvq.www.whu.com.    IN    A    203.35.15.227
pijkvqdw.www.whu.com.    IN    A    71.192.87.245
nrqjuikv.www.whu.com.    IN    A    46.224.194.122
klfanrbg.www.whu.com.    IN    A    70.28.185.87
fbmsqacd.www.whu.com.    IN    A    121.213.218.9
kwembtli.www.whu.com.    IN    A    168.133.95.189
bxqvynhu.www.whu.com.    IN    A    112.109.55.255
usohgndq.www.whu.com.    IN    A    207.244.80.79
utnrgxmk.www.whu.com.    IN    A    62.77.136.55
isxvlkqb.www.whu.com.    IN    A    234.164.114.181
xvejyghs.www.whu.com.    IN    A    180.100.31.239
fsyxojwu.www.whu.com.    IN    A    145.64.37.6
ekmfoltu.www.whu.com.    IN    A    41.240.46.98
fotyrwug.www.whu.com.    IN    A    228.170.216.22
lnvqdiau.www.whu.com.    IN    A    239.203.81.201
fkrehast.www.whu.com.    IN    A    202.200.4.235
lkaxjsdt.www.whu.com.    IN    A    1.36.63.3
wntqugoe.www.whu.com.    IN    A    45.117.163.187
ktioyglw.www.whu.com.    IN    A    252.56.40.244
uwxsekdv.www.whu.com.    IN    A    126.98.32.49
fawlbdex.www.whu.com.    IN    A    165.200.95.154
fcvqpnsk.www.whu.com.    IN    A    149.145.214.14
nchjuesx.www.whu.com.    IN    A    67.140.54.119
mnkwlusp.www.whu.com.    IN    A    179.236.186.90
sxgyaflp.www.whu.com.    IN    A    14.218.123.109
idueytwl.www.whu.com.    IN    A    50.104.217.63
pknexygs.www.whu.com.    IN    A    60.132.160.218
cbwrdghv.www.whu.com.    IN    A    203.242.247.75
coywuhji.www.whu.com.    IN    A    223.73.166.219
kfcwpjxg.www.whu.com.    IN    A    30.133.89.84
vhycuojr.www.whu.com.    IN    A    114.243.89.105
hdknargp.www.whu.com.    IN    A    117.198.190.166
qpfvrwob.www.whu.com.    IN    A    46.253.143.171
iowrahjm.www.whu.com.    IN    A    174.6.90.210
ckeypard.www.whu.com.    IN    A    255.231.45.163
nfiqogmy.www.whu.com.    IN    A    30.5.67.178
qlsuxtic.www.whu.com.    IN    A    188.11.123.71
rshdonwi.www.whu.com.    IN    A    142.174.186.242
jkwbsire.www.whu.com.    IN    A    29.251.225.59
rghuxcaw.www.whu.com.    IN    A    180.11.189.216
ngmvbxfh.www.whu.com.    IN    A    6.162.57.76
uanrlyev.www.whu.com.    IN    A    51.109.139.114
mdulpqfg.www.whu.com.    IN    A    165.238.169.138
iprgmwsy.www.whu.com.    IN    A    169.70.98.78
cwiksvnl.www.whu.com.    IN    A    43.234.237.56
bnsjcqva.www.whu.com.    IN    A    2.137.139.79
whaokuid.www.whu.com.    IN    A    103.83.108.149
xpgouksc.www.whu.com.    IN    A    250.3.148.80
bkqruhji.www.whu.com.    IN    A    106.22.166.128
mdcukhoi.www.whu.com.    IN    A    101.185.143.111
togsaqil.www.whu.com.    IN    A    35.167.95.132
espnojbu.www.whu.com.    IN    A    1.84.254.61
yajkiwes.www.whu.com.    IN    A    58.214.152.46
kwprnisb.www.whu.com.    IN    A    78.157.1.122
wldbxvcy.www.whu.com.    IN    A    150.220.216.81
nkwmjgua.www.whu.com.    IN    A    202.222.186.227
srcpfgtk.www.whu.com.    IN    A    158.79.94.3
eyubqxrm.www.whu.com.    IN    A    249.49.236.104
rhvecdjo.www.whu.com.    IN    A    47.117.210.31
sbidnpvo.www.whu.com.    IN    A    200.76.3.89
adpfstue.www.whu.com.    IN    A    220.97.127.93
tebxycod.www.whu.com.    IN    A    183.77.165.162
wmsnecpl.www.whu.com.    IN    A    124.108.74.243
alstgyfx.www.whu.com.    IN    A    47.57.224.25
xocanvpk.www.whu.com.    IN    A    126.8.16.29
aupcybgd.www.whu.com.    IN    A    219.109.101.180
mslyxeqh.www.whu.com.    IN    A    125.82.255.133
oaechxuv.www.whu.com.    IN    A    147.82.212.54
bormnjsi.www.whu.com.    IN    A    35.2.20.90
ergxudfc.www.whu.com.    IN    A    235.200.54.202
eqjfaitl.www.whu.com.    IN    A    71.154.3.126
mtvkinpc.www.whu.com.    IN    A    113.43.170.231
jvaomkud.www.whu.com.    IN    A    5.42.110.210
exjloihg.www.whu.com.    IN    A    195.243.104.171
iugfeqra.www.whu.com.    IN    A    28.36.214.147
gknvtdfu.www.whu.com.    IN    A    125.134.156.73
uakxefdt.www.whu.com.    IN    A    128.174.105.116
wpdumgha.www.whu.com.    IN    A    98.88.47.217
qejuisal.www.whu.com.    IN    A    80.8.4.103
qgysndaf.www.whu.com.    IN    A    229.157.1.203
jybxgswq.www.whu.com.    IN    A    238.181.234.100
dapfmnyr.www.whu.com.    IN    A    14.46.209.164
dchfoqva.www.whu.com.    IN    A    176.158.23.171
mtcvonue.www.whu.com.    IN    A    171.253.137.73
lkustfap.www.whu.com.    IN    A    188.125.119.87
mgodsbkt.www.whu.com.    IN    A    10.122.189.179
bawpmkye.www.whu.com.    IN    A    159.114.46.244
vudkanfx.www.whu.com.    IN    A    55.25.148.106
hfrwqmsk.www.whu.com.    IN    A    154.121.101.53
mfshukvd.www.whu.com.    IN    A    29.45.10.46
nljswtqb.www.whu.com.    IN    A    39.249.101.168
graqwemk.www.whu.com.    IN    A    13.147.195.244
tbipxlco.www.whu.com.    IN    A    189.220.122.106
cnsotxuw.www.whu.com.    IN    A    88.198.108.13
jvfnwqoa.www.whu.com.    IN    A    24.60.250.167
qgjvpnex.www.whu.com.    IN    A    164.119.48.241
rhogvced.www.whu.com.    IN    A    50.64.220.159
vctnomrg.www.whu.com.    IN    A    214.234.98.232
xvacrshk.www.whu.com.    IN    A    115.15.244.101
sqbiowpl.www.whu.com.    IN    A    166.209.154.128
vbxjclfn.www.whu.com.    IN    A    165.232.0.231
iwhxvkrm.www.whu.com.    IN    A    0.248.248.9
bhqgknpv.www.whu.com.    IN    A    58.40.52.192
dyujmhgq.www.whu.com.    IN    A    10.166.135.63
lmstfnrx.www.whu.com.    IN    A    141.74.28.236
hecifokb.www.whu.com.    IN    A    79.242.94.69
ftewrhvb.www.whu.com.    IN    A    18.211.171.171
dovujnch.www.whu.com.    IN    A    230.162.84.4
wtfarphm.www.whu.com.    IN    A    110.33.219.131
gfxywtku.www.whu.com.    IN    A    81.194.173.93
bxhesckq.www.whu.com.    IN    A    118.126.162.113
smyhbxcd.www.whu.com.    IN    A    117.14.14.153
peahblwn.www.whu.com.    IN    A    121.35.179.39
qydusghi.www.whu.com.    IN    A    93.80.58.70
ejugbtwc.www.whu.com.    IN    A    54.118.17.98
voxgbftw.www.whu.com.    IN    A    49.79.64.241
oetdmnsl.www.whu.com.    IN    A    140.98.100.75
lvctmbde.www.whu.com.    IN    A    128.206.28.238
caqkrgpb.www.whu.com.    IN    A    131.236.245.74
xeqjuiwr.www.whu.com.    IN    A    224.24.195.182
vmdjpchs.www.whu.com.    IN    A    113.116.244.192
aybqhglo.www.whu.com.    IN    A    157.206.59.166
dkbxnpym.www.whu.com.    IN    A    153.63.149.89
quxafegk.www.whu.com.    IN    A    144.2.220.3
dnisqrov.www.whu.com.    IN    A    43.204.53.88
bsdtycoa.www.whu.com.    IN    A    123.127.129.52
fdalwvob.www.whu.com.    IN    A    237.141.129.133
mpluwsrn.www.whu.com.    IN    A    72.185.4.21
yganohrk.www.whu.com.    IN    A    8.7.81.24
qmfdaxvn.www.whu.com.    IN    A    136.244.69.220
irhxbdtw.www.whu.com.    IN    A    141.93.150.204
jvgtaeho.www.whu.com.    IN    A    62.158.200.28
hwpfdiyu.www.whu.com.    IN    A    76.252.6.107
bkynsgfq.www.whu.com.    IN    A    46.146.224.20
dupycxae.www.whu.com.    IN    A    15.41.186.208
qvpofsje.www.whu.com.    IN    A    121.32.96.152
fbitpgya.www.whu.com.    IN    A    242.46.121.69
taybjonh.www.whu.com.    IN    A    109.244.16.208
vicbtdfg.www.whu.com.    IN    A    39.228.185.128
uqvhsoyg.www.whu.com.    IN    A    111.131.139.130
tjpencvd.www.whu.com.    IN    A    88.217.209.133
dbehsqty.www.whu.com.    IN    A    19.114.136.130
bhswnleg.www.whu.com.    IN    A    47.112.20.99
yiobwack.www.whu.com.    IN    A    107.227.154.61
lbthgrkv.www.whu.com.    IN    A    194.195.54.76
hamnexfk.www.whu.com.    IN    A    26.146.201.2
prdegbqo.www.whu.com.    IN    A    162.73.158.52
xqwkcnpm.www.whu.com.    IN    A    26.128.29.61
esukrdtv.www.whu.com.    IN    A    136.35.61.249
uqnbrdvg.www.whu.com.    IN    A    192.113.165.216
hloyrcwx.www.whu.com.    IN    A    35.128.134.168
gucbsqrd.www.whu.com.    IN    A    104.133.230.83
rokbycve.www.whu.com.    IN    A    223.84.155.11
ynxgcudb.www.whu.com.    IN    A    145.254.152.172
qrphnego.www.whu.com.    IN    A    253.126.206.63
fdwbuoci.www.whu.com.    IN    A    68.254.224.80
prvwelhu.www.whu.com.    IN    A    28.200.114.61
eulimdov.www.whu.com.    IN    A    43.64.85.161
lgifquvp.www.whu.com.    IN    A    210.44.9.240
inabkdtm.www.whu.com.    IN    A    137.117.21.21
nubdajcr.www.whu.com.    IN    A    95.68.205.163
qieokvad.www.whu.com.    IN    A    97.126.97.242
dlapwnyb.www.whu.com.    IN    A    214.145.8.253
afrntejy.www.whu.com.    IN    A    140.34.90.128
ukhiergx.www.whu.com.    IN    A    44.41.149.187
gdmtowsl.www.whu.com.    IN    A    216.104.31.96
ylvtnqsw.www.whu.com.    IN    A    215.224.63.224
lrmqedfw.www.whu.com.    IN    A    68.64.217.1
oqgixjkn.www.whu.com.    IN    A    116.193.214.195
nocxjpsf.www.whu.com.    IN    A    203.152.9.161
jdeauvmh.www.whu.com.    IN    A    26.143.8.14
uxlpnwvk.www.whu.com.    IN    A    144.238.38.46
nxorwtmk.www.whu.com.    IN    A    2.249.174.223
hwragmyk.www.whu.com.    IN    A    62.247.79.184
melkxnta.www.whu.com.    IN    A    121.3.148.185
lneqfwah.www.whu.com.    IN    A    244.89.247.72
pbqhejvi.www.whu.com.    IN    A    203.182.130.98
ljyowhts.www.whu.com.    IN    A    190.133.141.43
kdumpgoq.www.whu.com.    IN    A    188.2.200.119
cpefsjdr.www.whu.com.    IN    A    176.131.217.3
qwycbxmo.www.whu.com.    IN    A    170.95.210.104
iufxewka.www.whu.com.    IN    A    61.75.59.112
npyudlqo.www.whu.com.    IN    A    59.168.58.111
sfvdrbui.www.whu.com.    IN    A    154.35.201.128
hrickxbm.www.whu.com.    IN    A    101.247.162.229
sfxqhmub.www.whu.com.    IN    A    212.15.88.193
rglseqhw.www.whu.com.    IN    A    30.242.117.62
cxpbjeuv.www.whu.com.    IN    A    12.216.56.27
kjbnfgcm.www.whu.com.    IN    A    178.182.200.2
jatwelis.www.whu.com.    IN    A    108.62.176.89
fwsibrmg.www.whu.com.    IN    A    252.68.227.7
suoftnqr.www.whu.com.    IN    A    185.123.52.215
wkcxilvp.www.whu.com.    IN    A    1.62.198.247
cdrlpmxk.www.whu.com.    IN    A    221.108.206.104
olawufme.www.whu.com.    IN    A    182.100.121.215
hpicwbrs.www.whu.com.    IN    A    39.196.10.170
ingsbpla.www.whu.com.    IN    A    203.20.102.246
imqyhjdf.www.whu.com.    IN    A    26.181.142.17
whrpexsd.www.whu.com.    IN    A    65.44.167.157
pdlxitas.www.whu.com.    IN    A    68.253.131.109
kxsgwytf.www.whu.com.    IN    A    236.25.26.221
jimcualk.www.whu.com.    IN    A    37.199.203.255
qpdanlfr.www.whu.com.    IN    A    110.120.241.159
cqxdnfla.www.whu.com.    IN    A    194.27.208.24
noafutxy.www.whu.com.    IN    A    47.134.127.203
fdoeknvp.www.whu.com.    IN    A    16.100.110.73
ghklifxq.www.whu.com.    IN    A    162.171.244.121
vywbxrkc.www.whu.com.    IN    A    134.94.215.217
felhtnju.www.whu.com.    IN    A    50.179.193.107
aoxhmwjr.www.whu.com.    IN    A    121.196.45.159
inxakrfh.www.whu.com.    IN    A    142.81.224.229
fynaobux.www.whu.com.    IN    A    129.69.169.2
piaycmrx.www.whu.com.    IN    A    237.102.140.173
xeroivub.www.whu.com.    IN    A    231.240.221.142
vqlrodce.www.whu.com.    IN    A    242.156.142.124
dtnypikb.www.whu.com.    IN    A    21.59.4.24
hafrcltn.www.whu.com.    IN    A    43.68.89.41
ouwetxjh.www.whu.com.    IN    A    254.228.61.193
hwivtqgu.www.whu.com.    IN    A    109.254.126.69
onyrcevf.www.whu.com.    IN    A    243.237.158.91
hlbwnirv.www.whu.com.    IN    A    26.231.99.103
hqfmconv.www.whu.com.    IN    A    185.74.102.93
aometuwi.www.whu.com.    IN    A    48.2.196.120
huvpocjt.www.whu.com.    IN    A    242.125.169.220
emuqknay.www.whu.com.    IN    A    140.163.230.250
knvurdyl.www.whu.com.    IN    A    240.215.29.159
hrspkiqj.www.whu.com.    IN    A    13.175.50.159
qipnfdbw.www.whu.com.    IN    A    157.170.47.229
guoqwhcs.www.whu.com.    IN    A    249.204.99.215
lprsvoye.www.whu.com.    IN    A    16.106.35.232
ihvdxwmb.www.whu.com.    IN    A    124.137.90.185
qxfwbcou.www.whu.com.    IN    A    139.225.143.176
sgfakxmd.www.whu.com.    IN    A    182.78.180.183
alfswxgt.www.whu.com.    IN    A    121.255.25.70
temcsqyr.www.whu.com.    IN    A    133.235.166.162
jnbevfgk.www.whu.com.    IN    A    158.234.84.234
mhaykbir.www.whu.com.    IN    A    23.41.130.244
snpdoqmt.www.whu.com.    IN    A    212.187.202.112
xulebcga.www.whu.com.    IN    A    8.209.242.53
opwlmcar.www.whu.com.    IN    A    47.188.206.41
csoewbqd.www.whu.com.    IN    A    34.244.104.220
chuwgtor.www.whu.com.    IN    A    74.210.83.147
cgopjlyx.www.whu.com.    IN    A    108.209.16.240
boafrqik.www.whu.com.    IN    A    103.152.189.61
wonhfyeg.www.whu.com.    IN    A    176.163.155.179
cemfoxvp.www.whu.com.    IN    A    168.5.97.170
sqrcavpi.www.whu.com.    IN    A    225.134.78.196
bxaleocu.www.whu.com.    IN    A    196.219.214.172
gawclsxr.www.whu.com.    IN    A    64.15.111.94
fuykwcpb.www.whu.com.    IN    A    89.230.159.252
ubiawfhr.www.whu.com.    IN    A    199.110.113.139
jdmlfngq.www.whu.com.    IN    A    39.94.154.131
ldpmvnbc.www.whu.com.    IN    A    135.199.136.193
ymhgsulb.www.whu.com.    IN    A    76.165.193.201
apenulic.www.whu.com.    IN    A    109.9.35.52
ntjdamir.www.whu.com.    IN    A    59.134.140.88
mcdnwlky.www.whu.com.    IN    A    116.173.150.22
hnjeglqt.www.whu.com.    IN    A    100.128.16.190
ixreuodw.www.whu.com.    IN    A    199.162.115.252
sqrntpdm.www.whu.com.    IN    A    85.96.76.80
mptfnwcg.www.whu.com.    IN    A    152.1.216.162
yvefsgcb.www.whu.com.    IN    A    221.238.90.121
pakstxye.www.whu.com.    IN    A    18.26.16.45
gewxplro.www.whu.com.    IN    A    234.181.55.207
inmgdsyf.www.whu.com.    IN    A    7.117.68.46
gyixapmn.www.whu.com.    IN    A    219.203.212.173
wbflnkta.www.whu.com.    IN    A    249.191.17.185
rpexlgim.www.whu.com.    IN    A    235.179.119.161
hbodxtfn.www.whu.com.    IN    A    110.56.118.224
aqysnope.www.whu.com.    IN    A    38.139.196.135
gepuvckt.www.whu.com.    IN    A    136.110.55.105
cvxlqntp.www.whu.com.    IN    A    221.199.193.221
ltjugchn.www.whu.com.    IN    A    34.142.3.218
ihotgesq.www.whu.com.    IN    A    214.150.56.237
eyradlsg.www.whu.com.    IN    A    23.159.94.249
yrjquwkt.www.whu.com.    IN    A    156.37.43.63
tyompsua.www.whu.com.    IN    A    245.226.75.211
uyhntxja.www.whu.com.    IN    A    40.137.202.222
mlsgeoyq.www.whu.com.    IN    A    95.65.189.194
wuriaxec.www.whu.com.    IN    A    82.192.215.189
dkpmjsir.www.whu.com.    IN    A    226.8.226.3
agfnpqrm.www.whu.com.    IN    A    82.95.121.190
dvajcrpo.www.whu.com.    IN    A    166.224.135.199
bpjvqkwu.www.whu.com.    IN    A    120.189.121.51
skqljtgc.www.whu.com.    IN    A    66.187.195.151
kqglavjc.www.whu.com.    IN    A    127.196.169.94
fbasdjcu.www.whu.com.    IN    A    239.99.76.1
okdmqiuh.www.whu.com.    IN    A    248.180.250.198
mdkgqurj.www.whu.com.    IN    A    200.46.118.16
ibgpudas.www.whu.com.    IN    A    24.3.40.160
mjuebryg.www.whu.com.    IN    A    74.85.214.12
lahysofw.www.whu.com.    IN    A    78.5.193.2
qwyburdo.www.whu.com.    IN    A    214.230.226.26
tcksqegm.www.whu.com.    IN    A    2.230.115.159
sdhrmwie.www.whu.com.    IN    A    78.0.95.43
rcqojnlg.www.whu.com.    IN    A    129.31.2.190
devatxuo.www.whu.com.    IN    A    152.235.143.39
ijdcokyq.www.whu.com.    IN    A    130.190.119.127
ftqngcah.www.whu.com.    IN    A    207.8.234.157
vtgcnmxi.www.whu.com.    IN    A    92.85.51.129
tdxvnjrb.www.whu.com.    IN    A    129.19.23.169
whtrmxjg.www.whu.com.    IN    A    70.130.210.155
bvurekca.www.whu.com.    IN    A    146.22.180.95
cakgnoub.www.whu.com.    IN    A    210.106.62.134
jotrsahd.www.whu.com.    IN    A    178.112.255.196
mhsjiqaw.www.whu.com.    IN    A    157.145.18.82
fsviwbqx.www.whu.com.    IN    A    5.126.87.107
srypaigx.www.whu.com.    IN    A    233.94.32.135
qctrjaes.www.whu.com.    IN    A    193.74.136.87
givpknah.www.whu.com.    IN    A    77.2.127.136
vbwjhskm.www.whu.com.    IN    A    3.84.168.156
twylqnox.www.whu.com.    IN    A    245.92.209.144
nejmlaoh.www.whu.com.    IN    A    234.113.190.226
xarvkond.www.whu.com.    IN    A    73.236.161.40
xeibgmln.www.whu.com.    IN    A    1.181.160.150
cblqfrxh.www.whu.com.    IN    A    219.237.72.121
njeuvoql.www.whu.com.    IN    A    243.153.55.189
tqacykim.www.whu.com.    IN    A    216.211.48.71
bfeurdqo.www.whu.com.    IN    A    147.34.73.20
dioxrgbl.www.whu.com.    IN    A    102.247.120.60
etwrfmdu.www.whu.com.    IN    A    248.148.218.189
hxsewitu.www.whu.com.    IN    A    93.139.222.153
psxokbmi.www.whu.com.    IN    A    79.246.134.89
brjspevl.www.whu.com.    IN    A    219.191.0.172
mpsqbijv.www.whu.com.    IN    A    237.60.4.199
vmwnjdpl.www.whu.com.    IN    A    36.242.39.19
lekmoycw.www.whu.com.    IN    A    128.167.133.66
swjbgefx.www.whu.com.    IN    A    133.75.225.87
bvacsqjl.www.whu.com.    IN    A    10.51.127.60
mhtfgend.www.whu.com.    IN    A    120.137.145.177
dsvjumga.www.whu.com.    IN    A    76.219.122.86
pfnrykqi.www.whu.com.    IN    A    169.102.105.80
umitxsho.www.whu.com.    IN    A    148.149.124.162
vgnlufid.www.whu.com.    IN    A    29.56.66.104
gjecsvnk.www.whu.com.    IN    A    76.205.200.200
pjlhfrwy.www.whu.com.    IN    A    47.29.221.56
ghnqsbmj.www.whu.com.    IN    A    14.209.232.0
ombprgti.www.whu.com.    IN    A    243.188.192.34
txornawu.www.whu.com.    IN    A    244.164.243.234
fngqawhi.www.whu.com.    IN    A    222.47.74.156
nvehqpby.www.whu.com.    IN    A    189.159.215.62
beqgatxj.www.whu.com.    IN    A    57.241.112.5
xrtivwep.www.whu.com.    IN    A    177.4.223.22
nvsbtdcu.www.whu.com.    IN    A    172.45.141.235
welntiqc.www.whu.com.    IN    A    102.109.159.132
pgavrudc.www.whu.com.    IN    A    223.21.118.11
yanreusl.www.whu.com.    IN    A    138.104.227.76
cqdgvntx.www.whu.com.    IN    A    48.113.176.242
ioycxups.www.whu.com.    IN    A    131.107.109.137
qfilocta.www.whu.com.    IN    A    124.39.210.84
puqnytdi.www.whu.com.    IN    A    246.30.83.202
vwybhxdm.www.whu.com.    IN    A    250.255.74.236
xklinhev.www.whu.com.    IN    A    251.242.92.25
bylaqpcr.www.whu.com.    IN    A    29.122.58.212
kbivmngj.www.whu.com.    IN    A    143.60.33.12
iyflhqdk.www.whu.com.    IN    A    225.69.65.201
cyujmpne.www.whu.com.    IN    A    143.99.80.3
hcayobnq.www.whu.com.    IN    A    247.132.229.214
myshfaex.www.whu.com.    IN    A    90.112.162.35
jahletyu.www.whu.com.    IN    A    76.131.89.238
lmghnkya.www.whu.com.    IN    A    136.114.7.45
ncoafptj.www.whu.com.    IN    A    250.157.170.90
iknjadux.www.whu.com.    IN    A    85.35.8.39
kcomqalb.www.whu.com.    IN    A    64.206.125.29
fligvmcs.www.whu.com.    IN    A    117.48.21.109
tuakqnrw.www.whu.com.    IN    A    127.117.80.152
wxagmfsy.www.whu.com.    IN    A    181.246.106.216
kfryeita.www.whu.com.    IN    A    128.208.84.180
agbuxvmk.www.whu.com.    IN    A    217.20.1.109
yhmgodfi.www.whu.com.    IN    A    3.199.133.112
tjlakdbp.www.whu.com.    IN    A    56.18.226.239
dliaymhr.www.whu.com.    IN    A    216.244.29.72
iklbmxdg.www.whu.com.    IN    A    173.230.9.163
enladifq.www.whu.com.    IN    A    171.220.121.203
akqcvdie.www.whu.com.    IN    A    158.197.171.20
okngwcvq.www.whu.com.    IN    A    138.34.208.105
jvhaeufq.www.whu.com.    IN    A    83.229.130.140
solricyq.www.whu.com.    IN    A    190.198.161.3
snqcgwty.www.whu.com.    IN    A    214.5.135.130
esumcrva.www.whu.com.    IN    A    117.134.140.182
qspefbuo.www.whu.com.    IN    A    225.53.99.211
fvnodqix.www.whu.com.    IN    A    220.170.126.103
heialqsk.www.whu.com.    IN    A    210.181.241.161
pmxihnad.www.whu.com.    IN    A    31.108.23.133
jmqvkpcg.www.whu.com.    IN    A    9.147.163.223
qfhkctpd.www.whu.com.    IN    A    83.145.121.128
dncjrtkm.www.whu.com.    IN    A    163.237.212.15
ikdgfnux.www.whu.com.    IN    A    111.1.153.251
mncdubkw.www.whu.com.    IN    A    219.175.76.139
ngiawqlo.www.whu.com.    IN    A    201.56.65.55
dwulhvap.www.whu.com.    IN    A    185.184.237.162
tkxjerqs.www.whu.com.    IN    A    11.224.149.236
ciameqxs.www.whu.com.    IN    A    214.234.213.135
yxqudwks.www.whu.com.    IN    A    189.136.11.88
thifakoe.www.whu.com.    IN    A    4.227.238.47
dvohursw.www.whu.com.    IN    A    55.7.130.33
lvwcobxr.www.whu.com.    IN    A    136.249.34.87
dklcgbth.www.whu.com.    IN    A    26.198.37.57
dobvxtsh.www.whu.com.    IN    A    203.206.244.181
xftbnjdl.www.whu.com.    IN    A    174.199.239.70
ufsoervg.www.whu.com.    IN    A    84.71.159.97
vihjmkre.www.whu.com.    IN    A    157.250.171.8
ejxakqph.www.whu.com.    IN    A    102.97.180.237
uysnpfte.www.whu.com.    IN    A    153.21.28.180
daumockw.www.whu.com.    IN    A    52.188.236.47
vmekwnts.www.whu.com.    IN    A    154.188.67.143
voyanrkg.www.whu.com.    IN    A    151.89.193.87
xhnjumst.www.whu.com.    IN    A    46.161.128.48
qenyvkmd.www.whu.com.    IN    A    185.201.76.64
bmjqnvti.www.whu.com.    IN    A    139.149.37.245
vaekbjgl.www.whu.com.    IN    A    65.252.189.179
usbqyolt.www.whu.com.    IN    A    226.202.15.151
sixlpfab.www.whu.com.    IN    A    126.209.95.25
uwbkxgeo.www.whu.com.    IN    A    252.103.23.87
uxtisldc.www.whu.com.    IN    A    72.147.193.237
pifoncdt.www.whu.com.    IN    A    206.79.167.137
qjkhdavx.www.whu.com.    IN    A    160.0.0.201
ucokibxn.www.whu.com.    IN    A    229.19.67.126
adrcsthu.www.whu.com.    IN    A    113.102.33.252
vwoqxand.www.whu.com.    IN    A    131.103.79.207
krvtgpsh.www.whu.com.    IN    A    138.128.56.215
wusitqfx.www.whu.com.    IN    A    117.151.127.78
vmnxikyr.www.whu.com.    IN    A    214.235.148.255
ctlyjaok.www.whu.com.    IN    A    192.222.202.112
ofkbluht.www.whu.com.    IN    A    27.82.30.218
bemjxgsh.www.whu.com.    IN    A    53.226.35.77
mgpjoywq.www.whu.com.    IN    A    151.172.119.217
lmpnwasv.www.whu.com.    IN    A    164.49.190.138
fynbdpvc.www.whu.com.    IN    A    252.95.116.36
xvscmubj.www.whu.com.    IN    A    131.176.153.77
ibosuawp.www.whu.com.    IN    A    52.235.201.216
wvhlguxp.www.whu.com.    IN    A    198.129.180.94
lwbrctkf.www.whu.com.    IN    A    85.227.148.36
cvsnraoj.www.whu.com.    IN    A    124.172.202.47
ptlusygi.www.whu.com.    IN    A    25.51.96.28
bwelqjvp.www.whu.com.    IN    A    78.190.39.54
jlgefvkm.www.whu.com.    IN    A    31.139.192.135
vqemgajb.www.whu.com.    IN    A    211.30.94.206
sxvekyum.www.whu.com.    IN    A    158.147.122.240
keuigmwd.www.whu.com.    IN    A    217.162.253.157
tqhxvemw.www.whu.com.    IN    A    173.248.63.23
jlsctwud.www.whu.com.    IN    A    250.31.129.22
qdpsaoxb.www.whu.com.    IN    A    73.188.178.17
niuvdprb.www.whu.com.    IN    A    127.208.117.238
rndwskif.www.whu.com.    IN    A    12.119.107.14
aqbghcji.www.whu.com.    IN    A    25.94.29.238
tklfjera.www.whu.com.    IN    A    37.142.243.165
eyukrovq.www.whu.com.    IN    A    85.162.37.134
qysbdkux.www.whu.com.    IN    A    10.71.15.221
jcotqeln.www.whu.com.    IN    A    187.12.156.156
qysikpwb.www.whu.com.    IN    A    41.86.125.41
rmsqhoja.www.whu.com.    IN    A    182.106.69.20
xtpfjndy.www.whu.com.    IN    A    210.156.254.159
xgukfypa.www.whu.com.    IN    A    207.62.88.164
deqbifsa.www.whu.com.    IN    A    170.58.12.254
rfdhpblo.www.whu.com.    IN    A    221.227.173.220
smekcayh.www.whu.com.    IN    A    209.21.54.19
opmsclwd.www.whu.com.    IN    A    218.217.88.187
hkirtlgc.www.whu.com.    IN    A    63.151.33.207
xqvpawsj.www.whu.com.    IN    A    83.152.124.51
vgejrbuy.www.whu.com.    IN    A    135.32.169.78
jfbtmvxa.www.whu.com.    IN    A    158.249.242.144
ierfanbl.www.whu.com.    IN    A    191.45.241.243
qgbiukdp.www.whu.com.    IN    A    202.109.224.235
epwribas.www.whu.com.    IN    A    8.223.174.153
fdpvtxio.www.whu.com.    IN    A    85.186.137.89
tknayfbx.www.whu.com.    IN    A    19.11.159.238
lguyxafh.www.whu.com.    IN    A    227.122.11.107
rimchdfx.www.whu.com.    IN    A    226.154.189.244
dqotkpug.www.whu.com.    IN    A    226.155.244.120
usmkritf.www.whu.com.    IN    A    130.73.138.29
ckysuthb.www.whu.com.    IN    A    142.32.123.137
lncmuvea.www.whu.com.    IN    A    156.179.135.176
lbvfuknh.www.whu.com.    IN    A    241.39.125.58
ljeocwum.www.whu.com.    IN    A    48.88.99.89
ryxnmepc.www.whu.com.    IN    A    194.252.191.229
pegxwdbr.www.whu.com.    IN    A    157.224.53.153
apfmycij.www.whu.com.    IN    A    186.187.212.141
rhyleupn.www.whu.com.    IN    A    213.178.39.244
sirybvqj.www.whu.com.    IN    A    36.8.56.129
bwskrjfo.www.whu.com.    IN    A    198.94.179.39
