; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR xmu.com. @ns2.xmu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
xmu.com.			      14400 IN NS	ns1.xmu.com.
ns1.xmu.com.			      14400 IN A	10.166.21.12

www.xmu.com.		      14400 IN NS	ns1.www.xmu.com.
ns1.www.xmu.com.		      14400 IN A		10.166.21.13

informatics.xmu.com.		      14400 IN NS	ns1.informatics.xmu.com.
ns1.informatics.xmu.com.		      14400 IN A		10.166.21.14

sm.xmu.com.		      14400 IN NS	ns1.sm.xmu.com.
ns1.sm.xmu.com.		      14400 IN A		10.166.21.15

xmu.com.			      14400 IN MX	10 smtp.xmu.edu.
xmu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
orhxeksp.xmu.com.        IN    A    126.233.243.25
vuwtfahb.xmu.com.        IN    A    139.151.7.110
bicfgemr.xmu.com.        IN    A    56.86.242.95
dwqafcts.xmu.com.        IN    A    55.193.106.175
fdwjoret.xmu.com.        IN    A    80.110.16.102
qmhsvtof.xmu.com.        IN    A    246.177.31.87
atvoygqh.xmu.com.        IN    A    79.199.155.243
vwcbslkt.xmu.com.        IN    A    45.240.120.227
jqdrfkbp.xmu.com.        IN    A    33.19.35.179
kolpejaf.xmu.com.        IN    A    195.88.165.84
pxldmcrh.xmu.com.        IN    A    133.118.103.65
ehiujmtn.xmu.com.        IN    A    58.121.105.220
tgupqysk.xmu.com.        IN    A    233.174.74.160
lkfcrdvx.xmu.com.        IN    A    252.142.57.6
gucrpnif.xmu.com.        IN    A    156.145.234.233
ouqfhxkb.xmu.com.        IN    A    237.137.226.197
untvaoli.xmu.com.        IN    A    168.54.215.123
gyefowni.xmu.com.        IN    A    1.161.45.57
qicpdgfk.xmu.com.        IN    A    28.252.33.245
qokthjuf.xmu.com.        IN    A    211.94.97.224
xrhvdmki.xmu.com.        IN    A    150.238.105.65
lactjfid.xmu.com.        IN    A    151.12.228.212
mhnwpaxi.xmu.com.        IN    A    86.192.165.42
onvjlwky.xmu.com.        IN    A    242.238.222.214
awnlypqj.xmu.com.        IN    A    15.3.159.197
tloijaxf.xmu.com.        IN    A    191.40.86.74
mosabnct.xmu.com.        IN    A    179.196.133.25
pnbtajql.xmu.com.        IN    A    164.175.189.162
dtwqyvnb.xmu.com.        IN    A    247.212.30.85
ivyxuafm.xmu.com.        IN    A    174.221.37.60
rnbsfwpv.xmu.com.        IN    A    137.148.23.197
ourwdpmh.xmu.com.        IN    A    211.13.212.54
yvfdtbho.xmu.com.        IN    A    24.157.48.160
qgmdrhae.xmu.com.        IN    A    72.246.215.143
jgyxakct.xmu.com.        IN    A    139.19.140.72
rwqnasoi.xmu.com.        IN    A    184.208.52.166
hyagjndc.xmu.com.        IN    A    112.145.165.158
qrfakwdp.xmu.com.        IN    A    253.195.208.13
avhfsjrg.xmu.com.        IN    A    134.126.239.123
vqakrmds.xmu.com.        IN    A    47.153.25.121
owqrhans.xmu.com.        IN    A    182.152.233.154
vpohlteg.xmu.com.        IN    A    15.218.223.212
alryfepw.xmu.com.        IN    A    237.176.125.131
vdljqfta.xmu.com.        IN    A    76.208.237.66
yafoncwr.xmu.com.        IN    A    173.184.247.217
uktvaihn.xmu.com.        IN    A    27.69.4.195
mrtpgsnj.xmu.com.        IN    A    9.43.74.52
xkalyjiu.xmu.com.        IN    A    62.20.247.102
rntsuaxo.xmu.com.        IN    A    37.78.195.70
foeruqvm.xmu.com.        IN    A    60.200.149.113
sewdibxo.xmu.com.        IN    A    206.186.184.18
mkbaonfg.xmu.com.        IN    A    217.66.135.214
avowmtkq.xmu.com.        IN    A    77.237.125.64
vbxrfygi.xmu.com.        IN    A    174.117.9.28
svqlndhy.xmu.com.        IN    A    98.172.19.235
jtkehrlx.xmu.com.        IN    A    109.92.112.36
xthfodyw.xmu.com.        IN    A    247.31.170.77
dwitbsqf.xmu.com.        IN    A    38.151.207.219
ebowrdqx.xmu.com.        IN    A    107.5.23.207
mvdrkxpf.xmu.com.        IN    A    170.55.138.26
fcjshbak.xmu.com.        IN    A    118.232.206.178
ogqpjysv.xmu.com.        IN    A    253.156.185.187
wstkomyb.xmu.com.        IN    A    25.30.78.158
oltcsgkm.xmu.com.        IN    A    48.250.113.89
cfhbpgst.xmu.com.        IN    A    137.37.8.197
gmujrdlc.xmu.com.        IN    A    232.101.226.104
cqmbiflk.xmu.com.        IN    A    133.142.224.183
rgjpleds.xmu.com.        IN    A    113.47.234.73
ihjqnlvm.xmu.com.        IN    A    161.167.219.161
kysrahiu.xmu.com.        IN    A    223.180.203.222
opbhwufe.xmu.com.        IN    A    252.241.92.88
vncaolrh.xmu.com.        IN    A    84.36.167.92
iohwvtpk.xmu.com.        IN    A    16.24.104.3
tjmsqxpb.xmu.com.        IN    A    56.160.238.182
nxmwisce.xmu.com.        IN    A    139.18.96.146
jupvflse.xmu.com.        IN    A    211.119.34.21
xtcbskwa.xmu.com.        IN    A    207.199.224.235
ongfqxjm.xmu.com.        IN    A    62.102.151.116
nuslvcft.xmu.com.        IN    A    242.230.230.253
qmlocrxu.xmu.com.        IN    A    182.239.251.9
yhferidm.xmu.com.        IN    A    195.5.213.100
umjckfni.xmu.com.        IN    A    163.20.223.179
lcathbqk.xmu.com.        IN    A    129.41.81.62
sbenatyv.xmu.com.        IN    A    191.94.55.142
wnvfhrap.xmu.com.        IN    A    25.250.212.113
yhckvoup.xmu.com.        IN    A    215.198.145.55
klbenxfj.xmu.com.        IN    A    92.34.108.154
wiputyax.xmu.com.        IN    A    232.145.82.46
xushtiam.xmu.com.        IN    A    99.196.106.21
glpnjtwu.xmu.com.        IN    A    174.18.8.20
fkhbxwec.xmu.com.        IN    A    208.154.222.117
jiwchfrs.xmu.com.        IN    A    226.122.186.126
ijsmlbnv.xmu.com.        IN    A    236.197.248.17
dthlvpum.xmu.com.        IN    A    81.63.111.23
vetrsyob.xmu.com.        IN    A    11.33.86.152
xjhovwyu.xmu.com.        IN    A    96.174.130.134
hmxvjopc.xmu.com.        IN    A    154.27.44.149
dboainux.xmu.com.        IN    A    17.236.202.192
cdhqxtao.xmu.com.        IN    A    4.99.1.223
qsjbrnwc.xmu.com.        IN    A    209.133.164.77
jhmodilw.xmu.com.        IN    A    142.169.210.37
ropbswmx.xmu.com.        IN    A    75.210.26.153
yrkqfwuo.xmu.com.        IN    A    30.152.238.227
ylkexvjn.xmu.com.        IN    A    38.131.68.86
rhgepnwv.xmu.com.        IN    A    203.52.22.218
jugxaifb.xmu.com.        IN    A    53.51.203.152
yeclswqk.xmu.com.        IN    A    57.146.234.99
vkbsgmcj.xmu.com.        IN    A    60.99.221.10
nafkstby.xmu.com.        IN    A    9.80.4.130
cdiwsrng.xmu.com.        IN    A    205.230.225.60
hjvwgpbl.xmu.com.        IN    A    125.214.245.240
fkmnjqos.xmu.com.        IN    A    111.39.72.107
cxlsijvw.xmu.com.        IN    A    165.140.114.63
doilhexg.xmu.com.        IN    A    253.216.151.99
apmhcivr.xmu.com.        IN    A    180.247.93.7
prxocvyi.xmu.com.        IN    A    146.147.4.147
nlxabjqp.xmu.com.        IN    A    119.130.23.123
pcaqikut.xmu.com.        IN    A    35.78.150.27
tfmsbopv.xmu.com.        IN    A    196.151.239.163
fjksuxcn.xmu.com.        IN    A    205.199.140.246
mnpblksr.xmu.com.        IN    A    168.1.199.134
aqnfilvb.xmu.com.        IN    A    142.111.147.131
qfslkbng.xmu.com.        IN    A    56.138.81.202
pamgsbdj.xmu.com.        IN    A    121.124.154.245
gxucwqrf.xmu.com.        IN    A    134.211.8.104
hmlcrnjx.xmu.com.        IN    A    222.122.156.169
jcxihevs.xmu.com.        IN    A    95.133.163.149
ewdvoxim.xmu.com.        IN    A    173.115.176.94
qedykbjh.xmu.com.        IN    A    238.101.227.10
tmlpgfse.xmu.com.        IN    A    93.41.101.137
dfmtnkpb.xmu.com.        IN    A    187.164.12.90
xsgcfayr.xmu.com.        IN    A    172.47.158.7
kfnldrjv.xmu.com.        IN    A    41.248.15.96
xnmkdyfj.xmu.com.        IN    A    99.20.219.101
vfsbxjot.xmu.com.        IN    A    217.38.58.143
cpjhwnxa.xmu.com.        IN    A    57.111.135.254
hvcemkts.xmu.com.        IN    A    254.145.222.215
qfvgceow.xmu.com.        IN    A    113.148.226.243
lpaqefxc.xmu.com.        IN    A    132.66.103.34
kmyxudji.xmu.com.        IN    A    189.138.240.251
saivhnwx.xmu.com.        IN    A    38.203.58.5
gensufdt.xmu.com.        IN    A    232.144.149.53
rkwjnhtq.xmu.com.        IN    A    210.36.105.151
qtfderhc.xmu.com.        IN    A    172.247.31.156
kbixgahy.xmu.com.        IN    A    166.124.140.224
kqxohipf.xmu.com.        IN    A    39.0.29.242
peljtxsa.xmu.com.        IN    A    182.107.50.149
kuvylrof.xmu.com.        IN    A    182.171.49.102
gybtvluk.xmu.com.        IN    A    245.228.64.96
rjganivy.xmu.com.        IN    A    187.223.251.105
ubjtkpnq.xmu.com.        IN    A    111.152.171.34
yvcroeqa.xmu.com.        IN    A    131.20.219.178
qamckfvx.xmu.com.        IN    A    161.75.8.119
cfuhwetk.xmu.com.        IN    A    196.253.169.156
ulbmacod.xmu.com.        IN    A    112.83.140.214
hafglsod.xmu.com.        IN    A    84.133.172.215
xkgcmnbq.xmu.com.        IN    A    53.114.32.252
doksjvwi.xmu.com.        IN    A    141.204.253.150
mctkexlo.xmu.com.        IN    A    133.71.25.254
mngeysoq.xmu.com.        IN    A    108.187.106.151
yjatecbk.xmu.com.        IN    A    49.219.106.32
rdaikfuo.xmu.com.        IN    A    90.80.221.89
wnybtaoe.xmu.com.        IN    A    4.32.96.136
lnwmdbtc.xmu.com.        IN    A    132.22.152.160
thiqwcum.xmu.com.        IN    A    241.244.137.139
iohdpuxc.xmu.com.        IN    A    198.128.157.94
pacbgxlo.xmu.com.        IN    A    118.156.9.78
igsqhcnl.xmu.com.        IN    A    78.59.182.91
cyfkpoix.xmu.com.        IN    A    108.125.86.247
ctuabind.xmu.com.        IN    A    55.3.19.193
vmjladep.xmu.com.        IN    A    190.206.213.49
qfbltxay.xmu.com.        IN    A    131.31.236.185
smwncdgl.xmu.com.        IN    A    197.128.6.7
srmqojkg.xmu.com.        IN    A    97.248.174.169
qgbpoysh.xmu.com.        IN    A    137.248.117.157
ayvuiemk.xmu.com.        IN    A    173.254.235.79
nqdykpmh.xmu.com.        IN    A    153.39.145.80
tujxmqvs.xmu.com.        IN    A    19.152.72.133
dqvjkabt.xmu.com.        IN    A    247.94.186.132
gsorlubf.xmu.com.        IN    A    105.33.10.161
nmeyoblw.xmu.com.        IN    A    40.23.153.137
shilgjqr.xmu.com.        IN    A    180.136.228.210
dqucpmyv.xmu.com.        IN    A    152.200.164.248
mqialutv.xmu.com.        IN    A    79.140.124.73
pqdyoclv.xmu.com.        IN    A    44.119.174.59
ocsduftm.xmu.com.        IN    A    253.210.230.36
rymwsevt.xmu.com.        IN    A    53.247.241.136
qksimdln.xmu.com.        IN    A    7.236.226.4
shqdyuvo.xmu.com.        IN    A    33.56.38.115
pslkubvg.xmu.com.        IN    A    50.210.223.88
cyuaifqj.xmu.com.        IN    A    73.93.236.70
tspufqlj.xmu.com.        IN    A    51.66.28.117
jhrigxns.xmu.com.        IN    A    218.84.128.239
lnpfgsvx.xmu.com.        IN    A    203.71.159.115
iaegxfnw.xmu.com.        IN    A    84.226.59.249
mbnvdoay.xmu.com.        IN    A    190.80.78.169
fkaohbwx.xmu.com.        IN    A    202.170.205.119
bvpscoti.xmu.com.        IN    A    222.98.133.173
hlqxprjv.xmu.com.        IN    A    0.152.4.44
buyihegk.xmu.com.        IN    A    223.164.226.86
ajdlhcoe.xmu.com.        IN    A    55.78.139.60
lgtkirye.xmu.com.        IN    A    161.0.96.97
lfsyidem.xmu.com.        IN    A    153.230.148.243
atojqchg.xmu.com.        IN    A    226.121.231.162
fdiylorh.xmu.com.        IN    A    80.254.16.70
ngewmdlc.xmu.com.        IN    A    220.133.5.134
xlfheaku.xmu.com.        IN    A    45.120.224.175
lkrwcpyg.xmu.com.        IN    A    181.66.58.25
fxyehqik.xmu.com.        IN    A    22.53.117.45
ymlosrht.xmu.com.        IN    A    204.135.24.30
umbslprh.xmu.com.        IN    A    54.49.14.3
brqakwnu.xmu.com.        IN    A    121.93.9.81
iveothsa.xmu.com.        IN    A    20.116.193.253
avhkqnse.xmu.com.        IN    A    193.17.92.149
vctpslyn.xmu.com.        IN    A    103.43.173.141
humdgsry.xmu.com.        IN    A    66.45.93.172
snpgkdhi.xmu.com.        IN    A    22.87.249.6
jhrbevwk.xmu.com.        IN    A    200.33.221.11
nyoeubqf.xmu.com.        IN    A    224.230.192.102
tnaofdhg.xmu.com.        IN    A    75.66.157.177
ojumbknl.xmu.com.        IN    A    86.225.3.140
kwdtlfqa.xmu.com.        IN    A    185.99.88.81
kflsxgiq.xmu.com.        IN    A    10.202.143.17
xcfwjhmy.xmu.com.        IN    A    188.70.22.187
vsxmilog.xmu.com.        IN    A    137.136.251.18
txfjndep.xmu.com.        IN    A    235.68.51.243
vxgfbnik.xmu.com.        IN    A    250.244.162.99
wcjgnbqf.xmu.com.        IN    A    31.182.188.75
hclxpusv.xmu.com.        IN    A    17.54.127.155
oqsxcwim.xmu.com.        IN    A    237.58.30.169
pirbgkdw.xmu.com.        IN    A    198.125.94.152
yhqotpij.xmu.com.        IN    A    185.207.121.159
oxwfjheu.xmu.com.        IN    A    79.179.16.84
qrdijmnv.xmu.com.        IN    A    92.169.83.209
hndxsigb.xmu.com.        IN    A    213.26.186.146
efcyngtr.xmu.com.        IN    A    28.157.66.181
jtfdwlkm.xmu.com.        IN    A    45.96.33.131
wuymvtkr.xmu.com.        IN    A    17.209.81.66
gpiwyhdx.xmu.com.        IN    A    79.183.41.145
rsbyuolg.xmu.com.        IN    A    155.58.194.207
tfnrsxbw.xmu.com.        IN    A    64.104.51.151
acvowhpg.xmu.com.        IN    A    222.193.128.123
ugiojtwv.xmu.com.        IN    A    127.53.241.143
nqymuixr.xmu.com.        IN    A    77.43.16.192
yvlroqws.xmu.com.        IN    A    124.244.12.152
foludbje.xmu.com.        IN    A    41.87.160.12
wtygrlop.xmu.com.        IN    A    34.49.158.135
nmeqwblp.xmu.com.        IN    A    223.44.135.109
perwnmks.xmu.com.        IN    A    119.177.47.12
smlkxcnu.xmu.com.        IN    A    4.132.89.235
kcteogdy.xmu.com.        IN    A    19.61.136.0
dxmcsvkw.xmu.com.        IN    A    129.145.234.138
lpkynirw.xmu.com.        IN    A    38.190.133.144
drxpaoqh.xmu.com.        IN    A    61.84.84.230
waktbgfj.xmu.com.        IN    A    162.196.81.254
auwsncty.xmu.com.        IN    A    170.168.185.66
jnyemrkv.xmu.com.        IN    A    161.240.24.62
ilfdkvgq.xmu.com.        IN    A    214.255.233.213
kcmdbxgs.xmu.com.        IN    A    58.210.156.169
fdbkogvm.xmu.com.        IN    A    106.179.110.189
pfnujiat.xmu.com.        IN    A    52.195.155.78
tiqgpdfk.xmu.com.        IN    A    216.198.138.207
slkbqwjd.xmu.com.        IN    A    13.177.178.151
dihcvtar.xmu.com.        IN    A    71.70.196.198
mguxtcwn.xmu.com.        IN    A    107.154.18.75
tivgpnab.xmu.com.        IN    A    28.226.63.144
matjsnlw.xmu.com.        IN    A    198.163.55.238
bruahopx.xmu.com.        IN    A    50.14.128.86
puwjtyno.xmu.com.        IN    A    219.238.200.41
hipqvrcb.xmu.com.        IN    A    8.160.239.171
mxieqjca.xmu.com.        IN    A    69.210.202.193
yerdbxng.xmu.com.        IN    A    4.183.145.92
kdetxqro.xmu.com.        IN    A    146.252.169.215
mrujbyct.xmu.com.        IN    A    38.214.131.7
kbxtscma.xmu.com.        IN    A    219.140.135.123
snljgdwk.xmu.com.        IN    A    8.53.114.107
vnihabxm.xmu.com.        IN    A    166.223.45.129
vjwptkxi.xmu.com.        IN    A    145.1.120.247
dxjhompk.xmu.com.        IN    A    204.81.174.183
yajwigfd.xmu.com.        IN    A    47.185.15.236
shoxkftv.xmu.com.        IN    A    201.132.243.134
ejndyitw.xmu.com.        IN    A    196.123.192.168
efctxdja.xmu.com.        IN    A    83.88.89.237
dhjnrqal.xmu.com.        IN    A    239.68.217.216
qhoybdws.xmu.com.        IN    A    195.246.41.50
byolgjwn.xmu.com.        IN    A    233.33.148.139
cvwngjph.xmu.com.        IN    A    227.86.216.96
dybhxcmu.xmu.com.        IN    A    171.66.8.206
deuvlowy.xmu.com.        IN    A    18.202.11.65
jhqdboay.xmu.com.        IN    A    47.41.209.204
cwotglni.xmu.com.        IN    A    213.22.156.170
iuakjroy.xmu.com.        IN    A    132.11.202.150
qohwxjgy.xmu.com.        IN    A    171.47.156.171
bxwlmurh.xmu.com.        IN    A    119.75.213.134
ltcdvfas.xmu.com.        IN    A    74.53.86.29
wxgfathj.xmu.com.        IN    A    241.102.1.188
xamwtjcq.xmu.com.        IN    A    218.142.28.109
cslmtxap.xmu.com.        IN    A    198.68.179.4
yvulxneq.xmu.com.        IN    A    160.229.190.240
byatgfoi.xmu.com.        IN    A    49.57.182.25
lcrakwie.xmu.com.        IN    A    90.53.138.186
bugdnmjo.xmu.com.        IN    A    178.194.52.236
iosxntud.xmu.com.        IN    A    184.207.133.108
havxkjrs.xmu.com.        IN    A    83.208.61.179
scrkvpib.xmu.com.        IN    A    1.205.68.238
ixofugdr.xmu.com.        IN    A    188.12.175.169
vjurcqma.xmu.com.        IN    A    136.78.241.108
sklgouxw.xmu.com.        IN    A    183.129.249.25
slgcotrp.xmu.com.        IN    A    243.116.143.193
swgdkrya.xmu.com.        IN    A    133.221.93.172
iyagxqde.xmu.com.        IN    A    242.22.81.249
bstldevr.xmu.com.        IN    A    130.94.28.38
iaxjenyt.xmu.com.        IN    A    128.37.212.17
rslcvebq.xmu.com.        IN    A    200.123.29.251
wjgyintr.xmu.com.        IN    A    147.66.219.185
tjmkwofd.xmu.com.        IN    A    72.188.175.211
teoqlngb.xmu.com.        IN    A    76.142.113.72
qiwenfjx.xmu.com.        IN    A    99.134.167.56
bihegtlr.xmu.com.        IN    A    46.255.73.145
tnxcdugs.xmu.com.        IN    A    189.219.39.238
bxdtgnqm.xmu.com.        IN    A    90.93.194.197
dmxbikac.xmu.com.        IN    A    203.118.131.227
djxpogtw.xmu.com.        IN    A    15.176.224.153
xeyojnvb.xmu.com.        IN    A    183.252.84.137
xqnhbadr.xmu.com.        IN    A    157.104.216.206
cyxeibjw.xmu.com.        IN    A    2.4.173.92
qugpvecm.xmu.com.        IN    A    233.152.134.171
sncdewjx.xmu.com.        IN    A    131.92.207.162
oljqxuir.xmu.com.        IN    A    97.196.238.127
fegxlcun.xmu.com.        IN    A    123.117.100.175
mncviour.xmu.com.        IN    A    11.112.228.242
tcuhexfn.xmu.com.        IN    A    130.47.130.237
lwgdnokm.xmu.com.        IN    A    89.16.194.207
rdpxbkag.xmu.com.        IN    A    91.225.0.112
dpbrtnfs.xmu.com.        IN    A    189.38.53.45
qxdjhioe.xmu.com.        IN    A    72.128.83.186
cjknmuxi.xmu.com.        IN    A    129.36.86.45
brljavpc.xmu.com.        IN    A    150.225.46.180
oqsgdxuk.xmu.com.        IN    A    96.88.207.177
qowatpun.xmu.com.        IN    A    248.250.80.46
rkacyuwp.xmu.com.        IN    A    253.5.117.197
drbkhtcp.xmu.com.        IN    A    241.113.198.241
xkinouad.xmu.com.        IN    A    219.142.82.7
xjtumkqw.xmu.com.        IN    A    63.110.112.160
reoknpfw.xmu.com.        IN    A    122.110.130.201
wnvoibxy.xmu.com.        IN    A    201.149.185.68
jnwmhxaf.xmu.com.        IN    A    9.175.39.81
mtiajwvd.xmu.com.        IN    A    26.180.198.50
ufxwctbq.xmu.com.        IN    A    13.74.168.92
qrngbfyh.xmu.com.        IN    A    189.78.195.1
nguimjtb.xmu.com.        IN    A    170.168.202.49
hbjnqvma.xmu.com.        IN    A    151.108.137.18
hwmltnrj.xmu.com.        IN    A    154.192.29.148
xrvmpygq.xmu.com.        IN    A    138.246.146.187
frkwjsvt.xmu.com.        IN    A    219.143.18.106
vxfpdysc.xmu.com.        IN    A    219.33.246.189
fiqtbuwc.xmu.com.        IN    A    86.203.23.189
cstxoqku.xmu.com.        IN    A    180.119.99.97
rpxuwnas.xmu.com.        IN    A    105.159.103.99
dlmgjrqi.xmu.com.        IN    A    6.127.110.44
kjhrsiob.xmu.com.        IN    A    170.114.26.196
bhftkyqp.xmu.com.        IN    A    65.55.1.246
fboiujqg.xmu.com.        IN    A    1.230.180.234
hxtgqniv.xmu.com.        IN    A    204.12.144.80
sxilkytw.xmu.com.        IN    A    183.32.235.67
rjaqvmpl.xmu.com.        IN    A    53.76.9.73
ftmdrboh.xmu.com.        IN    A    197.119.187.32
ecbultjr.xmu.com.        IN    A    242.120.53.237
gnlvbuai.xmu.com.        IN    A    173.61.144.62
scjtilqg.xmu.com.        IN    A    97.127.20.71
jaogxivs.xmu.com.        IN    A    207.137.19.117
lafbtrei.xmu.com.        IN    A    194.132.4.211
qdejthpu.xmu.com.        IN    A    202.89.251.46
yljabpne.xmu.com.        IN    A    38.127.175.119
animdgrf.xmu.com.        IN    A    159.168.151.238
ejnbrdlh.xmu.com.        IN    A    188.68.188.197
nsjdlvyb.xmu.com.        IN    A    11.179.151.128
qhymjska.xmu.com.        IN    A    101.19.35.55
knhmtevo.xmu.com.        IN    A    160.115.248.58
xagbqodi.xmu.com.        IN    A    37.123.118.206
xmqhtbkp.xmu.com.        IN    A    124.207.56.161
mjsyectn.xmu.com.        IN    A    14.51.142.216
vhmqople.xmu.com.        IN    A    143.154.207.243
wkhqojcr.xmu.com.        IN    A    53.146.175.138
frvigcdn.xmu.com.        IN    A    37.57.139.148
vaxsjctr.xmu.com.        IN    A    196.30.4.181
qhosixpe.xmu.com.        IN    A    90.13.67.178
omdyfseg.xmu.com.        IN    A    182.193.222.81
mnhqscwy.xmu.com.        IN    A    206.112.146.92
bcivwdpf.xmu.com.        IN    A    119.63.227.40
cxekmifr.xmu.com.        IN    A    76.50.243.6
ejnogcbr.xmu.com.        IN    A    83.155.254.107
lnqmoyfb.xmu.com.        IN    A    193.222.112.155
gnctusfp.xmu.com.        IN    A    5.94.44.143
gktsxmdq.xmu.com.        IN    A    247.151.103.89
chrlnqbv.xmu.com.        IN    A    90.103.6.53
lyqbwmvh.xmu.com.        IN    A    98.53.98.237
xvjiakyp.xmu.com.        IN    A    57.167.134.62
ayqcpkjt.xmu.com.        IN    A    46.190.228.73
pugmhnyr.xmu.com.        IN    A    28.96.56.254
rwkbyfnl.xmu.com.        IN    A    183.227.80.170
yxebpwlm.xmu.com.        IN    A    69.105.91.18
rehkyvgu.xmu.com.        IN    A    106.221.148.90
iqsmklyx.xmu.com.        IN    A    177.16.72.22
uejfnayh.xmu.com.        IN    A    100.225.152.217
txkadlnu.xmu.com.        IN    A    213.192.193.28
mersgwix.xmu.com.        IN    A    31.105.20.135
hdqmwpju.xmu.com.        IN    A    185.55.242.182
yinofmvr.xmu.com.        IN    A    169.243.101.2
bfypkoml.xmu.com.        IN    A    228.71.175.134
squfeptk.xmu.com.        IN    A    158.179.164.238
mnpsxdil.xmu.com.        IN    A    252.149.160.207
haguwbns.xmu.com.        IN    A    119.45.86.225
wodamkpv.xmu.com.        IN    A    92.173.69.41
pnubekjw.xmu.com.        IN    A    86.78.83.228
cxlwkuyp.xmu.com.        IN    A    46.49.145.112
lgcvktaq.xmu.com.        IN    A    169.104.199.215
jyuhpafv.xmu.com.        IN    A    32.35.8.59
paydxrgw.xmu.com.        IN    A    26.154.34.76
ajiocwux.xmu.com.        IN    A    49.181.16.24
omcxluip.xmu.com.        IN    A    251.240.138.88
vqwosfnb.xmu.com.        IN    A    102.0.160.10
aibjnmwo.xmu.com.        IN    A    34.136.14.193
nogvmrad.xmu.com.        IN    A    49.165.213.170
cijoytlh.xmu.com.        IN    A    251.44.108.120
jgecqdpt.xmu.com.        IN    A    82.36.3.255
gmthduex.xmu.com.        IN    A    253.146.79.110
nymtfhjx.xmu.com.        IN    A    254.39.236.6
qjcwlpyt.xmu.com.        IN    A    224.90.19.190
edsmokib.xmu.com.        IN    A    250.156.164.29
fmpgbsve.xmu.com.        IN    A    113.161.79.111
oibcldtr.xmu.com.        IN    A    133.111.99.237
ecbnortg.xmu.com.        IN    A    191.82.240.242
wpfiadkx.xmu.com.        IN    A    250.162.159.243
slxtjrhe.xmu.com.        IN    A    65.105.135.20
lbxgfeip.xmu.com.        IN    A    53.165.147.250
uedfsnlx.xmu.com.        IN    A    30.122.229.1
hlxkmuay.xmu.com.        IN    A    30.26.22.41
rkvexdol.xmu.com.        IN    A    70.220.3.5
xgaburwe.xmu.com.        IN    A    18.252.75.118
trafhgdo.xmu.com.        IN    A    104.147.204.221
ahkfxupm.xmu.com.        IN    A    26.127.242.19
scjlpvqy.xmu.com.        IN    A    57.2.48.194
fdsajniu.xmu.com.        IN    A    129.191.105.218
mefvyulq.xmu.com.        IN    A    126.221.223.219
qgebilxo.xmu.com.        IN    A    249.249.224.163
kdjmfvpg.xmu.com.        IN    A    58.55.189.41
cpwmybrh.xmu.com.        IN    A    164.182.134.216
dmjeiorx.xmu.com.        IN    A    27.109.255.128
tdlupnvb.xmu.com.        IN    A    22.147.168.197
uvsodxch.xmu.com.        IN    A    235.245.243.81
jeuvogid.xmu.com.        IN    A    229.42.235.13
pdfvuhjc.xmu.com.        IN    A    62.178.165.171
fbnwkxqt.xmu.com.        IN    A    123.186.100.121
ulpcdigw.xmu.com.        IN    A    55.246.98.29
miawdrys.xmu.com.        IN    A    56.136.250.27
iubmtyve.xmu.com.        IN    A    37.244.141.255
jvyqrisx.xmu.com.        IN    A    88.24.78.97
vikqrjfe.xmu.com.        IN    A    220.233.227.152
wrmtlkgb.xmu.com.        IN    A    140.153.27.168
iklutofm.xmu.com.        IN    A    139.175.42.47
cpbnjsao.xmu.com.        IN    A    239.4.79.100
amxqrosc.xmu.com.        IN    A    1.17.209.180
ajndieth.xmu.com.        IN    A    169.109.33.111
axhkqinf.xmu.com.        IN    A    169.86.74.80
vhaufbem.xmu.com.        IN    A    85.174.156.47
powxgtvs.xmu.com.        IN    A    64.10.20.246
mbpkgxva.xmu.com.        IN    A    12.234.247.84
xtwokfcp.xmu.com.        IN    A    199.56.168.200
bhgdecwl.xmu.com.        IN    A    226.116.49.126
rwxceuga.xmu.com.        IN    A    136.236.49.151
bgyxoium.xmu.com.        IN    A    210.252.12.179
jrblgqkh.xmu.com.        IN    A    187.107.242.21
yegjomth.xmu.com.        IN    A    115.81.158.241
qlrfegnb.xmu.com.        IN    A    148.8.115.79
kcsgahod.xmu.com.        IN    A    13.94.122.19
uecoyndj.xmu.com.        IN    A    174.88.205.118
natpjbrv.xmu.com.        IN    A    42.184.46.19
piecugdn.xmu.com.        IN    A    17.28.9.6
jogtcyph.xmu.com.        IN    A    186.198.64.147
uchtkvqg.xmu.com.        IN    A    74.176.1.62
ylgivunj.xmu.com.        IN    A    12.53.49.192
nsydliab.xmu.com.        IN    A    19.116.231.37
hcdvomkq.xmu.com.        IN    A    60.71.194.0
djuxypqo.xmu.com.        IN    A    108.2.181.119
yudbhkwl.xmu.com.        IN    A    216.114.124.94
dotvawhe.xmu.com.        IN    A    43.66.169.230
sjdpwanm.xmu.com.        IN    A    198.252.139.46
dysvnikm.xmu.com.        IN    A    168.127.137.107
qjfmkphc.xmu.com.        IN    A    3.223.43.202
xsgfjkei.xmu.com.        IN    A    171.106.69.166
rwblogty.xmu.com.        IN    A    72.175.62.168
elijqnau.xmu.com.        IN    A    130.135.85.173
mnldveoh.xmu.com.        IN    A    63.185.200.243
