xw.lzu.com.	14400	IN	SOA	ns1.xw.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
xw.lzu.com.		    IN	NS ns1.xw.lzu.com.
maejifgk.xw.lzu.com.     IN    A    132.243.163.131
mqspxknj.xw.lzu.com.     IN    A    106.95.240.107
oushqiyn.xw.lzu.com.     IN    A    156.237.20.54
neqjigbu.xw.lzu.com.     IN    A    255.183.103.61
oqlntyce.xw.lzu.com.     IN    A    158.26.218.83
jrbnwply.xw.lzu.com.     IN    A    121.113.42.98
clvsixwk.xw.lzu.com.     IN    A    162.249.182.74
wvpdrgot.xw.lzu.com.     IN    A    140.110.114.51
fvntduaj.xw.lzu.com.     IN    A    251.35.55.94
lhtwuqer.xw.lzu.com.     IN    A    231.60.130.181
wyopkarq.xw.lzu.com.     IN    A    250.249.22.219
rwconaxd.xw.lzu.com.     IN    A    162.10.51.73
rqgiwxnh.xw.lzu.com.     IN    A    51.150.108.22
qawkmvdp.xw.lzu.com.     IN    A    126.201.171.39
uaocvxly.xw.lzu.com.     IN    A    6.99.123.130
dmgnqilc.xw.lzu.com.     IN    A    62.227.192.19
wxrhqdfk.xw.lzu.com.     IN    A    50.32.212.63
payfemlh.xw.lzu.com.     IN    A    166.139.122.135
vgjkqfmw.xw.lzu.com.     IN    A    255.11.7.148
nwbioqcx.xw.lzu.com.     IN    A    8.104.196.77
rhqkgcdm.xw.lzu.com.     IN    A    69.191.177.230
aymckvbr.xw.lzu.com.     IN    A    208.116.218.112
blcovahf.xw.lzu.com.     IN    A    104.107.104.167
qkpgiwxt.xw.lzu.com.     IN    A    123.118.169.169
bfhrkxmj.xw.lzu.com.     IN    A    37.214.42.215
iowscxnk.xw.lzu.com.     IN    A    211.51.181.17
wjotvdfs.xw.lzu.com.     IN    A    15.247.198.99
sibmpuhk.xw.lzu.com.     IN    A    251.128.198.189
teiajbyk.xw.lzu.com.     IN    A    246.23.111.26
lgymjrsc.xw.lzu.com.     IN    A    62.0.56.88
jouiqwfr.xw.lzu.com.     IN    A    198.224.156.29
uafmepbq.xw.lzu.com.     IN    A    6.62.113.197
yastjmrf.xw.lzu.com.     IN    A    121.118.223.225
lnqmhjro.xw.lzu.com.     IN    A    154.51.27.35
ivxmldcb.xw.lzu.com.     IN    A    234.85.4.254
huqcpenb.xw.lzu.com.     IN    A    238.132.145.56
sthndrux.xw.lzu.com.     IN    A    92.30.75.203
qlvnahmw.xw.lzu.com.     IN    A    48.13.72.69
lrbgxqfn.xw.lzu.com.     IN    A    92.148.163.37
opvbuedw.xw.lzu.com.     IN    A    10.196.118.159
ebufwqni.xw.lzu.com.     IN    A    233.160.138.238
kaslhjpg.xw.lzu.com.     IN    A    45.73.184.90
mdfahtbu.xw.lzu.com.     IN    A    72.227.84.65
fwdhksgl.xw.lzu.com.     IN    A    56.40.242.170
awdjoquk.xw.lzu.com.     IN    A    254.12.162.249
raslhqwo.xw.lzu.com.     IN    A    177.78.32.220
vnlofkbj.xw.lzu.com.     IN    A    147.118.5.14
dtmgcwsl.xw.lzu.com.     IN    A    95.140.103.124
yulxefav.xw.lzu.com.     IN    A    142.169.237.162
qwupdsfb.xw.lzu.com.     IN    A    47.209.80.104
obqufjae.xw.lzu.com.     IN    A    192.254.17.187
aeimgpwj.xw.lzu.com.     IN    A    255.108.198.162
cfbyvglk.xw.lzu.com.     IN    A    64.118.84.122
palohjny.xw.lzu.com.     IN    A    188.62.163.75
ltnpwehr.xw.lzu.com.     IN    A    39.102.155.88
cugfdvty.xw.lzu.com.     IN    A    237.243.48.228
hyfsoaij.xw.lzu.com.     IN    A    69.94.249.225
gwaduvhi.xw.lzu.com.     IN    A    45.124.97.47
qsbgtwhc.xw.lzu.com.     IN    A    86.214.168.226
qvkushyw.xw.lzu.com.     IN    A    157.43.82.172
fhwkmobn.xw.lzu.com.     IN    A    232.128.60.229
qyxvicjw.xw.lzu.com.     IN    A    217.85.34.128
kudyrfga.xw.lzu.com.     IN    A    84.226.254.185
mpfodwjs.xw.lzu.com.     IN    A    247.42.213.239
djrwnbkg.xw.lzu.com.     IN    A    248.139.52.254
yqrwdoan.xw.lzu.com.     IN    A    194.16.45.79
crgaqubp.xw.lzu.com.     IN    A    195.250.111.122
qgjpftbv.xw.lzu.com.     IN    A    242.232.48.188
ixbshwfn.xw.lzu.com.     IN    A    178.200.197.88
kjmtbrhg.xw.lzu.com.     IN    A    14.56.181.230
moedbnua.xw.lzu.com.     IN    A    173.130.127.98
ypumeasv.xw.lzu.com.     IN    A    187.253.129.4
guelmnty.xw.lzu.com.     IN    A    219.4.234.101
qfrycums.xw.lzu.com.     IN    A    120.42.157.49
hsqcgpvx.xw.lzu.com.     IN    A    189.14.192.43
xpgohyes.xw.lzu.com.     IN    A    189.10.61.117
vufipcbj.xw.lzu.com.     IN    A    219.21.196.249
iymuqatj.xw.lzu.com.     IN    A    40.9.93.175
hqebuotc.xw.lzu.com.     IN    A    202.244.54.148
grxpdmha.xw.lzu.com.     IN    A    213.138.146.170
oewifaup.xw.lzu.com.     IN    A    82.102.216.0
wpnmhlyg.xw.lzu.com.     IN    A    58.11.36.93
tjbunqly.xw.lzu.com.     IN    A    137.148.155.171
rbwtpaeg.xw.lzu.com.     IN    A    46.43.90.102
behqgknw.xw.lzu.com.     IN    A    179.96.191.144
ucbilatv.xw.lzu.com.     IN    A    152.16.150.211
wgqubjia.xw.lzu.com.     IN    A    174.33.188.118
bljurwep.xw.lzu.com.     IN    A    42.65.99.127
ywxmatde.xw.lzu.com.     IN    A    201.192.54.129
qwnymsfo.xw.lzu.com.     IN    A    107.164.75.78
vgocbeia.xw.lzu.com.     IN    A    143.120.204.114
ljyfnouq.xw.lzu.com.     IN    A    211.76.204.129
trasvied.xw.lzu.com.     IN    A    22.146.15.156
qkswnoxr.xw.lzu.com.     IN    A    83.252.9.51
eracifuo.xw.lzu.com.     IN    A    89.75.254.121
xrfbigjv.xw.lzu.com.     IN    A    197.167.150.51
ilexgkma.xw.lzu.com.     IN    A    248.77.161.179
hysndrqe.xw.lzu.com.     IN    A    162.128.102.178
ugrkcome.xw.lzu.com.     IN    A    254.84.245.26
jldneaxm.xw.lzu.com.     IN    A    82.90.115.120
wxsplckb.xw.lzu.com.     IN    A    236.229.98.1
crglywxk.xw.lzu.com.     IN    A    36.172.201.79
tnghefip.xw.lzu.com.     IN    A    94.242.138.43
ebjpafds.xw.lzu.com.     IN    A    168.97.91.83
bnwsyted.xw.lzu.com.     IN    A    74.111.129.77
qmhuksbv.xw.lzu.com.     IN    A    92.1.131.17
tcbouxed.xw.lzu.com.     IN    A    210.132.221.111
srlhdjvo.xw.lzu.com.     IN    A    107.232.235.69
rxacewkn.xw.lzu.com.     IN    A    95.163.31.185
pstfcrqe.xw.lzu.com.     IN    A    107.198.64.78
ytqwdoal.xw.lzu.com.     IN    A    239.132.29.142
asnjihfq.xw.lzu.com.     IN    A    96.127.52.158
hnqbvpca.xw.lzu.com.     IN    A    168.40.98.222
undvtjrs.xw.lzu.com.     IN    A    220.220.63.130
cytawjqi.xw.lzu.com.     IN    A    212.138.220.93
viwjxgbl.xw.lzu.com.     IN    A    96.121.88.191
wyojxmrb.xw.lzu.com.     IN    A    179.251.180.150
hnipyowv.xw.lzu.com.     IN    A    54.121.185.80
vjkiaysl.xw.lzu.com.     IN    A    192.246.245.187
gyhflujk.xw.lzu.com.     IN    A    201.228.87.62
tvagxcrw.xw.lzu.com.     IN    A    11.96.74.5
ungkvdca.xw.lzu.com.     IN    A    252.91.153.220
isybxkdv.xw.lzu.com.     IN    A    119.106.138.94
xdkelyju.xw.lzu.com.     IN    A    102.180.30.215
eqcoadyp.xw.lzu.com.     IN    A    227.190.58.160
xpymivgj.xw.lzu.com.     IN    A    177.221.136.74
xkujmdrf.xw.lzu.com.     IN    A    154.167.91.229
auyhfrxi.xw.lzu.com.     IN    A    159.114.25.248
pxsbdwau.xw.lzu.com.     IN    A    167.142.48.161
ovnjkhyw.xw.lzu.com.     IN    A    97.72.189.242
vcpeashy.xw.lzu.com.     IN    A    15.249.253.136
dsubmgrh.xw.lzu.com.     IN    A    8.105.176.180
etmcldgq.xw.lzu.com.     IN    A    39.252.98.46
wdpukxrf.xw.lzu.com.     IN    A    209.199.247.251
cwngpjux.xw.lzu.com.     IN    A    56.103.234.72
tvhsfnlm.xw.lzu.com.     IN    A    9.134.32.193
wsoqrfkp.xw.lzu.com.     IN    A    119.44.198.137
ubgximpd.xw.lzu.com.     IN    A    84.151.53.46
uletnmcj.xw.lzu.com.     IN    A    24.38.76.161
otvfpxay.xw.lzu.com.     IN    A    210.189.116.189
dqohsamb.xw.lzu.com.     IN    A    244.81.237.168
rliafvsg.xw.lzu.com.     IN    A    192.223.47.95
brlevisu.xw.lzu.com.     IN    A    98.6.230.233
lxoatrvf.xw.lzu.com.     IN    A    114.230.110.100
xwnkgsqf.xw.lzu.com.     IN    A    61.253.123.84
hanewbyt.xw.lzu.com.     IN    A    144.141.151.48
tfavehju.xw.lzu.com.     IN    A    254.58.44.225
egijwalm.xw.lzu.com.     IN    A    66.16.229.207
usjypcba.xw.lzu.com.     IN    A    67.143.175.110
fkgwqotv.xw.lzu.com.     IN    A    160.252.183.140
demgrcus.xw.lzu.com.     IN    A    34.163.22.155
jwhvsnrl.xw.lzu.com.     IN    A    8.238.41.133
bafxumro.xw.lzu.com.     IN    A    212.67.237.237
rsbvfgcu.xw.lzu.com.     IN    A    254.248.93.14
iayjbdkh.xw.lzu.com.     IN    A    90.202.201.12
pqbdjkwm.xw.lzu.com.     IN    A    31.131.43.212
dtwksacr.xw.lzu.com.     IN    A    146.170.142.7
cqhpraml.xw.lzu.com.     IN    A    131.21.22.71
sieqhdwx.xw.lzu.com.     IN    A    81.227.228.106
msjvpyoa.xw.lzu.com.     IN    A    14.201.20.21
vxcgiomu.xw.lzu.com.     IN    A    254.246.102.160
qadntrle.xw.lzu.com.     IN    A    28.64.131.116
ivmtckah.xw.lzu.com.     IN    A    203.185.31.26
yxdgvtwc.xw.lzu.com.     IN    A    177.38.37.193
giboxsqp.xw.lzu.com.     IN    A    204.111.134.46
wstyolva.xw.lzu.com.     IN    A    115.159.23.9
rmuptafd.xw.lzu.com.     IN    A    132.194.57.16
ihxlyqvr.xw.lzu.com.     IN    A    71.153.169.2
dsrnvual.xw.lzu.com.     IN    A    19.117.9.6
uprvqefa.xw.lzu.com.     IN    A    104.216.161.49
iqctnxdf.xw.lzu.com.     IN    A    55.92.144.184
ihfblgar.xw.lzu.com.     IN    A    215.164.69.208
uxdeiwrf.xw.lzu.com.     IN    A    111.170.88.33
hfxdgewy.xw.lzu.com.     IN    A    129.235.74.55
tpbsnqye.xw.lzu.com.     IN    A    146.3.188.209
arweujhs.xw.lzu.com.     IN    A    81.63.209.121
prxcmhoj.xw.lzu.com.     IN    A    91.194.229.17
vnopujbd.xw.lzu.com.     IN    A    205.175.184.145
feugmoak.xw.lzu.com.     IN    A    156.131.238.95
djmyusvh.xw.lzu.com.     IN    A    177.161.203.39
tufrxdih.xw.lzu.com.     IN    A    118.173.45.227
sliaqenj.xw.lzu.com.     IN    A    206.157.134.174
ujvxhrqt.xw.lzu.com.     IN    A    210.90.209.228
gofbldhe.xw.lzu.com.     IN    A    166.155.150.135
cvbornup.xw.lzu.com.     IN    A    165.143.10.247
xhpabolm.xw.lzu.com.     IN    A    238.42.138.58
nhjqpmis.xw.lzu.com.     IN    A    55.169.253.108
pftohdve.xw.lzu.com.     IN    A    205.222.129.151
cvbmlndy.xw.lzu.com.     IN    A    25.250.231.161
mnpcyowe.xw.lzu.com.     IN    A    114.137.129.62
pwgdubas.xw.lzu.com.     IN    A    97.126.7.54
qlictnfd.xw.lzu.com.     IN    A    153.52.184.141
qrlcovyx.xw.lzu.com.     IN    A    202.183.43.241
skobucfi.xw.lzu.com.     IN    A    203.154.143.145
cugpofxl.xw.lzu.com.     IN    A    153.103.124.60
sjcxelft.xw.lzu.com.     IN    A    187.185.200.116
mwjuhfqb.xw.lzu.com.     IN    A    1.116.136.117
ylhfpebw.xw.lzu.com.     IN    A    129.37.247.241
nfocupsm.xw.lzu.com.     IN    A    193.0.235.241
xyngpkbe.xw.lzu.com.     IN    A    92.70.119.115
brdxkpfu.xw.lzu.com.     IN    A    81.84.237.159
lwyxedmr.xw.lzu.com.     IN    A    230.70.196.130
krfwmige.xw.lzu.com.     IN    A    26.92.94.16
ebhxovjc.xw.lzu.com.     IN    A    20.180.111.62
wqnodmci.xw.lzu.com.     IN    A    23.111.240.185
irdufehy.xw.lzu.com.     IN    A    82.105.166.222
qbwxahrm.xw.lzu.com.     IN    A    18.118.197.165
bkconiuj.xw.lzu.com.     IN    A    130.186.191.237
prjfsdcy.xw.lzu.com.     IN    A    119.248.2.95
yjlwevxo.xw.lzu.com.     IN    A    134.201.141.76
jxytfdew.xw.lzu.com.     IN    A    31.237.205.237
ysmhnqvj.xw.lzu.com.     IN    A    78.26.80.151
yrbwvmch.xw.lzu.com.     IN    A    131.193.135.37
ugntflhw.xw.lzu.com.     IN    A    183.213.145.225
rauqsljd.xw.lzu.com.     IN    A    238.28.50.57
vliecwhm.xw.lzu.com.     IN    A    126.41.161.16
wpkbivoc.xw.lzu.com.     IN    A    79.251.118.232
vwsxtidk.xw.lzu.com.     IN    A    81.248.91.85
bqypjifd.xw.lzu.com.     IN    A    196.124.52.196
exupdytf.xw.lzu.com.     IN    A    253.240.37.74
gxsweubc.xw.lzu.com.     IN    A    192.66.113.243
dbxsjcvf.xw.lzu.com.     IN    A    34.118.9.188
pyurcgse.xw.lzu.com.     IN    A    199.70.124.62
wytqrljg.xw.lzu.com.     IN    A    119.14.248.34
hepbuani.xw.lzu.com.     IN    A    0.48.140.148
fhbrqgdt.xw.lzu.com.     IN    A    215.121.30.43
mvqufwon.xw.lzu.com.     IN    A    176.42.148.249
ywcbvprm.xw.lzu.com.     IN    A    66.8.58.155
ydevbxkm.xw.lzu.com.     IN    A    40.58.181.23
eujowgab.xw.lzu.com.     IN    A    251.34.239.96
gwqpiflu.xw.lzu.com.     IN    A    118.91.124.30
lubogpce.xw.lzu.com.     IN    A    196.164.228.43
cusygarh.xw.lzu.com.     IN    A    106.2.246.63
jmqdtkex.xw.lzu.com.     IN    A    155.167.237.13
ivcbdxqf.xw.lzu.com.     IN    A    128.76.51.208
fhdxbgsv.xw.lzu.com.     IN    A    0.107.48.246
umwjrcky.xw.lzu.com.     IN    A    94.100.34.102
tmyldrok.xw.lzu.com.     IN    A    93.108.18.229
twvhluyx.xw.lzu.com.     IN    A    37.136.84.185
cfrbweoi.xw.lzu.com.     IN    A    22.23.215.96
cwtykbrp.xw.lzu.com.     IN    A    9.135.187.151
qmlucnox.xw.lzu.com.     IN    A    127.41.100.59
kmtgjesi.xw.lzu.com.     IN    A    191.94.108.108
ceduogqj.xw.lzu.com.     IN    A    55.25.92.222
adfrymhc.xw.lzu.com.     IN    A    125.160.78.79
vjlmscwo.xw.lzu.com.     IN    A    208.200.4.44
lhnrcwvm.xw.lzu.com.     IN    A    138.106.202.20
lsijhydo.xw.lzu.com.     IN    A    255.143.157.226
vdlnctms.xw.lzu.com.     IN    A    250.13.163.132
xnpjsqca.xw.lzu.com.     IN    A    130.214.150.43
oikfdwvy.xw.lzu.com.     IN    A    9.150.72.199
odagnrsm.xw.lzu.com.     IN    A    254.76.88.254
hcufirpx.xw.lzu.com.     IN    A    138.7.252.47
sldxbfhe.xw.lzu.com.     IN    A    183.227.60.241
selqjnfc.xw.lzu.com.     IN    A    38.16.91.44
tapdwqvo.xw.lzu.com.     IN    A    61.250.172.102
qgjxvroy.xw.lzu.com.     IN    A    15.7.26.57
kbiralow.xw.lzu.com.     IN    A    167.208.179.63
cjpqxeav.xw.lzu.com.     IN    A    90.135.34.199
tehryapm.xw.lzu.com.     IN    A    180.175.246.156
dynrgaju.xw.lzu.com.     IN    A    244.177.77.84
wlnaxdjf.xw.lzu.com.     IN    A    159.96.47.49
lmuwekrv.xw.lzu.com.     IN    A    246.182.65.82
ctjdebfu.xw.lzu.com.     IN    A    47.125.123.8
sexhcjfq.xw.lzu.com.     IN    A    199.190.193.168
knidbcja.xw.lzu.com.     IN    A    224.13.249.13
yurqvsxg.xw.lzu.com.     IN    A    102.19.109.15
fbmrtswp.xw.lzu.com.     IN    A    152.95.174.88
lbeoupnm.xw.lzu.com.     IN    A    119.194.79.244
mjgwnlqr.xw.lzu.com.     IN    A    81.245.158.1
xrypgdhu.xw.lzu.com.     IN    A    102.14.211.52
wloisyev.xw.lzu.com.     IN    A    200.21.45.251
qbocwasm.xw.lzu.com.     IN    A    49.34.117.113
cldxpgih.xw.lzu.com.     IN    A    25.24.36.184
kgximhpv.xw.lzu.com.     IN    A    197.58.127.193
knjpoqrx.xw.lzu.com.     IN    A    161.200.54.181
uhctoyvg.xw.lzu.com.     IN    A    22.89.175.170
fiaxougd.xw.lzu.com.     IN    A    193.243.92.224
vkerwlgf.xw.lzu.com.     IN    A    151.147.37.95
ogbvycmq.xw.lzu.com.     IN    A    168.218.192.122
kmchrspf.xw.lzu.com.     IN    A    157.232.55.24
vtroayip.xw.lzu.com.     IN    A    204.242.226.12
kgvoyfpe.xw.lzu.com.     IN    A    124.112.204.190
kvqfcemi.xw.lzu.com.     IN    A    167.88.6.246
fbowprnh.xw.lzu.com.     IN    A    154.199.246.121
ahnwomqv.xw.lzu.com.     IN    A    203.97.203.33
wrhvyaiq.xw.lzu.com.     IN    A    98.193.89.240
dkoeguyj.xw.lzu.com.     IN    A    131.106.242.136
mpsfjold.xw.lzu.com.     IN    A    60.158.122.89
xqkhripv.xw.lzu.com.     IN    A    114.226.82.149
ygulvpho.xw.lzu.com.     IN    A    136.111.221.74
fuanpcyg.xw.lzu.com.     IN    A    139.246.115.37
efpkrojb.xw.lzu.com.     IN    A    173.238.216.24
adutyrwx.xw.lzu.com.     IN    A    90.206.110.56
owrkvamq.xw.lzu.com.     IN    A    203.19.109.224
yqokfvwa.xw.lzu.com.     IN    A    254.91.23.160
fkpdivyl.xw.lzu.com.     IN    A    81.6.186.52
nsbcdyju.xw.lzu.com.     IN    A    107.222.125.116
xfkvapcn.xw.lzu.com.     IN    A    171.28.160.86
fowbdtgm.xw.lzu.com.     IN    A    176.36.218.55
mlfgrnaj.xw.lzu.com.     IN    A    152.189.52.45
gtomhqxe.xw.lzu.com.     IN    A    177.110.203.137
qgnemlpk.xw.lzu.com.     IN    A    93.14.37.12
cbxfilod.xw.lzu.com.     IN    A    94.127.249.110
xaildvkw.xw.lzu.com.     IN    A    125.75.187.130
fbluatne.xw.lzu.com.     IN    A    50.73.168.214
vsawfypj.xw.lzu.com.     IN    A    195.118.238.41
uwglmjbt.xw.lzu.com.     IN    A    190.133.83.90
fjgsrumy.xw.lzu.com.     IN    A    185.227.249.94
wygdixop.xw.lzu.com.     IN    A    66.90.178.210
yagtruch.xw.lzu.com.     IN    A    201.163.126.215
iqulxjbm.xw.lzu.com.     IN    A    31.44.202.148
yfmwtsop.xw.lzu.com.     IN    A    164.59.245.22
savfpmdq.xw.lzu.com.     IN    A    146.14.69.47
ptywlgke.xw.lzu.com.     IN    A    235.157.224.159
medikhqx.xw.lzu.com.     IN    A    242.241.3.111
mntawick.xw.lzu.com.     IN    A    50.225.103.220
fceukrlv.xw.lzu.com.     IN    A    253.177.137.200
ubidmgvn.xw.lzu.com.     IN    A    108.41.112.20
iuodaqfj.xw.lzu.com.     IN    A    132.235.93.36
btdkfglm.xw.lzu.com.     IN    A    222.42.152.87
pexmvtao.xw.lzu.com.     IN    A    214.186.160.6
hupqeoik.xw.lzu.com.     IN    A    60.114.143.131
wybopiat.xw.lzu.com.     IN    A    93.36.74.193
uwmqrspj.xw.lzu.com.     IN    A    80.58.155.21
rnaocvgt.xw.lzu.com.     IN    A    70.147.66.36
nupjdyxh.xw.lzu.com.     IN    A    121.168.53.189
wkuclqmn.xw.lzu.com.     IN    A    106.174.74.205
gflspkdq.xw.lzu.com.     IN    A    229.217.154.108
bxmatpfs.xw.lzu.com.     IN    A    118.47.236.78
gxltwrmy.xw.lzu.com.     IN    A    159.128.90.50
nrfqpysb.xw.lzu.com.     IN    A    222.145.23.101
poxrytcl.xw.lzu.com.     IN    A    2.90.61.219
tqidfjxc.xw.lzu.com.     IN    A    233.154.125.206
uqhyrbxj.xw.lzu.com.     IN    A    229.74.53.102
lnjwheam.xw.lzu.com.     IN    A    101.144.152.197
lnvqktrm.xw.lzu.com.     IN    A    28.206.98.34
lbedjwaq.xw.lzu.com.     IN    A    192.105.32.169
paimvrfg.xw.lzu.com.     IN    A    234.139.167.206
iysklbco.xw.lzu.com.     IN    A    65.3.235.27
lfejghbd.xw.lzu.com.     IN    A    122.137.124.253
uqknhbtp.xw.lzu.com.     IN    A    3.148.205.129
matiedor.xw.lzu.com.     IN    A    99.225.3.152
wupseyok.xw.lzu.com.     IN    A    239.81.159.109
ansrqedp.xw.lzu.com.     IN    A    195.48.128.49
oautlgkn.xw.lzu.com.     IN    A    21.242.51.180
iynjtlcg.xw.lzu.com.     IN    A    3.56.4.75
rbawhftv.xw.lzu.com.     IN    A    16.64.196.161
jbestulw.xw.lzu.com.     IN    A    72.216.134.157
acvrmjoi.xw.lzu.com.     IN    A    208.250.181.119
beltproc.xw.lzu.com.     IN    A    139.204.41.113
areodlug.xw.lzu.com.     IN    A    39.5.139.194
qemaucpd.xw.lzu.com.     IN    A    25.174.53.134
bphmcnsl.xw.lzu.com.     IN    A    45.164.49.146
lrcgyaxv.xw.lzu.com.     IN    A    19.28.38.137
sqikxybt.xw.lzu.com.     IN    A    236.246.245.59
psxudjwe.xw.lzu.com.     IN    A    195.235.119.57
ovmbcfjd.xw.lzu.com.     IN    A    207.220.159.144
knfdaumt.xw.lzu.com.     IN    A    87.62.254.100
pbmfkqiv.xw.lzu.com.     IN    A    238.166.54.44
sjwaqymk.xw.lzu.com.     IN    A    11.247.57.182
tnqvjcye.xw.lzu.com.     IN    A    162.222.208.210
evwtipnh.xw.lzu.com.     IN    A    101.65.181.110
kbsqnicy.xw.lzu.com.     IN    A    38.9.90.214
redjshqp.xw.lzu.com.     IN    A    14.31.93.223
bxntwemo.xw.lzu.com.     IN    A    57.124.226.64
xhvjksog.xw.lzu.com.     IN    A    59.175.15.208
rswobcij.xw.lzu.com.     IN    A    123.240.128.246
uvraekqy.xw.lzu.com.     IN    A    46.79.151.250
djmuntfp.xw.lzu.com.     IN    A    56.42.31.164
tvamsdxy.xw.lzu.com.     IN    A    58.101.74.45
bnlwuyvs.xw.lzu.com.     IN    A    58.160.5.111
tcofgkne.xw.lzu.com.     IN    A    152.77.110.83
keuforil.xw.lzu.com.     IN    A    4.197.167.147
lfenhiux.xw.lzu.com.     IN    A    250.189.54.96
yxcwhqvl.xw.lzu.com.     IN    A    160.85.12.90
jcqkrghl.xw.lzu.com.     IN    A    222.110.254.143
ycpenlri.xw.lzu.com.     IN    A    126.46.221.40
qdfbgyji.xw.lzu.com.     IN    A    69.238.152.158
xtvoweiu.xw.lzu.com.     IN    A    8.20.145.80
eipxuhfm.xw.lzu.com.     IN    A    25.243.48.83
awstponc.xw.lzu.com.     IN    A    255.123.115.139
dpoesvyr.xw.lzu.com.     IN    A    115.39.190.192
nuryhjqo.xw.lzu.com.     IN    A    11.193.208.28
svmdayew.xw.lzu.com.     IN    A    137.177.45.33
pnajgsvo.xw.lzu.com.     IN    A    205.109.166.55
mtscblwy.xw.lzu.com.     IN    A    5.12.237.200
cvudsaqb.xw.lzu.com.     IN    A    252.172.190.182
rlbapehj.xw.lzu.com.     IN    A    5.242.107.35
knycadwm.xw.lzu.com.     IN    A    158.54.150.139
nvdejuca.xw.lzu.com.     IN    A    243.161.79.3
nijrtyvc.xw.lzu.com.     IN    A    11.234.121.133
htyqgvdc.xw.lzu.com.     IN    A    134.170.109.57
xisemjqo.xw.lzu.com.     IN    A    227.139.45.142
symctpve.xw.lzu.com.     IN    A    119.120.193.232
osrmwkab.xw.lzu.com.     IN    A    131.78.168.10
atmlgewq.xw.lzu.com.     IN    A    181.146.198.89
wjsdciqt.xw.lzu.com.     IN    A    95.89.57.145
yijoexdh.xw.lzu.com.     IN    A    236.130.20.45
fwaumqyi.xw.lzu.com.     IN    A    7.11.200.44
bksvywor.xw.lzu.com.     IN    A    29.131.30.15
jrpimcvx.xw.lzu.com.     IN    A    159.54.224.214
wlbnfrji.xw.lzu.com.     IN    A    222.128.149.114
kugljwcq.xw.lzu.com.     IN    A    187.236.183.106
djsekcay.xw.lzu.com.     IN    A    147.15.43.35
owxbanqr.xw.lzu.com.     IN    A    239.229.167.78
frxpvjaw.xw.lzu.com.     IN    A    206.215.84.106
fpbirndv.xw.lzu.com.     IN    A    191.73.118.70
piqsdjkw.xw.lzu.com.     IN    A    55.151.85.59
blmyqvwh.xw.lzu.com.     IN    A    21.220.85.178
aohpbjti.xw.lzu.com.     IN    A    91.228.56.12
gpbowjfa.xw.lzu.com.     IN    A    58.198.1.27
sjvbckqp.xw.lzu.com.     IN    A    20.209.198.174
jcaftkgs.xw.lzu.com.     IN    A    212.124.126.162
nyftljdb.xw.lzu.com.     IN    A    151.40.36.57
uaploeif.xw.lzu.com.     IN    A    123.115.23.250
xbwqualr.xw.lzu.com.     IN    A    56.241.234.61
xkowacel.xw.lzu.com.     IN    A    204.25.55.55
icsolnvp.xw.lzu.com.     IN    A    42.150.252.10
btdfwvcl.xw.lzu.com.     IN    A    77.180.246.122
mylparcj.xw.lzu.com.     IN    A    120.144.97.246
cysdkuqj.xw.lzu.com.     IN    A    114.125.73.209
oxrkdsec.xw.lzu.com.     IN    A    33.247.39.74
mpwscljv.xw.lzu.com.     IN    A    98.197.153.218
bjhlrckg.xw.lzu.com.     IN    A    74.193.248.20
jidmowpb.xw.lzu.com.     IN    A    250.30.150.221
eyuxtpsr.xw.lzu.com.     IN    A    84.190.85.132
aplfytrm.xw.lzu.com.     IN    A    12.101.120.253
ngjusvrh.xw.lzu.com.     IN    A    49.58.14.152
lusdrhfq.xw.lzu.com.     IN    A    79.253.74.219
mxpkwdny.xw.lzu.com.     IN    A    95.156.169.194
jcplrmsg.xw.lzu.com.     IN    A    29.33.15.114
gyjmbpkh.xw.lzu.com.     IN    A    67.239.218.243
xupgejnc.xw.lzu.com.     IN    A    39.16.69.247
hqlfopnk.xw.lzu.com.     IN    A    81.220.202.133
bliapyjg.xw.lzu.com.     IN    A    147.248.168.163
vycfrsli.xw.lzu.com.     IN    A    196.168.169.253
rclgsano.xw.lzu.com.     IN    A    190.71.84.230
sfdoqruj.xw.lzu.com.     IN    A    255.175.60.237
gowfhqri.xw.lzu.com.     IN    A    246.191.119.53
cfkevpmy.xw.lzu.com.     IN    A    23.142.1.6
oeqyukaf.xw.lzu.com.     IN    A    174.13.77.160
gmnvahoy.xw.lzu.com.     IN    A    11.74.153.239
iphsveox.xw.lzu.com.     IN    A    37.120.14.231
nkslmout.xw.lzu.com.     IN    A    180.121.8.212
dhtkping.xw.lzu.com.     IN    A    15.78.82.20
cxqfdpgi.xw.lzu.com.     IN    A    185.14.174.89
tnalvpjb.xw.lzu.com.     IN    A    19.231.46.64
puongeja.xw.lzu.com.     IN    A    122.30.44.2
ojxeyubh.xw.lzu.com.     IN    A    134.124.177.144
ljwtupvn.xw.lzu.com.     IN    A    161.180.229.118
urhdyeot.xw.lzu.com.     IN    A    196.29.78.56
famhibkp.xw.lzu.com.     IN    A    196.228.99.182
frvltqnh.xw.lzu.com.     IN    A    15.97.96.195
cysrvant.xw.lzu.com.     IN    A    182.238.228.37
eiwmqvgn.xw.lzu.com.     IN    A    220.209.4.117
dptqaikh.xw.lzu.com.     IN    A    210.5.52.33
