; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR cqu.com. @ns2.cqu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
cqu.com.			      14400 IN NS	ns1.cqu.com.
ns1.cqu.com.			      14400 IN A	10.166.21.15

www.cqu.com.		      14400 IN NS	ns1.www.cqu.com.
ns1.www.cqu.com.		      14400 IN A		10.166.21.12

sci.cqu.com.		      14400 IN NS	ns1.sci.cqu.com.
ns1.sci.cqu.com.		      14400 IN A		10.166.21.13

cse.cqu.com.		      14400 IN NS	ns1.cse.cqu.com.
ns1.cse.cqu.com.		      14400 IN A		10.166.21.14

cqu.com.			      14400 IN MX	10 csetp.cqu.edu.
cqu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
lgovxtwn.cqu.com.        IN    A    217.248.181.254
xtcifugn.cqu.com.        IN    A    220.55.64.86
vbftorxw.cqu.com.        IN    A    204.37.34.137
tnufrhxm.cqu.com.        IN    A    22.233.232.65
rhvbyqlo.cqu.com.        IN    A    189.254.255.46
fhunrdbv.cqu.com.        IN    A    252.100.87.31
cfahwsxj.cqu.com.        IN    A    68.213.10.236
fjxrykmu.cqu.com.        IN    A    180.6.103.172
fkdhrqoa.cqu.com.        IN    A    174.76.63.49
egcfphwn.cqu.com.        IN    A    192.227.132.172
wyskhdfj.cqu.com.        IN    A    62.8.223.150
rputmsgy.cqu.com.        IN    A    85.187.127.113
fklutrcv.cqu.com.        IN    A    143.46.115.73
fmkcixyr.cqu.com.        IN    A    206.224.242.255
tpucdxsr.cqu.com.        IN    A    143.182.126.175
dbqkwtuh.cqu.com.        IN    A    179.64.249.186
tpnmfyuo.cqu.com.        IN    A    71.82.97.166
cuhegflx.cqu.com.        IN    A    200.210.40.174
dvucexsq.cqu.com.        IN    A    122.112.250.34
wyxiulae.cqu.com.        IN    A    232.194.147.29
vspelafq.cqu.com.        IN    A    174.90.216.112
qfvrcjdw.cqu.com.        IN    A    222.52.84.2
jlihqpyb.cqu.com.        IN    A    162.91.32.34
dcupqlfe.cqu.com.        IN    A    5.224.250.79
hrebulgp.cqu.com.        IN    A    179.17.65.91
guwleoja.cqu.com.        IN    A    59.129.64.252
wtinjufv.cqu.com.        IN    A    4.218.95.101
rgnwxyuo.cqu.com.        IN    A    204.29.119.132
sfxanmwp.cqu.com.        IN    A    70.108.237.75
cfugtenp.cqu.com.        IN    A    108.67.169.243
kfcmxopn.cqu.com.        IN    A    232.118.109.91
hnywxrqo.cqu.com.        IN    A    69.202.139.202
krucdslm.cqu.com.        IN    A    131.128.208.130
aubgykmt.cqu.com.        IN    A    156.254.213.212
gxryslbw.cqu.com.        IN    A    184.181.178.111
kihubfya.cqu.com.        IN    A    52.220.200.245
fkdphaqr.cqu.com.        IN    A    173.66.7.212
qptvebmi.cqu.com.        IN    A    127.136.86.157
rnqmwbxc.cqu.com.        IN    A    254.180.218.68
upchaemv.cqu.com.        IN    A    69.114.154.54
qahxlfwn.cqu.com.        IN    A    142.93.244.113
wnkcaoqf.cqu.com.        IN    A    199.94.92.74
dhifknot.cqu.com.        IN    A    95.181.153.218
axkctphf.cqu.com.        IN    A    100.226.125.15
ycswdmpg.cqu.com.        IN    A    95.77.250.127
bfovhnxi.cqu.com.        IN    A    78.114.65.76
lbqmjkrc.cqu.com.        IN    A    5.243.199.180
hcdeuoks.cqu.com.        IN    A    214.246.78.33
aocmhbns.cqu.com.        IN    A    248.67.37.76
fvhwdbai.cqu.com.        IN    A    203.60.120.35
mavnuceg.cqu.com.        IN    A    72.150.20.12
ugapwbhe.cqu.com.        IN    A    61.180.79.136
rmxndpvw.cqu.com.        IN    A    205.234.230.22
gfdikxbw.cqu.com.        IN    A    205.229.60.243
snutoikg.cqu.com.        IN    A    30.247.115.245
rfnemdli.cqu.com.        IN    A    165.107.117.138
omplrjkx.cqu.com.        IN    A    31.146.253.194
msnqbpli.cqu.com.        IN    A    6.179.199.34
fhtesbxy.cqu.com.        IN    A    34.110.120.100
qsxkhlwb.cqu.com.        IN    A    48.247.78.13
tsjioyqu.cqu.com.        IN    A    201.30.58.115
exjorpbq.cqu.com.        IN    A    146.255.49.209
veokiywc.cqu.com.        IN    A    113.94.81.16
ncuoabqr.cqu.com.        IN    A    129.142.176.64
moniyhst.cqu.com.        IN    A    113.189.174.115
biacqorw.cqu.com.        IN    A    39.75.124.9
fxuiyqdv.cqu.com.        IN    A    89.215.9.87
ixfeusnj.cqu.com.        IN    A    39.8.152.79
woslucmk.cqu.com.        IN    A    43.235.55.7
ojprabuy.cqu.com.        IN    A    87.0.131.63
rytisxab.cqu.com.        IN    A    154.242.164.75
odaqyvhn.cqu.com.        IN    A    30.45.31.20
jchmabxt.cqu.com.        IN    A    116.163.136.205
aetnsvld.cqu.com.        IN    A    100.50.26.128
wvjkxdos.cqu.com.        IN    A    55.165.15.118
ckjyalsq.cqu.com.        IN    A    55.242.102.140
yvhcrdbi.cqu.com.        IN    A    121.13.83.249
wbsqiagt.cqu.com.        IN    A    60.169.76.163
xmvbepyc.cqu.com.        IN    A    19.249.40.99
bvdrpwgj.cqu.com.        IN    A    85.241.104.95
noljdtim.cqu.com.        IN    A    156.107.94.40
fpxdwegn.cqu.com.        IN    A    39.102.41.172
jhcwomnd.cqu.com.        IN    A    108.90.153.12
pjqvrgdn.cqu.com.        IN    A    221.122.110.106
rpeqfxyc.cqu.com.        IN    A    32.93.204.222
nhkmsixa.cqu.com.        IN    A    141.104.71.19
dnvhymxc.cqu.com.        IN    A    3.186.35.2
lnjkufts.cqu.com.        IN    A    46.72.106.230
kpqlwjrd.cqu.com.        IN    A    158.18.42.169
vcplyifd.cqu.com.        IN    A    17.168.1.67
ptdgrymc.cqu.com.        IN    A    122.63.25.166
ekmpayvl.cqu.com.        IN    A    159.88.168.237
wigbxfhj.cqu.com.        IN    A    158.117.239.81
fmlipdse.cqu.com.        IN    A    83.18.54.22
xntmcyhr.cqu.com.        IN    A    14.195.208.218
kxrnjfdm.cqu.com.        IN    A    229.41.235.251
kaurwsvf.cqu.com.        IN    A    138.113.25.186
crnfebiu.cqu.com.        IN    A    13.80.93.43
cjipblxm.cqu.com.        IN    A    4.164.29.34
barohxmi.cqu.com.        IN    A    41.215.166.124
pkrwgbyv.cqu.com.        IN    A    208.127.107.176
inuedqhp.cqu.com.        IN    A    70.165.0.22
lhbqrmtu.cqu.com.        IN    A    203.164.195.11
fkegihpb.cqu.com.        IN    A    180.119.152.251
wdymgbkv.cqu.com.        IN    A    237.239.168.75
gkbomyei.cqu.com.        IN    A    5.105.12.28
bmranpky.cqu.com.        IN    A    178.60.15.110
cjuqpbsx.cqu.com.        IN    A    109.125.198.155
jrmplsya.cqu.com.        IN    A    200.234.231.38
buxfikon.cqu.com.        IN    A    126.27.138.106
tywogrfc.cqu.com.        IN    A    214.245.6.238
hxcjsgbm.cqu.com.        IN    A    236.165.63.138
xeudnylm.cqu.com.        IN    A    39.188.235.88
ohcfxprb.cqu.com.        IN    A    154.247.186.34
jmcqpulf.cqu.com.        IN    A    153.169.200.183
khlgdxoe.cqu.com.        IN    A    101.183.203.224
vfyrgcpe.cqu.com.        IN    A    200.88.224.137
kexmrtpq.cqu.com.        IN    A    152.118.202.21
vuhkjypt.cqu.com.        IN    A    59.199.125.154
iabsfcjv.cqu.com.        IN    A    79.34.85.154
fyepqbwa.cqu.com.        IN    A    231.180.88.169
rtwqfubg.cqu.com.        IN    A    144.0.173.20
pcnxqvih.cqu.com.        IN    A    157.45.185.52
ejasuoql.cqu.com.        IN    A    242.56.189.126
nspubhfg.cqu.com.        IN    A    115.74.18.107
vqmteawf.cqu.com.        IN    A    44.14.84.88
esvfouhb.cqu.com.        IN    A    159.179.165.119
rmduqxen.cqu.com.        IN    A    59.73.133.75
cnodmvtx.cqu.com.        IN    A    154.123.95.233
etpfwkxv.cqu.com.        IN    A    202.98.19.140
bnvcfhli.cqu.com.        IN    A    238.71.81.227
adikfrhj.cqu.com.        IN    A    72.93.155.20
qgykivft.cqu.com.        IN    A    191.254.240.20
cihtkbdj.cqu.com.        IN    A    138.102.232.252
egnvjlpo.cqu.com.        IN    A    11.101.24.14
lvacgird.cqu.com.        IN    A    202.131.179.43
wiaksopc.cqu.com.        IN    A    115.33.167.95
yaumwkqd.cqu.com.        IN    A    53.83.213.18
ifagyelb.cqu.com.        IN    A    158.228.17.244
tbdnaufc.cqu.com.        IN    A    11.100.72.187
dqvgunwy.cqu.com.        IN    A    113.118.95.117
gdtrmyqw.cqu.com.        IN    A    123.87.162.174
piaedyft.cqu.com.        IN    A    5.237.138.141
xgpnevyk.cqu.com.        IN    A    88.187.172.235
kdcvmelt.cqu.com.        IN    A    8.119.186.156
pusgwhbe.cqu.com.        IN    A    107.68.244.123
leisyvod.cqu.com.        IN    A    119.73.221.207
hnkoiads.cqu.com.        IN    A    77.105.108.58
gjwcahev.cqu.com.        IN    A    80.117.143.67
eadxufso.cqu.com.        IN    A    85.165.243.173
wksilgpq.cqu.com.        IN    A    210.27.209.174
dvtlkneo.cqu.com.        IN    A    150.6.18.78
rwkdayts.cqu.com.        IN    A    248.236.124.187
jkndascq.cqu.com.        IN    A    254.225.162.116
lwusgmyb.cqu.com.        IN    A    28.87.102.175
vwltfrsh.cqu.com.        IN    A    144.174.201.149
oasexpwi.cqu.com.        IN    A    142.234.229.190
cyilrfaw.cqu.com.        IN    A    149.152.155.43
nrlyfcau.cqu.com.        IN    A    59.71.90.196
wifpncqs.cqu.com.        IN    A    44.166.32.249
aojseqkf.cqu.com.        IN    A    24.70.119.52
gdbjicoy.cqu.com.        IN    A    11.128.245.193
rtwmqbsu.cqu.com.        IN    A    118.105.250.79
fhwrtbgx.cqu.com.        IN    A    197.117.226.70
xuhnaqgb.cqu.com.        IN    A    123.193.190.41
yubcfkqd.cqu.com.        IN    A    25.226.220.146
wyoldiue.cqu.com.        IN    A    58.225.60.255
txkjquab.cqu.com.        IN    A    163.1.98.45
lfpjkevx.cqu.com.        IN    A    109.187.78.241
ysoaqpit.cqu.com.        IN    A    235.137.172.174
fkdesntq.cqu.com.        IN    A    248.254.128.23
pfjdisno.cqu.com.        IN    A    34.65.152.18
wjmogpiv.cqu.com.        IN    A    221.198.111.76
fyacplwj.cqu.com.        IN    A    219.236.21.74
upmjtwxn.cqu.com.        IN    A    154.142.97.7
owrqtvsf.cqu.com.        IN    A    86.220.143.250
itmnopyb.cqu.com.        IN    A    126.160.244.5
cmvpkfol.cqu.com.        IN    A    119.151.236.44
vmwjqyau.cqu.com.        IN    A    168.193.40.58
tujcefwp.cqu.com.        IN    A    251.101.86.51
oyusfjvk.cqu.com.        IN    A    230.14.139.153
ryscdvwt.cqu.com.        IN    A    234.238.50.130
qnjfmgxb.cqu.com.        IN    A    122.59.43.104
vxpwdubr.cqu.com.        IN    A    193.205.197.24
pqxsfkwo.cqu.com.        IN    A    195.230.153.247
kdfcuqow.cqu.com.        IN    A    180.255.148.104
sjoqbngr.cqu.com.        IN    A    189.141.127.157
agiusovx.cqu.com.        IN    A    68.247.22.215
ncipxwmy.cqu.com.        IN    A    86.207.157.82
ocfgkdyx.cqu.com.        IN    A    133.249.106.57
keuigylt.cqu.com.        IN    A    66.215.99.155
cheafmrj.cqu.com.        IN    A    131.175.88.176
otusgneq.cqu.com.        IN    A    168.18.165.238
fvnutdlk.cqu.com.        IN    A    65.101.187.91
taorjxqu.cqu.com.        IN    A    234.195.217.57
uftsecpq.cqu.com.        IN    A    208.82.226.26
fimyorgc.cqu.com.        IN    A    66.87.184.214
ieujgmwy.cqu.com.        IN    A    204.109.82.42
gpdhsaen.cqu.com.        IN    A    102.186.58.181
jlnraimy.cqu.com.        IN    A    67.239.217.180
knhqpwds.cqu.com.        IN    A    163.106.91.4
qhawgnjk.cqu.com.        IN    A    43.189.36.11
wfcamlyv.cqu.com.        IN    A    212.90.145.249
axrdonjp.cqu.com.        IN    A    243.79.28.87
lmveyxfi.cqu.com.        IN    A    5.112.83.52
beuagjih.cqu.com.        IN    A    12.143.202.193
codysfwp.cqu.com.        IN    A    213.154.56.200
wurhntcb.cqu.com.        IN    A    41.59.250.65
ramwdupo.cqu.com.        IN    A    106.166.182.50
coqhjtnm.cqu.com.        IN    A    87.13.141.96
hyvwdmae.cqu.com.        IN    A    119.114.98.118
lqkjtrmh.cqu.com.        IN    A    107.34.152.205
osgthlqm.cqu.com.        IN    A    141.10.165.232
byqrunlf.cqu.com.        IN    A    160.44.119.244
gpxcakrt.cqu.com.        IN    A    40.228.132.168
fyawnvxu.cqu.com.        IN    A    172.91.90.202
lwkibdfp.cqu.com.        IN    A    208.56.38.39
pqcovwus.cqu.com.        IN    A    220.170.246.130
feadrqnl.cqu.com.        IN    A    70.92.154.233
lkrhyxnw.cqu.com.        IN    A    168.209.15.147
hdipervn.cqu.com.        IN    A    140.22.152.205
dptlqjcx.cqu.com.        IN    A    250.144.175.112
odagkmhc.cqu.com.        IN    A    160.115.59.132
oqxubnyl.cqu.com.        IN    A    159.166.194.89
svtduyqn.cqu.com.        IN    A    139.21.82.249
nvlkrstd.cqu.com.        IN    A    104.136.25.117
nkvhtyru.cqu.com.        IN    A    75.71.162.122
hoybcxrg.cqu.com.        IN    A    32.122.183.234
lwfuhcmo.cqu.com.        IN    A    155.247.34.227
btldnoae.cqu.com.        IN    A    57.238.130.229
mxvjkqoa.cqu.com.        IN    A    65.42.57.198
ometnsgb.cqu.com.        IN    A    211.238.240.150
enstcokw.cqu.com.        IN    A    8.104.36.198
omxvfwty.cqu.com.        IN    A    211.239.242.23
ledprvhb.cqu.com.        IN    A    121.94.155.36
evnarxks.cqu.com.        IN    A    211.71.130.127
wjcoisag.cqu.com.        IN    A    78.87.116.125
dfgklmei.cqu.com.        IN    A    198.194.207.101
mjyxicwd.cqu.com.        IN    A    72.58.110.71
nhxiwjer.cqu.com.        IN    A    101.245.103.105
dncgqrws.cqu.com.        IN    A    167.228.131.184
hwopsbga.cqu.com.        IN    A    163.86.132.225
ervoxhmc.cqu.com.        IN    A    42.205.219.11
cslertwo.cqu.com.        IN    A    146.170.89.12
ysuplgxd.cqu.com.        IN    A    246.146.45.28
qmvakril.cqu.com.        IN    A    180.184.101.8
bdxrglfy.cqu.com.        IN    A    116.249.14.52
tqnesadi.cqu.com.        IN    A    28.40.28.152
iyncwabj.cqu.com.        IN    A    133.41.186.70
eayslwig.cqu.com.        IN    A    226.138.94.245
ulbhqdnf.cqu.com.        IN    A    150.193.243.69
wfivkcmd.cqu.com.        IN    A    77.171.222.175
ydjuqhip.cqu.com.        IN    A    140.140.31.40
pmuhqjiw.cqu.com.        IN    A    244.25.196.96
bmqntwrc.cqu.com.        IN    A    1.142.10.16
ewapulvk.cqu.com.        IN    A    200.174.11.156
dfajgvhy.cqu.com.        IN    A    76.80.199.244
tolusxbj.cqu.com.        IN    A    207.68.251.140
rtsvpion.cqu.com.        IN    A    70.190.131.42
nbakexiq.cqu.com.        IN    A    189.28.23.173
vxighlpr.cqu.com.        IN    A    25.227.96.203
tfvbxnam.cqu.com.        IN    A    129.132.155.132
jgqabflh.cqu.com.        IN    A    76.95.44.23
lncjmyhu.cqu.com.        IN    A    88.232.123.47
rvpglmcn.cqu.com.        IN    A    214.219.86.68
kteioxdj.cqu.com.        IN    A    70.32.176.138
ojhrdilx.cqu.com.        IN    A    60.164.26.198
elurvcwj.cqu.com.        IN    A    85.22.250.177
nltgsfax.cqu.com.        IN    A    203.43.24.222
hjwxgupn.cqu.com.        IN    A    201.6.180.232
ibvmfokg.cqu.com.        IN    A    67.239.29.133
voidlcbf.cqu.com.        IN    A    245.157.43.51
clghqvbe.cqu.com.        IN    A    108.211.56.244
ovqygrml.cqu.com.        IN    A    237.187.191.76
vokqjlps.cqu.com.        IN    A    255.237.245.70
sfvtdmpa.cqu.com.        IN    A    125.219.31.89
qyhavwjn.cqu.com.        IN    A    151.77.117.107
octldyhp.cqu.com.        IN    A    14.47.16.32
fqwjcmdy.cqu.com.        IN    A    87.113.97.134
jcmxilqr.cqu.com.        IN    A    205.179.175.97
rtoyhxbe.cqu.com.        IN    A    190.241.209.92
ldspyivo.cqu.com.        IN    A    213.187.218.168
kmescfdb.cqu.com.        IN    A    245.73.243.242
wohxyjnd.cqu.com.        IN    A    250.39.182.148
vidhkjts.cqu.com.        IN    A    85.26.9.98
jmileqfn.cqu.com.        IN    A    64.54.204.57
brghdefu.cqu.com.        IN    A    6.247.48.214
asbprqhw.cqu.com.        IN    A    44.12.93.0
uaorgfcb.cqu.com.        IN    A    119.130.254.89
tidhwsrb.cqu.com.        IN    A    110.13.22.92
sjgeyxow.cqu.com.        IN    A    168.159.157.134
iwearxsk.cqu.com.        IN    A    198.94.15.166
ckptgoum.cqu.com.        IN    A    241.213.227.191
ojcdlmuh.cqu.com.        IN    A    179.224.127.78
sjrlwqto.cqu.com.        IN    A    246.145.106.85
fyrpdnbi.cqu.com.        IN    A    152.197.225.21
vclitdjx.cqu.com.        IN    A    238.164.161.10
wfecqlth.cqu.com.        IN    A    211.220.236.74
greokvsn.cqu.com.        IN    A    145.125.104.87
vsfjwykh.cqu.com.        IN    A    167.237.230.102
tikqhvyp.cqu.com.        IN    A    81.239.180.167
erulxsmk.cqu.com.        IN    A    103.199.193.133
anumsdeb.cqu.com.        IN    A    61.74.241.211
pirdokts.cqu.com.        IN    A    169.78.15.34
jdtsvrmi.cqu.com.        IN    A    103.53.65.174
wkidlfmr.cqu.com.        IN    A    76.111.191.15
joghakrd.cqu.com.        IN    A    252.59.248.119
xihrgdvm.cqu.com.        IN    A    245.167.228.165
jwyqsvgp.cqu.com.        IN    A    216.237.48.121
ntkwvahp.cqu.com.        IN    A    220.214.83.159
aixcwpfd.cqu.com.        IN    A    168.251.149.179
evrpgiyc.cqu.com.        IN    A    23.71.189.233
ojktdlmi.cqu.com.        IN    A    35.195.236.186
gvbiltmr.cqu.com.        IN    A    212.104.145.6
jxdihfsm.cqu.com.        IN    A    30.95.189.214
oxrptbsd.cqu.com.        IN    A    242.108.131.130
lxahsjeu.cqu.com.        IN    A    34.57.66.168
lpcfmjuv.cqu.com.        IN    A    97.176.66.18
wbsvnmch.cqu.com.        IN    A    83.230.211.203
dsynhkcv.cqu.com.        IN    A    205.201.159.41
wkfbiycg.cqu.com.        IN    A    60.212.83.99
cbjdxwey.cqu.com.        IN    A    172.194.234.236
veahbsdc.cqu.com.        IN    A    203.207.186.75
bgqmroix.cqu.com.        IN    A    216.185.143.254
bfoqdkhc.cqu.com.        IN    A    220.142.149.24
xpksurwb.cqu.com.        IN    A    53.22.115.38
bmgcsydf.cqu.com.        IN    A    101.156.202.253
twhkgpvs.cqu.com.        IN    A    159.182.197.138
rdmfptnx.cqu.com.        IN    A    30.61.181.147
elcdsnqb.cqu.com.        IN    A    95.118.183.116
fpuamtiy.cqu.com.        IN    A    55.197.125.220
eqklvbmx.cqu.com.        IN    A    244.62.170.24
nvuyrdwg.cqu.com.        IN    A    14.120.2.102
vkqgebpr.cqu.com.        IN    A    79.14.215.214
lfybqirg.cqu.com.        IN    A    131.236.204.27
smyufdhl.cqu.com.        IN    A    110.133.0.1
ientrfuy.cqu.com.        IN    A    254.83.16.31
xilbfshd.cqu.com.        IN    A    247.175.176.191
gxuwkhfs.cqu.com.        IN    A    102.159.30.177
ydujoris.cqu.com.        IN    A    107.108.42.44
xndfikwr.cqu.com.        IN    A    48.144.77.165
glkqsdbu.cqu.com.        IN    A    156.100.10.103
kvmolhtf.cqu.com.        IN    A    88.235.139.243
nuvkxctb.cqu.com.        IN    A    178.135.152.22
tdckhnji.cqu.com.        IN    A    61.75.36.113
rpfhcvyg.cqu.com.        IN    A    96.14.178.114
qokehwmf.cqu.com.        IN    A    247.122.232.225
palmgwhn.cqu.com.        IN    A    37.116.185.224
rdmtpvof.cqu.com.        IN    A    65.91.128.75
dntkhqpb.cqu.com.        IN    A    100.50.86.91
owmjngvq.cqu.com.        IN    A    104.56.157.6
puxkjetw.cqu.com.        IN    A    47.23.84.81
smgekqyn.cqu.com.        IN    A    22.43.176.84
lfcmdqar.cqu.com.        IN    A    133.109.163.126
epmusfbi.cqu.com.        IN    A    115.182.87.130
hprmslfv.cqu.com.        IN    A    252.160.96.9
sclkunto.cqu.com.        IN    A    213.140.218.230
jfhqrncg.cqu.com.        IN    A    60.199.63.170
ebjqvcyr.cqu.com.        IN    A    233.128.189.140
emluniqo.cqu.com.        IN    A    160.43.246.65
etpbnjli.cqu.com.        IN    A    232.221.197.60
siabymgl.cqu.com.        IN    A    182.103.32.234
dnwbpeva.cqu.com.        IN    A    59.86.79.197
iayrgfun.cqu.com.        IN    A    163.154.166.98
tqjwxeos.cqu.com.        IN    A    215.131.24.199
usmfctlq.cqu.com.        IN    A    104.199.154.17
uadrsthm.cqu.com.        IN    A    48.42.102.249
apcqswhv.cqu.com.        IN    A    235.234.42.214
vlqhsemw.cqu.com.        IN    A    106.201.217.209
atyxwmod.cqu.com.        IN    A    115.81.39.25
ufvxqwcd.cqu.com.        IN    A    112.97.123.134
micowalf.cqu.com.        IN    A    146.153.58.137
ksegilxu.cqu.com.        IN    A    28.154.207.121
kbeymroh.cqu.com.        IN    A    69.18.6.97
hbcsyrpl.cqu.com.        IN    A    164.21.163.133
nbgmvewf.cqu.com.        IN    A    10.22.15.231
vkfdmgri.cqu.com.        IN    A    255.143.77.120
rmgqhnux.cqu.com.        IN    A    254.52.178.68
ftyqoxks.cqu.com.        IN    A    4.210.79.131
kmfyepcv.cqu.com.        IN    A    230.199.47.165
oscytvqf.cqu.com.        IN    A    110.147.250.88
pmvhfoty.cqu.com.        IN    A    213.164.201.222
kmoftdxj.cqu.com.        IN    A    242.233.57.200
pnudvfwa.cqu.com.        IN    A    94.223.18.126
cvfrghyu.cqu.com.        IN    A    218.75.8.23
hxsficlk.cqu.com.        IN    A    115.103.30.217
abcpumvl.cqu.com.        IN    A    168.107.173.74
mqjtugys.cqu.com.        IN    A    121.41.119.19
aimxrkbf.cqu.com.        IN    A    242.30.126.69
rpbwlehs.cqu.com.        IN    A    91.116.230.219
sfwglndj.cqu.com.        IN    A    221.122.49.252
eadinojb.cqu.com.        IN    A    198.49.57.205
ldoqbcmi.cqu.com.        IN    A    150.217.143.38
oqhjntle.cqu.com.        IN    A    197.65.145.61
qghbawri.cqu.com.        IN    A    96.205.184.163
rgjebxyo.cqu.com.        IN    A    130.247.83.6
dbkyuwji.cqu.com.        IN    A    133.60.189.6
pbdrytna.cqu.com.        IN    A    143.10.114.222
crtxqhom.cqu.com.        IN    A    74.97.104.134
jyoihmsq.cqu.com.        IN    A    163.23.219.122
gobfisaw.cqu.com.        IN    A    141.215.226.5
preimqwx.cqu.com.        IN    A    133.98.221.173
ojgrilae.cqu.com.        IN    A    74.186.134.149
yrmepuna.cqu.com.        IN    A    49.223.17.151
fvyhemwd.cqu.com.        IN    A    76.188.253.239
nsyxrewj.cqu.com.        IN    A    15.38.6.250
ptygjuhr.cqu.com.        IN    A    97.208.78.109
satovfng.cqu.com.        IN    A    63.66.203.120
fndcrmli.cqu.com.        IN    A    150.52.41.82
vwjxbfql.cqu.com.        IN    A    175.19.180.29
vkqyjuhr.cqu.com.        IN    A    250.9.229.244
yxarbkmj.cqu.com.        IN    A    182.118.122.214
kglowujb.cqu.com.        IN    A    186.183.216.138
rnfyvoqt.cqu.com.        IN    A    106.183.27.120
phuinqwy.cqu.com.        IN    A    89.127.144.244
itfbhvsn.cqu.com.        IN    A    80.92.114.253
fjovxsba.cqu.com.        IN    A    13.39.234.191
ymsnqfkh.cqu.com.        IN    A    10.11.212.171
ihfduprj.cqu.com.        IN    A    46.184.54.108
vbfctpxj.cqu.com.        IN    A    212.163.64.209
fgcidejs.cqu.com.        IN    A    6.194.199.122
mtoskhle.cqu.com.        IN    A    3.79.187.108
liexbtpg.cqu.com.        IN    A    154.32.2.253
nvqbwrgt.cqu.com.        IN    A    182.246.144.254
tqxpsknf.cqu.com.        IN    A    253.190.222.174
tfcaeodm.cqu.com.        IN    A    33.133.125.199
dnqixyvj.cqu.com.        IN    A    255.32.29.225
lhtqicjw.cqu.com.        IN    A    115.25.183.80
ndqivmto.cqu.com.        IN    A    31.103.95.101
pyfnhjxq.cqu.com.        IN    A    38.23.102.117
iskpmwnf.cqu.com.        IN    A    39.126.52.151
nshqbrtm.cqu.com.        IN    A    225.107.37.34
bxadwusv.cqu.com.        IN    A    44.43.78.240
yximjogc.cqu.com.        IN    A    211.49.166.30
ycodbwix.cqu.com.        IN    A    245.160.151.107
mjhguoit.cqu.com.        IN    A    5.133.246.40
gockbmqi.cqu.com.        IN    A    3.109.242.165
gyorlaxu.cqu.com.        IN    A    24.5.224.225
nqjyiovk.cqu.com.        IN    A    172.117.148.91
vhtaeoln.cqu.com.        IN    A    49.208.93.166
tbfergvl.cqu.com.        IN    A    54.220.72.183
mkylrsjh.cqu.com.        IN    A    208.192.0.179
ioxvkgnp.cqu.com.        IN    A    199.126.7.103
dipyjshk.cqu.com.        IN    A    179.231.246.199
cxkifosg.cqu.com.        IN    A    138.116.184.73
yrmhtpuc.cqu.com.        IN    A    86.170.30.59
svmfkalw.cqu.com.        IN    A    118.67.147.56
yxigwbfa.cqu.com.        IN    A    98.44.66.210
blikgaxh.cqu.com.        IN    A    201.30.201.54
fbiwkuah.cqu.com.        IN    A    125.40.140.128
jkdewyia.cqu.com.        IN    A    167.119.210.0
pfiaestn.cqu.com.        IN    A    219.17.227.61
lkynohpu.cqu.com.        IN    A    215.44.91.221
skrpcxgm.cqu.com.        IN    A    214.75.17.84
luxpceyv.cqu.com.        IN    A    194.79.61.196
utivrqns.cqu.com.        IN    A    36.144.254.113
sijhxplv.cqu.com.        IN    A    60.188.112.151
ilnpmwxb.cqu.com.        IN    A    72.196.51.33
isyemvla.cqu.com.        IN    A    8.43.67.193
lpifvcdg.cqu.com.        IN    A    171.189.130.156
sdkctmro.cqu.com.        IN    A    219.81.129.92
dcirgueo.cqu.com.        IN    A    160.252.69.75
aeiglprc.cqu.com.        IN    A    7.111.93.243
mofycvxi.cqu.com.        IN    A    245.241.125.128
oxcluprb.cqu.com.        IN    A    73.147.0.179
ipyndoba.cqu.com.        IN    A    26.118.170.205
sqhxfrvg.cqu.com.        IN    A    197.211.113.105
rxtwgblc.cqu.com.        IN    A    6.180.242.18
fhqkwoel.cqu.com.        IN    A    45.168.21.160
eahvomlr.cqu.com.        IN    A    88.47.215.107
nexrkmay.cqu.com.        IN    A    160.217.116.56
fctovnsx.cqu.com.        IN    A    75.117.210.134
bojinmak.cqu.com.        IN    A    126.119.106.193
fagijmsh.cqu.com.        IN    A    79.11.1.25
rntsxfwu.cqu.com.        IN    A    212.78.35.37
ounqcjlk.cqu.com.        IN    A    149.122.243.231
muewtafj.cqu.com.        IN    A    80.233.204.185
dxmliyhf.cqu.com.        IN    A    79.173.211.61
mjiguknl.cqu.com.        IN    A    68.34.160.233
liuhqeac.cqu.com.        IN    A    33.105.232.70
jkmdlgoq.cqu.com.        IN    A    6.10.178.88
salmbyuv.cqu.com.        IN    A    6.115.2.42
gxdhseqn.cqu.com.        IN    A    70.222.31.248
fhkpvtni.cqu.com.        IN    A    42.36.198.178
idflsjxy.cqu.com.        IN    A    140.28.165.90
mauqribh.cqu.com.        IN    A    204.101.115.67
falnpkoy.cqu.com.        IN    A    218.242.155.197
lxbgcjae.cqu.com.        IN    A    67.28.244.147
qwymdbnj.cqu.com.        IN    A    22.38.68.32
xdaevjru.cqu.com.        IN    A    25.207.224.153
asviuxbn.cqu.com.        IN    A    252.31.166.99
wutsmevx.cqu.com.        IN    A    5.71.62.200
jqnlhdbp.cqu.com.        IN    A    137.141.216.206
