www.xmu.com. 	14400	IN	SOA	ns1.www.xmu.com. james.xmu.edu. 19122302 14400 3600 2419200 14400
www.xmu.com.		    IN	NS ns1.www.xmu.com.
nurswmbx.www.xmu.com.    IN    A    180.47.60.203
yoxfuwpb.www.xmu.com.    IN    A    207.29.203.21
fytevbrn.www.xmu.com.    IN    A    210.155.48.212
cpekhfms.www.xmu.com.    IN    A    38.99.76.6
yrdxtefi.www.xmu.com.    IN    A    190.3.115.91
gkfhbpra.www.xmu.com.    IN    A    224.30.130.99
pnitserb.www.xmu.com.    IN    A    41.29.11.219
jrbsuied.www.xmu.com.    IN    A    9.119.244.216
fxtpdsya.www.xmu.com.    IN    A    234.92.141.80
teusxjai.www.xmu.com.    IN    A    83.158.44.74
cjhtidqg.www.xmu.com.    IN    A    147.128.233.213
bscolkwa.www.xmu.com.    IN    A    217.192.105.176
xciuwpsq.www.xmu.com.    IN    A    45.178.110.217
bkewlfmy.www.xmu.com.    IN    A    183.199.11.38
ibjlthgm.www.xmu.com.    IN    A    88.141.61.249
xlrwmogy.www.xmu.com.    IN    A    131.219.33.89
omepkilx.www.xmu.com.    IN    A    232.172.175.129
hbjiocxn.www.xmu.com.    IN    A    132.252.148.24
xceqtjrv.www.xmu.com.    IN    A    70.193.223.21
snpqfwdb.www.xmu.com.    IN    A    141.81.85.215
hjnksptx.www.xmu.com.    IN    A    225.96.189.214
uyvmriaw.www.xmu.com.    IN    A    225.103.149.237
rygbnwqp.www.xmu.com.    IN    A    100.191.27.68
ijfxrpst.www.xmu.com.    IN    A    120.136.3.97
drhoysux.www.xmu.com.    IN    A    82.86.247.27
ymlcjwfo.www.xmu.com.    IN    A    92.200.205.238
wujtoxac.www.xmu.com.    IN    A    181.12.180.177
ocxraqig.www.xmu.com.    IN    A    158.160.142.220
tgcjxbsf.www.xmu.com.    IN    A    223.134.44.36
eayldjfw.www.xmu.com.    IN    A    49.168.122.168
hcnpgsuw.www.xmu.com.    IN    A    136.180.179.123
vulmhekw.www.xmu.com.    IN    A    157.18.13.37
rydqmube.www.xmu.com.    IN    A    167.205.229.31
mxvhnsui.www.xmu.com.    IN    A    22.19.231.9
prwvhkbt.www.xmu.com.    IN    A    170.255.199.56
dcxfhnsj.www.xmu.com.    IN    A    28.109.111.106
qbeakgnc.www.xmu.com.    IN    A    95.233.17.75
chgnpxwy.www.xmu.com.    IN    A    80.139.28.82
sgfuoyqm.www.xmu.com.    IN    A    118.2.12.52
mcutdvga.www.xmu.com.    IN    A    172.174.188.145
ukehvyji.www.xmu.com.    IN    A    252.214.143.62
vuopmwfi.www.xmu.com.    IN    A    243.150.104.90
euvbcpxq.www.xmu.com.    IN    A    117.200.22.19
goytvjdl.www.xmu.com.    IN    A    65.43.133.145
vroingmk.www.xmu.com.    IN    A    250.26.197.209
sdluehmx.www.xmu.com.    IN    A    197.222.134.163
ksqhomtx.www.xmu.com.    IN    A    137.223.176.253
kgoqplar.www.xmu.com.    IN    A    157.111.81.19
vclwsfjh.www.xmu.com.    IN    A    151.114.191.8
sjyedril.www.xmu.com.    IN    A    73.84.8.117
uqbecyim.www.xmu.com.    IN    A    148.160.228.110
dcrqymbf.www.xmu.com.    IN    A    167.58.190.158
vfdaewxm.www.xmu.com.    IN    A    11.102.141.177
lbyufgak.www.xmu.com.    IN    A    14.22.174.31
bvnlatdw.www.xmu.com.    IN    A    155.56.200.91
hurdpist.www.xmu.com.    IN    A    65.106.105.63
bmyrklnt.www.xmu.com.    IN    A    243.93.247.135
xlsgcmed.www.xmu.com.    IN    A    74.172.72.234
itqleykn.www.xmu.com.    IN    A    169.47.44.83
mcnodqvb.www.xmu.com.    IN    A    194.39.65.74
smkldorg.www.xmu.com.    IN    A    89.20.245.38
dauowkyj.www.xmu.com.    IN    A    177.124.171.182
udbgsnmx.www.xmu.com.    IN    A    61.187.166.122
kubwdfim.www.xmu.com.    IN    A    203.99.93.145
nsmwbvch.www.xmu.com.    IN    A    83.114.74.195
vrbopxsk.www.xmu.com.    IN    A    86.6.91.108
cqoebjnm.www.xmu.com.    IN    A    137.235.67.93
dlkxyemt.www.xmu.com.    IN    A    5.149.250.247
uhjosdtp.www.xmu.com.    IN    A    136.162.35.182
rhoqfekv.www.xmu.com.    IN    A    129.248.117.79
wubvxqhp.www.xmu.com.    IN    A    186.123.27.77
albvkcms.www.xmu.com.    IN    A    35.202.28.152
gyiumpwa.www.xmu.com.    IN    A    79.129.60.213
gcjvumwq.www.xmu.com.    IN    A    54.201.0.21
hjxlorwd.www.xmu.com.    IN    A    115.239.251.127
ioubtcqh.www.xmu.com.    IN    A    239.176.24.192
dioxrmvs.www.xmu.com.    IN    A    31.169.78.57
utsvkwqo.www.xmu.com.    IN    A    57.230.65.127
nxyujtmd.www.xmu.com.    IN    A    125.157.55.182
anpswtdy.www.xmu.com.    IN    A    14.216.45.229
hdecmktl.www.xmu.com.    IN    A    8.212.130.100
gyxkhslj.www.xmu.com.    IN    A    106.252.216.210
akxlisvp.www.xmu.com.    IN    A    218.213.102.203
agnqhrmf.www.xmu.com.    IN    A    241.72.226.214
frbceoxj.www.xmu.com.    IN    A    12.33.200.161
fywjpnba.www.xmu.com.    IN    A    132.30.42.157
ysnjdowm.www.xmu.com.    IN    A    199.247.238.110
wbypskda.www.xmu.com.    IN    A    194.146.89.128
uarotbfy.www.xmu.com.    IN    A    6.175.111.8
vgatjlrc.www.xmu.com.    IN    A    173.230.119.139
nvdrmbxa.www.xmu.com.    IN    A    251.113.33.188
gwqunojk.www.xmu.com.    IN    A    199.231.132.7
ygufwdtb.www.xmu.com.    IN    A    197.137.38.80
fcxhgaym.www.xmu.com.    IN    A    157.210.6.215
robhcaqe.www.xmu.com.    IN    A    55.45.179.243
wfpcaoun.www.xmu.com.    IN    A    37.69.224.182
gqifaydp.www.xmu.com.    IN    A    92.215.59.158
jswnxkyd.www.xmu.com.    IN    A    81.13.5.181
vwjthens.www.xmu.com.    IN    A    110.126.73.141
qubjcvmy.www.xmu.com.    IN    A    171.198.160.202
toqpwnse.www.xmu.com.    IN    A    242.92.144.123
ahjqlnbo.www.xmu.com.    IN    A    116.142.235.138
nodlwymf.www.xmu.com.    IN    A    116.116.186.15
pokgtmnl.www.xmu.com.    IN    A    56.241.42.27
jlmdgcke.www.xmu.com.    IN    A    207.179.129.57
obinrpvf.www.xmu.com.    IN    A    102.55.222.190
osynbjti.www.xmu.com.    IN    A    74.50.174.138
oirhufcj.www.xmu.com.    IN    A    146.151.88.140
bygvecot.www.xmu.com.    IN    A    80.81.181.12
bprwlytq.www.xmu.com.    IN    A    106.238.182.92
hwxbqnom.www.xmu.com.    IN    A    196.22.157.73
txqayngl.www.xmu.com.    IN    A    10.232.116.133
ulfvgtdc.www.xmu.com.    IN    A    86.214.45.7
vneutpwx.www.xmu.com.    IN    A    224.105.237.110
iwjfrkyh.www.xmu.com.    IN    A    184.214.7.230
qbieyphs.www.xmu.com.    IN    A    224.54.79.113
wlqehpxr.www.xmu.com.    IN    A    1.17.15.101
ywrxsdeg.www.xmu.com.    IN    A    146.237.41.23
spbdtcha.www.xmu.com.    IN    A    21.225.242.11
rklefona.www.xmu.com.    IN    A    11.199.103.65
ohbdclmf.www.xmu.com.    IN    A    169.205.122.247
ygoahkfx.www.xmu.com.    IN    A    165.189.248.84
fcmvynbt.www.xmu.com.    IN    A    61.106.150.70
gtiqafnx.www.xmu.com.    IN    A    178.246.244.9
phgaeyrj.www.xmu.com.    IN    A    116.55.222.160
lycfsvwh.www.xmu.com.    IN    A    182.165.214.110
wkgnivsy.www.xmu.com.    IN    A    181.69.99.166
sktfcuaw.www.xmu.com.    IN    A    206.80.188.45
hwlyfbkv.www.xmu.com.    IN    A    239.37.192.254
fwnbucha.www.xmu.com.    IN    A    204.51.239.195
ebsrfxlh.www.xmu.com.    IN    A    88.84.69.142
yebvkxfa.www.xmu.com.    IN    A    66.91.192.19
pqxdwour.www.xmu.com.    IN    A    219.111.111.20
cvjslmnt.www.xmu.com.    IN    A    139.176.125.206
tfrpnuxs.www.xmu.com.    IN    A    216.111.235.213
rtyqglem.www.xmu.com.    IN    A    222.217.139.171
bwyxukpg.www.xmu.com.    IN    A    14.153.137.55
mbjlwtpd.www.xmu.com.    IN    A    239.199.78.119
qhargxcy.www.xmu.com.    IN    A    81.62.213.3
fkrygila.www.xmu.com.    IN    A    66.36.127.40
oicysqhf.www.xmu.com.    IN    A    190.24.204.228
orbqjlsk.www.xmu.com.    IN    A    199.184.253.68
wjxdirum.www.xmu.com.    IN    A    23.214.134.88
wpbxrjcq.www.xmu.com.    IN    A    26.32.96.37
eghvxkbr.www.xmu.com.    IN    A    88.53.25.0
nisjkfog.www.xmu.com.    IN    A    185.150.99.40
riwqukpt.www.xmu.com.    IN    A    89.177.239.182
bisuwoye.www.xmu.com.    IN    A    80.69.172.239
dfqlhnoi.www.xmu.com.    IN    A    44.175.86.48
gcdyxewv.www.xmu.com.    IN    A    144.76.46.181
fxvcnpes.www.xmu.com.    IN    A    14.138.41.225
tkyvgxjb.www.xmu.com.    IN    A    104.70.216.120
cejyhliv.www.xmu.com.    IN    A    216.183.84.63
gysnxdmp.www.xmu.com.    IN    A    196.55.238.29
gmulrqck.www.xmu.com.    IN    A    68.120.206.49
fslqtxbu.www.xmu.com.    IN    A    91.180.89.2
tjefcavs.www.xmu.com.    IN    A    128.80.88.100
ndsgevab.www.xmu.com.    IN    A    150.58.111.27
qieaskxb.www.xmu.com.    IN    A    22.144.122.179
detcvmqo.www.xmu.com.    IN    A    91.16.202.204
cimpwogr.www.xmu.com.    IN    A    140.104.109.151
domcrgtk.www.xmu.com.    IN    A    0.131.199.155
kcqadhml.www.xmu.com.    IN    A    208.91.221.154
lpfrcbtu.www.xmu.com.    IN    A    45.213.3.118
hrgincby.www.xmu.com.    IN    A    72.208.93.107
tyhegjku.www.xmu.com.    IN    A    13.71.166.167
srwynpqu.www.xmu.com.    IN    A    107.219.226.1
hvfimyce.www.xmu.com.    IN    A    11.208.7.215
bekrslav.www.xmu.com.    IN    A    1.92.75.106
bqrnydep.www.xmu.com.    IN    A    122.99.133.79
smkcydqj.www.xmu.com.    IN    A    218.207.196.92
altyowkq.www.xmu.com.    IN    A    86.7.89.149
divpmkyf.www.xmu.com.    IN    A    167.37.149.214
bkcleyfg.www.xmu.com.    IN    A    105.28.85.44
pineclts.www.xmu.com.    IN    A    226.170.49.156
silofwdq.www.xmu.com.    IN    A    159.152.250.169
jdicobhf.www.xmu.com.    IN    A    136.223.114.185
sjarxfgy.www.xmu.com.    IN    A    95.154.129.234
tgpqudvn.www.xmu.com.    IN    A    253.207.221.138
nxraqcte.www.xmu.com.    IN    A    100.82.17.11
qpkugjct.www.xmu.com.    IN    A    48.185.112.234
sruqxgwd.www.xmu.com.    IN    A    83.175.11.137
tcnvjabw.www.xmu.com.    IN    A    108.148.174.14
btlsdkoc.www.xmu.com.    IN    A    108.13.24.188
jcdtulea.www.xmu.com.    IN    A    233.51.39.195
gcwrpiaq.www.xmu.com.    IN    A    49.167.120.218
noprhtlm.www.xmu.com.    IN    A    159.110.178.31
ygibsrnv.www.xmu.com.    IN    A    28.4.38.136
ubacshmr.www.xmu.com.    IN    A    75.140.137.200
uptmbjxe.www.xmu.com.    IN    A    124.73.239.12
jonbuytf.www.xmu.com.    IN    A    79.221.65.2
otsxhlrc.www.xmu.com.    IN    A    188.50.166.183
eikcgawq.www.xmu.com.    IN    A    235.70.100.144
tvphoqim.www.xmu.com.    IN    A    118.199.214.17
delyvstw.www.xmu.com.    IN    A    177.82.45.17
fgpqbrcx.www.xmu.com.    IN    A    12.91.16.144
xevlprgt.www.xmu.com.    IN    A    112.200.159.41
hnbqtuog.www.xmu.com.    IN    A    182.41.99.177
bgtfmhis.www.xmu.com.    IN    A    115.118.44.215
wuolykns.www.xmu.com.    IN    A    159.174.182.242
edjpwcab.www.xmu.com.    IN    A    3.35.145.115
twhdrpqa.www.xmu.com.    IN    A    156.2.230.79
iqwoaleu.www.xmu.com.    IN    A    170.50.235.157
bynasxve.www.xmu.com.    IN    A    194.35.23.231
jyemdafb.www.xmu.com.    IN    A    161.11.2.51
qjgwldor.www.xmu.com.    IN    A    205.42.161.226
edxhgmow.www.xmu.com.    IN    A    11.18.247.146
jblgkrxn.www.xmu.com.    IN    A    150.214.253.178
amnlhvky.www.xmu.com.    IN    A    184.150.38.242
qpixuldm.www.xmu.com.    IN    A    139.119.252.1
xcabjvgq.www.xmu.com.    IN    A    196.17.182.220
emgtscxl.www.xmu.com.    IN    A    138.76.162.30
slnpakwm.www.xmu.com.    IN    A    15.110.252.200
hkjmsplg.www.xmu.com.    IN    A    250.137.158.134
mcdroven.www.xmu.com.    IN    A    127.195.7.56
lmkvdygn.www.xmu.com.    IN    A    131.184.174.52
dtwpignv.www.xmu.com.    IN    A    141.49.135.123
fjmqsewu.www.xmu.com.    IN    A    199.139.40.63
bosmatrc.www.xmu.com.    IN    A    171.213.207.69
yslfchda.www.xmu.com.    IN    A    160.141.163.68
qukobmic.www.xmu.com.    IN    A    136.20.91.103
qteaxryp.www.xmu.com.    IN    A    85.102.21.53
ipafwoyk.www.xmu.com.    IN    A    169.167.16.31
pxqwbatl.www.xmu.com.    IN    A    122.54.108.44
giqjswxb.www.xmu.com.    IN    A    197.29.4.127
rfladbuc.www.xmu.com.    IN    A    160.197.231.217
dnawxyfh.www.xmu.com.    IN    A    2.102.91.18
lnvwikfh.www.xmu.com.    IN    A    177.151.176.115
ebrmhnug.www.xmu.com.    IN    A    182.165.207.68
bacperyd.www.xmu.com.    IN    A    221.110.162.73
qcweitlx.www.xmu.com.    IN    A    227.120.96.180
ierhdvpk.www.xmu.com.    IN    A    68.202.123.237
ngfljhrb.www.xmu.com.    IN    A    52.140.49.51
qochknje.www.xmu.com.    IN    A    151.54.252.36
nldgwqyk.www.xmu.com.    IN    A    202.167.65.184
wmkyjrfu.www.xmu.com.    IN    A    81.164.10.64
kwxgtdar.www.xmu.com.    IN    A    25.33.205.197
qhnyjrcx.www.xmu.com.    IN    A    99.116.36.222
dirqmyug.www.xmu.com.    IN    A    248.87.168.58
clfxovsa.www.xmu.com.    IN    A    15.52.57.216
kaxhwljd.www.xmu.com.    IN    A    53.161.242.70
yaidbrpq.www.xmu.com.    IN    A    148.159.197.15
ckqmpdef.www.xmu.com.    IN    A    26.211.68.42
aqtvixgl.www.xmu.com.    IN    A    79.141.19.71
wsvbkrmf.www.xmu.com.    IN    A    94.44.68.42
chfrvdna.www.xmu.com.    IN    A    76.36.55.239
synjbfgv.www.xmu.com.    IN    A    59.70.186.90
tiymwrva.www.xmu.com.    IN    A    253.124.10.108
fkhbjace.www.xmu.com.    IN    A    10.13.20.241
rbyipuxw.www.xmu.com.    IN    A    83.122.66.238
wcdfqavh.www.xmu.com.    IN    A    101.118.211.74
dyafewbo.www.xmu.com.    IN    A    46.193.155.164
eclbwyds.www.xmu.com.    IN    A    112.148.158.212
wjcdspby.www.xmu.com.    IN    A    22.52.42.77
dlxhtqbp.www.xmu.com.    IN    A    49.34.29.67
equosvyi.www.xmu.com.    IN    A    5.241.172.201
patuixqf.www.xmu.com.    IN    A    86.184.31.123
rvauycis.www.xmu.com.    IN    A    46.171.188.59
nokecbtg.www.xmu.com.    IN    A    197.191.151.108
tpsgqrjw.www.xmu.com.    IN    A    68.121.90.102
lvqfjhxt.www.xmu.com.    IN    A    31.162.226.247
ogvnhmlj.www.xmu.com.    IN    A    29.229.222.229
sdimboxv.www.xmu.com.    IN    A    181.8.133.188
xrpwcuie.www.xmu.com.    IN    A    87.167.207.137
ywtmjxsl.www.xmu.com.    IN    A    110.156.120.141
bromjsei.www.xmu.com.    IN    A    249.42.123.20
uqsybdal.www.xmu.com.    IN    A    72.124.5.29
lucapqow.www.xmu.com.    IN    A    184.244.76.24
rvkwdngy.www.xmu.com.    IN    A    45.178.223.226
mdutpxhi.www.xmu.com.    IN    A    121.104.105.179
nshbmauk.www.xmu.com.    IN    A    92.6.40.126
bdsgxpcj.www.xmu.com.    IN    A    126.177.84.148
ilhcnbdo.www.xmu.com.    IN    A    162.106.69.223
ixaftoqp.www.xmu.com.    IN    A    68.157.61.185
lyciupvn.www.xmu.com.    IN    A    151.161.31.76
glrmvudt.www.xmu.com.    IN    A    202.54.150.7
krnuvmgs.www.xmu.com.    IN    A    76.33.204.182
fnqrcltk.www.xmu.com.    IN    A    91.156.103.215
xcquikpy.www.xmu.com.    IN    A    147.94.171.215
pdaucjqm.www.xmu.com.    IN    A    42.79.173.181
lgvsnohu.www.xmu.com.    IN    A    46.92.35.122
bgunwdcf.www.xmu.com.    IN    A    78.52.217.92
huysjbgw.www.xmu.com.    IN    A    15.107.59.12
tcvbypef.www.xmu.com.    IN    A    95.197.105.68
mfosbyji.www.xmu.com.    IN    A    166.204.105.14
mlerhnxw.www.xmu.com.    IN    A    84.179.120.112
dvjhnorb.www.xmu.com.    IN    A    138.238.28.34
osjuxmbw.www.xmu.com.    IN    A    184.149.225.211
cgtiuwsq.www.xmu.com.    IN    A    141.224.210.206
bgpenqvy.www.xmu.com.    IN    A    65.110.117.120
rtucfsln.www.xmu.com.    IN    A    216.169.172.127
mncogubf.www.xmu.com.    IN    A    126.149.171.31
okycrgmv.www.xmu.com.    IN    A    230.120.95.24
xqlhkpcf.www.xmu.com.    IN    A    93.95.196.35
doievsln.www.xmu.com.    IN    A    231.14.69.132
rixjvuwd.www.xmu.com.    IN    A    199.182.28.211
wkhqysoc.www.xmu.com.    IN    A    47.81.27.20
dfnvples.www.xmu.com.    IN    A    131.172.223.97
elkhgymn.www.xmu.com.    IN    A    119.64.251.158
yknluteb.www.xmu.com.    IN    A    9.38.114.153
aurslwkx.www.xmu.com.    IN    A    96.5.97.143
xoipmehq.www.xmu.com.    IN    A    220.244.25.157
uicxkatg.www.xmu.com.    IN    A    196.159.184.174
cgufhjmq.www.xmu.com.    IN    A    119.109.239.231
oscumiwj.www.xmu.com.    IN    A    137.218.180.176
aoygfpir.www.xmu.com.    IN    A    179.188.176.217
swmhcabx.www.xmu.com.    IN    A    206.103.21.216
nsqylrvo.www.xmu.com.    IN    A    163.57.42.255
wgjrpbnk.www.xmu.com.    IN    A    116.120.140.158
aegwjcmv.www.xmu.com.    IN    A    100.153.181.156
khalcysg.www.xmu.com.    IN    A    164.103.247.243
deaiubsr.www.xmu.com.    IN    A    124.241.98.60
tsiubvwx.www.xmu.com.    IN    A    195.241.60.4
jwmhdsae.www.xmu.com.    IN    A    137.54.4.254
ytavndwr.www.xmu.com.    IN    A    87.251.110.30
ugihacod.www.xmu.com.    IN    A    18.143.228.143
uwvtlbxs.www.xmu.com.    IN    A    238.13.162.84
oymfgxdq.www.xmu.com.    IN    A    45.30.32.87
xdiclbpo.www.xmu.com.    IN    A    177.19.204.34
radsblin.www.xmu.com.    IN    A    54.41.6.92
cvsykmrq.www.xmu.com.    IN    A    22.208.253.97
aiprjlcw.www.xmu.com.    IN    A    194.124.25.125
wjslkqdc.www.xmu.com.    IN    A    87.135.2.68
cgnlaepv.www.xmu.com.    IN    A    201.163.108.200
femibnwx.www.xmu.com.    IN    A    134.191.255.230
ofgandjm.www.xmu.com.    IN    A    80.53.77.2
yrvpmtqx.www.xmu.com.    IN    A    252.131.180.2
qvdabujg.www.xmu.com.    IN    A    105.94.29.63
hieryavg.www.xmu.com.    IN    A    26.5.169.155
rgcnvjqo.www.xmu.com.    IN    A    98.87.69.189
lrvqhnua.www.xmu.com.    IN    A    118.226.213.224
dbkurwph.www.xmu.com.    IN    A    108.151.180.95
cdkiqpnr.www.xmu.com.    IN    A    244.145.86.197
siekuqam.www.xmu.com.    IN    A    246.0.6.194
lqeafxwm.www.xmu.com.    IN    A    109.67.196.106
xqwstinv.www.xmu.com.    IN    A    89.80.73.185
recmihqt.www.xmu.com.    IN    A    73.36.198.194
vfqkpxeu.www.xmu.com.    IN    A    225.54.240.148
aqogbmpv.www.xmu.com.    IN    A    132.234.76.20
pfnltjag.www.xmu.com.    IN    A    179.207.47.4
qhdbcekn.www.xmu.com.    IN    A    161.193.26.123
bkvicmwr.www.xmu.com.    IN    A    24.10.2.204
fujtxrgd.www.xmu.com.    IN    A    243.32.90.47
ejntqral.www.xmu.com.    IN    A    50.86.254.252
uhycasxd.www.xmu.com.    IN    A    211.167.221.130
mdqxjhwe.www.xmu.com.    IN    A    140.222.32.20
mrwbdpfa.www.xmu.com.    IN    A    213.0.73.11
qrfcigym.www.xmu.com.    IN    A    37.122.227.172
ywkogqtn.www.xmu.com.    IN    A    9.144.199.251
qaxgscjw.www.xmu.com.    IN    A    247.68.58.33
eodpfblv.www.xmu.com.    IN    A    138.209.210.61
toyaeuvd.www.xmu.com.    IN    A    103.201.194.105
shjryqct.www.xmu.com.    IN    A    242.250.153.69
vieudfha.www.xmu.com.    IN    A    78.120.9.132
ibemyvuf.www.xmu.com.    IN    A    178.20.3.126
wjupdory.www.xmu.com.    IN    A    67.157.51.231
pxalkevu.www.xmu.com.    IN    A    10.141.126.57
oicpnyka.www.xmu.com.    IN    A    14.20.129.175
nfojmqtw.www.xmu.com.    IN    A    114.151.221.11
dyaqnscx.www.xmu.com.    IN    A    105.112.192.13
juhvaekq.www.xmu.com.    IN    A    114.119.143.215
eyqbrmda.www.xmu.com.    IN    A    14.148.114.57
hgiqnlve.www.xmu.com.    IN    A    245.138.55.80
uqwfxscd.www.xmu.com.    IN    A    141.248.126.87
lgxchuyi.www.xmu.com.    IN    A    247.37.157.132
ucwvdmqg.www.xmu.com.    IN    A    85.27.157.246
andfbkmo.www.xmu.com.    IN    A    70.12.150.101
cahgvixw.www.xmu.com.    IN    A    162.105.109.136
gypvqhja.www.xmu.com.    IN    A    149.218.7.166
ipxutlqa.www.xmu.com.    IN    A    165.71.143.234
aumjbthv.www.xmu.com.    IN    A    172.73.103.209
lwbjqmav.www.xmu.com.    IN    A    99.198.250.44
cfugbirj.www.xmu.com.    IN    A    29.205.190.161
efdtxjbq.www.xmu.com.    IN    A    183.121.91.114
pqxroamg.www.xmu.com.    IN    A    203.79.164.137
dcwjoaim.www.xmu.com.    IN    A    143.149.130.129
oxvkyqtg.www.xmu.com.    IN    A    114.199.157.37
tpemxhnk.www.xmu.com.    IN    A    36.151.145.69
xrcunpfo.www.xmu.com.    IN    A    40.20.219.16
tgkiempd.www.xmu.com.    IN    A    34.249.237.37
uiwtrbhg.www.xmu.com.    IN    A    197.204.209.12
lyeavqcn.www.xmu.com.    IN    A    6.6.132.19
biwlcgqa.www.xmu.com.    IN    A    156.109.209.43
perhaybu.www.xmu.com.    IN    A    59.186.66.175
lwynmcjt.www.xmu.com.    IN    A    98.207.58.142
uvcegphb.www.xmu.com.    IN    A    107.225.80.240
nrbimujc.www.xmu.com.    IN    A    17.230.226.51
mitswnpv.www.xmu.com.    IN    A    126.227.73.249
tjuhrelo.www.xmu.com.    IN    A    97.89.239.103
plnsavft.www.xmu.com.    IN    A    47.137.16.96
csltxpua.www.xmu.com.    IN    A    244.194.197.184
bdfjvkpx.www.xmu.com.    IN    A    168.167.65.226
mofqndjp.www.xmu.com.    IN    A    70.235.16.217
thbxqwcu.www.xmu.com.    IN    A    64.13.245.201
wlfykbhj.www.xmu.com.    IN    A    245.9.99.24
sngmfdov.www.xmu.com.    IN    A    126.93.8.157
rcejlobn.www.xmu.com.    IN    A    246.27.4.228
hlvoeagw.www.xmu.com.    IN    A    150.10.126.251
qgneouwb.www.xmu.com.    IN    A    30.230.174.17
eucvxwsn.www.xmu.com.    IN    A    140.86.190.71
neaqbout.www.xmu.com.    IN    A    54.103.247.83
thwvoelr.www.xmu.com.    IN    A    223.119.160.182
smfvipyq.www.xmu.com.    IN    A    215.60.223.166
senuofvm.www.xmu.com.    IN    A    221.200.41.42
gqljunti.www.xmu.com.    IN    A    112.8.254.87
thvdjgms.www.xmu.com.    IN    A    229.13.90.165
rpxfkvyg.www.xmu.com.    IN    A    239.78.17.39
auxqpfrb.www.xmu.com.    IN    A    118.14.200.45
gbofwxnr.www.xmu.com.    IN    A    219.199.48.169
wuecispq.www.xmu.com.    IN    A    75.201.7.135
gmwivtae.www.xmu.com.    IN    A    112.150.57.119
abmijsen.www.xmu.com.    IN    A    204.113.143.91
xosnajpd.www.xmu.com.    IN    A    200.92.33.86
ovltpbis.www.xmu.com.    IN    A    13.187.37.117
cueprmkq.www.xmu.com.    IN    A    203.225.3.188
khpfntsi.www.xmu.com.    IN    A    29.67.226.33
gisatqeo.www.xmu.com.    IN    A    141.12.173.100
figmlecn.www.xmu.com.    IN    A    177.176.160.177
ursindtb.www.xmu.com.    IN    A    39.170.22.82
bsajrvof.www.xmu.com.    IN    A    84.1.52.36
uyenhmbq.www.xmu.com.    IN    A    46.141.98.39
xubwjiyq.www.xmu.com.    IN    A    108.246.126.245
gdtoaqce.www.xmu.com.    IN    A    95.81.38.221
dowlbmug.www.xmu.com.    IN    A    99.83.35.105
fsawerpb.www.xmu.com.    IN    A    106.223.156.83
urloecxf.www.xmu.com.    IN    A    115.27.79.141
yptixwma.www.xmu.com.    IN    A    128.149.237.69
wdcpbejf.www.xmu.com.    IN    A    48.47.175.142
hsrjldyp.www.xmu.com.    IN    A    161.154.223.205
bqxempfy.www.xmu.com.    IN    A    110.99.91.69
lybktuhg.www.xmu.com.    IN    A    44.126.1.75
xjyelahn.www.xmu.com.    IN    A    48.179.40.230
umdaevwj.www.xmu.com.    IN    A    173.5.46.55
todejhka.www.xmu.com.    IN    A    207.158.63.133
hljdnqfr.www.xmu.com.    IN    A    181.86.236.0
oubvjdrn.www.xmu.com.    IN    A    121.234.62.141
epwodjch.www.xmu.com.    IN    A    224.2.206.98
pawixost.www.xmu.com.    IN    A    117.104.225.8
cjhprkdq.www.xmu.com.    IN    A    89.135.92.139
vcejrikx.www.xmu.com.    IN    A    1.62.65.215
uhjtpins.www.xmu.com.    IN    A    93.245.221.247
ohibwvup.www.xmu.com.    IN    A    91.108.41.18
dgfxswoq.www.xmu.com.    IN    A    145.217.31.26
cxoqrvgs.www.xmu.com.    IN    A    72.81.59.11
yoftmjca.www.xmu.com.    IN    A    20.1.228.121
vmleckxt.www.xmu.com.    IN    A    2.104.203.54
xuimlnto.www.xmu.com.    IN    A    45.65.121.189
mqrdisfh.www.xmu.com.    IN    A    21.229.221.232
aftwelmd.www.xmu.com.    IN    A    137.74.47.33
jmouyaqh.www.xmu.com.    IN    A    198.87.19.76
tuvoxhdi.www.xmu.com.    IN    A    245.104.196.115
rgsutomn.www.xmu.com.    IN    A    69.74.18.61
yosmdcxr.www.xmu.com.    IN    A    109.244.46.104
kgerljwm.www.xmu.com.    IN    A    119.75.77.212
lcgpmsox.www.xmu.com.    IN    A    56.101.24.204
tdnobqjc.www.xmu.com.    IN    A    56.10.65.181
wiuyehtc.www.xmu.com.    IN    A    83.143.166.173
tsfmidqa.www.xmu.com.    IN    A    24.28.73.200
wkcvonxl.www.xmu.com.    IN    A    252.88.48.130
uvnemjaw.www.xmu.com.    IN    A    60.63.112.72
mxdeukwj.www.xmu.com.    IN    A    46.100.43.9
vdwmlfhn.www.xmu.com.    IN    A    127.48.91.154
epgjymha.www.xmu.com.    IN    A    181.105.255.74
njyglqpe.www.xmu.com.    IN    A    222.232.245.190
thxgoqvm.www.xmu.com.    IN    A    236.9.197.81
uemxfgkv.www.xmu.com.    IN    A    61.19.146.159
rdshokla.www.xmu.com.    IN    A    95.45.218.150
kqyduhmj.www.xmu.com.    IN    A    197.78.37.220
isgmyqwh.www.xmu.com.    IN    A    2.56.187.203
bcnfgvsw.www.xmu.com.    IN    A    92.157.125.251
bakcifde.www.xmu.com.    IN    A    65.182.155.114
hdlsgnfv.www.xmu.com.    IN    A    117.50.29.3
