; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR tju.com. @ns2.tju.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.tju.com. james.tju.edu. 19122302 14400 3600 2419200 14400
tju.com.			      14400 IN NS	ns1.tju.com.
ns1.tju.com.			      14400 IN A	10.166.21.13

www.tju.com.		      14400 IN NS	ns1.www.tju.com.
ns1.www.tju.com.		      14400 IN A		10.166.21.14

science.tju.com.		      14400 IN NS	ns1.science.tju.com.
ns1.science.tju.com.		      14400 IN A		10.166.21.15

arch.tju.com.		      14400 IN NS	ns1.arch.tju.com.
ns1.arch.tju.com.		      14400 IN A		10.166.21.12

tju.com.			      14400 IN MX	10 archtp.tju.edu.
tju.com.			      14400 IN TXT	"v=spf1 a mx ~all"
qcvfusgr.tju.com.        IN    A    131.91.93.169
bdfxqtmw.tju.com.        IN    A    70.57.7.163
rnbfupji.tju.com.        IN    A    81.246.186.22
jqskxlrf.tju.com.        IN    A    232.251.90.245
gjnamkxy.tju.com.        IN    A    127.65.133.76
hovmdfkr.tju.com.        IN    A    23.232.117.89
cpudfyvs.tju.com.        IN    A    154.204.231.89
bpyhnlig.tju.com.        IN    A    196.51.110.156
wlgiudmv.tju.com.        IN    A    117.121.117.193
lpodqxvc.tju.com.        IN    A    195.35.134.242
fgyxrkem.tju.com.        IN    A    136.105.231.80
ryfghoap.tju.com.        IN    A    230.206.191.232
hmixltqd.tju.com.        IN    A    210.39.248.238
henqfvrx.tju.com.        IN    A    164.24.113.125
auyflwhi.tju.com.        IN    A    97.2.251.178
ivtrxhac.tju.com.        IN    A    114.112.201.183
oluriwfe.tju.com.        IN    A    182.20.76.76
fytmldge.tju.com.        IN    A    100.91.221.166
vcgywdlo.tju.com.        IN    A    204.147.189.34
kvqolsmg.tju.com.        IN    A    20.139.139.234
qsfhecut.tju.com.        IN    A    134.142.231.108
dscqrkpa.tju.com.        IN    A    187.233.206.99
rcnlyhsp.tju.com.        IN    A    159.214.219.40
emwnclsr.tju.com.        IN    A    61.185.63.90
xbjtfasm.tju.com.        IN    A    15.188.205.246
xblwihmj.tju.com.        IN    A    47.202.210.209
ykgraelc.tju.com.        IN    A    215.121.4.69
mjdiohua.tju.com.        IN    A    183.184.169.110
igadxbnt.tju.com.        IN    A    4.126.48.51
qyvbstgj.tju.com.        IN    A    33.233.182.7
brkmjyls.tju.com.        IN    A    248.250.152.187
vculaqph.tju.com.        IN    A    225.54.215.240
rsjncyao.tju.com.        IN    A    99.87.9.246
hlvycnud.tju.com.        IN    A    243.187.50.108
hkvbmyla.tju.com.        IN    A    239.238.203.16
glmrobqe.tju.com.        IN    A    196.149.14.146
ihgbxpet.tju.com.        IN    A    3.199.78.123
gpwqumfl.tju.com.        IN    A    193.58.240.49
qfohyrij.tju.com.        IN    A    168.177.251.135
xvudlmty.tju.com.        IN    A    69.25.61.91
tovujbhs.tju.com.        IN    A    70.167.131.236
jxcqetyn.tju.com.        IN    A    231.61.109.133
qsofakjp.tju.com.        IN    A    199.219.49.90
mvkgnyau.tju.com.        IN    A    73.6.221.61
fkpsxgha.tju.com.        IN    A    143.123.25.144
cqlewvjt.tju.com.        IN    A    140.217.50.186
pgqyjvkx.tju.com.        IN    A    192.141.165.95
kueynipl.tju.com.        IN    A    195.101.163.86
drejvnfb.tju.com.        IN    A    142.46.158.181
amhrcvds.tju.com.        IN    A    43.160.218.24
couhlkeq.tju.com.        IN    A    69.108.180.230
sqpiemth.tju.com.        IN    A    173.166.197.36
bfxugkhi.tju.com.        IN    A    192.153.129.180
tiyebdjg.tju.com.        IN    A    148.75.209.28
fqxsrojy.tju.com.        IN    A    118.241.131.60
xnuaykwr.tju.com.        IN    A    11.93.10.10
edthraxm.tju.com.        IN    A    112.3.227.225
ryawgusi.tju.com.        IN    A    3.88.62.239
jcbtwrhx.tju.com.        IN    A    169.226.206.1
vmoiysjd.tju.com.        IN    A    249.53.126.231
jqekibyv.tju.com.        IN    A    29.245.80.32
cygdrhxj.tju.com.        IN    A    145.198.148.104
qcnahpjv.tju.com.        IN    A    39.227.24.22
xmrdgwjt.tju.com.        IN    A    238.205.207.244
ocbftkeq.tju.com.        IN    A    129.231.98.151
htnujrox.tju.com.        IN    A    17.205.13.156
wxrtjknf.tju.com.        IN    A    61.187.147.212
usmgnpib.tju.com.        IN    A    6.76.177.196
ycnbsvpd.tju.com.        IN    A    124.161.92.202
rhieudtf.tju.com.        IN    A    170.255.205.160
cluviqwj.tju.com.        IN    A    192.190.31.13
wvunmqfc.tju.com.        IN    A    77.213.131.174
tjnfhmcw.tju.com.        IN    A    192.62.248.104
diemqyor.tju.com.        IN    A    148.177.119.94
otjulfdw.tju.com.        IN    A    107.195.184.82
hqtnbklo.tju.com.        IN    A    162.36.75.255
toimjyqn.tju.com.        IN    A    107.120.133.126
klonrvbc.tju.com.        IN    A    176.135.39.74
gaflxbuy.tju.com.        IN    A    156.230.34.187
uphcbgtr.tju.com.        IN    A    148.211.6.119
wfdvoitl.tju.com.        IN    A    246.224.175.30
btpurjsf.tju.com.        IN    A    213.113.132.208
lwvuydcf.tju.com.        IN    A    223.188.99.66
yqfcbwhx.tju.com.        IN    A    100.68.228.225
ucyhdixf.tju.com.        IN    A    79.234.46.114
xrsjutol.tju.com.        IN    A    23.103.7.156
ackqngeu.tju.com.        IN    A    205.33.254.77
pteinybf.tju.com.        IN    A    101.10.39.29
ajdrxqof.tju.com.        IN    A    39.235.83.177
bxerdkcf.tju.com.        IN    A    176.81.46.10
yrwdgehv.tju.com.        IN    A    227.83.226.120
ycfplshi.tju.com.        IN    A    59.219.4.117
dhmqnwji.tju.com.        IN    A    228.186.164.95
ligorkdh.tju.com.        IN    A    6.201.4.121
apheyxbm.tju.com.        IN    A    47.93.242.184
mqctjfhe.tju.com.        IN    A    74.246.184.12
enoxbqju.tju.com.        IN    A    71.236.70.64
anwrqliv.tju.com.        IN    A    105.215.250.252
seojwmph.tju.com.        IN    A    248.106.119.17
utmnolbh.tju.com.        IN    A    149.222.53.132
oifndvxt.tju.com.        IN    A    156.5.134.74
lpvkmjhe.tju.com.        IN    A    36.204.183.20
dpxqkcbm.tju.com.        IN    A    98.126.6.159
ewxmyvnd.tju.com.        IN    A    177.231.61.47
digfesnp.tju.com.        IN    A    174.171.235.76
uhksrdem.tju.com.        IN    A    169.230.218.55
ipagdtbe.tju.com.        IN    A    195.157.45.236
dkfxvlhb.tju.com.        IN    A    252.9.39.165
lnkoreiw.tju.com.        IN    A    153.242.144.114
aqugesjd.tju.com.        IN    A    56.230.31.229
ojrgmvde.tju.com.        IN    A    76.168.103.44
eqnchwul.tju.com.        IN    A    234.58.244.239
fvhpstad.tju.com.        IN    A    126.156.34.45
inujykwg.tju.com.        IN    A    148.188.58.236
odqlkvge.tju.com.        IN    A    216.79.175.95
hldpxyfo.tju.com.        IN    A    50.95.138.171
wtrhcvgd.tju.com.        IN    A    187.18.38.94
mxeygidt.tju.com.        IN    A    248.244.172.144
fskrjngw.tju.com.        IN    A    200.201.204.232
tosnjgip.tju.com.        IN    A    246.215.185.85
snpeokat.tju.com.        IN    A    222.174.104.186
bpafyxls.tju.com.        IN    A    250.196.97.212
topufbms.tju.com.        IN    A    91.171.243.5
lmdkanjf.tju.com.        IN    A    42.187.1.245
gmkaftun.tju.com.        IN    A    225.85.54.190
miorjpfx.tju.com.        IN    A    104.0.65.56
tmrjpcvx.tju.com.        IN    A    211.191.101.167
thywrvid.tju.com.        IN    A    52.96.165.207
qmvndagl.tju.com.        IN    A    226.249.71.64
xpmgqecu.tju.com.        IN    A    88.120.123.247
htqwjceg.tju.com.        IN    A    181.116.85.207
hpkuovrq.tju.com.        IN    A    161.137.23.250
fiasojve.tju.com.        IN    A    14.176.189.72
jgavkhit.tju.com.        IN    A    118.163.78.92
vhuefonm.tju.com.        IN    A    41.171.167.190
ftljagyv.tju.com.        IN    A    179.27.75.146
kareqnhv.tju.com.        IN    A    248.254.115.33
hoebsadf.tju.com.        IN    A    152.62.96.223
wovfabdy.tju.com.        IN    A    186.38.145.164
xjomaibs.tju.com.        IN    A    54.92.101.158
yqxkasnj.tju.com.        IN    A    13.68.8.117
hrbpfxyt.tju.com.        IN    A    121.248.27.51
tndhucia.tju.com.        IN    A    79.207.160.53
mytviorn.tju.com.        IN    A    240.179.21.116
xfkuhpqw.tju.com.        IN    A    194.57.51.147
jmutadgy.tju.com.        IN    A    215.74.195.219
tljvkdro.tju.com.        IN    A    253.13.16.48
orwtycfa.tju.com.        IN    A    157.7.154.206
jylotivb.tju.com.        IN    A    147.202.55.30
rxbtyqju.tju.com.        IN    A    66.219.89.205
hlmcjkob.tju.com.        IN    A    50.126.172.44
mylodurb.tju.com.        IN    A    238.255.140.250
iuqhgrcv.tju.com.        IN    A    153.214.181.45
mxtygrdi.tju.com.        IN    A    26.219.54.189
udrptgsy.tju.com.        IN    A    252.184.76.129
kilqboud.tju.com.        IN    A    56.107.255.220
gostinlj.tju.com.        IN    A    21.82.205.43
yxduneql.tju.com.        IN    A    245.151.52.141
gycwqmiv.tju.com.        IN    A    252.117.15.1
govwbkem.tju.com.        IN    A    22.140.218.23
vlyosfun.tju.com.        IN    A    208.39.230.56
yoafrvhx.tju.com.        IN    A    138.144.158.162
ehufwxbi.tju.com.        IN    A    140.58.183.28
xnqvlupb.tju.com.        IN    A    108.237.218.110
tbycahpr.tju.com.        IN    A    188.35.23.14
oleasmqr.tju.com.        IN    A    118.132.8.84
fwhlmbtc.tju.com.        IN    A    164.202.135.186
ownquypj.tju.com.        IN    A    166.249.68.33
ivkjslab.tju.com.        IN    A    69.172.243.52
sftqowlg.tju.com.        IN    A    108.77.38.140
fqylahuc.tju.com.        IN    A    32.52.141.49
eokaguyw.tju.com.        IN    A    242.198.54.184
jvlgrhnc.tju.com.        IN    A    103.89.135.121
pimsybwj.tju.com.        IN    A    23.182.120.158
odvjtygs.tju.com.        IN    A    96.172.184.23
riycwked.tju.com.        IN    A    122.48.2.167
lgqrceyf.tju.com.        IN    A    192.49.2.24
apejltyc.tju.com.        IN    A    84.255.71.193
moapnguy.tju.com.        IN    A    63.213.76.64
cbotkjdu.tju.com.        IN    A    11.213.159.203
rchwulyx.tju.com.        IN    A    179.42.73.222
sfhaclxm.tju.com.        IN    A    156.139.103.175
loghkxbf.tju.com.        IN    A    240.215.139.90
ockvywmq.tju.com.        IN    A    8.68.95.57
vqwhgamr.tju.com.        IN    A    253.215.124.196
jwhcqskr.tju.com.        IN    A    137.203.210.13
nfieokqy.tju.com.        IN    A    254.70.20.167
evcowrhp.tju.com.        IN    A    91.134.86.242
enotskxi.tju.com.        IN    A    139.40.23.190
nkrfdlyx.tju.com.        IN    A    23.73.251.15
tpmwbghr.tju.com.        IN    A    203.214.225.64
wpuvcsfo.tju.com.        IN    A    67.64.36.223
dngayfko.tju.com.        IN    A    2.153.56.73
frbtmnuk.tju.com.        IN    A    116.229.150.24
uvmrnqkx.tju.com.        IN    A    37.200.68.189
ufdcbhmj.tju.com.        IN    A    188.106.103.246
naklfwgh.tju.com.        IN    A    167.237.134.27
okduetbl.tju.com.        IN    A    148.200.225.65
dbhalstg.tju.com.        IN    A    229.235.21.51
xywrshln.tju.com.        IN    A    107.126.86.167
cljhefbr.tju.com.        IN    A    158.11.100.251
cbipmuvx.tju.com.        IN    A    160.221.196.171
roksxbde.tju.com.        IN    A    116.51.172.169
jwahlcep.tju.com.        IN    A    67.130.108.105
ayjmvgbk.tju.com.        IN    A    44.207.102.39
jubkvysp.tju.com.        IN    A    220.43.157.249
wtlxmbnr.tju.com.        IN    A    84.252.40.34
tmelfaqw.tju.com.        IN    A    32.24.47.121
bgfdyxjo.tju.com.        IN    A    61.118.6.144
jtxhlifn.tju.com.        IN    A    139.180.80.200
vlnwxdji.tju.com.        IN    A    105.20.107.241
beocpfgm.tju.com.        IN    A    238.41.195.23
ftqrwhua.tju.com.        IN    A    238.199.10.88
xngmbrup.tju.com.        IN    A    122.79.147.158
oxkisvmj.tju.com.        IN    A    166.158.105.175
bqyiaplr.tju.com.        IN    A    49.171.17.238
dehsfbyq.tju.com.        IN    A    97.192.233.24
ysmfqbgc.tju.com.        IN    A    42.13.75.239
stnmkcjq.tju.com.        IN    A    171.2.39.116
lboemfry.tju.com.        IN    A    50.228.106.36
tbqlxeso.tju.com.        IN    A    48.140.65.150
hpbmcjex.tju.com.        IN    A    47.66.25.61
uojkqmva.tju.com.        IN    A    168.174.143.242
ynhksmqr.tju.com.        IN    A    59.189.221.80
jbaorfdx.tju.com.        IN    A    181.24.133.104
oeibhtwa.tju.com.        IN    A    193.144.80.218
rnwjlgtf.tju.com.        IN    A    122.73.190.62
hwsimpgb.tju.com.        IN    A    95.251.197.98
tuwrdmgf.tju.com.        IN    A    182.140.115.98
arflpqck.tju.com.        IN    A    197.252.92.174
fxormglp.tju.com.        IN    A    136.75.157.74
tojpchag.tju.com.        IN    A    181.78.70.177
jfoqmabv.tju.com.        IN    A    81.27.153.195
wntusfcg.tju.com.        IN    A    234.121.77.4
grmxtnov.tju.com.        IN    A    160.0.194.191
xvjgdyqn.tju.com.        IN    A    123.80.196.123
mjqvwkrh.tju.com.        IN    A    107.56.23.153
etofgwhx.tju.com.        IN    A    238.74.128.62
klvugnop.tju.com.        IN    A    158.221.237.229
swlhkauq.tju.com.        IN    A    180.185.70.62
bgcumdql.tju.com.        IN    A    207.33.109.172
gfediasm.tju.com.        IN    A    160.72.253.60
ahpqekrj.tju.com.        IN    A    218.149.57.227
gafdvtcs.tju.com.        IN    A    106.76.178.34
bvfcwimy.tju.com.        IN    A    150.1.231.156
qnydhobr.tju.com.        IN    A    40.56.133.88
vtgmwiax.tju.com.        IN    A    125.127.118.30
pcdbjqks.tju.com.        IN    A    9.81.208.10
lqadioyt.tju.com.        IN    A    136.100.208.84
fiockqjr.tju.com.        IN    A    27.58.58.242
vpieokyx.tju.com.        IN    A    245.64.143.52
laqmhbsc.tju.com.        IN    A    17.147.191.8
agviukql.tju.com.        IN    A    204.108.198.52
qgrnjoce.tju.com.        IN    A    180.43.40.191
bxmqetci.tju.com.        IN    A    226.153.86.12
kmefqdpc.tju.com.        IN    A    252.166.39.124
gljnfrwd.tju.com.        IN    A    230.20.94.49
iwdhjguo.tju.com.        IN    A    195.197.28.44
fnpxlwua.tju.com.        IN    A    175.143.238.240
yqrghejc.tju.com.        IN    A    55.2.138.136
mofuegcl.tju.com.        IN    A    5.218.204.122
gyjuhtlw.tju.com.        IN    A    139.27.184.108
sokxibjy.tju.com.        IN    A    109.197.245.202
dsrckfhx.tju.com.        IN    A    33.10.224.214
iyvwlnfb.tju.com.        IN    A    235.90.151.97
posdaibw.tju.com.        IN    A    158.65.199.34
bqucdljw.tju.com.        IN    A    219.33.61.141
bkfsdyri.tju.com.        IN    A    114.66.53.185
iumnqhyt.tju.com.        IN    A    92.41.221.143
nblukjyo.tju.com.        IN    A    251.201.69.253
dhrxpcma.tju.com.        IN    A    253.119.3.10
tigkenra.tju.com.        IN    A    226.200.2.84
rqewiscu.tju.com.        IN    A    176.74.193.191
pqvdasrx.tju.com.        IN    A    96.99.223.67
cefiuvnr.tju.com.        IN    A    34.117.48.94
guiqboxp.tju.com.        IN    A    249.181.12.239
bpstinyq.tju.com.        IN    A    249.248.19.153
baojsmct.tju.com.        IN    A    95.215.127.253
yhmwuvoq.tju.com.        IN    A    129.47.71.61
lwmjockf.tju.com.        IN    A    60.15.175.188
opvuisqe.tju.com.        IN    A    39.135.249.138
sirqmpga.tju.com.        IN    A    11.7.103.231
leaqjyxk.tju.com.        IN    A    144.238.65.4
gkaemyio.tju.com.        IN    A    66.49.129.10
putnlqbj.tju.com.        IN    A    226.220.219.7
lvjknaou.tju.com.        IN    A    187.129.15.75
pfcdqygs.tju.com.        IN    A    206.225.179.103
ntohabpq.tju.com.        IN    A    163.77.72.21
faclibkd.tju.com.        IN    A    132.78.9.30
xviqmnuh.tju.com.        IN    A    70.16.93.34
xpmhwjob.tju.com.        IN    A    174.103.218.10
gjmeqxlr.tju.com.        IN    A    95.89.194.48
lmercqbs.tju.com.        IN    A    140.50.109.74
tjclkyqp.tju.com.        IN    A    240.34.188.139
wliysuxp.tju.com.        IN    A    236.223.129.194
hmykvrod.tju.com.        IN    A    193.127.116.155
qtiwkuvh.tju.com.        IN    A    255.8.196.34
lpeowcxr.tju.com.        IN    A    86.176.154.207
srqpyubv.tju.com.        IN    A    89.206.163.226
oiensvjm.tju.com.        IN    A    235.21.58.139
numejqrf.tju.com.        IN    A    187.32.6.4
knusbwmr.tju.com.        IN    A    137.229.181.167
pdcswaqv.tju.com.        IN    A    129.118.3.192
qpnujxgv.tju.com.        IN    A    243.105.186.76
qovyglsk.tju.com.        IN    A    45.82.169.51
jnfrmbwe.tju.com.        IN    A    39.111.131.181
gtvyplfj.tju.com.        IN    A    253.76.166.48
yjwxfutn.tju.com.        IN    A    83.82.121.126
cfntuxbm.tju.com.        IN    A    150.143.145.61
wgftehou.tju.com.        IN    A    93.58.6.80
afnckdqe.tju.com.        IN    A    206.209.168.131
jnubixdh.tju.com.        IN    A    15.250.183.141
ylmcvefb.tju.com.        IN    A    225.32.71.121
scdetioa.tju.com.        IN    A    126.239.193.31
icdnkbut.tju.com.        IN    A    250.146.25.109
bmokdlex.tju.com.        IN    A    252.172.174.139
lcnkjqgh.tju.com.        IN    A    236.186.141.70
cpblasvj.tju.com.        IN    A    26.155.191.155
mqupdkri.tju.com.        IN    A    131.117.57.18
escrbowv.tju.com.        IN    A    108.100.92.235
dvnqxthi.tju.com.        IN    A    206.10.0.110
pxcgwnum.tju.com.        IN    A    142.32.253.111
omfacxit.tju.com.        IN    A    219.44.61.40
jvewuxrl.tju.com.        IN    A    237.178.129.242
ufiqxngk.tju.com.        IN    A    97.92.108.48
ucshatdg.tju.com.        IN    A    116.155.208.91
rdigqpsw.tju.com.        IN    A    115.8.29.186
txyewpsn.tju.com.        IN    A    58.217.139.115
qdvkwpol.tju.com.        IN    A    84.68.117.102
gvrboeyp.tju.com.        IN    A    110.133.227.65
jwrlfpmn.tju.com.        IN    A    200.58.216.224
kscfnlor.tju.com.        IN    A    249.55.223.204
vefgldan.tju.com.        IN    A    169.81.71.223
olvujnhx.tju.com.        IN    A    133.46.137.17
kltqnieo.tju.com.        IN    A    199.183.220.250
fponyhmb.tju.com.        IN    A    219.254.47.34
tgdjkvpc.tju.com.        IN    A    18.185.174.169
jvcgrbeo.tju.com.        IN    A    18.43.226.230
bcujpkat.tju.com.        IN    A    165.17.193.117
agywqjkh.tju.com.        IN    A    246.176.31.250
aejpxuhv.tju.com.        IN    A    236.216.232.94
piqfskhu.tju.com.        IN    A    32.199.152.94
wbdvyplg.tju.com.        IN    A    45.84.247.140
txcpdvyw.tju.com.        IN    A    54.171.62.126
egmtjfdp.tju.com.        IN    A    98.18.54.128
ucjytfdo.tju.com.        IN    A    249.92.107.123
kwgouelt.tju.com.        IN    A    26.32.117.180
mwnreogl.tju.com.        IN    A    227.139.11.64
fsohdyvn.tju.com.        IN    A    183.77.105.64
keliugch.tju.com.        IN    A    126.205.182.110
ietwuvfp.tju.com.        IN    A    125.171.241.18
upksiaqv.tju.com.        IN    A    176.107.76.224
ogkqydnh.tju.com.        IN    A    111.99.3.122
fseknblp.tju.com.        IN    A    153.187.249.176
gdyvmfkq.tju.com.        IN    A    173.77.51.35
oqmnkwfu.tju.com.        IN    A    98.204.32.183
useavdhi.tju.com.        IN    A    224.51.184.244
wtxlpegy.tju.com.        IN    A    239.214.137.139
kvrlwmfx.tju.com.        IN    A    185.65.241.47
orbvmaid.tju.com.        IN    A    172.119.79.159
opshukvq.tju.com.        IN    A    85.19.208.54
hwxqarvp.tju.com.        IN    A    16.18.162.31
hmfprcxs.tju.com.        IN    A    105.240.112.157
iwybnufl.tju.com.        IN    A    124.38.46.104
tfrcdbwe.tju.com.        IN    A    72.47.188.218
ebwuocna.tju.com.        IN    A    2.63.36.9
gxsemquy.tju.com.        IN    A    245.28.84.190
mjuldigv.tju.com.        IN    A    35.255.81.178
uojslfnd.tju.com.        IN    A    213.72.235.154
mgosyaqj.tju.com.        IN    A    52.208.51.169
pulkyhqe.tju.com.        IN    A    194.84.20.228
hdqyresu.tju.com.        IN    A    182.56.70.34
oflmwtar.tju.com.        IN    A    73.107.158.109
kmwdejly.tju.com.        IN    A    47.216.173.109
otvqrfgj.tju.com.        IN    A    83.53.67.77
khtrvecq.tju.com.        IN    A    176.162.180.149
eknomqhl.tju.com.        IN    A    204.6.62.5
knwfvmpc.tju.com.        IN    A    197.164.27.31
xypkhtbf.tju.com.        IN    A    202.21.130.217
agdvfmec.tju.com.        IN    A    159.81.79.69
tvjfnich.tju.com.        IN    A    93.35.193.67
qxhipdrj.tju.com.        IN    A    155.163.199.101
kwcxdftm.tju.com.        IN    A    81.98.171.182
qntcjxya.tju.com.        IN    A    161.10.206.103
qevsitpj.tju.com.        IN    A    116.118.167.16
vpnaxmks.tju.com.        IN    A    196.183.112.79
rdnchjxe.tju.com.        IN    A    212.195.216.163
imbtkgxv.tju.com.        IN    A    243.148.130.251
vqkrnasj.tju.com.        IN    A    230.11.230.234
sdglenqp.tju.com.        IN    A    113.152.190.203
xmkowlbd.tju.com.        IN    A    226.180.60.155
nufktqop.tju.com.        IN    A    98.215.148.229
iewgrmcf.tju.com.        IN    A    219.86.62.76
oesgaqdk.tju.com.        IN    A    44.91.213.203
vrakbixt.tju.com.        IN    A    36.145.143.152
yfpnqbmi.tju.com.        IN    A    149.41.239.246
dyseohku.tju.com.        IN    A    223.152.253.110
ckbfypvo.tju.com.        IN    A    38.237.118.159
ltxaisfo.tju.com.        IN    A    34.141.243.73
sdjrkpob.tju.com.        IN    A    108.34.200.251
rokpeudv.tju.com.        IN    A    242.232.217.185
bahkmntw.tju.com.        IN    A    65.128.195.237
rnoxmhft.tju.com.        IN    A    203.57.22.141
obtldqjw.tju.com.        IN    A    76.189.183.180
kcftrheq.tju.com.        IN    A    65.90.107.239
ebliutqs.tju.com.        IN    A    180.166.243.248
erfdwjbn.tju.com.        IN    A    228.194.156.175
cmrpjhow.tju.com.        IN    A    228.24.170.131
rfspikeo.tju.com.        IN    A    174.93.24.244
roewjdlx.tju.com.        IN    A    254.136.111.150
isyfuwgb.tju.com.        IN    A    191.192.46.2
xivsamdt.tju.com.        IN    A    169.228.63.213
ytlwcpsa.tju.com.        IN    A    155.53.145.238
xkusvylo.tju.com.        IN    A    21.176.73.32
tjdbrxso.tju.com.        IN    A    251.105.20.126
nvspbkdm.tju.com.        IN    A    14.153.44.214
kxlqgcbf.tju.com.        IN    A    185.116.232.163
lkqtpwfs.tju.com.        IN    A    27.195.252.121
yvdqauki.tju.com.        IN    A    12.144.228.183
qptoefrj.tju.com.        IN    A    225.202.223.56
hjmdbyqp.tju.com.        IN    A    156.115.165.204
dcoqsiyu.tju.com.        IN    A    203.253.173.215
iwsrfdot.tju.com.        IN    A    255.255.163.79
edliyvbc.tju.com.        IN    A    204.207.170.234
uvfkjcmr.tju.com.        IN    A    143.182.214.186
apgeoxhc.tju.com.        IN    A    224.96.93.10
dnyhlegw.tju.com.        IN    A    174.11.180.239
lruveyjf.tju.com.        IN    A    27.208.212.55
lpvyoqck.tju.com.        IN    A    183.84.68.55
ucvahfrm.tju.com.        IN    A    184.93.160.182
wepvjkgb.tju.com.        IN    A    150.217.241.201
rbiaqfnk.tju.com.        IN    A    186.235.110.168
wfdqerys.tju.com.        IN    A    189.153.170.28
dumxcalr.tju.com.        IN    A    207.24.2.249
wtqdnfor.tju.com.        IN    A    173.5.174.59
spvhbkoc.tju.com.        IN    A    98.13.20.2
pcwixryv.tju.com.        IN    A    252.138.53.63
jclvqomd.tju.com.        IN    A    211.144.228.143
tlmqkvoe.tju.com.        IN    A    249.210.112.238
pumghabc.tju.com.        IN    A    245.140.191.96
bvoenlug.tju.com.        IN    A    229.202.33.38
udyqxvec.tju.com.        IN    A    147.148.185.22
cngqvidj.tju.com.        IN    A    54.100.246.2
swapjgkv.tju.com.        IN    A    182.185.124.210
athwsnkm.tju.com.        IN    A    25.186.248.226
ycfrwlas.tju.com.        IN    A    169.72.158.24
moasugjf.tju.com.        IN    A    176.214.176.90
rwaopksx.tju.com.        IN    A    67.142.130.16
hjcwmtki.tju.com.        IN    A    123.112.73.156
gqurhvew.tju.com.        IN    A    178.85.63.131
dsgwylvf.tju.com.        IN    A    199.244.75.123
psrganhk.tju.com.        IN    A    220.3.75.237
pujyeinv.tju.com.        IN    A    24.161.113.143
okptxrve.tju.com.        IN    A    58.103.227.196
dfxkqpbu.tju.com.        IN    A    60.34.72.78
dbawfhgl.tju.com.        IN    A    191.61.229.227
mopljqnk.tju.com.        IN    A    104.244.65.185
swglbxfn.tju.com.        IN    A    143.44.146.26
ldguvfoy.tju.com.        IN    A    67.119.91.205
cnvgkybe.tju.com.        IN    A    118.220.68.6
mgtspwxh.tju.com.        IN    A    24.38.189.69
bsmpexgn.tju.com.        IN    A    65.161.157.115
xgdjwfui.tju.com.        IN    A    103.17.11.221
cslruety.tju.com.        IN    A    87.107.216.16
wdgoqvrk.tju.com.        IN    A    145.41.246.101
eitqlyjw.tju.com.        IN    A    103.252.52.31
bmrsujpq.tju.com.        IN    A    226.103.22.5
uqgheynt.tju.com.        IN    A    217.229.196.115
adkbfyhe.tju.com.        IN    A    152.59.3.81
ifavhlod.tju.com.        IN    A    216.159.150.57
jgceuypx.tju.com.        IN    A    195.106.223.181
hlnybcxr.tju.com.        IN    A    242.27.48.243
epdgrhmk.tju.com.        IN    A    236.9.79.112
aibksywg.tju.com.        IN    A    83.229.105.116
gtobwvpi.tju.com.        IN    A    141.94.111.119
geficjay.tju.com.        IN    A    174.205.114.69
ukeindxt.tju.com.        IN    A    165.9.219.7
crtwjsel.tju.com.        IN    A    20.196.119.54
yqcfrxth.tju.com.        IN    A    20.201.253.147
qakjctnb.tju.com.        IN    A    96.64.173.180
ldqgowpi.tju.com.        IN    A    210.120.234.72
cbpdeaoi.tju.com.        IN    A    35.60.237.254
wticdlnq.tju.com.        IN    A    234.209.78.55
nqleftah.tju.com.        IN    A    109.99.4.229
hietvjmw.tju.com.        IN    A    97.162.238.207
oaywsdpx.tju.com.        IN    A    98.250.151.47
kcdwvosr.tju.com.        IN    A    205.53.78.41
cvmknuxf.tju.com.        IN    A    86.252.241.145
aohqjvdy.tju.com.        IN    A    65.141.109.89
iuvtbnxw.tju.com.        IN    A    228.114.70.224
uyvediln.tju.com.        IN    A    15.128.234.33
vuwfpekm.tju.com.        IN    A    196.162.69.143
nxhsclwg.tju.com.        IN    A    239.175.236.232
crthjqlo.tju.com.        IN    A    125.169.192.149
jfuqmhls.tju.com.        IN    A    48.100.15.66
rpvtgkbo.tju.com.        IN    A    117.156.194.139
vaxmeonp.tju.com.        IN    A    26.10.197.55
gnhvlcur.tju.com.        IN    A    1.254.92.131
agpftxui.tju.com.        IN    A    151.165.0.152
wsonlcjb.tju.com.        IN    A    238.60.211.78
ovwyiman.tju.com.        IN    A    112.80.57.188
nohtbuvx.tju.com.        IN    A    77.224.76.74
oltebwhp.tju.com.        IN    A    212.78.172.115
cbnotsrp.tju.com.        IN    A    160.252.151.194
qwaxvgtu.tju.com.        IN    A    4.158.48.233
ihvoyfrj.tju.com.        IN    A    75.250.181.79
foelipdw.tju.com.        IN    A    21.43.95.6
qbhuyvgn.tju.com.        IN    A    199.209.169.159
cjlakoxh.tju.com.        IN    A    198.122.17.39
fitgxwer.tju.com.        IN    A    10.141.206.31
ewnjaskt.tju.com.        IN    A    108.146.235.46
uvpxhfwc.tju.com.        IN    A    32.174.88.189
cyqienmh.tju.com.        IN    A    222.69.171.206
