; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR shu.com. @ns2.shu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.shu.com. james.shu.edu. 19122302 14400 3600 2419200 14400
shu.com.			      14400 IN NS	ns1.shu.com.
ns1.shu.com.			      14400 IN A	10.166.21.15

www.shu.com.		      14400 IN NS	ns1.www.shu.com.
ns1.www.shu.com.		      14400 IN A		10.166.21.12

ai.shu.com.		      14400 IN NS	ns1.ai.shu.com.
ns1.ai.shu.com.		      14400 IN A		10.166.21.13

sociology.shu.com.		      14400 IN NS	ns1.sociology.shu.com.
ns1.sociology.shu.com.		      14400 IN A		10.166.21.14

shu.com.			      14400 IN MX	10 sociologytp.shu.edu.
shu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
uxgqcatb.shu.com.        IN    A    147.120.171.244
uvdcpsej.shu.com.        IN    A    100.241.233.150
elmhbgcy.shu.com.        IN    A    23.156.178.168
veohkgiw.shu.com.        IN    A    156.149.136.79
ejuavinh.shu.com.        IN    A    128.19.133.234
wvautqie.shu.com.        IN    A    221.151.236.38
qiktedpu.shu.com.        IN    A    81.247.75.16
cdteavkw.shu.com.        IN    A    244.82.138.76
gtfqhupm.shu.com.        IN    A    106.39.116.126
dyphosjg.shu.com.        IN    A    125.63.245.248
cxlmsbgy.shu.com.        IN    A    47.246.162.1
nhgpidty.shu.com.        IN    A    220.166.120.56
cdhvtaqj.shu.com.        IN    A    112.39.37.149
vxgitrse.shu.com.        IN    A    249.31.99.5
odaqgbpr.shu.com.        IN    A    197.205.222.248
nykjqlhs.shu.com.        IN    A    2.98.54.56
mckrnlvf.shu.com.        IN    A    12.217.191.84
vjlpwcos.shu.com.        IN    A    203.122.12.0
wnqmrkuv.shu.com.        IN    A    161.175.17.99
vqumhnok.shu.com.        IN    A    253.48.216.20
suvyoqbi.shu.com.        IN    A    93.1.255.137
oyvasckx.shu.com.        IN    A    19.227.32.77
fphsmgea.shu.com.        IN    A    246.133.76.219
khelncpq.shu.com.        IN    A    242.224.161.196
gelkpwyv.shu.com.        IN    A    87.143.244.24
riljwqux.shu.com.        IN    A    20.5.48.112
yrscaenu.shu.com.        IN    A    43.74.27.41
spmlxgin.shu.com.        IN    A    229.44.22.129
cmuegqak.shu.com.        IN    A    0.82.48.58
vsawktgy.shu.com.        IN    A    56.35.72.75
jwykauxi.shu.com.        IN    A    203.245.52.255
lrkxqcfo.shu.com.        IN    A    146.42.185.11
pqeixmao.shu.com.        IN    A    67.173.252.245
fqyjsvha.shu.com.        IN    A    180.36.103.253
hsyvbend.shu.com.        IN    A    74.100.19.203
lrvksnuw.shu.com.        IN    A    65.9.36.130
yabmqfrh.shu.com.        IN    A    45.138.8.30
vocrbais.shu.com.        IN    A    148.202.135.13
gryuxitb.shu.com.        IN    A    251.128.39.54
jurgniqt.shu.com.        IN    A    140.241.10.61
mvjfsunx.shu.com.        IN    A    230.166.17.241
aksndwmt.shu.com.        IN    A    97.18.50.102
bgwrshqo.shu.com.        IN    A    102.92.61.254
gkojqiyf.shu.com.        IN    A    128.236.211.19
rvubtmlg.shu.com.        IN    A    234.42.116.163
qghtiswr.shu.com.        IN    A    148.20.62.46
agxtesnj.shu.com.        IN    A    94.182.217.191
vlcthyxf.shu.com.        IN    A    197.38.10.141
rvmbnkal.shu.com.        IN    A    139.133.160.87
smywpuor.shu.com.        IN    A    219.83.118.193
tbkusdyp.shu.com.        IN    A    215.121.82.52
ufrkwemo.shu.com.        IN    A    229.153.15.67
tmpgyrwb.shu.com.        IN    A    38.65.134.232
oqkymsev.shu.com.        IN    A    84.58.250.28
hxoemvpy.shu.com.        IN    A    134.190.26.100
ogiblcfu.shu.com.        IN    A    157.146.221.90
swfxchae.shu.com.        IN    A    90.42.179.55
tfdvosrk.shu.com.        IN    A    149.57.154.5
ocgvlhdi.shu.com.        IN    A    218.133.221.224
pabktcjv.shu.com.        IN    A    119.181.231.199
dlsteyxa.shu.com.        IN    A    44.248.49.216
owvdmcik.shu.com.        IN    A    116.176.245.105
pqgmvtch.shu.com.        IN    A    48.4.52.236
uvjafkwm.shu.com.        IN    A    221.48.164.59
xmapwbhc.shu.com.        IN    A    181.144.180.176
xkbomudl.shu.com.        IN    A    246.187.175.174
qmsydhbu.shu.com.        IN    A    232.167.163.51
fceiyldg.shu.com.        IN    A    175.96.108.145
ulnfokwa.shu.com.        IN    A    197.196.23.94
rdaofcpv.shu.com.        IN    A    245.95.157.90
cqtsmghf.shu.com.        IN    A    143.83.252.220
ejtfropq.shu.com.        IN    A    72.140.225.113
gaqmtfbh.shu.com.        IN    A    133.220.21.176
ntudxfjw.shu.com.        IN    A    121.45.47.65
vkshtafd.shu.com.        IN    A    45.131.185.215
udwqykxj.shu.com.        IN    A    81.71.51.92
nwdgflbv.shu.com.        IN    A    55.221.21.125
fwjnlbxg.shu.com.        IN    A    48.58.20.113
ormlxfni.shu.com.        IN    A    15.102.18.223
xainmykv.shu.com.        IN    A    222.225.91.214
myvodcgj.shu.com.        IN    A    179.48.92.221
hraksxbi.shu.com.        IN    A    202.175.198.164
luyfgwve.shu.com.        IN    A    12.109.75.167
qafxmkpd.shu.com.        IN    A    238.14.88.88
uvkaexyn.shu.com.        IN    A    227.22.118.253
qmkewhud.shu.com.        IN    A    200.168.19.31
hxvicgel.shu.com.        IN    A    205.79.103.240
noldmqaj.shu.com.        IN    A    201.83.191.198
xdtlrbup.shu.com.        IN    A    216.151.56.175
kwbpexru.shu.com.        IN    A    59.228.226.234
kljnbeqd.shu.com.        IN    A    168.214.153.73
gwsphlom.shu.com.        IN    A    235.182.4.137
kjhwsmic.shu.com.        IN    A    169.56.205.248
vnsoacif.shu.com.        IN    A    41.58.241.136
hupaefqd.shu.com.        IN    A    46.39.155.30
xkvshdwe.shu.com.        IN    A    67.64.150.30
iwlkrpsj.shu.com.        IN    A    9.79.230.177
suomctxg.shu.com.        IN    A    8.28.169.246
cbphrvia.shu.com.        IN    A    169.31.205.208
sekhxypn.shu.com.        IN    A    111.248.232.83
rokmeipc.shu.com.        IN    A    222.45.152.89
idnfacwj.shu.com.        IN    A    236.165.232.120
efsvdcja.shu.com.        IN    A    206.117.75.38
puedijlt.shu.com.        IN    A    52.81.122.252
ktrqbsld.shu.com.        IN    A    2.95.233.49
vxojpwsa.shu.com.        IN    A    80.234.65.186
iyeudptk.shu.com.        IN    A    95.169.206.120
dnepsmfg.shu.com.        IN    A    50.74.46.220
bcysihjd.shu.com.        IN    A    235.93.72.39
gauesbfr.shu.com.        IN    A    139.60.187.12
dvemhclx.shu.com.        IN    A    196.37.3.103
enakyblo.shu.com.        IN    A    139.109.12.10
ehagimdt.shu.com.        IN    A    73.95.247.133
wticyxdh.shu.com.        IN    A    47.217.25.150
rscgejka.shu.com.        IN    A    107.67.229.136
vmkitfbw.shu.com.        IN    A    108.47.224.44
vcenpkda.shu.com.        IN    A    173.4.33.52
xehqyjcm.shu.com.        IN    A    125.26.195.157
epgifxma.shu.com.        IN    A    102.248.175.124
slhyimge.shu.com.        IN    A    243.241.143.180
cablpvfo.shu.com.        IN    A    28.235.68.109
gtpkqbnh.shu.com.        IN    A    97.117.191.87
kisvealh.shu.com.        IN    A    96.9.197.101
qnrykemd.shu.com.        IN    A    62.70.175.36
hfebtlvk.shu.com.        IN    A    70.37.152.117
cehjvsib.shu.com.        IN    A    159.34.37.220
vijgapqk.shu.com.        IN    A    80.137.61.160
gkhdptiw.shu.com.        IN    A    235.72.14.46
vhkacgun.shu.com.        IN    A    54.112.178.205
uspjcmti.shu.com.        IN    A    235.46.152.73
pycdhjei.shu.com.        IN    A    54.192.169.97
knlaboep.shu.com.        IN    A    239.157.110.0
evronquf.shu.com.        IN    A    151.62.142.93
hskqjaxt.shu.com.        IN    A    145.112.9.119
yrdsgbkf.shu.com.        IN    A    133.60.92.234
rovqjekp.shu.com.        IN    A    170.240.211.24
eldnqvca.shu.com.        IN    A    202.53.232.68
dsrbniju.shu.com.        IN    A    221.121.25.66
kcypjwqf.shu.com.        IN    A    140.193.136.68
wdrjigcf.shu.com.        IN    A    136.54.128.17
fgvsbcmh.shu.com.        IN    A    121.116.185.190
gjbsxprn.shu.com.        IN    A    173.36.17.95
qdyaepsn.shu.com.        IN    A    84.249.71.251
cdewasmb.shu.com.        IN    A    77.233.240.10
gmektyox.shu.com.        IN    A    188.134.226.101
bmoaiurn.shu.com.        IN    A    218.5.115.114
xnctjgws.shu.com.        IN    A    165.31.30.165
ftaegrbp.shu.com.        IN    A    69.4.32.9
npvobxsw.shu.com.        IN    A    212.100.153.65
aqpflegh.shu.com.        IN    A    136.116.228.50
eupvdgal.shu.com.        IN    A    59.7.85.184
ibmpcluk.shu.com.        IN    A    130.80.128.94
mdhlbsgk.shu.com.        IN    A    111.79.200.252
dnametgu.shu.com.        IN    A    38.40.43.110
qwbtjeud.shu.com.        IN    A    122.16.29.117
gbcjakvo.shu.com.        IN    A    189.198.100.66
fuodlspg.shu.com.        IN    A    138.70.45.39
ondcqpje.shu.com.        IN    A    112.216.200.61
ufdtclkw.shu.com.        IN    A    30.236.135.224
awcguivt.shu.com.        IN    A    184.152.199.93
uvhxojcs.shu.com.        IN    A    180.149.95.214
xchbnewi.shu.com.        IN    A    128.25.195.76
cmqbixks.shu.com.        IN    A    131.159.150.52
teyxlhjg.shu.com.        IN    A    45.232.117.144
bhcyiplv.shu.com.        IN    A    175.36.27.77
upqnwevf.shu.com.        IN    A    3.193.202.32
kpifsodq.shu.com.        IN    A    230.79.182.3
doircgpw.shu.com.        IN    A    248.50.22.26
asbitjln.shu.com.        IN    A    133.85.162.139
rdnytsum.shu.com.        IN    A    188.159.227.35
bqydwpvg.shu.com.        IN    A    36.89.120.125
ebipfmnk.shu.com.        IN    A    156.146.204.211
isdpeljq.shu.com.        IN    A    117.206.91.56
awledxct.shu.com.        IN    A    185.56.162.161
hnvgxksq.shu.com.        IN    A    42.7.8.164
mpjiwdkx.shu.com.        IN    A    202.186.58.204
gfynrvdl.shu.com.        IN    A    46.13.67.188
npdkfwro.shu.com.        IN    A    56.255.159.28
jwlsqctp.shu.com.        IN    A    238.148.223.39
dpnytcie.shu.com.        IN    A    233.162.151.125
qtdjauvi.shu.com.        IN    A    35.62.48.125
dlxvhcqw.shu.com.        IN    A    139.247.178.161
nbwkasug.shu.com.        IN    A    26.183.100.150
micnvljg.shu.com.        IN    A    46.238.162.157
lfpovnhm.shu.com.        IN    A    168.115.181.69
obgfcjqy.shu.com.        IN    A    24.15.72.143
xgkhwqpt.shu.com.        IN    A    216.71.80.28
rduahpvs.shu.com.        IN    A    30.90.212.191
equynwcs.shu.com.        IN    A    31.108.195.46
hjqsfncr.shu.com.        IN    A    221.139.94.95
satrxnhp.shu.com.        IN    A    107.82.21.142
mkudxhyg.shu.com.        IN    A    33.12.191.73
krivahdt.shu.com.        IN    A    119.55.190.121
kfdoutab.shu.com.        IN    A    41.132.139.121
detauswc.shu.com.        IN    A    149.6.193.140
dkijnpus.shu.com.        IN    A    130.125.99.94
lcpyvmwq.shu.com.        IN    A    110.159.226.191
hmuepojw.shu.com.        IN    A    31.212.192.155
hmgutslj.shu.com.        IN    A    64.97.46.35
qykxvlin.shu.com.        IN    A    246.24.3.70
vnypmxwe.shu.com.        IN    A    155.178.43.56
mkdqsfgt.shu.com.        IN    A    204.76.122.60
pwjvgsed.shu.com.        IN    A    105.187.201.78
ijlrsfuw.shu.com.        IN    A    183.40.42.164
haoekflx.shu.com.        IN    A    249.247.55.160
mwjespvk.shu.com.        IN    A    217.117.189.209
yulwbrfk.shu.com.        IN    A    111.68.178.96
oevhglda.shu.com.        IN    A    129.101.97.251
dvtjxweb.shu.com.        IN    A    58.223.235.184
ocxhadfj.shu.com.        IN    A    190.145.90.237
ynoikbrj.shu.com.        IN    A    204.205.19.70
tqrkxegl.shu.com.        IN    A    226.247.46.193
emliypos.shu.com.        IN    A    57.228.244.2
oxkichmy.shu.com.        IN    A    4.219.151.243
btogyafc.shu.com.        IN    A    76.200.33.106
bjaykmep.shu.com.        IN    A    217.158.195.192
wniocgxt.shu.com.        IN    A    136.206.212.145
newmavrt.shu.com.        IN    A    119.227.183.90
afusmywg.shu.com.        IN    A    202.103.52.60
xjkbvpwd.shu.com.        IN    A    230.98.205.185
ijfkvlbo.shu.com.        IN    A    167.152.218.4
ngcxsjha.shu.com.        IN    A    167.150.68.153
cyekuxqm.shu.com.        IN    A    55.192.182.243
kupdrwht.shu.com.        IN    A    234.141.119.163
qmnoghux.shu.com.        IN    A    243.240.123.90
xqbrlaph.shu.com.        IN    A    230.7.159.17
kiweahbd.shu.com.        IN    A    74.201.163.58
xcsfentk.shu.com.        IN    A    184.11.64.241
buxafjcm.shu.com.        IN    A    130.104.237.183
auvxgojf.shu.com.        IN    A    153.154.148.216
uwemilhs.shu.com.        IN    A    236.219.101.67
ymstjniq.shu.com.        IN    A    57.249.118.224
vexmylgh.shu.com.        IN    A    64.105.236.27
hduxmeaf.shu.com.        IN    A    225.140.157.28
gjhsodre.shu.com.        IN    A    69.83.94.254
lrypxebi.shu.com.        IN    A    172.68.150.251
lafjngvu.shu.com.        IN    A    28.8.156.25
firlstmq.shu.com.        IN    A    163.170.165.56
bvsgyfxm.shu.com.        IN    A    22.213.59.202
ukndyglp.shu.com.        IN    A    124.96.228.188
exdmshwt.shu.com.        IN    A    115.130.116.217
tmcfeudq.shu.com.        IN    A    72.59.212.220
doxqltra.shu.com.        IN    A    3.217.43.28
xyirnvwl.shu.com.        IN    A    115.61.176.216
ykeplwqu.shu.com.        IN    A    170.89.243.254
eqbpdtla.shu.com.        IN    A    36.243.101.192
yxtaurnd.shu.com.        IN    A    184.146.111.8
gaxjkfsl.shu.com.        IN    A    82.96.198.30
unohkifs.shu.com.        IN    A    90.238.224.141
ksuwgbml.shu.com.        IN    A    198.248.48.149
lgracqof.shu.com.        IN    A    211.168.59.219
yvactrgi.shu.com.        IN    A    192.220.70.207
jeowuxnc.shu.com.        IN    A    78.114.247.243
fthdoalb.shu.com.        IN    A    176.84.205.27
lcxsqgbo.shu.com.        IN    A    36.213.88.162
plrkwnhg.shu.com.        IN    A    180.12.80.92
ehjnyibx.shu.com.        IN    A    64.238.253.118
mgecnbft.shu.com.        IN    A    153.116.163.187
fovjuycd.shu.com.        IN    A    192.118.49.203
ywrfctsh.shu.com.        IN    A    176.133.98.0
ylpaurit.shu.com.        IN    A    219.218.179.82
ogaqtbkf.shu.com.        IN    A    145.13.131.212
xkmifclb.shu.com.        IN    A    242.193.151.85
rynitvdu.shu.com.        IN    A    19.71.102.228
vtmbfkho.shu.com.        IN    A    171.22.148.176
uhabfljy.shu.com.        IN    A    118.144.218.245
tvndjpoy.shu.com.        IN    A    121.101.6.152
fblcnmqe.shu.com.        IN    A    101.231.210.146
twqpjvgs.shu.com.        IN    A    30.197.131.89
uogsareq.shu.com.        IN    A    82.55.21.50
sapuoywb.shu.com.        IN    A    35.97.60.69
mauocbyk.shu.com.        IN    A    213.65.170.249
qtrgohxi.shu.com.        IN    A    195.255.107.166
fshnkuyp.shu.com.        IN    A    192.179.21.101
hkbtycgf.shu.com.        IN    A    117.119.151.196
ugronaid.shu.com.        IN    A    141.174.237.99
mwpksted.shu.com.        IN    A    199.68.40.9
wfhupxqb.shu.com.        IN    A    189.144.129.170
abfqutex.shu.com.        IN    A    134.97.89.180
lautmxfr.shu.com.        IN    A    248.186.16.167
ntcxsrob.shu.com.        IN    A    141.92.21.22
uxptnmlo.shu.com.        IN    A    240.234.248.160
powfbsvc.shu.com.        IN    A    180.167.254.161
jcsgrdvy.shu.com.        IN    A    158.29.134.75
rxnyaicg.shu.com.        IN    A    17.194.51.125
rxjihtfc.shu.com.        IN    A    50.71.110.142
wvdrioux.shu.com.        IN    A    20.109.116.216
hcdwofbu.shu.com.        IN    A    43.88.243.74
ofwrsqmb.shu.com.        IN    A    246.30.92.249
mqrpelvn.shu.com.        IN    A    233.102.118.185
vlsodinx.shu.com.        IN    A    200.11.233.187
pkamxhbl.shu.com.        IN    A    195.16.95.113
lservjuc.shu.com.        IN    A    23.23.134.109
jalpqxef.shu.com.        IN    A    16.227.40.134
gydowesu.shu.com.        IN    A    154.13.32.78
dnplmieb.shu.com.        IN    A    72.217.247.238
mvtnqwcx.shu.com.        IN    A    54.221.244.51
wdbjusae.shu.com.        IN    A    222.87.242.240
vlkecasx.shu.com.        IN    A    143.237.211.185
bvokjudm.shu.com.        IN    A    162.3.172.229
okbrypfl.shu.com.        IN    A    118.51.185.142
qykgtpri.shu.com.        IN    A    30.57.94.55
igvqupne.shu.com.        IN    A    203.201.188.213
telhcbnq.shu.com.        IN    A    173.221.117.218
lbhupwij.shu.com.        IN    A    140.255.49.206
asyflxkq.shu.com.        IN    A    90.200.2.248
qthpuycs.shu.com.        IN    A    140.200.61.25
bxmgkwrf.shu.com.        IN    A    202.169.15.228
pnjwxoce.shu.com.        IN    A    228.128.44.33
lociqfhd.shu.com.        IN    A    178.130.206.213
yhbxmslc.shu.com.        IN    A    248.115.203.65
mhplctwy.shu.com.        IN    A    159.100.223.217
qbtkyrdv.shu.com.        IN    A    240.28.160.178
fleqhiym.shu.com.        IN    A    176.44.179.182
evyoigls.shu.com.        IN    A    3.97.63.171
ndlgkvqp.shu.com.        IN    A    83.161.44.140
xvoapbfl.shu.com.        IN    A    48.68.77.210
gournfic.shu.com.        IN    A    41.196.223.132
nwfcytex.shu.com.        IN    A    110.242.78.146
dowefyut.shu.com.        IN    A    81.61.10.64
vmawhsnl.shu.com.        IN    A    80.179.96.144
ocabgkqd.shu.com.        IN    A    35.20.210.130
pfxseurn.shu.com.        IN    A    134.23.131.197
nfjpkayd.shu.com.        IN    A    138.154.63.135
mlbptakv.shu.com.        IN    A    213.51.141.178
jyqnowpu.shu.com.        IN    A    170.99.42.107
qxdluvky.shu.com.        IN    A    217.39.112.115
qtgdavyk.shu.com.        IN    A    50.111.106.143
cfjerwpv.shu.com.        IN    A    200.22.108.68
iquphnof.shu.com.        IN    A    170.122.161.25
tfihulem.shu.com.        IN    A    74.83.191.13
msvhoicg.shu.com.        IN    A    60.242.35.254
tpfhynoc.shu.com.        IN    A    191.143.81.213
hontrjsv.shu.com.        IN    A    96.170.82.96
ghwikbjn.shu.com.        IN    A    211.25.182.235
xiuehtab.shu.com.        IN    A    127.38.213.57
nyeudrtm.shu.com.        IN    A    228.136.138.163
cfkbvpol.shu.com.        IN    A    158.172.216.117
vsmcdgwo.shu.com.        IN    A    109.165.106.146
xacmpijg.shu.com.        IN    A    135.47.183.18
natifydj.shu.com.        IN    A    97.17.210.191
gfqpjubs.shu.com.        IN    A    2.145.10.166
dxoperwn.shu.com.        IN    A    242.40.25.13
hijgyvmo.shu.com.        IN    A    209.223.121.132
aotuilsf.shu.com.        IN    A    153.88.5.15
qloeukfw.shu.com.        IN    A    129.89.176.69
nqmspxgu.shu.com.        IN    A    231.49.199.14
frdjywtv.shu.com.        IN    A    165.5.148.172
ucdnipby.shu.com.        IN    A    147.204.163.97
remvntyd.shu.com.        IN    A    158.7.89.246
tyfprmvd.shu.com.        IN    A    2.94.135.78
thuycksx.shu.com.        IN    A    132.182.178.93
pjlrihmw.shu.com.        IN    A    50.33.38.102
oglniqtf.shu.com.        IN    A    71.107.146.16
xynwadvf.shu.com.        IN    A    19.48.242.45
mdrgbhcw.shu.com.        IN    A    181.139.99.32
tujrbgof.shu.com.        IN    A    44.111.79.86
sfxdqnvm.shu.com.        IN    A    55.194.93.26
wnsifuoq.shu.com.        IN    A    5.116.132.236
wyebljpr.shu.com.        IN    A    42.165.238.216
soxcetlb.shu.com.        IN    A    149.228.219.14
vqdtgxbc.shu.com.        IN    A    117.50.177.18
nvtcuyje.shu.com.        IN    A    248.146.17.29
kwmlsrjy.shu.com.        IN    A    254.251.32.200
jncbgiyd.shu.com.        IN    A    171.251.48.193
ueywpjqd.shu.com.        IN    A    190.158.190.31
wokyrebi.shu.com.        IN    A    156.112.75.19
quwcrdnx.shu.com.        IN    A    46.46.162.57
dilokurf.shu.com.        IN    A    60.2.212.83
olumxbte.shu.com.        IN    A    214.53.21.68
ogjdpetb.shu.com.        IN    A    207.216.244.7
cagxtunw.shu.com.        IN    A    181.155.51.215
xeagiwut.shu.com.        IN    A    202.128.87.70
kenbuxmg.shu.com.        IN    A    11.209.15.80
jlsaydbo.shu.com.        IN    A    117.10.236.33
csrldxat.shu.com.        IN    A    166.196.200.99
qudgyika.shu.com.        IN    A    34.20.191.255
nkthoedf.shu.com.        IN    A    222.120.147.226
fkxvihey.shu.com.        IN    A    0.58.239.244
axdneuos.shu.com.        IN    A    179.86.189.119
ypqnscwx.shu.com.        IN    A    186.177.151.159
cxuqrkwi.shu.com.        IN    A    148.166.52.98
fghlmtxr.shu.com.        IN    A    74.7.23.120
ujlbkxev.shu.com.        IN    A    2.153.193.124
raoblpxn.shu.com.        IN    A    153.175.221.101
aokutfyd.shu.com.        IN    A    18.173.4.113
xmrdqsvk.shu.com.        IN    A    163.63.116.7
anpwmxes.shu.com.        IN    A    240.114.203.75
lpebcstg.shu.com.        IN    A    199.129.217.187
uyjcwxnq.shu.com.        IN    A    126.25.11.21
pcdnglfu.shu.com.        IN    A    201.251.0.38
ojyncipk.shu.com.        IN    A    11.190.200.75
ftmkupvq.shu.com.        IN    A    213.36.163.25
xisglove.shu.com.        IN    A    14.238.124.4
caenykwx.shu.com.        IN    A    101.156.146.5
xwokhvlt.shu.com.        IN    A    233.170.40.54
buygckdf.shu.com.        IN    A    173.72.162.103
mfsntpid.shu.com.        IN    A    216.218.91.222
licdpeht.shu.com.        IN    A    142.51.165.53
yubisrck.shu.com.        IN    A    144.147.76.118
jwrxavck.shu.com.        IN    A    25.133.56.10
iumvnjyq.shu.com.        IN    A    55.55.245.210
ryhjkfbv.shu.com.        IN    A    32.215.77.122
nqhtklcv.shu.com.        IN    A    194.100.125.99
oxnavgfm.shu.com.        IN    A    118.63.80.44
wykqexft.shu.com.        IN    A    54.181.212.49
ueblafhv.shu.com.        IN    A    33.126.42.200
cbwxstqm.shu.com.        IN    A    73.217.34.58
lsgotwdr.shu.com.        IN    A    36.73.211.174
tfxwesvi.shu.com.        IN    A    51.97.121.62
qmnyklgc.shu.com.        IN    A    126.121.164.211
kfbrdvwy.shu.com.        IN    A    157.180.92.98
ojfbvnlm.shu.com.        IN    A    239.95.189.84
vbnijmqc.shu.com.        IN    A    46.209.155.178
edlmakxj.shu.com.        IN    A    60.145.47.89
ojsmnwux.shu.com.        IN    A    130.79.89.130
elxrqtbg.shu.com.        IN    A    199.229.148.105
upihwvtc.shu.com.        IN    A    154.68.44.181
txjymwce.shu.com.        IN    A    51.144.198.43
aqlfrehu.shu.com.        IN    A    229.26.77.113
xeodpwui.shu.com.        IN    A    48.32.35.59
osgexlwm.shu.com.        IN    A    90.159.131.100
fknirpdq.shu.com.        IN    A    127.91.114.88
kvfhagub.shu.com.        IN    A    12.241.55.123
ulsfhrec.shu.com.        IN    A    111.143.64.58
sracmkxt.shu.com.        IN    A    212.171.73.208
ardujohy.shu.com.        IN    A    28.35.222.93
gjbdnqxc.shu.com.        IN    A    181.198.1.123
wvctqlkj.shu.com.        IN    A    82.198.108.221
idvutyqb.shu.com.        IN    A    44.23.181.14
pfgrlnyb.shu.com.        IN    A    92.136.11.143
maykbghu.shu.com.        IN    A    219.193.104.74
pxacehbm.shu.com.        IN    A    80.14.120.240
uetokrxb.shu.com.        IN    A    33.172.124.209
loyhurgj.shu.com.        IN    A    29.227.33.247
somufjep.shu.com.        IN    A    154.160.220.179
inwjvtax.shu.com.        IN    A    51.207.62.2
ysdogwli.shu.com.        IN    A    15.152.113.254
xgesmckl.shu.com.        IN    A    66.37.67.127
rofpymgs.shu.com.        IN    A    28.26.176.32
ikyclmow.shu.com.        IN    A    92.28.149.115
bwxhtyoj.shu.com.        IN    A    207.161.33.172
xomvauri.shu.com.        IN    A    14.211.73.220
hnpcbgvj.shu.com.        IN    A    64.25.9.24
dvstwrcl.shu.com.        IN    A    160.133.19.228
gxarhofk.shu.com.        IN    A    216.135.56.70
xgnosqkb.shu.com.        IN    A    241.121.108.251
hpnjxkbi.shu.com.        IN    A    38.56.188.146
vfwxpsjt.shu.com.        IN    A    114.201.44.85
otdxbfwn.shu.com.        IN    A    193.1.115.230
ajxtrshe.shu.com.        IN    A    60.33.229.135
owdcpsmh.shu.com.        IN    A    121.165.175.151
rluhtvsy.shu.com.        IN    A    217.176.244.51
onyudtxs.shu.com.        IN    A    185.136.1.152
atwvcedu.shu.com.        IN    A    110.38.97.223
lmjsytcb.shu.com.        IN    A    84.100.178.254
pmxyntfw.shu.com.        IN    A    209.239.230.105
weckdbgs.shu.com.        IN    A    132.111.146.55
dlhioqsv.shu.com.        IN    A    140.31.135.19
legnvckt.shu.com.        IN    A    208.127.58.168
psdalntj.shu.com.        IN    A    201.189.121.180
liepnyqw.shu.com.        IN    A    210.126.94.231
gitdwymv.shu.com.        IN    A    250.16.70.151
soaiynpb.shu.com.        IN    A    39.155.16.238
honsxdqm.shu.com.        IN    A    251.218.91.44
vprxweqg.shu.com.        IN    A    9.198.0.119
xoupqkmb.shu.com.        IN    A    123.64.237.7
rikqxspy.shu.com.        IN    A    54.238.214.36
tlfhpuwg.shu.com.        IN    A    145.105.68.8
pdwrgskx.shu.com.        IN    A    21.76.161.98
utkdmcyb.shu.com.        IN    A    0.213.239.54
tqawjubn.shu.com.        IN    A    229.1.94.165
ewmigfna.shu.com.        IN    A    227.245.132.161
rewqdxgh.shu.com.        IN    A    65.246.190.222
nvpiafrc.shu.com.        IN    A    68.90.128.213
lekrsgqj.shu.com.        IN    A    83.158.221.58
terbncsm.shu.com.        IN    A    116.110.248.115
humspxac.shu.com.        IN    A    79.7.117.138
cmelqhrs.shu.com.        IN    A    10.129.59.40
uhjrpocn.shu.com.        IN    A    155.88.72.44
ylxscfqb.shu.com.        IN    A    68.176.20.158
mkhesicd.shu.com.        IN    A    69.10.102.1
fxgjwoyk.shu.com.        IN    A    179.199.24.1
qhpjeiwo.shu.com.        IN    A    192.254.82.90
ranqxswm.shu.com.        IN    A    225.66.217.167
jcayihvk.shu.com.        IN    A    210.11.222.176
mydwaxln.shu.com.        IN    A    171.86.152.183
ogrqhjia.shu.com.        IN    A    97.249.185.239
rmwynvdq.shu.com.        IN    A    88.36.130.15
dnufjlrb.shu.com.        IN    A    85.180.143.70
yngujkwc.shu.com.        IN    A    56.121.214.50
svtdnrme.shu.com.        IN    A    177.202.22.175
pdgehvjs.shu.com.        IN    A    134.187.4.197
pwgutaxm.shu.com.        IN    A    244.53.220.13
ygdsukbh.shu.com.        IN    A    43.156.182.127
pnksxqcm.shu.com.        IN    A    129.42.31.134
xjkiwaeb.shu.com.        IN    A    35.168.133.241
wjpfkxql.shu.com.        IN    A    45.227.233.201
vitgwdqa.shu.com.        IN    A    8.74.3.142
asgputyo.shu.com.        IN    A    213.183.13.59
ogvnltjm.shu.com.        IN    A    82.98.56.169
ptaesibq.shu.com.        IN    A    189.71.243.50
lpqyudxj.shu.com.        IN    A    15.73.109.146
rkpuhomf.shu.com.        IN    A    0.226.174.80
kijyuwfm.shu.com.        IN    A    182.242.199.113
dxchwkqs.shu.com.        IN    A    208.30.112.52
aroxfekn.shu.com.        IN    A    78.2.43.56
pxeikvhq.shu.com.        IN    A    51.2.247.139
ptaxqmgw.shu.com.        IN    A    255.4.5.160
ijryfcgn.shu.com.        IN    A    0.115.158.115
hwpgrliy.shu.com.        IN    A    170.180.51.157
tarejsow.shu.com.        IN    A    114.156.154.192
nvphkwtc.shu.com.        IN    A    186.119.66.98
vhqoumal.shu.com.        IN    A    225.52.212.240
