www.pku.com. 	14400	IN	SOA	ns1.www.pku.com. james.pku.edu. 19122302 14400 3600 2419200 14400
www.pku.com.		    IN	NS ns1.www.pku.com.
ydrpgsfm.www.pku.com.    IN    A    250.190.167.249
jihgbpsu.www.pku.com.    IN    A    154.9.5.162
jevwgfxy.www.pku.com.    IN    A    164.63.37.6
pvqxtkfn.www.pku.com.    IN    A    100.85.39.200
mqexhfib.www.pku.com.    IN    A    245.89.210.136
ltfsaojh.www.pku.com.    IN    A    105.204.77.138
ukevnfsg.www.pku.com.    IN    A    227.221.215.219
pbdihqgj.www.pku.com.    IN    A    32.27.238.184
mgtjisxh.www.pku.com.    IN    A    86.90.136.126
okbgtdij.www.pku.com.    IN    A    48.96.226.18
ysdmlkjr.www.pku.com.    IN    A    169.59.18.155
dciagnsv.www.pku.com.    IN    A    70.1.86.129
ekfbiolw.www.pku.com.    IN    A    131.199.73.65
aeqnprbh.www.pku.com.    IN    A    67.168.21.152
vfwnlpsg.www.pku.com.    IN    A    106.199.250.86
mjytakpn.www.pku.com.    IN    A    51.187.216.114
cytwxfqr.www.pku.com.    IN    A    194.125.132.95
fsbyxipn.www.pku.com.    IN    A    126.210.139.226
xmsprvow.www.pku.com.    IN    A    188.244.156.215
nlakyhwb.www.pku.com.    IN    A    233.251.255.221
pynchwex.www.pku.com.    IN    A    247.93.232.224
jwgtcfum.www.pku.com.    IN    A    94.235.10.104
kyxncbds.www.pku.com.    IN    A    10.104.27.49
ctmoakrw.www.pku.com.    IN    A    180.72.81.32
rxofelqu.www.pku.com.    IN    A    16.31.56.228
qowhusln.www.pku.com.    IN    A    202.229.204.133
tqopvjnx.www.pku.com.    IN    A    182.127.126.255
whbsjgve.www.pku.com.    IN    A    19.178.113.0
irecxwlf.www.pku.com.    IN    A    241.70.75.128
gxylwami.www.pku.com.    IN    A    188.77.122.1
qdxlvgru.www.pku.com.    IN    A    128.24.247.122
vthqrmxw.www.pku.com.    IN    A    233.102.211.163
lfvmojur.www.pku.com.    IN    A    158.196.210.243
gopbrsik.www.pku.com.    IN    A    61.25.242.12
ipmysolh.www.pku.com.    IN    A    136.178.82.63
inpetohy.www.pku.com.    IN    A    96.102.31.196
ijvyftcl.www.pku.com.    IN    A    116.70.36.178
ybojpcxg.www.pku.com.    IN    A    228.195.203.235
skyridml.www.pku.com.    IN    A    123.119.110.99
gwshobqt.www.pku.com.    IN    A    24.59.42.205
bqfyklja.www.pku.com.    IN    A    7.80.92.29
daokgbwi.www.pku.com.    IN    A    133.44.196.79
qwgtbcnv.www.pku.com.    IN    A    184.12.44.102
nkhuqtyp.www.pku.com.    IN    A    86.236.152.144
sgrluamw.www.pku.com.    IN    A    85.58.68.181
kegpjntc.www.pku.com.    IN    A    26.213.252.114
knbgeifj.www.pku.com.    IN    A    42.140.36.190
ljsoercq.www.pku.com.    IN    A    55.120.15.97
xilrjumq.www.pku.com.    IN    A    147.115.125.129
eirgnpob.www.pku.com.    IN    A    237.76.29.111
rvagundb.www.pku.com.    IN    A    210.222.72.120
laewtvfy.www.pku.com.    IN    A    221.46.180.93
aixjvtdw.www.pku.com.    IN    A    73.36.65.110
xwkyqvcf.www.pku.com.    IN    A    158.174.52.116
qngmcahy.www.pku.com.    IN    A    121.200.57.195
pnokjclx.www.pku.com.    IN    A    225.194.130.240
cbiyujme.www.pku.com.    IN    A    2.159.218.13
kcryxvgw.www.pku.com.    IN    A    92.138.10.61
spheylgj.www.pku.com.    IN    A    58.243.128.27
isofmnbv.www.pku.com.    IN    A    118.150.122.189
qcsmgedx.www.pku.com.    IN    A    4.105.36.95
kqtgnsjv.www.pku.com.    IN    A    246.147.22.59
kejwcbfy.www.pku.com.    IN    A    214.131.115.182
aumdsnvw.www.pku.com.    IN    A    228.255.177.30
gqkedton.www.pku.com.    IN    A    233.249.127.207
enoltykp.www.pku.com.    IN    A    94.159.148.62
ugmkfhlt.www.pku.com.    IN    A    168.97.176.109
nvkhqcig.www.pku.com.    IN    A    180.224.71.73
cthluwqg.www.pku.com.    IN    A    38.202.181.191
uqfvkcip.www.pku.com.    IN    A    215.175.48.140
odtgbenl.www.pku.com.    IN    A    27.172.174.239
iqdhmtgv.www.pku.com.    IN    A    212.213.193.72
tuvlkbox.www.pku.com.    IN    A    247.138.143.63
dyunwqaf.www.pku.com.    IN    A    89.58.2.61
csyvjhmx.www.pku.com.    IN    A    157.44.155.29
sgatkriu.www.pku.com.    IN    A    247.110.50.47
gxajdksr.www.pku.com.    IN    A    48.228.40.30
oaimykpb.www.pku.com.    IN    A    196.193.182.192
yrouhdkb.www.pku.com.    IN    A    185.176.138.133
mxulhrkp.www.pku.com.    IN    A    199.234.120.203
vsjiwrhl.www.pku.com.    IN    A    109.226.221.247
vuxbidjw.www.pku.com.    IN    A    193.54.112.247
fhoivdte.www.pku.com.    IN    A    59.54.134.62
gjcxqwku.www.pku.com.    IN    A    36.209.69.10
jiohyktr.www.pku.com.    IN    A    22.178.166.249
crodxspg.www.pku.com.    IN    A    146.239.206.59
yjwpfdbu.www.pku.com.    IN    A    120.141.81.109
tpaecibs.www.pku.com.    IN    A    161.23.165.145
dgunoiye.www.pku.com.    IN    A    42.48.157.161
robhvmdc.www.pku.com.    IN    A    43.234.226.254
iceoyxru.www.pku.com.    IN    A    33.185.254.0
bwaflhyg.www.pku.com.    IN    A    10.133.34.20
romydksl.www.pku.com.    IN    A    32.214.110.79
yvihxfkg.www.pku.com.    IN    A    249.239.198.210
vxepkgqo.www.pku.com.    IN    A    198.228.96.191
slwdnphv.www.pku.com.    IN    A    180.63.182.4
ksqwmxja.www.pku.com.    IN    A    4.221.59.255
ygwkljuo.www.pku.com.    IN    A    75.156.211.225
ydolwmru.www.pku.com.    IN    A    170.218.170.242
nlxmsori.www.pku.com.    IN    A    199.63.196.25
fobxdujr.www.pku.com.    IN    A    20.149.226.169
vtwjyklq.www.pku.com.    IN    A    161.224.7.32
ujnhtabw.www.pku.com.    IN    A    114.23.236.158
nmxrygba.www.pku.com.    IN    A    190.241.82.79
hsmewifd.www.pku.com.    IN    A    6.137.203.33
cgohpvld.www.pku.com.    IN    A    116.173.41.47
qyjotsuk.www.pku.com.    IN    A    193.171.128.138
mfkscdwb.www.pku.com.    IN    A    105.205.88.53
pswykfxe.www.pku.com.    IN    A    142.33.225.216
fcsdxpob.www.pku.com.    IN    A    46.203.45.212
orwhenac.www.pku.com.    IN    A    122.135.220.204
cefoqtny.www.pku.com.    IN    A    21.156.27.233
ighwynpd.www.pku.com.    IN    A    150.168.3.135
qxwvsmkl.www.pku.com.    IN    A    179.89.222.55
fmpbequx.www.pku.com.    IN    A    33.165.114.12
raopmkqd.www.pku.com.    IN    A    92.24.5.160
aijymwoh.www.pku.com.    IN    A    80.58.159.153
fcsuywqe.www.pku.com.    IN    A    205.158.8.203
bvtyrmxu.www.pku.com.    IN    A    232.236.228.163
pgtqrlmb.www.pku.com.    IN    A    61.106.196.33
jextqflw.www.pku.com.    IN    A    254.18.119.173
xemkyrov.www.pku.com.    IN    A    203.247.53.192
cwtdamho.www.pku.com.    IN    A    230.109.113.82
qtiwuesg.www.pku.com.    IN    A    120.49.104.120
kfntuhxd.www.pku.com.    IN    A    140.136.252.10
jsmadcuw.www.pku.com.    IN    A    61.86.85.138
etsbquiw.www.pku.com.    IN    A    216.211.153.210
ktcjilpg.www.pku.com.    IN    A    112.252.158.33
tfphaydl.www.pku.com.    IN    A    74.118.165.193
pcydoljk.www.pku.com.    IN    A    230.101.201.53
pxfycnar.www.pku.com.    IN    A    176.14.34.197
srdvamfc.www.pku.com.    IN    A    158.168.160.156
qvlknxja.www.pku.com.    IN    A    247.84.107.199
ftbgnheo.www.pku.com.    IN    A    108.8.27.220
pjibxqwa.www.pku.com.    IN    A    139.58.201.165
vawhxbgd.www.pku.com.    IN    A    78.25.212.211
txjpagfh.www.pku.com.    IN    A    16.230.120.82
bqdjmpnr.www.pku.com.    IN    A    66.130.87.86
wtylmgok.www.pku.com.    IN    A    43.212.124.115
eucxrjbs.www.pku.com.    IN    A    175.31.131.136
msobypda.www.pku.com.    IN    A    15.196.178.250
iogwvstl.www.pku.com.    IN    A    185.163.226.135
atkrfebw.www.pku.com.    IN    A    32.30.191.56
crigvpya.www.pku.com.    IN    A    161.118.107.201
evpoqydi.www.pku.com.    IN    A    231.194.169.86
vbugynhx.www.pku.com.    IN    A    222.136.39.235
wdtciqkv.www.pku.com.    IN    A    36.245.73.211
xhmcokwr.www.pku.com.    IN    A    124.58.135.200
baonfxlp.www.pku.com.    IN    A    131.134.237.221
qftlnmia.www.pku.com.    IN    A    67.13.210.40
pmcfetrg.www.pku.com.    IN    A    234.66.36.86
jgprmwui.www.pku.com.    IN    A    89.91.93.43
uxjshbwv.www.pku.com.    IN    A    201.205.59.23
tprbagwv.www.pku.com.    IN    A    231.34.204.204
kjvihraq.www.pku.com.    IN    A    103.19.171.86
ebtkqvwy.www.pku.com.    IN    A    185.221.61.103
vsdfglxn.www.pku.com.    IN    A    41.200.7.19
gmlunkci.www.pku.com.    IN    A    47.137.67.191
gerhavtd.www.pku.com.    IN    A    162.79.238.186
xtgofuvm.www.pku.com.    IN    A    41.80.219.196
uotdpkqr.www.pku.com.    IN    A    162.0.15.177
suvhmgoq.www.pku.com.    IN    A    190.63.205.219
biwxjsdh.www.pku.com.    IN    A    95.16.211.171
csyqwldi.www.pku.com.    IN    A    64.164.97.0
dhsebiat.www.pku.com.    IN    A    112.181.94.104
lxpekwdb.www.pku.com.    IN    A    173.20.170.180
imcukrah.www.pku.com.    IN    A    244.155.95.210
autfbcml.www.pku.com.    IN    A    69.73.183.160
ngyqerxo.www.pku.com.    IN    A    188.37.35.80
kncqtlwp.www.pku.com.    IN    A    184.118.245.74
vhefugxo.www.pku.com.    IN    A    108.46.126.131
xrswfhol.www.pku.com.    IN    A    39.252.25.0
gbkscimx.www.pku.com.    IN    A    207.216.44.32
evwkljpn.www.pku.com.    IN    A    145.163.161.111
bxpnilkh.www.pku.com.    IN    A    215.147.179.100
ilrgchkv.www.pku.com.    IN    A    120.176.66.8
ixqhjwls.www.pku.com.    IN    A    236.210.133.36
rgsfdeoj.www.pku.com.    IN    A    17.222.160.244
qkobhxsv.www.pku.com.    IN    A    190.64.96.126
bekxhnoy.www.pku.com.    IN    A    70.75.61.210
huodblvf.www.pku.com.    IN    A    234.14.36.166
fvwiprod.www.pku.com.    IN    A    234.132.208.231
qhplojdf.www.pku.com.    IN    A    30.166.35.182
oxwuhsln.www.pku.com.    IN    A    116.26.163.155
rmfgbhni.www.pku.com.    IN    A    134.123.147.118
txqvolki.www.pku.com.    IN    A    206.23.116.230
lhntaqju.www.pku.com.    IN    A    144.241.68.197
npjdoriu.www.pku.com.    IN    A    197.93.116.19
xcoqglhj.www.pku.com.    IN    A    131.125.44.134
ehjxqtiy.www.pku.com.    IN    A    35.161.78.191
xurenspv.www.pku.com.    IN    A    32.19.102.123
gotrpcdw.www.pku.com.    IN    A    70.142.246.115
crodmafl.www.pku.com.    IN    A    224.119.81.83
xfrpcgvi.www.pku.com.    IN    A    16.118.65.8
rskyqahx.www.pku.com.    IN    A    17.108.76.107
dqckesmb.www.pku.com.    IN    A    132.138.91.127
mdpqxbtg.www.pku.com.    IN    A    146.242.164.42
qjudwife.www.pku.com.    IN    A    197.11.9.88
jbdvmywl.www.pku.com.    IN    A    206.207.142.133
iyhdsgml.www.pku.com.    IN    A    98.67.100.208
pjtcbsvm.www.pku.com.    IN    A    237.88.65.129
ejstriqd.www.pku.com.    IN    A    43.33.38.77
lxdtoqch.www.pku.com.    IN    A    100.128.143.246
khabycfp.www.pku.com.    IN    A    166.161.51.133
honfrvsw.www.pku.com.    IN    A    93.87.141.56
xdtvogsp.www.pku.com.    IN    A    240.192.232.145
hbdfguxo.www.pku.com.    IN    A    30.3.143.22
jyintmos.www.pku.com.    IN    A    41.102.32.92
uatexqcg.www.pku.com.    IN    A    75.65.206.217
vynkombq.www.pku.com.    IN    A    61.251.21.65
qjgepaxr.www.pku.com.    IN    A    143.224.240.143
goypachw.www.pku.com.    IN    A    249.38.3.253
matlfwsh.www.pku.com.    IN    A    48.41.33.28
yhxigwsn.www.pku.com.    IN    A    175.28.4.138
dpahjgkx.www.pku.com.    IN    A    184.35.63.130
oqghstmd.www.pku.com.    IN    A    157.160.12.174
stuqpfxl.www.pku.com.    IN    A    188.234.249.218
sojhxpnc.www.pku.com.    IN    A    176.86.94.1
yusowcdl.www.pku.com.    IN    A    123.134.176.123
dwngtrij.www.pku.com.    IN    A    177.218.199.195
sqwjcryx.www.pku.com.    IN    A    187.86.124.21
hgoljriu.www.pku.com.    IN    A    213.41.163.124
slfcmoyg.www.pku.com.    IN    A    227.167.131.65
foxlytdp.www.pku.com.    IN    A    79.232.183.170
ypitxbqw.www.pku.com.    IN    A    170.133.80.18
qwkprxhj.www.pku.com.    IN    A    72.137.180.93
snlwpaqe.www.pku.com.    IN    A    123.47.31.156
honsawrj.www.pku.com.    IN    A    138.210.53.194
rbxanfet.www.pku.com.    IN    A    216.39.234.236
lhgkyxbe.www.pku.com.    IN    A    179.16.21.240
eduflrob.www.pku.com.    IN    A    247.91.232.72
symnlcwh.www.pku.com.    IN    A    2.249.159.155
uswlecpj.www.pku.com.    IN    A    5.58.20.200
xrgwplbi.www.pku.com.    IN    A    17.37.187.40
kcvmxfqt.www.pku.com.    IN    A    190.223.230.229
nsjchbda.www.pku.com.    IN    A    153.97.165.203
mjdlwghi.www.pku.com.    IN    A    230.199.213.219
tmerqnlx.www.pku.com.    IN    A    103.225.245.21
iqmvpxsa.www.pku.com.    IN    A    55.125.4.231
modlsyuf.www.pku.com.    IN    A    138.255.133.181
omaydplq.www.pku.com.    IN    A    62.132.207.69
xcjeubkw.www.pku.com.    IN    A    203.32.99.143
tkrpfqld.www.pku.com.    IN    A    223.99.208.53
hjnbqovm.www.pku.com.    IN    A    169.217.201.220
karcodim.www.pku.com.    IN    A    210.77.65.204
tbgwhvps.www.pku.com.    IN    A    238.107.74.164
nqmbxolk.www.pku.com.    IN    A    250.157.56.135
gqklamds.www.pku.com.    IN    A    30.170.152.132
oabdgwkq.www.pku.com.    IN    A    184.66.214.224
wdiqfclu.www.pku.com.    IN    A    10.145.53.24
gcqavrme.www.pku.com.    IN    A    243.32.150.5
fatejlvh.www.pku.com.    IN    A    116.186.106.39
dyhauqli.www.pku.com.    IN    A    114.84.216.25
qanelkjw.www.pku.com.    IN    A    111.4.252.50
sngkhumd.www.pku.com.    IN    A    236.121.191.229
ygjhwuom.www.pku.com.    IN    A    138.141.223.98
isfugnbo.www.pku.com.    IN    A    214.223.33.147
lcqexfwo.www.pku.com.    IN    A    191.209.138.202
oehrmvlt.www.pku.com.    IN    A    38.232.73.47
aewfymir.www.pku.com.    IN    A    178.163.146.12
wexfvbpg.www.pku.com.    IN    A    128.25.136.0
rgsamodi.www.pku.com.    IN    A    119.39.152.205
dnkscrhw.www.pku.com.    IN    A    210.202.61.241
vlasuepq.www.pku.com.    IN    A    9.192.181.13
cvyhilkt.www.pku.com.    IN    A    209.53.125.197
hcgtwvix.www.pku.com.    IN    A    159.216.40.132
gyeuxplf.www.pku.com.    IN    A    67.188.166.95
rjevmpat.www.pku.com.    IN    A    166.123.106.227
haxpcbtm.www.pku.com.    IN    A    91.248.20.124
kilueohp.www.pku.com.    IN    A    63.229.162.227
rcpvxowi.www.pku.com.    IN    A    30.217.138.196
eyfcurol.www.pku.com.    IN    A    103.228.102.155
tkwmxphg.www.pku.com.    IN    A    192.245.217.87
unlbrayw.www.pku.com.    IN    A    130.20.207.111
mnkaclqr.www.pku.com.    IN    A    118.188.78.132
hytxwvdp.www.pku.com.    IN    A    36.234.155.202
rwabptix.www.pku.com.    IN    A    224.137.163.54
ruygvohp.www.pku.com.    IN    A    143.246.0.30
xijcptys.www.pku.com.    IN    A    48.28.60.56
svhatfci.www.pku.com.    IN    A    162.150.28.115
inpxybvt.www.pku.com.    IN    A    95.157.251.101
aqvksgum.www.pku.com.    IN    A    189.15.105.39
uaxlkhnc.www.pku.com.    IN    A    222.247.137.147
kajiuots.www.pku.com.    IN    A    27.119.42.71
bpduefji.www.pku.com.    IN    A    210.201.160.19
tmorbigd.www.pku.com.    IN    A    8.232.52.9
jedfobug.www.pku.com.    IN    A    243.237.153.20
drlejhna.www.pku.com.    IN    A    246.22.130.7
pmwynbch.www.pku.com.    IN    A    247.137.28.4
yjkswfdi.www.pku.com.    IN    A    96.131.82.73
clruhfbe.www.pku.com.    IN    A    228.42.167.114
pmfroejq.www.pku.com.    IN    A    89.218.25.46
gtxlpohj.www.pku.com.    IN    A    166.250.46.53
jplyqcei.www.pku.com.    IN    A    1.99.44.253
byagkcvx.www.pku.com.    IN    A    27.74.122.247
pqwerykc.www.pku.com.    IN    A    25.85.17.36
dhngmutl.www.pku.com.    IN    A    255.182.41.175
gvlrqxcd.www.pku.com.    IN    A    142.210.125.30
mabucewn.www.pku.com.    IN    A    45.147.179.91
wxdatoqs.www.pku.com.    IN    A    253.44.185.199
wfktcsyh.www.pku.com.    IN    A    9.1.9.5
dtpcabrs.www.pku.com.    IN    A    235.73.233.221
dqrfypsu.www.pku.com.    IN    A    1.118.113.75
qsglxyiw.www.pku.com.    IN    A    72.68.202.10
uefoaltv.www.pku.com.    IN    A    231.11.37.202
fhmtbvyq.www.pku.com.    IN    A    82.116.152.233
msruyqpb.www.pku.com.    IN    A    65.21.64.20
epfurokj.www.pku.com.    IN    A    242.9.227.199
djnhtrml.www.pku.com.    IN    A    34.170.62.226
nalmxhoc.www.pku.com.    IN    A    72.164.135.35
vrlmftnw.www.pku.com.    IN    A    20.156.47.176
racieygp.www.pku.com.    IN    A    215.48.49.195
akcvixqm.www.pku.com.    IN    A    146.27.190.100
xytwqsbi.www.pku.com.    IN    A    106.114.197.246
kgtpliju.www.pku.com.    IN    A    122.41.29.214
mjhnlgbf.www.pku.com.    IN    A    149.169.84.28
pjdxfveh.www.pku.com.    IN    A    141.31.176.97
amdrgtkq.www.pku.com.    IN    A    102.69.39.0
pdrmlhxu.www.pku.com.    IN    A    22.193.84.230
tsramfel.www.pku.com.    IN    A    127.72.196.8
gawlxken.www.pku.com.    IN    A    17.219.9.78
gxwqfjpl.www.pku.com.    IN    A    36.82.121.252
tlxumehq.www.pku.com.    IN    A    50.158.39.190
tpdyrneg.www.pku.com.    IN    A    89.84.204.68
leofvtiy.www.pku.com.    IN    A    97.252.106.120
xubdipkq.www.pku.com.    IN    A    73.220.76.40
fbcoykud.www.pku.com.    IN    A    151.254.250.91
hrfuseyx.www.pku.com.    IN    A    126.21.4.174
avgotfxr.www.pku.com.    IN    A    193.44.156.83
egbfkxns.www.pku.com.    IN    A    77.171.141.22
uhbscwiq.www.pku.com.    IN    A    202.226.191.146
nlgiwpbr.www.pku.com.    IN    A    137.195.173.54
gxfotbvr.www.pku.com.    IN    A    108.106.16.2
oynvmleb.www.pku.com.    IN    A    59.211.226.165
vomwpbtf.www.pku.com.    IN    A    72.206.229.95
cqnefkyj.www.pku.com.    IN    A    82.237.51.131
btogvwda.www.pku.com.    IN    A    212.85.66.61
ieqycgvm.www.pku.com.    IN    A    148.23.121.195
bjakpoih.www.pku.com.    IN    A    232.94.37.146
emvgtdik.www.pku.com.    IN    A    31.97.193.150
inldykcu.www.pku.com.    IN    A    231.251.123.170
elahkinu.www.pku.com.    IN    A    61.47.69.165
mlogisav.www.pku.com.    IN    A    40.80.92.51
cxkgwvlr.www.pku.com.    IN    A    234.101.68.233
wikjsbay.www.pku.com.    IN    A    87.202.137.71
rlytvjhw.www.pku.com.    IN    A    159.106.219.42
cynqaohs.www.pku.com.    IN    A    251.208.3.195
ycoaxjvm.www.pku.com.    IN    A    54.4.49.36
btlvqnfo.www.pku.com.    IN    A    155.211.253.236
dvtcgmbp.www.pku.com.    IN    A    135.22.219.160
jqexnsfk.www.pku.com.    IN    A    47.143.169.73
ocalrfks.www.pku.com.    IN    A    108.117.183.12
jndomwiy.www.pku.com.    IN    A    248.116.221.42
woekyilv.www.pku.com.    IN    A    0.186.81.110
bfoexpkv.www.pku.com.    IN    A    100.177.22.120
hbswlpua.www.pku.com.    IN    A    162.176.50.103
tfjibkew.www.pku.com.    IN    A    72.21.205.210
bpxluvoa.www.pku.com.    IN    A    107.205.186.154
mayiqebc.www.pku.com.    IN    A    5.242.152.227
lkscibeu.www.pku.com.    IN    A    187.244.137.138
ujexlcvb.www.pku.com.    IN    A    113.224.37.15
qngcixmf.www.pku.com.    IN    A    2.210.144.111
gpcmtrfa.www.pku.com.    IN    A    151.206.110.198
vjhlemwt.www.pku.com.    IN    A    69.190.175.154
qncukoiv.www.pku.com.    IN    A    246.162.251.188
mpfolajh.www.pku.com.    IN    A    219.37.172.248
avcngpwb.www.pku.com.    IN    A    115.248.172.75
quxketim.www.pku.com.    IN    A    10.128.29.91
qryaoldm.www.pku.com.    IN    A    161.252.82.147
exwfihut.www.pku.com.    IN    A    9.235.234.189
ljfdorbq.www.pku.com.    IN    A    228.87.140.54
jbcfeous.www.pku.com.    IN    A    94.93.239.124
tkbgywjn.www.pku.com.    IN    A    237.209.27.219
gkwrsxih.www.pku.com.    IN    A    104.125.42.2
luejbqst.www.pku.com.    IN    A    34.155.236.202
kgqpvcsr.www.pku.com.    IN    A    236.2.235.168
xituflej.www.pku.com.    IN    A    244.164.239.40
pwjmvqrk.www.pku.com.    IN    A    68.30.33.29
lbsioqcj.www.pku.com.    IN    A    60.161.226.91
vhaeiloy.www.pku.com.    IN    A    82.14.167.34
gkpfvcoy.www.pku.com.    IN    A    149.187.138.125
wmspuxfl.www.pku.com.    IN    A    51.41.63.73
redahxcl.www.pku.com.    IN    A    134.142.106.38
rnwgmvia.www.pku.com.    IN    A    17.137.251.104
vftkdypg.www.pku.com.    IN    A    106.1.57.78
emrackun.www.pku.com.    IN    A    11.82.74.239
pmleowbk.www.pku.com.    IN    A    98.141.234.31
gjrkhioe.www.pku.com.    IN    A    197.58.79.54
ptodcimu.www.pku.com.    IN    A    204.157.38.127
eofxgina.www.pku.com.    IN    A    200.255.168.61
udwryhcb.www.pku.com.    IN    A    135.147.18.185
yehuxcfv.www.pku.com.    IN    A    0.227.167.175
abmqufcy.www.pku.com.    IN    A    155.33.125.232
qdirstuj.www.pku.com.    IN    A    12.243.230.82
agqdlnph.www.pku.com.    IN    A    188.38.154.180
yurjxbqm.www.pku.com.    IN    A    129.195.225.206
bdkjcxol.www.pku.com.    IN    A    152.205.12.134
fvgbpuhm.www.pku.com.    IN    A    96.205.211.171
yksbdhri.www.pku.com.    IN    A    109.123.95.95
nrvljdko.www.pku.com.    IN    A    182.48.25.171
aexgkmlf.www.pku.com.    IN    A    197.158.184.151
cnhmjuvx.www.pku.com.    IN    A    178.250.119.14
bdefpkxl.www.pku.com.    IN    A    107.47.61.51
prygewxj.www.pku.com.    IN    A    97.220.9.2
ybucfeiq.www.pku.com.    IN    A    15.154.174.125
fpjsutea.www.pku.com.    IN    A    207.28.148.123
xyklawhg.www.pku.com.    IN    A    115.239.63.129
stnrfjoh.www.pku.com.    IN    A    91.140.40.167
mdnuftkr.www.pku.com.    IN    A    31.237.95.125
cfnuawkg.www.pku.com.    IN    A    67.34.1.100
ixyjlkge.www.pku.com.    IN    A    224.135.76.167
fvhmgutk.www.pku.com.    IN    A    209.155.221.147
wdtakhym.www.pku.com.    IN    A    153.34.63.37
hwymcdpq.www.pku.com.    IN    A    17.78.109.123
wnqagfhy.www.pku.com.    IN    A    227.96.238.170
fxtgwvnd.www.pku.com.    IN    A    28.198.216.186
bmtecsgi.www.pku.com.    IN    A    253.60.84.104
meovikdc.www.pku.com.    IN    A    175.97.45.46
felmwyba.www.pku.com.    IN    A    249.66.229.173
eqfvjhca.www.pku.com.    IN    A    169.39.29.196
yimkhaco.www.pku.com.    IN    A    242.93.224.7
ktfqwjls.www.pku.com.    IN    A    147.23.9.99
xltbnfpm.www.pku.com.    IN    A    213.180.95.159
vbwasfdh.www.pku.com.    IN    A    74.165.7.35
hitvrjem.www.pku.com.    IN    A    121.252.108.68
dwoempxa.www.pku.com.    IN    A    87.13.183.29
fkjmdclh.www.pku.com.    IN    A    240.215.205.24
najkrspc.www.pku.com.    IN    A    38.137.235.235
ybdtusnv.www.pku.com.    IN    A    30.84.170.90
atkojhec.www.pku.com.    IN    A    155.134.226.138
jgqmdfin.www.pku.com.    IN    A    76.77.252.128
xlfqokpu.www.pku.com.    IN    A    156.181.223.190
rwchmneb.www.pku.com.    IN    A    198.47.92.105
rjqsydwk.www.pku.com.    IN    A    34.226.176.1
uwcghkms.www.pku.com.    IN    A    130.146.33.57
pgaxnmcj.www.pku.com.    IN    A    213.193.175.118
dstgoueb.www.pku.com.    IN    A    170.208.248.148
wxsfibue.www.pku.com.    IN    A    34.55.153.15
itkrpqmn.www.pku.com.    IN    A    81.62.242.127
qbyprnsd.www.pku.com.    IN    A    175.141.181.80
rpwjvyeg.www.pku.com.    IN    A    241.103.197.112
wampifor.www.pku.com.    IN    A    58.196.11.134
tcljundk.www.pku.com.    IN    A    47.46.249.211
cwqftgae.www.pku.com.    IN    A    154.223.66.209
uesfyxkw.www.pku.com.    IN    A    61.138.74.226
bhduxnci.www.pku.com.    IN    A    15.170.185.19
macyxrpe.www.pku.com.    IN    A    34.97.230.118
kstuwhbm.www.pku.com.    IN    A    179.68.33.255
khidwbyq.www.pku.com.    IN    A    204.49.134.148
nwxqbmjt.www.pku.com.    IN    A    178.156.1.93
oksqgmav.www.pku.com.    IN    A    31.84.141.229
cukqfedy.www.pku.com.    IN    A    144.227.85.110
xtfskvbm.www.pku.com.    IN    A    195.153.20.237
kohqavsd.www.pku.com.    IN    A    142.44.22.227
axiftunp.www.pku.com.    IN    A    190.75.37.82
ojyprlkt.www.pku.com.    IN    A    192.231.20.24
exionaug.www.pku.com.    IN    A    199.137.118.4
hltxrbso.www.pku.com.    IN    A    103.147.225.49
gvojpycl.www.pku.com.    IN    A    214.198.175.127
myacxvje.www.pku.com.    IN    A    77.145.115.86
qdlspxfh.www.pku.com.    IN    A    120.77.25.19
cpmxwygn.www.pku.com.    IN    A    90.33.56.227
ouvwdgyr.www.pku.com.    IN    A    17.29.247.200
wtlqfnuv.www.pku.com.    IN    A    117.162.102.231
aqkxirbf.www.pku.com.    IN    A    133.69.56.78
aycjshqo.www.pku.com.    IN    A    228.100.19.141
gevlfqph.www.pku.com.    IN    A    41.245.88.143
pldcyhnj.www.pku.com.    IN    A    253.202.252.122
wqmixdjk.www.pku.com.    IN    A    216.64.69.218
fcthwjnv.www.pku.com.    IN    A    23.37.71.32
nfxmpode.www.pku.com.    IN    A    10.149.13.221
lmiojxsf.www.pku.com.    IN    A    249.141.64.9
yijhgkol.www.pku.com.    IN    A    24.78.58.161
xboltdne.www.pku.com.    IN    A    234.168.29.131
lmvwdkuy.www.pku.com.    IN    A    99.79.132.33
osumhpae.www.pku.com.    IN    A    240.251.123.126
xrqmkdvp.www.pku.com.    IN    A    198.43.11.81
qivrsoay.www.pku.com.    IN    A    121.89.246.232
lgtkrbnd.www.pku.com.    IN    A    104.184.68.80
wrcufoyn.www.pku.com.    IN    A    212.109.125.238
mxuvfjka.www.pku.com.    IN    A    135.235.194.25
xivbsrhc.www.pku.com.    IN    A    160.78.165.225
oxajshcv.www.pku.com.    IN    A    122.197.228.78
dcjtemol.www.pku.com.    IN    A    81.206.59.25
abvfpqyo.www.pku.com.    IN    A    51.28.250.12
xvdfsgae.www.pku.com.    IN    A    1.183.60.96
lrpcqkst.www.pku.com.    IN    A    163.117.188.197
jbdkcgno.www.pku.com.    IN    A    90.209.251.62
ipqockrb.www.pku.com.    IN    A    49.167.27.91
