; <<>> DiG 9.11.3-1ubuntu1.11-Ubuntu <<>> AXFR lzu.com. @ns2.lzu.edu.
;; global options: +cmd

@               			      14400 IN SOA	ns1.lzu.com. james.lzu.edu. 19122302 14400 3600 2419200 14400
lzu.com.			      14400 IN NS	ns1.lzu.com.
ns1.lzu.com.			      14400 IN A	10.166.21.12

www.lzu.com.		      14400 IN NS	ns1.www.lzu.com.
ns1.www.lzu.com.		      14400 IN A		10.166.21.13

xw.lzu.com.		      14400 IN NS	ns1.xw.lzu.com.
ns1.xw.lzu.com.		      14400 IN A		10.166.21.14

zheshexi.lzu.com.		      14400 IN NS	ns1.zheshexi.lzu.com.
ns1.zheshexi.lzu.com.		      14400 IN A		10.166.21.15

lzu.com.			      14400 IN MX	10 zheshexitp.lzu.edu.
lzu.com.			      14400 IN TXT	"v=spf1 a mx ~all"
umetfyan.lzu.com.        IN    A    120.17.146.216
nytomabx.lzu.com.        IN    A    83.144.69.77
ydsxmwbk.lzu.com.        IN    A    195.21.180.107
urkcnswx.lzu.com.        IN    A    158.121.226.229
vpckhbfi.lzu.com.        IN    A    72.86.249.60
kcnsovxw.lzu.com.        IN    A    47.126.172.16
pxumbeag.lzu.com.        IN    A    30.203.232.204
kvqafgnr.lzu.com.        IN    A    47.36.207.8
opedjgit.lzu.com.        IN    A    179.161.191.2
ayxwmuge.lzu.com.        IN    A    116.35.63.207
lxsidajq.lzu.com.        IN    A    99.57.115.167
qbjnxgfo.lzu.com.        IN    A    187.177.249.11
fudtesom.lzu.com.        IN    A    231.198.178.114
xnadohmi.lzu.com.        IN    A    241.194.127.106
bgfejotu.lzu.com.        IN    A    83.149.29.126
rvwkbfxj.lzu.com.        IN    A    250.179.221.10
hkfderjw.lzu.com.        IN    A    93.236.231.129
fjgiwans.lzu.com.        IN    A    70.49.126.126
dafhxntl.lzu.com.        IN    A    30.12.116.216
xhnribed.lzu.com.        IN    A    59.4.37.198
bhovemsu.lzu.com.        IN    A    185.234.98.137
pehlaqci.lzu.com.        IN    A    48.142.61.222
sdejqcya.lzu.com.        IN    A    206.92.141.251
vikoqxsr.lzu.com.        IN    A    159.48.151.93
dvhqsrux.lzu.com.        IN    A    188.178.131.25
gbaxdfhw.lzu.com.        IN    A    146.198.157.54
uelwjgmv.lzu.com.        IN    A    132.241.20.81
wvsidceb.lzu.com.        IN    A    162.219.113.184
mcgijunb.lzu.com.        IN    A    198.76.125.110
kdseyoif.lzu.com.        IN    A    113.27.15.96
pukclijq.lzu.com.        IN    A    241.82.244.123
mdjeliwk.lzu.com.        IN    A    190.110.129.62
xiahmwlb.lzu.com.        IN    A    212.64.255.41
yocukarq.lzu.com.        IN    A    234.157.29.30
jakvdsmr.lzu.com.        IN    A    134.249.169.41
pevlnotq.lzu.com.        IN    A    36.113.210.5
cfostlkq.lzu.com.        IN    A    107.219.5.115
qtlrajfi.lzu.com.        IN    A    33.230.203.185
ekvfpujn.lzu.com.        IN    A    53.58.169.65
obvqghan.lzu.com.        IN    A    99.135.63.8
iomxaprk.lzu.com.        IN    A    195.214.96.156
tmwoluhv.lzu.com.        IN    A    27.83.11.212
mfksqxni.lzu.com.        IN    A    49.245.13.238
bcjyahns.lzu.com.        IN    A    178.90.120.134
tpicdafx.lzu.com.        IN    A    110.137.170.112
jlskovbp.lzu.com.        IN    A    100.225.118.93
cjresliv.lzu.com.        IN    A    87.21.174.134
xngpeqwl.lzu.com.        IN    A    80.71.231.196
dktqcemy.lzu.com.        IN    A    5.146.183.132
fhoaeycw.lzu.com.        IN    A    253.83.30.44
vngedqof.lzu.com.        IN    A    97.151.189.5
rwmyuvxd.lzu.com.        IN    A    105.9.116.122
lqniweat.lzu.com.        IN    A    56.105.199.104
hjcfvupn.lzu.com.        IN    A    111.227.158.185
hagiyclx.lzu.com.        IN    A    38.229.64.203
scrplgiw.lzu.com.        IN    A    220.115.63.165
ykrljnsf.lzu.com.        IN    A    74.25.223.17
omdufjha.lzu.com.        IN    A    89.233.183.73
mtgepoyn.lzu.com.        IN    A    151.149.1.8
chmakwev.lzu.com.        IN    A    1.55.215.14
ivrfethk.lzu.com.        IN    A    25.168.189.87
cfkijogw.lzu.com.        IN    A    145.240.108.253
efjlbwpd.lzu.com.        IN    A    228.142.139.141
eygwfhcm.lzu.com.        IN    A    145.54.87.114
glvjtbqr.lzu.com.        IN    A    193.186.238.255
fwackohb.lzu.com.        IN    A    188.152.48.41
idwpymca.lzu.com.        IN    A    206.79.124.63
pvselkyj.lzu.com.        IN    A    84.160.254.237
athxrslu.lzu.com.        IN    A    244.90.118.180
lmkfcyhj.lzu.com.        IN    A    209.232.88.197
indfyeho.lzu.com.        IN    A    237.4.105.100
mkuvbxtw.lzu.com.        IN    A    64.206.153.231
hpjneadx.lzu.com.        IN    A    215.76.37.251
fgxnlqra.lzu.com.        IN    A    184.91.145.16
ngryobjx.lzu.com.        IN    A    174.175.95.31
htjecwlr.lzu.com.        IN    A    220.213.86.38
kcnisjmh.lzu.com.        IN    A    131.136.131.147
jpifmhbl.lzu.com.        IN    A    85.180.136.16
sodxlvmc.lzu.com.        IN    A    162.55.11.107
isahmkfq.lzu.com.        IN    A    225.216.101.247
ekapbxym.lzu.com.        IN    A    63.118.77.93
fkicnrxl.lzu.com.        IN    A    1.73.221.155
uyponrtj.lzu.com.        IN    A    100.128.248.30
ciknfuxp.lzu.com.        IN    A    46.94.141.119
lakfjdsw.lzu.com.        IN    A    204.127.59.247
thmodcwy.lzu.com.        IN    A    58.143.50.138
drolpfxs.lzu.com.        IN    A    202.231.64.237
dqxeocbm.lzu.com.        IN    A    112.60.68.34
nxaeirqd.lzu.com.        IN    A    119.177.144.167
xqartgej.lzu.com.        IN    A    3.67.14.140
eqsmriwy.lzu.com.        IN    A    217.48.186.49
jbvisnqx.lzu.com.        IN    A    114.244.196.249
vhfwatng.lzu.com.        IN    A    246.48.69.34
ybadeuxo.lzu.com.        IN    A    0.81.224.29
apogfyrd.lzu.com.        IN    A    60.243.184.127
aiokghcy.lzu.com.        IN    A    17.213.155.159
ltfvdspg.lzu.com.        IN    A    138.8.26.205
btxiluvc.lzu.com.        IN    A    114.213.51.96
grxynskp.lzu.com.        IN    A    104.240.110.213
fnqpvgsc.lzu.com.        IN    A    84.110.235.95
pltcygdn.lzu.com.        IN    A    116.174.47.51
vbutrldf.lzu.com.        IN    A    104.11.218.96
rgudhyev.lzu.com.        IN    A    44.36.118.253
bumoreaj.lzu.com.        IN    A    188.148.161.90
ulkehnox.lzu.com.        IN    A    158.242.46.158
ckdpslht.lzu.com.        IN    A    131.70.210.35
gjqcelpd.lzu.com.        IN    A    114.116.174.247
odgqftvw.lzu.com.        IN    A    153.20.23.211
athnobvw.lzu.com.        IN    A    191.247.172.87
xiypcmdk.lzu.com.        IN    A    115.65.54.189
hiaegkqu.lzu.com.        IN    A    166.49.169.188
pumilsbg.lzu.com.        IN    A    110.171.53.199
btiunfps.lzu.com.        IN    A    181.145.102.35
brkgdsae.lzu.com.        IN    A    72.201.114.149
dyjwtlvc.lzu.com.        IN    A    128.214.254.68
mtjvwsdn.lzu.com.        IN    A    27.123.54.37
sikdpvjx.lzu.com.        IN    A    229.164.126.213
jktapsfm.lzu.com.        IN    A    65.152.197.133
rajyqdbt.lzu.com.        IN    A    227.123.195.190
ruibnesx.lzu.com.        IN    A    164.184.202.219
wltumsik.lzu.com.        IN    A    197.100.174.217
wpbkcqvr.lzu.com.        IN    A    39.53.129.182
awpmjokf.lzu.com.        IN    A    223.129.131.93
ovushkat.lzu.com.        IN    A    177.209.232.225
qtvcwghj.lzu.com.        IN    A    178.220.247.87
rnfpgiev.lzu.com.        IN    A    24.10.241.198
pjevroqi.lzu.com.        IN    A    79.161.79.217
fqstujwl.lzu.com.        IN    A    103.69.108.99
eflgkoir.lzu.com.        IN    A    28.207.87.152
jxrpyfvb.lzu.com.        IN    A    135.253.236.203
oytbwvdg.lzu.com.        IN    A    141.221.48.2
ecgbqpra.lzu.com.        IN    A    158.23.162.44
xvrdlcpu.lzu.com.        IN    A    45.33.141.92
oscwqlva.lzu.com.        IN    A    235.237.9.113
pwcrojqn.lzu.com.        IN    A    96.155.152.55
owgdlkms.lzu.com.        IN    A    232.90.98.167
jpfbrlva.lzu.com.        IN    A    149.42.66.131
loighxnj.lzu.com.        IN    A    208.75.111.58
focvxrph.lzu.com.        IN    A    46.53.182.147
phqjuwns.lzu.com.        IN    A    38.142.153.79
luebknwi.lzu.com.        IN    A    73.168.250.16
osaxencr.lzu.com.        IN    A    222.53.10.237
hjvkqcyd.lzu.com.        IN    A    250.171.255.232
gjaxspcf.lzu.com.        IN    A    213.196.228.208
udyojhsi.lzu.com.        IN    A    83.214.1.193
nhdigkms.lzu.com.        IN    A    90.238.234.37
mtgrybjo.lzu.com.        IN    A    235.77.213.46
raildnwk.lzu.com.        IN    A    223.75.254.57
mtdischy.lzu.com.        IN    A    230.89.242.4
coljktiq.lzu.com.        IN    A    226.162.65.147
rdtfpeby.lzu.com.        IN    A    213.5.111.212
kugytjvn.lzu.com.        IN    A    99.129.66.39
xiukvwnr.lzu.com.        IN    A    214.125.141.56
uvsmowxp.lzu.com.        IN    A    107.59.102.229
rawelsvc.lzu.com.        IN    A    30.51.180.90
kcvimpsw.lzu.com.        IN    A    143.79.135.244
ypbejwhq.lzu.com.        IN    A    56.82.135.58
tdvqxcyp.lzu.com.        IN    A    2.126.11.226
xfedamog.lzu.com.        IN    A    146.76.6.116
mhwoexki.lzu.com.        IN    A    84.16.74.179
scpvatkf.lzu.com.        IN    A    23.23.233.24
ruolpmdh.lzu.com.        IN    A    128.39.140.1
ymvktrsx.lzu.com.        IN    A    24.221.168.216
khyqsdmu.lzu.com.        IN    A    101.185.42.89
mkxrnvph.lzu.com.        IN    A    225.242.170.204
vhbdupst.lzu.com.        IN    A    137.26.34.92
vpsyfhua.lzu.com.        IN    A    9.11.68.142
qoendsyh.lzu.com.        IN    A    58.30.241.68
dfucsoli.lzu.com.        IN    A    18.190.215.113
tdpsiufx.lzu.com.        IN    A    65.146.101.187
kbtxmyin.lzu.com.        IN    A    38.44.52.191
rpaygxbs.lzu.com.        IN    A    159.251.203.137
ioqrcmxa.lzu.com.        IN    A    30.84.248.204
mtpsuerq.lzu.com.        IN    A    43.236.252.187
emtwqgui.lzu.com.        IN    A    231.70.86.235
kiqhxyue.lzu.com.        IN    A    7.132.23.238
cryvbuxq.lzu.com.        IN    A    201.75.49.185
ahktwrln.lzu.com.        IN    A    202.217.53.65
qpxkwvao.lzu.com.        IN    A    39.136.3.242
rpwnimeq.lzu.com.        IN    A    6.153.24.236
vfeqgmxd.lzu.com.        IN    A    151.157.49.61
fhrktgon.lzu.com.        IN    A    161.139.185.102
akpobdrq.lzu.com.        IN    A    171.232.193.122
tyvgfemc.lzu.com.        IN    A    15.115.201.165
yjwtnims.lzu.com.        IN    A    181.255.164.10
qtfodbip.lzu.com.        IN    A    5.45.81.116
avbeiqsu.lzu.com.        IN    A    173.176.50.69
oqhgxymn.lzu.com.        IN    A    57.118.181.133
ofkhbria.lzu.com.        IN    A    180.211.168.116
vdbueioa.lzu.com.        IN    A    154.219.200.19
vwearikq.lzu.com.        IN    A    29.101.85.83
dfhmxvae.lzu.com.        IN    A    32.141.92.109
pcmojewi.lzu.com.        IN    A    89.66.206.8
skgqcdel.lzu.com.        IN    A    91.162.54.184
sojdtvrh.lzu.com.        IN    A    243.167.222.89
vkhtsfem.lzu.com.        IN    A    160.0.25.188
gwqmvkde.lzu.com.        IN    A    86.170.162.33
lrectnsv.lzu.com.        IN    A    191.141.255.185
iceqvfjo.lzu.com.        IN    A    60.38.155.31
rpwsohqj.lzu.com.        IN    A    131.21.237.57
flnjmqag.lzu.com.        IN    A    84.162.11.180
acrhgkto.lzu.com.        IN    A    46.85.130.242
ngbludxj.lzu.com.        IN    A    224.134.149.6
wqbpsgrm.lzu.com.        IN    A    67.53.47.146
dhgkjvew.lzu.com.        IN    A    220.7.204.243
ourkdhbt.lzu.com.        IN    A    134.0.240.202
oidcpbfr.lzu.com.        IN    A    221.13.180.180
dcrnmtqe.lzu.com.        IN    A    166.195.43.197
fkcwtgin.lzu.com.        IN    A    84.108.39.142
ohdgewnv.lzu.com.        IN    A    84.220.107.160
ngybuseo.lzu.com.        IN    A    131.0.39.85
eajwciuq.lzu.com.        IN    A    24.90.1.182
lstdhkne.lzu.com.        IN    A    176.222.117.194
tgpsbhdi.lzu.com.        IN    A    196.161.138.50
yrjsopik.lzu.com.        IN    A    42.127.68.170
dngxwmvo.lzu.com.        IN    A    132.117.224.233
tdfejcvi.lzu.com.        IN    A    135.78.174.202
nxsrhiwm.lzu.com.        IN    A    54.166.255.124
krfvjgtp.lzu.com.        IN    A    205.254.193.204
ykirdwnx.lzu.com.        IN    A    30.88.89.94
lritfogn.lzu.com.        IN    A    151.169.231.82
rhugycdl.lzu.com.        IN    A    225.68.107.132
pqjyawse.lzu.com.        IN    A    197.179.132.7
ajocxqsk.lzu.com.        IN    A    205.110.174.21
nsakhvcx.lzu.com.        IN    A    170.132.105.106
hsapowbv.lzu.com.        IN    A    22.157.96.2
ojigdpck.lzu.com.        IN    A    211.103.96.22
tupnbyrm.lzu.com.        IN    A    175.137.212.177
cpfymudw.lzu.com.        IN    A    208.239.194.150
xoawqnbs.lzu.com.        IN    A    7.134.225.187
lbvpxynq.lzu.com.        IN    A    100.206.74.250
kyjigqmf.lzu.com.        IN    A    104.150.179.5
rxbylkwm.lzu.com.        IN    A    120.239.61.252
wjgykpql.lzu.com.        IN    A    62.163.215.7
vbilgpxt.lzu.com.        IN    A    21.154.150.15
ovhfqtlc.lzu.com.        IN    A    195.186.131.161
vnojekgd.lzu.com.        IN    A    155.74.198.151
ygchoedu.lzu.com.        IN    A    167.210.212.182
qjywfnki.lzu.com.        IN    A    242.149.109.29
btcjlpsa.lzu.com.        IN    A    22.21.249.22
idtafopn.lzu.com.        IN    A    168.89.109.104
bikjahct.lzu.com.        IN    A    250.99.106.244
hqvubego.lzu.com.        IN    A    47.147.227.95
ofuqmgwk.lzu.com.        IN    A    49.56.19.12
rbfwvypm.lzu.com.        IN    A    0.173.183.8
elcrboga.lzu.com.        IN    A    119.48.198.195
jyofkwhv.lzu.com.        IN    A    57.248.193.125
tbnmkcvs.lzu.com.        IN    A    223.145.172.68
cfhmyido.lzu.com.        IN    A    127.141.32.164
suylqgtk.lzu.com.        IN    A    155.18.101.205
qobulchf.lzu.com.        IN    A    41.96.126.89
lmpbvyix.lzu.com.        IN    A    172.196.157.146
yrijewgt.lzu.com.        IN    A    218.133.92.198
lrgyucna.lzu.com.        IN    A    41.201.208.242
ywfauxgk.lzu.com.        IN    A    143.169.187.159
utonlgxm.lzu.com.        IN    A    245.130.49.229
fwdigbov.lzu.com.        IN    A    241.27.190.79
lyogwjra.lzu.com.        IN    A    82.94.195.17
yuspgkdm.lzu.com.        IN    A    93.219.82.102
imftxqkv.lzu.com.        IN    A    28.115.138.7
mdteqpny.lzu.com.        IN    A    159.110.90.16
lbevpcxj.lzu.com.        IN    A    144.141.35.190
pktvqsum.lzu.com.        IN    A    90.209.114.140
urwfvqxm.lzu.com.        IN    A    127.216.186.1
qkvoyang.lzu.com.        IN    A    86.34.150.226
uncoypkr.lzu.com.        IN    A    193.174.204.111
snikphbm.lzu.com.        IN    A    188.169.74.59
jcbkqpex.lzu.com.        IN    A    206.170.233.37
qwhmgnbk.lzu.com.        IN    A    227.187.109.166
hbkrqmpd.lzu.com.        IN    A    138.68.214.151
fbisypxv.lzu.com.        IN    A    67.255.188.199
cnhisvfl.lzu.com.        IN    A    245.245.63.94
cptwlaib.lzu.com.        IN    A    66.164.129.8
eqglucvd.lzu.com.        IN    A    67.78.181.172
tkchrvyo.lzu.com.        IN    A    103.69.205.12
bfnlsjyc.lzu.com.        IN    A    101.42.36.200
otwbedfp.lzu.com.        IN    A    225.65.66.121
xgbtjcew.lzu.com.        IN    A    202.207.90.20
bredipcq.lzu.com.        IN    A    83.98.159.231
nslopyhm.lzu.com.        IN    A    138.36.168.229
bfpwhvou.lzu.com.        IN    A    237.250.239.110
tfyemdwn.lzu.com.        IN    A    69.60.50.37
nwpxfhdr.lzu.com.        IN    A    110.29.28.9
qbgrepfh.lzu.com.        IN    A    63.111.75.165
vdfiopec.lzu.com.        IN    A    240.161.254.55
npxtrydq.lzu.com.        IN    A    243.36.83.230
ewqsiyuc.lzu.com.        IN    A    34.63.128.16
hprbvxuj.lzu.com.        IN    A    4.115.128.249
hcsjmrpv.lzu.com.        IN    A    117.0.115.76
tnxsqgiv.lzu.com.        IN    A    224.81.40.0
rkwebpyl.lzu.com.        IN    A    112.40.31.232
xviqjyrl.lzu.com.        IN    A    145.114.61.58
dhjlqati.lzu.com.        IN    A    122.71.12.175
xhisgynu.lzu.com.        IN    A    112.3.160.21
mkblosnv.lzu.com.        IN    A    109.119.56.42
poqtwbig.lzu.com.        IN    A    183.211.71.8
fyxeigab.lzu.com.        IN    A    76.69.16.244
xvockgpr.lzu.com.        IN    A    141.243.47.20
jghmascv.lzu.com.        IN    A    62.1.186.115
jqmwadex.lzu.com.        IN    A    243.205.103.151
dykqjega.lzu.com.        IN    A    14.201.175.63
irqpdlsj.lzu.com.        IN    A    69.73.5.193
vmdnqolt.lzu.com.        IN    A    81.192.241.31
avebpmnh.lzu.com.        IN    A    6.60.239.125
mjpgvrkd.lzu.com.        IN    A    68.131.245.206
ksamqxhr.lzu.com.        IN    A    192.64.211.79
pbadhmfv.lzu.com.        IN    A    78.87.165.222
eabodyhm.lzu.com.        IN    A    80.118.12.160
ghbslipd.lzu.com.        IN    A    74.244.44.36
mswhcfng.lzu.com.        IN    A    104.135.250.60
kmoabxcq.lzu.com.        IN    A    2.71.118.55
fbciomkw.lzu.com.        IN    A    216.123.157.245
wnemvdop.lzu.com.        IN    A    184.194.17.215
kjpufmya.lzu.com.        IN    A    53.19.243.18
advhroge.lzu.com.        IN    A    241.225.187.214
tupqxdoy.lzu.com.        IN    A    183.202.55.173
vhwtisnr.lzu.com.        IN    A    28.233.192.81
xpwlqcfu.lzu.com.        IN    A    8.216.43.127
iupknxws.lzu.com.        IN    A    246.54.69.44
kcudvasg.lzu.com.        IN    A    59.229.91.234
lurgojqb.lzu.com.        IN    A    200.199.74.195
vrklxwde.lzu.com.        IN    A    101.55.71.192
tqxhngcu.lzu.com.        IN    A    157.93.122.84
wbgxmanl.lzu.com.        IN    A    87.138.122.38
tyvbhkdp.lzu.com.        IN    A    180.4.63.98
kxuvwcgr.lzu.com.        IN    A    97.193.25.122
byqkxwcs.lzu.com.        IN    A    48.186.22.106
prcbitsd.lzu.com.        IN    A    69.119.251.203
tkevnpwb.lzu.com.        IN    A    102.30.44.212
guslrbde.lzu.com.        IN    A    17.42.199.234
jnmqyibr.lzu.com.        IN    A    246.91.230.79
mhrovtgx.lzu.com.        IN    A    196.25.206.51
kjpdbvmh.lzu.com.        IN    A    35.58.82.49
nrgbpvtu.lzu.com.        IN    A    165.194.164.10
ouqmjkip.lzu.com.        IN    A    94.18.214.6
lrkxcqfy.lzu.com.        IN    A    120.153.207.242
fmyrxpjw.lzu.com.        IN    A    25.195.204.144
fkpivoxr.lzu.com.        IN    A    116.180.229.57
dlvtxgnu.lzu.com.        IN    A    132.222.162.127
jfeyqidc.lzu.com.        IN    A    27.24.154.57
cajxlwhd.lzu.com.        IN    A    119.229.26.182
fhuigcbr.lzu.com.        IN    A    157.246.246.29
fgcnsqpr.lzu.com.        IN    A    102.229.204.204
mekopgrj.lzu.com.        IN    A    7.199.226.131
hlmybqvx.lzu.com.        IN    A    225.100.220.52
rnbmohak.lzu.com.        IN    A    250.252.254.147
qghbumpn.lzu.com.        IN    A    32.62.89.198
prgxkbdn.lzu.com.        IN    A    78.244.132.145
yirkevgu.lzu.com.        IN    A    216.151.179.197
hkgoynst.lzu.com.        IN    A    70.230.138.48
xovebisn.lzu.com.        IN    A    93.173.223.164
iacsqjvh.lzu.com.        IN    A    163.0.9.63
dnolpqce.lzu.com.        IN    A    141.4.62.190
vkdlqwto.lzu.com.        IN    A    62.65.174.245
japwnbyk.lzu.com.        IN    A    198.214.216.211
axypghlq.lzu.com.        IN    A    206.84.92.28
yoeblkhc.lzu.com.        IN    A    18.189.10.131
oldxjqew.lzu.com.        IN    A    163.9.52.97
hxvarodt.lzu.com.        IN    A    156.32.166.195
wteoxyui.lzu.com.        IN    A    30.78.90.237
gkfjdabs.lzu.com.        IN    A    68.48.156.228
bvwkygej.lzu.com.        IN    A    238.235.164.196
kjaoqecy.lzu.com.        IN    A    142.213.236.205
gskacrwx.lzu.com.        IN    A    241.183.76.151
fxheosqj.lzu.com.        IN    A    92.167.190.45
dtgwkvae.lzu.com.        IN    A    227.168.190.122
qomrpwan.lzu.com.        IN    A    186.160.64.18
dwxieumq.lzu.com.        IN    A    70.148.179.195
bumheqny.lzu.com.        IN    A    171.78.229.110
wbnsvuth.lzu.com.        IN    A    29.153.20.170
mgktyqfs.lzu.com.        IN    A    216.151.232.99
vwlobjun.lzu.com.        IN    A    183.254.134.124
rxldowhf.lzu.com.        IN    A    196.135.101.209
eacvpmox.lzu.com.        IN    A    122.56.88.67
pyfeqmbs.lzu.com.        IN    A    233.253.32.143
jfwasytu.lzu.com.        IN    A    23.111.53.23
vejlphfw.lzu.com.        IN    A    203.32.89.206
uagkcpws.lzu.com.        IN    A    34.63.99.211
jbqrfvnd.lzu.com.        IN    A    223.141.109.180
drnwtkof.lzu.com.        IN    A    58.88.12.213
hvwpfdis.lzu.com.        IN    A    78.223.38.47
pukgilhb.lzu.com.        IN    A    106.211.27.209
doeqnsib.lzu.com.        IN    A    130.149.184.245
tubrqxhs.lzu.com.        IN    A    121.86.84.132
gdlckhoj.lzu.com.        IN    A    199.137.36.86
skcioenb.lzu.com.        IN    A    174.67.85.153
dptaeivh.lzu.com.        IN    A    29.50.202.3
esbvxipj.lzu.com.        IN    A    38.214.157.171
igvymxlk.lzu.com.        IN    A    17.134.90.134
gbjowlud.lzu.com.        IN    A    109.80.25.238
psqkxoha.lzu.com.        IN    A    62.99.209.152
pjgxbfnh.lzu.com.        IN    A    62.78.100.38
wkdqrsfv.lzu.com.        IN    A    108.15.196.254
lbonuwix.lzu.com.        IN    A    234.54.215.128
oanlgswm.lzu.com.        IN    A    90.28.84.1
ubjgekht.lzu.com.        IN    A    14.11.60.134
axnylhsb.lzu.com.        IN    A    103.200.179.197
fcmidnqa.lzu.com.        IN    A    243.164.206.197
hopnaxit.lzu.com.        IN    A    115.111.234.150
qjnitkvg.lzu.com.        IN    A    216.163.136.180
sjdcrfuw.lzu.com.        IN    A    47.32.173.39
kiabqxum.lzu.com.        IN    A    33.126.244.128
aumvjqox.lzu.com.        IN    A    98.165.75.153
ajcqwlet.lzu.com.        IN    A    253.77.107.10
knmuvgrc.lzu.com.        IN    A    187.191.250.59
qgauvolt.lzu.com.        IN    A    216.130.94.34
mdnthwrl.lzu.com.        IN    A    103.84.10.129
ughlwcif.lzu.com.        IN    A    177.227.202.131
neglkpyf.lzu.com.        IN    A    236.129.158.3
rktecpql.lzu.com.        IN    A    237.181.177.31
bupmicte.lzu.com.        IN    A    254.60.229.38
fyeoqgah.lzu.com.        IN    A    228.69.91.51
aehigwbm.lzu.com.        IN    A    67.173.28.135
nmgdpwlh.lzu.com.        IN    A    102.145.180.196
vwcuilgk.lzu.com.        IN    A    25.21.13.115
blmjgrts.lzu.com.        IN    A    170.1.232.200
sgipfdqo.lzu.com.        IN    A    50.180.12.172
rfobnjas.lzu.com.        IN    A    109.196.236.106
qhymuxfp.lzu.com.        IN    A    91.162.255.170
lhovyuxj.lzu.com.        IN    A    110.226.5.151
atlrbdku.lzu.com.        IN    A    97.30.121.23
dqnmhoxc.lzu.com.        IN    A    173.135.132.1
qycfjkam.lzu.com.        IN    A    9.53.130.217
epswqjvy.lzu.com.        IN    A    96.187.141.156
aoymvlbr.lzu.com.        IN    A    214.81.248.176
viqnytmp.lzu.com.        IN    A    19.114.49.251
gmuowavc.lzu.com.        IN    A    168.73.202.96
cjpaisbx.lzu.com.        IN    A    64.138.174.235
rbhjlwan.lzu.com.        IN    A    243.203.211.25
ncmxilsr.lzu.com.        IN    A    120.241.219.89
uyprbxim.lzu.com.        IN    A    167.24.204.173
qvgmkrwu.lzu.com.        IN    A    16.151.159.110
lxadqbje.lzu.com.        IN    A    178.45.190.153
sbykotmp.lzu.com.        IN    A    164.165.151.209
gpbjiusl.lzu.com.        IN    A    187.30.58.113
ubnitgex.lzu.com.        IN    A    102.64.16.200
rfnokpdu.lzu.com.        IN    A    41.211.29.167
ituveqgh.lzu.com.        IN    A    37.170.69.88
duqyrkjm.lzu.com.        IN    A    162.135.51.28
gmokdylr.lzu.com.        IN    A    210.220.62.9
flvahwiq.lzu.com.        IN    A    76.102.222.167
wfpkvqby.lzu.com.        IN    A    36.40.229.96
vfeokrxu.lzu.com.        IN    A    180.159.125.65
dpwgtfuk.lzu.com.        IN    A    190.110.181.250
wryxmanf.lzu.com.        IN    A    218.145.243.120
daneplub.lzu.com.        IN    A    28.186.103.254
lirkyuge.lzu.com.        IN    A    129.200.93.168
swuovetl.lzu.com.        IN    A    244.111.206.127
moagjnct.lzu.com.        IN    A    37.211.197.99
lwnrbvyj.lzu.com.        IN    A    45.101.69.102
opgxrkwa.lzu.com.        IN    A    118.50.194.29
vebchsjk.lzu.com.        IN    A    98.14.216.153
ihngxqym.lzu.com.        IN    A    174.100.0.149
fnehcipr.lzu.com.        IN    A    56.168.14.137
xyqmdhgn.lzu.com.        IN    A    202.31.128.231
srtjwdkp.lzu.com.        IN    A    171.116.248.14
mfyphnol.lzu.com.        IN    A    118.34.25.101
rxjfgvnc.lzu.com.        IN    A    157.162.56.252
odwarglq.lzu.com.        IN    A    46.30.2.120
jeucixdn.lzu.com.        IN    A    179.108.168.44
umovndxi.lzu.com.        IN    A    204.121.208.144
ysdrtjcq.lzu.com.        IN    A    67.220.245.197
sykjovxe.lzu.com.        IN    A    198.138.149.62
sxqfangh.lzu.com.        IN    A    193.11.101.33
fegpycuh.lzu.com.        IN    A    116.193.126.91
xgkvufta.lzu.com.        IN    A    203.135.180.123
xibvsftk.lzu.com.        IN    A    206.77.189.31
yojmqxnd.lzu.com.        IN    A    11.4.63.41
gudqoyvm.lzu.com.        IN    A    115.26.129.219
rywnmpdg.lzu.com.        IN    A    55.48.89.76
epsrjthm.lzu.com.        IN    A    211.246.138.72
sjdurltk.lzu.com.        IN    A    86.32.234.190
emhndjxv.lzu.com.        IN    A    224.177.98.82
liejhbyf.lzu.com.        IN    A    156.253.220.12
durmxalb.lzu.com.        IN    A    38.39.243.118
pdeqkyil.lzu.com.        IN    A    188.3.102.192
agywckmi.lzu.com.        IN    A    53.54.173.150
isqpavfo.lzu.com.        IN    A    117.59.24.173
chlqxwgm.lzu.com.        IN    A    27.57.116.202
jhasfeno.lzu.com.        IN    A    200.20.108.55
fdinmwsx.lzu.com.        IN    A    250.246.62.151
fdigkbox.lzu.com.        IN    A    179.38.174.113
litwrdgy.lzu.com.        IN    A    130.113.191.86
ihaogucw.lzu.com.        IN    A    209.232.8.189
kfxtqhrl.lzu.com.        IN    A    12.111.183.247
hplrueis.lzu.com.        IN    A    229.74.83.162
fdxtwbhu.lzu.com.        IN    A    37.139.149.185
syujclnh.lzu.com.        IN    A    16.112.149.45
stdlxgmo.lzu.com.        IN    A    192.95.186.58
kxrignsj.lzu.com.        IN    A    38.159.56.49
ogjytfcx.lzu.com.        IN    A    34.123.224.233
eyfrgmhq.lzu.com.        IN    A    229.245.191.127
sktlibwm.lzu.com.        IN    A    200.236.35.171
efnjbqrm.lzu.com.        IN    A    12.74.72.207
