law.nju.com.	14400	IN	SOA	ns1.law.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
law.nju.com.		    IN	NS ns1.law.nju.com.
bdpjrgif.law.nju.com.    IN    A    43.77.233.15
nbeqsjgf.law.nju.com.    IN    A    113.76.252.102
xunqorim.law.nju.com.    IN    A    59.140.92.87
yjkcebfi.law.nju.com.    IN    A    90.209.246.246
stmhlqdn.law.nju.com.    IN    A    146.44.124.3
bcyegknq.law.nju.com.    IN    A    119.255.198.167
eymfwqrc.law.nju.com.    IN    A    251.150.185.212
afeqoxdi.law.nju.com.    IN    A    122.123.6.119
aqingmod.law.nju.com.    IN    A    32.228.0.28
gavchpnu.law.nju.com.    IN    A    193.229.24.68
lvsdbhex.law.nju.com.    IN    A    171.107.155.3
onixjbfc.law.nju.com.    IN    A    161.200.220.218
tejmpyvn.law.nju.com.    IN    A    229.168.249.96
qpehrxwo.law.nju.com.    IN    A    216.22.59.191
gcymulaj.law.nju.com.    IN    A    250.85.35.152
egkvlrap.law.nju.com.    IN    A    94.91.58.173
bcvlqmxw.law.nju.com.    IN    A    13.95.173.138
vdxcwoba.law.nju.com.    IN    A    176.148.201.112
eurskmoq.law.nju.com.    IN    A    90.152.11.247
hqakipnb.law.nju.com.    IN    A    129.160.222.116
uqkedomc.law.nju.com.    IN    A    122.134.13.57
fvbhapgj.law.nju.com.    IN    A    250.173.155.17
gfthlxua.law.nju.com.    IN    A    20.11.69.162
yehvrkad.law.nju.com.    IN    A    201.165.120.92
xytqflus.law.nju.com.    IN    A    233.220.9.141
tpriwolb.law.nju.com.    IN    A    17.25.96.88
yfxtljdo.law.nju.com.    IN    A    66.85.87.117
bojhrwnp.law.nju.com.    IN    A    11.96.137.248
wyaevnto.law.nju.com.    IN    A    6.157.86.205
exrghjty.law.nju.com.    IN    A    219.231.195.118
udfnipgw.law.nju.com.    IN    A    19.150.3.138
seovpmrf.law.nju.com.    IN    A    179.206.234.133
rigusqlk.law.nju.com.    IN    A    16.158.208.173
hgrvlfpb.law.nju.com.    IN    A    194.76.36.65
wcjuhysq.law.nju.com.    IN    A    243.96.196.111
ijowxyhu.law.nju.com.    IN    A    187.123.156.122
kbvsmpql.law.nju.com.    IN    A    83.233.140.246
fpahitbl.law.nju.com.    IN    A    219.163.102.245
sdjmabyx.law.nju.com.    IN    A    140.117.54.184
qanhgpsk.law.nju.com.    IN    A    3.81.205.206
gkbrnxwd.law.nju.com.    IN    A    77.189.199.28
fduwajcv.law.nju.com.    IN    A    54.176.143.196
lphnxogc.law.nju.com.    IN    A    47.193.195.245
vfsdxgpo.law.nju.com.    IN    A    54.154.39.131
srahgmnv.law.nju.com.    IN    A    225.137.215.159
ycbtqoxl.law.nju.com.    IN    A    4.111.21.66
grbnocym.law.nju.com.    IN    A    70.153.52.216
cvudbftr.law.nju.com.    IN    A    164.27.146.177
qkmirtdf.law.nju.com.    IN    A    59.14.90.44
vfdicpra.law.nju.com.    IN    A    43.98.216.125
kgaciwfe.law.nju.com.    IN    A    213.117.139.217
gkjvulsw.law.nju.com.    IN    A    118.170.99.206
lkocjpgh.law.nju.com.    IN    A    35.127.87.72
jvwkshiy.law.nju.com.    IN    A    160.42.88.89
delhntcv.law.nju.com.    IN    A    188.52.128.170
qeafdjih.law.nju.com.    IN    A    66.89.28.215
bxvpuwfl.law.nju.com.    IN    A    215.83.3.134
nhwusqbg.law.nju.com.    IN    A    246.110.246.133
xtiebrvw.law.nju.com.    IN    A    186.31.33.141
ytmkwaqd.law.nju.com.    IN    A    9.98.37.195
edmwqnry.law.nju.com.    IN    A    82.116.255.6
hudxejia.law.nju.com.    IN    A    119.19.169.252
osigfdjm.law.nju.com.    IN    A    165.192.249.199
icqeyufx.law.nju.com.    IN    A    71.60.206.251
iclvtxsd.law.nju.com.    IN    A    157.162.21.153
giwtnxsc.law.nju.com.    IN    A    33.121.132.96
tbkocjes.law.nju.com.    IN    A    174.131.188.173
gyjvxesd.law.nju.com.    IN    A    157.25.77.156
mretgbsd.law.nju.com.    IN    A    41.174.223.160
avequcsn.law.nju.com.    IN    A    212.253.92.129
ftgybevn.law.nju.com.    IN    A    142.229.197.49
ghwqmeil.law.nju.com.    IN    A    178.16.254.125
yoilxhda.law.nju.com.    IN    A    40.53.14.234
wdhvtjyl.law.nju.com.    IN    A    200.25.185.34
iopeavxh.law.nju.com.    IN    A    226.116.241.176
qoxkhftp.law.nju.com.    IN    A    124.149.101.165
lxeyvdpk.law.nju.com.    IN    A    252.201.18.6
nqemrxsc.law.nju.com.    IN    A    74.70.149.74
ghmnxdcq.law.nju.com.    IN    A    185.243.55.232
gvoedbap.law.nju.com.    IN    A    50.162.188.240
mhcusivw.law.nju.com.    IN    A    136.114.101.211
xqmydblc.law.nju.com.    IN    A    130.6.15.218
pctsdwmi.law.nju.com.    IN    A    136.162.92.171
wsjqvgnm.law.nju.com.    IN    A    19.221.186.8
raesptbd.law.nju.com.    IN    A    91.48.28.68
sjpocliq.law.nju.com.    IN    A    122.163.188.86
mjadsrip.law.nju.com.    IN    A    86.182.17.130
mnjdxypc.law.nju.com.    IN    A    117.76.49.196
khgwjuoa.law.nju.com.    IN    A    216.52.147.127
optaqxyd.law.nju.com.    IN    A    113.239.11.238
lardiheq.law.nju.com.    IN    A    186.115.71.13
hwrgeukt.law.nju.com.    IN    A    89.145.200.200
bvdujrcq.law.nju.com.    IN    A    118.1.125.180
hxqvacik.law.nju.com.    IN    A    222.120.82.211
oxrancku.law.nju.com.    IN    A    145.100.243.152
inptbsrh.law.nju.com.    IN    A    166.218.43.162
rpcmhnuf.law.nju.com.    IN    A    36.140.96.50
bpsiwxgm.law.nju.com.    IN    A    66.168.193.117
ompwrjas.law.nju.com.    IN    A    11.141.187.163
fjnapqgl.law.nju.com.    IN    A    105.219.29.161
ehmtjgir.law.nju.com.    IN    A    13.201.200.71
tpcwbsiy.law.nju.com.    IN    A    202.19.28.87
helmpubw.law.nju.com.    IN    A    142.172.133.40
qtihsvcl.law.nju.com.    IN    A    60.115.188.145
hrkwigms.law.nju.com.    IN    A    18.83.58.97
itelcswa.law.nju.com.    IN    A    52.185.73.163
wsegkyio.law.nju.com.    IN    A    44.38.122.55
ilroansx.law.nju.com.    IN    A    19.236.162.215
twpqxneu.law.nju.com.    IN    A    92.154.236.59
nhtkdgqe.law.nju.com.    IN    A    79.95.20.155
efhsauwx.law.nju.com.    IN    A    209.12.135.123
drgtisvf.law.nju.com.    IN    A    162.187.238.249
dwgifmuv.law.nju.com.    IN    A    170.6.249.240
wokeshnf.law.nju.com.    IN    A    140.223.181.90
vextfdbg.law.nju.com.    IN    A    22.7.166.97
tkgouliq.law.nju.com.    IN    A    135.109.249.46
abweopuj.law.nju.com.    IN    A    231.220.94.164
pikdqwlc.law.nju.com.    IN    A    170.103.1.188
tbdjmnew.law.nju.com.    IN    A    115.91.90.228
tsyhgijw.law.nju.com.    IN    A    39.81.198.123
tgebnkrp.law.nju.com.    IN    A    170.201.14.186
pfkginld.law.nju.com.    IN    A    9.170.252.116
bcnmakox.law.nju.com.    IN    A    151.191.224.182
rjwdusem.law.nju.com.    IN    A    109.236.179.106
kaqtdnsw.law.nju.com.    IN    A    169.167.254.117
esqoacxl.law.nju.com.    IN    A    154.49.51.195
nyfrqxku.law.nju.com.    IN    A    214.156.48.62
vqsrliyf.law.nju.com.    IN    A    179.11.164.197
ceahitfy.law.nju.com.    IN    A    139.27.195.181
sjqwxhof.law.nju.com.    IN    A    58.85.57.225
tnwalebi.law.nju.com.    IN    A    108.249.47.39
hnfyaxwp.law.nju.com.    IN    A    141.233.16.39
yointgum.law.nju.com.    IN    A    71.121.241.168
vmpguyhb.law.nju.com.    IN    A    77.226.67.253
euchdtaw.law.nju.com.    IN    A    174.27.57.97
kpowyabn.law.nju.com.    IN    A    27.56.88.167
scyrgvdf.law.nju.com.    IN    A    123.52.1.155
arbcyuqm.law.nju.com.    IN    A    207.213.123.146
sewxvngb.law.nju.com.    IN    A    240.134.167.22
iktdwrao.law.nju.com.    IN    A    131.100.30.3
coypuljt.law.nju.com.    IN    A    128.79.239.162
brpfxiqm.law.nju.com.    IN    A    126.235.132.50
yqlbsuwj.law.nju.com.    IN    A    172.230.220.32
gfnlkodc.law.nju.com.    IN    A    112.133.67.239
icmgdalw.law.nju.com.    IN    A    219.158.150.114
mapoxrch.law.nju.com.    IN    A    189.241.249.103
mugypjlr.law.nju.com.    IN    A    92.175.82.31
mdgjvniw.law.nju.com.    IN    A    170.204.107.157
rnxpahti.law.nju.com.    IN    A    77.187.105.53
omxayswi.law.nju.com.    IN    A    191.206.116.62
ianewbck.law.nju.com.    IN    A    231.101.24.242
irwqfueh.law.nju.com.    IN    A    154.2.78.98
durjoctp.law.nju.com.    IN    A    151.215.39.177
mqjcnbsh.law.nju.com.    IN    A    173.200.187.102
nrhbyeak.law.nju.com.    IN    A    224.76.190.206
gpfwsuov.law.nju.com.    IN    A    23.84.21.111
evkqbsfc.law.nju.com.    IN    A    156.223.210.84
gyxnqecp.law.nju.com.    IN    A    46.60.225.46
djvohxpc.law.nju.com.    IN    A    15.170.175.14
xhrftopy.law.nju.com.    IN    A    153.117.232.220
gqetubxf.law.nju.com.    IN    A    111.83.3.216
tjrgfwvc.law.nju.com.    IN    A    144.144.61.168
qmreihfj.law.nju.com.    IN    A    39.87.82.186
xsbvtwed.law.nju.com.    IN    A    11.36.183.133
rkcwgpom.law.nju.com.    IN    A    17.214.180.91
amquoylg.law.nju.com.    IN    A    158.186.29.110
ipwfysob.law.nju.com.    IN    A    162.187.146.135
rvfsewuc.law.nju.com.    IN    A    107.147.78.84
lnaguofq.law.nju.com.    IN    A    223.93.230.106
fejupvqs.law.nju.com.    IN    A    3.127.242.201
ajpknsie.law.nju.com.    IN    A    56.147.6.201
cpgryjfu.law.nju.com.    IN    A    73.26.75.52
bfyurpve.law.nju.com.    IN    A    223.21.202.124
aqurhiyk.law.nju.com.    IN    A    178.140.45.160
nyhrwpcm.law.nju.com.    IN    A    112.160.223.248
rbdvwxkn.law.nju.com.    IN    A    26.83.96.227
nahcxqer.law.nju.com.    IN    A    187.8.194.14
wiqhpcdf.law.nju.com.    IN    A    48.242.3.0
phdtasny.law.nju.com.    IN    A    255.229.204.229
blsjcdqx.law.nju.com.    IN    A    231.207.52.10
nlfgpkvt.law.nju.com.    IN    A    146.107.91.54
jkpaqvbs.law.nju.com.    IN    A    106.115.151.226
fvckelpm.law.nju.com.    IN    A    205.192.62.89
oflkugce.law.nju.com.    IN    A    249.243.104.144
tslwmkvj.law.nju.com.    IN    A    146.186.75.186
pmnhubaq.law.nju.com.    IN    A    11.73.28.114
jnwfmdxb.law.nju.com.    IN    A    195.168.13.16
glpjefwc.law.nju.com.    IN    A    220.125.195.203
rasjxiby.law.nju.com.    IN    A    35.234.239.6
icdojepw.law.nju.com.    IN    A    144.136.192.8
jifacquw.law.nju.com.    IN    A    90.48.221.236
xitekqfr.law.nju.com.    IN    A    87.173.184.53
hpunwlck.law.nju.com.    IN    A    133.150.3.233
jimpqdgc.law.nju.com.    IN    A    203.57.125.203
ixhavsto.law.nju.com.    IN    A    20.16.35.73
xklcmdwr.law.nju.com.    IN    A    44.122.28.50
cjxkusho.law.nju.com.    IN    A    60.1.113.8
pldvaguw.law.nju.com.    IN    A    174.84.145.134
qujanxmp.law.nju.com.    IN    A    9.250.159.114
qakybhxp.law.nju.com.    IN    A    175.230.126.89
gpsmtidu.law.nju.com.    IN    A    187.179.86.120
sjwkexgr.law.nju.com.    IN    A    129.189.208.220
kerlsjuy.law.nju.com.    IN    A    103.33.27.160
hoeqlbng.law.nju.com.    IN    A    249.98.180.195
hgfkrndy.law.nju.com.    IN    A    15.25.107.145
fulsarhk.law.nju.com.    IN    A    62.79.151.140
ghrpnmka.law.nju.com.    IN    A    239.55.114.245
uejofdna.law.nju.com.    IN    A    122.128.167.131
cnrfejvd.law.nju.com.    IN    A    189.158.168.78
pwxlobuk.law.nju.com.    IN    A    105.208.251.252
krnapgmx.law.nju.com.    IN    A    169.168.75.65
sabduqgl.law.nju.com.    IN    A    169.5.23.214
ybvgcxip.law.nju.com.    IN    A    56.175.228.169
htcrlday.law.nju.com.    IN    A    70.131.99.0
sfpldaek.law.nju.com.    IN    A    61.183.28.88
bnplfyqa.law.nju.com.    IN    A    184.255.182.33
bpirftjm.law.nju.com.    IN    A    252.53.189.98
gerbfdui.law.nju.com.    IN    A    14.102.56.81
otfpnwaq.law.nju.com.    IN    A    8.14.54.44
xaefogjm.law.nju.com.    IN    A    250.4.126.251
djqmtwey.law.nju.com.    IN    A    23.159.44.64
oqdjygmb.law.nju.com.    IN    A    22.62.31.28
guytmwer.law.nju.com.    IN    A    49.53.57.146
uwnlxkfs.law.nju.com.    IN    A    231.240.46.91
moheqgdt.law.nju.com.    IN    A    99.37.241.250
lresgndb.law.nju.com.    IN    A    37.179.192.50
eiqbjlpd.law.nju.com.    IN    A    184.247.60.109
ofrbmsnt.law.nju.com.    IN    A    219.76.73.16
dbkyqfov.law.nju.com.    IN    A    228.50.6.147
lfkebcxq.law.nju.com.    IN    A    208.186.61.223
dvlsocim.law.nju.com.    IN    A    149.22.54.24
eaftnbqg.law.nju.com.    IN    A    146.103.193.201
jrhntcly.law.nju.com.    IN    A    204.250.17.229
nrbkieot.law.nju.com.    IN    A    109.80.63.85
wqfeoilx.law.nju.com.    IN    A    14.3.65.71
iyfveukx.law.nju.com.    IN    A    121.226.221.38
sbiycwvd.law.nju.com.    IN    A    17.3.201.36
nvwcblps.law.nju.com.    IN    A    40.232.76.26
rwyvopln.law.nju.com.    IN    A    142.8.122.232
qgjprcus.law.nju.com.    IN    A    83.200.100.156
rjimwlkq.law.nju.com.    IN    A    53.165.10.98
ayxmhjqe.law.nju.com.    IN    A    199.178.176.37
kwlvgryx.law.nju.com.    IN    A    13.152.129.211
mxikqgcj.law.nju.com.    IN    A    102.100.64.100
euxfwtjp.law.nju.com.    IN    A    40.206.10.196
gsdileko.law.nju.com.    IN    A    210.59.139.91
ncwtrhvu.law.nju.com.    IN    A    225.223.75.139
bcnxlrvo.law.nju.com.    IN    A    137.87.59.97
brogtlpd.law.nju.com.    IN    A    91.207.79.2
afolqbjp.law.nju.com.    IN    A    116.135.21.206
qwacknyg.law.nju.com.    IN    A    226.239.202.61
ugoiyjxf.law.nju.com.    IN    A    120.221.103.108
xsjfdglm.law.nju.com.    IN    A    90.151.142.57
tfalmxch.law.nju.com.    IN    A    28.219.147.149
ythulvkp.law.nju.com.    IN    A    36.54.59.233
scvgiafq.law.nju.com.    IN    A    75.103.133.131
umwokbgl.law.nju.com.    IN    A    173.70.221.174
unbdsqvk.law.nju.com.    IN    A    126.100.196.58
aqlbtogp.law.nju.com.    IN    A    12.206.238.234
rspteuyq.law.nju.com.    IN    A    253.176.217.230
fgjhobct.law.nju.com.    IN    A    118.32.61.189
iyjabvkn.law.nju.com.    IN    A    105.250.223.253
ryobnieu.law.nju.com.    IN    A    59.66.244.207
auxkwels.law.nju.com.    IN    A    167.225.232.154
xtdmwhie.law.nju.com.    IN    A    158.96.188.207
scfbeuxn.law.nju.com.    IN    A    161.25.53.254
mjprtwuq.law.nju.com.    IN    A    213.231.68.194
sbdfjhpc.law.nju.com.    IN    A    32.143.111.113
vxidnayg.law.nju.com.    IN    A    186.65.133.205
foaxmynj.law.nju.com.    IN    A    223.6.170.38
gcatweum.law.nju.com.    IN    A    236.250.58.121
seifypqh.law.nju.com.    IN    A    31.71.162.230
xqlifwea.law.nju.com.    IN    A    188.167.235.224
xkwbnihg.law.nju.com.    IN    A    70.177.109.228
sykjrquf.law.nju.com.    IN    A    29.4.197.78
tkqmoruh.law.nju.com.    IN    A    241.244.88.233
jdyeontl.law.nju.com.    IN    A    63.94.176.44
fawutegh.law.nju.com.    IN    A    166.13.86.97
mhoxflgy.law.nju.com.    IN    A    131.197.83.76
yldbeoji.law.nju.com.    IN    A    122.137.146.163
xwvmihdb.law.nju.com.    IN    A    155.172.51.133
cbsiaxfl.law.nju.com.    IN    A    17.182.40.162
dieolvrp.law.nju.com.    IN    A    106.111.187.228
yugwopea.law.nju.com.    IN    A    95.135.93.147
agxqnsmh.law.nju.com.    IN    A    197.63.248.67
eibfwdac.law.nju.com.    IN    A    243.94.39.231
whvmrnxo.law.nju.com.    IN    A    127.196.220.232
otdkmvgi.law.nju.com.    IN    A    17.34.156.235
imnvkwqr.law.nju.com.    IN    A    104.209.249.158
sxhlipgv.law.nju.com.    IN    A    105.124.35.29
atuoskir.law.nju.com.    IN    A    92.212.141.174
yqxvnfei.law.nju.com.    IN    A    170.222.169.175
xhvfcgwj.law.nju.com.    IN    A    29.14.139.232
dgqlatkp.law.nju.com.    IN    A    213.33.72.32
keyhlbtx.law.nju.com.    IN    A    95.188.43.74
bfcalkxy.law.nju.com.    IN    A    75.216.177.77
ewifjlvh.law.nju.com.    IN    A    198.197.178.88
gecrifst.law.nju.com.    IN    A    204.3.246.6
hwyricdt.law.nju.com.    IN    A    168.247.251.93
dhsqnxyk.law.nju.com.    IN    A    231.75.34.62
rxktfync.law.nju.com.    IN    A    92.126.155.58
tqmkiepl.law.nju.com.    IN    A    97.239.227.162
bgycvian.law.nju.com.    IN    A    17.50.145.231
bgjwxphi.law.nju.com.    IN    A    8.208.137.235
mxecongp.law.nju.com.    IN    A    200.4.182.60
hxykmwtn.law.nju.com.    IN    A    36.211.190.246
grwanvcm.law.nju.com.    IN    A    43.8.236.21
mqnydgpv.law.nju.com.    IN    A    167.121.8.58
elpcksua.law.nju.com.    IN    A    161.95.220.97
frqhaduk.law.nju.com.    IN    A    17.223.17.130
cyruvwmi.law.nju.com.    IN    A    251.80.202.107
nqfjglok.law.nju.com.    IN    A    136.119.183.86
fhkuxemy.law.nju.com.    IN    A    208.74.49.101
fvjxrepl.law.nju.com.    IN    A    122.82.80.154
pgqarwdy.law.nju.com.    IN    A    224.146.205.7
oatlfixn.law.nju.com.    IN    A    91.67.22.177
eprtlwju.law.nju.com.    IN    A    168.158.85.164
emdyhbuf.law.nju.com.    IN    A    187.163.242.5
qjoenifd.law.nju.com.    IN    A    17.1.175.179
cjghniqv.law.nju.com.    IN    A    163.55.103.40
ahyjlfps.law.nju.com.    IN    A    250.165.58.29
rsjhxnta.law.nju.com.    IN    A    124.18.97.96
maeclxnf.law.nju.com.    IN    A    43.36.245.4
tpwudvsr.law.nju.com.    IN    A    16.15.105.161
mtxpilao.law.nju.com.    IN    A    79.205.244.116
gaeiprjy.law.nju.com.    IN    A    213.195.51.137
qcivypox.law.nju.com.    IN    A    137.38.110.109
mhinbcwy.law.nju.com.    IN    A    65.226.193.80
fgjeacuh.law.nju.com.    IN    A    178.219.187.81
vjokemap.law.nju.com.    IN    A    180.251.71.51
igpdtbnu.law.nju.com.    IN    A    217.86.51.4
wyjbchgd.law.nju.com.    IN    A    178.195.84.41
snojlfpi.law.nju.com.    IN    A    251.107.61.238
uxrmdqlj.law.nju.com.    IN    A    178.249.9.163
bpeltsdo.law.nju.com.    IN    A    45.185.110.138
exrnucot.law.nju.com.    IN    A    40.109.209.212
wdmftgis.law.nju.com.    IN    A    253.204.220.125
wvqsdkgn.law.nju.com.    IN    A    198.140.196.129
beospkxn.law.nju.com.    IN    A    149.114.33.21
iesrjuvt.law.nju.com.    IN    A    179.119.165.148
okrdpauj.law.nju.com.    IN    A    149.210.240.171
kglptmjd.law.nju.com.    IN    A    192.6.71.190
luymhvfc.law.nju.com.    IN    A    150.245.235.146
daigcslo.law.nju.com.    IN    A    123.14.63.9
bjyasuwx.law.nju.com.    IN    A    81.213.112.53
ykdjmatf.law.nju.com.    IN    A    89.208.96.102
turohnxy.law.nju.com.    IN    A    89.3.155.119
ewdoxuyj.law.nju.com.    IN    A    25.23.98.13
erincsgb.law.nju.com.    IN    A    85.230.19.97
sofrtipe.law.nju.com.    IN    A    231.238.99.15
iygfuqcm.law.nju.com.    IN    A    73.36.14.118
omvkufqn.law.nju.com.    IN    A    23.192.36.94
xaciwnve.law.nju.com.    IN    A    120.208.178.132
gjcrnbsd.law.nju.com.    IN    A    245.235.119.68
bokcxept.law.nju.com.    IN    A    188.173.99.31
seilcmjv.law.nju.com.    IN    A    0.161.44.118
rjphqcmw.law.nju.com.    IN    A    184.204.219.241
ofkvuamp.law.nju.com.    IN    A    249.230.81.255
aycepuil.law.nju.com.    IN    A    54.117.55.140
rtalygcd.law.nju.com.    IN    A    138.176.242.110
owjbauil.law.nju.com.    IN    A    247.81.99.156
tikpcfsq.law.nju.com.    IN    A    23.244.112.99
bpeafnsi.law.nju.com.    IN    A    150.64.198.58
qsdcpobt.law.nju.com.    IN    A    27.176.34.39
hnbvtsfi.law.nju.com.    IN    A    81.81.151.1
sjfxovwu.law.nju.com.    IN    A    174.48.241.178
etiakbsh.law.nju.com.    IN    A    250.58.19.147
hijoluab.law.nju.com.    IN    A    151.73.15.12
cqiposgt.law.nju.com.    IN    A    214.240.103.67
rwelndiy.law.nju.com.    IN    A    76.86.130.53
kmsnview.law.nju.com.    IN    A    8.118.234.217
wyeajrli.law.nju.com.    IN    A    219.125.64.114
rapdheig.law.nju.com.    IN    A    232.113.105.98
ymvrsfxq.law.nju.com.    IN    A    43.219.129.198
egsxoyni.law.nju.com.    IN    A    76.49.235.193
wkfxuild.law.nju.com.    IN    A    14.184.17.116
jesnwygv.law.nju.com.    IN    A    162.16.182.140
hymwptsf.law.nju.com.    IN    A    138.144.192.153
snmqhwio.law.nju.com.    IN    A    74.170.92.51
mqgyaspl.law.nju.com.    IN    A    225.193.75.119
enukfpbo.law.nju.com.    IN    A    233.89.193.224
hrjsvcax.law.nju.com.    IN    A    187.59.1.139
nqwdauif.law.nju.com.    IN    A    96.200.135.146
okmnfqra.law.nju.com.    IN    A    126.16.8.96
sikygrwt.law.nju.com.    IN    A    128.96.36.121
alcsmnyg.law.nju.com.    IN    A    28.224.130.163
qwdrexgm.law.nju.com.    IN    A    247.145.152.219
ewosjvnh.law.nju.com.    IN    A    144.155.65.241
hrevolsd.law.nju.com.    IN    A    178.193.251.12
wnjkasml.law.nju.com.    IN    A    75.230.102.203
gtqhdvxl.law.nju.com.    IN    A    39.246.121.15
vcmyrxdb.law.nju.com.    IN    A    184.4.69.207
gsqvklic.law.nju.com.    IN    A    49.36.47.225
vourfiyl.law.nju.com.    IN    A    230.40.149.173
caweqxrs.law.nju.com.    IN    A    68.233.56.215
fwpsanem.law.nju.com.    IN    A    94.58.142.139
mjswxqhk.law.nju.com.    IN    A    56.118.231.201
ubcdxnmv.law.nju.com.    IN    A    204.225.20.85
vnfkdlec.law.nju.com.    IN    A    127.170.140.46
cwekupos.law.nju.com.    IN    A    209.55.150.80
aksqfycm.law.nju.com.    IN    A    238.148.151.210
hinkmujq.law.nju.com.    IN    A    141.152.21.140
cleohauj.law.nju.com.    IN    A    188.136.225.198
xvtpdnbm.law.nju.com.    IN    A    107.135.52.206
wmaxckqv.law.nju.com.    IN    A    154.226.208.212
kmwqfril.law.nju.com.    IN    A    108.164.195.59
akxgfdlq.law.nju.com.    IN    A    182.56.188.13
kuhtrnsd.law.nju.com.    IN    A    31.24.76.42
typdhgrj.law.nju.com.    IN    A    55.11.95.104
jtdmyxuw.law.nju.com.    IN    A    200.101.168.75
magebwis.law.nju.com.    IN    A    19.177.242.165
nmsjbxya.law.nju.com.    IN    A    176.69.21.132
jqatyhpu.law.nju.com.    IN    A    252.168.203.104
vclxgywo.law.nju.com.    IN    A    112.117.32.173
ngpmvxrl.law.nju.com.    IN    A    55.171.49.106
bhpocutf.law.nju.com.    IN    A    94.177.184.185
vpbncfxr.law.nju.com.    IN    A    69.188.0.117
wexisbgu.law.nju.com.    IN    A    61.65.218.165
vkrxhdlb.law.nju.com.    IN    A    11.26.236.233
dhlewycu.law.nju.com.    IN    A    191.21.33.22
pdkgbiac.law.nju.com.    IN    A    225.67.221.74
yegakbcq.law.nju.com.    IN    A    115.214.70.33
ruebnkdc.law.nju.com.    IN    A    105.130.119.227
kfucmryd.law.nju.com.    IN    A    32.223.96.107
svlxjcnf.law.nju.com.    IN    A    52.62.37.113
wygeatns.law.nju.com.    IN    A    70.31.12.57
mbfepnxs.law.nju.com.    IN    A    67.194.162.111
yrhfugqn.law.nju.com.    IN    A    212.79.151.182
qcnxgudv.law.nju.com.    IN    A    172.69.247.152
iycwjtsk.law.nju.com.    IN    A    154.57.79.1
ufhbmexq.law.nju.com.    IN    A    249.56.101.120
rfujkmco.law.nju.com.    IN    A    93.217.114.98
brildjyc.law.nju.com.    IN    A    222.230.163.227
jonrdxet.law.nju.com.    IN    A    86.33.42.194
hfqsvlcp.law.nju.com.    IN    A    12.26.63.245
gydhpfsa.law.nju.com.    IN    A    80.165.83.205
hnsacpbg.law.nju.com.    IN    A    170.221.153.45
mnhsvywx.law.nju.com.    IN    A    8.181.11.205
gqkrvmpi.law.nju.com.    IN    A    40.192.32.173
dtpylwmb.law.nju.com.    IN    A    156.223.168.3
vnudxrcg.law.nju.com.    IN    A    75.220.199.164
dnpuohvf.law.nju.com.    IN    A    158.42.241.57
jwhbxgqa.law.nju.com.    IN    A    108.159.61.179
afnutdjb.law.nju.com.    IN    A    99.52.144.32
mnrhpitq.law.nju.com.    IN    A    191.41.245.233
vklbphon.law.nju.com.    IN    A    166.94.183.150
tusfplwx.law.nju.com.    IN    A    4.0.208.72
ulqvdtyc.law.nju.com.    IN    A    166.10.52.144
rjbulotg.law.nju.com.    IN    A    25.56.71.45
soqjwvri.law.nju.com.    IN    A    102.240.236.253
lemctidh.law.nju.com.    IN    A    234.215.17.51
tjqghsax.law.nju.com.    IN    A    192.112.99.96
warfjope.law.nju.com.    IN    A    207.10.147.74
jkwoydnp.law.nju.com.    IN    A    187.7.245.42
rtegvmbf.law.nju.com.    IN    A    222.167.239.3
ayqxpkfl.law.nju.com.    IN    A    88.244.123.204
neapsjqg.law.nju.com.    IN    A    64.37.200.129
jsrugdqy.law.nju.com.    IN    A    159.109.15.90
smboxrun.law.nju.com.    IN    A    181.27.216.195
abwdrjty.law.nju.com.    IN    A    51.192.166.184
dbfusoil.law.nju.com.    IN    A    239.5.31.250
unjlowkq.law.nju.com.    IN    A    186.143.242.20
dqrphjvx.law.nju.com.    IN    A    214.98.31.32
kcfiobmp.law.nju.com.    IN    A    175.85.234.7
qejhpsbk.law.nju.com.    IN    A    191.29.119.158
gridsqja.law.nju.com.    IN    A    97.74.76.175
xkprvnbh.law.nju.com.    IN    A    174.61.33.58
kipswyjd.law.nju.com.    IN    A    46.20.167.73
vtckjfyd.law.nju.com.    IN    A    40.31.30.198
wqyngfot.law.nju.com.    IN    A    75.241.18.26
mdgsbqnf.law.nju.com.    IN    A    125.87.77.52
jvgnfora.law.nju.com.    IN    A    210.99.134.215
hcxitykj.law.nju.com.    IN    A    135.42.221.208
yundheas.law.nju.com.    IN    A    103.13.214.33
hmfuoiry.law.nju.com.    IN    A    42.172.32.96
poywgveb.law.nju.com.    IN    A    167.207.153.79
emgnjrah.law.nju.com.    IN    A    244.66.218.144
hwsnlqjd.law.nju.com.    IN    A    145.20.226.243
oqdkjfbv.law.nju.com.    IN    A    134.196.46.97
rsqekctp.law.nju.com.    IN    A    16.25.93.178
ajdugomf.law.nju.com.    IN    A    202.61.26.242
nfpgcblx.law.nju.com.    IN    A    232.141.233.42
hcijoekp.law.nju.com.    IN    A    185.200.186.93
lndhbswk.law.nju.com.    IN    A    154.246.15.191
fyxijwph.law.nju.com.    IN    A    97.42.124.111
loigpaeb.law.nju.com.    IN    A    106.61.250.203
ylmuvnrf.law.nju.com.    IN    A    78.45.204.192
voqcmnfr.law.nju.com.    IN    A    226.132.214.76
gsacrtlb.law.nju.com.    IN    A    203.58.168.196
