www.nju.com. 	14400	IN	SOA	ns1.www.nju.com. james.nju.edu. 19122302 14400 3600 2419200 14400
www.nju.com.		    IN	NS ns1.www.nju.com.
imtvhxpd.www.nju.com.    IN    A    87.39.49.128
mdboxklt.www.nju.com.    IN    A    46.95.119.113
huvmkwdr.www.nju.com.    IN    A    110.204.117.39
hpgqyuib.www.nju.com.    IN    A    80.44.36.4
cowpydiu.www.nju.com.    IN    A    19.9.222.100
hyqsdjcp.www.nju.com.    IN    A    244.76.15.111
lkpmsgae.www.nju.com.    IN    A    58.94.153.13
obuwsdqe.www.nju.com.    IN    A    68.154.139.30
gosahuxb.www.nju.com.    IN    A    88.12.229.65
kchadmqp.www.nju.com.    IN    A    47.147.235.175
povtyism.www.nju.com.    IN    A    60.139.18.25
gjtupmie.www.nju.com.    IN    A    246.203.142.112
wjfvgsrl.www.nju.com.    IN    A    159.124.20.13
jfvbyomt.www.nju.com.    IN    A    67.10.8.113
vaxpdqrm.www.nju.com.    IN    A    110.92.212.197
pysotlix.www.nju.com.    IN    A    165.2.25.7
krjbsafv.www.nju.com.    IN    A    41.42.20.161
fcmstibe.www.nju.com.    IN    A    210.155.70.198
ocugnvmj.www.nju.com.    IN    A    233.192.145.253
metcapoh.www.nju.com.    IN    A    78.121.60.106
wbcgaqxt.www.nju.com.    IN    A    198.113.46.244
euaohnxi.www.nju.com.    IN    A    50.254.115.194
svmtihfn.www.nju.com.    IN    A    6.226.143.170
vsrnqwop.www.nju.com.    IN    A    101.248.207.99
xsjtblvm.www.nju.com.    IN    A    222.200.120.167
uosmckva.www.nju.com.    IN    A    122.88.184.154
aginexdp.www.nju.com.    IN    A    241.130.47.132
ylfimhqr.www.nju.com.    IN    A    174.183.251.199
neaoqcdw.www.nju.com.    IN    A    187.47.110.96
xpeqrwct.www.nju.com.    IN    A    7.206.111.65
jxviygfl.www.nju.com.    IN    A    251.57.74.239
rvxbyosq.www.nju.com.    IN    A    190.110.180.100
axukwelm.www.nju.com.    IN    A    168.140.211.61
emgnbwvs.www.nju.com.    IN    A    64.175.40.160
jfqtmigx.www.nju.com.    IN    A    52.226.42.25
oalefviq.www.nju.com.    IN    A    51.241.0.201
dyajtoul.www.nju.com.    IN    A    12.137.96.121
buplatxy.www.nju.com.    IN    A    116.186.5.90
uisndwqx.www.nju.com.    IN    A    206.90.40.109
uvfkwcgb.www.nju.com.    IN    A    7.223.15.50
xdsucgpq.www.nju.com.    IN    A    223.16.32.100
wixktfln.www.nju.com.    IN    A    246.1.170.137
nqfpxtdv.www.nju.com.    IN    A    37.45.18.213
hdijsgqy.www.nju.com.    IN    A    2.181.130.112
vdgmehfo.www.nju.com.    IN    A    19.252.255.104
xduklrev.www.nju.com.    IN    A    171.53.73.233
vpsmenac.www.nju.com.    IN    A    34.123.10.228
adwtlnxu.www.nju.com.    IN    A    191.206.175.180
ranevkfx.www.nju.com.    IN    A    197.19.214.105
ptrcsewf.www.nju.com.    IN    A    75.92.165.143
elqsmvaw.www.nju.com.    IN    A    189.5.113.169
elvpfthx.www.nju.com.    IN    A    252.67.136.100
pqgocwhd.www.nju.com.    IN    A    158.200.175.209
evkqmgoh.www.nju.com.    IN    A    69.111.5.199
qwodnxmt.www.nju.com.    IN    A    239.124.86.102
fixnghtr.www.nju.com.    IN    A    221.23.174.184
mqxjvkab.www.nju.com.    IN    A    7.176.19.132
aiympufx.www.nju.com.    IN    A    164.42.210.164
vgfipkmj.www.nju.com.    IN    A    53.72.180.213
disqtcul.www.nju.com.    IN    A    216.196.13.111
dmwsfjva.www.nju.com.    IN    A    10.55.160.190
ukxsbtfw.www.nju.com.    IN    A    175.197.145.170
sqcgvfkx.www.nju.com.    IN    A    190.193.237.109
adqynuhr.www.nju.com.    IN    A    180.28.60.82
megqjvpr.www.nju.com.    IN    A    211.93.230.246
irsbgyel.www.nju.com.    IN    A    27.36.93.234
ewkchuio.www.nju.com.    IN    A    237.180.85.127
xmcvsdbg.www.nju.com.    IN    A    52.129.160.13
fusjlwcp.www.nju.com.    IN    A    178.70.45.236
wjipycfd.www.nju.com.    IN    A    202.74.249.150
befhjtlc.www.nju.com.    IN    A    27.141.132.97
vicefodt.www.nju.com.    IN    A    30.32.82.196
akjcvupn.www.nju.com.    IN    A    31.215.34.0
daflxtne.www.nju.com.    IN    A    198.181.242.218
gxciqmvn.www.nju.com.    IN    A    88.32.78.189
aunfhvwj.www.nju.com.    IN    A    151.57.216.116
naxwiruh.www.nju.com.    IN    A    67.249.148.92
rtlcdavx.www.nju.com.    IN    A    91.80.226.161
veiqdxcs.www.nju.com.    IN    A    190.15.44.8
rcsfdvab.www.nju.com.    IN    A    91.197.207.127
hkigmqwl.www.nju.com.    IN    A    31.179.106.96
yabugcxo.www.nju.com.    IN    A    135.141.10.109
odgbufmc.www.nju.com.    IN    A    188.112.173.177
nqckwsdf.www.nju.com.    IN    A    145.244.207.114
dljcinue.www.nju.com.    IN    A    255.133.95.70
gwmxvyoc.www.nju.com.    IN    A    26.184.81.217
bswaovhn.www.nju.com.    IN    A    39.14.127.224
vidnoaqf.www.nju.com.    IN    A    168.172.161.215
tckoqylg.www.nju.com.    IN    A    252.15.19.79
lwecjidv.www.nju.com.    IN    A    0.207.64.236
brdykhga.www.nju.com.    IN    A    141.139.151.203
wkvynbgh.www.nju.com.    IN    A    39.62.116.44
dpbtfmjr.www.nju.com.    IN    A    204.247.168.240
aplkytod.www.nju.com.    IN    A    246.79.88.75
tbklgcjh.www.nju.com.    IN    A    17.218.161.205
lmnbwryc.www.nju.com.    IN    A    46.142.177.20
tfuaxijm.www.nju.com.    IN    A    219.34.141.1
xosftqhu.www.nju.com.    IN    A    250.75.241.173
ktuyadwv.www.nju.com.    IN    A    177.70.1.129
aqmxwpkj.www.nju.com.    IN    A    176.95.138.0
wpdikuyh.www.nju.com.    IN    A    240.182.72.181
qstonplg.www.nju.com.    IN    A    24.113.136.250
dvfnuawh.www.nju.com.    IN    A    77.2.242.1
rvmqcjpu.www.nju.com.    IN    A    53.234.82.139
jnmvctwg.www.nju.com.    IN    A    239.238.115.2
cwbdmksx.www.nju.com.    IN    A    175.76.108.250
yugbmrxv.www.nju.com.    IN    A    186.32.115.9
qjmtcxks.www.nju.com.    IN    A    144.61.92.214
wgyevhlo.www.nju.com.    IN    A    58.78.159.164
nwmyxfde.www.nju.com.    IN    A    179.184.189.213
gdfrkqba.www.nju.com.    IN    A    186.209.101.197
pnghlfur.www.nju.com.    IN    A    6.68.136.162
dlcefbun.www.nju.com.    IN    A    79.150.1.254
klfmqcwe.www.nju.com.    IN    A    230.50.51.129
miugatrl.www.nju.com.    IN    A    107.199.167.31
ndwqtymb.www.nju.com.    IN    A    120.108.199.125
brvkipst.www.nju.com.    IN    A    149.58.50.93
rhykusvd.www.nju.com.    IN    A    90.39.27.148
mhqneurj.www.nju.com.    IN    A    212.14.227.189
ftdounij.www.nju.com.    IN    A    71.31.105.178
epwxduhn.www.nju.com.    IN    A    235.95.46.245
tehbxjdk.www.nju.com.    IN    A    69.165.6.156
yqouxpct.www.nju.com.    IN    A    66.73.10.202
pxheawcm.www.nju.com.    IN    A    166.84.173.43
gkhronfq.www.nju.com.    IN    A    215.57.104.148
legjpcqr.www.nju.com.    IN    A    141.85.177.96
hiytlmqg.www.nju.com.    IN    A    129.157.47.210
jphsfxbo.www.nju.com.    IN    A    237.158.6.155
ygohbdpw.www.nju.com.    IN    A    215.183.166.71
rcxugikb.www.nju.com.    IN    A    24.143.41.71
kvyopgdb.www.nju.com.    IN    A    91.250.101.3
tvnoswjy.www.nju.com.    IN    A    123.64.54.67
fjvugayq.www.nju.com.    IN    A    181.16.179.21
qavlyfrk.www.nju.com.    IN    A    204.75.75.73
ukbsfnco.www.nju.com.    IN    A    170.186.101.66
symcitxn.www.nju.com.    IN    A    164.16.142.40
tjdeynws.www.nju.com.    IN    A    90.243.71.53
lusefpxy.www.nju.com.    IN    A    228.46.95.72
ragmfbvp.www.nju.com.    IN    A    249.77.84.92
qlucbmxw.www.nju.com.    IN    A    253.219.120.78
ctlnyrpd.www.nju.com.    IN    A    39.39.144.113
keunitsq.www.nju.com.    IN    A    88.125.112.236
glkfbjpo.www.nju.com.    IN    A    177.108.213.224
hmnybusw.www.nju.com.    IN    A    74.191.124.7
mldsyogc.www.nju.com.    IN    A    140.180.66.117
nrgmtslb.www.nju.com.    IN    A    26.96.71.61
wulfdvpa.www.nju.com.    IN    A    128.240.241.178
piwxegrc.www.nju.com.    IN    A    31.54.19.130
riudkpqn.www.nju.com.    IN    A    208.110.31.104
nacvjuqp.www.nju.com.    IN    A    197.57.42.176
ntquyawv.www.nju.com.    IN    A    91.26.231.90
nwikjumy.www.nju.com.    IN    A    143.186.57.151
knlxcfdo.www.nju.com.    IN    A    56.237.5.41
wcsnqher.www.nju.com.    IN    A    50.150.187.209
cuimbjwt.www.nju.com.    IN    A    149.129.125.204
qypvcwhe.www.nju.com.    IN    A    140.237.188.102
mhnxejas.www.nju.com.    IN    A    246.145.3.210
ntrjygxa.www.nju.com.    IN    A    239.153.230.137
bhskcwym.www.nju.com.    IN    A    37.137.21.119
akftnrcw.www.nju.com.    IN    A    223.254.189.23
afjlmbni.www.nju.com.    IN    A    83.95.131.126
vyumpaqh.www.nju.com.    IN    A    160.132.161.95
osyemqvc.www.nju.com.    IN    A    5.34.138.144
owmynchp.www.nju.com.    IN    A    34.181.216.111
gqprvckt.www.nju.com.    IN    A    228.17.249.227
yowvxahs.www.nju.com.    IN    A    247.225.4.170
htowmrab.www.nju.com.    IN    A    69.164.114.154
igsbclpt.www.nju.com.    IN    A    191.182.223.173
rmwqelyb.www.nju.com.    IN    A    193.53.127.244
ikjeqdoa.www.nju.com.    IN    A    229.189.113.168
cmhnplrx.www.nju.com.    IN    A    156.244.203.196
hugenicd.www.nju.com.    IN    A    94.45.173.64
gvakhcbx.www.nju.com.    IN    A    43.185.185.249
gnwyicel.www.nju.com.    IN    A    181.247.113.41
kxiywelm.www.nju.com.    IN    A    146.163.173.75
ybsgwunh.www.nju.com.    IN    A    78.50.21.204
rtqwmkpe.www.nju.com.    IN    A    78.165.123.214
npdmhgks.www.nju.com.    IN    A    124.106.53.14
jobnmhlk.www.nju.com.    IN    A    249.214.163.39
vmlekoig.www.nju.com.    IN    A    178.29.59.212
tbspghyd.www.nju.com.    IN    A    128.7.3.140
rtasgnhu.www.nju.com.    IN    A    40.47.43.190
xgmfuskr.www.nju.com.    IN    A    147.3.128.20
mufgkjyt.www.nju.com.    IN    A    99.224.112.183
pwkljycs.www.nju.com.    IN    A    28.82.102.115
wysbentd.www.nju.com.    IN    A    162.239.138.230
bmvieopx.www.nju.com.    IN    A    192.67.197.212
hlxidrwu.www.nju.com.    IN    A    193.107.17.0
eimydswt.www.nju.com.    IN    A    10.147.240.218
sylkcxun.www.nju.com.    IN    A    184.240.202.133
ylrwhbsq.www.nju.com.    IN    A    27.127.17.240
wbdgxktr.www.nju.com.    IN    A    11.251.200.244
sjyvpwab.www.nju.com.    IN    A    78.248.64.119
nvoibhjd.www.nju.com.    IN    A    181.181.146.63
mceiylbd.www.nju.com.    IN    A    61.102.22.206
udjreybk.www.nju.com.    IN    A    121.252.142.212
kaufitpq.www.nju.com.    IN    A    232.183.205.0
wtymhkbg.www.nju.com.    IN    A    55.97.95.98
rbmnkpiu.www.nju.com.    IN    A    150.95.96.215
beshpdwt.www.nju.com.    IN    A    65.44.65.47
ixrghonj.www.nju.com.    IN    A    250.175.190.53
cudrlgnp.www.nju.com.    IN    A    41.169.181.63
dislxytb.www.nju.com.    IN    A    37.230.8.81
yknolsxh.www.nju.com.    IN    A    128.166.82.141
lyahogjs.www.nju.com.    IN    A    206.167.158.184
bywqsunp.www.nju.com.    IN    A    197.207.40.128
ukmpyadw.www.nju.com.    IN    A    44.215.176.80
yswqbeun.www.nju.com.    IN    A    191.62.226.124
hqkuempj.www.nju.com.    IN    A    25.188.55.33
eydkhgax.www.nju.com.    IN    A    169.138.25.92
ifwanxyr.www.nju.com.    IN    A    79.190.70.228
jnswixkb.www.nju.com.    IN    A    125.255.63.194
fstybqoj.www.nju.com.    IN    A    174.40.140.38
lkdivhao.www.nju.com.    IN    A    29.52.230.140
ioqedpuh.www.nju.com.    IN    A    230.203.120.178
xepiuajo.www.nju.com.    IN    A    51.216.170.92
cvabtqpu.www.nju.com.    IN    A    131.100.132.168
gubrleda.www.nju.com.    IN    A    38.155.137.63
dmjlughr.www.nju.com.    IN    A    81.163.11.18
dxvoklph.www.nju.com.    IN    A    198.217.179.27
jytxovbc.www.nju.com.    IN    A    64.150.103.172
whitfdjq.www.nju.com.    IN    A    209.211.106.173
afclmtou.www.nju.com.    IN    A    220.170.122.252
ynmjprel.www.nju.com.    IN    A    254.15.239.177
frlshaxq.www.nju.com.    IN    A    240.82.176.88
lcuijqnw.www.nju.com.    IN    A    232.204.141.44
gyhspwbj.www.nju.com.    IN    A    177.238.216.135
nqaecvku.www.nju.com.    IN    A    230.217.104.63
jnvhdolf.www.nju.com.    IN    A    101.31.42.141
qeiygknl.www.nju.com.    IN    A    96.152.165.120
tobcakwm.www.nju.com.    IN    A    55.86.46.184
vqkofsrt.www.nju.com.    IN    A    142.21.252.159
awiqknfv.www.nju.com.    IN    A    198.15.168.224
cbtrjhym.www.nju.com.    IN    A    15.200.161.213
xtqmgefw.www.nju.com.    IN    A    247.92.115.104
rfiblnxt.www.nju.com.    IN    A    144.80.26.199
odhgbwkl.www.nju.com.    IN    A    160.80.25.38
diysnqba.www.nju.com.    IN    A    172.20.45.188
jpdfqbch.www.nju.com.    IN    A    4.39.224.31
pqnmagoc.www.nju.com.    IN    A    47.132.234.205
auqrmtvf.www.nju.com.    IN    A    134.137.130.216
unsvgtbo.www.nju.com.    IN    A    229.230.80.238
mhjsgofb.www.nju.com.    IN    A    159.70.8.98
fcqvopuk.www.nju.com.    IN    A    247.180.28.174
hsgbojft.www.nju.com.    IN    A    46.247.231.250
ixsgfupv.www.nju.com.    IN    A    247.232.200.107
yqmcufsn.www.nju.com.    IN    A    221.105.93.165
fapjimnk.www.nju.com.    IN    A    140.71.224.33
tadknisx.www.nju.com.    IN    A    135.219.251.176
fyelsbdu.www.nju.com.    IN    A    102.254.186.155
wtvfndkl.www.nju.com.    IN    A    27.93.99.121
fbjmwapi.www.nju.com.    IN    A    149.194.68.18
ixhugcja.www.nju.com.    IN    A    46.17.129.0
psywejat.www.nju.com.    IN    A    91.40.61.56
apvkwdqo.www.nju.com.    IN    A    85.1.84.89
vqxnkfrg.www.nju.com.    IN    A    163.238.37.234
tkrbfnmo.www.nju.com.    IN    A    187.233.47.244
nirtpkfl.www.nju.com.    IN    A    130.248.87.221
xefdbijk.www.nju.com.    IN    A    87.20.158.99
eubcpyaq.www.nju.com.    IN    A    255.191.57.214
dbnqjuth.www.nju.com.    IN    A    202.232.54.105
hqfvnkis.www.nju.com.    IN    A    104.12.114.36
ygxvpcuf.www.nju.com.    IN    A    205.77.134.159
eqvrkmcw.www.nju.com.    IN    A    111.11.33.119
hfsilqrg.www.nju.com.    IN    A    15.131.134.66
cibsuvfj.www.nju.com.    IN    A    101.120.40.115
epjlrqmf.www.nju.com.    IN    A    252.179.157.85
lyjcafvp.www.nju.com.    IN    A    97.25.19.237
kduavyrc.www.nju.com.    IN    A    103.167.31.31
urkfpjvw.www.nju.com.    IN    A    164.201.228.228
egjxhykn.www.nju.com.    IN    A    206.9.227.36
wtvajepu.www.nju.com.    IN    A    243.109.149.227
vwjymdir.www.nju.com.    IN    A    207.59.89.32
hxjasrow.www.nju.com.    IN    A    134.89.151.131
wkryucph.www.nju.com.    IN    A    241.197.249.103
wbdkuvse.www.nju.com.    IN    A    139.215.121.125
xnwiptvs.www.nju.com.    IN    A    183.90.97.57
cfwpvsmn.www.nju.com.    IN    A    11.207.19.183
afbitxkj.www.nju.com.    IN    A    177.62.83.54
fvlbdsoj.www.nju.com.    IN    A    150.171.183.112
txqklgim.www.nju.com.    IN    A    49.146.191.238
ohtjlxba.www.nju.com.    IN    A    100.10.177.226
dbjmupqa.www.nju.com.    IN    A    231.213.136.104
nudavwts.www.nju.com.    IN    A    34.158.187.248
ihwrlbdq.www.nju.com.    IN    A    187.122.234.221
ruadoqjl.www.nju.com.    IN    A    212.197.112.185
tujoscpx.www.nju.com.    IN    A    76.11.21.81
qhokfela.www.nju.com.    IN    A    57.150.186.16
etsdwnox.www.nju.com.    IN    A    81.85.100.191
daisvogt.www.nju.com.    IN    A    226.11.197.120
qktifyas.www.nju.com.    IN    A    116.4.206.44
micrgnae.www.nju.com.    IN    A    34.131.82.214
nkmdeiag.www.nju.com.    IN    A    122.187.185.172
iwrgbhak.www.nju.com.    IN    A    109.184.57.6
prvsetcx.www.nju.com.    IN    A    61.243.115.11
aydkqogt.www.nju.com.    IN    A    254.117.215.251
urwlgbep.www.nju.com.    IN    A    123.150.254.15
dvothiur.www.nju.com.    IN    A    246.67.212.251
rqvthmou.www.nju.com.    IN    A    85.184.108.186
iqasrumw.www.nju.com.    IN    A    197.51.172.217
nvlramud.www.nju.com.    IN    A    15.107.46.63
bgsqjlio.www.nju.com.    IN    A    96.210.102.224
dpehtvyx.www.nju.com.    IN    A    247.242.97.164
tecghvil.www.nju.com.    IN    A    116.147.150.98
vrnogtfe.www.nju.com.    IN    A    210.197.115.186
cgxepsfm.www.nju.com.    IN    A    22.18.4.144
nrxetwls.www.nju.com.    IN    A    217.85.132.169
wcketjus.www.nju.com.    IN    A    190.146.83.202
dafkvylq.www.nju.com.    IN    A    137.128.189.234
augsytmb.www.nju.com.    IN    A    84.99.204.52
bqtrkcas.www.nju.com.    IN    A    201.182.199.184
cabdwsgx.www.nju.com.    IN    A    33.191.38.196
cuyhaxtf.www.nju.com.    IN    A    140.255.15.72
bkojywth.www.nju.com.    IN    A    178.34.226.214
rnifphgt.www.nju.com.    IN    A    83.170.154.255
teqkwajp.www.nju.com.    IN    A    49.45.148.103
ecjbiakx.www.nju.com.    IN    A    25.236.250.27
bepaxgsy.www.nju.com.    IN    A    16.20.58.98
mqgefdvl.www.nju.com.    IN    A    189.121.202.201
npyvxutc.www.nju.com.    IN    A    86.21.249.39
xwutvsom.www.nju.com.    IN    A    40.188.169.239
awjsxyih.www.nju.com.    IN    A    163.159.146.193
ciqspevr.www.nju.com.    IN    A    39.241.200.219
txfwihdv.www.nju.com.    IN    A    57.155.1.222
luwvhamp.www.nju.com.    IN    A    168.187.142.30
yrgjamlo.www.nju.com.    IN    A    93.173.124.206
bwhxamkc.www.nju.com.    IN    A    22.84.72.206
incwevkg.www.nju.com.    IN    A    141.66.152.149
ogveymsr.www.nju.com.    IN    A    241.129.101.90
jtegamyx.www.nju.com.    IN    A    120.179.182.31
ksaehcvy.www.nju.com.    IN    A    216.214.135.243
ksetyrwq.www.nju.com.    IN    A    123.30.223.112
jotirqsf.www.nju.com.    IN    A    172.66.128.86
frlhuapj.www.nju.com.    IN    A    144.46.191.245
cesjgwbf.www.nju.com.    IN    A    234.181.176.24
wrbuclxa.www.nju.com.    IN    A    22.116.205.69
ksipoqun.www.nju.com.    IN    A    119.162.175.200
tfsjyxwn.www.nju.com.    IN    A    118.209.140.103
yjwldkqa.www.nju.com.    IN    A    245.134.121.153
dgvpcjnm.www.nju.com.    IN    A    98.104.19.153
mpuvnrtf.www.nju.com.    IN    A    132.34.213.73
fhmgjirn.www.nju.com.    IN    A    207.40.194.79
vqpindba.www.nju.com.    IN    A    64.205.214.166
hvgjirwd.www.nju.com.    IN    A    113.160.252.165
djenirqf.www.nju.com.    IN    A    130.83.22.65
vhjtewrc.www.nju.com.    IN    A    144.245.193.99
aoiqsjpv.www.nju.com.    IN    A    182.144.67.253
vclwiroq.www.nju.com.    IN    A    99.218.124.194
agvkbsfh.www.nju.com.    IN    A    146.171.214.136
ebajhmws.www.nju.com.    IN    A    200.157.62.158
layuctmf.www.nju.com.    IN    A    241.12.109.208
kqivxwbr.www.nju.com.    IN    A    224.49.210.216
pdtayjsu.www.nju.com.    IN    A    212.166.82.118
jymfutdq.www.nju.com.    IN    A    235.65.31.156
fwrgcdtk.www.nju.com.    IN    A    161.199.75.161
jlaqigne.www.nju.com.    IN    A    224.176.0.60
bveigxdm.www.nju.com.    IN    A    82.239.131.4
sjhuwrbd.www.nju.com.    IN    A    82.250.214.146
qgkwtufo.www.nju.com.    IN    A    219.70.63.44
lquwvinr.www.nju.com.    IN    A    185.148.134.234
pcmkwqvl.www.nju.com.    IN    A    170.241.221.104
xtsgcney.www.nju.com.    IN    A    159.79.120.46
jqyfdaem.www.nju.com.    IN    A    216.45.127.213
pxqcreuj.www.nju.com.    IN    A    119.224.164.163
xwjdgybk.www.nju.com.    IN    A    87.33.9.95
ikrtypel.www.nju.com.    IN    A    106.214.48.255
ivhdwgus.www.nju.com.    IN    A    210.34.183.185
bgxkuevp.www.nju.com.    IN    A    246.15.132.144
ihufmspl.www.nju.com.    IN    A    132.242.195.38
honycjgx.www.nju.com.    IN    A    22.0.84.71
noqrtwpg.www.nju.com.    IN    A    126.222.233.208
kvgilhef.www.nju.com.    IN    A    25.53.33.112
nsokgwue.www.nju.com.    IN    A    67.38.143.152
gwoqxdvl.www.nju.com.    IN    A    57.145.75.244
bfncgxwv.www.nju.com.    IN    A    215.100.59.71
wvpxncea.www.nju.com.    IN    A    30.128.177.249
csklxvpa.www.nju.com.    IN    A    170.154.48.129
kucgfsmb.www.nju.com.    IN    A    112.63.100.195
nqceubmv.www.nju.com.    IN    A    193.154.223.182
qufckosr.www.nju.com.    IN    A    223.247.235.215
itcywxag.www.nju.com.    IN    A    226.16.50.124
rlojtgun.www.nju.com.    IN    A    67.190.126.35
asveicpj.www.nju.com.    IN    A    171.165.70.209
ronlgekm.www.nju.com.    IN    A    20.135.46.224
pyvxrnts.www.nju.com.    IN    A    119.125.128.115
cvmbyprx.www.nju.com.    IN    A    53.187.212.10
ovskecmi.www.nju.com.    IN    A    55.144.239.52
ilrgjhkf.www.nju.com.    IN    A    98.148.220.141
dvulipms.www.nju.com.    IN    A    50.125.188.185
amjyxtuw.www.nju.com.    IN    A    65.150.235.79
sqyunafd.www.nju.com.    IN    A    228.76.236.33
tcyraxfh.www.nju.com.    IN    A    220.59.44.221
flrgseab.www.nju.com.    IN    A    213.238.241.165
wkhotrvg.www.nju.com.    IN    A    164.128.125.231
lyvfmkrh.www.nju.com.    IN    A    140.23.229.103
fjtmeink.www.nju.com.    IN    A    220.227.141.158
grcnsfaj.www.nju.com.    IN    A    132.33.137.79
bfhmgwyt.www.nju.com.    IN    A    11.206.42.17
migyodcw.www.nju.com.    IN    A    161.90.49.80
hiojtvsm.www.nju.com.    IN    A    190.84.80.59
xsopdahe.www.nju.com.    IN    A    96.97.177.215
vaouxdiy.www.nju.com.    IN    A    142.94.7.75
ondwgxbj.www.nju.com.    IN    A    198.155.122.136
nhplgkbc.www.nju.com.    IN    A    226.202.165.182
jctfeyhv.www.nju.com.    IN    A    195.105.122.190
paxewvym.www.nju.com.    IN    A    168.190.43.74
hkoqtmne.www.nju.com.    IN    A    13.165.47.31
iosdtruf.www.nju.com.    IN    A    164.201.25.76
gsktenuw.www.nju.com.    IN    A    46.164.118.178
siwuyvql.www.nju.com.    IN    A    164.142.132.169
odagvcbt.www.nju.com.    IN    A    83.31.240.235
quikajvo.www.nju.com.    IN    A    220.223.158.98
eyxqobmt.www.nju.com.    IN    A    190.253.160.216
bcmwdihq.www.nju.com.    IN    A    94.180.231.148
yjlsmhte.www.nju.com.    IN    A    23.84.23.79
ianjrgsl.www.nju.com.    IN    A    5.136.195.190
uswmgbvt.www.nju.com.    IN    A    50.93.254.136
olhpbakm.www.nju.com.    IN    A    81.33.213.248
akweorvp.www.nju.com.    IN    A    203.12.224.114
mqtvpfeg.www.nju.com.    IN    A    29.93.204.175
fmtcewks.www.nju.com.    IN    A    17.166.53.60
wpubaqmk.www.nju.com.    IN    A    185.39.46.115
kjiwvpbc.www.nju.com.    IN    A    230.164.129.238
vyksoawl.www.nju.com.    IN    A    208.57.148.141
qkftirch.www.nju.com.    IN    A    38.170.55.93
sjelibwr.www.nju.com.    IN    A    209.224.176.228
wrgjymvp.www.nju.com.    IN    A    31.226.190.95
lfvrbjmt.www.nju.com.    IN    A    62.171.102.97
uqfenpjd.www.nju.com.    IN    A    70.248.116.208
krctbqhy.www.nju.com.    IN    A    145.255.182.149
khumlvib.www.nju.com.    IN    A    78.154.252.30
owcfxmjl.www.nju.com.    IN    A    215.221.113.142
jphfodrt.www.nju.com.    IN    A    201.90.169.32
kjtdgmrl.www.nju.com.    IN    A    213.120.168.103
itkgqodl.www.nju.com.    IN    A    142.87.154.5
lqfxecnk.www.nju.com.    IN    A    210.101.79.100
fbwyhkmg.www.nju.com.    IN    A    171.193.40.31
yiacbohl.www.nju.com.    IN    A    69.46.252.208
gvcnruib.www.nju.com.    IN    A    232.40.10.154
ansmhgoe.www.nju.com.    IN    A    58.207.107.66
ywamovdg.www.nju.com.    IN    A    39.116.142.100
lbtvomhi.www.nju.com.    IN    A    139.49.173.160
nhbwdgsp.www.nju.com.    IN    A    248.101.88.21
nsjryevh.www.nju.com.    IN    A    23.62.125.132
lfnqxtwb.www.nju.com.    IN    A    83.11.178.183
dvsfiygw.www.nju.com.    IN    A    187.225.73.146
ojybrghd.www.nju.com.    IN    A    170.59.66.3
udtsnkrv.www.nju.com.    IN    A    161.105.132.59
mxueiqbs.www.nju.com.    IN    A    73.175.47.205
nwmarcig.www.nju.com.    IN    A    95.196.171.62
vkixwyrg.www.nju.com.    IN    A    132.35.162.158
iuwyejpl.www.nju.com.    IN    A    239.131.199.242
aysbefmc.www.nju.com.    IN    A    212.183.224.131
mifoepat.www.nju.com.    IN    A    196.250.244.168
ebomdsnt.www.nju.com.    IN    A    30.204.77.35
xraichgy.www.nju.com.    IN    A    189.80.158.19
rimvnjgp.www.nju.com.    IN    A    177.34.253.67
vhxirasc.www.nju.com.    IN    A    175.155.233.247
gnhqeypv.www.nju.com.    IN    A    220.71.155.205
suabxfkw.www.nju.com.    IN    A    123.135.97.118
gisdvtao.www.nju.com.    IN    A    207.74.25.255
grfkewjt.www.nju.com.    IN    A    195.125.217.166
gjncyqek.www.nju.com.    IN    A    144.208.210.111
ldoyhkns.www.nju.com.    IN    A    3.33.233.225
ohqklugf.www.nju.com.    IN    A    46.252.176.56
aofhgvmt.www.nju.com.    IN    A    218.14.205.133
fmryilxu.www.nju.com.    IN    A    22.140.91.207
sbcutpvl.www.nju.com.    IN    A    110.138.20.195
waibfxml.www.nju.com.    IN    A    8.25.15.96
xaqonetd.www.nju.com.    IN    A    142.135.138.81
iodeauqn.www.nju.com.    IN    A    211.80.86.183
rklxgtpb.www.nju.com.    IN    A    78.60.220.211
buefsphy.www.nju.com.    IN    A    253.201.17.235
hlvyxoaj.www.nju.com.    IN    A    198.86.66.33
esbncruo.www.nju.com.    IN    A    141.60.178.28
fxlwqotd.www.nju.com.    IN    A    175.194.216.161
pjfydhon.www.nju.com.    IN    A    68.123.70.241
jaobigvt.www.nju.com.    IN    A    225.20.73.142
sdwceyol.www.nju.com.    IN    A    41.150.115.71
dctkjpem.www.nju.com.    IN    A    168.113.221.57
mbpuhina.www.nju.com.    IN    A    87.118.57.19
xwngulab.www.nju.com.    IN    A    245.65.77.245
kcsdomag.www.nju.com.    IN    A    0.95.168.86
eupoyxdk.www.nju.com.    IN    A    128.202.194.19
hcbeydqx.www.nju.com.    IN    A    207.204.132.54
obuwpqen.www.nju.com.    IN    A    29.36.55.110
strxuklj.www.nju.com.    IN    A    37.84.99.3
rxtvdklj.www.nju.com.    IN    A    102.208.167.114
irjamxke.www.nju.com.    IN    A    210.110.227.115
