sci.cqu.com.	14400	IN	SOA	ns1.sci.cqu.com. james.cqu.edu. 19122302 14400 3600 2419200 14400
sci.cqu.com.		    IN	NS ns1.sci.cqu.com.
nmfopdgk.sci.cqu.com.    IN    A    198.48.238.74
gdstovwl.sci.cqu.com.    IN    A    142.78.89.16
eqybmncx.sci.cqu.com.    IN    A    225.166.9.142
lbdcvfko.sci.cqu.com.    IN    A    151.104.35.137
ylcvhxdp.sci.cqu.com.    IN    A    209.13.240.127
qywjosxh.sci.cqu.com.    IN    A    42.252.19.30
hkyrgotq.sci.cqu.com.    IN    A    211.23.216.144
kbidyupq.sci.cqu.com.    IN    A    24.189.28.160
injarpbf.sci.cqu.com.    IN    A    44.165.119.180
dtkhebus.sci.cqu.com.    IN    A    45.12.32.239
morasbgn.sci.cqu.com.    IN    A    202.218.166.60
naywuxlb.sci.cqu.com.    IN    A    139.125.124.98
uiyrmfwl.sci.cqu.com.    IN    A    23.55.137.37
afcrnpue.sci.cqu.com.    IN    A    255.140.87.253
chsgwoyi.sci.cqu.com.    IN    A    34.235.85.46
lbskimnx.sci.cqu.com.    IN    A    13.156.147.249
nbldeiwk.sci.cqu.com.    IN    A    25.83.144.184
pjumrncv.sci.cqu.com.    IN    A    10.45.4.128
grlinywf.sci.cqu.com.    IN    A    227.160.12.102
ydtvmrok.sci.cqu.com.    IN    A    248.35.58.242
yvpscgkb.sci.cqu.com.    IN    A    43.128.33.143
ekpngilq.sci.cqu.com.    IN    A    232.236.113.9
micwobge.sci.cqu.com.    IN    A    179.39.169.233
sjrdxhgc.sci.cqu.com.    IN    A    179.237.205.115
gjuoqciw.sci.cqu.com.    IN    A    67.14.169.19
gndbmiso.sci.cqu.com.    IN    A    140.69.21.75
ujtbiecd.sci.cqu.com.    IN    A    196.103.156.245
oqjthrya.sci.cqu.com.    IN    A    1.59.67.44
xtsvawoq.sci.cqu.com.    IN    A    153.106.14.97
ipfgkqrs.sci.cqu.com.    IN    A    45.166.43.5
tkgnpavl.sci.cqu.com.    IN    A    75.208.235.12
xkapbryv.sci.cqu.com.    IN    A    199.4.78.121
njaolydw.sci.cqu.com.    IN    A    88.141.138.121
egdwsokm.sci.cqu.com.    IN    A    216.22.85.252
qlnkfxup.sci.cqu.com.    IN    A    187.182.31.80
byjhkgwf.sci.cqu.com.    IN    A    170.54.131.139
vstxcjkd.sci.cqu.com.    IN    A    140.184.222.187
ldtagqyh.sci.cqu.com.    IN    A    244.29.111.217
ptusfhli.sci.cqu.com.    IN    A    239.55.220.89
leougpmq.sci.cqu.com.    IN    A    243.138.225.158
udekhyaf.sci.cqu.com.    IN    A    106.128.100.74
aoxrfmis.sci.cqu.com.    IN    A    163.177.226.215
xobniajl.sci.cqu.com.    IN    A    58.78.9.244
vmoxpnfj.sci.cqu.com.    IN    A    200.83.2.65
hpnatswg.sci.cqu.com.    IN    A    102.199.10.169
yghplroc.sci.cqu.com.    IN    A    219.17.6.211
dpqlynbr.sci.cqu.com.    IN    A    147.40.203.209
uspcahle.sci.cqu.com.    IN    A    229.28.219.20
qhvxpysw.sci.cqu.com.    IN    A    174.10.80.209
cduklhmf.sci.cqu.com.    IN    A    211.57.28.157
yjcbwost.sci.cqu.com.    IN    A    37.156.29.145
ufqagjvp.sci.cqu.com.    IN    A    117.7.234.133
qjvaubdl.sci.cqu.com.    IN    A    107.101.81.137
mbqcfayp.sci.cqu.com.    IN    A    71.214.193.15
xpvgusol.sci.cqu.com.    IN    A    78.189.221.214
bogrmywu.sci.cqu.com.    IN    A    102.73.21.161
aoetgrlj.sci.cqu.com.    IN    A    129.104.253.94
cwogaiuj.sci.cqu.com.    IN    A    124.146.252.243
repiksju.sci.cqu.com.    IN    A    244.21.37.137
gcefplod.sci.cqu.com.    IN    A    243.212.225.11
doqtxuni.sci.cqu.com.    IN    A    0.149.126.148
mfgqeauc.sci.cqu.com.    IN    A    124.136.193.155
ueyvjwxn.sci.cqu.com.    IN    A    143.6.76.87
mnajbsyc.sci.cqu.com.    IN    A    47.254.122.45
ipqychgs.sci.cqu.com.    IN    A    178.64.54.73
iyxrfgvp.sci.cqu.com.    IN    A    159.205.106.246
aqhdgolb.sci.cqu.com.    IN    A    219.118.23.202
gvotqaki.sci.cqu.com.    IN    A    189.107.20.152
jwbeqafp.sci.cqu.com.    IN    A    78.60.155.142
tclegjbh.sci.cqu.com.    IN    A    236.145.245.10
cmwouyhn.sci.cqu.com.    IN    A    10.205.191.4
hkyqfcam.sci.cqu.com.    IN    A    184.31.246.34
uhsfmjvl.sci.cqu.com.    IN    A    71.83.188.254
bgqnhivs.sci.cqu.com.    IN    A    160.233.202.83
ciktyuwp.sci.cqu.com.    IN    A    198.100.244.125
fdvsknip.sci.cqu.com.    IN    A    163.194.163.188
loxhvsbw.sci.cqu.com.    IN    A    53.113.134.227
emrxkqlj.sci.cqu.com.    IN    A    0.178.244.92
ihsrxldt.sci.cqu.com.    IN    A    203.27.42.147
dkvujxle.sci.cqu.com.    IN    A    62.100.149.117
tjwdunvm.sci.cqu.com.    IN    A    240.158.132.68
pvqdihng.sci.cqu.com.    IN    A    209.73.116.132
mlnexras.sci.cqu.com.    IN    A    228.123.145.218
lvfrjscw.sci.cqu.com.    IN    A    17.116.119.166
xghjnpom.sci.cqu.com.    IN    A    26.110.181.200
vygseopq.sci.cqu.com.    IN    A    12.132.38.42
rmhpadcu.sci.cqu.com.    IN    A    153.77.138.69
akljsugc.sci.cqu.com.    IN    A    200.121.44.69
grpsteha.sci.cqu.com.    IN    A    164.184.106.48
igsmpaty.sci.cqu.com.    IN    A    149.217.216.212
jyxqmsfe.sci.cqu.com.    IN    A    74.177.7.244
bgsvatim.sci.cqu.com.    IN    A    174.197.197.118
psdbuihj.sci.cqu.com.    IN    A    13.187.210.167
wtjoubig.sci.cqu.com.    IN    A    211.215.66.105
qnxgcvhb.sci.cqu.com.    IN    A    99.33.67.204
bwefvpao.sci.cqu.com.    IN    A    192.110.194.240
obaduefw.sci.cqu.com.    IN    A    117.157.177.151
pluftqvc.sci.cqu.com.    IN    A    73.52.220.75
slatgqpw.sci.cqu.com.    IN    A    225.91.194.89
nxakjmuy.sci.cqu.com.    IN    A    250.67.178.199
adpfxruj.sci.cqu.com.    IN    A    173.28.41.184
qrbtxcph.sci.cqu.com.    IN    A    177.237.6.118
sqrktoeh.sci.cqu.com.    IN    A    26.246.118.51
ahdknrcu.sci.cqu.com.    IN    A    108.44.217.158
ypltvedn.sci.cqu.com.    IN    A    228.57.12.122
dhryqwej.sci.cqu.com.    IN    A    115.123.223.240
wykbcemh.sci.cqu.com.    IN    A    64.212.190.16
imfrcpku.sci.cqu.com.    IN    A    104.59.221.94
yfesvirt.sci.cqu.com.    IN    A    158.137.235.35
qpiyusak.sci.cqu.com.    IN    A    109.133.238.199
eqdcyrni.sci.cqu.com.    IN    A    122.169.60.158
nfckquei.sci.cqu.com.    IN    A    150.62.63.87
rijuqgsw.sci.cqu.com.    IN    A    108.146.248.224
hyjfamdq.sci.cqu.com.    IN    A    116.250.118.53
bexrckjv.sci.cqu.com.    IN    A    99.165.133.147
qgrjfoux.sci.cqu.com.    IN    A    240.107.247.116
fomyjvan.sci.cqu.com.    IN    A    20.200.198.181
tapksbwy.sci.cqu.com.    IN    A    184.159.237.141
ncailmyo.sci.cqu.com.    IN    A    160.221.80.4
tdaeyqpv.sci.cqu.com.    IN    A    160.143.180.49
yvnolpei.sci.cqu.com.    IN    A    193.217.185.168
yuvmwdts.sci.cqu.com.    IN    A    15.182.193.167
epudjfmq.sci.cqu.com.    IN    A    214.47.212.34
jdnwrkho.sci.cqu.com.    IN    A    84.179.215.228
kmfinjyu.sci.cqu.com.    IN    A    41.251.234.141
wrcqfnhi.sci.cqu.com.    IN    A    142.115.244.92
txrgdchy.sci.cqu.com.    IN    A    157.213.34.216
oqweaxpr.sci.cqu.com.    IN    A    134.246.111.1
bjhcvdkl.sci.cqu.com.    IN    A    92.242.214.174
pqhbjrsu.sci.cqu.com.    IN    A    159.43.185.177
flyavetb.sci.cqu.com.    IN    A    111.177.147.131
eadtwfil.sci.cqu.com.    IN    A    252.230.132.115
flujxkwr.sci.cqu.com.    IN    A    209.32.106.57
hbnfvrds.sci.cqu.com.    IN    A    99.72.126.197
thyemikc.sci.cqu.com.    IN    A    211.165.148.240
chnrpido.sci.cqu.com.    IN    A    61.54.188.183
wupdfhty.sci.cqu.com.    IN    A    102.11.146.167
bfithrpx.sci.cqu.com.    IN    A    212.182.254.96
hptxojui.sci.cqu.com.    IN    A    142.202.110.107
lihtacgb.sci.cqu.com.    IN    A    225.36.241.136
emiwvblf.sci.cqu.com.    IN    A    170.50.247.75
uewtohbr.sci.cqu.com.    IN    A    178.38.176.254
ntqxrkey.sci.cqu.com.    IN    A    104.78.2.154
hpysbtwn.sci.cqu.com.    IN    A    41.103.150.117
hmvgtpfw.sci.cqu.com.    IN    A    129.188.231.80
uyaowtrh.sci.cqu.com.    IN    A    159.226.218.19
rdhgqlnw.sci.cqu.com.    IN    A    91.131.184.203
dtiheyvx.sci.cqu.com.    IN    A    159.165.141.114
edfalibm.sci.cqu.com.    IN    A    51.217.84.93
tmbajnvl.sci.cqu.com.    IN    A    170.55.210.232
nqsoevwm.sci.cqu.com.    IN    A    16.117.140.182
vnkjhmwp.sci.cqu.com.    IN    A    190.46.213.239
itpwcghy.sci.cqu.com.    IN    A    3.118.70.106
cahmfrdb.sci.cqu.com.    IN    A    38.166.126.232
dswjrmyv.sci.cqu.com.    IN    A    86.86.95.220
jseouqbv.sci.cqu.com.    IN    A    182.81.162.180
vpfhkolr.sci.cqu.com.    IN    A    3.207.153.224
eukdvmih.sci.cqu.com.    IN    A    38.143.69.156
jcnxkfsr.sci.cqu.com.    IN    A    238.13.89.10
vcltryie.sci.cqu.com.    IN    A    85.29.9.13
hnfbexdl.sci.cqu.com.    IN    A    86.143.91.144
acdnbqjw.sci.cqu.com.    IN    A    87.101.248.95
klyotnfi.sci.cqu.com.    IN    A    59.36.177.52
ecqurjxp.sci.cqu.com.    IN    A    161.202.25.169
ngfboexp.sci.cqu.com.    IN    A    85.39.159.195
bhrnxdqp.sci.cqu.com.    IN    A    164.89.130.67
tqxeaihr.sci.cqu.com.    IN    A    170.163.244.239
fcvhnsbd.sci.cqu.com.    IN    A    77.214.177.142
kxevpygo.sci.cqu.com.    IN    A    80.137.206.227
lxwgduea.sci.cqu.com.    IN    A    238.19.197.33
vcuktard.sci.cqu.com.    IN    A    23.32.175.144
kxrylpug.sci.cqu.com.    IN    A    191.79.53.208
lfcxatkg.sci.cqu.com.    IN    A    254.6.202.208
qljhswgb.sci.cqu.com.    IN    A    124.74.78.179
iwvbfcnk.sci.cqu.com.    IN    A    68.41.143.93
pxgusfba.sci.cqu.com.    IN    A    162.147.16.201
qtbumvhc.sci.cqu.com.    IN    A    97.71.115.213
jrslecxk.sci.cqu.com.    IN    A    97.200.147.238
euijfgym.sci.cqu.com.    IN    A    78.239.89.164
rstfcpjk.sci.cqu.com.    IN    A    242.46.249.131
sopkvqur.sci.cqu.com.    IN    A    212.240.207.26
vbfkydui.sci.cqu.com.    IN    A    200.50.208.221
aimnykrc.sci.cqu.com.    IN    A    1.165.159.237
yvkbuqpg.sci.cqu.com.    IN    A    194.168.100.252
hbispyte.sci.cqu.com.    IN    A    32.128.252.79
nmlqhwbe.sci.cqu.com.    IN    A    211.40.178.97
ljhatsvc.sci.cqu.com.    IN    A    17.110.90.201
xrygkewb.sci.cqu.com.    IN    A    239.242.88.172
fokredsq.sci.cqu.com.    IN    A    117.115.39.237
afqnoepd.sci.cqu.com.    IN    A    227.114.142.255
qjfnlmis.sci.cqu.com.    IN    A    251.203.245.15
ghketrxv.sci.cqu.com.    IN    A    164.94.114.1
byoxtlrc.sci.cqu.com.    IN    A    237.39.0.63
hipjbamd.sci.cqu.com.    IN    A    5.220.88.18
gdpslrfh.sci.cqu.com.    IN    A    161.101.174.124
rfhbtsvo.sci.cqu.com.    IN    A    17.142.119.248
uhysjwqd.sci.cqu.com.    IN    A    215.86.45.51
miqxorlg.sci.cqu.com.    IN    A    231.233.226.23
cmkbngjx.sci.cqu.com.    IN    A    49.135.113.81
qbajgtve.sci.cqu.com.    IN    A    140.141.142.191
sdckohxp.sci.cqu.com.    IN    A    50.62.89.143
agtbxmci.sci.cqu.com.    IN    A    26.82.39.186
vwoqpiye.sci.cqu.com.    IN    A    177.233.11.96
upnwgrad.sci.cqu.com.    IN    A    253.39.156.91
mdefcrjx.sci.cqu.com.    IN    A    38.175.157.70
utqfworx.sci.cqu.com.    IN    A    185.77.221.150
bkdmlgtq.sci.cqu.com.    IN    A    124.223.141.24
sebjqpic.sci.cqu.com.    IN    A    45.146.23.74
jxbclogp.sci.cqu.com.    IN    A    169.191.22.42
bfdslghx.sci.cqu.com.    IN    A    137.108.168.45
gelusoav.sci.cqu.com.    IN    A    100.219.42.51
erqvjpig.sci.cqu.com.    IN    A    15.216.228.27
bhipovae.sci.cqu.com.    IN    A    162.3.250.134
gqnrjwuf.sci.cqu.com.    IN    A    70.149.235.187
becpoghs.sci.cqu.com.    IN    A    60.212.114.51
vlpbaeic.sci.cqu.com.    IN    A    124.250.34.203
koqrbypw.sci.cqu.com.    IN    A    136.166.70.142
uodjfesp.sci.cqu.com.    IN    A    251.165.164.84
oxrdhyfl.sci.cqu.com.    IN    A    27.79.212.210
ewtnvxop.sci.cqu.com.    IN    A    254.70.207.49
kwaudfjp.sci.cqu.com.    IN    A    72.172.248.93
jhmgbqwi.sci.cqu.com.    IN    A    195.240.67.44
oalqwvgb.sci.cqu.com.    IN    A    222.105.224.57
hnrpxkcq.sci.cqu.com.    IN    A    113.140.229.178
sgbynhrw.sci.cqu.com.    IN    A    44.152.200.158
unybthjm.sci.cqu.com.    IN    A    44.151.210.90
sqmeckgw.sci.cqu.com.    IN    A    79.126.234.171
ogmdjpyx.sci.cqu.com.    IN    A    195.95.174.247
nipfbkao.sci.cqu.com.    IN    A    44.1.246.42
wkanlvud.sci.cqu.com.    IN    A    72.160.10.242
bxlvkamh.sci.cqu.com.    IN    A    100.79.192.47
idafumqb.sci.cqu.com.    IN    A    109.154.83.75
wcnkgjul.sci.cqu.com.    IN    A    200.159.169.74
rdxlepkc.sci.cqu.com.    IN    A    83.206.245.245
ejnkulsf.sci.cqu.com.    IN    A    254.21.202.18
gxasqpte.sci.cqu.com.    IN    A    230.243.113.149
xdocqyel.sci.cqu.com.    IN    A    109.97.26.21
msgwkdua.sci.cqu.com.    IN    A    250.92.253.8
nkcxlsfg.sci.cqu.com.    IN    A    156.80.33.248
vhawpmir.sci.cqu.com.    IN    A    93.155.181.54
glmcyvwd.sci.cqu.com.    IN    A    133.17.234.173
qvdtinor.sci.cqu.com.    IN    A    160.186.222.251
wkgdftev.sci.cqu.com.    IN    A    116.6.87.131
vuxiowba.sci.cqu.com.    IN    A    11.214.132.123
hfjubxao.sci.cqu.com.    IN    A    73.36.216.204
nlouefyi.sci.cqu.com.    IN    A    150.174.103.206
asutjniq.sci.cqu.com.    IN    A    43.14.26.195
qbcalsgx.sci.cqu.com.    IN    A    205.174.10.227
jrgbefmu.sci.cqu.com.    IN    A    69.59.37.194
charmlfx.sci.cqu.com.    IN    A    179.98.249.196
kuyqgsjt.sci.cqu.com.    IN    A    234.195.117.16
kfcntxpa.sci.cqu.com.    IN    A    36.227.79.178
pjsiwclh.sci.cqu.com.    IN    A    210.114.61.217
nhxqgjel.sci.cqu.com.    IN    A    76.223.119.144
knfqrvbe.sci.cqu.com.    IN    A    80.100.221.91
ksmhnrlb.sci.cqu.com.    IN    A    174.97.138.32
vkofracp.sci.cqu.com.    IN    A    233.139.217.76
hdypwfrs.sci.cqu.com.    IN    A    33.129.67.83
lxvsgyqb.sci.cqu.com.    IN    A    246.100.31.233
rqxunloj.sci.cqu.com.    IN    A    203.116.85.82
venlpybu.sci.cqu.com.    IN    A    201.28.194.60
jsnqxwlu.sci.cqu.com.    IN    A    147.62.223.235
bpvdrghy.sci.cqu.com.    IN    A    244.233.142.231
uqwiakmn.sci.cqu.com.    IN    A    104.18.236.161
pngefytm.sci.cqu.com.    IN    A    181.178.42.196
xdtmavnq.sci.cqu.com.    IN    A    75.21.50.11
nxyosjdr.sci.cqu.com.    IN    A    226.245.49.171
abpjdxgy.sci.cqu.com.    IN    A    245.88.181.88
foypxdwt.sci.cqu.com.    IN    A    52.46.77.146
hiykbxwj.sci.cqu.com.    IN    A    89.142.58.94
xjckrvqb.sci.cqu.com.    IN    A    181.11.129.199
adfysbvr.sci.cqu.com.    IN    A    35.205.146.123
seyvrcim.sci.cqu.com.    IN    A    132.222.165.174
grlfuaqs.sci.cqu.com.    IN    A    77.255.12.8
bxadukjw.sci.cqu.com.    IN    A    149.11.228.132
motcwhrk.sci.cqu.com.    IN    A    145.164.16.127
qwteboah.sci.cqu.com.    IN    A    84.117.200.198
rgepviqj.sci.cqu.com.    IN    A    27.128.228.95
hfbskray.sci.cqu.com.    IN    A    1.170.236.176
yhlcsbif.sci.cqu.com.    IN    A    86.225.220.153
psvnomki.sci.cqu.com.    IN    A    23.189.34.136
xtgvoqsc.sci.cqu.com.    IN    A    149.97.129.94
ekxdcway.sci.cqu.com.    IN    A    169.52.170.230
ibgpqsxo.sci.cqu.com.    IN    A    214.138.64.124
cmfqudit.sci.cqu.com.    IN    A    17.81.127.36
yxfviamh.sci.cqu.com.    IN    A    110.211.147.190
nibkfpjr.sci.cqu.com.    IN    A    63.138.110.206
ktmswrnj.sci.cqu.com.    IN    A    66.241.65.31
loduytxk.sci.cqu.com.    IN    A    182.127.108.149
nhduvfro.sci.cqu.com.    IN    A    108.144.235.88
xfescmqi.sci.cqu.com.    IN    A    59.191.176.94
qykmuxej.sci.cqu.com.    IN    A    179.63.188.197
djkuxmtf.sci.cqu.com.    IN    A    165.185.233.205
lqntjdiu.sci.cqu.com.    IN    A    141.236.63.62
dombnhky.sci.cqu.com.    IN    A    26.138.241.50
isrxedfp.sci.cqu.com.    IN    A    196.124.226.221
diqfahns.sci.cqu.com.    IN    A    212.177.93.113
ahpqostm.sci.cqu.com.    IN    A    189.239.215.60
tlbvgnfr.sci.cqu.com.    IN    A    172.196.213.108
eysuarqp.sci.cqu.com.    IN    A    131.141.221.42
jcsblhqt.sci.cqu.com.    IN    A    185.245.144.3
ltnvkqwg.sci.cqu.com.    IN    A    195.2.46.227
wisvhuny.sci.cqu.com.    IN    A    199.240.69.169
rqtyodib.sci.cqu.com.    IN    A    160.192.197.32
arygqjlb.sci.cqu.com.    IN    A    89.200.77.83
cjbwukip.sci.cqu.com.    IN    A    0.25.68.109
apbwsnif.sci.cqu.com.    IN    A    232.229.201.182
moakvnid.sci.cqu.com.    IN    A    219.180.157.178
gmqrjwly.sci.cqu.com.    IN    A    130.144.127.14
mwkoanxs.sci.cqu.com.    IN    A    156.57.18.48
oxqbnvhg.sci.cqu.com.    IN    A    36.134.173.188
hukbvrqp.sci.cqu.com.    IN    A    22.47.79.102
ngovuebm.sci.cqu.com.    IN    A    0.214.151.19
ncydjreq.sci.cqu.com.    IN    A    246.21.56.115
bxmiervc.sci.cqu.com.    IN    A    189.226.3.199
huabqgdc.sci.cqu.com.    IN    A    92.202.13.243
bcqjtdgw.sci.cqu.com.    IN    A    132.38.35.134
tlfwjbdr.sci.cqu.com.    IN    A    216.68.41.196
moyqxkwe.sci.cqu.com.    IN    A    89.207.15.9
ofcmpvwu.sci.cqu.com.    IN    A    153.11.35.9
hpwqalgc.sci.cqu.com.    IN    A    4.27.12.150
cjbdygal.sci.cqu.com.    IN    A    63.106.162.78
jenhxspl.sci.cqu.com.    IN    A    125.61.154.91
leskcqwg.sci.cqu.com.    IN    A    238.162.183.208
gmxbatrd.sci.cqu.com.    IN    A    39.68.138.54
kijbdgvq.sci.cqu.com.    IN    A    37.88.85.135
rncxgysp.sci.cqu.com.    IN    A    158.170.84.194
piyjextu.sci.cqu.com.    IN    A    5.49.147.4
jipaxsuv.sci.cqu.com.    IN    A    99.204.152.105
bwktcdvf.sci.cqu.com.    IN    A    178.106.77.169
kbrlpdtf.sci.cqu.com.    IN    A    49.3.98.128
jlxaskwm.sci.cqu.com.    IN    A    19.73.118.99
rbvwtipc.sci.cqu.com.    IN    A    74.28.48.121
qphevxia.sci.cqu.com.    IN    A    49.112.4.173
iwkbvtdq.sci.cqu.com.    IN    A    134.33.88.9
cygantmh.sci.cqu.com.    IN    A    252.111.168.186
hfnclvpb.sci.cqu.com.    IN    A    178.240.106.118
cyjoivwn.sci.cqu.com.    IN    A    230.189.59.90
asrpodnv.sci.cqu.com.    IN    A    53.60.148.153
qbfcyslv.sci.cqu.com.    IN    A    148.69.80.146
vxjyrwas.sci.cqu.com.    IN    A    168.147.14.218
bwlacudf.sci.cqu.com.    IN    A    216.237.85.109
ymwglkti.sci.cqu.com.    IN    A    208.156.211.3
yhufgevj.sci.cqu.com.    IN    A    188.96.176.75
hcprwxgn.sci.cqu.com.    IN    A    56.250.231.64
lbsychei.sci.cqu.com.    IN    A    100.104.59.186
wtuirkhf.sci.cqu.com.    IN    A    71.90.53.94
gdcowtbj.sci.cqu.com.    IN    A    96.44.166.194
ytxasvmu.sci.cqu.com.    IN    A    107.185.178.253
kaetnsdc.sci.cqu.com.    IN    A    210.251.127.86
yntoqipm.sci.cqu.com.    IN    A    70.34.130.34
kwylicun.sci.cqu.com.    IN    A    207.96.147.178
uqimelwf.sci.cqu.com.    IN    A    234.252.248.206
rgvdifoe.sci.cqu.com.    IN    A    166.147.2.235
gsixqkoa.sci.cqu.com.    IN    A    155.50.39.210
rmwysnqh.sci.cqu.com.    IN    A    72.101.43.199
hsgxifku.sci.cqu.com.    IN    A    226.230.187.141
arwsktpm.sci.cqu.com.    IN    A    75.171.38.239
weoiuxad.sci.cqu.com.    IN    A    45.46.2.156
hyunwjeg.sci.cqu.com.    IN    A    204.33.233.219
pwftghse.sci.cqu.com.    IN    A    146.35.233.255
ejucnqsf.sci.cqu.com.    IN    A    223.185.231.182
tokirsbe.sci.cqu.com.    IN    A    80.169.71.148
idbjhnwx.sci.cqu.com.    IN    A    173.112.7.172
jvcmaswx.sci.cqu.com.    IN    A    142.85.109.3
biedsfrv.sci.cqu.com.    IN    A    167.194.234.52
eayvqmtn.sci.cqu.com.    IN    A    69.103.229.120
ajiskmlp.sci.cqu.com.    IN    A    92.66.105.22
iukpwyos.sci.cqu.com.    IN    A    119.141.11.40
wmuerqpk.sci.cqu.com.    IN    A    81.196.86.188
pgnscioq.sci.cqu.com.    IN    A    54.89.97.200
wuravies.sci.cqu.com.    IN    A    42.2.23.37
mvgqfady.sci.cqu.com.    IN    A    137.110.17.220
wnicgjmp.sci.cqu.com.    IN    A    203.88.218.249
vetdwjms.sci.cqu.com.    IN    A    25.194.78.237
scitlnho.sci.cqu.com.    IN    A    141.106.45.62
amliqvue.sci.cqu.com.    IN    A    116.124.217.217
xrnitvgy.sci.cqu.com.    IN    A    228.178.62.7
qvgbcirn.sci.cqu.com.    IN    A    247.36.130.32
lrhtvfda.sci.cqu.com.    IN    A    225.216.115.19
wctofnmi.sci.cqu.com.    IN    A    250.131.133.96
yjrphdto.sci.cqu.com.    IN    A    49.203.15.242
ndtprfog.sci.cqu.com.    IN    A    64.8.81.61
euojfsin.sci.cqu.com.    IN    A    138.183.3.8
mnwigvfb.sci.cqu.com.    IN    A    136.198.214.116
dfaosblt.sci.cqu.com.    IN    A    74.106.244.1
krqwagoj.sci.cqu.com.    IN    A    74.200.109.248
mdqerpfj.sci.cqu.com.    IN    A    213.226.40.247
nefcvpdk.sci.cqu.com.    IN    A    2.92.69.72
qrsgenph.sci.cqu.com.    IN    A    125.119.99.129
xfhvuslc.sci.cqu.com.    IN    A    21.240.196.27
fytgswuj.sci.cqu.com.    IN    A    23.106.32.156
iuswfxyd.sci.cqu.com.    IN    A    59.70.179.83
yndfpeub.sci.cqu.com.    IN    A    2.71.217.212
esublhrf.sci.cqu.com.    IN    A    139.222.185.2
gdojtkwm.sci.cqu.com.    IN    A    202.136.204.65
tmdouwei.sci.cqu.com.    IN    A    110.21.99.43
vylrdjui.sci.cqu.com.    IN    A    68.121.3.176
hbqeojmr.sci.cqu.com.    IN    A    246.175.134.154
wsrolmvf.sci.cqu.com.    IN    A    212.71.229.18
axqpbvcw.sci.cqu.com.    IN    A    155.237.100.175
toparfey.sci.cqu.com.    IN    A    121.197.91.6
iogmdjxl.sci.cqu.com.    IN    A    84.154.198.149
xcselgti.sci.cqu.com.    IN    A    159.136.255.115
rwkjfbsn.sci.cqu.com.    IN    A    101.243.159.181
glvfbjet.sci.cqu.com.    IN    A    85.70.213.228
svnahjbd.sci.cqu.com.    IN    A    255.240.252.181
xqsovjnl.sci.cqu.com.    IN    A    253.211.199.194
wtdnxyhl.sci.cqu.com.    IN    A    211.234.125.137
ouganydm.sci.cqu.com.    IN    A    251.193.205.45
mftokajw.sci.cqu.com.    IN    A    24.29.86.124
tkgwasqe.sci.cqu.com.    IN    A    152.249.70.192
hvcywxol.sci.cqu.com.    IN    A    190.142.156.130
ogyrcmtu.sci.cqu.com.    IN    A    237.87.109.231
qpxrschi.sci.cqu.com.    IN    A    136.216.15.223
wlbegqci.sci.cqu.com.    IN    A    196.143.77.231
kpiqdjbg.sci.cqu.com.    IN    A    147.8.198.193
ijtflpox.sci.cqu.com.    IN    A    98.121.204.14
rtupndis.sci.cqu.com.    IN    A    39.108.236.13
aqfwxiyg.sci.cqu.com.    IN    A    117.242.158.145
kdlefxbq.sci.cqu.com.    IN    A    86.218.242.219
gnwpuvsb.sci.cqu.com.    IN    A    188.68.212.180
ajqtdfis.sci.cqu.com.    IN    A    49.249.198.168
oldvitjk.sci.cqu.com.    IN    A    193.174.182.133
bfrvgqdl.sci.cqu.com.    IN    A    188.194.148.29
wnverhts.sci.cqu.com.    IN    A    27.171.236.223
cdknoset.sci.cqu.com.    IN    A    84.198.33.249
tbkmjgcr.sci.cqu.com.    IN    A    213.81.103.180
qcmjovih.sci.cqu.com.    IN    A    125.215.115.159
jrdafxnh.sci.cqu.com.    IN    A    150.64.183.241
okwflhit.sci.cqu.com.    IN    A    132.147.97.240
nebwfpqs.sci.cqu.com.    IN    A    36.192.206.2
bxdwmvaf.sci.cqu.com.    IN    A    54.101.33.111
xuhyalor.sci.cqu.com.    IN    A    129.214.128.48
bdcuqhta.sci.cqu.com.    IN    A    42.149.107.82
tykjxrwm.sci.cqu.com.    IN    A    98.38.126.57
docytmje.sci.cqu.com.    IN    A    193.80.53.144
rtpayelj.sci.cqu.com.    IN    A    246.232.230.207
vudapfrm.sci.cqu.com.    IN    A    2.176.92.249
cdmrnkbf.sci.cqu.com.    IN    A    173.218.5.246
lirfmwue.sci.cqu.com.    IN    A    136.121.229.111
qbadvotf.sci.cqu.com.    IN    A    23.20.115.53
fwhqjtib.sci.cqu.com.    IN    A    147.109.83.144
hdgfnqac.sci.cqu.com.    IN    A    74.192.120.189
vafgiksw.sci.cqu.com.    IN    A    141.227.150.187
giaswjcx.sci.cqu.com.    IN    A    94.173.96.89
wtnfgjyc.sci.cqu.com.    IN    A    23.34.2.144
gshxykwp.sci.cqu.com.    IN    A    34.188.171.141
auvitfpy.sci.cqu.com.    IN    A    71.4.35.197
wluybmgv.sci.cqu.com.    IN    A    249.129.149.77
xethgvap.sci.cqu.com.    IN    A    108.235.25.98
gwhofnbj.sci.cqu.com.    IN    A    73.176.115.144
axqndrlv.sci.cqu.com.    IN    A    241.69.121.116
wkyvhaqx.sci.cqu.com.    IN    A    109.183.34.179
koleiqxr.sci.cqu.com.    IN    A    42.204.94.196
noxmetak.sci.cqu.com.    IN    A    17.57.69.36
